繁体字	简体字	国际音标	吴语拼音	备注	调类	调值					
俯	俯	fu44	fu3		3	44		f	u	f	u
腑	腑	fu44	fu3		3	44		f	u	f	u
斧	斧	fu44	fu3		3	44		f	u	f	u
付	付	fu423	fu5		5	423		f	u	f	u
傅	傅	fu423	fu5	姓。	5	423		f	u	f	u
傅	傅	vu213	vu6	师~。	6	213		v	u	v	u
俘	俘	fu53	fu1		1	53		f	u	f	u
敷	敷	fu53	fu1		1	53		f	u	f	u
赴	赴	fu423	fu5		5	423		f	u	f	u
符	符	vu24	vu2		2	24		v	u	v	u
芙	芙	vu24	vu2		2	24		v	u	v	u
扶	扶	vu24	vu2		2	24		v	u	v	u
腐	腐	vu31	vu4		4	31		v	u	v	u
輔	辅	vu31	vu4		4	31		v	u	v	u
父	父	vu31	vu4		4	31		v	u	v	u
附	附	vu213	vu6		6	213		v	u	v	u
無	无	vu24	vu2	~论；~锡（江苏地名）。	2	24		v	u	v	u
無	无	m̩24	m2	没有。俗写作“呒”。	2	24			m		m̩
無	无	mu24	mu2	南~阿弥陀佛。	2	24		m	u	m	u
誣	诬	vu24	vu2		2	24		v	u	v	u
舞	舞	vu31	vu4		4	31		v	u	v	u
武	武	vu31	vu4		4	31		v	u	v	u
武	武	ŋ̍31	ng4	~山（江苏苏州地名）。	4	31			ng		ŋ̍
務	务	vu213	vu6		6	213		v	u	v	u
霧	雾	vu213	vu6		6	213		v	u	v	u
屢	屡	li44	li3		3	44		l	i	l	i
趨	趋	tsʰi53	tshi1		1	53		tsh	i	tsʰ	i
取	取	tsʰi44	tshi3		3	44		tsh	i	tsʰ	i
娶	娶	tsʰi44	tshi3		3	44		tsh	i	tsʰ	i
趣	趣	tsʰi423	tshi5		5	423		tsh	i	tsʰ	i
聚	聚	dzi31	dzi4		4	31		dz	i	dz	i
需	需	si53	si1		1	53		s	i	s	i
須	须	si53	si1	【文读】	1	53		s	i	s	i
須	须	siɯ53	siou1	【白读】	1	53		s	iou	s	iɯ
蛛	蛛	tsɿ53	tsy1		1	53		ts	y	ts	ɿ
株	株	tsɿ53	tsy1		1	53		ts	y	ts	ɿ
駐	驻	tsɿ423	tsy5		5	423		ts	y	ts	ɿ
注	注	tsɿ423	tsy5		5	423		ts	y	ts	ɿ
廚	厨	dzɿ24	dzy2		2	24		dz	y	dz	ɿ
柱	柱	dzɿ31	dzy4		4	31		dz	y	dz	ɿ
住	住	dzɿ213	dzy6		6	213		dz	y	dz	ɿ
數	数	sɯ423	sou5		5	423		s	ou	s	ɯ
朱	朱	tsɿ53	tsy1		1	53		ts	y	ts	ɿ
珠	珠	tsɿ53	tsy1		1	53		ts	y	ts	ɿ
主	主	tsɿ44	tsy3		3	44		ts	y	ts	ɿ
注	注	tsɿ423	tsy5		5	423		ts	y	ts	ɿ
蛀	蛀	tsɿ423	tsy5		5	423		ts	y	ts	ɿ
鑄	铸	tsɿ423	tsy5		5	423		ts	y	ts	ɿ
輸	输	sɿ423	sy5		5	423		s	y	s	ɿ
輸	输	sɿ53	sy1		1	53		s	y	s	ɿ
殊	殊	dzɿ24	dzy2		2	24		dz	y	dz	ɿ
豎	竖	zɿ31	zy4		4	31		z	y	z	ɿ
樹	树	zɿ213	zy6	一棵~。	6	213		z	y	z	ɿ
樹	树	zɿ31	zy4	~立。	4	31		z	y	z	ɿ
儒	儒	zɿ24	zy2		2	24		z	y	z	ɿ
乳	乳	dzɿ31	dzy4		4	31		dz	y	dz	ɿ
拘	拘	tɕi53	ci1		1	53		c	i	tɕ	i
句	句	tɕi423	ci5		5	423		c	i	tɕ	i
句	句	kᴇ53	kei1	“勾”本字：越王~践。高~丽。	1	53		k	ei	k	ᴇ
區	区	tɕʰi53	chi1		1	53		ch	i	tɕʰ	i
區	区	ᴇ53	ei1	姓；具~（太湖的别称）。	1	53			ei		ᴇ
驅	驱	tɕʰi53	chi1		1	53		ch	i	tɕʰ	i
瞿	瞿	dʑi24	ji2		2	24		j	i	dʑ	i
具	具	dʑi213	ji6		6	213		j	i	dʑ	i
愚	愚	ȵi24	gni2		2	24		gn	i	ȵ	i
虞	虞	ȵi24	gni2		2	24		gn	i	ȵ	i
娛	娱	ȵi24	gni2		2	24		gn	i	ȵ	i
遇	遇	ȵi213	gni6		6	213		gn	i	ȵ	i
寓	寓	ȵi213	gni6		6	213		gn	i	ȵ	i
於	于	ɦi24	yi2		2	24		y	i	ɦ	i
盂	盂	ɦi24	yi2		2	24		y	i	ɦ	i
雨	雨	ɦi31	yi4		4	31		y	i	ɦ	i
羽	羽	ɦi31	yi4		4	31		y	i	ɦ	i
宇	宇	ɦi31	yi4		4	31		y	i	ɦ	i
禹	禹	ɦi31	yi4		4	31		y	i	ɦ	i
芋	芋	ɦi213	yi6		6	213		y	i	ɦ	i
俞	俞	ɦi24	yi2		2	24		y	i	ɦ	i
揄	揄	ɦi24	yi2		2	24		y	i	ɦ	i
榆	榆	ɦi24	yi2		2	24		y	i	ɦ	i
愉	愉	ɦi24	yi2		2	24		y	i	ɦ	i
愈	愈	ɦi31	yi4		4	31		y	i	ɦ	i
裕	裕	ɦi213	yi6		6	213		y	i	ɦ	i
喻	喻	ɦi213	yi6		6	213		y	i	ɦ	i
戴	戴	tæ423	tae5	姓。	5	423		t	ae	t	æ
戴	戴	tɑ423	ta5	动词。本字为“带”。	5	423		t	a	t	ɑ
埭	埭	dæ213	dae6	堤坝：黄~（江苏苏州地名）。	6	213		d	ae	d	æ
埭	埭	dɑ213	da6	条状地形、条状物、量词：一~（一排）。	6	213		d	a	d	ɑ
埭	埭	dɒ̃213	daon6	表示方位、处所的词，意思是“此处”，多见于地名。在常熟地名中多作“宕”。	6	213		d	aon	d	ɒ̃
胎	胎	tʰæ53	thae1		1	53		th	ae	tʰ	æ
態	态	tʰæ423	thae5		5	423		th	ae	tʰ	æ
台	台	tʰæ53	thae1	星宿名，古代用三台来比喻三公：~州，天~（浙江地名）。	1	53		th	ae	tʰ	æ
臺	台	dæ24	dae2	戏~；电视~；~湾。	2	24		d	ae	d	æ
檯	台	dæ24	dae2	~子；写字~；讲~。	2	24		d	ae	d	æ
颱	台	dæ24	dae2	~风。	2	24		d	ae	d	æ
苔	苔	tʰæ53	thae1	青~；~藓；舌~。	1	53		th	ae	tʰ	æ
苔	苔	dæ24	dae2	芸~；韭~。	2	24		d	ae	d	æ
抬	抬	dæ24	dae2		2	24		d	ae	d	æ
待	待	dæ31	dae4		4	31		d	ae	d	æ
怠	怠	dæ31	dae4		4	31		d	ae	d	æ
代	代	dæ213	dae6		6	213		d	ae	d	æ
袋	袋	dæ213	dae6		6	213		d	ae	d	æ
乃	乃	næ53	nae1	【文读】~是。	1	53		n	ae	n	æ
乃	乃	næ31	nae4	【白读】杨~武。	4	31		n	ae	n	æ
耐	耐	næ213	nae6		6	213		n	ae	n	æ
來	来	læ24	lae2		2	24		l	ae	l	æ
災	灾	tsæ53	tsae1		1	53		ts	ae	ts	æ
栽	栽	tsæ53	tsae1		1	53		ts	ae	ts	æ
宰	宰	tsæ44	tsae3		3	44		ts	ae	ts	æ
載	载	tsæ423	tsae5	~重。	5	423		ts	ae	ts	æ
再	再	tsæ423	tsae5		5	423		ts	ae	ts	æ
猜	猜	tsʰᴇ53	tshei1		1	53		tsh	ei	tsʰ	ᴇ
彩	彩	tsʰæ44	tshae3	~色；~票。	3	44		tsh	ae	tsʰ	æ
綵	彩	tsʰæ44	tshae3	张灯结~；剪~。	3	44		tsh	ae	tsʰ	æ
採	采	tsʰæ44	tshae3		3	44		tsh	ae	tsʰ	æ
睬	睬	tsʰæ44	tshae3		3	44		tsh	ae	tsʰ	æ
菜	菜	tsʰæ423	tshae5		5	423		tsh	ae	tsʰ	æ
才	才	dzæ24	dzae2		2	24		dz	ae	dz	æ
財	财	dzæ24	dzae2		2	24		dz	ae	dz	æ
材	材	dzæ24	dzae2		2	24		dz	ae	dz	æ
裁	裁	zæ24	zae2		2	24		z	ae	z	æ
在	在	zæ31	zae4		4	31		z	ae	z	æ
載	载	dzæ213	dzae6	满~。	6	213		dz	ae	dz	æ
賽	赛	sᴇ423	sei5		5	423		s	ei	s	ᴇ
該	该	kæ53	kae1		1	53		k	ae	k	æ
改	改	kæ44	kae3		3	44		k	ae	k	æ
概	概	kæ44	kae3		3	44		k	ae	k	æ
開	开	kʰæ53	khae1		1	53		kh	ae	kʰ	æ
慨	慨	kʰæ44	khae3		3	44		kh	ae	kʰ	æ
礙	碍	ŋæ213	ngae6		6	213		ng	ae	ŋ	æ
隑	隑	gæ213	gae6	倚靠。	6	213		g	ae	g	æ
戤	戤	gæ213	gae6	王家~（上海松江地名）。同“隑”。	6	213		g	ae	g	æ
海	海	hæ44	hae3		3	44		h	ae	h	æ
孩	孩	ɦæ24	ghae2		2	24		gh	ae	ɦ	æ
哀	哀	æ53	ae1		1	53			ae		æ
愛	爱	æ423	ae5		5	423			ae		æ
貝	贝	pᴇ423	pei5		5	423		p	ei	p	ᴇ
沛	沛	pʰᴇ423	phei5		5	423		ph	ei	pʰ	ᴇ
帶	带	tɑ423	ta5		5	423		t	a	t	ɑ
太	太	tʰɑ423	tha5		5	423		th	a	tʰ	ɑ
泰	泰	tʰɑ423	tha5		5	423		th	a	tʰ	ɑ
大	大	dɑ213	da6	~王。	6	213		d	a	d	ɑ
奈	奈	nɑ213	na6	【白读】~何桥。	6	213		n	a	n	ɑ
奈	奈	næ213	nae6	【文读】	6	213		n	ae	n	æ
瘌	瘌	laʔ23	laeq8		8	23		l	aeq	l	aʔ
賴	赖	lɑ213	la6		6	213		l	a	l	ɑ
蔡	蔡	tsʰɑ423	tsha5		5	423		tsh	a	tsʰ	ɑ
蓋	盖	kæ44	kae3		3	44		k	ae	k	æ
艾	艾	ŋæ213	ngae6		6	213		ng	ae	ŋ	æ
害	害	ɦæ213	ghae6		6	213		gh	ae	ɦ	æ
拜	拜	pɑ423	pa5		5	423		p	a	p	ɑ
排	排	bɑ24	ba2		2	24		b	a	b	ɑ
埋	埋	mɑ24	ma2		2	24		m	a	m	ɑ
齋	斋	tsɑ53	tsa1		1	53		ts	a	ts	ɑ
豺	豺	zɑ24	za2		2	24		z	a	z	ɑ
皆	皆	tɕiɑ53	cia1	【文读】	1	53		c	ia	tɕ	iɑ
階	阶	tɕiɑ53	cia1	【文读】~段。	1	53		c	ia	tɕ	iɑ
介	介	tɕiɑ423	cia5	【文读】~绍。	5	423		c	ia	tɕ	iɑ
界	界	tɕiɑ423	cia5	【文读】~线。	5	423		c	ia	tɕ	iɑ
戒	戒	tɕiɑ423	cia5	【文读】~严。	5	423		c	ia	tɕ	iɑ
屆	届	tɕiɑ423	cia5	【文读】~时；第一~。	5	423		c	ia	tɕ	iɑ
階	阶	kɑ53	ka1	【白读】	1	53		k	a	k	ɑ
介	介	kɑ423	ka5	【白读】	5	423		k	a	k	ɑ
界	界	kɑ423	ka5	【白读】	5	423		k	a	k	ɑ
戒	戒	kɑ423	ka5	【白读】	5	423		k	a	k	ɑ
屆	届	kɑ423	ka5	【白读】	5	423		k	a	k	ɑ
械	械	ɦie213	ye6	【文读】机~。	6	213		y	e	ɦ	ie
楷	楷	kʰɑ44	kha3		3	44		kh	a	kʰ	ɑ
挨	挨	ɑ53	a1		1	53			a		ɑ
擺	摆	pɑ44	pa3		3	44		p	a	p	ɑ
派	派	pʰɑ423	pha5		5	423		ph	a	pʰ	ɑ
牌	牌	bɑ24	ba2		2	24		b	a	b	ɑ
罷	罢	bɑ31	ba4		4	31		b	a	b	ɑ
稗	稗	bɑ213	ba6		6	213		b	a	b	ɑ
買	买	mɑ31	ma4		4	31		m	a	m	ɑ
賣	卖	mɑ213	ma6		6	213		m	a	m	ɑ
奶	奶	nɑ31	na4	【白读】	4	31		n	a	n	ɑ
奶	奶	næ31	nae4	【文读】	4	31		n	ae	n	æ
債	债	tsɑ423	tsa5		5	423		ts	a	ts	ɑ
差	差	tsʰɑ53	tsha1	出~；~头。	1	53		tsh	a	tsʰ	ɑ
釵	钗	tsʰu53	tshu1		1	53		tsh	u	tsʰ	u
柴	柴	zɑ24	za2		2	24		z	a	z	ɑ
篩	筛	sɑ53	sa1		1	53		s	a	s	ɑ
曬	晒	su423	su5		5	423		s	u	s	u
佳	佳	tɕiɑ53	cia1		1	53		c	ia	tɕ	iɑ
街	街	kɑ53	ka1		1	53		k	a	k	ɑ
解	解	kɑ44	ka3	【白读】	3	44		k	a	k	ɑ
解	解	tɕiɑ44	cia3	【文读】~放。	3	44		c	ia	tɕ	iɑ
解	解	kɑ423	ka5	押~。	5	423		k	a	k	ɑ
解	解	ɦɑ213	gha6	姓。	6	213		gh	a	ɦ	ɑ
解	解	gɑ31	ga4	~开；~鞋带；~山河。	4	31		g	a	g	ɑ
涯	涯	ɦiɑ24	ya2		2	24		y	a	ɦ	iɑ
鞋	鞋	ɦɑ24	gha2		2	24		gh	a	ɦ	ɑ
蟹	蟹	hɑ44	ha3		3	44		h	a	h	ɑ
矮	矮	ɑ44	a3		3	44			a		ɑ
隘	隘	æ423	ae5		5	423			ae		æ
隘	隘	kɑ423	ka5	多见于宁波地名。	5	423		k	a	k	ɑ
敗	败	bɑ213	ba6		6	213		b	a	b	ɑ
邁	迈	mæ213	mae6		6	213		m	ae	m	æ
弊	弊	bi213	bi6		6	213		b	i	b	i
幣	币	bi213	bi6		6	213		b	i	b	i
斃	毙	bi213	bi6		6	213		b	i	b	i
例	例	li213	li6		6	213		l	i	l	i
厲	厉	li213	li6		6	213		l	i	l	i
祭	祭	tsi423	tsi5		5	423		ts	i	ts	i
際	际	tsi423	tsi5		5	423		ts	i	ts	i
制	制	tsɿ423	tsy5		5	423		ts	y	ts	ɿ
製	制	tsɿ423	tsy5		5	423		ts	y	ts	ɿ
世	世	sɿ423	sy5		5	423		s	y	s	ɿ
勢	势	sɿ423	sy5		5	423		s	y	s	ɿ
誓	誓	zɿ213	zy6		6	213		z	y	z	ɿ
逝	逝	zɿ213	zy6		6	213		z	y	z	ɿ
藝	艺	ȵi213	gni6		6	213		gn	i	ȵ	i
閉	闭	pi423	pi5		5	423		p	i	p	i
批	批	pʰi53	phi1		1	53		ph	i	pʰ	i
迷	迷	mi24	mi2		2	24		m	i	m	i
米	米	mi31	mi4		4	31		m	i	m	i
謎	谜	mi213	mi6		6	213		m	i	m	i
謎	谜	mᴇ213	mei6	猜~~子。	6	213		m	ei	m	ᴇ
低	低	ti53	ti1		1	53		t	i	t	i
堤	堤	di24	di2		2	24		d	i	d	i
底	底	ti44	ti3		3	44		t	i	t	i
抵	抵	ti44	ti3		3	44		t	i	t	i
帝	帝	ti423	ti5		5	423		t	i	t	i
梯	梯	tʰi53	thi1		1	53		th	i	tʰ	i
體	体	tʰi44	thi3		3	44		th	i	tʰ	i
替	替	tʰi423	thi5		5	423		th	i	tʰ	i
涕	涕	tʰi423	thi5		5	423		th	i	tʰ	i
剃	剃	tʰi423	thi5		5	423		th	i	tʰ	i
題	题	di24	di2		2	24		d	i	d	i
提	提	di24	di2		2	24		d	i	d	i
啼	啼	di24	di2		2	24		d	i	d	i
蹄	蹄	di24	di2		2	24		d	i	d	i
弟	弟	di31	di4		4	31		d	i	d	i
第	第	di213	di6		6	213		d	i	d	i
泥	泥	ȵi24	gni2		2	24		gn	i	ȵ	i
犁	犁	li24	li2		2	24		l	i	l	i
黎	黎	li24	li2		2	24		l	i	l	i
禮	礼	li31	li4		4	31		l	i	l	i
麗	丽	li213	li6		6	213		l	i	l	i
麗	丽	li24	li2	~水（浙江地名）。	2	24		l	i	l	i
隸	隶	di213	di6		6	213		d	i	d	i
擠	挤	tsi44	tsi3		3	44		ts	i	ts	i
濟	济	tsi423	tsi5		5	423		ts	i	ts	i
妻	妻	tsʰi53	tshi1		1	53		tsh	i	tsʰ	i
齊	齐	zi24	zi2		2	24		z	i	z	i
臍	脐	zi24	zi2		2	24		z	i	z	i
西	西	si53	si1		1	53		s	i	s	i
栖	栖	si53	si1	塘~（浙江杭州地名）。	1	53		s	i	s	i
洗	洗	si44	si3		3	44		s	i	s	i
細	细	si423	si5		5	423		s	i	s	i
婿	婿	si423	si5		5	423		s	i	s	i
胥	胥	si53	si1	伍子~；~门（苏州城门）。	1	53		s	i	s	i
胥	胥	sɿ53	sy1	~口（江苏苏州地名）。	1	53		s	y	s	ɿ
稽	稽	tɕi53	ci1		1	53		c	i	tɕ	i
雞	鸡	tɕi53	ci1		1	53		c	i	tɕ	i
計	计	tɕi423	ci5		5	423		c	i	tɕ	i
繼	继	tɕi423	ci5		5	423		c	i	tɕ	i
溪	溪	tɕʰi53	chi1		1	53		ch	i	tɕʰ	i
啟	启	tɕʰi44	chi3		3	44		ch	i	tɕʰ	i
契	契	tɕʰi423	chi5		5	423		ch	i	tɕʰ	i
系	系	ɦi213	yi6		6	213		y	i	ɦ	i
杯	杯	pᴇ53	pei1		1	53		p	ei	p	ᴇ
輩	辈	pᴇ423	pei5		5	423		p	ei	p	ᴇ
背	背	pᴇ423	pei5	~心。	5	423		p	ei	p	ᴇ
背	背	bᴇ213	bei6	~书。	6	213		b	ei	b	ᴇ
揹	背	pᴇ53	pei1	~包。	1	53		p	ei	p	ᴇ
配	配	pʰᴇ423	phei5		5	423		ph	ei	pʰ	ᴇ
培	培	bᴇ24	bei2		2	24		b	ei	b	ᴇ
陪	陪	bᴇ24	bei2		2	24		b	ei	b	ᴇ
賠	赔	bᴇ24	bei2		2	24		b	ei	b	ᴇ
倍	倍	bᴇ31	bei4		4	31		b	ei	b	ᴇ
佩	佩	bᴇ213	bei6		6	213		b	ei	b	ᴇ
梅	梅	mᴇ24	mei2		2	24		m	ei	m	ᴇ
枚	枚	mᴇ24	mei2		2	24		m	ei	m	ᴇ
媒	媒	mᴇ24	mei2		2	24		m	ei	m	ᴇ
煤	煤	mᴇ24	mei2		2	24		m	ei	m	ᴇ
每	每	mᴇ53	mei1	【文读】	1	53		m	ei	m	ᴇ
妹	妹	mᴇ213	mei6		6	213		m	ei	m	ᴇ
堆	堆	tᴇ53	tei1		1	53		t	ei	t	ᴇ
對	对	tᴇ423	tei5		5	423		t	ei	t	ᴇ
推	推	tʰᴇ53	thei1		1	53		th	ei	tʰ	ᴇ
腿	腿	tʰᴇ44	thei3		3	44		th	ei	tʰ	ᴇ
退	退	tʰᴇ423	thei5		5	423		th	ei	tʰ	ᴇ
隊	队	dᴇ213	dei6		6	213		d	ei	d	ᴇ
內	内	nᴇ213	nei6		6	213		n	ei	n	ᴇ
雷	雷	lᴇ24	lei2		2	24		l	ei	l	ᴇ
累	累	lᴇ31	lei4	【文读】积~。	4	31		l	ei	l	ᴇ
累	累	lᴇ213	lei6	【文读】连~；劳~。	6	213		l	ei	l	ᴇ
累	累	li213	li6	【白读】受~（受苦）。	6	213		l	i	l	i
催	催	tsʰᴇ53	tshei1		1	53		tsh	ei	tsʰ	ᴇ
崔	崔	tsʰᴇ53	tshei1		1	53		tsh	ei	tsʰ	ᴇ
罪	罪	zᴇ31	zei4	【文读】犯~。	4	31		z	ei	z	ᴇ
罪	罪	zæ31	zae4	【白读】~过（可怜）。	4	31		z	ae	z	æ
碎	碎	sæ423	sae5		5	423		s	ae	s	æ
啐	啐	tsʰæ423	tshae5	～人（骂人）。	5	423		tsh	ae	tsʰ	æ
恢	恢	kʰuᴇ53	khuei1		1	53		kh	uei	kʰ	uᴇ
桅	桅	ɦuᴇ24	wei2		2	24		w	ei	ɦ	uᴇ
灰	灰	huᴇ53	huei1		1	53		h	uei	h	uᴇ
悔	悔	huᴇ44	huei3		3	44		h	uei	h	uᴇ
悔	悔	huᴇ423	huei5		5	423		h	uei	h	uᴇ
賄	贿	huᴇ423	huei5		5	423		h	uei	h	uᴇ
回	回	ɦuᴇ24	wei2		2	24		w	ei	ɦ	uᴇ
茴	茴	ɦuᴇ24	wei2		2	24		w	ei	ɦ	uᴇ
彙	汇	ɦuᴇ213	wei6	词~；~编。	6	213		w	ei	ɦ	uᴇ
潰	溃	guᴇ213	guei6		6	213		g	uei	g	uᴇ
蛻	蜕	tʰᴇ423	thei5		5	423		th	ei	tʰ	ᴇ
蛻	蜕	tʰɯ423	thou5	~皮；~壳。	5	423		th	ou	tʰ	ɯ
最	最	tsᴇ423	tsei5		5	423		ts	ei	ts	ᴇ
會	会	kuᴇ423	kuei5	~计；~稽（浙江绍兴地名）。	5	423		k	uei	k	uᴇ
會	会	ɦuᴇ213	wei6	开~。	6	213		w	ei	ɦ	uᴇ
外	外	ŋɑ213	nga6		6	213		ng	a	ŋ	ɑ
繪	绘	ɦuᴇ213	wei6		6	213		w	ei	ɦ	uᴇ
乖	乖	kuɑ53	kua1		1	53		k	ua	k	uɑ
怪	怪	kuɑ423	kua5		5	423		k	ua	k	uɑ
塊	块	kʰuᴇ423	khuei5		5	423		kh	uei	kʰ	uᴇ
懷	怀	ɦuɑ24	wa2	【白读】~孕；姓。	2	24		w	a	ɦ	uɑ
懷	怀	ɦuæ24	wae2	【文读】胸~；~抱；~念。	2	24		w	ae	ɦ	uæ
槐	槐	ɦuɑ24	wa2		2	24		w	a	ɦ	uɑ
淮	淮	ɦuɑ24	wa2		2	24		w	a	ɦ	uɑ
壞	坏	ɦuɑ213	wa6		6	213		w	a	ɦ	uɑ
拐	拐	guɑ31	gua4	走路不平衡。	4	31		g	ua	g	uɑ
拐	拐	kuɑ44	kua3	手杖。	3	44		k	ua	k	uɑ
掛	挂	ku423	ku5		5	423		k	u	k	u
卦	卦	ku423	ku5		5	423		k	u	k	u
歪	歪	huɑ53	hua1		1	53		h	ua	h	uɑ
畫	画	ɦu213	wu6		6	213		w	u	ɦ	u
快	快	kʰuɑ423	khua5		5	423		kh	ua	kʰ	uɑ
快	快	kʰɑ423	kha5	~活。	5	423		kh	a	kʰ	ɑ
筷	筷	kʰuæ423	khuae5		5	423		kh	uae	kʰ	uæ
話	话	ɦu213	wu6		6	213		w	u	ɦ	u
脆	脆	tsʰᴇ423	tshei5		5	423		tsh	ei	tsʰ	ᴇ
歲	岁	sᴇ423	sei5		5	423		s	ei	s	ᴇ
稅	税	sᴇ423	sei5	【文读】	5	423		s	ei	s	ᴇ
稅	税	sɿ423	sy5	【白读】~宝汇（上海金山地名）。	5	423		s	y	s	ɿ
衛	卫	ɦuᴇ213	wei6		6	213		w	ei	ɦ	uᴇ
銳	锐	sᴇ423	sei5		5	423		s	ei	s	ᴇ
廢	废	fi423	fi5		5	423		f	i	f	i
肺	肺	fi423	fi5		5	423		f	i	f	i
桂	桂	kuᴇ423	kuei5	【文读】~花；~林（广西地名）。	5	423		k	uei	k	uᴇ
桂	桂	tɕi423	ci5	【白读】~皮；姓：~家桥，~家宅，~家木行，~巷（上海宝山地名）。	5	423		c	i	tɕ	i
惠	惠	ɦuᴇ213	wei6		6	213		w	ei	ɦ	uᴇ
彗	彗	ɦuᴇ213	wei6		6	213		w	ei	ɦ	uᴇ
慧	慧	ɦuᴇ213	wei6		6	213		w	ei	ɦ	uᴇ
碑	碑	pᴇ53	pei1		1	53		p	ei	p	ᴇ
卑	卑	pᴇ53	pei1		1	53		p	ei	p	ᴇ
臂	臂	pi423	pi5		5	423		p	i	p	i
披	披	pʰi53	phi1		1	53		ph	i	pʰ	i
皮	皮	bi24	bi2		2	24		b	i	b	i
疲	疲	bi24	bi2		2	24		b	i	b	i
脾	脾	bi24	bi2		2	24		b	i	b	i
被	被	bi31	bi4	~头；~单。	4	31		b	i	b	i
被	被	bᴇ213	bei6	~动；~告。	6	213		b	ei	b	ᴇ
避	避	bi213	bi6		6	213		b	i	b	i
離	离	li24	li2		2	24		l	i	l	i
籬	篱	li24	li2		2	24		l	i	l	i
璃	璃	li24	li2		2	24		l	i	l	i
離	离	li24	li2		2	24		l	i	l	i
紫	紫	tsɿ44	tsy3		3	44		ts	y	ts	ɿ
雌	雌	tsʰɿ53	tshy1		1	53		tsh	y	tsʰ	ɿ
此	此	tsʰɿ53	tshy1		1	53		tsh	y	tsʰ	ɿ
刺	刺	tsʰɿ423	tshy5		5	423		tsh	y	tsʰ	ɿ
斯	斯	sɿ53	sy1		1	53		s	y	s	ɿ
撕	撕	sɿ53	sy1		1	53		s	y	s	ɿ
撕	撕	si53	si1		1	53		s	i	s	i
廝	廝	sɿ53	sy1		1	53		s	y	s	ɿ
知	知	tsɿ53	tsy1		1	53		ts	y	ts	ɿ
蜘	蜘	tsɿ53	tsy1		1	53		ts	y	ts	ɿ
智	智	tsɿ423	tsy5		5	423		ts	y	ts	ɿ
池	池	dzɿ24	dzy2		2	24		dz	y	dz	ɿ
馳	驰	dzɿ24	dzy2		2	24		dz	y	dz	ɿ
支	支	tsɿ53	tsy1		1	53		ts	y	ts	ɿ
枝	枝	tsɿ53	tsy1		1	53		ts	y	ts	ɿ
肢	肢	tsɿ53	tsy1		1	53		ts	y	ts	ɿ
梔	栀	tsɿ53	tsy1		1	53		ts	y	ts	ɿ
只	只	tsɿ44	tsy3		3	44		ts	y	ts	ɿ
只	只	tsᴇʔ5	tseq7	~是；~有；~不过。	7	5		ts	eq	ts	ᴇʔ
隻	只	tsɑʔ5	tsaq7	量词。	7	5		ts	aq	ts	ɑʔ
紙	纸	tsɿ44	tsy3		3	44		ts	y	ts	ɿ
施	施	sɿ53	sy1		1	53		s	y	s	ɿ
翅	翅	tsʰɿ423	tshy5		5	423		tsh	y	tsʰ	ɿ
是	是	zɿ31	zy4		4	31		z	y	z	ɿ
氏	氏	zɿ31	zy4		4	31		z	y	z	ɿ
兒	儿	ȵi24	gni2	【白读】~子。	2	24		gn	i	ȵ	i
兒	儿	əl24	er2	【文读】~童。	2	24			er		əl
兒	儿	ŋ̍24	ng2	词后作儿尾：女~。	2	24			ng		ŋ̍
寄	寄	tɕi423	ci5	【文读】	5	423		c	i	tɕ	i
寄	寄	kᴇ423	kei5	【白读】	5	423		k	ei	k	ᴇ
企	企	tɕʰi44	chi3		3	44		ch	i	tɕʰ	i
奇	奇	dʑi24	ji2		2	24		j	i	dʑ	i
騎	骑	dʑi24	ji2	~马。	2	24		j	i	dʑ	i
騎	骑	dʑi213	ji6	坐~。	6	213		j	i	dʑ	i
岐	岐	dʑi24	ji2		2	24		j	i	dʑ	i
歧	歧	dʑi24	ji2		2	24		j	i	dʑ	i
技	技	dʑi31	ji4		4	31		j	i	dʑ	i
妓	妓	dʑi31	ji4		4	31		j	i	dʑ	i
宜	宜	ȵi24	gni2		2	24		gn	i	ȵ	i
儀	仪	ȵi24	gni2		2	24		gn	i	ȵ	i
儀	仪	ɦi24	yi2	~门；正~（江苏昆山地名）。	2	24		y	i	ɦ	i
蟻	蚁	mi31	mi4		4	31		m	i	m	i
義	义	ȵi213	gni6		6	213		gn	i	ȵ	i
議	议	ȵi213	gni6		6	213		gn	i	ȵ	i
誼	谊	ȵi213	gni6		6	213		gn	i	ȵ	i
犧	牺	ɕi53	shi1		1	53		sh	i	ɕ	i
漪	漪	i53	i1		1	53			i		i
猗	猗	i53	i1		1	53			i		i
猗	猗	dʑi24	ji2	古~园（嘉定南翔的一座园林）。	2	24		j	i	dʑ	i
倚	倚	i44	i3		3	44			i		i
椅	椅	i44	i3		3	44			i		i
移	移	ɦi24	yi2		2	24		y	i	ɦ	i
易	易	ɦi213	yi6		6	213		y	i	ɦ	i
悲	悲	pᴇ53	pei1		1	53		p	ei	p	ᴇ
屄	屄	pi53	pi1		1	53		p	i	p	i
比	比	pi44	pi3		3	44		p	i	p	i
泌	泌	pi423	pi5		5	423		p	i	p	i
秘	秘	pi423	pi5		5	423		p	i	p	i
庇	庇	pi423	pi5		5	423		p	i	p	i
痺	痺	bi213	bi6	同“痹”。	6	213		b	i	b	i
痹	痹	bi213	bi6		6	213		b	i	b	i
屁	屁	pʰi423	phi5		5	423		ph	i	pʰ	i
