	注释：-白读，=文读
n	[1]拿[2]南楠篮蓝榄[3]览缆榄揽[5]滥
ts	[1]争[2]睛[3]斩崭井[4]錾[5]站栈暂
tsʰ	[1]生-{不熟}青-参{～加}[3]惨醒[5]忏撑
s	[1]三杉衫生-{～育}牲甥[3]省{节～}[5]□{食不拘礼}
k	[1]监{～牢}更{三～}甘{～草}[2]含-[3]减感哽梗[5]监{太～}降□{黄～：鸟名}
kʰ	[1]坑[3]坎砍舰[4]□{掐脖子}[5]抗勘戡
ŋ	[2]岩{龙～}[3]雅
x	[2]含=咸衔涵函[3]喊[5]陷
∅	[1]唵{～娘}俺[2]桁{椽}[5]暗
#iɔ̃	
p	[2]平-坪[3]饼[5]併-摒
pʰ	[1]胼{背}栟{借柱架椽}[2]评{妄评}[3]饼{物制成盘状}[4]□{水溢}
m	[1]□{胶合}[4]名-明-{松明}[5]命-
t	[1]□{后跟}[3]鼎{铁锅}[5]郑定-{稳定}
tʰ	[1]厅听-[2]呈程[3]□{扒物}[5]定{～亲}
n	[2]灵{～堂}晾[3]领岭
ts	[1]正{～月}精-{精美}[3]䭕{味淡}[5]正-{端正}
tsʰ	[3]请且[5]请{雇请}
s	[1]声-兄[2]成{八～}□{引诱}[5]性-姓盛{存～：嫁妆}
k	[1]惊-{怕}[2]行-{走}[5]镜鉴
kʰ	[1]□{乌～：鸟名}
∅	[1]营赢=岩迎{游行}[2]娘{阿～：呼母}[5]䁐{看}
#ɔɪ̃	
p	[1]崩冰班斑颁[2]朋棚=瓶[3]板坂反-[5]办汾
pʰ	[1]烹攀[5]瓣
m	[2]蛮闽[3]猛[5]孟慢蔓
t	[1]灯登钉瞪[2]亭停{～止}澄滕腾誉藤填[3]点顶等[4]垫但[5]店惦旦蛋邓
tʰ	[1]蛏[2]停{～酒：筛酒}[3]坦[5]叹
n	[1]□{乳房}[2]铃零翎能[3]冷[4]□{捏}[5]念
ts	[1]曾增缯争=筝榛臻蓁[2]层曾{～经}橙[3]盏剪翦戬[5]甑憎赠赞
tsʰ	[1]呻-田塍{田}[3]铲筅{刷}[4]□{突出}[5]颤{翘起}
s	[1]参{人～}森生=星先-笙[2]鳞[3]产省-{～会}醒=[5]鉎{锈}腥
k	[1]根=跟竿肝=乾间奸肩耕庚干{～支}[3]碱捍秆茧简裥涧赶粳[5]幹{～部}更{～新}间{～断}谏
kʰ	[1]轻-刊镌牵-[3]肯啃[5]看
ŋ	[2]颜[3]眼研-{～压}[5]岸雁硬
x	[1]亨[2]闲=还-{～钱}恒衡行{～为、行动}[3]很狠罕[4]恨限憾[5]幸行{品～}苋杏悻
∅	[1]恩莺[2]闲-{～话}[3]笕{导水管}[5]案按晏应-{～答}
