来源：	唐爱华 刘玲燕 2015 《东至龙泉方言研究》
ȵ	［2］元原源［3］软［6］愿□{不～：身体不舒服}
ɕ	［1］闩{～门}拴栓宣喧［2］悬
∅	［1］冤［2］圆园缘源［3］远［5］怨［6］院［7］□{大声叫}
#ɛ	
p	［1］卑悲［5］辈背{～后}贝褙{～鞋：鞔鞋帮儿}［7］钵拨{₁}
pʰ	［1］胚［2］培陪赔［5］配沛［6］焙倍背{～书}［7］泼{～水；活～}魄迫
m	［2］谋{₁～财害命}梅媒煤霉{拴}［3］某每美［6］妹昧［7］末沫墨默脉陌没{沉～}
f	［2］浮{₁轻～；～梁：地名}［3］否{₁}
t	［1］堆［3］斗{一～}抖陡［5］兑队对碓斗{～争}［7］得德掇
tʰ	［1］推偷［2］头投［3］腿敨{～气}［5］蜕{～皮}退透［6］特逗［7］脱
n	［2］□{～～：❶揉揉❷对猪的昵称}［3］你［6］内
l	［1］□{抠，掏}［2］雷楼来{₁}［3］累{积～}磊垒□{～人：用脚踢人}［6］累{～着：累了}类泪=漏陋捋{～胡子}［7］肋勒
tʂ	［1］追{₂}［3］者=［7］褶{衣～}摺{～叠}浙{～江}折{～断}窄哲
tʂʰ	［7］彻撤
ʂ	［1］搜馊奢［2］□{脾气坏}［3］□{搜查}［5］舍{宿～}赦涉瘦［6］折{～本}舌社［7］摄设
ts	［3］走［5］最揍{～出去：撵出去}［7］则责侧{₂～面}
tsʰ	［1］催崔［5］脆翠凑［6］罪贼在{～世}□{一～风：一阵风}［7］厕策册测泽
s	［2］些{₂一～；好～}［5］碎［7］塞色涩
k	［1］该勾钩沟□{～不动：拿不动}［3］改狗［5］够概{₂}［7］革
kʰ	［1］开［2］渠{人称代词}［3］口［5］扣［7］刻克
ŋ	［3］呕藕［5］爱［6］啮［7］额□{～人：衣服太紧，穿着不舒服}
x	［2］侯喉桁{～子：檩子}［3］海吼□{～气：喘气}［6］害候亥厚后核{₂～心}［7］黑
∅	［2］而儿［3］耳{₂木～}饵尔{₂}乳{腐～}［6］二贰耳{₁～朵儿}
#iɛ	
p	［7］憋鳖
pʰ	［3］□{～开：用力掰开}□{～子碗：海碗}［6］别{区～；离～}［7］撇{～捺}
m	［3］□{～断：掰断}［7］灭篾
t	［1］爹{₂}［6］戾?{行为叛逆}列捩{～干：拧干}□{歪，斜}［7］跌谍碟裂猎烈劣
tʰ	［6］叠蝶［7］铁贴帖{请～}
tɕ	［5］借{₂～口}［7］揭接节结洁劫杰捷
tɕʰ	［3］且{并～}［6］绝［7］怯{～场}切妾
ȵ	［7］捏聂镊{～子}孽{造～}业
ɕ	［2］邪斜=［3］写□{男孩；小伙子}［5］泄［6］解谢{～～}协［7］穴薛歇蝎{～子}雪胁屑
∅	［6］翼?{～夹：翅膀}［7］叶页噎咽{喉咙～着：嗓子沙哑}𥣘{谷～：不饱满的稻子}
#uɛ	
k	［5］盖{₁}［7］国割
kʰ	［7］阔
x	［1］灰恢挥{～手}［2］蛔{～虫}回［3］毁悔［6］汇会{开～；不～}惠慧讳{避～}或惑活{～动；生～}
∅	［1］煨［6］位{₁～子}活{～着：活了}［7］物勿
#yɛ	
tɕ	［7］倔诀决
tɕʰ	［2］瘸［6］掘［7］缺
ȵ	［7］月{～光：月亮}
ɕ	［1］靴{₂}［7］血说{～书}
∅	［3］□{～人：喊人}［7］悦阅越粤热
#o	
p	［1］巴疤粑芭{～茅：斑茅草}［3］把［5］霸坝罢［7］八拨{₂挑～}钹
pʰ	［1］杷{枇～}琶{琵～}［2］扒{～子手：扒手；～痒：抓痒}爬筢{～子}耙{梳～：农具}［5］怕［6］稗{～草}拔
m	［1］蟆{蛤～}［2］麻［3］马码［6］骂［7］抹
f	［6］罚乏［7］发法
t	［7］答{～应}搭□{～倒：跌倒}
tʰ	［6］踏{～脚板，～脚石板}□{～菜：择菜}达［7］搨{～胭脂}踏{脚～车}塔塌{～方}
n	［6］捺{按住，塞进去：～手模；～跤儿：摔跤}［7］纳捺{撇～}
l	［1］拉［3］喇{～叭}［6］蜡腊辣瘌{～痢}
tʂ	［1］抓渣遮［3］者爪□{～子：建筑用碎石}［5］诈榨炸蔗{甘～}［7］轧{～花厂}闸扎{～干针：扎银针}铡只{一～}炙{～火：烤火}
tʂʰ	［1］叉差{～不多}车［2］查茶［3］扯［5］岔［6］□{清洗，清扫}［7］察尺赤{～脚}
