字	声	韵	调	注释	原拼音	原字头
蹦	ʋ	aŋ	32		vang`	蹦
包	ʋ	au	33		vao'	包
包	ʋ	au	335		vao'-	包2
饱	ʋ	au	55		vao-	饱
龅	ʋ	au	32		vao`	龅
包	ʋ	au	21		vao>	包3
包	ʋ	au	215		vao>-	包4
笔	ʋ	ɜt	55		ved-	笔
役	ʋ	ɜt	32		ved`	役2
瀑	ʋ	ək	32		veg`	瀑
悲	ʋ	ɛi	33		vei'	悲
比	ʋ	ɛi	55		vei-	比
备	ʋ	ɛi	32		vei`	备
篦	ʋ	ɛi	325		vei`-	篦2
臂	ʋ	ɛi	21		vei>	臂1
奔	ʋ	ɜn	33		ven'	奔1
丙	ʋ	ɜn	55		ven-	丙
荣	ʋ	ɜn	11		ven*	荣
并	ʋ	ɜn	32		ven`	并
永	ʋ	ɜn	21		ven>	永
蒙	ʋ	əŋ	33		veng'	蒙)
捧	ʋ	əŋ	55		veng-	捧2
背	ʋ	iɛ	21		vie>	背)
憋	ʋ	iɜt	33		vied'	憋
必	ʋ	iɜt	55		vied-	必
鳖	ʋ	iɜt	32		vied`	鳖
鞭	ʋ	iɜn	33		vien'	鞭
贬	ʋ	iɜn	55		vien-	贬
辩	ʋ	iɜn	32		vien`	辩
辫	ʋ	iɜn	21		vien>	辫
屏	ʋ	iɛŋ	33		vieng'	屏]
饼	ʋ	iɛŋ	55		vieng-	饼
病	ʋ	iɛŋ	32		vieng`	病
柄	ʋ	iɛŋ	21		vieng>	柄
标	ʋ	iɜu	33		vieu'	标
表	ʋ	iɜu	335		vieu'-	表2
表	ʋ	iɜu	55		vieu-	表1
煲	ʋ	ɔ	33		vo'	煲
保	ʋ	ɔ	55		vo-	保
暴	ʋ	ɔ	32		vo`	暴1
拨	ʋ	ɔt	33		vod'	拨2
拨	ʋ	ɔt	55		vod-	拨1
活	ʋ	ɔt	32		vod`	活
钵	ʋ	ɔt	21		vod>	钵
驳	ʋ	ɔk	33		vog'	驳1
博	ʋ	ɔk	55		vog-	博
薄	ʋ	ɔk	32		vog`	薄1
镬	ʋ	ɔk	21		vog>	镬
贝	ʋ	ɔi	33		voi'	贝
搵	ʋ	ɔi	55		voi-	搵3
回	ʋ	ɔi	11		voi*	回
会	ʋ	ɔi	32		voi`	会1
会	ʋ	ɔi	21		voi>	会2
半	ʋ	ɔn	33		von'	半1
碗	ʋ	ɔn	55		von-	碗
换	ʋ	ɔn	32		von`	换
半	ʋ	ɔn	21		von>	半2
帮	ʋ	ɔŋ	33		vong'	帮1
帮	ʋ	ɔŋ	335		vong'-	帮2
汪	ʋ	ɔŋ	55		vong-	汪
徨	ʋ	ɔŋ	11		vong*	徨
旺	ʋ	ɔŋ	32		vong`	旺
往	ʋ	ɔŋ	21		vong>	往
玻	ʋ	u	33		vu'	玻
波	ʋ	u	335		vu'-	波}
补	ʋ	u	55		vu-	补
湖	ʋ	u	11		vu*	湖
护	ʋ	u	32		vu`	护
芋	ʋ	u	21		vu>	芋
不	ʋ	ut	55		vud-	不
核	ʋ	ut	21		vud>	核2
畏	ʋ	ui	33		vui'	畏
伟	ʋ	ui	55		vui-	伟
违	ʋ	ui	11		vui*	违
胃	ʋ	ui	32		vui`	胃
温	ʋ	un	33		vun'	温
稳	ʋ	un	55		vun-	稳
云	ʋ	un	11		vun*	云
运	ʋ	un	32		vun`	运
允	ʋ	un	21		vun>	允
窝	ʋ	uɔ	33		vuo'	窝
禾	ʋ	uɔ	11		vuo*	禾
祸	ʋ	uɔ	32		vuo`	祸
簸	ʋ	uɔ	21		vuo>	簸]
亚	ʔ	a	33		a'	亚
嗄	ʔ	a	335		a'-	嗄2
哑	ʔ	a	55		a-	哑1
啊	ʔ	a	32		a`	啊5
桠	ʔ	a	21		a>	桠
鸭	ʔ	ap	33		ab'	鸭
答	ʔ	ap	55		ab-	答
踏	ʔ	ap	32		ab`	踏1
鸽	ʔ	ap	21		ab>	鸽
押	ʔ	at	33		ad'	押
压	ʔ	at	55		ad-	压
达	ʔ	at	32		ad`	达
哒	ʔ	at	21		ad>	哒
得	ʔ	ak	33		ag'	得4
德	ʔ	ak	55		ag-	德
特	ʔ	ak	32		ag`	特
轭	ʔ	ak	21		ag>	轭
带	ʔ	ai	33		ai'	带1
矮	ʔ	ai	55		ai-	矮
大	ʔ	ai	32		ai`	大3
弟	ʔ	ai	325		ai`-	弟2
带	ʔ	ai	21		ai>	带2
担	ʔ	am	33		am'	担
胆	ʔ	am	55		am-	胆
氮	ʔ	am	32		am`	氮
丹	ʔ	an	33		an'	丹
旦	ʔ	an	55		an-	旦-
但	ʔ	an	32		an`	但
灯	ʔ	aŋ	33		ang'	灯
等	ʔ	aŋ	55		ang-	等
邓	ʔ	aŋ	32		ang`	邓
凳	ʔ	aŋ	21		ang>	凳
罂	ʔ	aŋ	215		ang>-	罂2
欧	ʔ	au	33		ao'	欧
鸥	ʔ	au	335		ao'-	鸥
抖	ʔ	au	55		ao-	抖
逗	ʔ	au	32		ao`	逗
窦	ʔ	au	21		ao>	窦2
诶	ʔ	ɛ	33		e'	诶3
诶	ʔ	ɛ	335		e'-	诶2
诶	ʔ	ɛ	55		e-	诶1
的	ʔ	ɜt	33		ed'	的'
嫡	ʔ	ɜt	55		ed-	嫡
敌	ʔ	ɜt	32		ed`	敌
的	ʔ	ɜt	21		ed>	的>
督	ʔ	ək	33		eg'	督'
督	ʔ	ək	55		eg-	督
读	ʔ	ək	32		eg`	读
嗝	ʔ	ək	21		eg>	嗝)
知	ʔ	ɛi	33		ei'	知]
畀	ʔ	ɛi	55		ei-	畀2
地	ʔ	ɛi	32		ei`	地2
蒂	ʔ	ɛi	21		ei>	蒂
砧	ʔ	ɜm	21		em>	砧
叮	ʔ	ɜn	33		en'	叮
顶	ʔ	ɜn	55		en-	顶1
定	ʔ	ɜn	32		en`	定
冬	ʔ	əŋ	33		eng'	冬
董	ʔ	əŋ	55		eng-	董
动	ʔ	əŋ	32		eng`	动
瓮	ʔ	əŋ	21		eng>	瓮
爹	ʔ	iɛ	33		ie'	爹1
嗲	ʔ	iɛ	55		ie-	嗲
喋	ʔ	iɜp	55		ieb-	喋-
叠	ʔ	iɜp	32		ieb`	叠
跌	ʔ	iɜt	33		ied'	跌
迭	ʔ	iɜt	32		ied`	迭
滴	ʔ	iɛk	33		ieg'	滴2
滴	ʔ	iɛk	55		ieg-	滴3
笛	ʔ	iɛk	32		ieg`	笛
店	ʔ	iɜm	33		iem'	店
点	ʔ	iɜm	55		iem-	点
掂	ʔ	iɜm	32		iem`	掂`
癫	ʔ	iɜn	33		ien'	癫
典	ʔ	iɜn	55		ien-	典
电	ʔ	iɜn	32		ien`	电
钉	ʔ	iɛŋ	33		ieng'	钉1
顶	ʔ	iɛŋ	55		ieng-	顶2
定	ʔ	iɛŋ	32		ieng`	定2
碉	ʔ	iɜu	33		ieu'	碉
调	ʔ	iɜu	32		ieu`	调2
噢	ʔ	ɔ	33		o'	噢
哦	ʔ	ɔ	335		o'-	哦1
捣	ʔ	ɔ	55		o-	捣
道	ʔ	ɔ	32		o`	道
袄	ʔ	ɔ	21		o>	袄
夺	ʔ	ɔt	32		od`	夺
恶	ʔ	ɔk	33		og'	恶'
恶	ʔ	ɔk	55		og-	恶1
度	ʔ	ɔk	32		og`	度2
爱	ʔ	ɔi	33		oi'	爱
蔼	ʔ	ɔi	55		oi-	蔼
代	ʔ	ɔi	32		oi`	代
安	ʔ	ɔn	33		on'	安
短	ʔ	ɔn	55		on-	短
段	ʔ	ɔn	32		on`	段
当	ʔ	ɔŋ	33		ong'	当
党	ʔ	ɔŋ	55		ong-	党
荡	ʔ	ɔŋ	32		ong`	荡
多	ʔ	ou	33		ou'	多
躲	ʔ	ou	55		ou-	躲
杜	ʔ	ou	32		ou`	杜1
凸	ʔ	ɵt	32		oud`	凸
突	ʔ	ɵt	21		oud>	突>
堆	ʔ	øy	33		oui'	堆
兑	ʔ	øy	32		oui`	兑1
对	ʔ	øy	21		oui>	对2
敦	ʔ	ɵn	33		oun'	敦1
墩	ʔ	ɵn	55		oun-	墩
顿	ʔ	ɵn	32		oun`	顿1
顿	ʔ	ɵn	21		oun>	顿>
