来源：	郭建荣 2013《孝义文化丛书 - 乡言研究》；Hynuza 整理录入
Ø	［1］威微巍危为{~人}□{钻}惟唯帷维违围［3］委={~员}尾=伟苇=纬伪萎煨［5］未味畏喂=胃渭谓为{因~}卫魏位外-硙碨{~眼}慰{安~}
#ou
t	［1］都{~好}头-{~儿：领导}［3］斗{量器}抖兜{~蓬}陡［5］豆逗痘斗{争~}窦{姓}透-{~气}
tʰ	［1］偷头={~巾}投［5］透{交媾}
n	［1］奴□{娇气}［3］努{~力}［5］怒
l	［1］娄{疏松：这瓜吃的酥~样地}搂{~柴}楼耧{~儿：播种农具}髅□{够：不~做}卢芦炉［3］陋虏鲁搂{~抱}篓{~~：小篮子}卤［5］漏陆露赂路{姓}□{圪~：打嗝儿}
ts	［1］租诌{胡~}揪{一把~住}邹{姓~}［3］走祖［5］奏揍骤争就做{(旧)}
tsʰ	［1］粗□{提：~鞋}愁仇［5］醋措{~施}凑□{老驴跌到~尾巴}
s	［1］搜馊{饭食变坏}苏□{蠹：蛆儿~}嗉酥［3］擞{圪~：抖动}□{倾囊倒出}飕{凉~~}［5］嗽素诉塑瘦□{土-：以土扬洒}
tʂ	［1］周稠州洲昼轴［3］□{催迫}［5］纣荮{量词：一~子碗}宙咒㤘{脾气倔：~巴巴地}
tʂʰ	［1］抽筹酬绸［3］瞅丑［5］臭
ɳ	［3］扭纽肘{圪~骨儿}
ʂ	［1］收［3］手守首［5］受授售寿兽
ɻ	［1］柔揉［5］肉□{以光脚板儿踢人或踩物：了一足}
k	［1］勾钩沟［3］狗枸［5］够购
kʰ	［1］抠［3］口［5］寇扣
ŋ	［1］欧殴［3］藕偶呕熰{烧焦}殴［5］沤怄
x	［1］侯{姓}喉猴瘊{~~}［5］后厚候
#iou
m	［1］咪{~儿：唤猫儿}
t	［1］丢□{「提留」的合音}□{~溜子：老鹰}
tʰ	［3］□{滑}□{批评}
ȵ	［1］牛
l	［1］刘{姓}流琉留瘤榴溜{~舔：巴结}［3］柳□{削：把头发~了一下}［5］六溜瓦遛镏{金~子}馏霤{滴~儿：房檐下垂挂着的冰条}溜{量词，犹「行」：一~树儿}
tɕ	［1］揪蹴{圪~：蹲}纠毯{~儿：男性生殖器}［3］酒九玖灸韭□{锤击}［5］就{~手：顺手}救旧舅
tɕʰ	［1］秋偢{答理：不~不睬}求球裘丘邱囚煪{烟~住啦：煤气中毒}［3］□{催迫}□{局蹐，依偎：~得居舍不出来}［5］愀{~油没谈：漫不经心}
ɕ	［1］羞休修［3］朽［5］袖秀锈绣嗅
Ø	［1］尤忧优犹幽悠游莜游由油蚰邮［3］有友莠{谷~子}酉［5］又右佑釉幼诱
#aŋ
p	［1］般=搬=斑班颁邦梆=帮=扳{~手儿}［3］板版榜膀=绑=扁=［5］瓣半=拌={~嘴}伴=绊=扮办棒=
pʰ	［1］攀{~亲}潘{姓~}蟠{~桃}盘=旁=庞={姓~}螃={~蟹}［5］盼判=叛袢{~~：系于猪、狗颈部的带子}胖=
m	［1］蔓=馒=忙=茫妈-氓芒={~种}硭盲蛮={~横}［3］满=莽=蟒［5］漫=慢嫚{懈~：轻视}
t	［1］担{~负}当={~兵}裆=弹{子~}丹噹{象声词}铛{铃~}单耽［3］掸{~子}胆党疸挡{阻~}［5］弹{~弓}淡氮诞旦担{~子}石{量器}但蛋当{~铺}□{~子：房屋上的梁}挡{制止：~住不给走}荡{~面：罗面}
tʰ	［1］贪滩摊瘫堂=瞠棠膛汤=檀弹{~簧}痰唐糖搪［3］毯坦淌{~水：流汗}躺=［5］探叹炭碳烫=
n	［1］南男难{~为}［3］喃{圪~：絮絮叨叨}馕{吃(贬义)}［5］难{灾~}
l	［1］兰栏蓝篮岚{~县}褴{~楼}郎廊啷阑{~尾炎}狼=缆{电~线}燣{~肉：将肉加料过火}［3］懒漤{用热水或石灰水泡以除去涩味：~柿子}揽［5］滥烂浪
ts	［1］脏簪{-子}蚕={-沙：脸上的斑点}［3］攒盏斩=［5］暂赞葬藏{西~}脏{五~}站蘸绽{~子}牂{~羊：肉用羊}崭{~新}
tsʰ	［1］餐参仓=苍舱蚕=藏馋=谗搀{~搅：使混杂}残惨黪{黑~~}惭［3］产铲刬{一~新}［5］孱{~头：软弱无能的人}灿□{~邪：往歪处想}□{~行：抢占别人的事情}
nᶻ	［1］喃{~闲话}□{嚼：~甜甜}［3］攮{~子}馕［5］𩅠{陷于泥中}
s	［1］叁三山衫丧={~事}桑=馋-［3］伞散{~话}嗓散{解~}丧{~气}苫{~子：屋顶上着泥瓦的芦苇或禾柴}□{薄~子：缸底，用以喂猪}
tʂ	［1］沾瞻樟展章张=毡=［3］掌=长={~孙}涨=［5］战丈=仗账=帐={~子}
tʂʰ	［1］昌猖娼尝偿{~命}肠=缠=常长{~工}［3］场厂敞{~开儿：没有限制}氅{二~：一种外套}畅［5］唱倡
ɳ	［1］粘=［3］碾=
ʂ	［1］伤墒=商=扇=［3］闪=陕赏晌=［5］善膳扇=骟=尚={~书}绱=上=裳=
ɻ	［1］然［3］染-嚷燃=攘=［5］让=
k	［1］肛冈刚=钢纲干={~燥}杆{~子}竿{竹~~}甘缸［3］赶秆{一~秤}秆{~草}感擀敢［5］干=幹□{太阳红~~地}赣港杠
kʰ	［1］堪康慷糠=刊勘看{~守所}［3］槛{门~子：指后台}砍坎{~肩肩：背心}扛侃［5］看=炕=
ŋ	［1］安=氨鞍=昂庵=［3］俺［5］案=按=暗=岸
x	［1］憨={~厚}夯{打~机}韩函寒={~心}韩含涵杭航行{~家}咸{~水：非食用水}衔{口里~得肉}［3］喊［5］汗=旱=焊鼾=汉憾巷={~道}翰
#iaŋ
p	［1］编=鞭=边=［3］扁=匾=贬=□{揍}［5］辨=辩=辫=汴{~梁}变=遍=便={方~}
pʰ	［1］偏=便={~宜}［3］谝={~能}［5］片=骗=篇=
m	［1］棉=绵=眠［3］腼={~腆}免=勉冕娩［5］面=
t	［1］癫巅拈{~量}颠=甜-［3］点=典=碘［5］垫=店=电=佃=蕈={~席}殿=奠=
tʰ	［1］添=天=田=甜=填=［3］舔=腆={腼~}
ȵ	［1］淹娘=年=颜［3］眼捻=撵=□{打：~酒}撚{吃醋~酸}仰-{~承：纸制的顶棚}［5］念=雁
l	［1］帘=廉镰=粱梁=粮=恋联=连=莲=凉=良量={~角器}［3］两=脸=俩=［5］炼=练=殓={入~}链=谅晾=亮辆量=
tɕ	［1］肩=歼监{~狱}尖=奸江僵=疆缰=礓=煎={~饼}刚-兼间将={~来}豇=姜奖蒋坚［3］简剪=茧=拣减碱检俭检讲□{~爷：外祖父}［5］箭间{~谷儿：锄谷地}谏{~啯啯：进馋言}践贱=溅=荐渐见=舰剑=建毽键酱=箭=健匠=降{~雨}将{大~}锏{车轴铁键}
tɕʰ	［1］牵=铅千=迁={~就}虔{炮~}纤枪谦黔鹐{鸟啄}腔锨=遣潜前=乾{~隆}虔{~诚}遣钱=钳=墙=［3］浅=抢=强=［5］欠=歉=嵌呛=
ɕ	［1］襄镶=湘祥相={~互}仙=先=香=箱厢={~房儿}闲=嫌=贤=详衔{~接}咸{~盐}［5］宪=献=县=现=馅限项相={~公}象=橡=像降{投~}［3］显=鲜=险享想=响=饷癣=
Ø	［1］烟胭秧{~歌}央{~告}殃鸯{鸳~}焉{心不在~}阎=研檐=蜒=延{~长}颜=盐=严岩沿=羊=洋阳杨=扬=［3］演掩=眼=衍={敷~}养=氧痒{发~}仰=［5］谚艳燕厌雁=咽={~气}砚=焰=验=晏沿={边~}样=
#uaŋ
t	［1］端=嘡{象锣声}［3］短=［5］断=锻缎=椴=段
n	［3］暖=
l	［1］恋{(旧)}［5］乱=
ts	［1］钻={~研}桩{一~事}专砖=装=庄=［3］转={~正}［5］转={~向}传={自~}赚篆撞壮=状钻=
tsʰ	［1］穿=窗=传={~说}船=床=川疝{~气}［5］串={~联}窜篡
s	［1］栓拴双=霜=酸=［3］磢{~米：碾米(录入者注：似应为䊲/𥽽，意为舂米)}爽={~快}［5］涮{洗~}算=蒜=
z	［3］软=
k	［1］官=棺=关=观=光=［3］管=馆广=［5］冠灌罐贯惯掼{~锤锤：两拳相击}桄{一~儿线}
kʰ	［1］宽=框匡筐=狂［3］款=［5］况矿旷
x	［1］欢={~实：活跃}翻方=还荒慌=癀黄=番簧磺=凰帆矾皇惶喤{~~：小儿哭叫}烦繁凡-{~人}芳坊=肪房=防=妨=枋{野棺~儿：坟前木}［3］反返仿=纺=谎=幌=［5］饭贩=犯范放=换=焕痪泛梵宦樊晃=
Ø	［1］豌=王=汪=弯=湾完=玩顽丸=亡{~国}［3］绾{系：~圪瘩}碗婉挽晚往=网=枉=［5］万蔓{西瓜~}腕=忘=妄望=旺=
#yaŋ
tɕ	［1］捐娟［3］卷={~包：一兜拿走}［5］卷={考试~子}倦娟圈{猪~}
tɕʰ	［1］圈{~套}痊颧{~骨}全=拳=泉=权［3］犬［5］劝
ɕ	［1］宣=喧渲暄={松软而有弹性}轩眩绚掀=玄悬{危险：好~}［3］选［5］楦{鞋~}碹{窑~儿}旋=漩=
Ø	［1］渊鸳袁冤=元=园=圆=猿原=源员援缘=［3］远=［5］院=愿=怨=
#əŋ
p	［1］崩={枪~：枪毙}绷{拉紧}锛{~子}奔{~头}盆-{~子}［3］本绷={~着脸}［5］奔笨泵蹦{~达}绷={胀裂}坌{~碗：粗碗}
pʰ	［1］喷盆=篷朋棚=［3］捧□{羊以角抵人}［5］碰喷{~嚏}
m	［1］蒙朦檬□{~住啦：昏迷过去}盟门闷{使不透气}焖{~米饭}们［3］猛懵{~懂：打胡涂}［5］闷{纳~}孟□{浸于水中}
t	［1］登噔{象声词}灯蹬誊腾-{翻~}［3］等戥{~儿称}［5］扽{猛磕使断}澄{沙里~金}瞪凳邓{姓~}□{搭：碗上~得两只筷子}
tʰ	［1］熥{略烤一下}□{浸：汗水把衣裳也~湿啦}疼吞誊=藤腾={~空}［3］□{~好：「挺好」的音变}［5］腾{~地一下跳起来}
n	［1］能□{~~：踮起脚跟}
l	［1］棱楞［3］冷［5］愣
ts	［1］曾{姓~}憎增层-{一~}争=睁=砧{~子}［3］怎［5］挣缯{紧绷}□{~子：窗纱}震
tsʰ	［1］曾{~经}层={~次}撑{~人：吃得过饱}［3］□{用锨铲起}碜{寒~：难看}［5］衬
nᶻ	［1］拧［3］□滥剪［5］□{缠：~掸子}
s	［1］森僧参{人~}生=笙牲［3］沈审{~问}省碜{粮中碎石}［5］渗瘆{~人：使人毛骨悚然}
z	［5］□{瞬时：~地一下就不见啦}
tʂ	［1］征正{~月}惩蒸=诊疹{麻~}畛{一~地}沉-{落~}真贞侦针=尘={~灰灭土}［5］镇阵=郑正={~面}症政证枕□{渗}［3］整=震振
tʂʰ	［1］沉=辰晨=臣尘=陈丞成城=呈程秤{动词}乘惩{~处}承［3］逞称{~呼}［5］秤{名词}趁慎-{~住：谨慎些}
ʂ	［1］申伸神绅深身=声=升=绳=晨=［3］审婶=［5］慎=肾甚=盛=剩=胜圣什
ɻ	［1］人仁任{姓}赁{租~(误读)}［3］忍稔{红圪~~：果实丰满的样子}仍韧纫［5］认刃任{~职}
k	［1］根跟耕=更{~加}［3］耿梗［5］更{~加}
kʰ	［1］吭坑［3］肯恳垦啃={~书本}［5］□{以膝抵物}□{靠：~这头儿}掯{勒~：勒索啃吃(带贬义)}
ŋ	［1］恩［5］摁
x	［1］痕亨哼横=衡{~量}［3］很狠［5］恨
#iŋ
p	［1］兵宾槟傧斌冰［3］禀饼=丙炳{用于人名}柄秉彬［5］病=并拼{七~八凑}鬓{~角}膑{孙~}
pʰ	［1］平评苹{~果}萍{用于人名}瓶拼{~音}屏坪=乒={~乓球}频贫［3］品［5］聘凭拼{~命}□{~香：喷香}□{清高：兀家~得多咧}
m	［1］民明=鸣={~冤}名=铭［3］敏抿冥={~国：阴间}［5］命=抿{含吮：~指头}
t	［1］丁钉=叮盯=靪=［3］顶=盹{丢~}鼎［5］定锭订钉={~钉子}
tʰ	［1］廷厅听=亭停=［3］挺艇［5］听{~死：等死}
n	［1］宁柠银艮=［5］硬=宁{~肯：宁可}
l	［1］凌玲铃邻龄零磷鳞麟{麒~}林淋{~湿}临陵翎灵绫{~子}［3］令{一~纸}领岭［5］淋{过滤：~石灰}另令
tɕ	［1］斤京惊荆晶茎经衿{系：鞋带儿}勤{~谨：勤劳}津襟巾今金筋精=晴［3］井警景紧谨仅锦境［5］进晋尽禁{~止}近靳{姓}妗{~子：舅母}竟竞镜=净=静敬劲□{~上：惹得过}噤{~人：冰冷骨}缙
tɕʰ	［1］亲侵青=清=晴氢禽擒卿［3］寝清=顷倾［5］庆亲{~家}吣{猫、狗呕吐}磬{敲~儿}沁{~县}
ɕ	［1］心芯辛锌新忻{~县}欣星=惺=猩寻刑型形［3］醒［5］信囱{~门}兴幸悻{恼~~地}杏=性=姓迅讯
Ø	［1］姻殷鹰莺婴樱鹦{~鹉}淫寅{子丑~卯}吟音茵因阴荫英缨{胡萝卜~}迎营=蝇=盈贏=［3］饮{~食}引蚓隐瘾影={电~}［5］荫{~人}印饮{~牲口}应=映洇{纸~咧}胤{赵匡~}
#uŋ
t	［1］蹲咚敦{~实}墩{~子}东冬礅{猛落地而受震}端{~午}铜-桐-瞳{~仁仁}冻{《广韵》平声东韵德红切「冻，冻凌。」}［3］趸{~卖}董懂吨□{~乱儿：出乱子}［5］炖{~肉}顿囤盾动冻洞
tʰ	［1］通桐=铜=瞳=同童［3］统筒桶捅［5］痛通{~红}□{象物着地声}
n	［1］农脓浓［5］嫩
l	［1］隆咙胧珑拢{~马儿：牵马}龙聋笼{~床：笼屉}论{~语}轮伦［3］垄拢笼{~子}［5］论弄
ts	［1］中忠盅{~~}钟衠{~吃菜不吃饭}终尊遵宗棕鬃重-{~茬碗}祟-崇{~源头(地名)}虫-{~~}［3］准种{杂~}肿总综纵□{~了：坏事了}［5］中{~毒}种{~地}仲{尧~(村名)}众重{~量}
tsʰ	［1］春葱聪村充冲{~锋}纯虫=重={~复}从存［3］蠢唇宠［5］寸冲{猛：这水来得真~}
s	［1］孙松怂{精液；怯懦}［3］损笋耸瞬顺［5］宋颂送舜
z	［1］戎茸绒［3］冗［5］闰润
k	［1］工攻恭公弓躬宫蚣{蜈~}［3］巩汞滚磙鲧［5］贡共供棍
kʰ	［1］坤空［3］恐捆孔啃{~玉䵚黍}［5］空{动词，使空：~出两间房子}控{~水：使水慢慢流出}困昆
x	［1］丰烽峰锋烘轰馄{~饨}鸿虹焚=分封蜂{~儿}风疯荤昏婚红洪宏浑魂［3］粉讽哄{~骗}［5］粪愤奋份奉俸凤缝混哄{起~}
Ø	［1］嗡瘟{时~}温□{木头被蛀}文蚊纹闻［3］稳紊［5］问瓮
#yŋ
tɕ	［1］均军君穷-裙-群-{羊~}［3］菌郡［5］俊峻竣骏㓋{汤汁凝聚}
tɕʰ	［1］群=穷=裙=
ɕ	［1］熏醺{酒醉~~}凶胸兄=巡雄熊［3］旬嗅-{训读，猪狗以鼻翻土觅食}□{厉声斥责}［5］训
Ø	［1］蓉{芙~}荣□{煮得过糊}融拥{(用手)挤：~角儿(饺子)}晕云匀容溶□{圪~：虫动}［3］允永咏蛹涌踊勇拥{~挤}甬［5］运孕熨用佣陨□{~肩肩：驼背}
#əʔ
p	［7］不钵{~子：瓷器皿}拔北-{~头}把-{介词：~门开开}膊［8］薄钹{铙~}跋{~趿：跑步}鲅{~凉：活蹦乱跳}博笸{~篮}
pʰ	［7］扑朴仆泼醭{白~}饽{面~}泊{梁山~}［8］卜{萝~}
m	［7］木沐莫摸末沫抹目穆{姓}摩［8］没{~啦}
t	［7］德得
ts	［7］子{桌~}
tsʰ	［7］娶{~媳妇子}
s	［7］塞{填~}厮{~跟}
tʂ	［7］只织职哲蜇摺褶折{~扣}浙酌蔗执汁秩植殖{骨~}值稙{谷~：谷子去粒后的后的皮壳}质□{~国：正经}［8］直值侄折{~毛筋头儿}
tʂʰ	［7］尺吃{~饭}赤=彻撤{~职}着{打~}绰{~号}
ɳ	［7］着镊蹑{~闹：要闹}
ʂ	［7］湿失赦涉设殖{骨~：尸骨}式释饰摄识□{掌握：~住音水(分寸)}［8］舌折{弄~}十拾蚀石室适食实赤-栅{下~(地名)}
ɻ	［8］日若
k	［7］割各{~人：您}格阁鸽革葛隔纥{~线线}合{~葬}［8］核{~桃}蛤{~蟆}圪胳疙{~瘩}旮{~旯}
kʰ	［7］刻壳渴瞌磕揢{~住}克咳{~嗽}可{~好咧}客
ŋ	［7］恶腭额腌{~圾：垃圾}搕{~𢶍：垃圾}
x	［7］喝黑郝赫核{~心}和{我~你}［8］合鹤核{~对}
#iəʔ
p	［7］笔憋鳖别{~扭}必逼［8］北{~京}鼻别{~人}壁{隔~子}璧毕哔{~叽}
pʰ	［7］匹劈辟僻撇
m	［7］灭墨默秘密蜜觅
t	［7］滴跌的得咥{吃：~面}［8］叠蝶碟谍敌狄笛嫡
tʰ	［7］铁贴帖嚏
ȵ	［7］业虐逆捏聂蹑{~手~足}孽{造~}□{~气：难伺侯}
l	［7］力历烈裂劣略立粒栗捩{扭：~衣裳}猎掠勒{~迫}
tɕ	［7］及级极趿{跋~：跑步}杰节接辑戟吉结急积洁诘迹绩激寂疾籍揭疾捷即劫{打~}羯{~羊儿：公山羊}揖截{一~}墼{土坯}［8］□{一头失重往下}集{赶~}截{~断}击爵
tɕʰ	［7］七柒切沏{~茶}祈{~雨}漆戚奇{~特：可爱}妾缉{~理}乞欺{~害：欺负}
ɕ	［7］昔惜烘烤食物惜歇袭夕习薛协析息媳熄吸锡楔蝎泄{水~不通}［8］席悉膝
Ø	［7］一壹噎乙叶益译疫役腌{~咸菜}抑逸页
#uəʔ
t	［7］掇丢{用指头等轻击轻点}㞘臀{~子：屁股（录入者注：应写作㞘）}笃□{圪~：低语}［8］殰{~血：血流不止}读犊牍{尺~}独毒督铎{木~}夺
tʰ	［7］秃突脱凸噇{~舌子}
n	［7］懦□{顶破：~烂鞋啦}
l	［7］捋录氯绿率{效~}六{~股叉}陆鹿辘{~~：水井上的引水器}律
ts	［7］竹竺拙茁{~出芽芽来啦，《广韵》入声韵邹滑切：「~，草初出。」}啄足{~够}触{接~}□{堵塞：水道~住啦}［8］嘱瞩逐烛妯{~娌}祝族簇卒作=做筑术{白~}
tsʰ	［7］出撮{以簸箕收物}畜{~牲}猝处{走~}绌{折皱不平}
s	［7］说速叔菽属束塾述［8］熟赎勺{~子}淑{用于名字}术{算~}
ɻ	［7］褥［8］入辱
k	［7］郭国谷{~子}□{话说漂亮}囫{~囵}骨铟{~漏锅}啯{~蛋：母鸡叫声}掴{~~：两手相合而成的坑形}葫{~芦儿}馉{~磊：一种菜丝拌面而蒸制的面食}毂{~辘子：套在牲畜脖子上的拉车物}窟{~窿}
kʰ	［7］哭酷括扩廓阔［8］核{桃~}
x	［7］福幅辐{~丝}豁或惑霍藿攉{~水}忽□{~开：剖开}拂［8］活服缚{~笤帚}复覆腹伏佛
Ø	［7］五-往-{~北面儿跑}挖{~土：掘土}捂{~人：憋人}杌{~子}午{端~（录入者注：实为「端五」）}屋
#yəʔ
tɕ	［7］足橘镢菊□{~子：车轮}撅{拉断}脚噘{日~：骂人}［8］局决诀绝橛嚼爵
tɕʰ	［7］曲{歌曲}□{麦~}屈缺菊=黢{黑~~}怯{胆~}
ɕ	［7］血旭畜{六~}蓄雪肃戍蛐{~蟮儿：蚯蚓}宿{~舍}［8］俗踅{~摸：窥视的样子}削茓{~筛儿：小粮筛}续{继~}
Ø	［7］钥药［8］月欲蜮域越育悦粤阅狱浴郁
#aʔ
p	［7］八{~九}扒叭剥巴{下~子}［8］拔脖驳
pʰ	［7］胖
m	［7］抹{~布}□{拔}
t	［7］搭瘩［8］答达跶□{~蛋：鸡交配}鞑妲{~已}踏-{足~}
tʰ	［7］塔塌遢{邋~}踏沓{一~子纸}特拓托［8］耷{~拉}
n	［7］纳衲诺捺
l	［7］辣腊络洛蜡落{太阳~山}乐{快~}砾{石~}勒拉{拔~}［8］肋{~肢骨}
ts	［7］眨{~眼}扎责则札匝咂{~奶奶：吮吸奶头}蚱{蚂~~}□{~踏：糟蹋}［8］凿泽杂砸闸作-择{选~}
tsʰ	［7］察擦插侧{~面儿}测策册错{~安倒摆}
nᶻ	［7］□{使陷人：~秧儿（录入者注：似为「㘝」）}
s	［7］色杀煞瑟索𢶍{搕~：垃圾}圾{腌~：垃圾}挲{拔~：抹}啬{~剥：榨取利益}撒{~手}唼{~气：漏气}靸{~鞋}［8］炸{油~糕}铡{~刀}
tʂ	［7］摘窄侧{~住耳朵(细昕)}［8］择{~菜}辙{车~}铡{~楞楞过身子}
tʂʰ	［7］斥拆宅{一~院}
ʂ	［7］虱涩
ɻ	［7］热弱
x	［7］瞎哈{点头~腰}［8］匣盒辖{管~}
#iaʔ
p	［7］百柏伯掰壁{~虱}弼［8］白{黑~}□{傻}
pʰ	［7］拍迫□{学~：仿效}魄{~力}白{粉~纸：粉连纸}
m	［7］脉麦［8］蚂{~蜉儿：蚂蚁}皿
ȵ	［7］鸭压
tɕ	［7］夹挟隔甲□{~么：傻}
tɕʰ	［7］客怡掐{~花}隙{空~}鹊{野~子}
ɕ	［8］学峡
Ø	［7］约{契~}乐{音~}
#uaʔ
ts	［7］捉卓桌
tsʰ	［7］促龊戳［8］□{急：水~}
nᶻ	［7］□{栽：一头~下的}
s	［7］刷缩蓿{苜~}甩摔塑={~料}镯{手~（录入者注：似为「鎙」）}朔{~县}
k	［7］刮{~风}趏{快跑}聒{~噪}掴{~打：打耳光}
x	［7］发法［8］滑罚乏{缺~}获伐筏阀
Ø	［7］袜龌{~龊}沃
#yaʔ
ȵ	［7］握-{~手}
tɕ	［7］觉角
tɕʰ	［7］确□{粘}
ɕ	［8］穴
Ø	［7］熨{~帖}□{~拍：傻}［8］岳毓□{「蔚家」的合音：~庄}
