pa	5	35	霸欛(刀柄)垻壩罷把(仍，丟)		
pɑ̃	1	55	幫邦浜		
pɑ̃	3	21	榜绑		
pɑ̃	5	35	謗棒蚌(文)偋((存疑)躲藏)		
pæ̃	1	55	班斑頒扳般搬		
pæ̃	3	21	板版		
pæ̃	5	35	瓣(文)辦伴拌半扮		
pai	1	55	百跛(俗作⿰足拜，～子：瘸腿的人)𨃅		
pai	2	213	百北伯(白)柏白(文)		
pai	3	21	擺		
pai	5	35	拜敗		
pau	1	55	包胞褒		
pau	2	213	雹(文)		
pau	3	21	保堡宝飽		
pau	5	35	瀑報抱暴曝豹爆鮑		
pei	1	55	杯悲碑卑		
pei	3	21	北(文)		
pei	5	35	輩背倍備被((文)～子)		
pen	1	55	奔崩		
pen	3	21	本		
pen	5	35	笨		
pʰa	1	55	拍(白)趴		
pʰa	2	213	鈀(～子)杷琶(琵～)爬(文)耙(犁～)		
pʰa	3	21	趴		
pʰa	5	35	怕帕白		
pʰɑ̃	1	55	䠙((存疑)追赶)		
pʰɑ̃	2	213	旁螃(～蟹)傍龐		
pʰɑ̃	3	21	蚌(白)		
pʰɑ̃	5	35	胖		
pʰæ̃	1	55	攀潘		
pʰæ̃	2	213	盤		
pʰæ̃	5	35	盼襻(纽～)絆判叛		
pʰai	1	55	拍敗		
pʰai	2	213	排牌迫魄		
pʰai	3	21	稗		
pʰai	5	35	派		
pʰau	1	55	菢孵拋刨		
pʰau	2	213	袍浮(白)		
pʰau	3	21	跑		
pʰau	5	35	砲泡		
pʰei	1	55	胚焙(～干)被((白)～打)		
pʰei	2	213	培陪賠裴		
pʰei	3	21	背(～誦)		
pʰei	5	35	配佩		
pʰen	1	55	烹噴		
pʰen	2	213	盆		
pʰen	5	35	噴		
pʰia	1	55	劈((白)开)		
pʰiɑ̃	1	55	病(白)		
pʰiɑ̃	2	213	平((白)～坦)		
pʰiau	1	55	飄(～流)漂		
pʰiau	2	213	瓢嫖(～赌)		
pʰiau	3	21	瞟		
pʰiau	5	35	票(车～)漂(～亮)		
pʰiɛ	5	35	撇別((白)～個)		
pʰiɛ̃	1	55	篇偏		
pʰiɛ̃	2	213	便(～宜)		
pʰiɛ̃	5	35	騙汴便(方～)遍片		
pʰin	1	55	拼姘(～头)拼		
pʰin	2	213	貧(～繁)頻憑平(文)坪評瓶屏萍		
pʰin	3	21	品		
pʰin	5	35	聘		
pʰo	1	55	聘頗迫潑坡雹((白)雪～子)		
pʰo	2	213	婆		
pʰo	5	35	破		
pʰoŋ	1	55	烹		
pʰoŋ	2	213	彭膨(～胀)棚彭篷朋		
pʰoŋ	3	21	捧		
pʰoŋ	5	35	碰		
pʰɿ	1	55	箅批披鼻(白)劈(文)屄		
pʰɿ	2	213	皮疲脾丕琵(～琶)枇(～杷)匹(一～布)弼		
pʰɿ	3	21	痞		
pʰɿ	5	35	避庇痹屁僻辟		
pʰu	1	55	鋪(店～)脯(胸～)捕赴撲醭(醋生白～)僕(～倒)		
pʰu	2	213	蒲菩(～萨)蔔僕		
pʰu	3	21	譜普浦樸簿		
pʰu	5	35	步(白)部訃瀑((文)～布)		
pia	1	55	壁(白)		
piau	1	55	膘標鰾彪		
piau	3	21	表		
piɛ	1	55	憋鱉		
piɛ	2	213	別((文)離～)		
piɛ̃	1	55	鞭編边蝙		
piɛ̃	3	21	扁匾		
piɛ̃	5	35	辨辯變		
pin	1	55	彬賓檳(～榔)殯鬢冰兵		
pin	3	21	禀丙秉柄餅		
pin	5	35	病(文)并		
po	1	55	撥菠(～菜)玻剝		
po	2	213	薄((文)～荷)鉢跛(～足)鈸勃饽(麦～)博泊(梁山～，停～)搏駁帛伯(文)		
po	5	35	簸(颠～，～簸)		
poŋ	1	55	綳		
poŋ	3	21	捧((存疑)抱)		
poŋ	5	35	蹦		
pɿ	1	55	逼		
pɿ	2	213	筆必鼻(文)		
pɿ	3	21	彼比(～較)秕(～子)		
pɿ	5	35	蔽闭敝弊币毙陛鐾(～刀)婢泌篦蓖(～麻)俾臂畢碧璧壁(文)		
pu	3	21	補		
pu	5	35	不布怖(恐～)步(文)埠(商～)		
sa	1	55	沙紗厦(偏～)射(白)杉薩殺		
sa	2	213	蛇(白)		
sa	3	21	灑傻撒舍((白)～得)		
sa	5	35	石(白)		
sɑ̃	1	55	生(白)桑喪霜孀商傷雙聲(白)		
sɑ̃	2	213	常嘗裳償		
sɑ̃	3	21	磉(柱下石)嗓爽賞晌上(～去)尚(白)		
sɑ̃	5	35	尚((文)～未)上((文)～面)		
sæ̃	1	55	山衫三疝(～气)		
sæ̃	2	213	蟬(白)單(姓)		
sæ̃	3	21	陝(～西)閃傘散摻(抱)		
sæ̃	5	35	膻扇善禪(～让)散(分～)		
sai	1	55	奢賒赦腮鰓篩(～子)澀濕(白)塞		
sai	2	213	蛇(文)佘(姓)攝色嗇(吝～)		
sai	3	21	舍(文)		
sai	5	35	射(文)麝舍(宿～)社賽曬涉十(～个)拾(～块钱)舌設折(～本)實(白)		
sau	1	55	騷臊(～气)梢(树～)捎(带～)稍燒		
sau	2	213	韶(～关)		
sau	3	21	嫂少(多～)		
sau	5	35	掃(～地)潲(～水)少(～年)紹邵		
sen	1	55	深身申伸僧昇生(文)笙聲(文)心星(文)新森參(～人)		
sen	2	213	神辰晨		
sen	3	21	沈審嬸省(节～)		
sen	5	35	葚(桑～)腎慎剩勝(～利)牲聖盛(兴～，～满了)姓信滲(～水)		
səu	1	55	搜颼餿收		
səu	3	21	手首守		
səu	5	35	熟(白)叟嗽(咳～)瘦獸受壽售授		
so	1	55	蓑縮(文)說((文)～话)嗦(啰～)梭(～布机)		
so	2	213	朔芍(～药花)勺索(～绳)		
so	3	21	鎖所瑣(～碎)		
so	5	35	縮(文)塑(～像)		
soŋ	1	55	嵩松(文)		
soŋ	3	21	慫(～恿)		
soŋ	5	35	送宋誦頌訟		
sɿ	1	55	斯厮撕施豕私師示(～范)屍視司絲思似祀(祭～)寺嗣飼事詩市恃濕(文)識式飾失撕(文)獅		
sɿ	2	213	石(文)食實(文)		
sɿ	3	21	室死矢屎使史駛始是(白)		
sɿ	5	35	世勢誓逝匙是(文)式豉(豆～)四肆示(请～)廁(茅～)士仕柿試拾(～起来)什(～物)蝕適釋		
su	1	55	蘇酥梳(～头)疏(～远)蔬叔		
su	2	213	淑速宿縮(白)熟(文)俗續贖		
su	3	21	黍數		
su	5	35	素訴數(～学)宿(星～)漱術述粟束蜀屬肅		
sua	2	213	刷		
suæ̃	1	55	酸珊刪閂拴		
suæ̃	5	35	算蒜		
suai	1	55	衰		
suai	2	213	說(白)		
suai	3	21	摔甩		
suai	5	35	率蟀		
suen	1	55	孫甥		
suen	2	213	唇繩		
suen	3	21	損榫(～头)笋		
sui	1	55	綏		
sui	2	213	隨(文)誰		
sui	3	21	髓水(文)		
sui	5	35	碎歲(文)稅睡穢瑞遂隧(～道)穗		
ta	1	55	搭		
ta	2	213	答達		
ta	3	21	打		
ta	5	35	大(文)		
tɑ̃	1	55	当(～时)		
tɑ̃	3	21	挡		
tɑ̃	5	35	当(～作)挡		
tæ̃	1	55	耽擔(①拿取，②～任)丹單旦		
tæ̃	3	21	膽		
tæ̃	5	35	擔(挑～)淡(文)誕但彈((文)子～)蛋		
tai	1	55	呆		
tai	2	213	德得(文)		
tai	5	35	戴帶貸待怠殆代袋(文)大(～夫)		
tau	1	55	刀叨(唠～)		
tau	3	21	禱島倒(打～)		
tau	5	35	到倒(～水)稻導		
tɕʰia	1	55	掐(文)吃		
tɕʰia	2	213	斜(白)洽茄(白)		
tɕʰia	5	35	恰		
tɕʰiɑ̃	1	55	槍羌匠腔清(白)輕((白)年～)青(白)像(白)		
tɕʰiɑ̃	2	213	牆祥詳强晴((白)天～)		
tɕʰiɑ̃	3	21	搶		
tɕʰiɑ̃	5	35	嗆		
tɕʰiau	1	55	繰(～边)噍(牛倒～)轎敲(文)		
tɕʰiau	2	213	樵瞧喬僑橋蕎		
tɕʰiau	3	21	巧		
tɕʰiau	5	35	鞘(刀～)窍		
tɕʰiəu	1	55	秋(～天)就丘麴(酒～)舊(白)		
tɕʰiəu	2	213	囚泅求球仇(姓)		
tɕʰiəu	3	21	舅(白)		
tɕʰiəu	5	35	瞅		
