t0用字	记音	备注																
唯	uei2																	
非	fei1																	
飛	fei1																	
匪	fei3																	
榧	fei3																	
疿	fei5																	
沸	fu2																	
妃	fei1																	
菲	fei1																	
費	fei5																	
肥	fei2																	
翡	fei3																	
微	uei2																	
薇	uei1																	
尾	uei3																	
尾	uei1																	
未	uei5																	
未	mei1																	
未	y5																	
味	uei5																	
歸	kuei1																	
鬼	kuei3																	
貴	kuei5																	
巍	uei1																	
魏	uei5																	
揮	xuei1																	
輝	xuei1																	
徽	xuei1																	
卉	xuei5																	
諱	xuei5																	
威	uei1																	
畏	uei5																	
慰	uei5																	
尉	uei5																	
違	uei2																	
圍	uei2																	
偉	uei3																	
葦	uei3																	
韋	uei2																	
緯	uei3																	
胃	uei5																	
謂	uei5																	
蝟	uei5																	
渭	uei5																	
彙	uei5																	
褒	pɑu1																	
保	pɑu3																	
堡	pɑu3																	
寶	pɑu3																	
報	pɑu5																	
袍	pʰɑu2																	
抱	pɑu5																	
抱	pɑu1																	
暴	pɑu5																	
菢	pɑu5																	
毛	mɑu2																	
冒	mɑu5																	
帽	mɑu5																	
刀	tɑu1																	
叨	tɑu1																	
禱	tɑu3																	
島	tɑu3																	
倒	tɑu3																	
搗	tɑu3																	
到	tɑu5																	
倒	tɑu5																	
滔	tʰɑu1																	
掏	tʰɑu1																	
討	tʰɑu3																	
套	tʰɑu5																	
桃	tʰɑu2																	
逃	tʰɑu2																	
逃	tʰiɑu2																	
淘	tʰɑu2																	
陶	tʰɑu2																	
萄	tʰɑu2																	
濤	tʰɑu2																	
道	tɑu5																	
稻	tɑu5																	
盗	tɑu5																	
導	tʰɑu5																	
蹈	tʰɑu5																	
腦	lɑu3																	
惱	lɑu3																	
勞	lɑu2																	
嘮	lɑu2																	
撈	lɑu1																	
癆	lɑu5																	
牢	lɑu2																	
老	lɑu3																	
佬	lɑu3																	
澇	lɑu5																	
遭	ʦɑu1																	
糟	ʦɑu1																	
早	ʦɑu3																	
棗	ʦɑu3																	
蚤	ʦɑu3																	
澡	ʦɑu3																	
藻	ʦɑu3																	
躁	ʦʰɑu5																	
竈	ʦɑu5																	
操	ʦʰɑu1																	
草	ʦʰɑu3																	
騲	ʦʰɑu3																	
糙	ʦʰɑu5																	
曹	ʦʰɑu2																	
槽	ʦʰɑu2																	
皂	ʦʰɑu5																	
造	ʦʰɑu5																	
騷	sɑu1																	
臊	sɑu1																	
掃	sɑu3																	
嫂	sɑu3																	
掃	sɑu5																	
燥	ʦʰɑu5																	
高	kɑu1																	
膏	kɑu1																	
篙	xɑu1																	
羔	kɑu1																	
糕	kɑu1																	
稿	kɑu3																	
告	kɑu5																	
膏	kɑu5																	
考	kʰɑu3																	
烤	kʰɑu3																	
拷	kʰɑu5																	
靠	kʰɑu5																	
犒	kʰɑu5																	
銬	kʰɑu5																	
熬	ŋɑu2																	
熬	ŋɑu1																	
敖	ŋɑu2																	
傲	ŋɑu5																	
鏊	ŋɑu5																	
蒿	xɑu1																	
薅	xɑu1																	
好	xɑu3																	
好	xɑu5																	
耗	xɑu5																	
豪	xɑu2																	
壕	xɑu2																	
毫	xɑu2																	
號	xɑu2																	
蠔	xɑu2																	
浩	xɑu5																	
號	xɑu5																	
爊	ŋɑu2																	
襖	ŋɑu3																	
懊	ŋɑu3																	
奥	ŋɑu5																	
懊	ŋɑu5																	
澳	ŋɑu5																	
包	pɑu1																	
胞	pɑu1																	
苞	pɑu1																	
飽	pɑu3																	
豹	pɑu5																	
爆	pɑu5																	
泡	pʰɑu1																	
抛	pʰɑu1																	
脬	pʰɑu1																	
炮	pʰɑu5																	
泡	pʰɑu5																	
跑	pʰɑu3																	
刨	pʰɑu2																	
麅	pʰɑu2																	
匏	pʰɑu2																	
鲍	pɑu5																	
鉋	pɑu5																	
茅	mɑu2																	
貓	mɑu1																	
貓	miɑu2																	
錨	mɑu2																	
卯	mɑu3																	
貌	mɑu5																	
鐃	zɑu2																	
撓	zɑu2																	
鬧	lɑu5																	
罩	ʦɑu5																	
櫂	ʦɑu5																	
抓	ʦua1																	
爪	ʦua3																	
找	ʦɑu3																	
笊	ʦɑu5																	
抄	ʦʰɑu1																	
鈔	ʦʰɑu1																	
炒	ʦʰɑu3																	
吵	ʦʰɑu3																	
巢	ʦʰɑu2																	
梢	sɑu1																	
捎	sɑu1																	
筲	sɑu1																	
稍	sɑu1																	
潲	sɑu5																	
哨	sɑu5																	
交	ʨiɑu1																	
交	kɑu1																	
郊	ʨiɑu1																	
茭	ʨiɑu1																	
蛟	ʨiɑu1																	
膠	ʨiɑu1																	
絞	ʨiɑu3																	
狡	ʨiɑu3																	
鉸	ʨiɑu3																	
攪	ʨiɑu3																	
攪	kɑu2																	
搞	kɑu3																	
教	ʨiɑu5																	
校	kɑu5																	
較	ʨiɑu5																	
酵	ɕiɑu5																	
窖	kɑu5																	
覺	ʨiɑu5																	
覺	kɑu5																	
珓	ʨiɑu5																	
敲	ʨʰiɑu1																	
敲	kʰɑu1																	
骹	ʨiɑu1																	
巧	ʨʰiɑu3																	
咬	ŋɑu3																	
咬	iɑu3																	
哮	ɕiɑu5																	
孝	ɕiɑu5																	
肴	iɑu2																	
淆	ɕiɑu2																	
效	ɕiɑu5																	
校	ɕiɑu5																	
坳	ŋɑu5																	
凹	ŋɑu1																	
拗	ŋɑu5																	
靿	ŋɑu5																	
臕	piɑu1																	
標	piɑu1																	
表	piɑu3																	
錶	piɑu3																	
婊	piɑu3																	
飄	pʰiɑu1																	
漂	pʰiɑu5																	
票	pʰiɑu5																	
漂	pʰiɑu1																	
瓢	pʰiɑu2																	
嫖	pʰiɑu2																	
薸	pʰiɑu2																	
鰾	pʰiɑu1																	
苗	miɑu2																	
描	miɑu2																	
藐	miɑu3																	
渺	miɑu3																	
秒	miɑu3																	
廟	miɑu5																	
妙	miɑu5																	
燎	liɑu1																	
燎	liɑu3																	
療	liɑu2																	
焦	ʨiɑu1																	
蕉	ʨiɑu1																	
礁	ʨiɑu1																	
椒	ʨiɑu1																	
剿	ʨiɑu3																	
醮	ʨiɑu5																	
鍬	ʨʰiɑu1																	
繰	ʨʰiɑu1																	
悄	ʨʰiɑu1																	
俏	ʨʰiɑu5																	
偢	ʨʰiɑu5																	
樵	ʨʰiɑu2																	
瞧	ʨʰiɑu2																	
憔	ʨʰiɑu2																	
噍	ʨʰiɑu5																	
消	ɕiɑu1																	
宵	ɕiɑu1																	
霄	ɕiɑu1																	
硝	ɕiɑu1																	
銷	ɕiɑu1																	
逍	ɕiɑu1																	
小	ɕiɑu3																	
笑	ɕiɑu5																	
鞘	ɕiɑu5																	
肖	ɕiɑu5																	
朝	ʦɑu1																	
超	ʦʰɑu1																	
朝	ʦʰɑu2																	
潮	ʦʰɑu2																	
嘲	ʦʰɑu2																	
趙	ʦɑu5																	
兆	ʦɑu5																	
召	ʦɑu5																	
昭	ʦɑu1																	
招	ʦɑu1																	
沼	ʦɑu3																	
照	ʦɑu5																	
詔	ʦɑu5																	
燒	sɑu1																	
少	sɑu3																	
少	sɑu5																	
韶	sɑu2																	
紹	sɑu5																	
邵	sɑu5																	
饒	zɑu2																	
橈	iɑu2																	
擾	zɑu3																	
繞	zɑu3																	
繞	zɑu5																	
驕	ʨiɑu1																	
嬌	ʨiɑu1																	
矯	ʨiɑu3																	
侥	ʨiɑu3																	
喬	ʨʰiɑu2																	
僑	ʨʰiɑu2																	
橋	ʨʰiɑu2																	
蕎	ʨʰiɑu2																	
轎	ʨiɑu5																	
翹	ʨʰiɑu5																	
翹	ʨʰiɑu1																	
枵	ɕiɑu1																	
囂	ɕiɑu1																	
妖	iɑu1																	
夭	iɑu1																	
邀	iɑu1																	
腰	iɑu1																	
要	iɑu1																	
要	iɑu5																	
摇	iɑu2																	
謡	iɑu2																	
遥	iɑu2																	
瑶	iɑu2																	
窰	iɑu2																	
姚	iɑu2																	
舀	iɑu3																	
耀	iɑu5																	
鷂	iɑu5																	
刁	tiɑu1																	
貂	tiɑu1																	
雕	tiɑu1																	
凋	tiɑu1																	
鳥	tiɑu3																	
鳥	ȵiɑu3																	
釣	tiɑu5																	
弔	tiɑu5																	
吊	tiɑu5																	
挑	tʰiɑu1																	
跳	tʰiɑu5																	
糶	tʰiɑu5																	
條	tʰiɑu2																	
調	tʰiɑu2																	
跳	tʰiɑu2																	
笤	tʰiɑu2																	
苕	tʰiɑu2																	
苕	sɑu2																	
迢	tʰiɑu2																	
掉	tiɑu5																	
掉	tʰiɑu3																	
調	tiɑu5																	
藋	tiɑu5																	
铞	tiɑu5																	
尿	ȵiɑu5																	
尿	ɕy1																	
聊	liɑu2																	
遼	liɑu2																	
撩	liɑu2																	
潦	liɑu2																	
僚	liɑu2																	
寥	liɑu2																	
了	liɑu3																	
了	lɐ3																	
瞭	liɑu2																	
料	liɑu5																	
尥	liɑu5																	
镣	liɑu5																	
蕭	ɕiɑu1																	
簫	ɕiɑu1																	
瀟	ɕiɑu1																	
篠	ɕiɑu3																	
澆	ʨiɑu1																	
繳	ʨiɑu3																	
僥	ʨiɑu3																	
叫	ʨiɑu5																	
叫	kɑu5																	
撬	ʨʰiɑu1																	
竅	ʨʰiɑu5																	
堯	ȵiɑu2																	
曉	ɕiɑu3																	
么	iɑu1																	
吆	iɑu1																	
杳	iɑu3																	
剖	pʰo3																	
某	məŋ3																	
畝	məŋ3																	
牡	məŋ3																	
母	mu3																	
拇	mu3																	
戊	mu5																	
茂	məŋ5																	
貿	məŋ5																	
兜	təu1																	
斗	təu3																	
抖	tʰəu3																	
陡	təu3																	
鬥	təu5																	
偷	tʰəu1																	
敨	tʰəu3																	
透	tʰəu5																	
頭	tʰəu2																	
頭	təu1																	
投	tʰəu2																	
骰	tʰəu2																	
豆	təu5																	
逗	təu5																	
逗	təu1																	
痘	təu5																	
脰	təu5																	
婁	ləu2																	
樓	ləu2																	
摟	ləu2																	
耬	ləu2																	
簍	ləu3																	
摟	ləu3																	
漊	ləu3																	
漏	ləu5																	
陋	ləu5																	
走	ʦəu3																	
奏	ʦəu5																	
湊	ʦʰəu5																	
湊	təu5																	
叟	səu3																	
嗽	səu5																	
勾	kəu1																	
鉤	kəu1																	
溝	kəu1																	
狗	kəu3																	
苟	kəu3																	
垢	kəu3																	
彀	kəu5																	
够	kəu5																	
構	kəu5																	
購	kəu5																	
勾	kəu5																	
摳	kʰəu1																	
瞘	kʰəu1																	
口	kʰəu3																	
叩	kʰəu5																	
扣	kʰəu5																	
寇	kʰəu5																	
藕	ŋəu3																	
偶	ŋəu3																	
偶	ŋəu5																	
吼	xəu3																	
侯	xəu2																	
喉	xəu2																	
猴	xəu2																	
瘊	xəu2																	
後	xəu5																	
厚	xəu5																	
后	xəu5																	
候	xəu5																	
鲎	xəu5																	
歐	ŋəu1																	
甌	ŋəu1																	
謳	ŋəu1																	
區	ŋəu1																	
鷗	ŋəu1																	
嘔	ŋəu3																	
毆	ŋəu3																	
漚	ŋəu5																	
慪	ŋəu5																	
否	fəu3																	
富	fu5																	
副	fu5																	
浮	fu2																	
婦	fu5																	
負	fu5																	
阜	fu5																	
復	fu5																	
謀	məŋ2																	
矛	mɑu2																	
紐	ȵiəu3																	
扭	ȵiəu3																	
流	liəu3																	
劉	liəu2																	
留	liəu2																	
榴	liəu2																	
瘤	liəu2																	
硫	liəu2																	
琉	liəu2																	
柳	liəu3																	
溜	liəu1																	
餾	liəu2																	
廖	liɑu5																	
揫	ʨiəu1																	
鬏	ʨiəu1																	
酒	ʨiəu3																	
秋	ʨʰiəu1																	
鞦	ʨʰiəu1																	
鰍	ʨʰiəu1																	
就	ʨiəu5																	
就	ʨʰiəu5																	
就	təu5																	
修	ɕiəu1																	
羞	ɕiəu1																	
秀	ɕiəu5																	
繡	ɕiəu5																	
宿	ɕiəu5																	
銹	ɕiəu5																	
囚	ɕiəu2																	
泅	ɕiəu2																	
袖	ɕiəu5																	
肘	ʦəu3																	
晝	ʦəu5																	
抽	ʦʰəu1																	
丑	ʦʰəu3																	
綢	ʦʰəu2																	
稠	ʦʰəu2																	
籌	ʦʰəu2																	
紂	ʦəu5																	
宙	ʦəu5																	
鄒	ʦəu1																	
掫	ʦəu1																	
皺	ʦoŋ5																	
縐	ʦoŋ5																	
搊	ʦʰəu1																	
矁	ʨʰio3																	
愁	ʦʰəu2																	
驟	ʦʰəu5																	
搜	səu1																	
颼	səu1																	
餿	səu1																	
蒐	səu1																	
瘦	səu5																	
漱	su5																	
周	ʦəu1																	
舟	ʦəu1																	
州	ʦəu1																	
洲	ʦəu1																	
帚	ʦəu3																	
咒	ʦəu5																	
醜	ʦʰəu3																	
臭	ʦʰəu5																	
收	səu1																	
手	səu3																	
首	səu3																	
守	səu3																	
獸	səu5																	
仇	ʦʰəu2																	
酬	ʦʰəu2																	
受	səu5																	
壽	səu5																	
授	səu5																	
售	səu5																	
柔	zəu2																	
揉	zəu2																	
鳩	ʨiəu1																	
鬮	ʨiəu1																	
糾	ʨiəu1																	
九	ʨiəu3																	
久	ʨiəu3																	
韭	ʨiəu3																	
灸	ʨiəu1																	
疚	ʨiəu3																	
救	ʨiəu5																	
究	ʨiəu5																	
丘	ʨʰiəu1																	
邱	ʨʰiəu1																	
糗	ʨʰiəu3																	
求	ʨʰiəu2																	
球	ʨʰiəu2																	
仇	ʦʰiəu2																	
臼	ʨiəu5																	
舅	ʨiəu5																	
咎	ʨiəu5																	
舊	ʨiəu5																	
柩	ʨiəu5																	
牛	ȵiəu																	
休	ɕiəu1																	
朽	ɕiəu3																	
嗅	ɕiəu5																	
憂	iəu1																	
優	iəu1																	
尤	iəu2																	
郵	iəu2																	
有	iəu3																	
友	iəu3																	
又	iəu5																	
右	iəu5																	
祐	iəu5																	
由	iəu2																	
油	iəu2																	
游	iəu2																	
猶	iəu2																	
悠	iəu1																	
酉	iəu3																	
莠	iəu3																	
誘	iəu5																	
柚	iəu5																	
鼬	iəu5																	
釉	iəu5																	
彪	piɑu1																	
謬	miəu5																	
繆	miəu5																	
丢	tiəu1																	
糾	ʨiəu1																	
幽	iəu1																	
幼	iəu5																	
耽	tan1																	
答	ta2																	
搭	ta2																	
貪	tʰan1																	
探	tʰan5																	
探	tʰan1																	
踏	tʰa2																	
搨	tʰa2																	
蹋	tʰa2																	
潭	tʰan2																	
譚	tʰan2																	
罈	tʰan2																	
沓	tʰa2																	
南	lan2																	
男	lan2																	
揇	lan2																	
納	la2																	
衲	la2																	
婪	lan2																	
漤	lan3																	
拉	la1																	
垃	la1																	
簪	ʦan1																	
參	ʦʰan1																	
摻	ʦʰan1																	
慘	ʦʰan3																	
蠶	ʦʰan2																	
錾	ʦan5																	
雜	ʦa2																	
感	kan3																	
㔶	kan3																	
赣	kan5																	
合	xo2																	
蛤	xa2																	
蛤	kʰe2																	
鴿	ko2																	
佮	ko2																	
堪	kʰan1																	
龕	kʰan1																	
坎	kʰan3																	
砍	kʰan3																	
勘	kʰan5																	
磡	kʰan5																	
喝	xo1																	
含	xan2																	
函	xan2																	
涵	xan2																	
撼	xan5																	
憾	xan5																	
合	xo2																	
盒	xo2																	
庵	ŋan1																	
鵪	ŋan1																	
揞	ŋan3																	
暗	ŋan5																	
擔	tan1																	
膽	tan3																	
擔	tan5																	
坍	tʰan1																	
毯	tʰan3																	
塔	tʰa2																	
榻	tʰa2																	
塌	tʰa2																	
溻	tʰa2																	
遢	tʰa2																	
談	tʰan2																	
談	tʰan5																	
痰	tʰan2																	
淡	tan5																	
藍	lan2																	
籃	lan2																	
覽	lan3																	
攬	lan3																	
欖	lan3																	
濫	lan5																	
纜	lan5																	
臘	la2																	
蠟	la2																	
鑞	la2																	
邋	la2																	
慚	ʦʰan2																	
暫	ʦan5																	
鏨	ʦan5																	
三	san1																	
甘	kan1																	
柑	kan1																	
泔	kan1																	
敢	kan3																	
橄	kan3																	
磕	kʰo2																	
蚶	xan1																	
憨	xan1																	
喊	xan3																	
酣	xan1																	
埯	ŋan3																	
站	ʦan5																	
劄	ʦa2																	
賺	ʦuan5																	
站	ʦan5																	
𧸖	ʦan5																	
斬	ʦan3																	
蘸	ʦan5																	
眨	ʦa2																	
插	ʦʰa2																	
讒	ʦʰan2																	
饞	ʦʰan2																	
閘	ʦa2																	
煠	ʦa2																	
杉	san1																	
尷	kan1																	
緘	ʨiɛn1																	
減	ʨiɛn3																	
鹻	ʨiɛn3																	
夾	ʨia2																	
裌	ʨia2																	
鵮	ʨʰiɛn1																	
㦿	ʨʰiɛn1																	
恰	ʨʰia2																	
掐	kʰa2																	
咸	ɕiɛn2																	
鹹	xan2																	
陷	xan5																	
餡	xan5																	
餡	ɕiɛn5																	
狹	ɕia2																	
峽	ɕia2																	
洽	ɕia2																	
𨂝	pʰiɛn2																	
攙	ʦʰan1																	
忏	ʦʰan5																	
釤	san5																	
監	ʨiɛn1																	
鑑	ʨiɛn5																	
監	ʨiɛn5																	
甲	ʨia2																	
胛	ʨia2																	
嵌	ʨʰiɛn5																	
嵌	kʰan5																	
巖	ȵiɛn2																	
巖	ŋai2																	
銜	xan2																	
艦	ʨiɛn5																	
槛	kʰan3																	
匣	ɕia2																	
鴨	ia2																	
押	ia2																	
壓	ia2																	
壓	ia5																	
壓	ŋa1																	
貶	piɛn3																	
黏	ȵiɛn2																	
聶	ȵie2																	
鑷	ȵie2																	
躡	ȵie2																	
廉	liɛn2																	
鐮	liɛn2																	
簾	liɛn2																	
斂	liɛn3																	
斂	liɛn5																	
殮	liɛn5																	
獵	lie2																	
尖	ʨiɛn1																	
殲	ʨiɛn1																	
接	ʨie2																	
睫	ʦa2																	
籤	ʨʰiɛn1																	
簽	ʨʰiɛn1																	
扦	ʨʰiɛn1																	
妾	ʦʰe2																	
潛	ʨʰiɛn2																	
漸	ʨiɛn5																	
捷	ʨie2																	
暹	ɕiɛn1																	
纤	ʨʰiɛn1																	
沾	ʦan1																	
粘	ʦan1																	
詹	ʦan1																	
瞻	ʦan1																	
占	ʦan1																	
佔	ʦan5																	
摺	ʨie2																	
褶	ʨie2																	
苫	san5																	
陝	san3																	
閃	san3																	
攝	ɕie2																	
蟾	ʦʰan2																	
涉	ɕie2																	
染	zan3																	
冉	zan3																	
檢	ʨiɛn3																	
臉	liɛn3																	
鉗	ʨʰiɛn2																	
儉	ʨiɛn3																	
驗	ȵiɛn5																	
險	ɕiɛn3																	
淹	ŋan1																	
閹	iɛn1																	
掩	iɛn3																	
魘	iɛn3																	
厴	iɛn3																	
厭	iɛn5																	
靨	ie2																	
炎	iɛn1																	
鹽	iɛn2																	
閻	iɛn2																	
簷	yɛn2																	
艷	yɛn5																	
焰	iɛn2																	
鹽	iɛn5																	
葉	ie2																	
頁	ie2																	
劍	ʨiɛn5																	
劫	ʨie2																	
欠	ʨʰiɛn5																	
芡	ʨʰiɛn5																	
怯	ʨʰie2																	
儼	ȵiɛn3																	
釅	ȵiɛn5																	
業	ȵie2																	
杴	ɕiɛn1																	
脅	ɕie2																	
醃	iɛn1																	
腌	iɛn1																	
掂	tiɛn1																	
點	tiɛn3																	
踮	tiɛn5																	
店	tiɛn5																	
跌	tie2																	
添	tʰiɛn1																	
舔	tʰiɛn3																	
忝	tʰiɛn3																	
铦	tʰiɛn3																	
掭	tʰiɛn5																	
帖	tʰie2																	
貼	tʰie2																	
甜	tʰiɛn2																	
簟	tiɛn5																	
疊	tie2																	
碟	tie2																	
牒	tie2																	
蝶	tie2																	
諜	tie2																	
鮎	ȵiɛn2																	
拈	ȵiɛn1																	
罱	ȵiɛn3																	
念	ȵiɛn5																	
廿	ȵiɛn5																	
苶	ȵie2																	
兼	ʨiɛn1																	
搛	ʨiɛn1																	
挾	ʨia2																	
莢	ʨia2																	
颊	ʨia2																	
謙	ʨʰiɛn1																	
歉	ʨʰiɛn5																	
嫌	ɕiɛn2																	
協	ɕie2																	
侠	ɕia2																	
法	fa2																	
泛	fan5																	
凡	fan2																	
帆	fan2																	
范	fan5																	
範	fan5																	
犯	fan5																	
梵	fan5																	
乏	fa2																	
禀	pin3																	
品	pʰin3																	
賃	ȵin5																	
林	lin2																	
淋	lin2																	
臨	lin2																	
檁	lin3																	
凜	lin3																	
立	li2																	
笠	li2																	
粒	li2																	
怎	ʦən3																	
浸	ʨʰin5																	
侵	ʨʰin5																	
寢	ʨʰin3																	
吣	ʨʰin5																	
緝	ʨi2																	
蕈	ɕin5																	
集	ʨi2																	
輯	ʨi2																	
心	ɕin1																	
芯	ɕin1																	
尋	ɕyn2																	
蟳	ɕin2																	
習	ɕi2																	
襲	ɕi2																	
砧	ʦən1																	
沉	ʦʰən2																	
蟄	ʦɿ2																	
簪	ʦan1																	
參	ʦʰən1																	
岑	ʦʰən2																	
森	sən1																	
參	sən1																	
滲	sən5																	
澀	ɕie2																	
針	ʦən1																	
斟	ʦən1																	
箴	ʦən1																	
枕	ʦən3																	
枕	ʦən5																	
執	ʦɿ2																	
汁	ʦɿ1																	
汁	ʦɿ2																	
葚	sən5																	
深	sən1																	
沈	sən3																	
審	sən3																	
嬸	sən3																	
濕	sɿ2																	
甚	sən5																	
十	sɿ2																	
什	sɿ2																	
拾	sɿ2																	
壬	zən2																	
任	zən2																	
任	zən5																	
紝	zən5																	
舉	ʨy3																	
舉	kuei3	白读：举举阳（杜鹃）																
入	zu2																	
入	ȵia2																	
入	zɿ2																	
今	ʨin1																	
金	ʨin1																	
禁	ʨin1																	
襟	ʨin1																	
錦	ʨin3																	
禁	ʨin5																	
禁	ʨin3																	
急	ʨi2																	
級	ʨi2																	
給	ʨi2																	
給	ke1																	
汲	ʨi2																	
欽	ʨʰin1																	
撳	ʨʰin5																	
泣	ʨʰi2																	
泣	ɕie1																	
㬤	ʨʰi2																	
琴	ʨʰin2																	
禽	ʨʰin2																	
擒	ʨʰin2																	
妗	ʨʰin5																	
及	ʨi2																	
吟	in2																	
吸	ʨi2																	
音	in1																	
陰	in1																	
飲	in3																	
蔭	in1																	
窨	in5																	
飲	in5																	
邑	i2																	
揖	i2																	
淫	in2																	
丹	tan1																	
單	tan1																	
撣	tan3																	
疸	tan3																	
旦	tan5																	
灘	tʰan1																	
攤	tʰan1																	
癱	tʰan1																	
坦	tʰan3																	
袒	tʰan3																	
炭	tʰan5																	
歎	tʰan5																	
獺	tʰa2																	
檀	tʰan2																	
壇	tʰan2																	
彈	tʰan2																	
誕	tan5																	
但	tan5																	
彈	tan5																	
蛋	tan5																	
達	ta2																	
難	lan2																	
難	lan5																	
捺	la2																	
蘭	lan2																	
攔	lan2																	
攔	luan2																	
欄	lan2																	
懶	lan3																	
爛	lan5																	
辣	la2																	
瘌	la2																	
贊	ʦan5																	
灒	ʦan5																	
餐	ʦʰan1																	
燦	ʦʰan5																	
擦	ʦʰa2																	
殘	ʦʰan2																	
珊	suan1																	
散	san3																	
傘	san3																	
散	san5																	
撒	sa3																	
撒	sa2																	
薩	sa2																	
薩	sa3																	
干	kan1																	
肝	kan1																	
竿	kan1																	
乾	kan1																	
桿	kan3																	
稈	kan3																	
擀	kan3																	
趕	kan3																	
幹	kan5																	
割	ka2																	
割	ko2																	
葛	ko2																	
看	kʰan1																	
刊	kʰan1																	
看	kʰan5																	
渴	kʰo2																	
岸	ŋan5																	
鼾	xan1																	
罕	xan3																	
漢	xan5																	
熯	xan5																	
喝	xo1																	
喝	xo2																	
寒	xan2																	
韓	xan2																	
旱	xan5																	
捍	xan5																	
汗	xan5																	
銲	xan5																	
翰	xan5																	
安	ŋan1																	
鞍	ŋan1																	
按	ŋan5																	
案	ŋan5																	
扮	pan5																	
八	pa2																	
盼	pʰan5																	
瓣	pan5																	
辦	pan5																	
拔	pʰa2																	
抹	ma2																	
綻	ʦan5																	
盞	ʦan3																	
札	ʦa2																	
紮	ʦa2																	
鏟	ʦʰuan3																	
察	ʦʰa2																	
镲	ʦʰa2																	
山	san1																	
産	ʦʰan3																	
汕	san5																	
殺	sa2																	
艱	ʨiɛn1																	
間	ʨiɛn1																	
間	kan1																	
簡	ʨiɛn3																	
襇	ʨiɛn3																	
柬	ʨiɛn3																	
揀	ʨiɛn3																	
間	kan5																	
擖	kʰa2																	
眼	iɛn3																	
齾	ŋa2																	
閑	ɕiɛn2																	
閑	xan2																	
限	ɕiɛn5																	
限	xan5																	
莧	xan5																	
軋	ŋa2																	
班	pan1																	
斑	pan1																	
頒	pan1																	
扳	pan1																	
板	pan3																	
版	pan3																	
攀	pʰan1																	
扳	pʰan1																	
襻	pʰan5																	
爿	pʰan1																	
蠻	man2																	
慢	man5																	
棧	ʦan5																	
鍘	ʦa2																	
删	suan1																	
疝	san5																	
疝	suai5																	
奸	ʨiɛn1																	
菅	ʨiɛn1																	
諫	ʨiɛn5																	
澗	ʨiɛn5																	
鐧	ʨiɛn5																	
顏	iɛn2																	
雁	ŋan5																	
瞎	ɕia2																	
轄	ɕia2																	
晏	iɛn5																	
晏	ŋan5																	
鞭	piɛn1																	
編	piɛn1																	
變	piɛn5																	
别	pie2																	
别	pʰie2																	
鼈	pie2																	
篇	pʰiɛn1																	
偏	pʰiɛn1																	
騙	pʰiɛn5																	
便	pʰiɛn2																	
辨	piɛn5																	
辯	piɛn5																	
汴	piɛn5																	
卞	piɛn5																	
便	piɛn5																	
綿	miɛn2																	
棉	miɛn2																	
免	miɛn3																	
勉	miɛn3																	
娩	miɛn3																	
緬	miɛn3																	
澠	miɛn3																	
面	miɛn5																	
滅	mie2																	
搣	mie3																	
碾	ȵiɛn3																	
連	liɛn2																	
聯	liɛn2																	
輦	liɛn3																	
列	lie2																	
烈	lie2																	
裂	lia2																	
煎	ʨiɛn1																	
剪	ʨiɛn3																	
箭	ʨiɛn5																	
濺	ʨiɛn5																	
濺	ʦan5																	
遷	ʨʰiɛn1																	
淺	ʨʰiɛn3																	
錢	ʨʰiɛn2																	
踐	ʨʰiɛn3																	
賤	ʨiɛn5																	
餞	ʨiɛn5																	
仙	ɕiɛn1																	
鮮	ɕyɛn1																	
鮮	ɕyɛn3																	
癬	ɕyɛn3																	
線	ɕiɛn5																	
薛	ɕye2																	
泄	ɕie2																	
涎	ɕiɛn2																	
涎	ɕyɛn2																	
羡	ɕiɛn5																	
展	ʦan3																	
哲	ʨie2																	
蜇	ʨie2																	
徹	ʦʰe2																	
撤	ʦʰe2																	
纏	ʦʰan2																	
轍	ʦʰe2																	
澈	ʦʰe2																	
氈	ʦan1																	
戰	ʦan5																	
顫	ʦan5																	
折	ʨie2																	
浙	ʨie2																	
舌	ɕie2																	
羶	san1																	
搧	san1																	
扇	san1																	
設	ɕie2																	
蟬	san2																	
禪	san2																	
善	san5																	
鱔	san5																	
蟮	suan5																	
膳	san5																	
單	san5																	
禪	san5																	
折	ɕie2																	
然	zan2																	
燃	zan2																	
熱	ie2																	
熱	ze2																	
輟	ʦue2																	
囝	ʨiɛn3																	
遣	ʨʰiɛn3																	
乾	ʨʰiɛn2																	
虔	ʨʰiɛn2																	
掮	ʨʰiɛn2																	
犍	ʨʰiɛn2																	
件	ʨiɛn5																	
傑	ʨie2																	
搩	ʨie2																	
諺	iɛn5																	
孽	ȵie2																	
蔫	ȵiɛn1																	
焉	iɛn1																	
延	yɛn2																	
筵	iɛn2																	
蜒	iɛn2																	
演	iɛn3																	
衍	iɛn3																	
拽	i2																	
犍	ʨiɛn1																	
建	ʨiɛn5																	
揭	ʨie2																	
鍵	ʨiɛn5																	
健	ʨiɛn5																	
腱	ʨiɛn5																	
竭	ʨie2																	
言	iɛn2																	
軒	ɕyɛn1																	
掀	ɕyɛn1																	
䘆	ɕiɛn3																	
憲	ɕiɛn5																	
獻	ɕiɛn5																	
歇	ɕie2																	
蠍	ɕie1																	
蔫	iɛn1																	
堰	iɛn5																	
䞁	iɛn5																	
邊	piɛn1																	
蝙	piɛn3																	
鯿	piɛn1																	
扁	piɛn3																	
匾	piɛn3																	
遍	piɛn5																	
