来源：	任冲 2018《山西偏关方言语音研究》；sainirwuu, Skanda, Hynuza 整理录入
tɕʰ	［1］敲锹悄［2］樵瞧乔侨桥荞［3］巧［5］俏窍
ɕ	［1］淆消宵霄硝销嚣箫萧［2］学={～手}［3］小晓屑{不～，木～}［5］孝效校{学～}校{上～}笑鞘{刀～}酵
Ø	［1］妖邀腰要{～求}么{～二三}吆{～喝}［2］肴摇{～头老娘娘：蚕蛹}谣窑姚尧［3］咬舀{～水}杳{～无音信}［5］要{想～}耀鹞跃
#ɤu
t	［1］兜［3］斗抖{陡}［5］斗豆逗
tʰ	［1］偷［2］头投［5］透
n	［2］奴-{～才}
l	［2］楼搂{～取}耧{播种用的农具}□{～～：鸽子}［3］篓搂［5］漏陋瘘{～疮：疥疮}
ts	［3］走［5］奏皱骤
tsʰ	［2］愁［3］瞅［5］凑{～乎}
s	［1］搜飕馊{饭～了}［2］熟{饭～了}［3］叟［5］嗽瘦
tʂ	［1］粥周舟州洲［2］轴［3］肘帚［5］邹纣{桀～}昼宙咒
tʂʰ	［1］抽［2］绸稠筹仇酬［3］丑［5］臭
ʂ	［1］收［3］手首守［5］受兽寿授售
ʐ	［2］柔揉［5］肉
x	［2］侯喉猴瘊{～子}［3］吼［5］后厚候
#iɤu
t	［3］□{老圪～：麻雀}［5］□{：滚动}
n	［1］□{“你们”的合音}［2］牛□{打灯～～：灯蛾}［3］纽扭
l	［2］流刘留榴{石～}硫{～黄}琉{～璃}□{提～：提}［3］柳绺{圪～：一绺头发}［5］六=溜馏{把凉了的熟食蒸热}
tɕ	［1］揪{一把～住}鸠纠{～缠}纠{～正}鬏{：头发盘成的结}［3］酒九久韭灸［5］就臼舅咎救究旧柩蹴{圪～：蹲下}
tɕʰ	［1］秋{～天}秋{～千}丘［2］球求仇{姓}□{：成人的阴茎}
ɕ	［1］修羞休［2］囚泅{游水}［3］朽［5］嗅{用鼻子闻}秀绣宿{星～}锈{铁～}袖糗{面煮～了}
k	［1］勾{～结}钩沟［3］狗苟［5］够构购勾{～当}
kʰ	［1］抠［3］口［5］叩扣寇
ŋ	［1］欧殴［3］藕熰{：糊，饭烧～了}偶{配～}偶{～然}呕{～吐}［5］沤{久浸水中}怄{～气}
Ø	［1］优悠幽［2］尤邮由油游犹蚰{～蜒：蜈蚣}［3］有友酉友［5］诱右佑柚鼬{黄鼠狼}釉幼
#ɤŋ
