声母	韵母	声调	字	注释	
m	aŋ	5	忘	〜记	1
f	aŋ	1	昏	〜过去	1
f	aŋ	1	分	文	1
v	aŋ	2	晕	动词	1
v	aŋ	6	问	〜题	1
t	aŋ	1	灯	文	1
t	aŋ	3	等	文	1
t	aŋ	5	凳	文	1
d	aŋ	2	腾	文	1
l	aŋ	2	轮	车〜	1
ts	aŋ	1	斟	〜酌	1
s	aŋ	1	森	〜林	1
z	aŋ	2	层	文	1
kʰ	aŋ	3	肯	文	1
h	aŋ	2	衡	〜山，度量〜	1
p	iŋ	5	柄	文	1
p	iŋ	5	并	～拢，合～	1
p	iŋ	5	並	～且，～排	1
b	iŋ	2	平	文	1
b	iŋ	6	病	文	1
m	iŋ	2	渑	～池	1
m	iŋ	2	明	文	1
m	iŋ	6	命	文	1
tʰ	iŋ	5	听	参与	1
d	iŋ	2	陈	〜酒	1
l	iŋ	2	轮	〜著尔	1
l	iŋ	3	领	文	1
tɕ	iŋ	1	惊	文	1
tɕ	iŋ	1	征	长〜,～服	1
tɕ	iŋ	1	经	～书	1
tɕ	iŋ	3	整	〜齐,〜理	1
tɕ	iŋ	5	镜	文	1
tɕ	iŋ	5	正	立〜	1
tɕʰ	iŋ	1	称	对〜,〜心	1
tɕʰ	iŋ	1	馨	〜香，德艺双〜	1
tɕʰ	iŋ	1	轻	年〜，〜爪	1
tɕʰ	iŋ	1	声	年〜，～重，声音～	1
tɕʰ	iŋ	3	侵	〜略	1
tɕʰ	iŋ	5	称	相〜	1
dʑ	iŋ	2	沉	文	1
dʑ	iŋ	2	勤	文	1
dʑ	iŋ	2	塍	文	1
dʑ	iŋ	6	郑	〜家楼；地名,～重，～州	1
ȵ	iŋ	6	壬	〜午	1
ȵ	iŋ	6	任	姓	1
ɕ	iŋ	1	伸	文	1
ɕ	iŋ	1	声	〜望	1
ɕ	iŋ	3	省	反〜,又	1
ɕ	iŋ	5	性	〜命	1
零	iŋ	1	烟	〜囱	1
零	iŋ	3	饮	冷〜,〜酒	1
零	iŋ	3	影	文	1
p	oŋ	5	放	～开	1
pʰ	oŋ	3	纺	～纱	1
t	oŋ	1	中	正〜梁	1
d	oŋ	2	重	〜新，〜五	1
ts	oŋ	1	踪	跟〜	1
ts	oŋ	5	中	〜状元	1
tsʰ	oŋ	5	铳	拍〜	1
s	oŋ	1	松	又	1
z	oŋ	2	重	〜新	1
k	oŋ	3	拱	文	1
k	oŋ	3	巩	文	1
g	oŋ	6	共	文	1
h	oŋ	1	哄	〜堂大笑	1
h	oŋ	1	蜂	文	1
ɦ	oŋ	2	缝	裁〜	1
零	oŋ	1	翁	祖〜	1
tɕ	ioŋ	5	供	献～	1
tɕʰ	ioŋ	3	顷	〜刻	1
dʑ	ioŋ	2	裙	文	1
ɕ	ioŋ	1	熏	文	1
ɦ	ioŋ	2	云	〜南	1
ɦ	ioŋ	2	晕	名词	1
零	ioŋ	3	允	〜许	1
零	ioŋ	3	尹	府〜	1
零	aʔ	7	阿	〜弥陀佛，～胶，〜妹,〜+人名	1
零	aʔ	7	轧	～路	1
p	əʔ	7	拨	泼〜	1
p	əʔ	7	驳	反〜,辩〜	1
pʰ	əʔ	7	泼	〜水	1
pʰ	əʔ	7	泊	水〜	1
pʰ	əʔ	7	泊	〜船	1
b	əʔ	8	别	〜侬	1
