漢字	IPA	注釋
白	pa4	（白讀）烏～：黑白；名堂
爸	pa5	
耙	pa5	～塍：深翻田地
壩	pa5	
霸	pa5	
罷	pa5	
百	pa7	
伯	pa7	
柏	pa7	
駁	pa7	
掰	pa7	
爬	pa7	穿行（於濃密的草叢、灌木叢中）
趴	pʰa1	
□	pʰa4	～□la⁴：撲騰，掙扎
帕	pʰa5	口袋
媽	ma1	
□	ma1	抓。個～：一把
麻	ma2	
蔴	ma2	（文讀）芝～
嫲	ma2	雞～：母雞。可能是“母＂的別義異讀
蟆	ma2	蝦～：青蛙
馬	ma3	
碼	ma3	
母	ma3	（白讀）祖母。吳閩語中三等讀入二等的音韻特徵詞之一。俗作“媽、嬤＂，或作“姥＂①潘悟雲《吳閩語中的音韻特徵詞——三等讀入二等的音韻特徵詞》，《聲韻論叢》（第12輯），2002年。
麥	ma4	
茉	ma4	
𢫦	ma4	打
多	ta1	（白讀）幾～：多少
爹	ta1	（白讀）兩囝～：父子倆
打	ta3	
□	ta3	叼
踏	ta4	《集韻》達合切
大	ta5	
答	ta7	
搭	ta7	
褡	ta7	
達	ta7	調受普通話影響
笪	ta7	□kʰu⁷～：簟
打	ta7	～開（門等）：打開
他	tʰa1	
疊	tʰa4	（白讀）～起來。兩～
遝	tʰa4	
□	tʰa4	落～：舒心，高枕無憂
塔	tʰa7	
榻	tʰa7	
塌	tʰa7	
忒	tʰa7	太②鄭張尚芳《方言中的舒聲促化現象說略》（《語文研究》1990年第2期）將永安tʰɔ⁷（我們記為tʰɒ⁷）看作“太＂字，視之為“太tʰa⁵＂的舒聲促化現象，那麼蓋竹表示“太＂的tʰa⁷也是“太tʰæ⁵＂的變音，並且前者為白讀、後者為文讀。
拉	la1	（文讀）拖～
啦	la1	
垃	la1	
□	la1	指桑駡槐
□	la1	拃
拉	la2	（白讀）排泄
挪	la2	
□	la2	一種野生漿果
□	la2	～□li⁷：乾淨
哪	la3	
蠟	la4	
臘	la4	
獵	la4	
納	la4	
搦	la4	捕捉，握
瘌	la7	好高騖遠被灼熱的鍋等傷著，～卵：煎蛋
雜	tsa4	
砸	tsa4	
什	tsa4	（白讀）～物
傻	sa3	
殺	sa7	（文讀）自～
刹	sa7	
□	sa7	醃制
遮	tʃa1	
渣	tʃa1	
楂	tʃa1	
茶	tʃa2	
查	tʃa2	
者	tʃa3	③“這裏＂蓋竹話說“者裏tʃai³li⁰”，tʃai的-i韻尾受li逆同化而致。
□	tʃa4	（狗等）躍起
□	tʃa4	～□ŋiã³：好奇
□	tʃa4	～落：搭理
蔗	tʃa5	
乍	tʃa5	
炸	tʃa5	
詐	tʃa5	
榨	tʃa5	
柘	tʃa5	
紮	tʃa7	
鍘	tʃa7	
閘	tʃa7	
只	tʃa7	量詞
叉	tʃʰa1	
杈	tʃʰa1	
岔	tʃʰa1	
差	tʃʰa1	～別
