繁體	简体	聲韻	聲調	注釋			
枵	枵	çiɔ	33				
欣	欣	çiɪŋ	33				
熏	熏	çyøŋ	33				
熙	熙	çi	33				
犧	牺	çi	33				
稀	稀	çi	33				
胸	胸	çyoŋ	33				
興	兴	çiɪŋ	33				
薰	薰	çyøŋ	33				
虛	虚	çy	33				
軒	轩	çi	33				
鄉	乡	çiã	33				
靴	靴	çy	33				
香	香	çiã	33				
乎	乎	hu	33				
亨	亨	hã	33				
呼	呼	hu	33				
夯	夯	hã	33				
婚	婚	huəŋ	33				
徽	徽	hue	33				
恢	恢	hue	33				
慌	慌	hɔ̃	33				
揈	揈	hoŋ	33				
揮	挥	hue	33	新文讀			
昏	昏	huəŋ	33				
歡	欢	huø	33				
灰	灰	hue	33				
烘	烘	hoŋ	33				
盔	盔	hue	33				
花	花	hua	33				
荒	荒	hɔ̃	33				
葷	荤	həŋ	33				
蒿	蒿	hɔ	33				
蚶	蚶	hø	33				
蝦	虾	ho	33				
輝	辉	hue	33				
轟	轰	hoŋ	33				
鼾	鼾	hɤ	33				
啰	啰	ʔlo	33				
拉	拉	ʔla	33				
媽	妈	ʔma	33				
貓	猫	ʔmɔ	33				
饃	馍	ʔmo	33				
丫	丫	o	33				
麼	幺	iɔ	33	～二三			
伊	伊	i	33				
依	依	i	33				
倭	倭	o	33				
優	优	iɤu	33				
冤	冤	yø	33				
吆	吆	iɔ	33				
哀	哀	e	33				
因	因	iɪŋ	33				
坳	坳	ɔ	33				
埃	埃	e	33				
央	央	iã	33				
妖	妖	iɔ	33				
姻	姻	iɪŋ	33				
威	威	ue	33				
嬰	婴	iɪŋ	33				
安	安	ø	33				
幽	幽	iɤu	33				
庵	庵	ø	33				
彎	弯	uɛ	33				
恩	恩	əŋ	33				
憂	忧	iɤu	33				
挨	挨	a	33				
於	于	y	33				
椏	桠	o	33				
櫻	樱	ã	33				
歐	欧	ɤ	33				
歪	歪	ua	33				
殃	殃	iã	33				
殷	殷	iɪŋ	33				
汙	污	u	33				
汪	汪	ɔ̃	33				
淤	淤	y	33				
淵	渊	yø	33				
淹	淹	ie	33				
湮	湮	ie	33				
溫	温	uəŋ	33				
灣	湾	uɛ	33				
烏	乌	u	33				
煙	烟	ie	33				
煨	煨	ue	33				
燕	燕	ie	33	～京；姓			
甌	瓯	ɤ	33				
瘟	瘟	uəŋ	33				
秧	秧	iã	33				
窩	窝	o	33				
窪	洼	ua	33				
籲	吁	y	33				
纓	缨	iɪŋ	33				
翁	翁	oŋ	33				
肮	肮	ɔ̃	33				
腰	腰	iɔ	33				
英	英	iɪŋ	33				
蔫	蔫	ie	33	食物不新鮮			
蛙	蛙	o	33	白讀			
蛙	蛙	ua	33	文讀			
蝸	蜗	o	33				
衣	衣	i	33				
迂	迂	y	33				
邀	邀	iɔ	33				
醫	医	i	33				
閹	阉	ie	33				
陰	阴	iɪŋ	33				
雍	雍	yoŋ	33				
鞍	鞍	ø	33				
音	音	iɪŋ	33				
鴉	鸦	ia	33	文讀			
鴉	鸦	o	33	白讀			
鶯	莺	iɪŋ	33				
鷹	鹰	iɪŋ	33				
鸚	鹦	iɪŋ	33				
並	并	biɪŋ	31				
便	便	bie	31	～宜			
倍	倍	be	31				
刨	刨	bɔ	31				
坪	坪	biɪŋ	31				
培	培	be	31				
婆	婆	bo	31				
婢	婢	bi	31				
嫖	嫖	biɔ	31				
孵	孵	bu	31				
屏	屏	biɪŋ	31				
平	平	biɪŋ	31				
彭	彭	bã	31				
憑	凭	biɪŋ	31				
抱	抱	bɔ	31				
拌	拌	bø	31				
排	排	ba	31				
旁	旁	bɔ̃	31				
朋	朋	bã	31	新			
朋	朋	boŋ	31	舊			
杷	杷	bo	31				
枇	枇	bi	31				
棒	棒	bɔ̃	31				
棚	棚	boŋ	31				
滂	滂	bɔ̃	31				
爬	爬	bo	31				
牌	牌	ba	31				
琵	琵	bi	31				
琶	琶	bo	31				
瓢	瓢	biɔ	31				
瓶	瓶	biɪŋ	31				
疲	疲	bi	31				
皮	皮	bi	31				
盆	盆	bəŋ	31				
盤	盘	bø	31				
笨	笨	bəŋ	31				
篷	篷	boŋ	31				
簰	簰	ba	31	筏			
簿	簿	bu	31				
罷	罢	ba	31				
耙	耙	bo	31				
肥	肥	bi	31	白讀			
脯	脯	bu	31				
脾	脾	bi	31				
膨	膨	bã	31				
菩	菩	bu	31				
萍	萍	biɪŋ	31				
蒲	蒲	bu	31				
蓬	蓬	boŋ	31				
蚌	蚌	bã	31				
螃	螃	bɔ̃	31				
袍	袍	bɔ	31				
被	被	bi	31	被子			
裴	裴	be	31				
評	评	biɪŋ	31				
貧	贫	biɪŋ	31				
賠	赔	be	31				
辨	辨	bie	31				
辮	辫	bie	31				
辯	辩	bie	31				
部	部	bu	31				
陛	陛	bi	31				
陪	陪	be	31				
頻	频	biɪŋ	31				
鮑	鲍	bɔ	31				
鰾	鳔	biɔ	31				
龐	庞	bɔ̃	31				
亭	亭	diɪŋ	31				
停	停	diɪŋ	31				
動	动	doŋ	31				
同	同	doŋ	31				
唐	唐	dɔ̃	31				
啼	啼	di	31				
囤	囤	dəŋ	31				
圖	图	du	31				
團	团	dø	31				
堂	堂	dɔ̃	31				
塗	涂	du	31				
填	填	die	31				
壇	坛	dɛ	31				
屠	屠	du	31				
屯	屯	dəŋ	31				
庭	庭	diɪŋ	31				
廷	廷	diɪŋ	31				
弟	弟	di	31				
彈	弹	dɛ	31	～琴			
待	待	de	31				
徒	徒	du	31				
怠	怠	de	31				
惰	惰	do	31				
投	投	dɤ	31				
抬	抬	de	31				
掏	掏	dɔ	31				
提	提	di	31				
斷	断	dø	31	～絶			
杜	杜	du	31				
桃	桃	dɔ	31				
桐	桐	doŋ	31				
桶	桶	doŋ	31				
條	条	diɔ	31				
棠	棠	dɔ̃	31				
檀	檀	dɛ	31				
殆	殆	de	31				
沌	沌	dəŋ	31				
淘	淘	dɔ	31				
淡	淡	dɛ	31				
潭	潭	dø	31				
濤	涛	dɔ	31				
甜	甜	die	31				
田	田	die	31				
疼	疼	dəŋ	31				
痰	痰	dɛ	31				
盾	盾	dəŋ	31				
瞳	瞳	doŋ	31				
稻	稻	dɔ	31				
童	童	doŋ	31				
筒	筒	doŋ	31				
糖	糖	dɔ̃	31				
肚	肚	du	31	腹肚			
臺	台	de	31				
舵	舵	do	31				
苔	苔	de	31	青～			
萄	萄	dɔ	31				
藤	藤	dəŋ	31				
蜓	蜓	diɪŋ	31				
螳	螳	dɔ̃	31				
誕	诞	dɛ	31				
談	谈	dɛ	31				
謄	誊	dəŋ	31				
譚	谭	dø	31				
豚	豚	dəŋ	31				
跳	跳	diɔ	31	～路：走路			
蹄	蹄	di	31				
逃	逃	dɔ	31				
途	途	du	31				
道	道	dɔ	31				
銅	铜	doŋ	31				
錠	锭	diɪŋ	31				
陶	陶	dɔ	31				
頭	头	dɤ	31				
題	题	di	31				
飩	饨	dəŋ	31				
馱	驮	do	31				
駝	驼	do	31				
騰	腾	dəŋ	31				
件	件	ɟie	31				
僑	侨	ɟiɔ	31				
其	其	ɟi	31				
勤	勤	ɟiɪŋ	31				
喬	乔	ɟiɔ	31				
奇	奇	ɟi	31				
妓	妓	ɟi	31				
巨	巨	ɟy	31				
幹	干	ɟie	31	～坤			
強	强	ɟiã	31				
徛	徛	ɟi	31	立			
技	技	ɟi	31				
拒	拒	ɟy	31				
拳	拳	ɟyø	31				
掮	掮	ɟie	31				
擎	擎	ɟiɪŋ	31				
擒	擒	ɟiɪŋ	31				
旗	旗	ɟi	31				
期	期	ɟi	31				
棋	棋	ɟi	31				
橋	桥	ɟiɔ	31				
權	权	ɟyø	31				
歧	歧	ɟi	31				
求	求	ɟiɤu	31				
渠	渠	ɟy	31				
狂	狂	ɟiɔ̃	31				
球	球	ɟiɤu	31				
琴	琴	ɟiɪŋ	31				
瓊	琼	ɟyoŋ	31				
瞿	瞿	ɟy	31				
祁	祁	ɟi	31				
祈	祈	ɟi	31				
禽	禽	ɟiɪŋ	31				
窮	穷	ɟyoŋ	31				
臼	臼	ɟiɤu	31				
舅	舅	ɟiɤu	31				
芹	芹	ɟiɪŋ	31				
茄	茄	ɟia	31				
莖	茎	ɟiɪŋ	31				
葵	葵	ɟy	31				
蕎	荞	ɟiɔ	31				
虔	虔	ɟie	31				
裙	裙	ɟyøŋ	31				
距	距	ɟy	31				
跪	跪	ɟy	31				
近	近	ɟiɪŋ	31				
逵	逵	ɟy	31				
鉗	钳	ɟie	31				
鍵	键	ɟie	31				
顴	颧	ɟyø	31				
騎	骑	ɟi	31				
鯨	鲸	ɟiɪŋ	31				
鰭	鳍	ɟi	31				
哽	哽	gã	31				
懷	怀	gua	31	白讀			
渠	渠	ge	31	他			
亡	亡	vɔ̃	31				
侮	侮	vu	31				
凡	凡	vɛ	31				
刎	刎	vəŋ	31				
墳	坟	vəŋ	31				
奉	奉	voŋ	31				
婦	妇	vu	31				
尾	尾	vi	31	文讀			
巫	巫	vu	31				
微	微	vi	31				
忿	忿	vəŋ	31				
憤	愤	vəŋ	31				
房	房	vɔ̃	31				
撫	抚	vu	31				
文	文	vəŋ	31				
武	武	vu	31				
浮	浮	vu	31	白讀			
浮	浮	vɤ	31	文讀			
焚	焚	vəŋ	31				
無	无	vu	31	文讀			
煩	烦	vɛ	31				
父	父	vu	31				
犯	犯	vɛ	31				
範	范	vɛ	31				
紋	纹	vəŋ	31				
縫	缝	voŋ	31	～衣服			
繁	繁	vɛ	31				
聞	闻	vəŋ	31				
肥	肥	vi	31	文讀			
腐	腐	vu	31				
舞	舞	vu	31				
誣	诬	vu	31				
負	负	vu	31				
輔	辅	vu	31				
逢	逢	voŋ	31				
釜	釜	vu	31				
阜	阜	vu	31				
防	防	vɔ̃	31				
馮	冯	voŋ	31				
鵡	鹉	vu	31				
持	持	dzɿ	31				
搽	搽	dzo	31				
查	查	dzo	31				
池	池	dzɿ	31				
痔	痔	dzɿ	31				
苧	苎	dzɿ	31	苧麻			
茶	茶	dzo	31				
遲	迟	dzɿ	31				
雉	雉	dzɿ	31				
馳	驰	dzɿ	31				
仕	仕	zɿ	31				
似	似	zɿ	31				
佘	佘	zo	31				
俟	俟	zɿ	31				
償	偿	zɔ̃	31				
匙	匙	zɿ	31				
嘗	尝	zɔ̃	31				
在	在	ze	31				
坐	坐	zo	31				
士	士	zɿ	31				
存	存	zəŋ	31				
層	层	zəŋ	31				
崇	崇	zoŋ	31				
巢	巢	zɔ	31				
巳	巳	zɿ	31				
市	市	zɿ	31				
常	常	zɔ̃	31				
床	床	zɔ̃	31				
恃	恃	zɿ	31				
愁	愁	zɤ	31				
慈	慈	zɿ	31				
慚	惭	zɛ	31				
才	才	ze	31				
攙	搀	zɛ	31				
是	是	zɿ	31				
時	时	zɿ	31				
曹	曹	zɔ	31				
曾	曾	zəŋ	31	～經			
材	材	ze	31				
柴	柴	za	31				
柿	柿	zɿ	31				
槽	槽	zɔ	31				
殘	残	zɛ	31				
氏	氏	zɿ	31				
瓷	瓷	zɿ	31				
皂	皂	zɔ	31				
磁	磁	zɿ	31				
社	社	zo	31				
祀	祀	zɿ	31				
祠	祠	zɿ	31				
纔	纔	ze	31				
罪	罪	ze	31				
而	而	zɿ	31				
耳	耳	zɿ	31	文讀			
茲	兹	zɿ	31				
藏	藏	zɔ̃	31				
蛇	蛇	zo	31				
蠶	蚕	zø	31				
裁	裁	ze	31				
裳	裳	zɔ̃	31				
詞	词	zɿ	31				
讒	谗	zɛ	31				
豺	豺	za	31				
財	财	ze	31				
辭	辞	zɿ	31				
造	造	zɔ	31				
鋤	锄	zu	31	文讀			
鋤	锄	zɿ	31	白讀			
餈	餈	zɿ	31				
饞	馋	zɛ	31				
鰣	鲥	zɿ	31				
丈	丈	dʑiã	31				
仇	仇	dʑiɤu	31				
仗	仗	dʑiã	31				
傳	传	dʑyø	31	～達			
儲	储	dʑy	31				
兆	兆	dʑiɔ	31				
呈	呈	dʑiɪŋ	31				
囚	囚	dʑiɤu	31				
垂	垂	dʑy	31				
場	场	dʑiã	31				
塵	尘	dʑiɪŋ	31				
廚	厨	dʑy	31				
懲	惩	dʑiɪŋ	31				
撰	撰	dʑyø	31				
朝	朝	dʑiɔ	31	～代			
杖	杖	dʑiã	31				
柱	柱	dʑy	31				
椽	椽	dʑyø	31				
槌	槌	dʑy	31				
橙	橙	dʑiɪŋ	31	柚子			
沉	沉	dʑiɪŋ	31				
泅	泅	dʑiɤu	31				
潮	潮	dʑiɔ	31				
澄	澄	dʑiɪŋ	31				
程	程	dʑiɪŋ	31				
稠	稠	dʑiɤu	31				
篆	篆	dʑyø	31				
籌	筹	dʑiɤu	31				
紂	纣	dʑiɤu	31				
綢	绸	dʑiɤu	31				
纏	缠	dʑie	31				
腸	肠	dʑiã	31				
蟲	虫	dʑyoŋ	31				
趙	赵	dʑiɔ	31				
逞	逞	dʑiɪŋ	31				
酬	酬	dʑiɤu	31				
重	重	dʑyoŋ	31				
錘	锤	dʑy	31				
錢	钱	dʑie	31				
長	长	dʑiã	31	～短			
除	除	dʑy	31				
陳	陈	dʑiɪŋ	31				
雛	雏	dʑy	31				
韶	韶	dʑiɔ	31				
丞	丞	ʑiɪŋ	31				
乘	乘	ʑiɪŋ	31				
乳	乳	ʑy	31				
仁	仁	ʑiɪŋ	31	文讀			
像	像	ʑiã	31				
儒	儒	ʑy	31				
全	全	ʑyø	31				
冗	冗	ʑyoŋ	31				
前	前	ʑie	31				
受	受	ʑiɤu	31				
叢	丛	ʑyoŋ	31				
唇	唇	ʑyøŋ	31				
善	善	ʑie	31				
垂	垂	ʑy	31				
城	城	ʑiɪŋ	31				
如	如	ʑy	31				
娠	娠	ʑiɪŋ	31				
尋	寻	ʑiɪŋ	31				
巡	巡	ʑyøŋ	31				
序	序	ʑy	31				
徐	徐	ʑy	31				
從	从	ʑyoŋ	31	跟～			
循	循	ʑyøŋ	31				
忍	忍	ʑiɪŋ	31				
情	情	ʑiɪŋ	31				
戎	戎	ʑyoŋ	31				
成	成	ʑiɪŋ	31				
承	承	ʑiɪŋ	31				
敘	叙	ʑy	31				
斜	斜	ʑia	31				
旋	旋	ʑyø	31				
晨	晨	ʑiɪŋ	31				
晴	晴	ʑiɪŋ	31				
松	松	ʑyoŋ	31	～毛絲：松針			
樵	樵	ʑiɔ	31				
橡	橡	ʑiã	31				
殊	殊	ʑy	31				
汝	汝	ʑy	31				
泉	泉	ʑyø	31				
漸	渐	ʑie	31				
潛	潜	ʑie	31				
然	然	ʑie	31				
燃	燃	ʑie	31				
牆	墙	ʑiã	31				
甚	甚	ʑiɪŋ	31				
盡	尽	ʑiɪŋ	31				
神	神	ʑiɪŋ	31				
祥	祥	ʑiã	31				
禪	禅	ʑie	31				
秦	秦	ʑiɪŋ	31				
純	纯	ʑyøŋ	31				
紹	绍	ʑiɔ	31				
絨	绒	ʑyoŋ	31	文讀			
緒	绪	ʑy	31				
繩	绳	ʑiɪŋ	31				
聚	聚	ʑy	31				
腎	肾	ʑiɪŋ	31				
臍	脐	ʑi	31				
臣	臣	ʑiɪŋ	31				
船	船	ʑyø	31				
茸	茸	ʑyoŋ	31				
蒓	蒓	ʑyøŋ	31				
薺	荠	ʑi	31				
蟬	蝉	ʑie	31				
蟾	蟾	ʑie	31				
詳	详	ʑiã	31				
誠	诚	ʑiɪŋ	31				
誰	谁	ʑy	31				
豎	竖	ʑy	31				
象	象	ʑiã	31				
踐	践	ʑie	31				
辰	辰	ʑiɪŋ	31				
邪	邪	ʑia	31				
醇	醇	ʑyøŋ	31				
隨	随	ʑy	31				
靖	靖	ʑiɪŋ	31				
靜	静	ʑiɪŋ	31				
韶	韶	ʑiɔ	31				
髓	髓	ʑy	31				
齊	齐	ʑi	31				
丸	丸	ɦuø	31				
何	何	ɦo	31				
侯	侯	ɦɤ	31				
兮	兮	ɦi	31				
函	函	ɦɛ	31				
刑	刑	ɦiɪŋ	31				
勻	匀	ɦyøŋ	31				
含	含	ɦø	31				
吳	吴	ɦu	31	文讀			
吾	吾	ɦu	31				
和	和	ɦo	31	～氣			
員	员	ɦyø	31				
唯	唯	ɦy	31				
喉	喉	ɦɤ	31				
回	回	ɦue	31				
圍	围	ɦy	31				
園	园	ɦyø	31				
圓	圆	ɦyø	31				
型	型	ɦiɪŋ	31				
塋	茔	ɦiɪŋ	31				
壕	壕	ɦɔ	31				
壺	壶	ɦu	31				
夷	夷	ɦi	31				
奚	奚	ɦi	31				
姚	姚	ɦiɔ	31				
姨	姨	ɦi	31				
嫌	嫌	ɦie	31				
孩	孩	ɦe	31				
完	完	ɦuø	31				
宏	宏	ɦoŋ	31				
容	容	ɦyoŋ	31				
寅	寅	ɦiɪŋ	31				
寒	寒	ɦø	31				
尤	尤	ɦiɤu	31				
庸	庸	ɦyoŋ	31				
延	延	ɦie	31				
弘	弘	ɦoŋ	31				
弦	弦	ɦie	31				
形	形	ɦiɪŋ	31				
恒	恒	ɦəŋ	31				
悠	悠	ɦiɤu	31				
惟	惟	ɦy	31				
愉	愉	ɦy	31				
懷	怀	ɦua	31	文讀			
懸	悬	ɦyø	31				
揚	扬	ɦiã	31				
援	援	ɦyø	31				
搖	摇	ɦiɔ	31				
撼	撼	ɦø	31				
於	于	ɦy	31				
杭	杭	ɦɔ̃	31				
桅	桅	ɦue	31				
桓	桓	ɦuø	31				
梧	梧	ɦu	31				
楊	杨	ɦiã	31				
榆	榆	ɦy	31				
榮	荣	ɦyoŋ	31				
槐	槐	ɦua	31				
橫	横	ɦuã	31				
毫	毫	ɦɔ	31				
河	河	ɦo	31				
油	油	ɦiɤu	31				
沿	沿	ɦie	31				
洋	洋	ɦiã	31				
洪	洪	ɦoŋ	31				
涎	涎	ɦie	31				
淆	淆	ɦɔ	31				
淫	淫	ɦiɪŋ	31				
淮	淮	ɦua	31				
混	混	ɦuəŋ	31				
湖	湖	ɦu	31				
滎	荥	ɦiɪŋ	31				
炎	炎	ɦie	31				
烊	烊	ɦiã	31	融化			
焉	焉	ɦie	31				
熊	熊	ɦoŋ	31				
熔	熔	ɦyoŋ	31				
營	营	ɦiɪŋ	31				
爲	爲	ɦy	31	作爲			
爺	爷	ɦia	31				
狐	狐	ɦu	31				
猴	猴	ɦɤ	31				
猶	犹	ɦiɤu	31				
玄	玄	ɦyø	31				
王	王	ɦɔ̃	31				
玩	玩	ɦuɛ	31				
瑕	瑕	ɦo	31				
環	环	ɦuɛ	31				
由	由	ɦiɤu	31				
痕	痕	ɦəŋ	31				
瘍	疡	ɦiã	31				
皇	皇	ɦɔ̃	31				
盂	盂	ɦy	31				
盈	盈	ɦiɪŋ	31				
禾	禾	ɦo	31				
移	移	ɦi	31				
窰	窰	ɦiɔ	31				
筵	筵	ɦie	31				
簧	簧	ɦɔ̃	31				
簷	檐	ɦie	31				
紅	红	ɦoŋ	31				
維	维	ɦy	31				
緣	缘	ɦyø	31				
羊	羊	ɦiã	31				
耶	耶	ɦia	31				
肴	肴	ɦɔ	31				
胡	胡	ɦu	31				
與	与	ɦy	31				
航	航	ɦɔ̃	31				
茴	茴	ɦue	31				
荷	荷	ɦo	31				
華	华	ɦua	31				
葦	苇	ɦy	31				
葫	葫	ɦu	31				
蓉	蓉	ɦyoŋ	31				
虹	虹	ɦoŋ	31				
蝗	蝗	ɦɔ̃	31				
融	融	ɦoŋ	31				
螢	萤	ɦiɪŋ	31				
蠅	蝇	ɦiɪŋ	31				
行	行	ɦã	31	～爲			
行	行	ɦɔ̃	31	～列，銀～			
衛	卫	ɦue	31				
衡	衡	ɦã	31				
袁	袁	ɦyø	31				
謡	謡	ɦiɔ	31				
豪	豪	ɦɔ	31				
賢	贤	ɦie	31				
贏	赢	ɦiɪŋ	31				
轅	辕	ɦyø	31				
逾	逾	ɦy	31				
遊	游	ɦiɤu	31				
遐	遐	ɦo	31				
違	违	ɦy	31				
遺	遗	ɦy	31				
還	还	ɦuɛ	31				
邪	邪	ɦia	31				
郵	邮	ɦiɤu	31				
銜	衔	ɦɛ	31				
閑	闲	ɦɛ	31				
降	降	ɦɔ̃	31				
陽	阳	ɦiã	31				
雄	雄	ɦoŋ	31				
雲	云	ɦyøŋ	31				
霞	霞	ɦo	31				
鞋	鞋	ɦa	31				
韓	韩	ɦø	31				
頑	顽	ɦuɛ	31				
飴	饴	ɦi	31				
餘	余	ɦy	31				
餛	馄	ɦuəŋ	31				
魂	魂	ɦuəŋ	31				
鴻	鸿	ɦoŋ	31				
鹹	咸	ɦɛ	31				
鹽	盐	ɦie	31				
黃	黄	ɦɔ̃	31				
名	名	miɪŋ	31				
埋	埋	ma	31				
媒	媒	me	31				
彌	弥	mi	31				
忙	忙	mɔ̃	31				
描	描	miɔ	31				
摩	摩	mo	31				
摹	摹	mo	31				
明	明	miɪŋ	31				
枚	枚	me	31				
梅	梅	me	31				
棉	棉	mie	31				
楣	楣	mi	31				
模	模	mo	31				
毛	毛	mɔ	31				
民	民	miɪŋ	31				
煤	煤	me	31				
痲	痲	mo	31				
盟	盟	miɪŋ	31				
盲	盲	mɔ̃	31				
眉	眉	mi	31				
眠	眠	mie	31				
瞞	瞒	mø	31				
矛	矛	mɤ	31				
磨	磨	mo	31	動詞			
綿	绵	mie	31				
芒	芒	mɔ̃	31				
苗	苗	miɔ	31				
茅	茅	mɔ	31				
茫	茫	mɔ̃	31				
萌	萌	mã	31				
蒙	蒙	moŋ	31				
虻	虻	mã	31				
蚊	蚊	məŋ	31				
蜈	蜈	mo	31				
蟆	蟆	mo	31				
蠻	蛮	mɛ	31				
謀	谋	mɤ	31				
貓	猫	mɔ	31				
迷	迷	mi	31				
銘	铭	miɪŋ	31				
錨	锚	mɔ	31				
門	门	məŋ	31				
饅	馒	mɛ	31				
魔	魔	mo	31				
鳴	鸣	miɪŋ	31				
麻	麻	mo	31				
黴	霉	mi	31				
南	南	nø	31				
囊	囊	nɔ̃	31				
奴	奴	nu	31				
拿	拿	na	31	文讀			
拿	拿	no	31	白讀			
挪	挪	no	31				
攮	攮	nɔ̃	31				
男	男	nø	31				
能	能	nəŋ	31				
膿	脓	noŋ	31				
芮	芮	ne	31				
農	农	noŋ	31				
難	难	nɛ	31	～易			
人	人	ȵiɪŋ	31				
仁	仁	ȵiɪŋ	31	白讀			
仍	仍	ȵiɪŋ	31				
倪	倪	ȵi	31				
儀	仪	ȵi	31				
儼	俨	ȵie	31				
元	元	ȵyø	31				
凝	凝	ȵiɪŋ	31				
危	危	ȵy	31				
原	原	ȵyø	31				
吟	吟	ȵiɪŋ	31				
嚴	严	ȵie	31				
嚷	嚷	ȵiã	31				
堯	尧	ȵiɔ	31				
壤	壤	ȵiã	31				
壬	壬	ȵiɪŋ	31				
娘	娘	ȵiã	31				
宜	宜	ȵi	31				
寧	宁	ȵiɪŋ	31				
尼	尼	ȵi	31				
年	年	ȵie	31				
愚	愚	ȵy	31				
撓	挠	ȵiɤu	31				
擬	拟	ȵi	31				
擾	扰	ȵiɔ	31				
攘	攘	ȵiã	31				
柔	柔	ȵiɤu	31				
泥	泥	ȵi	31				
源	源	ȵyø	31				
漁	渔	ȵy	31				
濃	浓	ȵyoŋ	31				
疑	疑	ȵi	31				
研	研	ȵie	31				
絨	绒	ȵyoŋ	31	白讀			
繞	绕	ȵiɔ	31	圍～			
虞	虞	ȵy	31				
蟻	蚁	ȵi	31				
蠅	蝇	ȵiɪŋ	31	蒼～			
言	言	ȵie	31				
迎	迎	ȵiɪŋ	31				
銀	银	ȵiɪŋ	31				
閻	阎	ȵie	31				
饒	饶	ȵiɔ	31				
俄	俄	ŋo	31				
吳	吴	ŋu	31	文讀			
吾	吾	ŋu	31				
呆	呆	ŋe	31				
娛	娱	ŋu	31				
崖	崖	ŋa	31				
巖	巖	ŋɛ	31				
昂	昂	ŋɔ̃	31				
梧	梧	ŋu	31				
涯	涯	ŋa	31				
熬	熬	ŋɔ	31				
牙	牙	ŋo	31				
牛	牛	ŋɤ	31				
芽	芽	ŋo	31				
蛾	蛾	ŋo	31				
衙	衙	ŋo	31				
訛	讹	ŋo	31				
雅	雅	ŋo	31	白讀			
顔	顔	ŋɛ	31				
鵝	鹅	ŋo	31				
了	了	liɔ	31				
伶	伶	liɪŋ	31				
來	来	le	31				
侖	仑	ləŋ	31				
倫	伦	ləŋ	31				
劉	刘	liɤu	31				
勞	劳	lɔ	31				
厘	厘	li	31				
嘮	唠	lɔ	31				
壟	垄	loŋ	31				
寥	寥	liɔ	31				
廉	廉	lie	31				
廊	廊	lɔ̃	31				
廬	庐	lu	31				
憐	怜	lie	31				
戀	恋	lø	31				
撩	撩	liɔ	31				
攏	拢	loŋ	31				
攔	拦	lɛ	31				
斂	敛	lie	31				
林	林	liɪŋ	31				
栗	栗	liɪŋ	31				
梁	梁	liã	31				
梨	梨	li	31				
榴	榴	liɤu	31				
樓	楼	lɤ	31				
欄	栏	lɛ	31				
流	流	liɤu	31				
涼	凉	liã	31				
淋	淋	liɪŋ	31				
淩	凌	liɪŋ	31				
淪	沦	ləŋ	31				
燎	燎	liɔ	31				
爐	炉	lu	31				
牢	牢	lɔ	31				
犁	犁	li	31				
狸	狸	li	31				
狼	狼	lɔ̃	31				
琉	琉	liɤu	31				
璃	璃	li	31				
留	留	liɤu	31				
療	疗	liɔ	31				
盧	卢	lu	31				
硫	硫	liɤu	31				
磷	磷	liɪŋ	31				
簾	帘	lie	31				
籃	篮	lɛ	31				
籠	笼	loŋ	31				
籬	篱	li	31				
籮	箩	lo	31				
粱	粱	liã	31				
糧	粮	liã	31				
羅	罗	lo	31				
翎	翎	liɪŋ	31				
聊	聊	liɔ	31				
聯	联	lie	31				
聾	聋	loŋ	31				
腡	脶	lo	31	手指文			
臨	临	liɪŋ	31				
良	良	liã	31				
荔	荔	li	31				
菱	菱	liɪŋ	31				
蓮	莲	lie	31				
藍	蓝	lɛ	31				
蘆	芦	lu	31				
蘭	兰	lɛ	31				
螂	螂	lɔ̃	31				
螺	螺	lo	31				
輪	轮	ləŋ	31				
連	连	lie	31				
遼	辽	liɔ	31				
郎	郎	lɔ̃	31				
鄰	邻	liɪŋ	31				
量	量	liã	31	～長短			
鈴	铃	liɪŋ	31				
鐮	镰	lie	31				
鑼	锣	lo	31				
陵	陵	liɪŋ	31				
隆	隆	loŋ	31				
隴	陇	loŋ	31				
離	离	li	31				
零	零	liɪŋ	31				
雷	雷	le	31				
靈	灵	liɪŋ	31				
騾	骡	lo	31				
驢	驴	ly	31				
鱗	鳞	liɪŋ	31				
鱸	鲈	lu	31				
鸞	鸾	lø	31				
黎	黎	li	31				
龍	龙	loŋ	31				
無	无	ɦm	31	白讀			
兒	儿	ɦn	31				
吳	吴	ɦŋ	31	白讀			
魚	鱼	ɦŋ	31				
伴	伴	bø	13				
佩	佩	be	13				
便	便	bie	13	方～			
傍	傍	bɔ̃	13				
備	备	bi	13				
刨	刨	bɔ	13				
叛	叛	bø	13				
埠	埠	bu	13				
幣	币	bi	13				
弊	弊	bi	13				
捕	捕	bu	13				
敗	败	ba	13				
敝	敝	bi	13				
暴	暴	bɔ	13				
曝	曝	bɔ	13				
步	步	bu	13				
汴	汴	bie	13				
焙	焙	be	13	～幹			
爆	爆	bɔ	13				
爿	爿	bɛ	13				
瓣	瓣	bɛ	13				
病	病	biɪŋ	13				
稗	稗	ba	13				
篦	篦	bi	13				
背	背	be	13	～誦			
蔽	蔽	bi	13				
被	被	bi	13	被迫			
辦	办	bɛ	13				
避	避	bi	13				
代	代	de	13				
佃	佃	die	13				
但	但	dɛ	13				
兌	兑	de	13				
地	地	di	13				
坦	坦	dɛ	13				
墊	垫	die	13				
大	大	da	13	文讀			
大	大	da	13	～夫；～黃，藥名			
大	大	do	13	白讀			
奠	奠	die	13				
定	定	diɪŋ	13				
導	导	dɔ	13				
度	度	du	13				
