fanti	jianti	pinyin2	pinyin	ipa	beizhu
祖	祖	zu	zu3	tsu³⁵	
組	组	zu	zu3	tsu³⁵	
做	做	zu	zu6	tsu²²	
粗	粗	cu	cu1	tsʰu²⁴	
醋	醋	cu	cu1	tsʰu²⁴	
酥	酥	su	su1	su²⁴	
鬚	须	su	su1	su²⁴	
蘇	苏	su	su1h	su⁵⁵	
數	数	su	su3	su³⁵	动词。
素	素	su	su5	su³³	
訴	诉	su	su5	su³³	
數	数	su	su5	su³³	名词。
戍	戍	su	su5	su³³	
姑	姑	gu	gu1	ku²⁴	
孤	孤	gu	gu1h	ku⁵⁵	
古	古	gu	gu3	ku³⁵	
估	估	gu	gu3	ku³⁵	
牯	牯	gu	gu3	ku³⁵	
股	股	gu	gu3	ku³⁵	
鼓	鼓	gu	gu3	ku³⁵	
故	故	gu	gu3	ku³⁵	
固	固	gu	gu3	ku³⁵	
錮	锢	gu	gu3	ku³⁵	
雇	雇	gu	gu3	ku³⁵	
顧	顾	gu	gu3	ku³⁵	
箍	箍	gu	gu3	ku³⁵	
烏	乌	wu	wu1	wu²⁴	
汙	污	wu	wu1	wu²⁴	
塢	坞	wu	wu1h	wu⁵⁵	
惡	恶	wu	wu5	wu³³	可~。
滬	沪	wu	wu6	wu²²	
芋	芋	wu	wu6	wu²²	文读。
女	女	nyu	nyu4	ny¹³	
呂	吕	lyu	lyu4	ly¹³	
旅	旅	lyu	lyu4	ly¹³	
餒	馁	lyu	lyu4	ly¹³	
履	履	lyu	lyu4	ly¹³	
豬	猪	zyu	zyu1	tsy²⁴	
誅	诛	zyu	zyu1	tsy²⁴	
株	株	zyu	zyu1	tsy²⁴	
朱	朱	zyu	zyu1	tsy²⁴	
珠	珠	zyu	zyu1	tsy²⁴	
蛛	蛛	zyu	zyu1h	tsy⁵⁵	
煮	煮	zyu	zyu3	tsy³⁵	
主	主	zyu	zyu3	tsy³⁵	
注	注	zyu	zyu5	tsy³³	
蛀	蛀	zyu	zyu5	tsy³³	
鑄	铸	zyu	zyu5	tsy³³	
柱	柱	zyu	zyu5	tsy³³	
著	着	zyu	zyu6	tsy²²	
箸	箸	zyu	zyu6	tsy²²	
駐	驻	zyu	zyu6	tsy²²	
住	住	zyu	zyu6	tsy²²	
諸	诸	cyu	cyu1	tsʰy²⁴	
處	处	cyu	cyu1	tsʰy²⁴	相~。
苧	苎	cyu	cyu5	tsʰy³³	
處	处	cyu	cyu5	tsʰy³³	~所。
署	署	cyu	cyu5	tsʰy³³	
俆	俆	cyu	cyu2	tsʰy⁴⁴	
除	除	cyu	cyu2	tsʰy⁴⁴	
儲	储	cyu	cyu2	tsʰy⁴⁴	
廚	厨	cyu	cyu2	tsʰy⁴⁴	
褚	褚	cyu	cyu4	tsʰy¹³	
拄	拄	cyu	cyu4	tsʰy¹³	
柱	柱	cyu	cyu4	tsʰy¹³	
書	书	syu	syu1	sy²⁴	
舒	舒	syu	syu1	sy²⁴	
輸	输	syu	syu1	sy²⁴	
暑	暑	syu	syu3	sy³⁵	
鼠	鼠	syu	syu3	sy³⁵	
嗉	嗉	syu	syu5	sy³³	
庶	庶	syu	syu5	sy³³	
薯	薯	syu	syu2	sy⁴⁴	
殊	殊	syu	syu2	sy⁴⁴	
豎	竖	syu	syu6	sy²²	
樹	树	syu	syu6	sy²²	
居	居	gyu	gyu1	ky²⁴	
車	车	gyu	gyu1	ky²⁴	车马炮。
舉	举	gyu	gyu3	ky³⁵	
矩	矩	gyu	gyu3	ky³⁵	
據	据	gyu	gyu5	ky³³	
鋸	锯	gyu	gyu5	ky³³	
句	句	gyu	gyu5	ky³³	
巨	巨	gyu	gyu6	ky²²	
俱	俱	gyu	gyu6	ky²²	
具	具	gyu	gyu6	ky²²	
懼	惧	gyu	gyu6	ky²²	
拘	拘	kyu	kyu1h	kʰy⁵⁵	
駒	驹	kyu	kyu1h	kʰy⁵⁵	
區	区	kyu	kyu1h	kʰy⁵⁵	
驅	驱	kyu	kyu1h	kʰy⁵⁵	
渠	渠	kyu	kyu2	kʰy⁴⁴	
佢	佢	kyu	kyu2	kʰy⁴⁴	他。
瞿	瞿	kyu	kyu2	kʰy⁴⁴	
拒	拒	kyu	kyu4	kʰy¹³	
距	距	kyu	kyu4	kʰy¹³	
墟	墟	hyu	hyu1	hy²⁴	
虛	虚	hyu	hyu1	hy²⁴	
噓	嘘	hyu	hyu1	hy²⁴	
許	许	hyu	hyu3	hy³⁵	
去	去	hyu	hyu3	hy³⁵	
於	于	jyu	jyu1h	jy⁵⁵	
淤	淤	jyu	jyu1h	jy⁵⁵	
迂	迂	jyu	jyu1h	jy⁵⁵	
如	如	jyu	jyu3	jy³⁵	
魚	鱼	jyu	jyu3	jy³⁵	
漁	渔	jyu	jyu3	jy³⁵	
余	余	jyu	jyu3	jy³⁵	
餘	余	jyu	jyu3	jy³⁵	
儒	儒	jyu	jyu3	jy³⁵	
愚	愚	jyu	jyu3	jy³⁵	
虞	虞	jyu	jyu3	jy³⁵	
娛	娱	jyu	jyu3	jy³⁵	
盂	盂	jyu	jyu3	jy³⁵	
榆	榆	jyu	jyu3	jy³⁵	
逾	逾	jyu	jyu3	jy³⁵	
愉	愉	jyu	jyu3	jy³⁵	
怡	怡	jyu	jyu3	jy³⁵	
汝	汝	jyu	jyu4	jy¹³	
語	语	jyu	jyu4	jy¹³	
與	与	jyu	jyu4	jy¹³	
雨	雨	jyu	jyu4	jy¹³	
宇	宇	jyu	jyu4	jy¹³	
禹	禹	jyu	jyu4	jy¹³	
羽	羽	jyu	jyu4	jy¹³	
禦	御	jyu	jyu6	jy²²	
譽	誉	jyu	jyu6	jy²²	
預	预	jyu	jyu6	jy²²	
豫	豫	jyu	jyu6	jy²²	
遇	遇	jyu	jyu6	jy²²	
寓	寓	jyu	jyu6	jy²²	
愈	愈	jyu	jyu6	jy²²	
喻	喻	jyu	jyu6	jy²²	
裕	裕	jyu	jyu6	jy²²	
籲	吁	jyu	jyu6	jy²²	呼~。
雀	雀	tsoe	tsoe3	tʰsœ³⁵	麻~：麻将。
茄	茄	goe	goe3	kœ³⁵	
靴	靴	hoe	hoe1	hœ²⁴	
約	约	joe	joe3	jœ³⁵	又读。大~。
藥	药	joe	joe3	jœ³⁵	又读。芍~。
擺	摆	baai	baai3	pai³⁵	
拜	拜	baai	baai5	pai³³	
敗	败	baai	baai6	pai²²	
派	派	paai	paai5	pʰai³³	
排	排	paai	paai2	pʰai⁴⁴	
牌	牌	paai	paai2	pʰai⁴⁴	
埋	埋	maai	maai2	mai⁴⁴	
買	买	maai	maai4	mai¹³	
賣	卖	maai	maai6	mai²²	
邁	迈	maai	maai6	mai²²	
快	快	faai	faai5	fai³³	
塊	块	faai	faai5	fai³³	
筷	筷	faai	faai5	fai³³	
傀	傀	faai	faai5	fai³³	
戴	戴	daai	daai5	tai³³	
帶	带	daai	daai5	tai³³	
大	大	daai	daai6	tai²²	
態	态	taai	taai5	tʰai³³	
貸	贷	taai	taai5	tʰai³³	
太	太	taai	taai5	tʰai³³	
泰	泰	taai	taai5	tʰai³³	
乃	乃	naai	naai5	nai³³	
奶	奶	naai	naai5	nai³³	
拉	拉	laai	laai1	lai²⁴	
舐	舐	laai	laai1h	lai⁵⁵	又读。
舐	舐	laai	laai3	lai³⁵	
賴	赖	laai	laai6	lai²²	
癩	癞	laai	laai6	lai²²	
齋	斋	zaai	zaai1	tsai²⁴	
債	债	zaai	zaai5	tsai³³	
寨	寨	zaai	zaai6	tsai²²	
猜	猜	caai	caai1	tsʰai²⁴	
搋	搋	caai	caai1	tsʰai²⁴	~面：揉面。
差	差	caai	caai1h	tsʰai⁵⁵	出~。
豺	豺	caai	caai2	tsʰai⁴⁴	
徙	徙	saai	saai3	sai³⁵	
璽	玺	saai	saai3	sai³⁵	
曬	晒	saai	saai5	sai³³	
佳	佳	gaai	gaai1	kai²⁴	
皆	皆	gaai	gaai1h	kai⁵⁵	
階	阶	gaai	gaai1h	kai⁵⁵	
稭	稭	gaai	gaai1h	kai⁵⁵	
楷	楷	gaai	gaai1h	kai⁵⁵	
街	街	gaai	gaai1h	kai⁵⁵	
解	解	gaai	gaai3	kai³⁵	
介	介	gaai	gaai5	kai³³	
界	界	gaai	gaai5	kai³³	
芥	芥	gaai	gaai5	kai³³	
尬	尬	gaai	gaai5	kai³³	
疥	疥	gaai	gaai5	kai³³	
屆	届	gaai	gaai5	kai³³	
戒	戒	gaai	gaai5	kai³³	
揩	揩	haai	haai1h	hai⁵⁵	
孩	孩	haai	haai2	hai⁴⁴	
諧	谐	haai	haai2	hai⁴⁴	
鞋	鞋	haai	haai2	hai⁴⁴	
駭	骇	haai	haai4	hai¹³	
蟹	蟹	haai	haai4	hai¹³	
械	械	haai	haai6	hai²²	
懈	懈	haai	haai6	hai²²	
繫	系	haai	haai6	hai²²	
系	系	haai	haai6	hai²²	~统。
埃	埃	ngaai	ngaai1	ŋai²⁴	
涯	涯	ngaai	ngaai2	ŋai⁴⁴	
崖	崖	ngaai	ngaai2	ŋai⁴⁴	
捱	捱	ngaai	ngaai2	ŋai⁴⁴	~打。
艾	艾	ngaai	ngaai6	ŋai²²	
乖	乖	gwaai	gwaai1	kʷai²⁴	
拐	拐	gwaai	gwaai3	kʷai³⁵	
怪	怪	gwaai	gwaai5	kʷai³³	
歪	歪	waai	waai1h	wai⁵⁵	
懷	怀	waai	waai2	wai⁴⁴	
淮	淮	waai	waai2	wai⁴⁴	
槐	槐	waai	waai2	wai⁴⁴	
壞	坏	waai	waai6	wai²²	
挨	挨	waai	waai1	wai²⁴	~近。
矮	矮	waai	waai3	wai³⁵	
跛	跛	bai	bai1	pɐi²⁴	
稗	稗	bai	bai3	pɐi³⁵	
蔽	蔽	bai	bai5	pɐi³³	
閉	闭	bai	bai5	pɐi³³	
弊	弊	bai	bai6	pɐi²²	
幣	币	bai	bai6	pɐi²²	
斃	毙	bai	bai6	pɐi²²	
陛	陛	bai	bai6	pɐi²²	
批	批	pai	pai1	pʰɐi²⁴	
癦	癦	mai	mai3	mɐi³⁵	痣。
迷	迷	mai	mai2	mɐi⁴⁴	
謎	谜	mai	mai2	mɐi⁴⁴	
米	米	mai	mai4	mɐi¹³	
揮	挥	fai	fai1	fɐi²⁴	
輝	辉	fai	fai1	fɐi²⁴	
徽	徽	fai	fai1	fɐi²⁴	
痱	痱	fai	fai1h	fɐi⁵⁵	
廢	废	fai	fai5	fɐi³³	
肺	肺	fai	fai5	fɐi³³	
費	费	fai	fai5	fɐi³³	
吠	吠	fai	fai6	fɐi²²	
低	低	dai	dai1	tɐi²⁴	
底	底	dai	dai3	tɐi³⁵	
抵	抵	dai	dai3	tɐi³⁵	
帝	帝	dai	dai5	tɐi³³	
弟	弟	dai	dai6	tɐi²²	
第	第	dai	dai6	tɐi²²	
遞	递	dai	dai6	tɐi²²	
隸	隶	dai	dai6	tɐi²²	
梯	梯	tai	tai1	tʰɐi²⁴	
體	体	tai	tai3	tʰɐi³⁵	
蹄	蹄	tai	tai3	tʰɐi³⁵	
替	替	tai	tai5	tʰɐi³³	
涕	涕	tai	tai5	tʰɐi³³	
剃	剃	tai	tai5	tʰɐi³³	
堤	堤	tai	tai2	tʰɐi⁴⁴	
題	题	tai	tai2	tʰɐi⁴⁴	
提	提	tai	tai2	tʰɐi⁴⁴	
啼	啼	tai	tai2	tʰɐi⁴⁴	
泥	泥	nai	nai2	nɐi⁴⁴	
尼	尼	nai	nai2	nɐi⁴⁴	
犁	犁	lai	lai2	lɐi⁴⁴	
黎	黎	lai	lai2	lɐi⁴⁴	
栗	栗	lai	lai3	lɐi³⁵	又读。风~：栗子。
率	率	lai	lai3	lɐi³⁵	效~。
禮	礼	lai	lai4	lɐi¹³	
例	例	lai	lai6	lɐi²²	
厲	厉	lai	lai6	lɐi²²	
勵	励	lai	lai6	lɐi²²	
麗	丽	lai	lai6	lɐi²²	
荔	荔	lai	lai6	lɐi²²	
擠	挤	zai	zai1	tsɐi²⁴	
劑	剂	zai	zai1	tsɐi²⁴	
祭	祭	zai	zai5	tsɐi³³	
際	际	zai	zai5	tsɐi³³	
制	制	zai	zai5	tsɐi³³	
濟	济	zai	zai5	tsɐi³³	
滯	滞	zai	zai6	tsɐi²²	
妻	妻	cai	cai1	tsʰɐi²⁴	
棲	栖	cai	cai1	tsʰɐi²⁴	
砌	砌	cai	cai5	tsʰɐi³³	
切	切	cai	cai5	tsʰɐi³³	一~。
齊	齐	cai	cai2	tsʰɐi⁴⁴	
篩	筛	sai	sai1	sɐi²⁴	
西	西	sai	sai1	sɐi²⁴	
犀	犀	sai	sai1h	sɐi⁵⁵	
洗	洗	sai	sai3	sɐi³⁵	
使	使	sai	sai3	sɐi³⁵	
白	白	sai	sai3	sɐi³⁵	
駛	驶	sai	sai3	sɐi³⁵	
實	实	sai	sai3	sɐi³⁵	又读。木~嘴：闭口。
世	世	sai	sai5	sɐi³³	
勢	势	sai	sai5	sɐi³³	
細	细	sai	sai5	sɐi³³	
婿	婿	sai	sai5	sɐi³³	
柿	柿	sai	sai2	sɐi⁴⁴	
誓	誓	sai	sai6	sɐi²²	
逝	逝	sai	sai6	sɐi²²	
雞	鸡	gai	gai1	kɐi²⁴	
計	计	gai	gai5	kɐi³³	
繼	继	gai	gai5	kɐi³³	
髻	髻	gai	gai5	kɐi³³	
跪	跪	gai	gai6	kɐi²²	
稽	稽	kai	kai1	kʰɐi²⁴	
溪	溪	kai	kai1	kʰɐi²⁴	
規	规	kai	kai1	kʰɐi²⁴	
啟	启	kai	kai3	kʰɐi³⁵	
契	契	kai	kai5	kʰɐi³³	~约。
喺	喺	hai	hai3	hɐi³⁵	在。
奚	奚	hai	hai2	hɐi⁴⁴	
兮	兮	hai	hai2	hɐi⁴⁴	
係	系	hai	hai6	hɐi²²	关~；我~：我是。
倪	倪	ngai	ngai2	ŋɐi⁴⁴	
霓	霓	ngai	ngai2	ŋɐi⁴⁴	
桅	桅	ngai	ngai2	ŋɐi⁴⁴	
危	危	ngai	ngai2	ŋɐi⁴⁴	
蟻	蚁	ngai	ngai4	ŋɐi¹³	
藝	艺	ngai	ngai6	ŋɐi²²	
毅	毅	ngai	ngai6	ŋɐi²²	
偽	伪	ngai	ngai6	ŋɐi²²	
魏	魏	ngai	ngai6	ŋɐi²²	
龜	龟	gwai	gwai1	kʷɐi²⁴	
歸	归	gwai	gwai1	kʷɐi²⁴	
圭	圭	gwai	gwai1h	kʷɐi⁵⁵	
閨	闺	gwai	gwai1h	kʷɐi⁵⁵	
畦	畦	gwai	gwai1h	kʷɐi⁵⁵	
詭	诡	gwai	gwai3	kʷɐi³⁵	
軌	轨	gwai	gwai3	kʷɐi³⁵	
鬼	鬼	gwai	gwai3	kʷɐi³⁵	
桂	桂	gwai	gwai5	kʷɐi³³	
季	季	gwai	gwai5	kʷɐi³³	
貴	贵	gwai	gwai5	kʷɐi³³	
櫃	柜	gwai	gwai6	kʷɐi²²	
盔	盔	kwai	kwai1	kʷʰɐi²⁴	
虧	亏	kwai	kwai1	kʷʰɐi²⁴	
窺	窥	kwai	kwai1	kʷʰɐi²⁴	
攜	携	kwai	kwai2	kʷʰɐi⁴⁴	
葵	葵	kwai	kwai2	kʷʰɐi⁴⁴	
癸	癸	kwai	kwai2	kʷʰɐi⁴⁴	
愧	愧	kwai	kwai4	kʷʰɐi¹³	
饋	馈	kwai	kwai4	kʷʰɐi¹³	
威	威	wai	wai1h	wɐi⁵⁵	
毀	毁	wai	wai3	wɐi³⁵	
委	委	wai	wai3	wɐi³⁵	
韋	韦	wai	wai3	wɐi³⁵	
萎	萎	wai	wai3	wɐi³⁵	
痿	痿	wai	wai3	wɐi³⁵	
核	核	wai	wai3	wɐi³⁵	又读。果~。
喂	喂	wai	wai5	wɐi³³	
畏	畏	wai	wai5	wɐi³³	
慰	慰	wai	wai5	wɐi³³	
為	为	wai	wai5	wɐi³³	作~。
維	维	wai	wai5	wɐi³³	
唯	唯	wai	wai5	wɐi³³	
遺	遗	wai	wai5	wɐi³³	
違	违	wai	wai5	wɐi³³	
圍	围	wai	wai5	wɐi³³	
韋	韦	wai	wai4	wɐi¹³	
諱	讳	wai	wai4	wɐi¹³	
偉	伟	wai	wai4	wɐi¹³	
葦	苇	wai	wai4	wɐi¹³	
緯	纬	wai	wai4	wɐi¹³	
衛	卫	wai	wai6	wɐi²²	
惠	惠	wai	wai6	wɐi²²	
彗	彗	wai	wai6	wɐi²²	
慧	慧	wai	wai6	wɐi²²	
為	为	wai	wai6	wɐi²²	~什么。
位	位	wai	wai6	wɐi²²	
胃	胃	wai	wai6	wɐi²²	
謂	谓	wai	wai6	wɐi²²	
蝟	猬	wai	wai6	wɐi²²	
杯	杯	bui	bui1	pui²⁴	
胚	胚	bui	bui1	pui²⁴	
貝	贝	bui	bui5	pui³³	
輩	辈	bui	bui5	pui³³	
背	背	bui	bui5	pui³³	后~。
背	背	bui	bui6	pui²²	~诵。
焙	焙	bui	bui6	pui²²	
沛	沛	pui	pui5	pʰui³³	
佩	佩	pui	pui5	pʰui³³	
配	配	pui	pui5	pʰui³³	
培	培	pui	pui2	pʰui⁴⁴	
陪	陪	pui	pui2	pʰui⁴⁴	
賠	赔	pui	pui2	pʰui⁴⁴	
裴	裴	pui	pui2	pʰui⁴⁴	
倍	倍	pui	pui4	pʰui¹³	
梅	梅	mui	mui2	mui⁴⁴	
枚	枚	mui	mui2	mui⁴⁴	
媒	媒	mui	mui2	mui⁴⁴	
煤	煤	mui	mui2	mui⁴⁴	
玫	玫	mui	mui2	mui⁴⁴	
黴	霉	mui	mui2	mui⁴⁴	
每	每	mui	mui4	mui¹³	
妹	妹	mui	mui6	mui²²	
昧	昧	mui	mui6	mui²²	
魁	魁	fui	fui1	fui²⁴	
灰	灰	fui	fui1	fui²⁴	
恢	恢	fui	fui1	fui²⁴	
奎	奎	fui	fui1	fui²⁴	
悔	悔	fui	fui5	fui³³	
晦	晦	fui	fui5	fui³³	
堆	堆	dui	dui1	tui²⁴	
對	对	dui	dui5	tui³³	
碓	碓	dui	dui5	tui³³	
兌	兑	dui	dui5	tui³³	
待	待	dui	dui6	tui²²	
代	代	dui	dui6	tui²²	
袋	袋	dui	dui6	tui²²	
隊	队	dui	dui6	tui²²	
殆	殆	dui	dui6	tui²²	
胎	胎	tui	tui1	tʰui²⁴	
推	推	tui	tui1	tʰui²⁴	
腿	腿	tui	tui3	tʰui³⁵	
退	退	tui	tui5	tʰui³³	
蛻	蜕	tui	tui5	tʰui³³	
臺	台	tui	tui2	tʰui⁴⁴	
苔	苔	tui	tui2	tʰui⁴⁴	
抬	抬	tui	tui2	tʰui⁴⁴	
怠	怠	tui	tui4	tʰui¹³	
耐	耐	nui	nui6	nui²²	
奈	奈	nui	nui6	nui²²	
內	内	nui	nui6	nui²²	
騾	骡	lui	lui2	lui⁴⁴	
來	来	lui	lui2	lui⁴⁴	
萊	莱	lui	lui2	lui⁴⁴	
雷	雷	lui	lui2	lui⁴⁴	
屢	屡	lui	lui4	lui¹³	
儡	儡	lui	lui4	lui¹³	
壘	垒	lui	lui4	lui¹³	
瘰	瘰	lui	lui6	lui²²	
慮	虑	lui	lui6	lui²²	
濾	滤	lui	lui6	lui²²	
戾	戾	lui	lui6	lui²²	
累	累	lui	lui6	lui²²	
類	类	lui	lui6	lui²²	
淚	泪	lui	lui6	lui²²	
災	灾	zui	zui1	tsui²⁴	
追	追	zui	zui1	tsui²⁴	
錐	锥	zui	zui1	tsui²⁴	
栽	栽	zui	zui1h	tsui⁵⁵	
嘴	嘴	zui	zui3	tsui³⁵	
載	载	zui	zui3	tsui³⁵	年~。
再	再	zui	zui5	tsui³³	
載	载	zui	zui5	tsui³³	~重；满~。
最	最	zui	zui5	tsui³³	
贅	赘	zui	zui5	tsui³³	
醉	醉	zui	zui5	tsui³³	
序	序	zui	zui6	tsui²²	
敘	叙	zui	zui6	tsui²²	
聚	聚	zui	zui6	tsui²²	
在	在	zui	zui6	tsui²²	
罪	罪	zui	zui6	tsui²²	
墜	坠	zui	zui6	tsui²²	
趨	趋	cui	cui1	tsʰui²⁴	
催	催	cui	cui1	tsʰui²⁴	
吹	吹	cui	cui1	tsʰui²⁴	
炊	炊	cui	cui1	tsʰui²⁴	
崔	崔	cui	cui1h	tsʰui⁵⁵	
取	取	cui	cui3	tsʰui³⁵	
娶	娶	cui	cui3	tsʰui³⁵	
彩	彩	cui	cui3	tsʰui³⁵	
采	采	cui	cui3	tsʰui³⁵	
睬	睬	cui	cui3	tsʰui³⁵	
錘	锤	cui	cui3	tsʰui³⁵	
趣	趣	cui	cui5	tsʰui³³	
菜	菜	cui	cui5	tsʰui³³	
賽	赛	cui	cui5	tsʰui³³	
蔡	蔡	cui	cui5	tsʰui³³	
脆	脆	cui	cui5	tsʰui³³	
翠	翠	cui	cui5	tsʰui³³	
才	才	cui	cui2	tsʰui⁴⁴	
材	材	cui	cui2	tsʰui⁴⁴	
財	财	cui	cui2	tsʰui⁴⁴	
裁	裁	cui	cui2	tsʰui⁴⁴	
隨	随	cui	cui2	tsʰui⁴⁴	
槌	槌	cui	cui2	tsʰui⁴⁴	
須	须	sui	sui1	sui²⁴	必~。
雖	虽	sui	sui1	sui²⁴	
衰	衰	sui	sui1	sui²⁴	
需	需	sui	sui1h	sui⁵⁵	
腮	腮	sui	sui1h	sui⁵⁵	
鰓	鳃	sui	sui1h	sui⁵⁵	
水	水	sui	sui3	sui³⁵	
緒	绪	sui	sui5	sui³³	
碎	碎	sui	sui5	sui³³	
歲	岁	sui	sui5	sui³³	
稅	税	sui	sui5	sui³³	
粹	粹	sui	sui5	sui³³	
帥	帅	sui	sui5	sui³³	将~。
垂	垂	sui	sui2	sui⁴⁴	
誰	谁	sui	sui2	sui⁴⁴	
絮	絮	sui	sui6	sui²²	
彗	彗	sui	sui6	sui²²	又读。
髓	髓	sui	sui6	sui²²	
睡	睡	sui	sui6	sui²²	
瑞	瑞	sui	sui6	sui²²	
遂	遂	sui	sui6	sui²²	
隧	隧	sui	sui6	sui²²	
穂	穂	sui	sui6	sui²²	
燧	燧	sui	sui6	sui²²	
該	该	gui	gui1	kui²⁴	
改	改	gui	gui3	kui³⁵	
蓋	盖	gui	gui5	kui³³	名词。
賄	贿	kui	kui3	kʰui³⁵	
潰	溃	kui	kui3	kʰui³⁵	
劊	刽	kui	kui3	kʰui³⁵	
檜	桧	kui	kui3	kʰui³⁵	
繪	绘	kui	kui3	kʰui³⁵	
概	概	kui	kui5	kʰui³³	
溉	溉	kui	kui5	kʰui³³	
丐	丐	kui	kui5	kʰui³³	
蓋	盖	kui	kui5	kʰui³³	动词。
括	括	kui	kui5	kʰui³³	
開	开	hui	hui1	hui²⁴	
凱	凯	hui	hui3	hui³⁵	
海	海	hui	hui3	hui³⁵	
藹	蔼	hui	hui3	hui³⁵	
害	害	hui	hui3	hui³⁵	
哀	哀	ngui	ngui1h	ŋui⁵⁵	
呆	呆	ngui	ngui2	ŋui⁴⁴	
礙	碍	ngui	ngui6	ŋui²²	
外	外	ngui	ngui6	ŋui²²	
煨	煨	wui	wui1	wui²⁴	
猥	猥	wui	wui1h	wui⁵⁵	
回	回	wui	wui2	wui⁴⁴	
茴	茴	wui	wui2	wui⁴⁴	
會	会	wui	wui4	wui¹³	唔~：不会。
匯	汇	wui	wui6	wui²²	
會	会	wui	wui6	wui²²	~计；开~。
乳	乳	jui	jui4	jui¹³	
蕊	蕊	jui	jui4	jui¹³	
芮	芮	jui	jui6	jui²²	
銳	锐	jui	jui6	jui²²	
愛	爱	ui	ui5	ui³³	
包	包	baau	baau1	pau²⁴	
鮑	鲍	baau	baau1h	pau⁵⁵	
飽	饱	baau	baau3	pau³⁵	
爆	爆	baau	baau5	pau³³	
拋	抛	paau	paau1	pʰau²⁴	
雹	雹	paau	paau1h	pʰau⁵⁵	
跑	跑	paau	paau3	pʰau³⁵	
豹	豹	paau	paau3	pʰau³⁵	
泡	泡	paau	paau5	pʰau³³	~茶。
炮	炮	paau	paau5	pʰau³³	
刨	刨	paau	paau2	pʰau⁴⁴	
麅	狍	paau	paau2	pʰau⁴⁴	
铇	铇	paau	paau2	pʰau⁴⁴	
貓	猫	maau	maau1h	mau⁵⁵	
矛	矛	maau	maau2	mau⁴⁴	
茅	茅	maau	maau2	mau⁴⁴	
錨	锚	maau	maau2	mau⁴⁴	
謀	谋	maau	maau2	mau⁴⁴	
牟	牟	maau	maau2	mau⁴⁴	
眸	眸	maau	maau2	mau⁴⁴	
侔	侔	maau	maau2	mau⁴⁴	
繆	缪	maau	maau2	mau⁴⁴	绸~。
卯	卯	maau	maau4	mau¹³	
某	某	maau	maau4	mau¹³	
畝	亩	maau	maau4	mau¹³	
貌	貌	maau	maau6	mau²²	
牡	牡	maau	maau6	mau²²	
茂	茂	maau	maau6	mau²²	
貿	贸	maau	maau6	mau²²	
謬	谬	maau	maau6	mau²²	
剖	剖	faau	faau3	fau³⁵	
否	否	faau	faau3	fau³⁵	
埠	埠	faau	faau6	fau²²	
阜	阜	faau	faau6	fau²²	
兜	兜	daau	daau1h	tau⁵⁵	
鬥	斗	daau	daau3	tau³⁵	
抖	抖	daau	daau3	tau³⁵	
陡	陡	daau	daau3	tau³⁵	
糾	纠	daau	daau3	tau³⁵	
斗	斗	daau	daau5	tau³³	
豆	豆	daau	daau6	tau²²	
逗	逗	daau	daau6	tau²²	
偷	偷	taau	taau1	tʰau²⁴	
敨	敨	taau	taau3	tʰau³⁵	~气：呼吸。
透	透	taau	taau5	tʰau³³	
頭	头	taau	taau2	tʰau⁴⁴	
投	投	taau	taau2	tʰau⁴⁴	
紐	纽	naau	naau3	nau³⁵	
扭	扭	naau	naau3	nau³⁵	
鈕	钮	naau	naau3	nau³⁵	
朽	朽	naau	naau4	nau¹³	
鬧	闹	naau	naau6	nau²²	
溜	溜	laau	laau1h	lau⁵⁵	
樓	楼	laau	laau2	lau⁴⁴	
流	流	laau	laau2	lau⁴⁴	
劉	刘	laau	laau2	lau⁴⁴	
留	留	laau	laau2	lau⁴⁴	
榴	榴	laau	laau2	lau⁴⁴	
硫	硫	laau	laau2	lau⁴⁴	
琉	琉	laau	laau2	lau⁴⁴	
縷	缕	laau	laau4	lau¹³	
摟	搂	laau	laau4	lau¹³	
柳	柳	laau	laau4	lau¹³	
漏	漏	laau	laau6	lau²²	
陋	陋	laau	laau6	lau²²	
餾	馏	laau	laau6	lau²²	
周	周	zaau	zaau1	tsau²⁴	
舟	舟	zaau	zaau1	tsau²⁴	
州	州	zaau	zaau1	tsau²⁴	
洲	洲	zaau	zaau1	tsau²⁴	
爪	爪	zaau	zaau3	tsau³⁵	
找	找	zaau	zaau3	tsau³⁵	
走	走	zaau	zaau3	tsau³⁵	
酒	酒	zaau	zaau3	tsau³⁵	
罩	罩	zaau	zaau5	tsau³³	
笊	笊	zaau	zaau5	tsau³³	
奏	奏	zaau	zaau5	tsau³³	
晝	昼	zaau	zaau5	tsau³³	
皺	皱	zaau	zaau5	tsau³³	
縐	绉	zaau	zaau5	tsau³³	
咒	咒	zaau	zaau5	tsau³³	
就	就	zaau	zaau6	tsau²²	
袖	袖	zaau	zaau6	tsau²²	
紂	纣	zaau	zaau6	tsau²²	
宙	宙	zaau	zaau6	tsau²²	
驟	骤	zaau	zaau6	tsau²²	
抄	抄	caau	caau1	tsʰau²⁴	
鈔	钞	caau	caau1	tsʰau²⁴	
秋	秋	caau	caau1	tsʰau²⁴	
抽	抽	caau	caau1	tsʰau²⁴	
炒	炒	caau	caau3	tsʰau³⁵	
吵	吵	caau	caau3	tsʰau³⁵	
醜	丑	caau	caau3	tsʰau³⁵	
丑	丑	caau	caau3	tsʰau³⁵	
湊	凑	caau	caau5	tsʰau³³	
臭	臭	caau	caau5	tsʰau³³	
