字表	聲母	韻母	聲調		序號
蔡	tsʰ	a	5		5377
参	tsʰ	ø	1	~加	740
参	s	əŋ	1	人~	741
参	tsʰ	əŋ	1	~差	742
叄	s	ᴇ	1		739
叄	s	ᴇ	1		746
參	tsʰ	ø	1	~加	743
參	s	əŋ	1	人~	744
參	tsʰ	əŋ	1	~差	745
餐	tsʰ	ø	1		7244
蚕	z	ø	6		5491
殘	z	ᴇ	6		3084
殘	z	ᴇ	6		3089
慚	z	ᴇ	6		2008
慚	z	ᴇ	6		2043
蠶	z	ø	6		5608
慘	tsʰ	ø	5		2006
慘	tsʰ	ø	5		2042
粲	tsʰ	ᴇ	5		4563
璨	tsʰ	ᴇ	5		3868
燦	tsʰ	ᴇ	5		3558
燦	tsʰ	ᴇ	5		3659
倉	tsʰ	ɑ̃	1		145
倉	tsʰ	ɑ̃	1		307
蒼	tsʰ	ɑ̃	1		5183
蒼	tsʰ	ɑ̃	1		5357
滄	tsʰ	ɑ̃	1		3206
滄	tsʰ	ɑ̃	1		3415
艙	tsʰ	ɑ̃	1		5131
艙	tsʰ	ɑ̃	1		5140
藏	z	ã	6		5427
藏	z	ɑ̃	6		5428
操	tsʰ	ɔ	1		2475
糙	tsʰ	ɔ	5		4576
曹	z	ɔ	6		2699
嘈	z	ɔ	6		1003
漕	z	ɔ	6		3449
槽	z	ɔ	6		2965
草	tsʰ	ɔ	5		5235
冊	tsʰ	aʔ	7		454
冊	tsʰ	aʔ	7		455
側	ts	əʔ	7		265
側	ts	əʔ	7		340
策	tsʰ	aʔ	7		4470
廁	tsʰ	ɿ	5		721
廁	tsʰ	ɿ	5		1777
測	tsʰ	əʔ	7		3274
測	tsʰ	əʔ	7		3372
惻	tsʰ	əʔ	7		1968
惻	tsʰ	əʔ	7		2017
岑	z	əŋ	6		1607
涔	z	əŋ	6		3303
曾	ts	əŋ	1		2700
曾	z	əŋ	6		2701
層	z	əŋ	6		1572
層	z	əŋ	6		1596
叉	tsʰ	a	1		750
叉-	tsʰ	uˠ	1	~麻將	751
杈	tsʰ	a	1		2741
杈-	tsʰ	uˠ	1		2742
插	tsʰ	aʔ	7		2361
茬	tsʰ	a	5		5220
茶	z	uˠ	6		5227
查	ts	uˠ	1		2808
查	z	uˠ	6		2809
搽	z	uˠ	6		2406
察	tsʰ	aʔ	7		1505
汊	tsʰ	a	5		3160
汊-	tsʰ	uˠ	5		3161
岔	tsʰ	a	5		1608
岔-	tsʰ	uˠ	5		1609
差	tsʰ	a	1		1677
差	tsʰ	ɿ	1		1679
差-	tsʰ	uˠ	1		1678
詫	tsʰ	a	1		5798
詫	tsʰ	a	1		5969
詫-	tsʰ	uˠ	1		5799
詫-	tsʰ	uˠ	1		5970
拆	tsʰ	aʔ	7		2206
拆	tsʰ	əʔ	7		2207
釵	tsʰ	a	1		6599
釵	tsʰ	a	1		6746
釵-	tsʰ	uˠ	1		6600
釵-	tsʰ	uˠ	1		6747
柴	z	a	6		2815
豺	z	ᴇ	6		6048
豺-	z	a	6		6049
儕	z	ᴇ	6		268
儕	z	ᴇ	6		393
攙	tsʰ	ᴇ	1		2377
攙	tsʰ	ᴇ	1		2508
潺	z	ᴇ	6		3482
嬋	z	ø	6		1382
嬋	z	ø	6		1413
禪	z	ø	6		4307
禪	z	ø	6		4313
蟬	z	ø	6		5555
蟬	z	ø	6		5593
蟾	z	ø	6		5598
纏	z	ø	6		4724
纏	z	ø	6		4828
讒	z	ᴇ	6		5899
讒	z	ᴇ	6		6008
饞	z	ᴇ	6		7266
饞	z	ᴇ	6		7293
铲	tsʰ	ᴇ	5		6795
產	tsʰ	ᴇ	5	生~	114
產	s	uˠ	5	~母：產婦	
產	tsʰ	ᴇ	5	生~	3896
產	s	uˠ	5	~母：產婦	
鏟	tsʰ	ᴇ	5		6701
闡	tsʰ	ø	5		6907
闡	tsʰ	ø	5		6948
忏	tsʰ	ᴇ	5		1897
懺	tsʰ	ᴇ	5		2094
顫	tsʰ	ø	5		7168
顫	tsʰ	ø	5		7208
昌	tsʰ	ɑ̃	1		2613
倀	tsʰ	ã	5		198
倀	tsʰ	ã	5		304
菖	tsʰ	ɑ̃	1		5289
猖	tsʰ	ɑ̃	1		3752
閶	tsʰ	ɑ̃	1		6892
閶	tsʰ	ɑ̃	1		6945
鯧	tsʰ	ɑ̃	1		7462
鯧	tsʰ	ɑ̃	1		7510
長	z	ã	6		6862
長	ts	ã	5		6863
長	z	ã	6		6864
長	ts	ã	5		6865
尝	z	ɑ̃	6		1548
常	z	ã	6		1714
場	z	ã	6		1096
場	z	ã	6		1170
腸	z	ã	6		4973
腸	z	ã	6		5061
嘗	z	ɑ̃	6		1007
嫦	z	ã	6		1406
償	z	ɑ̃	6		347
償	z	ɑ̃	6		395
厂	tsʰ	ã	5		714
昶	tsʰ	ã	1		2629
敞	tsʰ	ã	5		2542
廠	tsʰ	ã	5		1790
氅	tsʰ	ã	5		3132
倡	tsʰ	ɑ̃	5		320
倡	tsʰ	ɑ̃	1		321
唱	tsʰ	ɑ̃	5		923
悵	tsʰ	ã	5		1921
悵	tsʰ	ã	5		1989
暢	tsʰ	ã	5		2670
暢	tsʰ	ã	5		3912
抄	tsʰ	ɔ	1		2168
超	tsʰ	ɔ	1		6196
鈔	tsʰ	ɔ	1		6604
鈔	tsʰ	ɔ	5	~票	6605
鈔	tsʰ	ɔ	1		6750
鈔	tsʰ	ɔ	5	~票	6751
焯	tsʰ	ø	5		3610
晁	z	ɔ	6		2632
巢	z	iɔ	6		1669
朝	z	ɔ	6		2719
朝	ts	ɔ	1		2720
嘲	z	ɔ	6		1016
潮	z	ɔ	6		3477
吵	tsʰ	ɔ	5		828
炒	tsʰ	ɔ	5		3563
耖	tsʰ	ɔ	5		4917
車	tsʰ	uˠ	1		6292
車	tɕ	y	1	象棋棋子	6293
車	tsʰ	uˠ	1		6332
車	tɕ	y	1	象棋棋子	6333
扯	tsʰ	a	5		2158
坼	tsʰ	aʔ	7		1128
掣	tsʰ	əʔ	7		2333
撤	tsʰ	əʔ	7		2447
徹	tsʰ	əʔ	7		1857
徹	tsʰ	əʔ	7		1889
澈	tsʰ	əʔ	7		3489
琛	tsʰ	əŋ	1		3830
嗔	tsʰ	əŋ	1		987
瞋	tsʰ	əŋ	1		4157
臣	z	əŋ	6		5098
尘	z	əŋ	6		1546
辰	z	əŋ	6		6380
沉	z	əŋ	6		3191
