参考资料	《桐城县志》									
t	[1]敦墩登灯东冬[3]等董懂[5]盾顿邓凳瞪钝遁饨动冻栋洞									
tʰ	[1]吞通[2]屯豚臀囤腾藤誊同铜桐筒童瞳[3]桶捅统[5]疼痛									
n	[2]论{~语}仑伦轮沦能笼聋农脓浓隆龙[3]冷拢陇垄[5]楞嫩论{议~}弄									
ts	[1]尊遵增憎曾{姓氏}宗棕鬃[5]赠纵粽									
tsʰ	[1]村撑聪匆葱囱[2]寸曾从丛[3]忖[5]寸衬									
s	[1]孙僧生牲笙甥松嵩[3]损省{~城}怂[5]送宋诵颂讼									
tʂ	[1]争筝睁针斟珍榛臻真侦征蒸正{~月}[3]枕诊疹拯整[5]朕振震阵镇证症郑正{~确}政									
tʂʰ	[1]称{~呼}[2]澄沉陈尘辰晨臣澄橙乘丞承盛{~饭}[3]惩[5]趁称{~心}秤									
ʂ	[1]深申伸娠升声[2]神绳[3]沈审婶[5]渗甚葚肾慎胜剩圣盛{茂~}									
ʐ	[1]任{姓氏}壬仁仍[3]忍[5]任妊认刃									
k	[1]今跟根更{五~}庚羹耕[3]哽耿[5]哽耿									
kʰ	[1]坑[3]垦恳肯啃									
x	[1]亨[2]亨[3]痕狠[5]恨									
ŋ	[1]恩[5]硬									
#iən										
Ø	[1]音阴荫因姻殷鹰莺鹦缨婴英应{~该}[2]吟淫银寅蝇迎盈嬴营茔萤[3]饮引隐影颖尹[5]印应答应映									
p	[1]彬宾槟殡滨冰兵[3]丙秉饼柄禀[5]病并									
pʰ	[1]拼[2]贫频凭平瓶屏[3]评品[5]聘									
m	[2]闽民明文鸣名铭[3]冥悯敏泯皿[5]命									
t	[1]丁钉{名词}[3]顶鼎[5]钉{动词}订定锭									
tʰ	[1]汀厅[2]亭停廷蜓[3]挺艇[5]听									
n	[1]拎[2]林淋临邻鳞磷陵凌菱灵铃伶零凝凛[3]岭领[5]赁吝令宁另佞									
tɕ	[1]金禁{不~}襟津巾斤筋兢茎京荆惊精晶旌睛经鲸[3]锦紧仅景警谨井颈[5]禁尽进晋近劲境敬竟镜竞净静径									
tɕʰ	[1]侵钦亲卿清青轻蜻顷倾[2]寻{白}琴禽擒秦勤芹擎晴情[3]请寝[5]庆磬									
ɕ	[1]心辛新薪欣兴{~旺}星腥馨[2]行形刑型旬循巡[3]醒省{反~}[5]迅信讯兴{高~}杏幸性姓									
#ʯən										
tʂ	[1]谆肫均钧君军菌中{~文}忠终钟盅[3]准迥窘塚肿种{~子}[5]俊郡中{~计}仲重{~量}种{~地}众									
tʂʰ	[1]春椿充冲{~动}舂[2]唇醇群裙纯虫崇重{~新}琼穹[3]蠢宠[5]冲									
ʂ	[1]熏薰勳兄胸凶[2]熊雄[5]逊顺训舜瞬									
Ø	[1]晕雍庸拥[2]匀云荣融容熔戎绒茸[3]陨永允冗甬涌勇[5]闰润熨韵运用									
#uən										
Ø	[1]温瘟翁[2]文纹蚊闻[3]稳吻刎[5]问瓮									
k	[1]公工攻功弓躬宫恭[3]滚汞拱巩[5]棍供贡共									
kʰ	[1]昆坤空[3]捆孔恐[5]困控空{有~}									
x	[1]昏婚轰荤烘[2]魂馄横宏混{~蛋}浑红洪鸿虹{文}[3]哄[5]混{~事}									
#ã										
p	[1]班颁扳[3]板版[5]扮瓣办									
pʰ	[1]攀[5]盼绊									
m	[2]蛮[5]慢漫幔									
f	[1]番藩翻帆[2]肪凡烦繁[3]反[5]范犯泛梵贩饭									
t	[1]耽担丹单[3]胆[5]淡担挑担旦诞但弹{子~}惮蛋									
tʰ	[1]坍滩摊[2]潭{文}谭谈痰檀坛弹{~琴}[3]毯坦[5]探炭叹									
n	[2]南婪蓝难{困~}兰拦栏[3]览揽榄缆懒[5]滥难{有~}烂									
ts	[1]簪[5]赞暂									
tsʰ	[1]参{~加}餐[2]蚕惭残[3]惨[5]灿濳									
s	[1]三[3]散伞[5]散									
k	[1]甘柑泔尴肝间[3]感敢橄杆秆赶拣[5]赣									
kʰ	[1]堪勘龛[2]衔[3]坎砍侃[5]瞰嵌									
x	[1]鼾[2]含函邯咸寒{文}韩[3]喊罕[5]撼旱汉翰苋									
ŋ	[1]安鞍庵[3]俺眼[5]暗岸按案晏									
#ɑ̃										
p	[1]帮邦浜[3]榜绑[5]谤傍蚌{河~}棒									
pʰ	[1]滂[2]旁庞[5]胖									
m	[2]忙芒茫盲									
f	[1]方芳[2]房防妨[3]仿纺访[5]放									
t	[1]当[3]党[5]当{~铺}宕荡									
tʰ	[1]汤[2]堂唐糖螳[3]倘躺[5]烫趟									
n	[2]囊郎廊狼螂[3]朗[5]浪㫰{晾}									
ts	[1]臧赃脏{~衣}[5]藏{西~}葬脏{心~}									
tsʰ	[1]仓苍[2]藏									
s	[1]桑丧{~事}[3]嗓[5]丧									
tʂ	[1]张章樟[3]长涨掌[5]绽丈杖仗帐									
tʂʰ	[1]昌搀[2]谗馋缠蝉肠常尝偿长[3]场厂[5]倡忏唱畅怅									
ʂ	[1]商伤裳[3]赏[5]上尚									
ʐ	[3]壤嚷攘[5]让									
k	[1]冈刚纲钢缸肛									
kʰ	[1]康糠[5]抗炕									
x	[2]行{银~}航杭[5]巷项									
ŋ	[1]肮[2]昂									
#ɛ̃										
tʂ	[1]詹瞻占{~卜}沾毡[3]展斩盏[5]颤蘸栈绽占战站									
tʂʰ	[1]搀[2]禅缠蟾蝉谗馋[3]铲产									
