繁体	简体	声韵	声调	注释		阴平：334	阳平：312
切	切	tɕʰiaʔ	5				
卻	却	tɕʰyɔʔ	5				
吃	吃	tɕʰyʊɤʔ	5				
妾	妾	tɕʰiaʔ	5				
尺	尺	tɕʰiɪʔ	5				
徹	彻	tɕʰiaʔ	5				
怯	怯	tɕʰiaʔ	5				
戚	戚	tɕʰiɪʔ	5				
戳	戳	tɕʰyɔʔ	5				
揖	揖	tɕʰiɪʔ	5	作～			
揭	揭	tɕʰiaʔ	5				
斥	斥	tɕʰiɪʔ	5				
曲	曲	tɕʰyʊɤʔ	5				
歇	歇	tɕʰiaʔ	5				
泣	泣	tɕʰiɪʔ	5				
綽	绰	tɕʰyɔʔ	5	寛～			
緝	缉	tɕʰiɪʔ	5				
觸	触	tɕʰyʊɤʔ	5				
訖	讫	tɕʰiɪʔ	5				
赤	赤	tɕʰiɪʔ	5				
輯	辑	tɕʰiɪʔ	5				
鵲	鹊	tɕʰyɔʔ	5				
黢	黢	tɕʰyʊɤʔ	5	～黑			
刷	刷	ɕyɔʔ	5				
削	削	ɕyɔʔ	5				
叔	叔	ɕyʊɤʔ	5				
吸	吸	ɕiɪʔ	5				
媳	媳	ɕiɪʔ	5				
宿	宿	ɕyʊɤʔ	5				
屑	屑	ɕiaʔ	5				
式	式	ɕiɪʔ	5				
恤	恤	ɕyʊɤʔ	5				
息	息	ɕiɪʔ	5				
悉	悉	ɕiɪʔ	5				
惜	惜	ɕiɪʔ	5				
戌	戌	ɕyʊɤʔ	5				
戍	戍	ɕyʊɤʔ	5				
昔	昔	ɕiɪʔ	5				
朔	朔	ɕyɔʔ	5				
束	束	ɕyʊɤʔ	5				
析	析	ɕiɪʔ	5				
歇	歇	ɕiaʔ	5				
泄	泄	ɕiaʔ	5	～露			
熄	熄	ɕiɪʔ	5				
粟	粟	ɕyʊɤʔ	5				
縮	缩	ɕyʊɤʔ	5				
肅	肃	ɕyʊɤʔ	5				
脅	胁	ɕiaʔ	5				
膝	膝	ɕiɪʔ	5	新			
蓄	蓄	ɕyʊɤʔ	5				
薛	薛	ɕiaʔ	5				
蟀	蟀	ɕyʊɤʔ	5				
蠍	蝎	ɕiɪʔ	5				
設	设	ɕiaʔ	5				
說	说	ɕyɔʔ	5				
識	识	ɕiɪʔ	5				
適	适	ɕiɪʔ	5				
釋	释	ɕiɪʔ	5				
錫	锡	ɕiɪʔ	5				
雪	雪	ɕyɔʔ	5				
靨	靥	ɕiɪʔ	5	酒～			
飾	饰	ɕiɪʔ	5				
喝	喝	haʔ	5				
嚇	吓	haʔ	5	～一跳			
嚇	吓	hɔʔ	5	恐～			
忽	忽	huʊɤʔ	5				
瞎	瞎	hɔʔ	5				
藿	藿	huaʔ	5				
血	血	hyaʔ	5				
豁	豁	huaʔ	5	～嘴，～口，～然			
赫	赫	haʔ	5				
郝	郝	hɔʔ	5				
霍	霍	huaʔ	5				
黑	黑	hiɪʔ	5				
不	不	ɓəʔ	5				
伯	伯	ɓaʔ	5				
八	八	ɓɔʔ	5				
剝	剥	ɓɔʔ	5				
北	北	ɓəʔ	5				
博	博	ɓɔʔ	5				
壁	壁	ɓiɪʔ	5				
必	必	ɓiɪʔ	5				
憋	憋	ɓiaʔ	5				
撥	拨	ɓəʔ	5				
柏	柏	ɓaʔ	5				
檗	檗	ɓaʔ	5				
璧	璧	ɓiɪʔ	5				
畢	毕	ɓiɪʔ	5				
百	百	ɓaʔ	5				
碧	碧	ɓiɪʔ	5				
筆	笔	ɓiɪʔ	5				
缽	钵	ɓəʔ	5				
迫	迫	ɓaʔ	5				
逼	逼	ɓiɪʔ	5				
駁	驳	ɓɔʔ	5				
鱉	鳖	ɓiaʔ	5				
啄	啄	ɗʊɤʔ	5				
嫡	嫡	ɗiɪʔ	5				
得	得	ɗiɪʔ	5				
德	德	ɗiɪʔ	5				
搭	搭	ɗɔʔ	5				
滴	滴	ɗiɪʔ	5				
的	的	ɗiɪʔ	5	目～			
督	督	ɗʊɤʔ	5				
答	答	ɗɔʔ	5				
篤	笃	ɗɔʔ	5				
跌	跌	ɗiaʔ	5				
粒	粒	ʔlʊɤʔ	5				
一	一	iɪʔ	5				
乙	乙	iɪʔ	5				
噎	噎	iaʔ	5				
噦	哕	yʊɤʔ	5	氣～住，～牢			
壓	压	ɔʔ	5				
屋	屋	uʊɤʔ	5				
惡	恶	ɔʔ	5	善～			
扼	扼	aʔ	5				
抑	抑	iɪʔ	5				
押	押	ɔʔ	5				
挖	挖	uaʔ	5				
握	握	uaʔ	5				
沃	沃	uaʔ	5				
滑	滑	uaʔ	5				
猾	猾	uaʔ	5				
益	益	iɪʔ	5				
約	约	yɔʔ	5				
育	育	yʊɤʔ	5				
軛	轭	aʔ	5				
阿	阿	aʔ	5				
鬱	郁	yʊɤʔ	5				
鴨	鸭	ɔʔ	5				
並	并	biŋ	312				
伴	伴	bø	312				
便	便	bie	312	～宜			
倍	倍	bɛ	312				
坪	坪	biŋ	312				
培	培	bɛ	312				
婆	婆	bʊɤ	312				
婢	婢	bi	312				
嫖	嫖	biɐɯ	312				
屏	屏	biŋ	312				
平	平	biŋ	312				
彭	彭	ba~	312				
憑	凭	biŋ	312				
抱	抱	bɐɯ	312				
拌	拌	bø	312				
排	排	ba	312				
旁	旁	bɔ~	312				
朋	朋	beŋ	312				
杷	杷	bʊɤ	312				
枇	枇	bi	312				
棒	棒	bɔ~	312				
棚	棚	ba~	312				
汴	汴	bie	312				
滂	滂	bɔ~	312				
爬	爬	bʊɤ	312				
爿	丬	ba	312				
牌	牌	ba	312				
琵	琵	bi	312				
琶	琶	bʊɤ	312				
瓢	瓢	biɐɯ	312				
瓶	瓶	biŋ	312				
疲	疲	bi	312				
皮	皮	bi	312				
盆	盆	beŋ	312				
盤	盘	bø	312				
笨	笨	beŋ	312				
篷	篷	boŋ	312				
簰	簰	ba	312	筏			
簿	簿	bu	312				
罷	罢	ba	312				
肥	肥	bi	312	白			
脯	脯	bu	312				
脾	脾	bi	312				
菩	菩	bʊɤ	312				
萍	萍	biŋ	312				
蒲	蒲	bu	312				
蓬	蓬	boŋ	312				
蚌	蚌	ba~	312				
螃	螃	bɔ~	312				
袍	袍	bɐɯ	312				
被	被	bi	312				
裴	裴	bɛ	312				
評	评	biŋ	312				
貧	贫	biŋ	312				
賠	赔	bɛ	312				
辨	辨	bie	312				
辮	辫	bie	312				
辯	辩	bie	312				
部	部	bu	312				
陛	陛	bi	312				
陪	陪	bɛ	312				
頻	频	biŋ	312				
鮑	鲍	bɐɯ	312				
龐	庞	bɔ~	312				
亭	亭	diŋ	312				
佃	佃	die	312				
停	停	diŋ	312				
動	动	doŋ	312				
同	同	doŋ	312				
唐	唐	dɔ~	312				
啼	啼	di	312	雞～			
囤	囤	deŋ	312				
圖	图	du	312				
團	团	dø	312				
堂	堂	dɔ~	312				
堤	堤	di	312				
塗	涂	du	312				
塘	塘	dɔ~	312				
填	填	die	312				
壇	坛	da	312				
屠	屠	du	312				
屯	屯	deŋ	312				
庭	庭	diŋ	312				
廷	廷	diŋ	312				
弟	弟	di	312				
彈	弹	da	312	～琴			
待	待	dɛ	312				
徒	徒	du	312				
怠	怠	dɛ	312				
惰	惰	dʊɤ	312				
投	投	dɘɯ	312				
抬	抬	dɛ	312				
掏	掏	dɐɯ	312				
提	提	di	312				
斷	断	dø	312	～絶			
杜	杜	du	312				
桃	桃	dɐɯ	312				
桐	桐	doŋ	312				
桶	桶	doŋ	312				
條	条	diɐɯ	312				
棠	棠	dɔ~	312				
檀	檀	da	312				
殆	殆	dɛ	312				
沌	沌	deŋ	312				
淘	淘	dɐɯ	312				
淡	淡	da	312				
潭	潭	dø	312				
濤	涛	dɐɯ	312				
甜	甜	die	312				
田	田	die	312				
疼	疼	deŋ	312				
痰	痰	da	312				
盾	盾	deŋ	312				
瞳	瞳	doŋ	312				
稻	稻	dɐɯ	312				
童	童	doŋ	312				
筒	筒	doŋ	312				
糖	糖	dɔ~	312				
肚	肚	du	312	腹～			
臀	臀	deŋ	312				
臺	台	dɛ	312				
舵	舵	dʊɤ	312				
苔	苔	dɛ	312				
萄	萄	dɐɯ	312				
藤	藤	diŋ	312				
蜓	蜓	diŋ	312				
螳	螳	dɔ~	312				
誕	诞	da	312				
調	调	diɐɯ	312	～和			
談	谈	da	312				
謄	誊	deŋ	312				
譚	谭	dø	312				
豚	豚	deŋ	312				
蹄	蹄	di	312				
逃	逃	dɐɯ	312				
途	途	du	312				
道	道	dɐɯ	312				
銅	铜	doŋ	312				
錠	锭	diŋ	312				
陶	陶	dɐɯ	312				
頭	头	dɘɯ	312				
題	题	di	312				
飩	饨	deŋ	312				
馱	驮	dʊɤ	312	拿			
駝	驼	dʊɤ	312				
騰	腾	deŋ	312				
厚	厚	gɘɯ	312				
哽	哽	ga~	312				
埂	埂	ga~	312				
巨	巨	gy	312				
懷	怀	gua	312	白			
拒	拒	gy	312				
拳	拳	gyø	312				
權	权	gyø	312				
渠	渠	gy	312				
渠	渠	gɛ	312	他			
港	港	gɔ~	312				
狂	狂	gyɔ~	312				
瞿	瞿	gy	312				
窺	窥	guɛ	312				
耩	耩	gɔ~	312	～地			
葵	葵	gy	312				
裙	裙	gyŋ	312				
距	距	gy	312				
跪	跪	guɛ	312	文			
跪	跪	gy	312	白			
逵	逵	gy	312				
顴	颧	gyø	312				
亡	亡	vɔ~	312				
侮	侮	vu	312				
凡	凡	va	312				
刎	刎	veŋ	312				
吻	吻	veŋ	312				
墳	坟	veŋ	312				
奉	奉	voŋ	312				
婦	妇	vɘɯ	312				
巫	巫	vu	312				
微	微	vi	312				
忿	忿	veŋ	312				
憤	愤	veŋ	312				
戊	戊	vu	312				
房	房	vɔ~	312				
扶	扶	vu	312				
文	文	veŋ	312				
武	武	vu	312				
浮	浮	vu	312	白			
浮	浮	vɘɯ	312	文			
焚	焚	veŋ	312				
無	无	vu	312	文			
煩	烦	va	312				
父	父	vu	312				
犯	犯	va	312				
符	符	vu	312				
範	范	va	312				
紋	纹	veŋ	312				
縫	缝	voŋ	312	～衣服			
繁	繁	va	312				
聞	闻	veŋ	312				
肥	肥	vi	312	文			
舞	舞	vu	312				
芙	芙	vu	312				
蚊	蚊	veŋ	312				
誣	诬	vu	312				
負	负	vɘɯ	312				
逢	逢	voŋ	312				
釜	釜	vu	312				
阜	阜	vu	312				
防	防	vɔ~	312				
馮	冯	voŋ	312				
鵡	鹉	vu	312				
傳	传	dzø	312	～達			
塵	尘	dziŋ	312				
持	持	dzɿ	312				
搽	搽	dzʊɤ	312				
撰	撰	dzø	312				
暫	暂	dza	312				
查	查	dzʊɤ	312	調～			
椽	椽	dzø	312				
池	池	dzɿ	312				
沉	沉	dziŋ	312				
痔	痔	dzɿ	312				
篆	篆	dzø	312				
臣	臣	dziŋ	312				
苧	苎	dzɿ	312				
茶	茶	dzʊɤ	312				
遲	迟	dzɿ	312				
陳	陈	dziŋ	312				
雉	雉	dzɿ	312				
馳	驰	dzɿ	312				
人	人	ziŋ	312	文			
仁	仁	ziŋ	312				
仕	仕	zɿ	312				
似	似	zɿ	312				
佘	畲	zʊɤ	312				
償	偿	zɔ~	312	新			
全	全	zø	312				
匙	匙	zɿ	312				
叢	丛	zoŋ	312				
嘗	尝	zɔ~	312	新			
在	在	zɛ	312				
坐	坐	zʊɤ	312				
士	士	zɿ	312				
存	存	ziŋ	312				
尋	寻	ziŋ	312				
層	层	ziŋ	312				
崇	崇	zoŋ	312				
巢	巢	zɐɯ	312				
巳	巳	zɿ	312				
常	常	zɔ~	312	新			
床	床	zɔ~	312				
忍	忍	ziŋ	312				
愁	愁	zɘɯ	312				
慈	慈	zɿ	312				
才	才	zɛ	312				
是	是	zɿ	312				
晨	晨	ziŋ	312				
曹	曹	zɐɯ	312				
曾	曾	ziŋ	312	～經			
材	材	zɛ	312				
柴	柴	za	312				
柿	柿	zɿ	312				
槽	槽	zɐɯ	312				
殘	残	za	312				
氏	氏	zɿ	312				
泉	泉	zø	312				
瓷	瓷	zɿ	312				
甚	甚	ziŋ	312				
皂	皂	zɐɯ	312				
盡	尽	ziŋ	312				
磁	磁	zɿ	312				
社	社	zʊɤ	312				
祀	祀	zɿ	312				
神	神	ziŋ	312				
秦	秦	ziŋ	312				
糍	糍	zɿ	312				
纔	纔	zɛ	312				
罪	罪	zɛ	312				
而	而	zɿ	312				
耳	耳	zɿ	312	文			
腎	肾	ziŋ	312				
船	船	zø	312				
茲	兹	zɿ	312				
葚	葚	ziŋ	312				
藏	藏	zɔ~	312	隱～			
蛇	蛇	zʊɤ	312				
蠶	蚕	zø	312				
裁	裁	zɛ	312				
裳	裳	zɔ~	312	新			
讒	谗	za	312				
豺	豺	za	312				
財	财	zɛ	312				
辰	辰	ziŋ	312				
造	造	zɐɯ	312				
鋤	锄	zu	312	文			
鋤	锄	zɿ	312	白			
饞	馋	za	312				
丈	丈	dʑia	312				
仇	仇	dʑiɘɯ	312	姓			
仇	仇	dʑiɘɯ	312				
仗	仗	dʑia	312				
件	件	dʑie	312				
僑	侨	dʑiɐɯ	312				
儉	俭	dʑie	312				
儲	储	dʑy	312				
兆	兆	dʑiɐɯ	312				
其	其	dʑi	312				
勤	勤	dʑiŋ	312				
呈	呈	dʑiŋ	312				
咎	咎	dʑiɘɯ	312				
喬	乔	dʑiɐɯ	312				
囚	囚	dʑiɘɯ	312				
場	场	dʑia	312				
奇	奇	dʑi	312				
妓	妓	dʑi	312				
岐	岐	dʑi	312				
干	干	dʑie	312	～坤			
廚	厨	dʑy	312				
強	强	dʑia	312				
徛	徛	dʑi	312	立			
懲	惩	dʑiŋ	312				
技	技	dʑi	312				
擎	擎	dʑiŋ	312				
擒	擒	dʑiŋ	312				
旗	旗	dʑi	312				
朝	朝	dʑiɐɯ	312	～代			
期	期	dʑi	312				
杖	杖	dʑia	312				
柱	柱	dʑy	312				
棋	棋	dʑi	312				
槌	槌	dʑy	312				
樵	樵	dʑiɐɯ	312				
橋	桥	dʑiɐɯ	312				
橙	橙	dʑiŋ	312				
求	求	dʑiɘɯ	312				
泅	泅	dʑiɘɯ	312				
潮	潮	dʑiɐɯ	312				
澄	澄	dʑiŋ	312				
球	球	dʑiɘɯ	312				
琴	琴	dʑiŋ	312				
瓊	琼	dʑyoŋ	312				
祁	祁	dʑi	312				
祈	祈	dʑi	312				
禽	禽	dʑiŋ	312				
程	程	dʑiŋ	312				
稠	稠	dʑiɘɯ	312				
窮	穷	dʑyoŋ	312				
籌	筹	dʑiɘɯ	312				
紂	纣	dʑiɘɯ	312				
綢	绸	dʑiɘɯ	312				
腸	肠	dʑia	312				
臼	臼	dʑiɘɯ	312				
舅	舅	dʑiɘɯ	312				
芹	芹	dʑiŋ	312				
茄	茄	dʑya	312				
蕎	荞	dʑiɐɯ	312				
虔	虔	dʑie	312				
蟲	虫	dʑyoŋ	312				
趙	赵	dʑiɐɯ	312				
近	近	dʑiŋ	312				
迥	迥	dʑyoŋ	312				
逞	逞	dʑiŋ	312				
酬	酬	dʑiɘɯ	312				
重	重	dʑyoŋ	312				
鉗	钳	dʑie	312				
錘	锤	dʑy	312				
錢	钱	dʑie	312				
鍵	键	dʑie	312				
長	长	dʑia	312	～短			
除	除	dʑy	312				
騎	骑	dʑi	312				
鯨	鲸	dʑiŋ	312				
鰭	鳍	dʑi	312				
上	上	ʑia	312	～山			
丞	丞	ʑiŋ	312				
乘	乘	ʑiŋ	312				
乳	乳	ʑy	312				
像	像	ʑia	312				
儒	儒	ʑy	312				
償	偿	ʑia	312				
前	前	ʑie	312				
受	受	ʑiɘɯ	312				
唇	唇	ʑyŋ	312				
善	善	ʑie	312				
嘗	尝	ʑia	312				
嚷	嚷	ʑia	312				
垂	垂	ʑy	312				
城	城	ʑiŋ	312				
壤	壤	ʑia	312				
如	如	ʑy	312				
巡	巡	ʑyŋ	312				
常	常	ʑia	312				
序	序	ʑy	312				
徐	徐	ʑy	312				
從	从	ʑyoŋ	312	跟～			
循	循	ʑyŋ	312				
情	情	ʑiŋ	312				
戎	戎	ʑyoŋ	312				
成	成	ʑiŋ	312				
承	承	ʑiŋ	312				
揉	揉	ʑiɘɯ	312				
擾	扰	ʑiɐɯ	312				
攘	攘	ʑia	312				
敘	叙	ʑy	312				
斜	斜	ʑya	312				
晴	晴	ʑiŋ	312				
松	松	ʑyoŋ	312	白			
柔	柔	ʑiɘɯ	312				
橡	橡	ʑia	312				
殊	殊	ʑy	312				
汝	汝	ʑy	312				
漸	渐	ʑie	312				
潛	潜	ʑie	312				
牆	墙	ʑia	312				
祥	祥	ʑia	312				
禪	禅	ʑie	312	～宗			
純	纯	ʑyŋ	312				
紹	绍	ʑiɐɯ	312				
絨	绒	ʑyoŋ	312				
緒	绪	ʑy	312				
繞	绕	ʑiɐɯ	312	圍～			
繩	绳	ʑiŋ	312				
聚	聚	ʑy	312				
膳	膳	ʑie	312				
臍	脐	ʑi	312				
茸	茸	ʑyoŋ	312				
蒓	莼	ʑyŋ	312				
薺	荠	ʑi	312				
蟬	蝉	ʑie	312				
蟾	蟾	ʑie	312				
裳	裳	ʑia	312				
詳	详	ʑia	312				
誠	诚	ʑiŋ	312				
誰	谁	ʑy	312				
豎	竖	ʑy	312				
象	象	ʑia	312				
踐	践	ʑie	312				
邪	邪	ʑya	312				
醇	醇	ʑyŋ	312				
隨	随	ʑy	312				
靖	靖	ʑiŋ	312				
靜	静	ʑiŋ	312				
韶	韶	ʑiɐɯ	312				
齊	齐	ʑi	312				
丸	丸	ɦua	312				
何	何	ɦʊɤ	312				
侯	侯	ɦɘɯ	312				
兮	兮	ɦi	312				
函	函	ɦa	312				
刑	刑	ɦiŋ	312				
劃	划	ɦʊɤ	312	～船			
勻	匀	ɦyŋ	312				
匯	汇	ɦuɛ	312				
危	危	ɦuɛ	312				
含	含	ɦø	312				
吾	吾	ɦu	312				
和	和	ɦʊɤ	312				
員	员	ɦyø	312				
唯	唯	ɦy	312				
喉	喉	ɦɘɯ	312				
□	□	ɦuɛ	312	小孩乖			
回	回	ɦuɛ	312				
圍	围	ɦy	312				
園	园	ɦyø	312				
圓	圆	ɦyø	312				
型	型	ɦiŋ	312				
塋	茔	ɦiŋ	312				
壕	壕	ɦɐɯ	312				
壺	壶	ɦu	312				
夷	夷	ɦi	312				
奚	奚	ɦi	312				
姚	姚	ɦiɐɯ	312				
姨	姨	ɦi	312				
嫌	嫌	ɦie	312				
孩	孩	ɦɛ	312				
完	完	ɦua	312				
宏	宏	ɦoŋ	312				
容	容	ɦyoŋ	312				
寅	寅	ɦiŋ	312				
寒	寒	ɦø	312				
尤	尤	ɦiɘɯ	312				
幻	幻	ɦua	312				
庸	庸	ɦyoŋ	312				
延	延	ɦie	312				
弘	弘	ɦoŋ	312				
弦	弦	ɦie	312				
形	形	ɦiŋ	312				
恒	恒	ɦeŋ	312				
悠	悠	ɦiɘɯ	312				
惟	惟	ɦy	312				
愈	愈	ɦy	312				
愉	愉	ɦy	312				
懷	怀	ɦua	312	文			
懸	悬	ɦyø	312				
揚	扬	ɦia	312				
援	援	ɦyø	312				
搖	摇	ɦiɐɯ	312				
攜	携	ɦi	312				
於	于	ɦy	312				
杭	杭	ɦɔ~	312				
桅	桅	ɦuɛ	312				
桓	桓	ɦua	312				
梧	梧	ɦu	312				
楊	杨	ɦia	312				
榆	榆	ɦy	312				
榮	荣	ɦyoŋ	312				
槐	槐	ɦua	312				
橫	横	ɦua~	312				
毫	毫	ɦɐɯ	312				
河	河	ɦʊɤ	312				
油	油	ɦiɘɯ	312				
沿	沿	ɦie	312				
洋	洋	ɦia	312				
洪	洪	ɦoŋ	312				
涎	涎	ɦie	312				
淆	淆	ɦɐɯ	312				
淤	淤	ɦy	312				
淫	淫	ɦiŋ	312				
淮	淮	ɦua	312				
湖	湖	ɦu	312				
滎	荥	ɦiŋ	312				
炎	炎	ɦie	312				
烊	烊	ɦia	312				
熊	熊	ɦyoŋ	312				
熔	熔	ɦyoŋ	312				
營	营	ɦiŋ	312				
爲	为	ɦuɛ	312	文，作～			
爲	为	ɦy	312	白，作～			
爺	爷	ɦya	312				
狐	狐	ɦu	312				
猴	猴	ɦɘɯ	312				
猶	犹	ɦiɘɯ	312				
玄	玄	ɦyø	312				
王	王	ɦuɔ~	312				
瑕	瑕	ɦʊɤ	312				
環	环	ɦua	312				
由	由	ɦiɘɯ	312				
痕	痕	ɦeŋ	312				
瘍	疡	ɦia	312				
皇	皇	ɦuɔ~	312				
盂	盂	ɦy	312				
盈	盈	ɦiŋ	312				
禾	禾	ɦʊɤ	312				
移	移	ɦi	312				
窰	窑	ɦiɐɯ	312				
筵	筵	ɦie	312				
簧	簧	ɦuɔ~	312				
簷	檐	ɦie	312				
紅	红	ɦoŋ	312				
維	维	ɦy	312				
緣	缘	ɦyø	312				
羊	羊	ɦia	312				
耶	耶	ɦia	312				
肴	肴	ɦɐɯ	312				
胡	胡	ɦu	312				
與	与	ɦy	312				
航	航	ɦɔ~	312				
茴	茴	ɦuɛ	312				
荷	荷	ɦʊɤ	312				
華	华	ɦʊɤ	312				
葦	苇	ɦuɛ	312				
葫	葫	ɦu	312				
蓉	蓉	ɦyoŋ	312				
虹	虹	ɦoŋ	312				
蜈	蜈	ɦu	312				
蝗	蝗	ɦuɔ~	312				
融	融	ɦyoŋ	312				
蠅	蝇	ɦiŋ	312				
行	行	ɦa~	312	～爲			
行	行	ɦɔ~	312	～列，銀～			
衡	衡	ɦa~	312				
袁	袁	ɦyø	312				
誘	诱	ɦiɘɯ	312				
謡	謡	ɦiɐɯ	312				
豪	豪	ɦɐɯ	312				
豫	豫	ɦy	312				
賢	贤	ɦie	312				
贏	赢	ɦiŋ	312				
轅	辕	ɦyø	312				
逾	逾	ɦy	312				
遊	游	ɦiɘɯ	312				
遐	遐	ɦʊɤ	312				
違	违	ɦy	312				
遺	遗	ɦy	312				
還	还	ɦua	312				
郵	邮	ɦiɘɯ	312				
野	野	ɦi	312				
銜	衔	ɦa	312				
閑	闲	ɦa	312				
閻	阎	ɦie	312				
降	降	ɦɔ~	312	～伏，投～			
陽	阳	ɦia	312				
雄	雄	ɦyoŋ	312				
雲	云	ɦyŋ	312				
霞	霞	ɦʊɤ	312				
鞋	鞋	ɦa	312				
韓	韩	ɦø	312				
預	预	ɦy	312				
頑	顽	ɦua	312				
飴	饴	ɦi	312				
余	余	ɦy	312				
餛	馄	ɦueŋ	312				
魂	魂	ɦueŋ	312				
鴻	鸿	ɦoŋ	312				
鹹	咸	ɦa	312				
鹽	盐	ɦie	312				
黃	黄	ɦuɔ~	312				
名	名	miŋ	312				
埋	埋	ma	312				
媒	媒	mɛ	312				
忙	忙	mɔ~	312				
描	描	miɐɯ	312				
摩	摩	mʊɤ	312				
摹	摹	m	312				
明	明	miŋ	312				
枚	枚	mɛ	312				
梅	梅	mɛ	312				
棉	棉	mie	312				
楣	楣	mi	312				
模	模	m	312				
毛	毛	mɐɯ	312				
民	民	miŋ	312				
無	无	m	312	白			
煤	煤	mɛ	312				
痲	痲	mʊɤ	312				
盟	盟	miŋ	312				
盲	盲	ma~	312				
眉	眉	mi	312				
眠	眠	mie	312				
瞞	瞒	mø	312				
矛	矛	mɘɯ	312				
綿	绵	mie	312				
芒	芒	mɔ~	312				
苗	苗	miɐɯ	312				
茅	茅	mɐɯ	312				
茫	茫	mɔ~	312				
萌	萌	ma~	312				
蒙	蒙	moŋ	312				
虻	虻	ma~	312				
蟆	蟆	mʊɤ	312				
蠻	蛮	ma	312				
謀	谋	mɘɯ	312				
迷	迷	mi	312				
銘	铭	miŋ	312				
錨	锚	mɐɯ	312				
門	门	meŋ	312				
饃	馍	mʊɤ	312				
饅	馒	ma	312				
魔	魔	mʊɤ	312				
鰾	鳔	miɐɯ	312				
鳴	鸣	miŋ	312				
麻	麻	mʊɤ	312				
黴	霉	mi	312				
南	南	nø	312				
囊	囊	nɔ~	312				
奈	奈	na	312				
奴	奴	nu	312				
娛	娱	nu	312				
拿	拿	na	312	文			
挪	挪	nʊɤ	312				
撓	挠	nɐɯ	312				
男	男	nø	312				
能	能	neŋ	312				
膿	脓	noŋ	312				
農	农	noŋ	312				
難	难	na	312	～易			
人	人	ȵiŋ	312	白			
仍	仍	ȵiŋ	312				
任	任	ȵiŋ	312	姓			
倪	倪	ȵi	312				
儀	仪	ȵi	312				
元	元	ȵyø	312				
凝	凝	ȵiŋ	312				
凝	凝	ȵi	312				
危	危	ȵy	312	白			
原	原	ȵyø	312				
吟	吟	ȵiŋ	312				
嚴	严	ȵie	312				
堯	尧	ȵiɐɯ	312				
壬	壬	ȵiŋ	312				
娘	娘	ȵia	312	果核			
娛	娱	ȵy	312				
宜	宜	ȵi	312				
寧	宁	ȵiŋ	312				
尼	尼	ȵi	312				
年	年	ȵie	312				
愚	愚	ȵy	312				
扔	扔	ȵiŋ	312				
沂	沂	ȵi	312				
源	源	ȵyø	312				
漁	渔	ȵy	312				
濃	浓	ȵyoŋ	312				
疑	疑	ȵi	312				
虞	虞	ȵy	312				
言	言	ȵie	312				
誼	谊	ȵi	312				
輦	辇	ȵie	312				
迎	迎	ȵiŋ	312				
銀	银	ȵiŋ	312				
饒	饶	ȵiɐɯ	312				
俄	俄	ŋʊɤ	312				
兒	儿	ŋ	312				
吳	吴	ŋ	312				
呆	呆	ŋɛ	312				
崖	崖	ŋa	312				
巖	岩	ŋa	312				
昂	昂	ŋɔ~	312				
涯	涯	ŋa	312				
熬	熬	ŋɐɯ	312				
牙	牙	ŋʊɤ	312				
牛	牛	ŋɘɯ	312				
芽	芽	ŋʊɤ	312				
蛾	蛾	ŋʊɤ	312				
衙	衙	ŋʊɤ	312				
訛	讹	ŋʊɤ	312				
顔	颜	ŋa	312				
魚	鱼	ŋ	312				
鵝	鹅	ŋʊɤ	312				
了	了	liɐɯ	312				
伶	伶	liŋ	312				
來	来	lɛ	312				
侖	仑	leŋ	312				
倫	伦	leŋ	312				
劉	刘	lɘɯ	312				
勞	劳	lɐɯ	312				
厘	厘	li	312				
嘮	唠	lɐɯ	312				
寥	寥	liɐɯ	312				
廉	廉	lie	312				
廊	廊	lɔ~	312				
廬	庐	lu	312				
憐	怜	lie	312				
撈	捞	lɐɯ	312				
撩	撩	liɐɯ	312				
攔	拦	la	312				
林	林	liŋ	312				
梁	梁	lia	312				
梨	梨	li	312				
榴	榴	lɘɯ	312				
樓	楼	lɘɯ	312				
欄	栏	la	312				
流	流	lɘɯ	312				
涼	凉	lia	312				
淋	淋	liŋ	312				
淩	凌	liŋ	312				
淪	沦	leŋ	312				
燎	燎	liɐɯ	312				
爐	炉	lu	312				
牢	牢	lɐɯ	312				
犁	犁	li	312				
狸	狸	li	312				
狼	狼	lɔ~	312				
琉	琉	lɘɯ	312				
璃	璃	li	312				
留	留	lɘɯ	312				
盧	卢	lu	312				
硫	硫	lɘɯ	312				
磷	磷	liŋ	312				
簾	帘	lie	312				
籃	篮	la	312				
籠	笼	loŋ	312				
籬	篱	li	312				
籮	箩	lʊɤ	312				
粱	粱	lia	312				
糧	粮	lia	312				
羅	罗	lʊɤ	312				
翎	翎	liŋ	312				
聊	聊	liɐɯ	312				
聯	联	lie	312				
聾	聋	loŋ	312				
腡	脶	lʊɤ	312	手指文			
良	良	lia	312				
菱	菱	liŋ	312				
蓮	莲	lie	312				
藍	蓝	la	312				
蘆	芦	lu	312				
蘭	兰	la	312				
螂	螂	lɔ~	312				
螺	螺	lʊɤ	312				
輪	轮	leŋ	312				
連	连	lie	312				
遼	辽	liɐɯ	312				
郎	郎	lɔ~	312				
鄰	邻	liŋ	312				
量	量	lia	312	～長短			
鈴	铃	liŋ	312				
鐮	镰	lie	312				
鑼	锣	lʊɤ	312				
陵	陵	liŋ	312				
隆	隆	loŋ	312				
離	离	li	312				
