来源：	岳俊丽 2012《晋语沁源县王陶话语音研究》；Hynuza 整理录入
tʂ	［1］程贞针侦珍真斟臻诊疹争征筝症［3］傻振震拯整［5］枕阵镇正证郑政
tʂʰ	［1］尘臣沉辰陈称趁丞成呈承诚城乘橙盛{~饭}［3］惩逞［5］秤
ʂ	［1］晨申伸身娠深神升声湿［3］沈审婶［5］甚肾甚慎胜圣什
ɻ	［1］人仁刃任［3］忍韧扔仍［5］认
k	［1］根跟更{变~}庚耕羹哽［3］埂耿梗［5］更{~加}
kʰ	［1］坑［3］肯垦恳
x	［1］痕很亨哼恒横{纵~}衡［5］恨横{蛮横}
ŋ	［1］恩浓
#iŋ	
p	［1］宾槟殡冰兵［3］丙秉柄饼禀［5］鬓并並病
pʰ	［1］拼贫频平评凭坪苹屏瓶萍［3］品［5］聘
m	［1］民抿名明鸣铭［3］闽悯敏冥螟［5］命
t	［1］丁鼎［3］顶［5］定
tʰ	［1］厅廷亭庭停蜓蜓艇［3］挺铤
n	［1］宁凝银［5］硬
l	［1］邻林临淋磷鳞拎伶灵凌铃绫翎菱零龄［3］岭陵领［5］吝赁令另
tɕ	［3］紧谨锦景警［5］巾今斤金津筋襟仅尽劲妗近进晋浸禁京经茎荆惊晶精鲸颈径竞竟敬靖境静卿擎庆
tɕʰ	［1］睛亲侵钦芹秦琴禽勤擒青轻倾清蜻情晴［3］寝顷请［5］沁
ɕ	［1］心辛欣新薪馨星猩腥刑行{行走}形型醒寻揖［5］信衅兴姓幸性讯迅
Ø	［1］因阴姻荫音殷吟淫饮应{答~}英莺婴缨樱鹦鹰迎茔盈莹萤营颖允孕［3］寅引蚓隐［5］印映
#aŋ	
n	［1］嚢
k	［3］冈岗肛港
kʰ	［1］康慷抗［3］扛
ŋ	［1］昂
#iaŋ	
ȵ	［1］娘
tɕ	［5］降
tɕʰ	［1］腔
ɕ	［5］巷项
Ø	［3］仰痒
#uŋ	
t	［1］东冬敦墩蹲顿通桐铜臀［3］董懂栋［5］动冻洞囤沌盾钝饨
tʰ	［1］同童瞳屯豚［3］统捅桶筒［5］痛
l	［1］龙胧笼聋隆窿伦轮崙［3］垄拢［5］论弄
ts	［1］虫中忠终盅钟衷锺种仲众宗综棕踪纵尊遵［3］肿准準总［5］种{~地}重{~量}
tsʰ	［1］充冲崇春椿纯鹑醇鼗从匆葱聪丛村存寸重{~复}［3］宠
s	［1］松孙［3］耸损笋［5］顺舜讼宋诵送颂
z	［1］戎绒茸［5］闰润
k	［1］工弓公功攻供宫恭蚣躬龚共翁［3］巩汞拱滚棍［5］贡
kʰ	［1］空控坤［3］啃孔恐昆崑捆［5］困
x	［1］分吩纷芬坟焚愤丰风枫封疯峰锋蜂冯逢缝{~补}轰烘弘红宏洪虹鸿昏荤婚浑馄魂混［3］粉讽哄［5］份奋粪缝{缝}风率俸
Ø	［1］温瘟文纹闻蚊［3］刎稳吻［5］问瓮
#yŋ	
tɕ	［1］军君均钩俊骏穷鬃菌匀［5］郡粽
tɕʰ	［1］琼裙群
ɕ	［1］凶匈胸雄熊勋熏薰训巡旬荀循殉［5］驯
Ø	［1］荣容溶蓉榕熔镕融庸壅臃云耘晕酝［3］拥永咏泳勇涌恿恿踊［5］用运韵熨
#əʔ	
p	［7］八杯北拨剥钵驳泊勃卜不滂［8］拔钹博薄
pʰ	［7］泼颇仆扑僕朴瀑
m	［7］摸膜寞漠默塍［8］没抹末沫陌莫木目
t	［7］搭达答得德的{我的}
tʰ	［7］沓塌塔遢遢踏特托託
n	［7］呢［8］纳捺诺
l	［7］邋络［8］腊蜡辣烙乐勒肋洛落
ts	［7］砸则择泽责扎札轧作［8］杂凿闸宅
tsʰ	［7］擦册侧厕测策插察娶
s	［7］塞色啬瑟杀煞索铡
tʂ	［7］齿摘窄蜇折哲蛰褶浙汁织隻执侄值职植殖只帜质秩着［8］直
tʂʰ	［7］拆彻撤吃尺斥赤辙
ʂ	［7］涩奢佘设射涉赦摄失虱识实蚀食式饰室适释［8］舌十石拾硕
ɻ	［8］热日若弱
k	［7］戈胳鸽割摘阁革格葛蛤隔各蝌渴［8］核{核桃}
kʰ	［7］坷苛瞌磕壳克刻容
x	［7］何和河郝喝贺黑瞎［8］合盒鹤
ŋ	［7］俄鹅额扼恶{罪~}鄂颚鸭
#iəʔ	
p	［7］百柏逼鼻笔必毕碧壁璧憋鳖伯［8］白别
pʰ	［7］辟拍劈霹匹僻撇迫魄
m	［7］泌秘密蜜墨［8］麦脉灭
t	［7］的滴嫡跌［8］狄敌涤笛谍叠碟蝶
tʰ	［7］踢惕贴铁帖
ȵ	［7］逆匿溺捏镊蹑业［8］聂孽虐
l	［7］列劣烈猎裂［8］力历立栗粒暦掠略
tɕ	［7］夹阶接脊给{供~}击迹积绩激吉级即极急疾籍鲫繋甲疖揭节劫杰洁结竭藉［8］截
tɕʰ	［7］契掐怡［8］及集捷七戚漆乞泣砌切怯窃却雀鹊
ɕ	［7］夕吸昔析息悉惜锡熄膝蟋习席袭媳歇蝎协胁薛学
x	［7］谐
Ø	［7］噎叶页掖一乙亦抑疫［8］役益
#uəʔ	
t	［7］铎掇踱脱［8］夺督毒读犊独
tʰ	［7］突
l	［7］率{效~}捋［8］陆录陸鹿禄律绿
ts	［7］拙捉灼浊酌昨做粥竹烛嘱筑卓桌啄琢［8］触逐祝族
tsʰ	［7］绰［8］出戳截促撮畜{~牲}
s	［7］唇塑叔淑塾熟术束述刷说朔速缩属镯［8］勺赎
z	［7］做辱［8］入褥
tʂ	［7］囱秃
k	［7］谷骨穀刮郭国窟旷扩廓
kʰ	［7］哭诓括阔
x	［7］发乏伐罚阀筏法髮滑猾或惑［8］活伏服福辐複蝠复復腹覆忽狹霍穫藿
Ø	［7］沃屋［8］袜物
#yəʔ	
tɕ	［7］决诀
tɕʰ	［7］缺
ɕ	［7］穴雪血
Ø	［7］曰悦阅粤越狱［8］月育
