武義同音字表							
简体	繁體	吳拼	IPA	备注			
䖳	䖳	tsua5	tsuɑ53	~魚頭：海蜇			
扎	扎	tsua5	tsuɑ53	~實			
叉	叉	tshua1	tsʰuɑ24				
杈	杈	tshua1	tsʰuɑ24				
差	差	tshua1	tsʰuɑ24	~別			
差	差	tshua1	tsʰuɑ24	出~			
快	快	tshua5	tsʰuɑ53				
茶	茶	dzua2	dzuɑ423				
搽	搽	dzua2	dzuɑ423				
查	查	dzua2	dzuɑ423	動詞			
怀	懷	dzua2	dzuɑ423	~當：懷裡			
抓	抓	dzua4	dzuɑ334	~牌			
射	射	dzua6	dzuɑ31	~牀：尿牀			
痧	痧	sua1	suɑ24				
梳	梳	sua1	suɑ24				
疏	疏	sua1	suɑ24				
洒	灑	sua3	suɑ445				
甩	甩	sua3	suɑ445				
钐	釤	sua3	suɑ445	~：鐮刀			
晒	曬	sua5	suɑ53				
锄	鋤	zua2	zuɑ423				
闸	閘	zua4	zuɑ334				
煠	煠	zua4	zuɑ334	用水煮			
家	家	kua1	kuɑ24				
加	加	kua1	kuɑ24				
嘉	嘉	kua1	kuɑ24				
枷	枷	kua1	kuɑ24				
瓜	瓜	kua1	kuɑ24				
佳	佳	kua1	kuɑ24				
假	假	kua3	kuɑ445	真~			
贾	賈	kua3	kuɑ445				
假	假	kua3	kuɑ445	放~			
剐	剮	kua3	kuɑ445				
架	架	kua5	kuɑ53				
驾	駕	kua5	kuɑ53				
嫁	嫁	kua5	kuɑ53				
稼	稼	kua5	kuɑ53				
价	價	kua5	kuɑ53				
挂	掛	kua5	kuɑ53				
卦	卦	kua5	kuɑ53				
褂	褂	kua5	kuɑ53				
哥	哥	kua5	kuɑ53	~~			
寡	寡	kua5	kuɑ53	~婦			
夸	夸	khua1	kʰuɑ24				
垮	垮	khua1	kʰuɑ24				
揢	揢	khua5	kʰuɑ53	捉			
挟	挾	gua4	ɡuɑ334	夾在腋下			
牙	牙	ngua2	ŋuɑ423				
芽	芽	ngua2	ŋuɑ423				
岩	岩	ngua2	ŋuɑ423				
癌	癌	ngua2	ŋuɑ423				
颜	顏	ngua2	ŋuɑ423				
雅	雅	ngua4	ŋuɑ334				
瓦	瓦	ngua4	ŋuɑ334				
虾	蝦	hua1	xuɑ24	~皮			
花	花	hua1	xuɑ24				
化	化	hua5	xuɑ53				
鸦	鴉	ua1	uɑ24				
桠	椏	ua1	uɑ24	樹~			
亚	亞	ua1	uɑ24				
华	華	ua2	uɑ423				
划	划	ua2	uɑ423	~船			
蛤	蛤	ua3	uɑ445	~蟆蒼蠅：牛虻			
下	下	ua4	uɑ334	鄉~			
狭	狹	ua4	uɑ334				
活	活	ua4	uɑ334				
伢	伢	ua5	uɑ53	細~鬼兒：小孩兒			
雅	雅	ua5	uɑ53	~畈：地名			
哑	啞	ua5	uɑ53	~口：啞巴			
会	會	ua5	uɑ53	助動詞			
滑	滑	ua5	uɑ53	~ɕiu53：滑			
厦	廈	ua6	uɑ31	~門			
下	下	ua6	uɑ31	動詞			
夏	夏	ua6	uɑ31	春~秋冬			
画	畫	ua6	uɑ31				
话	話	ua6	uɑ31				
衙	衙	ua	uɑ21	~門			
怀	懷	iua2	iuɑ423	彭德~			
槐	槐	iua2	iuɑ423				
曰	曰	iua2	iuɑ423				
坏	壞	iua6	iuɑ31				
农	農	nao4	nɔ334	你			
笤	笤	toe5	tɤ53	~帚：掃帚			
贪	貪	thoe1	tʰɤ24				
吞	吞	thoe1	tʰɤ24				
讨	討	thoe3	tʰɤ445				
套	套	thoe5	tʰɤ53				
探	探	thoe5	tʰɤ53				
桃	桃	doe2	dɤ423				
淘	淘	doe2	dɤ423				
陶	陶	doe2	dɤ423				
潭	潭	doe2	dɤ423				
谭	譚	doe2	dɤ423				
团	團	doe2	dɤ423				
锻	鍛	doe2	dɤ423				
道	道	doe4	dɤ334				
稻	稻	doe4	dɤ334				
盗	盜	doe6	dɤ31				
导	導	doe6	dɤ31				
缎	緞	doe6	dɤ31				
钝	鈍	doe6	dɤ31				
萄	萄	doe6	dɤ31	葡~			
昙	曇	doe	dɤ21	~花			
端	端	noe1	nɤ24				
南	南	noe2	nɤ423				
楠	楠	noe2	nɤ423				
男	男	noe2	nɤ423				
鸾	鸞	noe2	nɤ423				
短	短	noe3	nɤ445				
脑	腦	noe4	nɤ334				
纳	納	noe4	nɤ334				
倒	倒	noe5	nɤ53	顛~畈：地名			
乱	亂	noe6	nɤ31				
嫩	嫩	noe6	nɤ31				
刀	刀	loe1	lɤ24				
劳	勞	loe2	lɤ423				
牢	牢	loe2	lɤ423				
涝	澇	loe2	lɤ423				
岛	島	loe3	lɤ445				
倒	倒	loe3	lɤ445	打~			
老	老	loe4	lɤ334				
到	到	loe5	lɤ53				
答	答	loe5	lɤ53				
掇	掇	loe5	lɤ53	雙手拿東西			
痨	癆	loe	lɤ21	~病			
糟	糟	tsoe1	tsɤ24				
簪	簪	tsoe1	tsɤ24				
鑚	鑚	tsoe1	tsɤ24	動詞			
早	早	tsoe3	tsɤ445				
灶	竈	tsoe5	tsɤ53				
荐	薦	tsoe5	tsɤ53	稻稈~：稻草床墊			
鑚	鑚	tsoe5	tsɤ53	車~：鑚，名詞			
参	參	tshoe1	tsʰɤ24	~加			
惨	慘	tshoe1	tsʰɤ24				
汆	汆	tshoe1	tsʰɤ24	焯			
村	村	tshoe1	tsʰɤ24				
草	草	tshoe3	tsʰɤ445				
寸	寸	tshoe5	tsʰɤ53				
操	操	tshoe5	tsʰɤ53	曹~			
酸	酸	soe1	sɤ24				
深	深	soe1	sɤ24	~坑：地名			
孙	孫	soe1	sɤ24	孫子；侄子			
扫	掃	soe3	sɤ445	~地			
嫂	嫂	soe3	sɤ445				
些	些	soe5	sɤ53				
燥	燥	soe5	sɤ53				
算	算	soe5	sɤ53				
蒜	蒜	soe5	sɤ53				
曹	曹	zoe2	zɤ423				
槽	槽	zoe2	zɤ423				
蚕	蠶	zoe2	zɤ423				
皂	皂	zoe4	zɤ334				
造	造	zoe4	zɤ334				
錾	鏨	zoe4	zɤ334				
杂	雜	zoe4	zɤ334				
高	高	koe1	kɤ24				
膏	膏	koe1	kɤ24				
篙	篙	koe1	kɤ24				
糕	糕	koe1	kɤ24				
甘	甘	koe1	kɤ24	~蔗			
干	干	koe1	kɤ24	若~：很多；ȵie445~：上下，左右			
干	乾	koe1	kɤ24	~菜			
肝	肝	koe1	kɤ24				
稿	稿	koe3	kɤ445				
感	感	koe3	kɤ445				
敢	敢	koe3	kɤ445				
杆	桿	koe3	kɤ445				
秆	稈	koe3	kɤ445				
赶	趕	koe3	kɤ445				
泔	泔	koe3	kɤ445	米~水			
告	告	koe5	kɤ53				
干	幹	koe5	kɤ53	~部			
鸽	鴿	koe5	kɤ53				
合	合	koe5	kɤ53	眼睛~xa24罷：睡著了			
割	割	koe5	kɤ53				
葛	葛	koe5	kɤ53				
刊	刊	khoe3	kʰɤ445	~物			
烤	烤	khoe5	kʰɤ53				
靠	靠	khoe5	kʰɤ53				
磡	磡	khoe5	kʰɤ53	高埂			
𢷒	𢷒	goe4	ɡɤ334	挑擔			
安	安	ngoe1	ŋɤ24				
鞍	鞍	ngoe1	ŋɤ24				
按	按	ngoe1	ŋɤ24				
熬	熬	ngoe2	ŋɤ423				
寒	寒	ngoe2	ŋɤ423				
韩	韓	ngoe2	ŋɤ423				
啮	嚙	ngoe4	ŋɤ334	咬			
庵	庵	ngoe5	ŋɤ53				
暗	暗	ngoe5	ŋɤ53				
案	案	ngoe5	ŋɤ53				
傲	傲	ngoe6	ŋɤ31				
鏊	鏊	ngoe6	ŋɤ31	~盤：平底鍋			
旱	旱	ngoe6	ŋɤ31				
岸	岸	ngoe6	ŋɤ31				
汗	汗	ngoe6	ŋɤ31				
焊	焊	ngoe6	ŋɤ31				
翰	翰	ngoe	ŋɤ33	~林			
鼾	鼾	hoe1	xɤ24				
好	好	hoe3	xɤ445	形容詞			
耗	耗	hoe5	xɤ53				
汉	漢	hoe5	xɤ53				
熯	熯	hoe5	xɤ53	再蒸熱			
许	許	hoe5	xɤ53	幾~：多少			
爊	爊	oe1	ɤ24	煮			
袄	襖	oe3	ɤ445				
豪	豪	oe2	ɤ423				
壕	壕	oe2	ɤ423				
合	合	oe4	ɤ334	~八字			
舀	舀	oe5	ɤ53	~水			
号	號	oe6	ɤ31				
标	標	pie1	pie24				
彪	彪	pie1	pie24				
表	表	pie3	pie445				
表	錶	pie3	pie445				
裱	裱	pie3	pie445				
婊	婊	pie5	pie53	~子兒			
批	批	phie1	pʰie24				
飘	飄	phie1	pʰie24				
偏	偏	phie1	pʰie24				
漂	漂	phie5	pʰie53	~白			
票	票	phie5	pʰie53				
骗	騙	phie5	pʰie53				
片	片	phie5	pʰie53				
撇	撇	phie5	pʰie53				
篇	篇	phie5	pʰie53	一~			
嫖	嫖	bie2	bie423				
缏	緶	bie2	bie423	繰~：繰邊			
辨	辨	bie4	bie334				
辩	辯	bie4	bie334				
别	別	bie4	bie334	區~			
弊	弊	bie6	bie31				
币	幣	bie6	bie31				
鐾	鐾	bie6	bie31				
便	便	bie6	bie31	隨~			
辫	辮	bie6	bie31				
便	便	bie	bie21	~宜			
鞭	鞭	mie1	mie24				
编	編	mie1	mie24				
边	邊	mie1	mie24				
苗	苗	mie2	mie423				
棉	棉	mie2	mie423				
棉	棉	mie2	mie423				
眠	眠	mie2	mie423				
扁	扁	mie3	mie445				
匾	匾	mie3	mie445				
米	米	mie4	mie334				
免	免	mie4	mie334				
勉	勉	mie4	mie334				
娩	娩	mie4	mie334				
缅	緬	mie4	mie334				
灭	滅	mie4	mie334				
搣	搣	mie4	mie334	捻			
篾	篾	mie4	mie334				
变	變	mie5	mie53				
遍	遍	mie5	mie53	一~			
面	面	mie6	mie31				
面	麵	mie6	mie31				
废	廢	fie5	fie53				
肺	肺	fie5	fie53				
费	費	fie5	fie53				
佃	佃	tie3	tie445	~戶			
挑	挑	thie1	tʰie24	剔；牙~：牙籤			
添	添	thie1	tʰie24				
天	天	thie1	tʰie24				
体	體	thie3	tʰie445				
舔	舔	thie3	tʰie445				
替	替	thie5	tʰie53	代~			
涕	涕	thie5	tʰie53				
剃	剃	thie5	tʰie53				
屉	屜	thie5	tʰie53				
粜	糶	thie5	tʰie53				
堤	堤	die2	die423				
题	題	die2	die423				
提	提	die2	die423				
蹄	蹄	die2	die423				
啼	啼	die2	die423				
条	條	die2	die423				
调	調	die2	die423	~整			
甜	甜	die2	die423				
钱	錢	die2	die423	姓			
田	田	die2	die423				
钿	鈿	die2	die423	銅~：錢			
弟	弟	die4	die334				
填	填	die4	die334				
簟	簟	die4	die334	曬糧食用的竹席			
第	第	die6	die31				
递	遞	die6	die31				
掉	掉	die6	die31				
调	調	die6	die31	~動			
电	電	die6	die31				
殿	殿	die6	die31				
奠	奠	die6	die31				
垫	墊	die6	die31				
靛	靛	die6	die31				
癫	癲	nie1	nie24				
廉	廉	nie2	nie423				
帘	簾	nie2	nie423				
联	聯	nie2	nie423				
莲	蓮	nie2	nie423				
恋	戀	nie2	nie423				
点	點	nie3	nie445	~心			
典	典	nie3	nie445				
荔	荔	nie3	nie445	~枝			
点	點	nie5	nie53	兩~			
踮	踮	nie5	nie53				
店	店	nie5	nie53				
练	練	nie6	nie31				
低	低	lie1	lie24				
雕	雕	lie1	lie24				
犁	犁	lie2	lie423				
疗	療	lie2	lie423				
辽	遼	lie2	lie423				
撩	撩	lie2	lie423				
捞	撈	lie2	lie423				
底	底	lie3	lie445				
抵	抵	lie3	lie445				
礼	禮	lie4	lie334				
李	李	lie4	lie334	行~			
躐	躐	lie4	lie334	走			
帝	帝	lie5	lie53				
钓	釣	lie5	lie53				
吊	吊	lie5	lie53				
璃	璃	lie5	lie53	玻~			
滤	濾	lie6	lie31				
例	例	lie6	lie31				
励	勵	lie6	lie31				
丽	麗	lie6	lie31				
料	料	lie6	lie31				
廖	廖	lie6	lie31				
鸡	雞	cie1	ʨie24				
焦	焦	cie1	ʨie24				
蕉	蕉	cie1	ʨie24				
招	招	cie1	ʨie24				
骄	驕	cie1	ʨie24				
召	召	cie1	ʨie24				
浇	澆	cie1	ʨie24				
尖	尖	cie1	ʨie24				
兼	兼	cie1	ʨie24				
煎	煎	cie1	ʨie24				
肩	肩	cie1	ʨie24				
坚	堅	cie1	ʨie24				
检	檢	cie3	ʨie445				
剪	剪	cie3	ʨie445				
笕	筧	cie3	ʨie445				
𢄺	𢄺	cie3	ʨie445	擦			
祭	祭	cie5	ʨie53				
际	際	cie5	ʨie53				
制	制	cie5	ʨie53				
制	製	cie5	ʨie53				
济	濟	cie5	ʨie53				
计	計	cie5	ʨie53	會~			
髻	髻	cie5	ʨie53				
照	照	cie5	ʨie53				
占	佔	cie5	ʨie53	~領			
接	接	cie5	ʨie53				
折	摺	cie5	ʨie53				
褶	褶	cie5	ʨie53				
剑	劍	cie5	ʨie53				
劫	劫	cie5	ʨie53				
箭	箭	cie5	ʨie53				
溅	濺	cie5	ʨie53				
战	戰	cie5	ʨie53				
哲	哲	cie5	ʨie53				
浙	浙	cie5	ʨie53				
建	建	cie5	ʨie53				
键	鍵	cie5	ʨie53				
羯	羯	cie5	ʨie53	閹			
牮	牮	cie5	ʨie53	使正			
见	見	cie5	ʨie53				
结	結	cie5	ʨie53				
洁	潔	cie5	ʨie53				
藠	藠	cie5	ʨie53	老~頭：藠頭			
展	展	cie5	ʨie53	~覽			
䥛	䥛	cie5	ʨie53	釤~：鐮刀			
妻	妻	chie1	ʨʰie24				
栖	棲	chie1	ʨʰie24				
溪	溪	chie1	ʨʰie24				
锹	鍬	chie1	ʨʰie24	洋~；飯~：飯勺			
缲	繰	chie1	ʨʰie24				
超	超	chie1	ʨʰie24				
签	籤	chie1	ʨʰie24	求~書：抽籤			
谦	謙	chie1	ʨʰie24				
迁	遷	chie1	ʨʰie24				
牵	牽	chie1	ʨʰie24				
启	啟	chie3	ʨʰie445				
浅	淺	chie3	ʨʰie445				
遣	遣	chie3	ʨʰie445				
契	契	chie5	ʨʰie53				
妾	妾	chie5	ʨʰie53				
欠	欠	chie5	ʨʰie53				
歉	歉	chie5	ʨʰie53				
彻	徹	chie5	ʨʰie53				
撤	撤	chie5	ʨʰie53				
辙	轍	chie5	ʨʰie53				
千	千	chie5	ʨʰie53				
挈	挈	chie5	ʨʰie53	拿起來			
騲	騲	chie5	ʨʰie53	~雞：母雞			
朝	朝	jie2	ʥie423	宋~			
潮	潮	jie2	ʥie423				
侨	僑	jie2	ʥie423				
桥	橋	jie2	ʥie423				
荞	蕎	jie2	ʥie423				
钳	鉗	jie2	ʥie423				
椽	椽	jie2	ʥie423				
赵	趙	jie4	ʥie334				
兆	兆	jie4	ʥie334				
俭	儉	jie4	ʥie334				
涉	涉	jie4	ʥie334				
件	件	jie4	ʥie334	案~			
舌	舌	jie4	ʥie334				
杰	杰	jie4	ʥie334				
桀	桀	jie4	ʥie334				
轿	轎	jie6	ʥie31				
健	健	jie6	ʥie31				
干	乾	jie	ʥie21	~坤			
黏	黏	gnie1	ȵie24				
蔫	蔫	gnie1	ȵie24	不新鮮			
研	研	gnie1	ȵie24				
烟	煙	gnie1	ȵie24				
胭	胭	gnie1	ȵie24				
泥	泥	gnie2	ȵie423				
倪	倪	gnie2	ȵie423				
饶	饒	gnie2	ȵie423	討~			
炎	炎	gnie2	ȵie423				
盐	鹽	gnie2	ȵie423	名詞			
阎	閻	gnie2	ȵie423				
严	嚴	gnie2	ȵie423				
嫌	嫌	gnie2	ȵie423				
延	延	gnie2	ȵie423				
筵	筵	gnie2	ȵie423				
言	言	gnie2	ȵie423				
年	年	gnie2	ȵie423				
贤	賢	gnie2	ȵie423				
弦	弦	gnie2	ȵie423				
厣	厴	gnie3	ȵie445	鱗			
燕	燕	gnie3	ȵie445	~窩			
染	染	gnie4	ȵie334				
聂	聶	gnie4	ȵie334				
业	業	gnie4	ȵie334				
碾	碾	gnie4	ȵie334				
热	熱	gnie4	ȵie334				
孽	孽	gnie4	ȵie334				
厌	厭	gnie5	ȵie53				
䞁	䞁	gnie5	ȵie53	比量			
宴	宴	gnie5	ȵie53				
沿	沿	gnie5	ȵie53	邊兒~：旁邊			
验	驗	gnie6	ȵie31				
盐	鹽	gnie6	ȵie31	醃			
念	念	gnie6	ȵie31				
廿	廿	gnie6	ȵie31	二十			
现	現	gnie6	ȵie31				
芫	芫	gnie	ȵie21	~荽：香菜			
檐	簷	gnie	ȵie11	屋~頭：簷端			
西	西	shie1	ɕie24				
犀	犀	shie1	ɕie24				
消	消	shie1	ɕie24				
宵	宵	shie1	ɕie24				
硝	硝	shie1	ɕie24				
销	銷	shie1	ɕie24				
烧	燒	shie1	ɕie24				
萧	蕭	shie1	ɕie24				
苫	苫	shie1	ɕie24	稻稈~：草簾子			
仙	仙	shie1	ɕie24				
鲜	鮮	shie1	ɕie24	新~			
轩	軒	shie1	ɕie24				
掀	掀	shie1	ɕie24				
锨	鍁	shie1	ɕie24	火~：火鏟			
先	先	shie1	ɕie24				
洗	洗	shie3	ɕie445				
少	少	shie3	ɕie445	多~			
晓	曉	shie3	ɕie445				
险	險	shie3	ɕie445				
癣	癬	shie3	ɕie445				
选	選	shie3	ɕie445				
世	世	shie5	ɕie53				
势	勢	shie5	ɕie53				
细	細	shie5	ɕie53	粗~			
婿	婿	shie5	ɕie53				
岁	歲	shie5	ɕie53				
笑	笑	shie5	ɕie53				
肖	肖	shie5	ɕie53				
闪	閃	shie5	ɕie53	霍~：閃電			
线	線	shie5	ɕie53				
搧	搧	shie5	ɕie53				
扇	扇	shie5	ɕie53				
薛	薛	shie5	ɕie53				
泄	洩	shie5	ɕie53				
设	設	shie5	ɕie53				
宪	憲	shie5	ɕie53				
献	獻	shie5	ɕie53				
歇	歇	shie5	ɕie53				
蝎	蠍	shie5	ɕie53				
显	顯	shie5	ɕie53				
小	小	shie5	ɕie53	~說			
齐	齊	zhie2	ʑie423				
脐	臍	zhie2	ʑie423				
蟾	蟾	zhie2	ʑie423				
然	然	zhie2	ʑie423				
前	前	zhie2	ʑie423				
全	全	zhie2	ʑie423				
泉	泉	zhie2	ʑie423				
善	善	zhie4	ʑie334				
折	折	zhie4	ʑie334	虧本			
绝	絕	zhie4	ʑie334				
蚬	蜆	zhie4	ʑie334	~殼：蚌			
邵	邵	zhie6	ʑie31				
践	踐	zhie6	ʑie31				
贱	賤	zhie6	ʑie31				
旋	旋	zhie6	ʑie31	頭髮旋			
荠	薺	zhie6	ʑie31	荸薺			
绍	紹	zhie	ʑie33	~興			
妖	妖	ie1	ie24				
腰	腰	ie1	ie24				
窑	窯	ie2	ie423				
姚	姚	ie2	ie423				
要	要	ie3	ie445	~緊			
叶	葉	ie4	ie334				
叫	叫	ie5	ie53	哭			
艳	艷	ie5	ie53				
系	係	ie5	ie53	關~			
杳	杳	ie5	ie53	~渠：地名			
翼	翼	ie5	ie53	~膀：翅膀			
易	易	ie6	ie31	容~			
鹞	鷂	ie6	ie31				
勚	勩	ie6	ie31	磨損			
谣	謠	ie	ie21	~言			
波	波	puo1	puo24				
玻	玻	puo1	puo24				
鹁	鵓	puo3	puo445	~鴿：鴿子			
潘	潘	phuo1	pʰuo24				
判	判	phuo5	pʰuo53				
襻	襻	phuo5	pʰuo53				
婆	婆	buo2	buo423				
盘	盤	buo2	buo423				
搬	搬	buo2	buo423				
丬	爿	buo2	buo423				
瓣	瓣	buo4	buo334				
伴	伴	buo4	buo334				
拌	拌	buo4	buo334				
钹	鈸	buo4	buo334				
雹	雹	buo4	buo334				
办	辦	buo6	buo31				
盘	磐	buo	buo21	~安			
般	般	muo1	muo24				
班	班	muo1	muo24				
斑	斑	muo1	muo24				
颁	頒	muo1	muo24				
扳	扳	muo1	muo24				
磨	磨	muo2	muo423	~刀			
摩	摩	muo2	muo423				
毛	毛	muo2	muo423				
茅	茅	muo2	muo423				
鳗	鰻	muo2	muo423				
蛮	蠻	muo2	muo423				
明	明	muo2	muo423	~日			
板	板	muo3	muo445				
版	版	muo3	muo445				
拚	拚	muo3	muo445	~箕：挑東西用的簸箕			
满	滿	muo4	muo334				
末	末	muo4	muo334				
沫	沫	muo4	muo334				
扮	扮	muo5	muo53				
半	半	muo5	muo53				
绊	絆	muo5	muo53				
粪	糞	muo5	muo53	欄~：廄肥			
波	波	muo5	muo53	寧~			
晚	晚	muo5	muo53	~孃：後母			
磨	磨	muo6	muo31	麥~：石磨			
帽	帽	muo6	muo31				
慢	慢	muo6	muo31				
漫	漫	muo6	muo31				
万	萬	muo6	muo31	麻將牌裡的一種花色			
问	問	muo6	muo31				
馒	饅	muo	muo21	~頭			
翻	翻	fuo1	fuo24				
番	番	fuo1	fuo24	~瓜：西紅柿			
反	反	fuo3	fuo445				
贩	販	fuo5	fuo53				
畈	畈	fuo5	fuo53	田~：田野，田地			
凡	凡	vuo2	vuo423				
帆	帆	vuo2	vuo423				
烦	煩	vuo2	vuo423				
繁	繁	vuo2	vuo423				
矾	礬	vuo2	vuo423				
范	范	vuo4	vuo334	姓			
范	範	vuo4	vuo334				
犯	犯	vuo4	vuo334				
饭	飯	vuo6	vuo31				
万	萬	vuo6	vuo31	數詞			
拖	拖	thuo1	tʰuo24				
滩	灘	thuo1	tʰuo24				
摊	攤	thuo1	tʰuo24				
椭	橢	thuo3	tʰuo445				
毯	毯	thuo3	tʰuo445				
坦	坦	thuo3	tʰuo445	履~：地名			
唾	唾	thuo5	tʰuo53				
炭	炭	thuo5	tʰuo53				
叹	歎	thuo5	tʰuo53				
驼	駝	duo2	duo423				
驮	馱	duo2	duo423	拿			
舵	舵	duo2	duo423				
痰	痰	duo2	duo423				
谈	談	duo2	duo423				
檀	檀	duo2	duo423				
坛	壇	duo2	duo423				
弹	彈	duo2	duo423	動詞			
淡	淡	duo4	duo334				
大	大	duo6	duo31	形容詞			
但	但	duo6	duo31				
弹	彈	duo6	duo31	炸~			
担	擔	nuo1	nuo24	拿			
丹	丹	nuo1	nuo24				
单	單	nuo1	nuo24				
蓝	藍	nuo2	nuo423				
篮	籃	nuo2	nuo423				
难	難	nuo2	nuo423	形容詞			
兰	蘭	nuo2	nuo423				
拦	攔	nuo2	nuo423				
朵	朵	nuo3	nuo445	耳~			
胆	膽	nuo3	nuo445				
掸	撣	nuo3	nuo445				
懒	懶	nuo4	nuo334				
担	擔	nuo5	nuo53	名詞			
旦	旦	nuo5	nuo53				
栏	欄	nuo5	nuo53	豬~			
糯	糯	nuo6	nuo31	~米			
览	覽	nuo6	nuo31	展~			
难	難	nuo6	nuo31	逃~			
烂	爛	nuo6	nuo31				
多	多	luo1	luo24				
罗	羅	luo2	luo423				
锣	鑼	luo2	luo423				
萝	蘿	luo2	luo423				
螺	螺	luo2	luo423				
虏	虜	luo4	luo334				
萝	蘿	luo5	luo53	天~：絲瓜			
斩	斬	tsuo3	tsuo445				
灶	竈	tsuo3	tsuo445	鑊~老爺：竈神			
左	左	tsuo5	tsuo53				
佐	佐	tsuo5	tsuo53				
做	做	tsuo5	tsuo53				
蘸	蘸	tsuo5	tsuo53				
赞	贊	tsuo5	tsuo53				
盏	盞	tsuo5	tsuo53	量詞			
搓	搓	tshuo1	tsʰuo24				
餐	餐	tshuo1	tsʰuo24				
铲	鏟	tshuo3	tsʰuo445				
产	產	tshuo3	tsʰuo445				
锉	銼	tshuo5	tsʰuo53				
措	措	tshuo5	tsʰuo53				
灿	燦	tshuo5	tsʰuo53				
惭	慚	dzuo2	dzuo423				
残	殘	dzuo2	dzuo423				
赚	賺	dzuo4	dzuo334				
啄	啄	dzuo4	dzuo334				
镯	鐲	dzuo4	dzuo334				
站	站	dzuo6	dzuo31	車~			
栈	棧	dzuo6	dzuo31				
𧸖	𧸖	dzuo6	dzuo31	錯			
蓑	蓑	suo1	suo24				
三	三	suo1	suo24				
杉	杉	suo1	suo24				
衫	衫	suo1	suo24				
山	山	suo1	suo24				
锁	鎖	suo3	suo445				
所	所	suo3	suo445				
散	散	suo3	suo445	~碎：零錢			
伞	傘	suo3	suo445				
产	產	suo3	suo445	~母：產婦			
散	散	suo5	suo53	雲~去罷			
昨	昨	suo5	suo53	~日			
坐	坐	zuo4	zuo334				
座	座	zuo6	zuo31				
歌	歌	kuo1	kuo24				
哥	哥	kuo1	kuo24				
奸	奸	kuo1	kuo24				
官	官	kuo1	kuo24				
棺	棺	kuo1	kuo24				
观	觀	kuo1	kuo24	參~			
冠	冠	kuo1	kuo24	雞~花			
关	關	kuo1	kuo24	開~			
果	果	kuo3	kuo445				
裹	裹	kuo3	kuo445				
减	減	kuo3	kuo445				
管	管	kuo3	kuo445				
馆	館	kuo3	kuo445				
个	個	kuo5	kuo53				
过	過	kuo5	kuo53				
碱	鹼	kuo5	kuo53				
鉴	鑒	kuo5	kuo53				
间	間	kuo5	kuo53	~諜			
谏	諫	kuo5	kuo53				
涧	澗	kuo5	kuo53				
贯	貫	kuo5	kuo53				
灌	灌	kuo5	kuo53				
罐	罐	kuo5	kuo53				
惯	慣	kuo5	kuo53				
馃	餜	kuo5	kuo53	~印：一種做餜的器具			
间	間	kuo5	kuo53	房~			
简	簡	kuo5	kuo53	~陋			
髁	髁	khuo1	kʰuo24	腳~頭：膝蓋			
科	科	khuo1	kʰuo24				
窠	窠	khuo1	kʰuo24				
宽	寬	khuo1	kʰuo24				
可	可	khuo3	kʰuo445				
㦿	㦿	khuo3	kʰuo445	窗戶			
舰	艦	khuo3	kʰuo445				
款	款	khuo3	kʰuo445				
课	課	khuo5	kʰuo53				
困	睏	khuo5	kʰuo53	睡			
衔	銜	guo2	ɡuo423	動物銜			
弯	彎	nguo1	ŋuo24				
湾	灣	nguo1	ŋuo24				
还	還	nguo1	ŋuo24	副詞			
蛾	蛾	nguo2	ŋuo423				
鹅	鵝	nguo2	ŋuo423				
俄	俄	nguo2	ŋuo423				
函	函	nguo2	ŋuo423				
咸	鹹	nguo2	ŋuo423				
闲	閒	nguo2	ŋuo423				
桓	桓	nguo2	ŋuo423				
完	完	nguo2	ŋuo423				
玩	玩	nguo2	ŋuo423				
顽	頑	nguo2	ŋuo423				
还	還	nguo2	ŋuo423	動詞			
环	環	nguo2	ŋuo423				
碗	碗	nguo3	ŋuo445	一口~：一個碗			
瓦	瓦	nguo4	ŋuo334	硯~：硯台			
馅	餡	nguo4	ŋuo334				
眼	眼	nguo4	ŋuo334				
限	限	nguo4	ŋuo334				
缓	緩	nguo4	ŋuo334				
猢	猢	nguo5	ŋuo53	~猻：猴子			
腕	腕	nguo5	ŋuo53	手~背：手背			
饿	餓	nguo6	ŋuo31				
卧	臥	nguo6	ŋuo31				
陷	陷	nguo6	ŋuo31				
换	換	nguo6	ŋuo31				
幻	幻	nguo6	ŋuo31				
患	患	nguo6	ŋuo31				
咸	咸	nguo	ŋuo21	~豐			
欢	歡	huo1	xuo24				
火	火	huo3	xuo445				
下	下	huo3	xuo445	~穀籽：撒穀種			
货	貨	huo5	xuo53				
苋	莧	huo5	xuo53				
焕	煥	huo5	xuo53				
寣	寣	huo5	xuo53	睏一~：睡一會兒			
伙	夥	huo5	xuo53	~計			
霍	霍	huo5	xuo53	~閃：閃電			
窝	窩	uo1	uo24				
河	河	uo2	uo423				
何	何	uo2	uo423				
荷	荷	uo2	uo423				
和	和	uo2	uo423				
禾	禾	uo2	uo423				
𤖱	𤖱	uo2	uo423	~頭：棺材的兩頭			
祸	禍	uo4	uo334				
镬	鑊	uo4	uo334	鍋			
涴	涴	uo5	uo53	屎			
猢	猢	uo5	uo53	~猻：猴子			
贺	賀	uo6	uo31				
专	專	ciue1	ʨye24				
砖	磚	ciue1	ʨye24				
捐	捐	ciue1	ʨye24				
转	轉	ciue3	ʨye445	~身			
娟	娟	ciue5	ʨye53				
卷	卷	ciue5	ʨye53				
