#来源	Pekkhak（啵啵）整理自顏森《高安（老屋周家）方言的语音系统》																																								
#说明	這份資料記錄的並非高安市區方言，其面貌與高安市區方言存在一定的差異																																								
#符号说明：-白=文*俗?待考																																									
#调值	［1］⁵⁵［2］²⁴［3］⁴²［5］³³［6］¹¹［7］³［8］¹［0］⁰																																								
#a																																									
t	［1］都嘟□{～马颈：大人让小孩儿骑在脖子上跑着玩}［3］堵赌肚{猪～}［5］妬□{～纸：会洇的纸}□{（刀）钝：剪刀～箇口}																																								
tʰ	［2］徒屠途涂图［3］土吐{～痰}［5］吐{呕～}兔［6］杜肚{腹～}度渡镀																																								
l	［1］□{骗}□{～条哩：洗澡时从身上槎下来的污垢}［2］奴卢炉芦鸬庐攎{收集}［3］努鲁橹虏滷［5］怒露［6］路鹭																																								
ts	［1］租资姿兹滋［3］祖组阻紫姊子梓滓［5］做																																								
tsʰ	［1］粗初雌［2］锄瓷姿慈磁祠词□{突出：额高（额头）～箇}［3］楚础此［5］醋刺次漱［6］助自巳{辰～}柿字［0］厕{茅～}																																								
s	［1］苏酥梳疏蔬斯撕私师狮司丝思［2］辞［3］所死史使驶［5］素诉数{～目}赐四肆［6］似祀士仕寺嗣饲事																																								
k	［1］姑菇孤箍［2］跍{蹲}［3］古估股鼓□{大蒜～哩：大蒜头}［5］故固雇顾［6］□{鼓：肚子～起来箇}［0］牯{黄～：阉过的公牛}																																								
kʰ	［1］枯𣗺{～饼：花生、茶籽等榨油后，渣滓压成的饼状物，作肥料用}呼-{用声音诱出：～蛇}［3］苦［5］库裤［6］□{顶，动词：水汽拿锅盖～起来箇}																																								
∅	［1］乌污巫诬［2］无糊{～羹}鬍湖{～背：高安地名}［3］伍{队～}午武舞侮鹉抚{～恤}［6］误悟瓠-{～子}务雾戊																																								
#i																																									
p	［1］杯悲□{～骨：肋骨}［3］比［5］蔽闭辈=臂秘泌痹［0］贝{宝～}																																								
pʰ	［1］蓖批碑披丕𠜱{削，砍}［2］皮疲脾琵枇［3］彼鄙［5］配=庇屁［6］敝弊币毙倍佩被避备蓖［0］卜{萝～}																																								
m	［1］霉{～豆腐}［2］迷梅={～花}媒=煤弥眉霉={发～}𪃏{～子，即囮子：拿～子引斑鸠哩}［3］米每美［6］谜昧尾{～巴}																																								
f	［1］盔恢灰=非飞妃挥辉徽［2］回茴肥［3］毁匪［5］悔废肺费［6］汇会={开～}绘惠慧																																								
t	［1］低［3］底抵［5］帝蒂																																								
tʰ	［1］梯=［2］堤题提蹄啼［3］体［5］替剃=屉{药～}［6］弟=第递隶地坠-{袋子～落来箇}																																								
l	［1］剺{刺，劃}［2］驴泥=犁=藜{蒺～}离篱梨厘狸［3］吕旅屡礼履李里裏理鲤□{～下子：如今，现在}［6］虑例厉励丽荔利俐吏累={连～，～积}类泪□{～刀哩：立刀旁儿}例?{～外：另外}［0］璃{玻～}哩{词尾，相当于“子”}																																								
ts	［2］□{～雀子：喜鹊}［3］嘴［5］祭际济醉［0］荠{荸～}																																								
tsʰ	［1］蛆妻［2］徐齐=脐［3］取娶［5］趣脆翠［6］聚［0］粹{纯～}																																								
s	［1］须鬚需西犀虽绥［2］徐=随［3］洗=玺髓［5］絮细岁［6］序叙绪遂隧［0］婿荽{芫～}																																								
tɕ	［1］鸡=知蜘支枝肢栀脂饥肌之芝基机讥饑［3］纸只{～有}旨指{动词}几{茶～子；～个}止趾址己纪麂［5］制製计继髻智寄致至置志誌痣记既季［0］脂{胭～}处{何～}杞{枸～}																																								
tɕʰ	［1］𧠵?{偷视：到门缝里～}［2］池驰迟持［3］耻齿［5］□{填塞：拿滴（点儿）糊哩～缝}［6］稚痔治滞																																								
ɕ	［1］溪施牺尸诗欺嬉熙希稀［2］奇骑岐祁鳍时其棋期旗蕲{～艾}祈谁［3］启矢屎始起喜岂［5］世势契戏器弃试气汽［6］誓系繫=係是氏徛{站立}技妓示视嗜市侍忌□{发～：新娘第一次回娘家}［0］匙锁{～}豉{豆～}																																								
∅	［1］医衣依{～还：仍然}［2］鱼渔宜仪移谊尼姨疑遗□{～tsuŋ˥：丝瓜}［3］女雨蚁倚椅拟矣已以［5］意忆亿［6］艺义议易{难～}肄异毅□{估～哩：猜谜儿}［0］呢{语气词}□{把～：有齿的钯，不同于“钯哩”}																																								
#y																																									
t	［1］堆=［5］对队																																								
tʰ	［1］推=［3］腿=［5］退=［6］兑																																								
l	［1］推?{：～渠出去；～开门}［2］雷=□{～ty˧：形容人因为胖而不灵便}［3］□{～钝：愚笨迟钝}［6］内																																								
ts	［5］最=																																								
tsʰ	［1］催=［6］罪																																								
s	［5］碎={粉～}																																								
tɕ	［1］猪诸居车{～马炮}诛蛛株朱硃珠拘驹追［3］煮举主［5］著据锯=驻注注蛀铸句=赘剧={～团}［0］矩{规～}																																								
tɕʰ	［1］枢区驱吹炊□{～头棍哩：小腿}［2］除储渠厨垂槌锤［3］褚处={相～}杵［5］处={～所}去=［6］苧巨拒距柱竖住具惧																																								
ɕ	［1］书舒墟虚嘘输［2］薯殊谁=［3］暑鼠许水墅{桐～：高安地名}［5］庶恕税［6］树睡□{～菜：芥菜}［0］署{专～}																																								
∅	［1］於淤［2］如鱼=渔=余馀儒愚愉儿而［3］女=汝语与乳雨=宇禹羽尔耳［6］誉预豫遇喻裕二贰玉{～石}																																								
#ai																																									
p	［3］摆［5］拜																																								
pʰ	［2］排牌𥱼［5］派［6］败□{赖～：肮脏，又比喻人品质不好}																																								
m	［2］埋［3］买［6］卖迈																																								
f	［2］怀=槐淮［6］坏																																								
t	［5］戴带																																								
tʰ	［5］态太={～阳}泰［6］大={～夫}																																								
l	［2］奶{～～：乳房}□{～记：忘记～；尿：遗尿}［3］奶［6］耐奈赖癞																																								
ts	［1］斋［5］债																																								
tsʰ	［1］猜钗差{出～}［2］柴豺［5］蔡［6］寨																																								
s	［1］筛［5］晒																																								
k	［1］皆阶街［3］解{～放}［5］介界芥尬疥届戒械解{锯开：～板}［0］□{食～哩：鸡鸭的子}胛?{翼～哩：翅膀}																																								
kʰ	［1］揩																																								
ŋ	［1］挨［2］涯崖捱［3］矮［6］外{～头；～国}艾鸦?{老～：乌鸦}［0］蟹{螃～}																																								
h	［2］鞋［3］瞎{感叹词}［6］大{～小}																																								
#uai																																									
k	［1］乖［3］枴［5］怪																																								
kʰ	［3］块{两～钱}［5］会{～计}快筷块{～～：到处}																																								
∅	［1］歪［2］怀［6］外={～国}																																								
#ɛi																																									
p	［1］背{～脊}辈□{拉，扯：～渠走}□{垫：～本钱}																																								
pʰ	［1］胚坯［2］培{～土}陪赔［5］配{吃肉～饭}［6］倍背{～书}焙																																								
m	［2］梅{姓}媒霉{发～}枚{～口：高安地名}［5］妹																																								
f	［1］灰［6］会{开～}																																								
t	［1］堆［3］□{经常：～来}［5］碓																																								
tʰ	［1］胎苔{舌～}［2］台抬［6］待怠贷代袋=																																								
l	［2］来雷擂{碾压，按揉}泥犁□{“在何一”的合音：你～处来？（你从哪儿来？）}［6］累{～人}在																																								
ts	［1］灾栽［3］宰载{年～}崽{儿子，男孩子}［5］再载{～重}最																																								
tsʰ	［1］催{～生}［2］才材财裁纔齐-{大家～去}［3］彩採睬踩［5］菜砌-［6］载{装～}在=																																								
s	［1］腮鳃［3］洗-［5］赛碎{～米子}帅繀{～管：卷纬纱用的小竹筒}																																								
k	［1］该鸡［3］改［5］盖																																								
kʰ	［1］开［5］概溉慨丐楷{～书}																																								
ŋ	［1］哀［3］桅呆［5］爱外{～公；～婆；～甥；～后年}［6］碍																																								
h	［1］梯推［2］孩□{“何一”的合音：～个（谁）}［3］海腿［5］剃太{～公：～婆}退蜕［6］亥袋害弟																																								
#uɛi																																									
∅	［1］煨［6］会{～不～}																																								
#ui																																									
k	［1］闺规龟归［3］诡鬼［5］句刽桧鳜桂贵																																								
kʰ	［1］魁亏盔{头～：帽子}［2］𢌳{拿，携}逵葵［3］跪轨癸［5］愧［6］柜䠩{疲累}																																								
∅	［1］萎威□{～子：挑土用的簸箕}［2］危为{作～}维惟唯微违围［3］委尾={读字音}伟苇［5］餧畏［6］芋卫为{～什哩：为什么}未味魏慰纬胃谓［0］□{劳～劳：表示的客气话}																																								
#au																																									
p	［1］包胞巴{～不能得：巴不得}［3］饱［5］豹爆［0］巴{尾～}																																								
pʰ	［1］抛［2］刨{集韵平声爻韵蒲交切}［3］跑［5］炮泡{～到水里}［6］泡{肥皂～；鱼～}																																								
m	［2］茅猫矛{～盾}［3］卯［5］□{看：～下子看；盼望：日日～渠归}［6］貌																																								
ts	［1］□{焦，脆：落花生炒得好～｜响～雷公}［3］爪找［5］罩笊□跑																																								
tsʰ	［1］抄钞［2］巢［3］炒吵［5］觘{顶，撞：牛拿角～人}																																								
s	［1］梢筲□{～瓜：一种可做菜吃的瓜}□{追：快～渠回来走一转}［2］□{～一眼：很快地看}［5］潲{猪～}																																								
k	［1］交郊胶［3］搅搞{～酒：酿酒}绞［5］教{校～对；上～}较窖铰{剪刀～子：剪刀开合的支点}觉																																								
kʰ	［1］敲［3］巧□{～麻：制麻绳用的一种麻}																																								
ŋ	［1］□{i˥～i˥～：形容声音嘈杂}［2］拗{～捩：形容脾气倔不听话：细人子好拗捩；歪：桌子摆～箇}［3］咬□{使弯曲：拿铁丝子～圆来}																																								
h	［5］孝［6］效																																								
#ɔu																																									
p	［1］包{头上长个～}［3］保堡宝［5］报																																								
pʰ	［1］㯱{松软，不结实，不紧凑}［2］袍浮{漂浮}［6］抱暴菢																																								
m	［1］□{食物上生的白毛}□{～雪：雪花}［2］毛［6］冒帽无-{冇}［0］蟆{蝦～}																																								
t	［1］刀［3］倒{打～}［5］到倒{～水}																																								
tʰ	［1］滔［2］桃=逃陶=［3］讨=［5］套［6］道=稻盗=导［0］萄{葡～}																																								
l	［1］捞［2］劳痨牢［3］脑恼老劳{～病：看望病人}［6］涝［0］□{打嗝～}																																								
ts	［1］遭糟［3］早枣蚤澡［5］躁灶																																								
tsʰ	［1］操［2］曹槽［3］草騲{～猪：母猪}［5］糙［6］皂造																																								
s	［1］臊［3］扫{～地}嫂［5］扫{～帚}																																								
k	［1］高膏篙糕［3］稿［5］告［0］□{麦～哩：草帽}																																								
kʰ	［3］考烤［5］靠																																								
ŋ	［1］爊□{仰：～到头}［2］熬［3］袄［5］奥懊［6］傲鏊																																								
h	［2］桃淘{～米}掏{汤～饭：把饭泡在汤里吃}陶豪壕毫［3］讨好{～坏}［5］好{喜～}［6］道浩号盗																																								
#ɛu																																									
m	［2］谋［3］某亩牡［6］茂贸																																								
f	［2］浮=［3］否																																								
t	［1］兜蔸鬥{～风：逆风}𩮷{～鬚鬍哩：络腮胡子}［3］斗抖陡［5］鬥{～争；凑：～钱}																																								
tʰ	［1］偷=［2］头=投［5］透=［6］逗{～号}																																								
l	［1］𠞭{挖：～耳朵}［2］饶={～命}楼揉［3］扰绕篓［6］漏陋																																								
ts	［1］邹［3］走［5］奏皱绉																																								
tsʰ	［1］搊［2］愁［5］凑□{砌：～墙}［6］骤																																								
s	［1］搜馊蒐［2］□{～糰：揉面团儿}［5］嗽瘦																																								
h	［1］偷［2］头侯喉猴［3］㪗吼［5］透［6］豆痘{麻～}后後厚候																																								
#iɛu																																									
