漢字	拼音	IPA	注釋		語系	語片	方言	地理	政區	分佈	位點	人口	相關	作者	名牌									
擴	kʰɔ̃																							
廓	kʰɐʔ																							
霍	xuɐʔ		xuɐʔ霍閃（閃電）																					
霍	xɐʔ		姓氏																					
藿	xuɐʔ																							
鑊	ɦɐʔ																							
縛	vɐʔ		姓氏																					
縛	biɐʔ		捆、綁																					
钁	kiɐʔ																							
邦	pɔ̃																							
綁	pɔ̃																							
胖	pʰɔ̃																							
龐	bɔ̃																							
棒	bɔ̃																							
蚌	pɔ̃																							
蚌	pæ̃																							
蜯	pɔ̃																							
蛖	pɔ̃																							
樁	tɔ̃																							
撞	dʑiɔ̃																							
窗	tɕʰiɔ̃		tɕʰiɔ̃窗盤																					
窗	tsʰɔ̃		tsʰɔ̃窗軒																					
雙	ɕiɔ̃																							
雙	sɔ̃																							
江	kɔ̃		信江kɔ̃河																					
江	kiã		姓氏																					
肛	kɔ̃																							
扛	kɔ̃																							
講	kɔ̃																							
港	kɔ̃																							
耩	kɔ̃																							
降	kɔ̃		霜降kɔ̃																					
降	kiã		升降kiã																					
降	ɦɔ̃		投降ɦɔ̃																					
虹	kɔ̃																							
虹	ɦoŋ																							
腔	kʰiã																							
項	ɦɔ̃																							
巷	kɔ̃																							
剝	pɐʔ																							
剝	piɐʔ																							
駁	pɐʔ																							
璞	pʰɐʔ																							
雹	bɐɯ																							
卓	tɕiɐʔ																							
桌	tiɐʔ		四方桌tiɐʔ																					
桌	tɕyɐʔ		tɕyɐʔ卓依婷（姓名）																					
琢	tiɐʔ																							
琢	tɕiɐʔ																							
啄	tiɐʔ		tiɐʔ啄木鳥																					
啄	tɐʔ		雞啄tɐʔ米																					
啄	tɕiɐʔ		tɕiɐʔ啄目																					
戳	tɕʰiɐʔ		tɕʰiɐʔ戳pieʔ（性交、罵人）																					
戳	tsʰɐʔ		tsʰɐʔ戳心相																					
戳	tsʰoʔ		郵戳tsʰoʔ																					
濁	dʑiɐʔ																							
濯	dzɐʔ																							
捉	tɕiɐʔ																							
鐲	dʑiɐʔ																							
鐲	dʑyɐʔ																							
朔	sɐʔ																							
朔	ɕiɐʔ																							
角	kɐʔ																							
餃	kiɐɯ																							
確	kʰɐʔ																							
殼	kʰɐʔ		紙殼kʰɐʔ																					
殼	kʰoʔ		戲面殼kʰoʔ（面具）																					
岳	ŋɐʔ		姓氏																					
學	ɦɐʔ																							
握	uɐʔ																							
握	oʔ																							
崩	pæ̃		pæ̃崩（裂開）																					
崩	poŋ		山崩poŋ																					
繃	pæ̃																							
繃	poŋ																							
朋	boŋ																							
登	tɪŋ																							
登	tæ̃																							
燈	tɪŋ																							
燈	tæ̃																							
等	tæ̃																							
凳	tɪŋ																							
凳	tæ̃																							
藤	dæ̃		dæ̃藤條																					
藤	dɪŋ		dɪŋ藤椅																					
騰	dæ̃																							
疼	dæ̃																							
謄	dæ̃																							
鄧	dæ̃																							
能	næ̃																							
楞	læ̃																							
增	tsæ̃																							
憎	tsæ̃																							
憎	tsɪŋ																							
曾	tsɪŋ		tsɪŋ曾空																					
曾	tsæ̃		tsæ̃曾（姓氏）																					
曾	dzæ̃		dzæ̃曾經																					
層	dzæ̃																							
層	zæ̃																							
贈	dzæ̃																							
僧	sæ̃																							
亙	kæ̃																							
肯	kʰæ̃																							
恒	ɦæ̃																							
冰	pɪŋ																							
憑	bɪŋ																							
淩	lɪŋ																							
菱	lɪŋ																							
陵	lɪŋ																							
征	tsɪŋ																							
澄	dzæ̃																							
懲	dzɪŋ																							
橙	dzæ̃																							
瞪	tæ̃																							
瞪	tɪŋ																							
蒸	tsɪŋ																							
拯	tsɪŋ																							
證	tsɪŋ																							
症	tsɪŋ																							
稱	tsʰɪŋ																							
稱	tsʰæ̃																							
秤	tsʰɪŋ																							
乘	zɪŋ																							
繩	zɪŋ																							
剩	sæ̃																							
剩	zɪŋ																							
升	sɪŋ																							
勝	sɪŋ																							
承	zɪŋ																							
丞	dzɪŋ																							
仍	zɪŋ																							
仍	ȵɪŋ																							
扔	zɪŋ																							
扔	ʑye																							
兢	kɪŋ																							
凝	ȵɪŋ																							
凝	ŋɪŋ																							
興	xɪŋ																							
應	ɪŋ																							
鷹	ɪŋ																							
蠅	sɪŋ																							
孕	ioŋ																							
孕	yn																							
北	pɐʔ																							
墨	mɐʔ																							
默	mɐʔ																							
德	tɐʔ																							
得	tɐʔ		tɐʔ得到																					
得	teʔ		曉得teʔ																					
忒	tʰɐʔ																							
特	dɐʔ																							
肋	lɐʔ																							
勒	lɐʔ																							
則	tsɐʔ																							
賊	zɐʔ																							
塞	sɐʔ																							
刻	kʰɐʔ																							
克	kʰɐʔ																							
黑	xɐʔ																							
逼	pieʔ		女陰																					
逼	peʔ		威逼peʔ																					
匿	ȵiɐʔ																							
力	lɐʔ																							
即	tseʔ																							
鯽	dzɪŋ																							
稷	tɕiɐʔ																							
稷	tsɐʔ																							
息	seʔ																							
熄	seʔ																							
熄	ɕiɐʔ																							
媳	seʔ																							
飭	xɐʔ																							
直	dzɐʔ																							
值	dzeʔ																							
側	tsʰɐʔ																							
測	tsʰɐʔ																							
惻	tsʰɐʔ																							
色	sɐʔ																							
織	tsɐʔ																							
職	tseʔ																							
食	zɐʔ																							
蝕	zɐʔ																							
式	seʔ																							
飾	seʔ																							
殖	zɐʔ																							
植	dzɐʔ																							
棘	kiɐʔ																							
極	ɡieʔ																							
憶	i																							
抑	ieʔ																							
弋	iɐʔ																							
翼	iɐʔ																							
翼	ieʔ																							
翼	ɕiɐʔ																							
弘	ɦoŋ																							
國	kuɐʔ																							
或	ɦuɐʔ																							
惑	ɦuɐʔ																							
域	ioʔ																							
域	yɐʔ																							
烹	pʰæ̃																							
彭	boŋ																							
彭	bæ̃																							
膨	bæ̃																							
盲	mɔ̃																							
猛	mæ̃																							
猛	moŋ																							
孟	moŋ																							
打	ta		ta打架ta打蕩車（散步、遛彎）																					
打	tai		單字音																					
冷	læ̃																							
撐	tsʰæ̃																							
澄	dzæ̃																							
橙	dzæ̃																							
鐺	tɔ̃																							
鐺	tsʰæ̃																							
生	sɪŋ																							
生	sæ̃																							
牲	sæ̃																							
笙	sæ̃																							
笙	sɪŋ																							
甥	sæ̃																							
省	sɪŋ		反省sɪŋ																					
省	sæ̃		江西省sæ̃																					
更	kæ̃																							
庚	kæ̃																							
羹	kæ̃																							
哽	kæ̃																							
更	kɪŋ																							
坑	kʰæ̃																							
硬	ŋæ̃																							
亨	xæ̃																							
行	ɦæ̃		ɦæ̃行政																					
行	ɦɔ̃		銀行ɦɔ̃																					
行	ɦɪŋ		ɦɪŋ行事																					
衡	ɦæ̃																							
杏	ɦæ̃																							
行	ɦɔ̃																							
浜	pæ̃																							
迸	pæ̃																							
棚	bæ̃		瓜棚bæ̃																					
棚	boŋ		茅棚boŋ																					
萌	mæ̃																							
萌	moŋ																							
爭	tsɪŋ																							
爭	tsɪŋ																							
爭	tsæ̃																							
箏	tsæ̃																							
睜	dzæ̃																							
耕	kæ̃																							
耿	kæ̃																							
莖	kɪŋ																							
幸	ɦɪŋ		ɦɪŋ幸虧																					
幸	ɦæ̃		ɦæ̃幸福																					
鶯	ɦioŋ																							
鶯	ȵɪŋ																							
鸚	ɪŋ																							
櫻	ɪŋ																							
兵	pɪŋ																							
丙	pɪŋ																							
秉	pɪŋ																							
柄	pɪŋ																							
柄	pæ̃																							
平	bɪŋ																							
評	bɪŋ																							
病	bɪŋ		bɪŋ病毒																					
病	bæ̃		生病bæ̃																					
明	ma		ma明年																					
明	mɪŋ		光明mɪŋ																					
明	mɐʔ		mɐʔ明日																					
鳴	mɪŋ																							
盟	mɪŋ																							
皿	mɪŋ																							
命	mɪŋ																							
驚	kɪŋ		kɪŋ驚蟄																					
驚	kuæ̃		kuæ̃驚儂（嚇人）																					
荊	kɪŋ																							
勁	kɪŋ																							
境	kɪŋ																							
景	kɪŋ																							
警	kɪŋ																							
敬	kɪŋ																							
竟	kɪŋ																							
鏡	kɪŋ																							
卿	kʰɪŋ																							
慶	kʰɪŋ																							
擎	ɡɪŋ																							
鯨	ɡɪŋ																							
競	ɡɪŋ																							
迎	ȵɪŋ																							
英	ɪŋ																							
影	ɪŋ																							
映	ɪŋ																							
餅	pɪŋ																							
並	pɪŋ		合並pɪŋ																					
並	bɪŋ		bɪŋ並排																					
聘	pʰɪŋ																							
名	mɪŋ																							
領	lɪŋ																							
嶺	lɪŋ																							
拎	læ̃																							
令	lɪŋ																							
令	læ̃																							
精	tsɪŋ																							
精	kɪŋ																							
晶	tsɪŋ																							
晶	kɪŋ																							
旌	tsɪŋ																							
睛	zɪŋ																							
井	tsɪŋ																							
清	tsʰɪŋ																							
請	tsʰɪŋ																							
情	dzɪŋ																							
晴	zɪŋ																							
靜	dzɪŋ																							
淨	dzɪŋ																							
省	sɪŋ		反省sɪŋ																					
省	sæ̃		江西省sæ̃																					
性	sɪŋ																							
姓	sɪŋ																							
貞	tsɪŋ																							
蟶	tsʰɪŋ																							
偵	tsɪŋ																							
逞	dzɪŋ																							
呈	dzɪŋ																							
程	dzɪŋ																							
鄭	dzɪŋ																							
正	tsɪŋ																							
征	tsɪŋ																							
整	tsɪŋ																							
政	tsɪŋ																							
正	tsæ̃																							
聲	sɪŋ																							
聖	sɪŋ																							
城	zɪŋ																							
成	zɪŋ																							
誠	zɪŋ																							
盛	zɪŋ		興盛zɪŋ																					
盛	zæ̃		zæ̃盛（姓氏）																					
頸	kɪŋ																							
勁	kɪŋ																							
勁	kɪŋ																							
輕	kʰɪŋ																							
嬰	ɪŋ																							
纓	ɪŋ																							
盈	ɦɪŋ																							
嬴	ɦɪŋ		ɦɪŋ嬴（姓氏）																					
嬴	ɪŋ		輸贏ɪŋ																					
姘	pʰɪŋ																							
拼	pʰɪŋ																							
瓶	bɪŋ																							
屏	bɪŋ																							
並	bɪŋ																							
銘	mɪŋ																							
冥	mɪŋ																							
閩	mɪŋ																							
敏	mɪŋ																							
暝	mɪŋ	mɪŋ	mɪŋ暝茫																					
暝	mæ̃	mæ̃	昨暝mæ̃																					
丁	tɪŋ																							
釘	tɪŋ																							
頂	tɪŋ																							
鼎	tɪŋ																							
釘	tɪŋ																							
訂	tɪŋ																							
聽	tʰɪŋ																							
汀	tʰɪŋ																							
廳	tʰɪŋ																							
町	tʰɪŋ																							
廷	dɪŋ																							
停	dɪŋ																							
亭	dɪŋ																							
庭	dɪŋ																							
蜓	dɪŋ																							
挺	tʰɪŋ																							
艇	tʰɪŋ																							
錠	dɪŋ																							
定	dɪŋ																							
寧	nɪŋ																							
寧	nɪŋ																							
佞	nɪŋ																							
靈	lɪŋ																							
零	lɪŋ																							
鈴	lɪŋ																							
鈴	lɪŋ																							
伶	lɪŋ																							
另	lɪŋ																							
青	tsʰɪŋ																							
蜻	tsʰɪŋ																							
星	sɪŋ																							
腥	sɪŋ																							
醒	sɪŋ																							
經	kɪŋ																							
徑	kɪŋ																							
磬	kʰɪŋ																							
罄	kʰɪŋ																							
刑	ɦɪŋ																							
型	ɦɪŋ																							
形	ɦɪŋ																							
百	pɐʔ																							
柏	pɐʔ																							
伯	pɐʔ																							
迫	pʰɐʔ																							
拍	pʰɐʔ																							
珀	pʰɐʔ																							
魄	pʰɐʔ																							
白	pɐʔ																							
帛	pɐʔ																							
陌	mɐʔ																							
陌	moʔ																							
拆	tsʰɐʔ																							
擇	dzɐʔ		選擇dzɐʔ																					
擇	deʔ		dɐʔ擇菜																					
澤	dzɐʔ		江澤dzɐʔ民																					
澤	dzeʔ		沼澤dzeʔ地																					
宅	dzɐʔ																							
窄	tsɐʔ																							
格	kɐʔ																							
客	kʰɐʔ																							
咳	kʰɐʔ																							
額	ŋɐʔ		龍門額ŋɐʔ																					
額	ŋeʔ		金額ŋeʔ																					
赫	xɐʔ																							
嚇	xɐʔ																							
麥	mɐʔ																							
脈	mɐʔ																							
摘	tsɐʔ																							
責	tsɐʔ																							
策	tsʰɐʔ																							
冊	tsʰɐʔ																							
柵	tsʰɐʔ																							
革	kɐʔ																							
隔	kɐʔ																							
核	ɦɐʔ		審核ɦɐʔ																					
核	ɦeʔ		ɦeʔ核桃																					
厄	ŋɐʔ																							
扼	ŋɐʔ																							
軛	ŋɐʔ																							
碧	pɐʔ																							
戟	kiɐʔ																							
隙	kʰieʔ																							
劇	kiɐʔ																							
屐	kiɐʔ																							
逆	lɐʔ																							
逆	ȵi																							
璧	pɐʔ																							
僻	pʰɐʔ																							
辟	pʰɐʔ																							
積	tsɐʔ																							
跡	tseʔ																							
脊	tseʔ																							
籍	dzɐʔ																							
藉	ʑiɐʔ																							
昔	sɐʔ																							
惜	sɐʔ																							
席	zɐʔ	zɐʔ	篾席zɐʔ																					
席	zeʔ	zɐʔ	主席zeʔ																					
夕	ʑi																							
夕	ʑiɐʔ																							
擲	dzɐʔ																							
隻	tsɐʔ																							
只	tseʔ																							
炙	tsɐʔ																							
赤	tsʰɐʔ																							
赤	tsʰeʔ																							
斥	tsʰɐʔ																							
尺	tsʰeʔ																							
射	ʑie																							
適	seʔ																							
釋	seʔ																							
石	zɐʔ		zɐʔ石榴																					
石	ʑiɐʔ		ʑiɐʔ石頭																					
石	dʑiɐʔ		bæ̃石dʑiɐʔ（一種石子）																					
碩	dʑiɐʔ																							
亿	i																							
艺	ȵi																							
益	ieʔ																							
亦	ieʔ																							
譯	iɐʔ																							
易	i		容易i																					
易	iɐʔ		iɐʔ易（姓氏）																					
液	iɐʔ																							
腋	iɐʔ																							
壁	peʔ																							
霹	pʰɐʔ																							
劈	pʰɐʔ																							
覓	mɐʔ																							
滴	teʔ																							
嫡	tɐʔ																							
的	teʔ																							
踢	tʰɐʔ																							
剔	tʰiʔ																							
剔	tʰeʔ																							
狄	dɐʔ																							
笛	dɐʔ																							
敵	deʔ																							
糴	deʔ																							
溺	ȵiʔ																							
溺	ȵiɐʔ																							
曆	lɐʔ																							
曆	leʔ																							
績	tseʔ																							
戚	tsʰeʔ																							
寂	dzɐʔ																							
寂	dʑiʔ																							
錫	ɕieʔ		ɕieʔ錫紙																					
錫	seʔ		無錫seʔ																					
析	seʔ																							
擊	kiʔ		拳擊kiʔ																					
擊	kieʔ		kieʔ擊鼓																					
激	kiɐʔ																							
吃	kʰieʔ		kʰieʔ吃虧																					
吃	kʰiʔ		kʰiʔ吃苦																					
礦																								
橫	ɦæ̃		ɦæ̃橫店																					
橫	uæ̃		uæ̃横峰（地名、山名）uæ̃橫豎uæ̃橫直																					
轟	xoŋ																							
宏	ɦoŋ																							
兄	xæ̃																							
兄	xioŋ																							
榮	kioŋ																							
榮	ioŋ																							
永	ioŋ																							
永	ioŋ																							
泳	ioŋ																							
詠	ioŋ																							
傾	kʰɪŋ																							
傾	kʰioŋ																							
頃	kʰɪŋ																							
頃	kʰioŋ																							
瓊	ɡioŋ																							
營	ioŋ																							
塋	ioŋ																							
穎	ioŋ																							
螢	ioŋ																							
螢	ȵɪŋ																							
迥	tɕioŋ																							
虢	kɐʔ																							
獲	ɦɐʔ																							
獲	ɦuɐʔ																							
劃	uɐʔ																							
役	iʔ																							
役	ioʔ																							
疫	ioʔ																							
疫	yɐʔ																							
篷	boŋ																							
蓬	boŋ																							
蒙	moŋ																							
懵	moŋ																							
東	toŋ		toŋ東西																					
東	tɔ̃		王tɔ̃東風（地名）																					
董	toŋ																							
懂	toŋ																							
棟	toŋ																							
凍	toŋ																							
通	tʰoŋ																							
桶	tʰoŋ																							
捅	tʰoŋ																							
痛	tʰoŋ																							
同	doŋ																							
銅	doŋ																							
桐	doŋ																							
筒	doŋ																							
童	doŋ																							
瞳	doŋ																							
動	doŋ																							
洞	doŋ																							
籠	loŋ																							
聾	loŋ																							
攏	loŋ																							
弄	loŋ																							
棕	tsoŋ																							
鬃	tsoŋ																							
總	tsoŋ																							
粽	tɕioŋ																							
粽	tsoŋ																							
聰	tsʰoŋ																							
匆	tɕʰioŋ																							
匆	tsʰoŋ																							
蔥	tsʰoŋ																							
囪	tɕʰioŋ																							
囪	tsʰoŋ																							
叢	dzoŋ																							
送	soŋ																							
公	koŋ																							
工	koŋ																							
功	koŋ																							
攻	koŋ																							
貢	koŋ																							
空	kʰoŋ																							
孔	kʰoŋ																							
控	kʰoŋ																							
空	kʰoŋ																							
烘	xoŋ																							
哄	xoŋ																							
紅	ɦoŋ																							
洪	ɦoŋ																							
鴻	ɦoŋ																							
鴻	koŋ																							
虹	kɔ̃																							
汞	koŋ																							
汞	koŋ																							
閧	ɦioŋ																							
閧	ɦoŋ																							
翁	oŋ																							
甕	oŋ																							
蕹	oŋ																							
冬	toŋ		toŋ冬間（冬季）																					
冬	tɔ̃		tɔ̃冬瓜																					
統	tʰoŋ																							
農	nen																							
膿	loŋ																							
膿	nen																							
宗	tɕioŋ		tɕioŋ宗家																					
宗	tsoŋ		tsoŋ宗族																					
松	zoŋ		zoŋ松樹																					
鬆	soŋ		soŋ鬆香																					
宋	soŋ																							
風	foŋ																							
風	fɔ̃																							
瘋	foŋ																							
諷	foŋ																							
豐	foŋ																							
馮	voŋ		voŋ馮玉祥（姓名）																					
馮	foŋ		foŋ馮恃																					
馮	bɪŋ		bɪŋ馮氣（脹氣）																					
鳳	voŋ																							
鳳	foŋ																							
夢	moŋ																							
冷	læ̃																							
隆	loŋ																							
龍	lioŋ		板龍lioŋ燈																					
龍	loŋ		loŋ龍（姓氏）																					
龍	liɔ̃		舞龍liɔ̃燈																					
種	tɕioŋ		tɕioŋ種菜																					
種	ioŋ		老種ioŋ寶																					
重	dʑioŋ		輕重dʑioŋ																					
重	dʑiɔ̃		重dʑiɔ̃(迭加、層層層迭)																					
中	toŋ		toŋ中秋																					
中	tɪŋ		tɪŋ中日(中午)																					
中	tioŋ		tioŋ中舉																					
中	tɕioŋ		tɕioŋ中國																					
忠	tɕioŋ																							
中	toŋ		toŋ中央																					
蟲	dʑioŋ		蚊蟲dʑioŋ																					
蟲	dʑiɔ̃		螢火蟲dʑiɔ̃																					
蟲	dɔ̃		蟲dɔ̃																					
仲																								
崇	zoŋ		zoŋ崇德																					
崇	dʑioŋ		dʑioŋ崇安（地名）																					
終	tɕioŋ																							
眾	tɕioŋ																							
充	tɕʰioŋ																							
銃	tɕʰioŋ																							
絨	ioŋ																							
戎	zoŋ																							
弓	koŋ																							
弓	kioŋ																							
躬	koŋ																							
躬	kioŋ																							
宮	kioŋ		kioŋ宮正楠（姓名）																					
宮	koŋ		故宮koŋ																					
穹	ɡioŋ																							
窮	ɡioŋ																							
熊	ɦioŋ																							
雄	ɦioŋ																							
融	ioŋ																							
封	foŋ																							
峰	foŋ																							
蜂	fɔ̃																							
鋒	foŋ																							
捧	pʰoŋ																							
逢	voŋ																							
逢	foŋ																							
縫	foŋ																							
奉	voŋ																							
奉	foŋ																							
俸	voŋ																							
俸	foŋ																							
縫	fɔ̃																							
濃	ȵiɔ̃																							
龍	lioŋ		板龍lioŋ燈																					
龍	loŋ		loŋ龍（姓氏）																					
龍	liɔ̃		舞龍liɔ̃燈																					
隴	loŋ																							
壟	loŋ																							
壟	loŋ																							
蹤	tɕioŋ																							
蹤	tsoŋ																							
縱	tɕioŋ																							
縱	tsoŋ																							
從	dzoŋ																							
從	dʑioŋ																							
慫	soŋ																							
慫	ʑioŋ																							
松	zoŋ		zoŋ松樹																					
鬆	soŋ		soŋ鬆香																					
誦	dzoŋ																							
頌	zoŋ																							
訟	zoŋ																							
塚	tɕioŋ																							
寵	tɕʰioŋ																							
重	dʑioŋ		輕重dʑioŋ																					
重	dʑiɔ̃		重dʑiɔ̃(迭加、層層層迭)																					
重	dʑioŋ		dʑioŋ重（量詞）																					
鐘	tioŋ		tioŋ鐘無豔（姓名）																					
鐘	tɕioŋ		tɕioŋ鐘錶																					
蠱	kuə		kuə蠱術																					
盅	tɕioŋ		酒盅tɕioŋ																					
種	tɕioŋ		tɕioŋ種菜tɕioŋ種豬（養豬）																					
種	ioŋ		老子種ioŋ（父種）老種ioŋ寶（心肝寶)																					
腫	tɕioŋ		tɕioŋ腫瘤																					
腫	ioŋ		腫ioŋ（症狀）																					
沖	tɕʰioŋ																							
舂	ʑioŋ		ʑioŋ舂揄																					
舂	ioŋ		米舂ioŋ																					
戎	ʑioŋ		眾戎ʑioŋ（藥材）																					
茸	ʑioŋ		鹿茸ʑioŋ																					
茸	ioŋ		ioŋ茸毛																					
冗	ȵioŋ																							
恭	kioŋ		kioŋ恭（姓氏）																					
恭	koŋ		koŋ恭喜																					
供	koŋ		koŋ供銷社																					
供	kioŋ		kioŋ供養																					
拱	kioŋ		星拱kioŋ																					
拱	koŋ		koŋ拱橋																					
鞏	kioŋ		kioŋ鞏（姓氏）																					
鞏	koŋ		koŋ鞏固koŋ鞏金甌																					
恐	kʰioŋ		惶恐kʰioŋ																					
恐	kʰoŋ		kʰoŋ恐怖																					
共	ɡioŋ		ɡioŋ共世																					
共	ɡoŋ		ɡoŋ共工																					
胸	xioŋ																							
凶	xioŋ		凶煞																					
凶	xioŋ		吉凶																					
雍	ioŋ		ioŋ雍正																					
擁	ioŋ																							
雍	ɦioŋ		ɦioŋ雍閑																					
容	ioŋ																							
熔	ioŋ																							
庸	ɦioŋ																							
甬	ioŋ																							
勇	ioŋ																							
湧	ioŋ																							
用	ioŋ																							
蔔	bɐʔ																							
撲	pʰɐʔ																							
僕	bɐʔ																							
僕	buə																							
曝	bɐʔ																							
曝	bɐɯ																							
瀑	bɐʔ																							
木	moʔ		moʔ木魚（樂器、法器）																					
木	mɐʔ		mɐʔ木頭戲（傀儡戲）																					
沐	moʔ																							
禿	tʰɐʔ																							
獨	dɐʔ																							
讀	dɐʔ																							
牘	dɐʔ																							
鹿	lɐʔ																							
鹿	luə																							
祿	lɐʔ																							
族	ʑiɐʔ		ʑiɐʔ族望																					
族	dzɐʔ		宗族dzɐʔ																					
速	soʔ																							
穀	koʔ		五穀koʔ																					
穀	kɐʔ		稻穀kɐʔ																					
穀	kuə		山谷kuə																					
哭	kʰoʔ																							
斛	ɦɐʔ																							
屋	oʔ		廳屋oʔ																					
屋	uɐʔ		uɐʔ屋基																					
篤	tɐʔ																							
督	teʔ		監督teʔ																					
督	toʔ		toʔ督查																					
督	tuə		基督tuə教																					
毒	dɐʔ		膿毒dɐʔ																					
毒	doʔ		惡毒doʔ																					
酷	kʰoʔ																							
沃	uɐʔ																							
福	fɐʔ																							
幅	fɐʔ																							
蝠	fɐʔ																							
複	foʔ																							
腹	poʔ																							
覆	pɐʔ		pɐʔ覆（扒）																					
服	vɐʔ		vɐʔ服侍																					
服	voʔ		voʔ服務																					
伏	buə		buə伏（孵）																					
伏	vɐʔ		埋伏vɐʔ																					
袱	vɐʔ																							
袱	fɐʔ																							
目	meʔ																							
目	moʔ																							
穆	mɐʔ																							
穆	moʔ																							
牧	mɐʔ																							
牧	moʔ																							
五	lɐʔ																							
六	loʔ																							
陸	lɐʔ																							
陸	loʔ																							
戮	lɐʔ																							
肅	seʔ																							
肅	soʔ																							
夙	seʔ																							
宿	səɯ		星宿səɯ																					
宿	soʔ		住宿soʔ																					
竹	tioʔ		tioʔ竹床																					
竹	tɕyɐʔ		tɕyɐʔ竹工																					
築	tiɐʔ																							
畜	xioʔ		xioʔ畜牧																					
畜	tɕʰioʔ		tɕʰioʔ畜生																					
逐	dʑiɐʔ																							
軸	dʑiɐʔ		dʑiɐʔ軸承																					
軸	dzɐʔ		捲軸dzɐʔ																					
縮	ɕyɐʔ		萎縮ɕiɐʔ																					
縮	seʔ		seʔ縮水																					
祝	tɕioʔ																							
粥	tɕioʔ																							
叔	ɕioʔ																							
熟	ʑioʔ		ʑioʔ熟透																					
熟	dʑiɐʔ		dʑiɐʔ熟年																					
淑	ɕioʔ		明淑ɕioʔ																					
淑	seʔ		seʔ淑女																					
肉	ȵioʔ		紅燒肉ȵioʔ																					
肉	ȵiɐʔ		ȵiɐʔ肉丸																					
菊	kioʔ																							
曲	kʰioʔ																							
畜	xioʔ		xioʔ畜牧																					
畜	tɕʰioʔ		tɕʰioʔ畜生																					
蓄	xioʔ		養精蓄xioʔ銳																					
蓄	xyeʔ		蓄xyeʔ錢（存錢）																					
觸	tɕʰiɐʔ		接觸tɕʰiɐʔ																					
觸	dʑiɐʔ		dʑiɐʔ觸電																					
鋤	za																							
鬱	yɐʔ		山郁yɐʔ珍奇																					
育	ioʔ																							
綠	loʔ		loʔ綠林好漢																					
綠	lɐʔ		碧綠lɐʔ																					
錄	lɐʔ																							
足	tsoʔ		知足tsoʔ																					
足	tɕioʔ		手足tɕioʔ																					
促	tsʰoʔ																							
粟	seʔ																							
俗	ʑioʔ																							
續	ʑioʔ																							
燭	tɕiɐʔ																							
囑	tɕioʔ																							
觸	tɕʰioʔ		接觸tɕʰioʔ																					
觸	dʑiɐʔ		dʑiɐʔ觸電																					
贖	ʑiɐʔ																							
束	ɕioʔ		ɕioʔ束身																					
束	soʔ		約束soʔ																					
蜀	ʑioʔ		巴蜀ʑioʔ																					
蜀	dʑiɐʔ		dʑiɐʔ蜀魄																					
屬	ʑioʔ																							
辱	ʑioʔ		榮辱ʑioʔ																					
辱	luə		侮辱luə																					
褥	ʑioʔ																							
鋦	kiɐʔ																							
曲	kʰiɐʔ		曲kʰiɐʔ（姓氏）																					
曲	kʰioʔ		戲曲kʰioʔ																					
曲	kʰiɐʔ		文曲kʰiɐʔ星（星宿神官）																					
局	ɡiɐʔ																							
玉	ȵioʔ		ȵioʔ玉佩																					
玉	ȵiɐʔ		ȵiɐʔ玉山																					
獄	ȵiɐʔ																							
旭	xiɐʔ																							
欲	yeʔ																							
浴	ioʔ																							
欲	yeʔ																							
京	kɪŋ																							
經	kɪŋ																							
津	tɕioŋ																							
鏡	kɪŋ																							
靜	dzɪŋ																							
精	tsɪŋ																							
敬	kɪŋ																							
晴	zɪŋ																							
近	ɡɪŋ		ɡɪŋ近視眼																					
近	ɡæ̃		ɡæ̃近近兒（非常近）																					
金	kɪŋ																							
盡	dzɪŋ																							
晉	tɕioŋ		tɕioŋ晉（姓氏）																					
晉	tsɪŋ		tsɪŋ晉級																					
琴	ɡɪŋ																							
秦	dʑioŋ		dʑioŋ秦峰（地名）																					
秦	dzɪŋ		dzɪŋ秦叔寶（姓名）																					
元	ȵyẽ																							
圓	yẽ																							
願	ȵyẽ																							
遠	xoŋ		老遠xoŋ（好遠、很遠）																					
遠	yẽ		望遠yẽ鏡																					
源	ȵyẽ																							
園	xoŋ		菜園xoŋ																					
園	yẽ		公園yẽ																					
緣	yẽ																							
原	ȵyẽ																							
淵	yẽ																							
冤	yẽ																							
信	sɪŋ																							
心	sɪŋ																							
新	sɪŋ																							
鑫	xɪŋ		皓鑫xɪŋ																					
鑫	sɪŋ		sɪŋ鑫鑫																					
辛	sɪŋ																							
欣	xɪŋ																							
興	xɪŋ																							
姓	sɪŋ																							
醒	sɪŋ		清醒sɪŋ																					
醒	sæ̃		sæ̃醒蘇																					
幸	ɦɪŋ		萬幸ɦɪŋ																					
幸	ɦæ̃		ɦæ̃幸福																					
杏	ɦɪŋ		ɦɪŋ杏花																					
杏	ɦæ̃		ɦæ̃杏仁																					
燈	tɪŋ		板龍燈tɪŋ(舞橋燈)																					
燈	tæ̃		舞龍燈tæ̃																					
竹	tioʔ		tioʔ竹床																					
竹	tɕyɐʔ		tɕyɐʔ竹工																					
桌	tiɐʔ		八仙桌tiɐʔ																					
桌	tɕyɐʔ		tɕyɐʔ桌（姓氏）																					
豬	ta		生豬ta頭																					
轉	tyẽ		tyẽ轉去（回去、回家）																					
轉	tɕyẽ		tɕyẽ轉告																					
賬	tiã		賒帳tiã																					
張	tiã		千張tiã皮（豆製品）																					
張	tɕiã		tɕiã張仲景（姓名）																					
長	dæ̃		dæ̃長（量詞）dæ̃長短																					
