IPA	調類	調值	調型	字				
ʦʰən	3	31	˧˩	忖惩逞宠				
ʦʰən	5	55	˥	趁寸蹭称相(～秤，一杆～)				
sən	1	33	˧	森参(人～)渗深身申伸孙僧塍升生牲笙甥声松嵩				
sən	2	13	˩˧	神				
sən	3	31	˧˩	审婶慎损笋榫省怂				
sən	5	55	˥	甚肾胜剩盛(兴～)送宋诵颂讼				
ʐən	2	13	˩˧	人仁				
ʐən	5	55	˥	刃韧				
ʐən	7	24	˨˦	认				
kən	1	33	˧	跟根更庚羹耕公蚣工功攻弓躬宫恭				
kən	3	31	˧˩	哽埂梗耿汞巩				
kən	5	55	˥	更(～加)贡拱供共				
kən	7	24	˨˦	羾(钻)□(用力)				
kʰən	1	33	˧	坑空(～虚)				
kʰən	3	31	˧˩	恳垦啃（文）肯（文）孔恐				
kʰən	5	55	˥	控空(～缺)				
ŋən	1	33	˧	恩硬翁				
ŋən	3	31	˧˩	□(扎脚：石头～脚)				
xən	1	33	˧	亨烘				
xən	2	13	˩˧	痕恒弘衡				
xən	3	31	˧˩	很（文）				
xən	5	55	˥	恨（文）				
ən	3	31	˧˩	忍				
pin	1	33	˧	彬宾槟鬓冰兵				
pin	2	13	˩˧	贫频盆凭平坪评瓶屏				
pin	3	31	˧˩	禀丙秉柄饼				
pin	5	55	˥	殡姘并				
pin	7	24	˨˦	病（文）				
pʰin	1	33	˧	拼				
pʰin	3	31	˧˩	品				
pʰin	5	55	˥	聘				
min	1	33	˧	命（文）				
min	2	13	˩˧	民门（白）鸣明名铭				
min	3	31	˧˩	悯敏抿皿				
tin	1	33	˧	丁钉（文）锭				
tin	2	13	˩˧	亭停廷庭蜓				
tin	3	31	˧˩	顶鼎				
tin	5	55	˥	订定灯（白）				
tin	7	24	˨˦	邓（白）				
tʰin	1	33	˧	厅汀听（文）				
tʰin	3	31	˧˩	艇挺				
tʰin	7	24	˨˦	吞（白）				
lin	1	33	˧	凝				
lin	2	13	˩˧	林淋邻鳞磷陵凌菱凝宁灵零铃伶翎				
lin	3	31	˧˩	檩领岭				
lin	5	55	˥	赁吝令另				
ʨin	1	33	˧	今禁襟津巾斤筋茎京惊鲸精晶睛经径				
ʨin	2	13	˩˧	禽擒秦勤芹擎情晴琼穷寻（白）				
ʨin	3	31	˧˩	锦尽(～前)紧仅谨境景警井颈				
ʨin	5	55	˥	浸金禁(～止)进晋尽劲近敬竟镜竞静靖净				
ʨʰin	1	33	˧	青清轻侵倾（文）亲(～人)				
ʨʰin	3	31	˧˩	寝请				
ʨʰin	5	55	˥	亲(～家)庆磬				
ɕin	1	33	˧	心辛新薪欣兴(～旺)幸星兄胸凶				
ɕin	2	13	˩˧	行形型刑熊雄				
ɕin	3	31	˧˩	醒□(蠢：～里～气)				
ɕin	5	55	˥	信讯兴(高～)杏性姓腥				
in	1	33	˧	音阴荫因姻殷鹰蝇莺鹦樱英婴缨				
in	2	13	˩˧	淫银寅迎盈赢营萤荥戎绒融茸容蓉				
in	3	31	˧˩	饮引隐影泳咏颖冗拥甬勇涌				
in	5	55	˥	任印应映庸用				
kuən	3	31	˧˩	滚				
kuən	5	55	˥	棍				
kʰuən	1	33	˧	昆坤				
kʰuən	3	31	˧˩	捆				
kʰuən	5	55	˥	困				
uən	1	33	˧	温瘟				
uən	2	13	˩˧	文纹蚊闻				
uən	5	55	˥	问				
ʨyn	1	33	˧	均钧菌君军郡				
ʨyn	2	13	˩˧	群裙				
ʨyn	3	31	˧˩	准				
ʨyn	5	55	˥	俊				
ʨʰyn	1	33	˧	春椿				
ʨʰyn	3	31	˧˩	蠢				
ʨʰyn	5	55	˥	□(～通一笑)				
ʨʰyn	7	24	˨˦	屈				
ɕyn	1	33	˧	熏勋熏				
ɕyn	2	13	˩˧	寻（文）荀旬循巡纯莼(～菜)醇				
ɕyn	5	55	˥	逊迅殉顺舜训				
yn	1	33	˧	云晕				
yn	2	13	˩˧	匀荣				
yn	3	31	˧˩	允尹永				
yn	5	55	˥	润闰熨韵运孕				
məu	1	33	˧	没				
fəu	3	31	˧˩	否				
təu	1	33	˧	都兜逗				
təu	2	13	˩˧	徒屠途涂图投独				
təu	3	31	˧˩	堵赌肚(鱼～)抖陡笃				
təu	5	55	˥	杜肚(腹～)度渡镀斗豆				
təu	7	24	˨˦	督毒				
tʰəu	1	33	˧	偷				
tʰəu	2	13	˩˧	读				
tʰəu	3	31	˧˩	土吐				
tʰəu	7	24	˨˦	兔透突秃				
ləu	1	33	˧	路露鹭漏陋				
ləu	2	13	˩˧	奴庐炉芦鸬楼耧				
ləu	3	31	˧˩	努鲁橹虏卤篓搂				
ləu	5	55	˥	怒赂陆绿录				
ʦəu	1	33	˧	租邹周舟州洲陬(～市)				
ʦəu	2	13	˩˧	锄竹				
ʦəu	3	31	˧˩	祖组阻走肘帚				
ʦəu	5	55	˥	做奏昼纣宙皱绉骤咒粥嘱				
ʦʰəu	1	33	˧	粗初抽				
ʦʰəu	2	13	˩˧	绸稠筹愁仇酬				
ʦʰəu	3	31	˧˩	楚础丑瞅				
ʦʰəu	5	55	˥	醋助凑臭(香～)				
ʦʰəu	7	24	˨˦	猝族畜逐轴促触				
səu	1	33	˧	搜飕馊收				
səu	3	31	˧˩	数(动词)手首守				
səu	5	55	˥	漱兽受寿授售熟				
səu	7	24	˨˦	速肃宿叔淑俗续赎束蜀属				
ʐəu	2	13	˩˧	柔揉				
kəu	1	33	˧	勾钩沟彀勾□(弯：～起腰)				
kəu	3	31	˧˩	狗苟				
kəu	5	55	˥	够构购				
kʰəu	1	33	˧	抠眍				
kʰəu	3	31	˧˩	口				
kʰəu	5	55	˥	叩扣寇				
ŋəu	1	33	˧	欧瓯殴				
ŋəu	3	31	˧˩	藕偶呕				
ŋəu	5	55	˥	沤怄				
xəu	2	13	˩˧	侯喉猴瘊(～子)				
xəu	3	31	˧˩	吼				
xəu	5	55	˥	后厚候				
pʰiəu	3	31	˨˩	□(过滤)				
tiəu	1	33	˧	丢				
tiəu	2	13	˩˧	条				
tiəu	5	55	˥	钓吊				
tʰiəu	5	55	˥	跳				
liəu	2	13	˩˧	流刘留榴硫琉馏牛				
liəu	3	31	˧˩	纽扭柳				
liəu	5	55	˥	尿料溜廖(姓)六				
ʨiəu	1	33	˧	鸠纠揪□(眼睛一～起)				
ʨiəu	2	13	˩˧	求球囚泅游水				
ʨiəu	3	31	˧˩	酒九久韭玖				
ʨiəu	5	55	˥	就灸救究臼舅咎旧柩				
ʨʰiəu	1	33	˧	秋丘鳅□(亲嘴)				
ɕiəu	1	33	˧	淆修羞休				
ɕiəu	3	31	˧˩	朽				
ɕiəu	5	55	˥	笑秀宿袖瘦绣				
ɕiəu	7	24	˨˦	锈蓄(储～)畜(～牧)				
iəu	1	33	˧	忧优悠幽肉攸				
iəu	2	13	˩˧	尤邮由油游犹				
iəu	3	31	˧˩	有友酉莠				
iəu	5	55	˥	又右诱柚鼬釉				
iəu	7	24	˨˦	幼畜育狱欲浴				
paŋ	1	33	˧	邦				
paŋ	2	13	˩˧	蚌				
paŋ	3	31	˧˩	绑				
paŋ	5	55	˥	棒				
pʰaŋ	1	33	˧	胮(前加成分：～臭的)				
pʰaŋ	5	55	˥	胖				
maŋ	2	13	˩˧	芒盲虻				
faŋ	1	33	˧	芳				
faŋ	2	13	˩˧	簧蝗肪妨房防				
faŋ	3	31	˧˩	晃仿访谎				
tʰaŋ	5	55	˥	烫				
laŋ	2	13	˩˧	郎廊狼				
laŋ	3	31	˧˩	朗				
laŋ	5	55	˥	浪				
ʦaŋ	1	33	˧	赃脏张章樟				
ʦaŋ	2	13	˩˧	藏(隐～)长(～短)肠				
ʦaŋ	3	31	˧˩	长(生～)涨掌				
ʦaŋ	5	55	˥	葬臧藏(西～)帐账胀丈仗杖障瘴				
ʦʰaŋ	1	33	˧	仓苍昌				
ʦʰaŋ	3	31	˧˩	厂				
ʦʰaŋ	5	55	˥	畅创唱倡				
saŋ	3	31	˧˩	裳偿赏				
saŋ	5	55	˥	上尚				
kaŋ	1	33	˧	豇				
kaŋ	3	31	˧˩	讲港				
kʰaŋ	2	13	˩˧	扛				
kʰaŋ	5	55	˥	抗炕				
ŋaŋ	1	33	˧	骯				
ŋaŋ	2	13	˩˧	昂				
xaŋ	1	33	˧	项				
xaŋ	2	13	˩˧	行(～列)航杭				
xaŋ	7	24	˨˦	巷				
liaŋ	2	13	˩˧	量(～长短)粮梁粱				
liaŋ	5	55	˥	酿亮谅量(数～)				
ʨiaŋ	1	33	˧	疆僵姜礓缰江				
ʨiaŋ	2	13	˩˧	详祥强□(踩：～一脚)				
ʨiaŋ	3	31	˧˩	蒋奖桨匠				
ʨiaŋ	5	55	˥	浆酱将(大～)降(下～)				
ʨʰiaŋ	1	33	˧	羌腔				
ʨiaŋ	2	13	˩˧	墙				
ʨiaŋ	3	31	˧˩	抢强				
ʨiaŋ	5	55	˥	枪				
ɕiaŋ	1	33	˧	相(互～)箱厢湘襄镶相(～貌)象橡香乡向				
ɕiaŋ	2	13	˩˧	降(投～)				
ɕiaŋ	3	31	˧˩	想晌享响				
ɕiaŋ	7	24	˨˦	像				
iaŋ	1	33	˧	央秧殃				
iaŋ	2	13	˩˧	羊洋烊杨阳扬疡				
iaŋ	3	31	˧˩	仰养痒				
kuaŋ	1	33	˧	光胱				
kuaŋ	3	31	˧˩	广				
kuaŋ	5	55	˥	逛				
kʰuaŋ	1	33	˧	匡筐眶倾（白）				
kʰuaŋ	2	13	˩˧	狂				
kʰuaŋ	3	31	˧˩	□(用东西罩住：把饭～起)				
kʰuaŋ	5	55	˥	旷况矿犷				
xuaŋ	1	33	˧	横(床～子)				
uaŋ	1	33	˧	汪				
uaŋ	2	13	˩˧	亡王				
uaŋ	3	31	˧˩	网辋枉往				
uaŋ	5	55	˥	旺望				
yaŋ	3	31	˧˩	曩壤攘嚷				
məŋ	2	13	˩˧	萌				
məŋ	3	31	˧˩	猛懵蠓				
məŋ	5	55	˥	闷孟梦				
foŋ	2	13	˩˧	冯逢缝(～衣服)				
xoŋ	1	33	˧	轰				
xoŋ	2	13	˩˧	虹宏红洪鸿				
xoŋ	3	31	˧˩	哄				
sẽ	5	55	˥	膻搧扇				
piẽ	1	33	˧	鞭编边				
piẽ	2	13	˩˧	便(～宜)				
piẽ	3	31	˧˩	贬蝙扁匾				
piẽ	5	55	˥	变辨辩汴便(方～)遍辫				
pʰiẽ	1	33	˧	篇偏				
pʰiẽ	5	55	˥	骗片				
miẽ	2	13	˩˧	绵棉眠				
miẽ	3	31	˧˩	免勉娩缅渑				
miẽ	5	55	˥	面				
tiẽ	1	33	˧	颠				
tiẽ	2	13	˩˧	甜田填				
tiẽ	3	31	˧˩	点典				
tiẽ	5	55	˥	店电殿奠佃垫				
tʰiẽ	1	33	˧	添天				
tʰiẽ	3	31	˧˩	舔				
liẽ	1	33	˧	拈研				
liẽ	2	13	˩˧	廉镰帘阎鲇连联年怜莲				
liẽ	3	31	˧˩	敛殓脸碾辇撵				
liẽ	5	55	˥	验念练炼恋				
ʨiẽ	1	33	˧	监尖兼艰间(中～)奸煎肩坚				
ʨiẽ	2	13	˩˧	钳钱虔掮				
ʨiẽ	3	31	˧˩	检俭剑简拣剪茧趼				
ʨiẽ	5	55	˥	渐间(～断)谏涧箭溅践贱饯犍件建键健腱荐见				
ʨʰiẽ	1	33	˧	歼签谦迁笺千牵				
ʨʰiẽ	2	13	˩˧	欠歉挦(拔：～鸡毛)				
ʨʰiẽ	3	31	˧˩	潜浅遣前				
ɕiẽ	1	33	˧	仙鲜(新～)先				
ɕiẽ	2	13	˩˧	嫌涎贤弦				
ɕiẽ	3	31	˧˩	险鲜(～少)癣显				
ɕiẽ	5	55	˥	陷馅线羡宪献现县				
kʰiẽ	3	31	˨˩	肯（白）啃（白）				
xiẽ	3	31	˨˩	很（白）				
xiẽ	5	55	˥	恨（白）				
iẽ	1	33	˧	淹阉焉烟				
iẽ	2	13	˩˧	炎盐檐盐腌严颜谚延筵言				
iẽ	3	31	˧˩	掩魇俨眼演				
iẽ	5	55	˥	厌艳焰犍堰燕宴				
ʨyẽ	1	33	˧	专砖捐				
ʨyẽ	2	13	˩˧	传(～达)椽船拳权颧				
ʨyẽ	3	31	˧˩	转(～送)卷(～起)				
ʨyẽ	5	55	˥	撰篆传(～记)眷卷绢倦				
ʨʰyẽ	1	33	˧	川穿串圈				
ʨʰyẽ	2	13	˩˧	全				
ʨʰyẽ	5	55	˥	劝券				
ɕyẽ	1	33	˧	掀宣喧				
ɕyẽ	2	13	˩˧	旋玄悬眩				
ɕyẽ	3	31	˧˩	选				
yẽ	1	33	˧	轩冤宛怨				
yẽ	2	13	˩˧	然燃圆员缘沿元原源阮袁辕园援				
yẽ	3	31	˧˩	染冉软远				
yẽ	5	55	˥	院愿渊				
põ	1	33	˧	搬				
põ	2	13	˩˧	盘旁螃彭				
põ	5	55	˥	半伴				
mõ	2	13	˩˧	瞒				
fõ	1	33	˧	方				
tõ	1	33	˧	端				
tõ	2	13	˩˧	团				
tõ	3	31	˧˩	断锻段缎椴				
tõ	7	24	˨˦	短				
lõ	1	33	˧	乱				
ʦõ	1	33	˧	桩庄装				
ʦõ	2	13	˩˧	床常尝				
ʦõ	5	55	˥	钻状				
ʦõ	7	24	˨˦	壮撞				
ʦʰõ	1	33	˧	疮				
ʦʰõ	3	31	˧˩	场闯				
ʦʰõ	7	24	˨˦	窗				
sõ	1	33	˧	酸霜孀商伤双				
sõ	5	55	˥	算蒜				
kõ	1	33	˧	官棺观(参～)				
kõ	3	31	˧˩	管馆				
kõ	5	55	˥	贯灌罐观(寺～)冠杠				
kʰõ	1	33	˧	宽				
kʰõ	3	31	˧˩	款				
kʰõ	7	24	˨˦	康糠慷				
xõ	1	33	˧	荒				
õ	3	31	˧˩	碗				
liõ	2	13	˩˧	娘				
iõ	5	55	˥	让样				
uõ	2	13	˩˧	黄皇				
