	注释：-白讀					
tsʰ	[1]簽殲僉[2]橙-[3]槧[5]僭					
s	[1]摻[2]蟾尋{兩手量物}[3]閃陝[6]暹贍					
dz	[3]染冉苒					
k	[1]兼蒹鶼緘[2]鹹-[3]減檢撿[5]劍					
kʰ	[1]謙[2]鉗黔箝[3]慊歉[5]欠芡[6]儉					
ɡ	[2]嚴釅岩[3]儼[1]驗					
h	[1]薟鍁[2]嫌[3]險[5]喊-					
∅	[1]奄淹醃閹饜[2]炎鹽閆簷[3]掩靨[5]厭[6]焰豔灩					
#iap						
t	[8]諜喋蝶堞					
tʰ	[7]貼帖[8]疊					
l	[7]聶攝捏[8]粒					
ts	[7]接汁					
tsʰ	[7]妾竊					
s	[7]澀霎[8]涉					
