字目	音节	声调	注释	备注		
朽	ʂiu	31				
羞	siu	44				
修	siu	44				
休	ʂiu	44				
熊	iuŋ	13				
雄	hiuŋ	13				
胸	hiuŋ	44				
兄	hiuŋ	44				
凶	hiuŋ	44				
興	ʂin	44	～旺			
興	ʂin	53	高～			
姓	siaŋ	53				
性	siaŋ	53	發～，發脾氣			
幸	hen	31				
杏	hen	31				
醒	siaŋ	31				
型	ʂin	13				
形	ʂin	13				
刑	ʂin	13				
腥	siaŋ	44				
星	sin	44				
信	sin	53				
馨	ʂin	44				
薪	sin	44				
新	sin	44				
欣	hin	44				
辛	sin	44				
心	sim	44				
蟹	hai	31				
瀉	sia	53				
謝	tsʰia	31	姓			
謝	tsʰia	53	多～			
懈	hai	31				
械	hai	53				
屑	set	1	木～			
泄	set	1	～漏			
寫	sia	31				
諧	ai	53	和～			
鞋	hai	13				
斜	sia	13				
脅	hiap	1				
挾	kʰiap	5	～菜			
協	hiap	1				
邪	sia	13				
蠍	ʂet	1				
歇	ʂet	1				
些	sia	44				
效	hau	31	～果			
笑	siau	53				
校	kau	31	～對；上～			
孝	hau	53				
曉	hiau	31	～得，會			
小	siau	31				
淆	ŋau	13				
囂	hiau	44	～張			
銷	siau	44				
霄	siau	44				
硝	siau	44				
宵	siau	44				
消	siau	44				
肖	siau	44				
像	sioŋ	31	文			
像	tsʰioŋ	53	白			
項	hoŋ	31				
象	sioŋ	31				
巷	hoŋ	31				
向	ʂoŋ	53				
響	ʂoŋ	31				
餉	ʂoŋ	31				
想	sioŋ	31				
享	ʂoŋ	31				
詳	sioŋ	13				
翔	sioŋ	13				
祥	sioŋ	13				
瓖	sioŋ	44				
襄	sioŋ	44				
箱	sioŋ	44				
廂	sioŋ	44				
鄉	ʂoŋ	44				
香	ʂoŋ	44				
相	sioŋ	44				
獻	hien	53				
憲	hien	53				
餡	ham	31				
縣	ien	31				
線	sen	53				
羨	sen	31	～慕			
現	hien	31				
陷	ham	31				
莧	han	31	～菜			
限	han	31				
顯	hien	31				
險	hiam	31				
蜆	han	31				
嫻	han	13				
賢	hien	13				
銜	ham	13				
嫌	hiam	13				
閑	han	13				
涎	ien	13				
弦	hien	13				
鮮	sen	44	新～			
鮮	sen	31	～少			
掀	hien	44				
先	sen	44				
仙	sen	44				
嚇	hak	1	恐～			
夏	ha	31				
下	ha	44	底～			
下	ha	31	～降			
霞	ha	13				
轄	kot	1				
睱	ha	13				
暇	ha	13				
遐	ha	13				
狹	hiap	1				
峽	hiap	1				
蝦	ha	13	魚～			
瞎	hat	1	～眼			
戲	hi	53				
細	se	53				
系	he	53				
蟢	hi	31				
喜	hi	31				
洗	se	31				
襲	sip	5				
媳	sit	1				
習	sip	5				
犧	hi	44				
膝	tsʰit	1				
熄	sit	1				
熙	hi	44				
溪	hai	44				
犀	si	44				
稀	hi	44				
惜	sit	1				
烯	ien	13				
悉	sit	1				
息	sit	1				
昔	sit	1				
希	hi	44				
吸	kip	1				
西	si	44				
夕	sit	5				
霧	vu	53				
誤	ŋu	53				
塢	vu	44				
務	vu	53				
悟	ŋu	53				
物	fut	5				
杌	fut	1				
戊	vu	31				
勿	fut	5				
兀	fut	1				
鵡	vu	44				
舞	vu	31				
侮	vu	44				
武	vu	44				
伍	ŋ	31				
午	ŋ	31				
五	ŋ	31				
蜈	ŋ	13				
無	vu	13				
梧	ŋ	13				
唔	m	13				
吳	ŋ	13				
吾	ŋ	13				
誣	mu	13				
烏	vu	44				
屋	vuk	1				
巫	mu	13				
握	vok	1				
臥	ŋo	53				
沃	vok	1				
我	ŋo	44				
蝸	vo	44				
窩	vo	44				
倭	vo	44				
甕	uŋ	53				
翁	uŋ	44				
問	mun	53				
穩	vun	31				
刎	fut	5				
聞	vun	13				
紋	vun	13				
蚊	mun	44				
文	vun	13				
瘟	vun	44				
溫	vun	44				
魏	ŋui	31				
謂	vi	31				
慰	vi	31				
衛	vi	31				
蝟	vi	31				
胃	vi	31				
畏	vi	31				
味	mi	31				
位	vi	31				
未	vi	31				
緯	vi	31				
僞	ŋui	31				
葦	vi	31				
偉	vi	31				
萎	vi	44				
委	vi	44				
尾	mi	44				
維	vi	13				
違	vi	13				
爲	vi	13	作～；～什么			
圍	vi	13				
惟	vi	13				
唯	vi	13				
巍	ŋui	13				
煨	voi	44	～番薯			
微	fi	44				
微	mi	13				
威	vi	44				
危	ŋui	13				
望	moŋ	31	白			
望	moŋ	53				
旺	voŋ	31				
忘	moŋ	13				
妄	moŋ	31				
網	mioŋ	31				
往	voŋ	44				
枉	voŋ	31				
王	voŋ	13				
汪	voŋ	44				
腕	von	31				
萬	van	31				
碗	von	31				
皖	von	31				
晚	van	44				
挽	van	44				
頑	ŋan	13	～皮；～固			
完	van	13				
丸	ien	13	肉～			
灣	van	44				
彎	van	44				
豌	van	44	豆～			
剜	van	44				
外	ŋoi	53				
歪	vai	44				
襪	mat	1				
瓦	ŋa	31				
窪	va	44				
蛙	va	44				
挖	va	44	文			
挖	vet	1	白			
唾	tʰo	31				
拓	tʰok	1				
橢	tʰo	31				
妥	tʰo	31				
駝	tʰo	13				
馱	tʰo	13				
砣	tʰo	13	秤～			
脫	tʰot	1				
拖	tʰo	44				
托	tʰok	1				
臀	tʰun	13				
飩	tʰun	44				
豚	tʰun	13				
囤	tʰun	31				
屯	tʰun	13				
吞	tʰun	44				
蛻	tʰoi	53	～皮			
退	tʰui	53				
腿	tʰui	31				
推	tʰui	44				
團	tʰon	13				
兔	tʰu	53				
吐	tʰu	53				
土	tʰu	31				
圖	tʰu	13				
塗	tʰu	13				
屠	tʰu	13				
途	tʰu	13				
徒	tʰu	13				
突	tʰut	1				
禿	tʰut	5				
透	tʰeu	53				
敨	tʰeu	31	～氣，喘氣			
殕	pʰu	13	生～，發霉			
頭	tʰeu	13				
投	tʰeu	13				
偷	tʰeu	44				
痛	tʰuŋ	53				
統	tʰuŋ	31				
筒	tʰuŋ	13				
桶	tʰuŋ	31				
捅	tʰuŋ	31				
瞳	tʰuŋ	13				
銅	tʰuŋ	13				
童	tʰuŋ	13				
桐	tʰuŋ	13				
同	tʰuŋ	13				
熥	tʰuŋ	44				
通	tʰuŋ	44				
通	ʂu	31				
艇	tʰiaŋ	31				
挺	tʰin	31				
停	tʰin	13				
庭	tʰin	13				
