来源：	王琳 2015 《祁门箬坑方言研究》
x	［1］欢荒慌［2］桓还{～钱}环黄=簧皇蝗［3］缓幻谎□{～草：锄草}［5］唤焕况□{我～：我们}［6］汗换患宦
#ỹːɐ	
ts	［1］尊遵
tsʰ	［1］村［2］全泉存［5］寸
s	［1］宣喧孙逊［3］癣{（又）}选损
tʃ	［1］专砖绢捐娟［3］转卷［5］撰转眷券
tʃʰ	［1］川穿圈［2］传椽拳权［3］喘犬［5］串劝桊［6］旋篆传倦
ʃ	［1］闩拴熏{（又）}勋{（又）}薰{（又）}栓［2］弦船玄悬眩巡［5］楦
ȵ	［1］冤渊［2］丸圆员缘元原源阮袁辕园援［3］软远［5］怨［6］院愿
#ᴇn	
p	［1］彬宾槟殡鬓兵［3］禀饼［5］并=迸
pʰ	［1］拚拼姘［2］贫频瓶屏苹［3］品［6］鼻
m	［2］民［3］渑闽悯敏抿皿冥暝螟［6］闷
t	［1］敦墩蹲□{马～：马褂}□{打油打一～}［3］□{磉～：柱下石；铁～：砧子，打铁时垫铁块用}［5］顿扽饨沌盾=凳
tʰ	［1］吞［2］屯豚囤［6］盾-钝遁
n	［2］林淋临邻鳞磷仑伦沦轮陵凌菱□{～裆裤：死裆裤}□{脊～肉：里脊}［3］□{蘸}［6］嫩论
ts	［1］侵津［5］浸进晋俊
tsʰ	［1］亲皴侵{～早}［2］寻秦荀旬循殉层［3］寝尽［5］衬蹭
s	［1］心辛新薪□{火炮～：一种烟火}［3］笋榫［5］信讯迅□{陡}
tʃ	［1］针斟今金襟珍榛臻真诊巾斤筋蒸荆□{太阳～：太阳穴}［3］枕锦疹紧仅谨拯□{屋～：门槛}［5］禁镇振震娠劲茎甑
tʃʰ	［1］钦称［2］岑琴禽擒缠沉陈尘臣=勤芹橙□{～孙：重孙}［3］近□{吮吸}［5］趁称秤□{～额tʃɔ1：奔儿头}［6］阵
ʃ	［1］深身申伸=欣升［2］神辰晨臣-唇绳塍［3］沈审婶□{牙～：牙床}［5］渗兴［6］葚甚肾慎□{有物～压人：魇住了}
x	［2］痕［3］很狠［6］恨
#iᴇn	
ȵ	［1］音阴因姻殷鹰蝇鹦=樱婴缨［2］吟淫人仁银寅凝迎赢□{～tʰiːɐ7：脾}［3］饮忍引隐颖颍□{拖磨～轭}［5］印应□{～子：坛子、罐子}［6］赁壬任纴刃认韧
#yᴇn	
tʃ	［1］䏝肫均钧菌君军□{打～体：打车轮子}［3］准［5］圳{引水渠}
tʃʰ	［1］伸{～手}椿春倾抻［2］群裙［3］蠢窘郡顷
ʃ	［1］熏{（又）}勋{（又）}薰{（又）}兄［2］纯醇［5］舜训［6］顺
ȵ	［2］匀熨云［3］允永［5］韵泳咏［6］润闰运晕孕
#ɤŋ	
p	［5］蹦［6］□{～呐：小的蝉}
pʰ	［1］烹［2］朋篷蓬□{指甲～：指甲}棚［3］捧［5］喷碰
m	［2］蒙□{～沙：很细的沙}□{漫过}［3］猛懵蠓□{～ɕi6甲：马齿苋}［6］梦
f	［1］风枫疯丰封峰蜂锋［2］冯逢缝［5］奉俸［6］凤缝
t	［1］东冬［3］董懂［5］冻栋
tʰ	［1］通熥捅［2］疃同铜桐筒童瞳［3］桶动统［5］痛□{～嘴：接吻}［6］洞
n	［1］攮［2］聋农脓隆浓龙咙砻笼{蒸～；被kuːɐ1～：被窝}［3］笼拢陇垄［6］弄
ts	［1］棕鬃宗综踪［3］总［5］粽纵怂
tsʰ	［1］聪忽葱从{～容}［2］丛从松
s	［1］嵩松［2］㞞［3］擤［5］送宋诵颂讼
tʃ	［1］中忠终弓躬宫钟盅舂恭供［3］冢种肿□{讽刺}［5］中众种
tʃʰ	［1］囱充冲［2］琼虫崇穷重［3］宠重恐-［5］铳［6］仲共
ʃ	［1］森参胸凶［2］熊雄
k	［1］公蚣工功攻［3］拱巩［5］贡汞
kʰ	［1］空［3］孔恐=［5］控空
x	［1］轰哄烘［2］□{吼，大声叫}弘宏=红洪鸿虹=［3］哄［5］嗅［6］□{～脓：溃脓}
#iɤŋ	
ȵ	［1］雍痈庸□{娇惯}［2］盈荣营茔萤戎绒融茸容蓉镕［3］拥勇涌蛹［6］用
#m̩	
∅	［3］姆［6］抹
#n̩	
∅	［2］蟥{蚂～蜞}［3］尔{你}
#ŋ̍	
∅	［1］翁［5］瓮
