#备注：湖南道县( 梅花) 土话音系 沈明、周建芳		
#调值	[1]51 [2]21 [3]55 [4]33 [5]44 [7]35	
#符号说明：!西官阴平借词@西官阳平借词$西官上声借词%西官去声借词		
#ɿ		
tɕ̟	[1]甲@{~乙丙丁}[5]嘉!{~禾：县名，属湖南郴州}	
ɕ̟	[1]□{~水：用水管喷水}[7]厦%{~门}	
k	[1]高膏篙□{~sɿ³⁵：努力}[3]稿□{给：~tɤ⁵¹办事（给他办事）；尔~我吃罢这份饭！（你给我吃完这碗饭！）}[5]告{~状}□{和：我~ tɤ⁵¹去（我和他去）}[7]合{十~一升}	
kʰ	[1]敲[3]考烤[5]靠铐	
Ø	[1]□{ŋᶢau⁴⁴~：伤心；发怒}[5]压!{交合}	
#ua		
l	[2]□{~病：痨病}[7]□{岭~牯：山沟}	
k	[1]龟归规{~尺：曲尺}[3]鬼[5]贵鳜[7]骨橘𣝗{~头：果核儿；瓜~：瓜子儿}	
kʰ	[1]亏柜溃{坍；塌}□{~pa了：（刀）钝了}[4]跪□{磕}[5]䙡{扣子}夸![7]□{~话：说话}□{~起手：两手交叉于胸前}	
x	[1]法@{无~无天}划@{计~}[2]肥{下~：施肥}[3]毁[5]费{~力}华!{中~}[7]豁	
Ø	[1]危{为~nᵈ̩⁴⁴ ŋᶢa：为什么}桅{~棍：桅杆}位卫{~生}未{~时：以后}味[2]围[7]□{~断：折断}	
#ya		
tɕ̟	[1]追锥[3]抓{量词：一~葡萄}[5]醉[7]□{~斧：镐}	
tɕ̟ʰ	[1]吹[2]槌锤捶□{焦~焦~：东西烧焦味}[5]□{pu²¹ ta~：狐臭}□{打~子：两人打架}	
ɕ̟	[3]水□{nᵈoŋᶢ⁵¹~：啰嗦}[7]刷{~婆：刷子}出	
#ie		
p	[1]分{~开；表示给予、处置、被动，相当于北京音的“给、把、被”}份崩□{~loŋᶢ²¹：白天}□{~椅子凳：椅背}□{tsɿ⁵⁵~公：蚂蝗}[2]盆棚篷朋[3]本畚[5]迸{2}[7]擘{2，~断}	
pʰ	[1]□{笔画“捺”：一撇一~}[3]捧	
m	[1]闷问梦虻□{tsi⁵⁵牛鬼~子：牛虻}□{~tɕ̟ʰiaŋᶢ公：傻子}灭{北京音，~火}[2]门[4]□{闻}	
t	[1]灯东冬[2]藤铜桐筒茼{~蒿}□{搀、扶}[3]等[4]洞{~pu⁵⁵：洞；~牯：坑}动{~手}[5]凳冻□{四十八~蛇，当地一种无毒蛇。黑底白色花纹，吃青蛙}爹!{~~：父亲（面称、背称皆可）}	
tʰ	[3]桶	
nᵈ	[1]□{脚~牯：大腿根儿}孽{△宁要~子不要蠢子}□{~水根：精液}业@{作~}[3]□{~~：乳汁；乳房}	
l	[1]力□{~狮子：舞狮子}□{腋}□{kɤ~：胳肢窝}猎@{打~}[2]聋笼[7]□{~lɤ：到处}	
ts	[1]曾{姓}棕[3]□{~板：砧板}□{~豁：墓}[5]甑{蒸米饭用的}	
tsʰ	[1]葱[2]沉层重{买~了}[22]重{轻~}[5]□{鸡~子：鸡罩}	
s	[1]□{灰~：灰尘}[5]送	
tɕ̟	[1]杰@{人名}	
tɕ̟ʰ	[7]□{toŋᶢ⁵¹ toŋᶢ~~：糊里糊涂}	
ɕ̟	[1]空{~盒子；~跑一趟}□{~茶：倒茶}设@{2}[2]红熊{姓}□{疼爱}[3]肯{~去}□{也许：~落雨}	
k	[1]跟根蚣公工功弓□{吞；咽；噎}[5]□{寒、冷}□{壕~圳：壕沟渠}	
kʰ	[1]□{量词，一~（一段、一截儿）}	
Ø	[1]□{揞；捂}[3]□{伯~：伯父}	
#ue		
k	[1]裈{裤子}[3]滚□{量词，相当于普通话的“捆”：一~（行李）}[5]棍□{~ɕ̟i子：棉袄}	
x	[1]昏婚荤风封□{~药水：用艾草、菖蒲等熬成的水，洗浴可祛痱}分{秋~，节气}浑@{~水}洪@{~水}[2]魂[3]粉[5]困{~觉：睡觉}帆!{~皮树：桅杆}	
Ø	[1]温瘟{~病鬼：得瘟疫的人}镬{锅}[2]文{姓}[3]稳[4]□{~起来：囚禁起来}	
#ye		
nᵈ	[1]嫩	
tɕ̟	[1]墩{~子}决@诀@[5]顿{一~饭}	
tɕ̟ʰ	[1]村敦{~起：竖起。据谢留文先生考证来自《广韵》都困切，竖也}[5]寸	
ɕ̟	[1]孙{~子：孙子；侄子}[3]省{~里县里}	
Ø	[1]乐@{音~}[7]月@{~经}	
#ɤ		
p	[1]鐾{~刀}杯背{~书}斑{~鸠}□{~笔：掭笔}□{打~paŋᶢ⁵⁵：一种游戏，扔石子儿}[2]陪赔[3]□{~~：伯母}[4]倍[5]辈背{~底：背后}□{~tɤ⁵⁵：棉花}□{~ta⁴⁴：那个}[7]北□{~价：还价}□{~kɤ nᵈɤɯ：肩膀}备%{刘~}	
pʰ	[1]坯{~子：砖坯}[5]配派[7]泼	
m	[1]妹墨脉{号~}□{~糊：浆糊}□{~水鱼：鱼苗}[2]梅媒煤霉谜{猜~：划拳}□{菜梗}[3]□{量词，相当于普通话的“根”、“枝”：一~头发；一~香；一~墨}[4]母{母m̩⁵⁵~：母亲（面称背称皆可）}[5]□{不：~服（不服）}	
t	[1]□{第三人称代词单数：他}德@[3]□{kuei⁴⁴~：这里；□pi⁴⁴~：那里}□{pɤ⁴⁴~：棉花}[7]□{~婆：外婆}得%{巴不~；要~}	
tʰ	[7]脱特%{程度副词：~大}	
nᵈ	[1]二贰日{~头：太阳}[3]□{掏；拿}[4]蚁{~子：蚂蚁}眼{~子毛：眉毛}	
l	[1]肋[3]□{~门：边门}[7]勒{~紧}□{iɤ⁵¹~：哪里}	
ts	[1]泽@{名字}[3]崽□{都；全部}[5]做[7]责{北京音}	
s	[1]□{思；想：~一~（想一想）}[5]□{~pɤ娘：新娘}[7]色塞□{kɤ⁴⁴~：这些}	
k	[1]革@{~命}[3]改[5]盖□{~sɤ³⁵：这些}[7]割格袼{~褙}	
kʰ	[7]咳{北京音}	
ŋᶢ	[1]艾□{没~：没理睬}[3]□{nᵈ̩⁵⁵~：什么}	
x	[1]开害[3]海[7]黑	
Ø	[5]爱	
#iɤ		
nᵈ	[4]眼{~睛}耳[5]□{~火樵：引火柴}[7]□{看、瞭、望}	
tɕ̟	[1]直[5]占□{痣}[7]织	
tɕ̟ʰ	[7]□{~□kʰuenᵈ⁵⁵：翅膀}	
