#备注：《广东电白旧时正话》 陈云龙	
#调值	[1]³³ [2]²¹³ [3]³¹ [5]⁵⁵ [7a]⁵ [7b]²¹⁴
#ɨ	
z	[1]恩1因姻殷[2]寅人仁1{~义}匀1[3]引1隐瘾颖2{对照发音人读音}[5]印刃认孕闰
k	[5]□{冰冷}
ŋ	[1]恩2{对照发音人读音}仁2{泥豆~：花生仁}[2]银
h	[1]欣[2]痕[3]很[5]恨限□{累}

#iɐn	
p	[1]彬宾鬓[3]扁匾
pʰ	[2]贫频[3]品
ȵ	[3]忍引2{嫩芽}[5]润
k	[1]斤巾筋跟根君军茎[3]紧仅谨菌[5]近胗{鸡~：鸡肫}
kʰ	[1]钧均2{对照发音人读音}[2]勤芹
ŋ	[1]奀{瘦小}
h	[1]熏2{对照发音人读音}

#uɐn	
ɬ	[1]孙2{对照发音人读音}
tsʰ	[1]村1春{文：~天}[3]蠢[5]寸1
s	[5]顺2
k	[1]军君[3]滚混[5]棍郡□{骗}
kʰ	[1]昆坤均1[2]群裙[3]捆[5]困

#en	
p	[1]鞭边[5]辨辩变便辫□{东~：东边}
pʰ	[1]编篇偏[5]骗片遍{普~}
m	[1]□{掀开}[2]绵棉眠[3]免勉娩[5]缅面麵
t	[1]颠癫端[3]典短[5]电殿奠佃断锻段缎甸
tʰ	[1]天[2]田填团鹑
n	[1]奶3{乳房}□{~倒脚：踮脚}[2]年[3]暖捻{捏}
ɬ	[1]仙鲜先宣酸[2]旋[3]选癣损冼{~太夫人}□{~仔：竹钉}损[5]线算蒜羡
l	[1]□{卷曲}□{打翻~斗：翻跟斗}□{~地：在地下翻滚}[2]连联怜莲[3]脸□{~心菜：包心菜}[5]恋链练乱□{lɐu⁵⁵~：三番两次}
ts	[1]煎专砖毡{绒制品}遵1尊1[3]剪展转{~暖}[5]箭溅贱践荐饯钻战传{自~}转{鬼~风：旋风}
tsʰ	[1]迁千川穿[2]钱前全泉传{~达}[3]喘[5]串窜篡
s	[2]船[3]鳝[5]扇善膳
z	[1]烟冤渊咽□{扑克牌的A}[2]然燃延筵言研完丸圆员缘沿铅袁辕园援元原源[3]演远[5]县1堰怨院谚燕宴宛砚现2{发~}
k	[1]肩坚绢娟捐[3]捲卷{~起来}[5]见件手键建健眷倦券卷{试~}秦
kʰ	[1]圈[2]拳权乾[3]遣[5]劝2{对照发音人读音}
h	[1]轩掀牵[2]贤弦玄悬[3]显犬[5]苋现1{~钱}宪献县2{对照发音人读音}䘆{红~：泥鳅}劝1

#ien	
ȵ	[3]软阮[5]愿

#ɔn	
p	[1]搬般[5]半伴拌{搅~机}
pʰ	[1]潘番2{~禺}[2]盘盆[5]判叛
m	[1]□2{(对照发音人读音)~巾：汗巾}[2]瞒[3]满[5]□{舌头~：舌苔}
f	[1]宽欢[2]桓[3]款
w	[3]碗腕[5]缓2{对照发音人读音}换
t	[5]钝
n	[5]嫩
ɬ	[1]孙1[2]旬2{对照发音人读音}纯巡2{对照发音人读音}
l	[2]轮2{对照发音人读音}邻2{对照发音人读音}[3]卵2{对照发音人读音}[5]论2{对照发音人读音}
ts	[1]尊2{对照发音人读音}遵2{对照发音人读音}[5]俊{对照发音人读音}
tsʰ	[1]村2{对照发音人读音}[2]秦2{对照发音人读音}存2{对照发音人读音}[5]寸2{对照发音人读音}
s	[5]慎2{对照发音人读音}
z	[2]匀2{对照发音人读音}
k	[1]官棺倌观冠2[3]管馆赶[5]贯惯灌罐观冠2
ŋ	[2]玩{对照发音人读音}

#aŋ	
p	[1]帮邦梆{锄头}[3]榜绑𠾴{冚~唥：全部}[5]谤傍湴{稀泥}磅
pʰ	[2]旁螃[5]□{谷~：秕子}□{鸭~：小鸭子}
m	[1]芒1{~果}[2]忙芒2{光~}茫忘亡
f	[1]方芳荒慌谎[2]房防妨肪[3]仿坊访纺[5]放
w	[1]汪[2]王黄簧皇蝗[3]枉往网[5]望旺
t	[1]当[3]党档挡[5]荡当{典~}□{~地：看风水}
