	注释：-白，=文
tsʰ	[1]搓[3]尺[5]厝措[6]坐座杂蚀浊凿[7]错
s	[1]蓑梭靴[3]锁琐索-[5]露[6]石[7][7]索=
k	[1]哥歌锅[3]果裹[5]过个[6]□{手指背扣头}[7]鸽蛤合{开～}阁搁角郭廊觉胳
kʰ	[1]科柯戈[3]可棵颗[1]去-课[6]□{摒除}[7]壳扩
ŋ	[2]鹅蛾俄[3]我=[5]□{迟钝、蠢}[6]卧饿岳乐{音～}岳[7]鄂颚
x	[2]何河和荷{～花}[3]夥□{肯定的应答}[5]货荷{薄～}[6]合学鹤贺祸[7]霍喝郝□{利用余热在锅里保温}
∅	[1]屙阿{～斗，～胶}[2]敷{～药}[7]恶握=沃-
v	[1]窝蜗[2]禾[3]□{实，不空}
#u	
p	[3]补=[5]布=怖[7]不腹-
pʰ	[1]铺[2]菩蒲[3]普浦甫哺捕脯菢[5]铺{十里～}埠{坪～：地名}[6]步部簿勃伏{躲}[7]朴覆-
m	[1]摸[2]模巫诬谟[3]母拇姆[5]麽[6]暮墓慕没木目穆牧戊
f	[1]夫俘数呼[2]符扶芙胡湖瓠=壶狐糊=[3]府俯腑斧腐=辅虎脯□{鞭打}[5]付富附副赴仆赋幅讣[6]妇傅伏复覆服腹缚佛吠=佛户沪护父获[7]福忽
t	[1]都嘟[3]肚-赌堵=睹渚贮-[5]昼-妒[7][7]肚{猪～}督笃
tʰ	[5]兔吐[6]杜[2]徒途图涂屠[3]土度渡镀独读毒犊[7]突
l	[1]□{生～：生锈}[2]芦炉卢鸬庐奴捋-[3]鲁橹努{～力}[5]露=[6]路鹭鹿怒禄[7]捋=□{套进}
ts	[1]租[3]祖组阻走-{跑、逃}[5]灶-[7]卒
tsʰ	[1]粗初[2]雏锄[3]楚础[5]醋措[6]助族[7]触戳
s	[1]疏蔬梳苏酥=[3]所[5]数薮擞素诉扫-塑[7][7]刷速□{呛}率{～领}芦-{～苇}
