#符号说明：-白=文/书*俗?待考	
#调值	［1］31［2］213［3］35［5］51［6］353
#ɿ	
ŋ	［1］恩［6］摁{～哩慌:硌得难受}
x	［3］很［6］恨{～哩慌:气得慌}
#iẽn	
p	［1］宾□{驴～子:驴肚子上的脂肪，可食，味美}［5］殡{出～}鬓{～角儿}
pʰ	［2］贫{练～:喜欢说}［3］拼{～起来}品［5］聘{～闺妮:嫁女儿}
m	［2］民［3］抿{～嘴}敏
l	［2］林临邻鳞［3］檩{～条}［5］赁{租}［6］闰淋{把油～干净}
ts	［1］津［3］尽{～后头}［5］进晋{～县:晋州}
tsʰ	［1］亲侵［2］秦戚{亲～}［5］浸{～叶子:泡茶}吣{他能～出嘛好话来呀:他能吐出什么好话来，指小孩子从胃里吐东西，用于大人则常含贬义}
s	［1］心新辛{～庄:村名}［2］寻{娶，嫁}［5］信{相信;～着他哩意儿:顺着他的意思}
tɕ	［1］金今{～儿个:今天}禁襟{对～儿}巾{手～:毛巾}斤筋［3］紧{～着:赶紧}谨{勤～:勤快}［5］劲{有～儿}［6］妗{～子:舅母}近
tɕʰ	［2］琴勤芹
ɕ	［1］欣
∅	［1］音阴因［2］银寅{地支}仁{江～:村名}［3］引隐尹［5］印
#uẽn	
t	［1］敦墩吨［3］盹［5］盾顿扽{猛拉，使伸直或平整}［6］钝
tʰ	［1］吞［2］屯豚{～儿:母猪}囤{～粮食}［5］褪{把裤子～下来}［6］囤{存放粮食的器具}
n	［6］嫩
l	［2］淋{挨～}轮囵{囫～}［6］论{～辈儿}
ts	［1］尊［5］俊
tsʰ	［1］皴{皮肤上的泥垢}村［2］存［3］忖{～不住:说不准}［5］寸
s	［1］孙［2］旬{上～}巡［3］笋损
tʂ	［3］准
tʂʰ	［1］春椿［2］唇纯鹑{鹌～}［6］顺{孝～}
ʂ	［6］顺{～着}
ʐ	［6］润{滋～}
k	［1］闺{～妮:闺女}［3］滚［5］棍
kʰ	［1］昆［3］啃捆［5］困
x	［1］昏婚荤{～菜}［2］茴{～香}魂馄{～饨}混{～蛋}浑［3］混{～到一块儿}
∅	［1］温［2］文纹蚊闻［3］稳［6］问璺{裂～}
#yẽn	
tɕ	［1］均军［5］菌
tɕʰ	［2］裙群噙{～着泪儿:含着眼泪}
ɕ	［1］熏［5］训
∅	［1］晕［2］匀云{～彩}［3］允{应～}［5］熨运孕
#ɑŋ	
p	［1］帮梆{～子戏}棒{用棍子打}［3］榜绑［6］半{～块儿}棒{～～儿:玉米棒子}
pʰ	［2］旁{～门儿}螃［3］耪{～地:锄地}［5］胖
m	［1］氓{流～}盲{文～}［2］忙芒{～果儿}
f	［1］方妨［2］房防［3］纺［6］放
t	［1］当{～着}裆耽端{五月～午:端午节}［3］党挡［5］段{张～固:村名}当{典～行}［6］荡
tʰ	［1］汤［2］堂棠{海～树}唐糖搪{～煤火:造煤火灶}［3］躺［5］烫趟
n	［1］□{形容食物吃起来既不脆又不筋道，口感不好}［2］那{指示代词，～个}囊{窝～}［3］攮{(用刀等工具)捅、杵}
l	［2］怜{可～}郎狼廊［3］朗［6］浪
ts	［1］脏{不干净}［5］葬脏{五～}
tsʰ	［1］仓［2］藏
s	［1］桑丧{起～}［3］嗓搡{推}［5］丧{～门星;跑哩～～:跑得快、有劲儿}
tʂ	［1］张章［3］长{～高}涨掌［5］仗{打～}杖帐账胀{～肚儿}正{赵～寺:村名}［6］丈{～母娘}
tʂʰ	［1］昌［2］长{形容词}肠场{打～}尝城{里～道:乡名}［3］厂敞{～开怀儿}［5］唱尚{和～}
ʂ	［1］伤商［2］裳［3］赏晌［6］上{～去}
ʐ	［2］瓤穰{～地:整地的一道工序，用铁锨}［3］嚷［6］让
k	［1］刚{才不～儿:刚才}钢{名词}缸［5］钢{动词}杠{抬～}
kʰ	［1］糠［2］扛［5］炕抗
x	［1］夯{打～}［2］行{一～儿}
#iɑŋ	
m	［2］棉{～花}
n	［2］梁{脊～:后背}娘{大大～:指大伯之妻;丈母～;姥～:姥姥}［3］仰{头往后仰}
l	［2］凉良粮量{动词}粱{高～}梁{大梁}［3］两{～块钱}［6］亮辆量{名词}
ts	［1］浆将{～军}［3］奖蒋［5］酱将{大～}匠
tsʰ	［1］枪戗{～风:逆风}［2］墙［3］抢［5］呛{烟大～哩慌}
s	［1］相{～亲}厢{～房}箱镶［2］祥详［3］想［5］象像相{照～}
tɕ	［1］江僵疆{新～}缰{～绳}姜{姓}［3］讲趼{～子}［5］刚{刚刚达到某种程度}降{霜～}糨{～子:用白面和成的浆糊}犟{～嘴}虹{彩虹}
tɕʰ	［1］腔［2］强{心眼儿可～哩:心好;～迫}
ɕ	［1］乡香［2］降{投～}［3］响享［5］向项
∅	［1］央秧{树～子}殃{遭～}鸯{鸳～}［2］秧{～歌儿}羊洋杨扬阳{向～}［3］养痒氧［6］样
#uɑŋ	
tʂ	［1］庄装{～蒜}桩妆［5］壮装{～车}［6］状
tʂʰ	［1］窗疮［2］床［3］闯［6］撞
ʂ	［1］双霜［3］爽［5］双{～双儿:双胞胎}
k	［1］光{亮～儿}［3］广光{～说不练}［5］桄{一～儿线}
kʰ	［1］筐框［2］狂{～气:形容言语傲慢、嚣张}［5］矿
x	［1］慌［2］黄皇隍［3］谎［5］晃
∅	［1］汪［2］王芒{麦～儿}［3］网往枉{冤～}［5］旺望{～南}
#əŋ	
p	［1］崩［3］绷{～着脸}［5］蹦泵
pʰ	［1］丰{北～:村名}蜂{马～}砰［2］朋棚鹏彭膨蓬篷［3］捧［5］碰
m	［1］蒙{发～}［2］蒙{～古}虻{瞎～:牛虻}盟{～兄}［3］猛［6］孟梦
f	［1］风疯封丰封峰锋蜂{蜜～儿～儿:蜜蜂}［2］冯缝{～纫机}［5］凤［6］缝{～儿}
t	［1］灯登［3］等［6］凳{方～儿}瞪磴{楼梯的台阶}澄{～一下:放置以使澄清}
tʰ	［1］熥{把熟的食物蒸热}［2］疼藤{葡萄～}腾{～个空儿}誊{～上去}［5］凳{板～床儿:小板凳}
n	［2］那{～个}能齈{～带:鼻涕}脓［6］那{～个}弄
l	［1］□{动词，锤}［3］冷［6］弄{糊～}
ts	［1］增曾{姓}
tsʰ	［2］层［5］蹭
s	［1］僧{唐～}
tʂ	［1］蒸正{～月}征{长～}争筝睁贞侦{～察}［3］整［5］证症正{～好}政挣{～钱儿}郑{～村:村名}
tʂʰ	［1］称{～呼}撑［2］橙{～子}乘{～法}承成城诚{实～}盛{～饭}程［3］逞［5］秤橕{椅子～儿}
ʂ	［1］升生牲{～口}甥声［2］绳［3］省［5］圣［6］剩
ʐ	［3］扔
k	［1］庚{天干}羹{鸡蛋～}□{用手指头弹}［3］梗{脖～子}耿{～家庄:村名}［5］更{～好}
kʰ	［1］坑{大～}吭{～气儿}
x	［1］哼{～唧}［2］横{～竖}［5］行{道～}［6］横{可～哩:形容蛮横}
∅	［1］嗯{表答应}
#iŋ	
p	［1］冰兵［3］丙饼［5］柄{～儿:把儿}并{～起来}［6］病
pʰ	［1］乒［2］凭{～嘛:凭什么}平评苹萍屏瓶
m	［2］明名［6］命
t	［1］丁钉{名词}［3］顶［5］订钉{动词}［6］定锭{～子:纺线锭}
tʰ	［1］厅听{～见}［2］停亭庭廷［3］挺［5］听{落～:打麻将听牌}
n	［3］拧
l	［2］凌{冬～:冰}陵{高～:村名}零铃［3］领［6］令另
ts	［1］精晶睛［3］井阱［5］净［6］静
tsʰ	［1］青清［2］晴情䞍{～除:继承}［3］请［5］亲{～家}
s	［1］星腥［3］省醒擤{～鼻涕}［5］姓性
tɕ	［1］耕{～地}更{三～}京荆{～条}惊{马～}经{～着过:经历过}［2］经{～意儿:故意、成心}［3］警景{一～:指对自己不好的事情自我感觉良好，毫不觉得羞愧}［5］敬竟镜经{织布机上的经线}
tɕʰ	［1］轻坑{灶火～:当地农村做饭的老式土灶}［5］庆{猪油～住嗹:猪油凉后凝成固体状}
ɕ	［1］兴{叫，让;半～子:搞笑过头，有点二百五的劲头儿}［2］形刑陉{井～:县名}行{～喽:表同意、应允}［5］幸{～亏}［6］兴{高～}杏
∅	［1］应鹰英缨{红～枪}鹦樱［2］蝇{～子:苍蝇}迎赢营萤{～火虫}［3］影{～着:挡着光}［5］应{答～}映{反～}［6］硬
#uŋ	
t	［1］东冬{～凌:冰}［3］董懂［5］冻{～住}栋［6］动{～换儿:动弹}洞
tʰ	［1］通动{嫑～它:别碰它}［2］同铜茼{～蒿}桐{泡～子树}童{～养媳}瞳{～孔儿}［3］筒{笔～儿}桶捅统
n	［2］农浓
l	［2］聋笼龙［3］笼{～头}拢{～头:梳头}垄{一～地}
ts	［1］宗{祖～}棕{～衣:一种旧式蓑衣}鬃［3］总［5］粽{公猪}
tsʰ	［1］聪葱囱{烟～}［2］从丛
s	［1］松{～开}松{～树}［2］㞞{精液}［3］摐{用手推}［5］宋送
tʂ	［1］中忠钟{闹～}盅{酒～儿}种{那一～儿:那种}终［3］种{这～，那～}［5］中{～奖}众［6］重{～要}种{～树}
tʂʰ	［1］冲{往前～}［2］虫重{～孙子儿}［3］充{～电}宠［5］冲{～着}
ʐ	［2］荣绒{火～:纸媒儿}茸{橘～:橘络}容
k	［1］公工功攻弓躬宫恭供{～不起}［3］拱巩［5］供{上～}［6］共
kʰ	［1］空{形容词}［3］孔恐［5］空{～儿:空闲}控
x	［1］烘{～干}轰{～走}［2］红洪蕻{雪里～}［3］哄{～孩子}［5］哄{起～}横{语气副词，表较为肯定的猜测:～不能}
#uəŋ	
∅	［1］翁嗡［5］瓮
#iuŋ	
tɕʰ	［2］穷
ɕ	［1］胸兄凶{吉～}［2］熊雄
∅	［1］拥［2］容{～易}［3］勇永［6］用
#mə	
∅	［2］模无{～吃:没吃，否定词}［3］母{公～}亩［5］木目穆{～家庄:村名}
