1	#漢字	聲	韻	調	解釋
824	和	ɦ	ɜuᵝ	2	
825	和	ɦ	ɜuᵝ	6	
826	咍	h	ᴇ	1	
827	咎	dʑ	ʏ	6	
828	咐	f	ʉᵝ	5	
829	咒	ts(tʃ)	øʏ	5	
830	咕	k	ɜuᵝ	1	
831	咕	ɡ	ɜuᵝ	6	
832	咖	kʰ	ɑˠ	1	
833	咚	t	oŋ	1	
834	咣	k	uɑ̃ˠ	1	
835	咦	ɦ	i	2	
836	咧	l	iɪʔ	8	
837	咨	ts	ɿ	1	
838	咩	m	i	1	
839	咪	m	iᶽ	1	
840	咫	ts(tʃ)	ʮ(ʯ)	3	
841	咫	ts(tʃ)	əʔ	7	
842	咬	ŋ	æ	6	
843	咭	ɕ	iəʔ	7	
844	咯	l	oʔ	8	
845	咯	k	oʔ	7	
846	咱	ts	ɑˠ	1	
847	咳	kʰ	əʔ	7	
848	咸	ɦ	i	2	
849	咹		əʔ	7	
850	咻	ɕ	ʏ	1	
851	咽		i	1	
852	咽		i	5	
853	咽		iəʔ	7	
854	哀		ᴇ	1	
855	品	pʰ	in	3	
856	哂	s(ʃ)	ən	3	
857	哄	h	oŋ	5	
858	哆	t	ɜuᵝ	1	
859	哇		uɑˠ	1	
860	哈	h	ɑˠ	1	
861	哉	ts	ᴇ	1	
862	哎		ᴇ	1	
863	哐	kʰ	uɑ̃ˠ	1	
864	哚	t	oʔ	7	
865	員	ɦ	iɵ	2	
866	員	ɦ	yən	2	
867	哢	kʰ	aʔ	7	
868	哥	k	ɜuᵝ	1	
869	哦	ŋ	ɜuᵝ	2	
870	哦	ɦ	uˠ	2	
871	哦	ɦ	uˠ	6	
872	哦		uˠ	3	
873	哨	s	æ	5	
874	哩	l	iᶽ	6	
875	哪	n	ɑˠ	1	
876	哪	n	uˠ	6	
877	哪	l	uˠ	6	
878	哭	kʰ	oʔ	7	
879	哮	h	æ	1	
880	哮	ɕ	iæ	5	
881	哲	ts(tʃ)	əʔ	7	
882	哴	l	iã	6	
883	哺	b	ʉᵝ	6	
884	哼	h	ã	1	
885	哼	h	ən	1	
886	哽	k	ã	3	
887	哽	k	ən	3	
888	唁	ɦ	i	6	
889	唆	s	ɜuᵝ	1	
890	唇	z(ʒ)	ən	2	
891	唉	ɦ	ᴇ	2	
892	唉		ᴇ	1	
893	唊	k	aʔ	7	
894	唐	d	ɑ̃ˠ	2	
895	唔	n		1	
896	唔	n		6	
897	唕	z	æ	6	
898	唗	t	uˠ	1	
899	唧	ts	iɪʔ	7	
900	唬	h	ɜuᵝ	3	
901	售	z(ʒ)	øʏ	6	
902	唯	v	iᶽ	2	
903	唱	tsʰ	ɑ̃ˠ	5	
904	唳	l	iᶽ	6	
905	唳	l	iɪʔ	8	
906	唷		ioʔ	7	
907	唸	ȵ	i	6	
908	唻	l	ᴇ	6	
909	唾	tʰ	ɜuᵝ	3	
910	啃	kʰ	ən	3	
911	啄	ts(tʃ)	oʔ	7	
912	啄	z	oʔ	8	訓“鑿”
913	商	s(ʃ)	ã	1	
914	商	s(ʃ)	ɑ̃ˠ	1	~量（翹舌特殊）
915	啊		ɑˠ	1	
916	啊		aʔ	7	
917	問	m	ən	6	
918	問	v	ən	6	
919	啐	tsʰ	ᴇ	5	
920	啓	tɕʰ	iᶽ	3	
921	啕	d	æ	2	
922	啖	d	ᴇ	6	
923	啜	tsʰ(tʃʰ)	əʔ	7	
924	啞		iɑˠ	3	
925	啞		uˠ	3	
926	啟	tɕʰ	iᶽ	3	
927	啡	f	iᶽ	1	
928	啣	ɦ	ᴇ	2	
929	啤	b	iᶽ	2	
930	啥	s(ʃ)	ɑˠ	5	
931	啦	l	ɑˠ	1	
932	啪	pʰ	aʔ	7	
933	啷	l	ɑ̃ˠ	2	
934	啻	tsʰ(tʃʰ)	ʮ(ʯ)	5	
935	啼	d	iᶽ	2	
936	啾	tsʰ	øʏ	1	
937	喀	kʰ	ɑˠʔ	7	
938	喁	ȵ	yᶽ	6	
939	喂		yᶽ	5	
940	喂		uᴇ	3	
941	喂		uᴇ	5	
942	喃	n	ɵ	2	
943	善	z(ʒ)	ɵ	6	
944	喇	l	ɑˠ	2	
945	喉	ɦ	øʏ	2	
946	喊	h	ᴇ	5	
947	喋	d	iɪʔ	8	
948	喏	n	uˠ	2	
949	喏	n	uˠ	6	
950	喏	z	uˠ	6	
951	喑		iən	1	
952	喔		oʔ	7	
953	喘	tsʰ(tʃʰ)	ɵ	3	
954	喙	h	uᴇ	5	
955	喚	h	uɵ	5	
956	喜	ɕ	iᶽ	3	
957	喝	h	əʔ	7	
958	喟	kʰ	uᴇ	5	
959	喢	s	aʔ	7	
960	喤	ɦ	uɑ̃ˠ	2	
961	喥	d	oʔ	8	
962	喧	ɕ	iɵ	1	
963	喨	l	iã	6	
964	喪	s	ɑ̃ˠ	1	
965	喪	s	ɑ̃ˠ	5	
966	喫	tɕʰ	iəʔ	7	
967	喬	dʑ	iæ	2	
968	單	t	ᴇ	1	
969	單	z(ʒ)	ɵ	6	
970	喱	l	iᶽ	2	
971	喲		iuˠ	1	
972	喳	ts	ɑˠ	1	
973	喵	m	iæ	1	
974	喻	ɦ	yᶽ	6	
975	嗄	ɦ	uˠ	6	
976	嗅	ɕ	ʏ	5	
977	嗅	h	oŋ	5	
978	嗆	tsʰ	iã	5	
979	嗇	s	əʔ	7	
980	嗍	s(ʃ)	oʔ	7	
981	嗎	m	ɑˠ	1	
982	嗎	m	uˠ	6	
983	嗐	ɦ	ᴇ	6	
984	嗑	kʰ	əʔ	7	
985	嗒	t	aʔ	7	
986	嗓	s	ɑ̃ˠ	3	
987	嗔	tsʰ(tʃʰ)	ən	1	
988	嗗	k	uəʔ	7	
989	嗚		ɜuᵝ	1	
990	嗜	z(ʒ)	ʮ(ʯ)	6	
991	嗝	k	əʔ	7	
992	嗟	ts	iɑˠ	1	
993	嗡		oŋ	1	
994	嗣	z	ɿ	6	
995	嗤	tsʰ(tʃʰ)	ʮ(ʯ)	1	
996	嗥	ɦ	æ	2	
997	嗦	s	oʔ	7	
998	嗨	h	ᴇ	3	
999	嗩	s	ɜuᵝ	3	
1000	嗬	h	ɜuᵝ	1	
1001	嗯	n		1	
1002	嗯	n		2	
1003	嗯	n		3	
1004	嗯	n		6	
1005	嗲	t	iɑˠ	3	
1006	嗶	p	iɪʔ	7	
1007	嗷	ŋ	æ	2	
1008	嗽	s	øʏ	5	
1009	嗽	s	oʔ	7	
1010	嗾	tsʰ	øʏ	5	
1011	嘀	t	iɪʔ	7	
1012	嘁	tsʰ	iɪʔ	7	
1013	嘆	tʰ	ᴇ	5	
1014	嘈	z	æ	2	
1015	嘉	k	ɑˠ	1	
1016	嘉	tɕ	iɑˠ	1	
1017	嘌	pʰ	iæ	1	
1018	嘍	l	øʏ	2	
1019	嘎	k	aʔ	7	
1020	嘓	k	uəʔ	7	
1021	嘔		øʏ	3	
1022	嘔		ʏ	3	
1023	嘖	ts	əʔ	7	
1024	嘗	z(ʒ)	ã	2	
1025	嘗	z	ɑ̃ˠ	2	
1026	嘚	t	əʔ	7	
1027	嘛	m	ɑˠ	6	
1028	嘞	l	əʔ	8	
1029	嘟	t	ɜuᵝ	1	
1030	嘣	p	oŋ	1	
1031	嘦	tɕ	iæ	5	
1032	嘬	tsʰ	ᴇ	5	
1033	嘭	b	ã	6	
1034	嘮	l	æ	1	
1035	嘯	s	iæ	1	
1036	嘰	tɕ	iᶽ	1	
1037	嘲	z	æ	2	
1038	嘴	ts(tʃ)	ʮ(ʯ)	3	
1039	嘵	ɕ	iæ	1	
1040	嘶	s	ɿ	1	
1041	嘸	m		2	
1042	嘹	l	iæ	2	
1043	嘻	ɕ	iᶽ	1	
1044	嘿	h	əʔ	7	
1045	噁		oʔ	7	
1046	噂	ts	ən	1	
1047	噇	z(ʒ)	ɑ̃ˠ	2	
1048	噌	tsʰ	ən	1	
1049	噎		iəʔ	7	
1050	噓	ɕ	yᶽ	1	
1051	噔	t	ən	1	
1052	噗	pʰ	oʔ	7	
1053	噘	tɕ	yəʔ	7	
1054	噠	d	aʔ	8	
1055	噢		æ	1	
1056	噤	dʑ	iən	6	
1057	噥	n	oŋ	2	
1058	器	tɕʰ	iᶽ	5	
1059	噩	ŋ	oʔ	8	
1060	噪	tsʰ	æ	5	
1061	噫		iᶽ	1	
1062	噬	z(ʒ)	ʮ(ʯ)	6	
1063	噯		ᴇ	3	
1064	噱	ɕ	yəʔ	7	
1065	噲	kʰ	uᴇ	5	
1066	噴	pʰ	ən	1	
1067	噸	t	ən	1	
1068	噸	tʰ	ən	3	
1069	噹	t	ɑ̃ˠ	1	
1070	嚀	ȵ	iən	2	
1071	嚄	ɦ	ɑˠʔ	8	
1072	嚇	h	ɑˠʔ	7	
1073	嚌	z	iᶽ	6	
1074	嚎	ɦ	æ	2	
1075	嚏	tʰ	iᶽ	5	
1076	嚐	z(ʒ)	ã	2	
1077	嚐	z	ɑ̃ˠ	2	
1078	嚓	tsʰ	aʔ	7	
1079	嚕	l	ɜuᵝ	1	
1080	嚥		i	5	
1081	嚦	l	iɪʔ	8	
1082	嚨	l	oŋ	2	
1083	嚭	pʰ	iᶽ	3	
1084	嚮	ɕ	iã	5	
1085	嚳	kʰ	oʔ	7	
1086	嚴	ȵ	i	2	
1087	嚶		iən	1	
1088	嚷	z(ʒ)	ã	6	
1089	嚼	z	iɑˠʔ	8	
1090	囀	ts(tʃ)	ɵ	5	
1091	囁	ȵ	iəʔ	8	
1092	囂	ɕ	iæ	1	
1093	囈	ȵ	iᶽ	6	
1094	囉	l	ɜuᵝ	2	
1095	囊	n	ɑ̃ˠ	2	
1096	囑	ts(tʃ)	oʔ	7	
1097	囔	n	ɑ̃ˠ	2	
1098	囚	z	øʏ	2	
1099	四	s	ɿ	5	
1100	囝	k	ɵ	1	
1101	回	ɦ	uᴇ	2	
1102	因		iən	1	
1103	囡	n	ɵ	1	
1104	囡	n	ɵ	6	
1105	囤	d	ən	6	
1106	囥	kʰ	ɑ̃ˠ	5	
1107	囪	tsʰ	oŋ	1	
1108	囫	ɦ	uəʔ	8	
1109	困	kʰ	uən	5	
1110	囹	l	in	2	
1111	固	k	ɜuᵝ	3	
1112	囿	ɦ	ʏ	6	
1113	圃	pʰ	ʉᵝ	3	
1114	圄	ȵ	yᶽ	6	
1115	圇	l	ən	2	
1116	圈	tɕʰ	iɵ	1	
1117	圈	dʑ	iɵ	6	
1118	國	k	uəʔ	7	
1119	圍	ɦ	yᶽ	2	
1120	圍	ɦ	uᴇ	2	
1121	園	ɦ	iɵ	2	
1122	圓	ɦ	iɵ	2	
1123	圖	d	ɜuᵝ	2	
1124	團	d	ɵ	2	
1125	圜	ɦ	iɵ	2	
1126	圞	l	ɵ	2	
1127	土	tʰ	ɜuᵝ	3	
1128	在	z	ᴇ	6	
1129	圩	ɦ	yᶽ	2	
1130	圬		ɜuᵝ	1	
1131	圭	k	uᴇ	1	
1132	圮	pʰ	iᶽ	3	
1133	地	d	iᶽ	6	
1134	圳	ts(tʃ)	ən	5	
1135	圾	s	iᶽ		
1136	圾	s	əʔ	7	
1137	址	ts(tʃ)	ʮ(ʯ)	3	
1138	坂	p	ᴇ	3	
1139	均	tɕ	yən	1	
1140	坊	f	ɑ̃ˠ	1	
1141	坌	b	ən	6	
1142	坍	tʰ	ᴇ	1	
1143	坎	kʰ	ɵ	3	
1144	坐	z	ɜuᵝ	6	
1145	坑	kʰ	ã	1	
1146	坑	kʰ	ɑ̃ˠ	1	
1147	坑	kʰ	ən	1	
1148	坡	pʰ	ʉᵝ	1	
1149	坤	kʰ	uən	1	
1150	坦	tʰ	ᴇ	3	
1151	坨	d	ɜuᵝ	2	
1152	坩	k	ɵ	1	
1153	坪	b	in	2	
1154	坯	pʰ	ᴇ	1	
1155	坳		æ	5	
1156	坷	kʰ	ɜuᵝ	1	
1157	坷	kʰ	ɜuᵝ	3	
1158	坼	tsʰ	ɑˠʔ	7	
1159	垂	z	ᴇ	2	
1160	垃	l	ɑˠ	2	
1161	垃	l	əʔ	8	
1162	型	ɦ	iən	2	
1163	垓	k	ᴇ	1	
1164	垛	t	ɜuᵝ	3	
1165	垠	ȵ	iᶽ	2	
1166	垠	ȵ	iən	2	
1167	垢	k	øʏ	5	
1168	垣	ɦ	iɵ	2	
1169	垮	kʰ	uˠ	3	
1170	埂	k	ã	3	
1171	埂	k	ən	3	
1172	埃		ᴇ	1	
1173	埋	m	ɑˠ	2	
1174	埋	m	ᴇ	2	
1175	城	z(ʒ)	ən	2	
1176	埒	l	iɪʔ	8	
1177	埔	pʰ	ʉᵝ	3	
1178	域	ɦ	yəʔ	8	
1179	埠	b	ʉᵝ	6	
1180	埡		iɑˠ	1	
1181	埡		iuˠ	1	
1182	埭	d	ɑˠ	6	
1183	埭	d	ᴇ	6	黃~，芮~
1184	埲	b	oŋ	6	
1185	執	ts(tʃ)	əʔ	7	
1186	培	b	ᴇ	2	
1187	基	tɕ	iᶽ	1	
1188	埿	ȵ	iᶽ	2	
1189	堂	d	ɑ̃ˠ	2	
1190	堃	kʰ	uən	1	
1191	堅	tɕ	i	1	
1192	堆	t	ᴇ	1	
1193	堇	dʑ	iən	6	
1194	堊		uˠ	5	
1195	堍	tʰ	ɜuᵝ	3	
1196	堛	b	iɪʔ	8	
1197	堝	k	ɜuᵝ	1	
1198	堞	d	iɪʔ	8	
1199	堡	p	æ	3	
1200	堤	d	iᶽ	2	
1201	堪	kʰ	ɵ	1	
1202	堯	ɦ	iæ	2	
1203	堰		i	5	
1204	報	p	æ	5	
1205	場	z(ʒ)	ã	2	
1206	堵	t	ɜuᵝ	3	
1207	堿	k	ᴇ	3	
1208	堿	tɕ	i	3	
1209	塊	kʰ	uᴇ	5	
1210	塋	ɦ	iən	2	
1211	塌	tʰ	aʔ	7	
1212	塍	z	ã	2	
1213	塍	z(ʒ)	ən	2	
1214	塑	s	ɜuᵝ	5	
1215	塑	s	oʔ	7	
1216	塒	z(ʒ)	ʮ(ʯ)	2	
1217	塔	tʰ	aʔ	7	
1218	塗	d	ɜuᵝ	2	
1219	塘	d	ɑ̃ˠ	2	
1220	塚	ts(tʃ)	oŋ	3	
1221	塞	s	ᴇ	5	
1222	塞	s	əʔ	7	
1223	塢		ɜuᵝ	1	
1224	填	d	i	2	
1225	塳	b	oŋ	2	
1226	塵	z(ʒ)	ən	2	
1227	塹	tɕʰ	i	5	
1228	塽	s(ʃ)	ɑ̃ˠ	3	
1229	塾	z(ʒ)	oʔ	8	
1230	境	tɕ	iən	5	
1231	墅	z	ɿ	6	
1232	墉	ɦ	ioŋ	2	
1233	墊	d	i	6	
1234	墐	dʑ	iən	6	
1235	墓	m	uˠ	6	
1236	墓	m		6	陸~，陳~
1237	墜	z(ʒ)	ʮ(ʯ)	2	
1238	墜	z	ᴇ	6	
1239	增	ts	ən	1	
1240	墟	tɕʰ	yᶽ	1	
1241	墟	ɕ	yᶽ	1	
1242	墡	z(ʒ)	ɵ	6	
1243	墨	m	əʔ	8	
1244	墩	t	ən	1	
1245	墮	d	ɜuᵝ	6	
1246	墳	v	ən	2	
1247	墼	tɕ	iəʔ	7	
1248	墾	kʰ	ən	3	
1249	壁	p	iɪʔ	7	
1250	壅		ioŋ	3	
1251	壇	d	ᴇ	2	
1252	壇	d	ɵ	2	
1253	壑	h	oʔ	7	
1254	壓		ɑˠʔ	7	
1255	壕	ŋ	æ	2	
1256	壕	ɦ	æ	2	
1257	壘	l	ᴇ	3	
1258	壙	kʰ	uɑ̃ˠ	5	
1259	壚	l	ɜuᵝ	2	
1260	壞	ɦ	uɑˠ	6	
1261	壞		uɑˠ	5	
1262	壞	ɦ	uᴇ	6	
1263	壟	l	oŋ	3	
1264	壣	l	ən	2	
1265	壤	z(ʒ)	ã	6	
1266	壤	ȵ	iã	6	
1267	壩	p	uˠ	5	
1268	士	z	ɿ	6	
1269	壬	ȵ	iən	2	
1270	壯	ts(tʃ)	ɑ̃ˠ	5	
1271	壹		iəʔ	7	
1272	壺	ɦ	ɜuᵝ	2	
1273	壽	z(ʒ)	øʏ	6	
1274	夏	ɕ	iɑˠ	3	
1275	夏	ɦ	uˠ	6	
1276	夔	ɡ	uᴇ	2	
1277	夕	z	iɪʔ	8	
1278	外	ŋ	ɑˠ	6	
1279	外	ɦ	uɑˠ	6	
1280	外	ɦ	uᴇ	6	
1281	夙	s	oʔ	7	
1282	多	t	ɜuᵝ	1	
1283	多	t	ɑˠ	1	
1284	夜	ɦ	iɑˠ	6	
1285	夜		iɑˠ	5	
1286	夜		i	5	
1287	夠	k	øʏ	5	
1288	夢	m	oŋ	6	
1289	夥	h	ɜuᵝ	3	
1290	大	d	ɜuᵝ	6	
1291	大	d	ɑˠ	6	
1292	天	tʰ	i	1	
1293	太	tʰ	ɑˠ	5	
1294	夫	f	ʉᵝ	1	
1295	夭		iæ	1	
1296	夭		iæ	3	
1297	央		iã	1	
1298	夯	h	ã	1	
1299	失	s(ʃ)	əʔ	7	
1300	夷	ɦ	iᶽ	2	
1301	夸	kʰ	uˠ	1	
1302	夾	k	aʔ	7	
1303	夾	tɕ	iaʔ	7	
1304	奄		i	3	
1305	奅	pʰ	æ	5	
1306	奇	tɕ	iᶽ	1	
1307	奇	dʑ	iᶽ	2	
1308	奈	n	ᴇ	6	
1309	奉	v	oŋ	6	
1310	奎	kʰ	uᴇ	1	
1311	奏	ts	øʏ	5	
1312	奐	h	uɵ	5	
1313	契	tɕʰ	iᶽ	5	
1314	契	tɕʰ	iəʔ	7	
1315	奓	ts	uˠ	5	
1316	奔	p	ən	1	
1317	奕	ɦ	iəʔ	8	
1318	套	tʰ	æ	5	
1319	奘	ts	ɑ̃ˠ	1	
1320	奚	ɦ	iᶽ	2	
1321	奠	d	i	6	
1322	奢	s	uˠ	1	
1323	奢	s(ʃ)	øʏ	1	
1324	奤	pʰ	oʔ	7	
1325	奧		æ	5	
1326	奩	l	i	2	
1327	奪	d	əʔ	8	
1328	奮	f	ən	5	
1329	女	ȵ	yᶽ	6	
1330	奴	n	ɜuᵝ	1	
1331	奴	n	ɜuᵝ	2	
1332	奴	n	ɜuᵝ	6	
1333	奶	n	ɑˠ	1	
1334	奶	n	ɑˠ	6	
1335	奸	k	ᴇ	1	
1336	奸	tɕ	i	1	
1337	她	tʰ	ɑˠ	1	
1338	好	h	æ	3	
1339	如	z(ʒ)	ʮ(ʯ)	2	
1340	妃	f	iᶽ	1	
1341	妄	m	ɑ̃ˠ	6	
1342	妄	v	ɑ̃ˠ	6	
1343	妊	z(ʒ)	ən	6	
1344	妍	ȵ	i	2	
1345	妒	t	ɜuᵝ	5	
1346	妓	dʑ	iᶽ	6	
1347	妖		iæ	1	
1348	妗	ɕ	i	1	
1349	妙	m	iæ	6	
1350	妝	ts(tʃ)	ɑ̃ˠ	1	
1351	妞	ȵ	ʏ	2	
1352	妣	p	iᶽ	3	
1353	妤	ɦ	yᶽ	2	
1354	妥	tʰ	ɜuᵝ	3	
1355	妨	f	ɑ̃ˠ	1	
1356	妨	f	ɑ̃ˠ	3	
1357	妮	ȵ	iᶽ	2	
1358	妯	z(ʒ)	oʔ	8	
1359	妲	t	aʔ	7	
1360	妹	m	ᴇ	6	
1361	妻	tsʰ	iᶽ	1	
1362	妾	tsʰ	iɪʔ	7	
1363	姆	m	uˠ	1	
1364	姆	m		1	
1365	姆	m		2	
1366	姊	ts	ɿ	3	
1367	姊	ts	iᶽ	3	
1368	始	s(ʃ)	ʮ(ʯ)	3	
1369	姍	s	ᴇ	1	
1370	姐	ts	iᶽ	3	
1371	姐	ts	iɑˠ	3	
1372	姑	k	ɜuᵝ	1	
1373	姒	z	ɿ	6	
1374	姓	s	in	5	
1375	委		uᴇ	3	
1376	姘	pʰ	in	1	
1377	姚	ɦ	iæ	2	
1378	姜	tɕ	iã	1	
1379	姝	ts(tʃ)	ʮ(ʯ)	1	
1380	姣	tɕ	iæ	1	
1381	姥	l	æ	6	
1382	姦	tɕ	i	1	
1383	姨	ɦ	iᶽ	2	
1384	姬	tɕ	iᶽ	1	
1385	姬	tɕ	iᶽ	5	
1386	姻		iən	1	
1387	姿	ts	ɿ	1	
1388	威		uᴇ	1	
1389	娃		uɑˠ	1	
1390	娉	pʰ	in	1	
1391	娌	l	iᶽ	6	
1392	娑	s	ɜuᵝ	3	
1393	娓	v	iᶽ	6	
1394	娘	ȵ	iã	1	
1395	娘	ȵ	iã	2	
1396	娛	ȵ	yᶽ	2	
1397	娜	n	ɜuᵝ	3	
1398	娜	n	ɑˠ	1	
1399	娟	tɕ	iɵ	1	
1400	娠	s(ʃ)	ən	1	
1401	娣	d	iᶽ	6	
1402	娥	ŋ	ɜuᵝ	2	
1403	娩	m	i	6	
1404	娶	tsʰ	iᶽ	3	
1405	娼	tsʰ(tʃʰ)	ã	1	
1406	婀		ɜuᵝ	1	
1407	婁	l	øʏ	2	
1408	婆	b	ʉᵝ	2	
1409	婉		uɵ	3	
1410	婊	p	iæ	3	
1411	婕	z	iɪʔ	8	
1412	婚	h	uən	1	
1413	婢	b	iᶽ	6	
1414	婦	v	ʉᵝ	6	
1415	婪	l	ɵ	2	
1416	婭		iɑˠ	1	
1417	婭		iuˠ	1	
1418	婷	d	in	2	
1419	婺	v	ʉᵝ	6	
1420	婿	s	iᶽ	5	
1421	媒	m	ᴇ	2	
1422	媚	m	iᶽ	6	
1423	媚	m	ᴇ	6	
1424	媛	n	ɵ	6	
1425	媟	s	iɪʔ	7	
1426	媧		ɜuᵝ	1	
1427	媲	pʰ	iᶽ	5	
1428	媳	s	iɪʔ	7	
1429	媸	tsʰ(tʃʰ)	ʮ(ʯ)	1	
1430	媽	m	ɑˠ	1	
1431	媾	k	øʏ	5	
1432	嫁	k	ɑˠ	5	
1433	嫁	tɕ	iɑˠ	5	
1434	嫂	s	æ	3	
1435	嫉	z	iɪʔ	8	
1436	嫋	ȵ	iæ	3	
1437	嫌	ɦ	i	2	
1438	嫖	b	iæ	2	
1439	嫗		yᶽ	5	
1440	嫘	l	ᴇ	2	
1441	嫚	m	ᴇ	6	
1442	嫡	t	iɪʔ	7	
1443	嫣		i	1	
1444	嫦	z(ʒ)	ã	2	
1445	嫩	n	ən	6	
1446	嫫	m	uˠ	2	
1447	嫵	v	ʉᵝ	6	
1448	嫺	ɦ	i	2	
1449	嫻	ɦ	i	2	
1450	嫽	l	iæ	2	
1451	嫿	ɦ	uəʔ	8	
1452	嬁	t	ən	1	
1453	嬈	z(ʒ)	æ	6	
1454	嬉	ɕ	iᶽ	1	
1455	嬋	z(ʒ)	ɵ	2	
1456	嬌	tɕ	iæ	1	
1457	嬙	z	iã	2	
1458	嬡		ᴇ	5	
1459	嬤	m	uˠ	2	
1460	嬪	b	in	2	
1461	嬯	t	ᴇ	1	
1462	嬰		iən	1	
1463	嬲	ȵ	iæ	6	
1464	嬴	ɦ	iən	2	
1465	嬸	s(ʃ)	ən	3	
1466	孀	s(ʃ)	ɑ̃ˠ	1	
1467	孃	ȵ	iã	1	
1468	孃	ȵ	iã	2	
1469	孌	l	ɵ	2	
1470	子	ts	ɿ	3	
1471	孑	tɕ	iəʔ	7	
1472	孓	tɕ	yəʔ	7	
1473	孔	kʰ	oŋ	3	
1474	孕		yən	3	
1475	字	z	ɿ	6	
1476	存	z	ən	2	
1477	孚	f	ʉᵝ	1	
1478	孛	b	əʔ	8	
1479	孜	ts	ɿ	1	
1480	孝	h	æ	5	
1481	孝	ɕ	iæ	5	
1482	孟	m	ã	6	
1483	孟	m	ən	6	
1484	孢	p	æ	1	
1485	季	tɕ	iᶽ	5	
1486	孤	k	ɜuᵝ	1	
1487	孥	n	ɜuᵝ	1	
1488	孩	ɦ	ᴇ	2	
1489	孫	s	ən	1	
1490	孬	h	uɑˠ	5	
1491	孰	z(ʒ)	oʔ	8	
1492	孳	ts	ɿ	1	
1493	孵	b	ʉᵝ	6	
1494	孵	f	ʉᵝ	1	
1495	學	ɦ	oʔ	8	
1496	學	ɦ	ioʔ	8	
1497	孺	z(ʒ)	ʮ(ʯ)	2	
1498	孽	ȵ	iəʔ	8	
1499	孿	l	ɵ	2	
1500	宂	z(ʒ)	oŋ	6	
1501	它	tʰ	ɑˠ	1	
1502	宅	z	ɑˠʔ	8	
1503	宇		yᶽ	1	
1504	守	s(ʃ)	øʏ	3	
1505	安		ɵ	1	
1506	宋	s	oŋ	5	
1507	完	ɦ	uɵ	2	
1508	宏	ɦ	oŋ	2	
1509	宓	m	iɪʔ	8	
1510	宕	d	ɑ̃ˠ	6	
1511	宗	ts	oŋ	1	
1512	官	k	uɵ	1	
1513	宙	z(ʒ)	øʏ	6	
1514	定	d	in	6	
1515	宛		uɵ	3	
1516	宜	ȵ	iᶽ	2	
1517	客	kʰ	ɑˠʔ	7	
1518	客	kʰ	əʔ	7	
1519	宣	s	i	1	
1520	室	s(ʃ)	əʔ	7	
1521	宥	ɦ	ʏ	6	
1522	宦	ɦ	uᴇ	6	
1523	宦		uᴇ	3	
1524	宮	k	oŋ	1	
1525	宰	ts	ᴇ	3	
1526	害	ɦ	ᴇ	6	
1527	宴		i	5	
1528	宵	s	iæ	1	
1529	家	k	ɑˠ	1	
1530	家	tɕ	iɑˠ	1	
1531	宸	z(ʒ)	ən	2	
1532	容	ɦ	ioŋ	2	
1533	宿	s	øʏ	5	
1534	宿	s	oʔ	7	
1535	寂	z	iɪʔ	8	
1536	寄	tɕ	iᶽ	5	
1537	寅	ɦ	iən	2	
1538	密	m	iɪʔ	8	
1539	寇	kʰ	øʏ	5	
1540	富	f	ʉᵝ	5	
1541	寐	m	ᴇ	6	
1542	寒	ɦ	ɵ	2	
1543	寓	ȵ	yᶽ	6	
1544	寞	m	oʔ	8	
1545	察	tsʰ	aʔ	7	
1546	寡	k	uɑˠ	3	
1547	寡	k	uˠ	3	
1548	寢	tsʰ	in	3	
1549	寣	h	uəʔ	7	
1550	寤	ŋ	ɜuᵝ	6	
1551	寥	l	iæ	2	
1552	實	z(ʒ)	əʔ	8	
1553	寧	ȵ	iən	2	
1554	寧	ȵ	iən	6	
1555	寨	z	ᴇ	6	
1556	審	s(ʃ)	ən	3	
1557	寫	s	iɑˠ	3	
1558	寬	kʰ	uɵ	1	
1559	寮	l	iæ	2	
1560	寰	ɡ	uᴇ	2	
1561	寵	tsʰ(tʃʰ)	oŋ	3	
1562	寶	p	æ	3	
1563	寸	tsʰ	ən	5	
1564	寺	z	ɿ	6	
1565	封	f	oŋ	1	
1566	射	z(ʒ)	ɑˠ	6	
1567	射	z	uˠ	6	
1568	射	z(ʒ)	øʏ	6	
1569	射	z	oʔ	8	
1570	將	ts	iã	1	
1571	將	ts	iã	5	
1572	專	ts(tʃ)	ɵ	1	
1573	尉	ɦ	yᶽ	6	
1574	尉	ɦ	uᴇ	6	
1575	尊	ts	ən	1	
1576	尋	z	in	2	
1577	對	t	ᴇ	5	
1578	導	d	æ	6	
1579	小	s	iæ	3	
1580	少	s(ʃ)	æ	3	
1581	少	s(ʃ)	æ	5	
1582	尖	ts	i	1	
1583	尚	z(ʒ)	ã	6	
1584	尚	z	ɑ̃ˠ	6	
1585	尤	ɦ	ʏ	2	
1586	尬	k	ɑˠ	5	
1587	就	z	øʏ	6	
1588	尷	k	ᴇ	1	
1589	尸	s(ʃ)	ʮ(ʯ)	1	
1590	尹	ɦ	iən	6	
1591	尺	tsʰ	ɑˠʔ	7	
1592	尺	tsʰ(tʃʰ)	əʔ	7	
1593	尻	kʰ	æ	1	
1594	尼	ȵ	iᶽ	2	
1595	尾	m	iᶽ	6	
1596	尾	v	iᶽ	6	
1597	尾	ȵ	iᶽ	6	
1598	尿	s(ʃ)	ʮ(ʯ)	1	
1599	尿	ȵ	iæ	3	
1600	局	dʑ	ioʔ	8	
