#調值	[1]11 [2]21 [3]52 [4]44 [5]22 [6]25				
#符號說明:	-白=文				
#aŋ					
m	[2]磨[4]麽{～個;～裏}[6]磨				
p	[1]波玻菠[5]簸				
pʰ	[1]坡頗[5]破				
s	[1]蓑唆簑[3]鎖瑣				
t	[3]躲朵[5]剁				
tʰ	[3]妥橢				
Ø	[1]窩渦萵 [2]捂惡[3]屋[6]臥				
#oŋ					
b	[2]彭膨鵬朋蓬篷				
d	[2]同童銅桐筒瞳頭{饅～;手指～}[6]動洞				
dz	[2]蟲崇松重從从松[6]重				
g	[2]轰				
h	[1]風楓豐封峯峰瘋鋒[2]弘紅縫馮洪鴻逢縫[3]諷[4]哄[6]鳳烘縫				
k	[1]弓躬宮公功工蚣攻恭空根{竹～}[2]躬[3]㔶[4]汞[5]貢供共□{鑽}				
kʰ	[1]空[2]□{撞擊聲}[3]恐拱{～嘴}孔[5]控[6]傾				
l	[1]聾[2]龍農[3]攏儂{第二人稱複數}[6]弄				
m	[2]蒙[4]懵猛[6]孟夢				
p	[1]崩[5]迸				
pʰ	[1]蜂[3]捧[5]碰				
s	[1]嵩鬆[2]□[3]擤[5]送宋[6]頌誦				
t	[1]冬東[3]董斗{～篷}[5]凍棟				
tʰ	[1]通[3]桶捅[5]痛				
ts	[1]中綜忠終宗鍾縱蹤[3]種[5]種粽中眾縱				
tsʰ	[1]樁銃充怱蔥舂衝[3]寵㩳[5]衝铳				
Ø	[1]翁㙲揞[5]雍				
#ioŋ					
dʑ	[2]窮穹				
h	[1]胷胸凶兇兄[2]熊雄				
Ø	[1]擁庸雍[2]戎狨絨融容蓉蓉茸营-{～養}[4]永泳[6]用				
#ɔ					
b	[2]刨袍雹浮[6]暴菢曝泡				
d	[2]桃淘陶逃萄[6]道稻導盜				
dz	[2]潮巢曹槽[6]造皂				
h	[1]蒿薅[2]豪譹壕嚎濠毫和[3]好[5]耗号[6]號浩				
k	[1]高膏糕羔[2]□{動}[3]攪搞篙[5]窖叫覺告				
kʰ	[1]敲[3]考烤[5]靠				
l	[1]撈[2]撓勞[4]老姥佬惱腦[6]毒鬧				
m	[1]貓[2]毛茅矛錨髦牦冇{～得}[4]卯[6]冒帽茂貿貌				
p	[1]包煲胞褒剝[3]寶保飽堡[5]爆報暴豹[6]鮑抱				
pʰ	[1]萢泡拋藨[2]炮[3]跑[4]雹[5]泡炮爆[6]泡皰				
s	[1]燒梢騷臊稍[2]韶[3]嫂掃[5]少掃潲[6]邵紹				
t	[1]刀[2]著[3]倒禱島[5]倒道到				
tʰ	[1]濤掏滔[3]討[5]套				
ts	[1]朝招召昭糟遭照燥[3]沼找蚤澡爪早[5]照罩				
tsʰ	[1]超抄鈔操糙[3]炒吵草燥躁[5]躁噪[6]造				
Ø	[2]熬敖獒翱翶[4]齩[5]奧澳坳懊拗[6]傲				
#iɔ					
ɕ	[1]肖消销萧宵[3]小[5]嘯笑				
b	[2]瓢嫖				
d	[2]條調窕[6]掉				
dʑ	[2]樵橋喬僑瞧[6]轎				
h	[1]囂[2]淆[3]曉[5]孝[6]校效				
l	[1]□{踢}[2]聊寥燎撩潦焯[3]鳥[4]裊[6]料撂漻尿繞廖摇				
m	[2]苗瞄描[4]杳秒渺藐[6]玅妙廟謬				
p	[1]鏢膘標飆彪[3]表錶婊裱				
pʰ	[1]漂飄[5]票[6]泡{～豆腐}				
t	[1]挑貂刁雕鵰[3]鳥狡[5]釣				
tʰ	[1]挑[3]斢[5]跳眺糶				
tɕ	[1]澆交教焦姣驕蕉椒膠郊教[3]繳矯絞僥狡攪[5]叫窖酵較				
tɕʰ	[1]悄[3]巧雀[5]撬峭俏				
Ø	[1]要腰邀妖幺[2]搖窈姚遙謠[4]舀擾[5]要[6]耀燿繞				
#ɿ					
dz	[2]雌馳池瓷遲祠詞辭辭持慈值侄殖植[6]字自治滯稚				
s	[1]施斯絲私思豉司詩些师獅[2]食實石時{～間}識拾釋适蝕噬十濕失匙拾時溪{地名:達～}[3]死始矢屎史使廁[4]市{文～}[5]室試世式飾勢弒軾四拭伺[6]是市事視士氏仕示誓柿逝侍似祀巳嗜恃舐寺嗣飼				
ts	[1]諮姿資滋蜘肢支子隻=[2]梔接職质指[3]紫子籽仔纸指[5]蟄刺汁智志至				
tsʰ	[1]痴車□{縫;縫紉}[2]尺秩赤[3]此侈齒[5]刺次賜翅				
#i					
ɕ	[1]西[2]夕惜习媳息蓆時{～候}石實犀悉膝[3]洗舍璽[5]細				
b	[2]皮疲脾琵枇鼻[6]陛避被備				
d	[2]堤啼蹄提題狄笛敵[6]地弟第				
dʑ	[2]奇騎岐及祁期鰭其旗祈齊薺疾籍極集[6]技妓徛忌				
h	[1]犧熙嬉稀希[2]吸[3]喜[5]戲棄{～權}蜕{～殼}[6]系				
l	[2]尼力泥栗梨溺[4]你里理[6]膩例				
m	[1]瞇尾[2]謎蜜密眉棉枚微[4]米[6]謎				
p	[2]必筆璧碧壁臂密秘泌[3]彼比[5]箅秘				
pʰ	[1]批胚[2]坯僻披[3]否丕匹[5]譬屁				
t	[1]低裏{屋～}[2]嫡[3]抵邸底[4]裏{哪～;麽～}[5]帝[6]粒{一～肉}隶{～書}				
tɕ	[1]蜘肌飢基機唧雞稽肢支[2]跡蹟屐急積脊激擊即鯽級緝輯職吸质指杞[3]幾几己杞指[5]記寄冀季既濟劑計繼繫祭際汁寂紀智志至				
tɕʰ	[1]欺妻[2]谿溪喫七吃赤戚尺漆栖訖集膝[3]起豈啟啓齒[5]氣器砌契棄泣乞企				
tʰ	[1]梯[2]踢鐵[3]體体剔[5]涕替剃				
Ø	[1]伊醫衣依耶[2]姨宜遺疑一益揖驛日[3]乙椅倚[4]以已裏[5]意億義[6]爾{這}易藝				
#in					
ɕ	[1]心先新星芯猩薪仙[2]涎[3]醒[5]信線性訊衅迅姓				
