ɕiɛ	1	35	些歇卸屑泻(~肚子)泄胁息熄媳袭惜夕悉昔析皙檄隙设摄折(~本,亏本)涉室式失湿释饰什识适蚀(侵~)雪薛戌(~时)恤(体~)	
ɕiɛ	2	13	□(耷拉下来)□(恶作剧地摹仿别人说的)	
ɕiɛ	3	53	写=筛(颠簸而使物掉落)	
ɕiɛ	5	11	蚀(日~)习谢=十拾话食□(重量减少)□(~水，猪肯吃潲)	
iɛ	1	35	一乙易(贸~)益缢壹揖译驿抑液噎谒人意(玩~，玩具)𥣘(~谷，瘪谷)	
iɛ	3	53	也=揶(~~，取笑)	
iɛ	2	13	爷=耶椰掖揣	
iɛ	5	11	叶页翼热	
kuɛ	1	35	国帼骨决诀抉蕨獗抓	
kʰuɛ	1	35	出黜掘倔缺阕	
kʰuɛ	2	13	□(蜷缩)	
kʰuɛ	5	11	□(用力挣脱)	
ŋuɛ	5	11	月	
uɛ	1	35	越(~南，超~)阅悦曰(子~;放声大哭)粤勿-物□(~椅子，将小松树加热、弯曲做成椅子)	
uɛ	2	13	□(~牯，蠢女人)囗(折叠;皱)	
uɛ	3	53	抓(~痒;~田，莳田;量词，一~花生)	
uɛ	5	11	越(更)榾(核:梅子~□~子，(碗边)缺口;~子嘴，豁嘴)	
pai	1	35	□(~子，跛子)	
pai	3	53	摆	
pai	5	11	拜	
pʰai	1	35	□(只挑一头担子)□(猪用鼻子拱翻东西)	
pʰai	2	13	排(~队;放~)牌	
pʰai	3	53	□(担子的两头重量不一)□(~势，派头)	
pʰai	5	11	派败稗	
mai	1	35	□(~长，很长)	
mai	2	13	埋	
mai	3	53	买	
mai	5	11	卖	
fai	2	13	怀淮槐	
fai	5	11	坏	
tai	1	35	呆(发~)	
tai	2	13	诒(欺骗)	
tai	3	53	逮(~倒，抓住)歹	
tai	5	11	带	
tʰai	1	35	猜差(出~)钗=	
tʰai	2	13	柴豺□(濛露~~，雾很重)	
tʰai	5	11	太=寨泰=	
tʰai	3	53	踩	
lai	1	35	奶(吃~;~仔，乳房)□(随意地躺着)	
lai	2	13	□(用脚底擦磨:~田)□(~尿，遗尿)	
lai	3	53	乃俫(~哩，男孩，儿子)	
lai	5	11	赖癞耐奈柰(~李，李子的一种)㸊(烫，动词)	
tsai	1	35	斋(书~;一种用大米粉做成的食品)□(~起渠，不理睬他,莫~渠，别理他)	
tsai	2	13	□(小孩或老人行路不稳貌)	
tsai	5	11	债	
sai	1	35	筛(~子;~货篮，大竹筛，引申指好惹事、爱串门的人)酾(~茶)	
sai	2	13	□(~起去了，走了，含贬斥义)	
sai	3	53	洒(~水;潇~，轻闲)□(没~起渠，没有理睬他，没把他放在眼里)	
sai	5	11	晒赛	
kai	1	35	街皆阶	
kai	3	53	解	
kai	5	11	界届戒介疥锯-(用~~)	
kʰai	1	35	揩	
kʰai	3	53	楷锴偕	
ŋai	1	35	挨(~家~户;~饿)埃	
ŋai	2	13	癌皑呆(死~，很呆板)捱(拖延:~时间)岩(~鹰;~石)颜	
ŋai	3	53	蔼霭	
ŋai	5	11	艾(~叶;姓隘)雁□(磕，碰，挂碍;招惹别人)	
xai	1	35	还(~是)鞋	
xai	3	53	态懈骇(用言语镇住别人)	
xai	5	11	大太(~阳穴)汰泰-(国~民安)	
ai	1	35	挨(又，靠近)	
ai	3	53	矮蔼(又)霭(又)	
ai	5	11	哎唉	
kuai	1	35	乖(~巧)	
kuai	2	13	□(舞动身体以示卖弄)	
kuai	3	53	拐(~子,:怪人贩子;~场，糟糕;麻~，皮为麻色的蛙)	
kuai	5	11	怪	
kʰuai	3	53	侩刽蒯(姓)□(掰)	
kʰuai	5	11	快块筷会(~计)	
uai	1	35	歪挖-(~土)	
uai	2	13	怀(~里)	
uai	3	53	崴(~哩脚，扭伤了脚)	
uai	5	11	外=	
pɛi	3	53	呸	
mɛi	2	13	谋牟	
mɛi	3	53	某亩牡	
mɛi	5	11	茂贸	
fɛi	2	13	浮(浮肿)	
fɛi	3	53	否缶	
fɛi	5	11	费(~神)	
tɛi	1	35	逗逗弄兜蔸	
tɛi	2	13	□(猪潲盆)	
tɛi	3	53	陡斗(量具)抖蚪□(跺:脚用力伸)	
tɛi	5	11	斗(~争;~钱，凑钱;打~计，凑钱吃饭;~把，作弄人或故意作对;~榫子)	
tʰɛi	1	35	□(双手搀扶或托起)□(~壶，圆形木盆)	
tʰɛi	2	13	愁	
tʰɛi	3	53	□(用力摁住人或动物;用力堵住洞穴)	
tʰɛi	5	11	凑骤=	
lɛi	1	35	搂(搂抱)□(近指语气词)	
lɛi	2	13	楼搂(用手拢着提起来:~裤)娄泥-	
lɛi	5	11	漏陋(简~;~相，不斯文、不成体统貌)□(呼唤家禽家畜)	
tsɛi	1	35	邹搊(搀扶)	
tsɛi	2	13	仔(小，形容词)	
tsɛi	3	53	走崽仔(表小称的名词后缀:刀~，竹~)	
tsɛi	5	11	奏揍皱	
sɛi	1	35	搜(~集;~kɛ13，胳肢)馊飕□(卖弄)	
sɛi	2	13	□(假装斯文)	
sɛi	3	53	叟擞	
sɛi	5	11	瘦	
kɛi	1	35	勾沟钩闸(扯~，拈)阄	
kɛi	2	13	佝(~起腰，弯着腰;~起脑壳，低着头)桕(~子树，乌桕树)	
kɛi	3	53	狗苟构	
kɛi	5	11	够购(构~造;冰冻，结~，打~)	
kʰɛi	1	35	抠(~秤;死~)	
kʰɛi	3	53	口=	
kʰɛi	5	11	扣寇	
ŋɛi	3	53	偶藕	
xɛi	1	35	偷	
xɛi	2	13	头投吼(大声哭或喊)侯喉猴	豆痘候透后厚
xɛi	3	53	口-敨(歇气)嘿(叹词，表示恍然大悟或惋惜)	
ɛi	1	35	欧鸥	
ɛi	3	53	呕	
ɛi	5	11	怄沤(天气闷热)	
pau	1	35	包苞胞褒煲	
pau	3	53	饱(吃~哩;~sau35，很多)保宝堡	
pau	5	11	报豹□(人或动物受到强烈刺激而蹦跳貌)	
pʰau	1	35	抛泡(灯~;~松，很松脆)脬抱=(拥~)	
pʰau	2	13	刨袍狍浮-	
pʰau	3	53	跑	
pʰau	5	11	炮泡雹暴(~躁;初次，乍)爆孵(~鸡崽，孵小鸡)	
mau	1	35	猫	
mau	2	13	矛茅锚毛牦髦	
mau	3	53	卯铆	
mau	5	11	貌冒(~烟)冇(~得，没有)帽	
tau	1	35	刀叨	
tau	3	53	倒倾侧岛捣祷	
tau	5	11	到倒(搞~哩，弄反了;~转，返回)悼=	
tʰau	1	35	操抄钞	
tʰau	2	13	曹槽漕巢	
tʰau	3	53	草吵炒	
tʰau	5	11	造皂糙套□(搅动:~松)濯(水流冲刷)	
lau	1	35	臊(尿~气;~疮，疥疮)□(~甲，锅巴)	
lau	2	13	劳捞(~起上来:~总，总共)痨牢□(压根儿:~不晓得)	
lau	3	53	老姥佬脑恼瑙	
lau	5	11	涝闹燎(接近火而烧焦毛发)□(错:搞~哩)	
tsau	1	35	遭糟(酒~;~糕)㷮(松脆)	
tsau	2	13	爪-(~哩，爪子;猪~,猪蹄)躁(发牌气)	
tsau	3	53	早枣澡藻蚤找爪=	
tsau	5	11	灶燥躁(烦~)	
sau	1	35	搔骚(~货精，风骚的女人)臊=捎艄	
sau	3	53	扫=嫂稍	
sau	5	11	扫哨潲	
kau	1	35	高膏篙羔糕交胶郊	
kau	2	13	搅(搅动;~屎棍，捣乱的人)□(干枯的植株:花生~;豆子~)	
kau	3	53	搞稿绞狡	
kau	5	11	告教较觉(睏~)校(~对;学~)窖跤□(交换)	
kʰau	1	35	敲	
kʰau	3	53	考烤拷	
kʰau	5	11	靠铐(用~子~起)	
