来源：	李小平 1991《临县方言志》；灰原哀 木瓜 整理录入
m	［1］埋梅枚媒煤［3］买每［5］卖妹昧寐迈
t	［1］呆［3］逮［5］待怠殆戴贷代袋带大{～夫}
tʰ	［1］胎［2］台{天～，～阶}苔{舌～}抬［3］□{～得你：娇得你}［5］态太泰
n	［1］奶{～～，乳房}［3］乃奶［5］耐奈
l	［2］来［3］这{这～，这：这些}［5］赖频
ts	［1］灾栽［3］宰载斋滓丢失［5］在再债寨
tsʰ	［1］猜差{出～}［2］才材财裁豺柴［3］彩采睬踩［5］菜蔡
s	［1］腮鳃筛{～子}［2］□{～牙：把嘴裂开露出牙齿}［3］□{抖动}［5］赛晒塞={～外}
z	［3］□{走路缓慢而摆动的样子}
tʂʰ	［3］这=
k	［1］该给{奖～}［3］改［5］概溉盖丐
kʰ	［1］开［3］凯楷慨［5］□{老k，扑克中的k}
x	［2］孩鞋害{～怕}［3］海［5］亥害骇解-{姓～；～下唡：懂了}
ŋ	［1］哀埃碍{阻～}蔼挨{～近}［3］矮隘［5］爱艾碍{隔～：隔膜}暧瑷嫒
Ø	［5］哎唉
#uɛe	
t	［1］堆［5］对队兑
tʰ	［1］推［3］腿［5］退蜕{～皮}褪
n	［5］内
l	［2］雷［5］擂□{～儿：阴囊}
ts	［1］□{～～地；水滴的样子}［2］□{～：水滴的声音}［3］最［5］罪拽
tsʰ	［1］催崔［3］揣
s	［1］衰摔［5］碎帅率{～领}蟀□{～下来哩：滑下来了}
k	［1］乖□{硬物相碰}［3］拐［5］怪
kʰ	［1］盔［3］块［5］会{～计}快筷
x	［1］回茴怀槐淮［3］悔晦毁［5］贿汇殨{～脓}桧会{～议，～不～}惠慧秽讳坏绘
Ø	［1］□{～佬，那么}［2］□{～个眼眼、钻个小孔}［3］歪□{远指代词}□{～骗}煨{～烂柴：只冒烟不着火地烧}［5］碨{石磨儿}
#iᴇ	
p	［1］鞭编边［2］扁-{～担}匾［5］辨辩辫变汴卞便{方～}遍{一～，～地}
pʰ	［1］偏蝙［2］便{～宜}［3］片篇［5］骗片{瓦～}
m	［1］绵棉眠［2］免娩娩［5］缅面{～粉}
t	［1］掂颠爹=［3］点典［5］店电殿奠佃垫
th	［1］添天［2］甜田填［3］舔腆
n	［1］黏{～起}淹-安-鞍-［2］严-拈颜言-年［3］掩-眼-碾=辇捻撵［5］酽念暗-岸-按-案-雁砚
l	［2］廉镰连联怜莲恋=［3］脸［5］敛殓链练炼
ts	［1］尖［3］姐=煎剪［2］借=藉={～故}渐践箭溅贱饯{～行}荐
tsʰ	［1］歼{～灭}签迁千［2］潜钱前［3］且浅［5］□{～起来哩，木头上面裂起小薄皮儿}
s	［1］仙先［2］邪=斜=［3］些=写=鲜{新～，～有}癣［5］泻卸=谢线羡泄={～漏}
tɕ	［1］皆秸{麦～}街监{～牢，国子～}兼艰间{时～，～断}犍{～牛}肩［2］解{～放军}检俭简柬拣减碱［5］介界芥疥戒械舰鉴剑苋谏锏涧件建健键
tɕʰ	［1］揩谦牵铅［2］钳乾{～坤}虔捐{～客}［3］遣□{～或，凑乎着过}［5］嵌欠歉惬{适，合适}
ɕ	［1］掀=憨=涎槛-［2］谐鞋=咸=衔嫌寒闲=贤弦玄［3］蟹{螃～}险显［5］解={姓；～开哩，养懂了}懈陷=馅=鼾-旱-限宪献现县
k	［1］干-{～湿}肝泔甘［3］敢-竿-杆-秆-赶-擀［5］□{知～：照顾}
kʰ	［1］看-{～照，～在你面子上}［3］砍{白～，胡说八道}［5］看-{～见}
x	［5］□{叹词，表示藐视}
Ø	［1］魇{睡～}醃-蔫烟腌阉［2］严=耶盐阎檐言=延筵研缘研爷［3］也={者～}野=掩=眼=焉演［5］夜=厌艳焰谚堰燕{姓～，～京，～子}咽宴靥液腋炎验
#yᴇ	
l	［3］□{糠～下圪哩，麻疹退下去了}
tɕ	［3］卷{～铺盖、第几～}啳{～人：骂人}［5］眷绢券圈{羊～}
tɕʰ	［1］圈{圆～}［2］全泉拳权额［3］犬［5］劝
ɕ	［1］轩掀-宣喧［2］旋悬眩［3］选［5］旋{～吃～做}旋{～床}楦{袜～儿}
Ø	［1］冤［2］元园圆员原源袁辕援{～教}渊［3］远［5］院愿怨
#əɯ	
t	［1］□{圪～，有些弯曲}兜{～喉儿，绕下巴紧帽子的带子}□{～根，沾洒自喜的样子}［3］抖陡斗{升～}□{骄傲}［5］斗{～争}豆逗痘□{～烂：撕烂}
tʰ	［1］偷［2］头投［5］透
n	［1］努{～力}［2］奴□{～～，形容小孩长得好看}［3］□{圪～儿；蝌蚪}
l	［2］卢炉芦{～苇}虏庐{～山}楼搂{～柴}耧□{值～得：值得}［3］鲁橹篓搂{～抱}［5］赂路潞鹭漏陋露{雨～}
ts	［1］租组诌{胡～}掫{～起来，用两只手端起来}［2］邹{姓～(新)}［3］祖走［5］奏皱绉骤就
tsʰ	［1］粗抽［2］愁瞅{～人，从小孔或窄缝中看人}［3］瞅{～人：给人以白眼}［5］醋措{～施}凑
s	［1］苏酥叟投飕［2］嫊{～子，儿媳妇}［3］擞{抖～}［5］素诉=塑{～像}嗉{鸟～子}嗽{咳～，～口}瘦
tʂ	［1］周舟州洲帚=轴［3］肘□{～的，故意拿架子}［5］纣昼宙咒籀{～一把：拉一把}
tʂʰ	［1］绸稠筹仇=酬［3］丑［5］臭
ʂ	［1］收［2］仇-［3］手首守［5］受兽寿授售
ɻ	［2］柔揉［3］□{～腰子：拧草绳}［5］肉
k	［1］勾{～结，～当}钩苟勾［3］狗［5］够
kʰ	［1］抠［3］口［5］扣寇叩-
x	［2］候{～车室}喉猴瘊［3］吼候{时～}［5］厚后
ŋ	［1］欧藕呕殴怄{～气}［3］偶{配～、～然}□{～到锅底上了，糊到锅底上了}［5］构购沤
#iəɯ	
t	［1］丢屌{男阴}［5］□{赶车吆喝牲畜快走声}
n	［1］牛［3］纽扭
l	［1］溜{～勾子，巴结}□{～～地，指陆续经过的人很多}□{～走：顺手拿走}□{得～：提}□{圪～：弯}［2］流刘留榴硫琉［3］柳［5］溜馏六陆
ts	［1］揪蹴［3］酒［5］就=
tsʰ	［1］秋{～天，～千}
s	［1］修羞星-{～～}［5］秀绣锈袖
tɕ	［1］纠{～缠，～正}咎究［3］九鸠久韭灸柩［5］臼舅救旧
tɕʰ	［1］丘□{不正}□{～～地，表示不顺心、不愿意干}［2］求球仇姓囚={～犯}泅{～水}□{男阴}［3］□{～着，死等纠缠}［5］□{黑～～地：理亏的样子}
ɕ	［1］休朽［2］囚-{～犯}［3］朽{瓜儿子～了：刚出世的小嫩瓜蔫死了}［5］嗅□{黑～～地：受批评后自知理亏的尴尬相}
Ø	［1］尤忧优犹悠友幽［2］由邮油游□{狗～：狗性交}［3］有酉莠［5］又右佑诱柚鼬釉幼
#ei	
p	［1］杯碑卑悲
p	［5］呸
m	［3］美=
f	［1］非飞妃匪榧［2］肥=［3］翡［5］废肺吠费=□{～，好疼：突受刺激后的呼叫声}
l	［2］离篱璃犁黎梨翎-里{底～}［3］礼李里{~头}理鲤狸［5］例厉励丽隶荔利痢吏栗另-
ts	［1］贼晴-{眼～}精-{～捷；聪明}［2］□{象声词，形容面和得干了又加水时手和面的声音}［3］挤井-虮{～子}［5］祭际济剂净-
tsʰ	［1］妻清-{～米汤}青-{～草}［2］齐脐晴-{天～了}［3］□{碾子～住手了：碾子压住手了}［5］砌-{～书包儿}
s	［1］西{～面}星-{圪～}腥-{生～气}［2］饧-{萝卜汁等制做的一种粘性甜食物}［3］洗犀玺□{～烂了：捣烂了}西{东～：物件}省-［5］细婿醒-{苏～}
tʂ	［1］知蜘蒸-这{～些人：这种人}正-{～月里}［2］这{～家做：这样做}［3］整{～～地；～掇：收拾}［5］滞{停～}制智稚置治正-{～是}致
tʂʰ	［1］驰痴称-{～轻重}［2］池迟持［3］嗤耻逞{～威势}［5］秤
ʂ	［1］升-声-［2］绳-□{瓜儿子～住了：瓜儿子活下来了，长大点儿了}［3］□{～～是是：象声词，丝丝声}［5］世势誓逝剩-
Ø	［1］欸{叹词，表示反对}［2］欸{叹词，表示疑问}［3］欸{叹词，有撒娇的意味}［5］欸{叹词，表示提醒}
#uei	
l	［1］驴［2］吕旅缕丝{～屡}儡{傀～}履累{积～}垒［5］虑滤累{劳～，连～}类泪
ts	［1］追锥［5］缀赘醉坠
tsʰ	［1］吹炊［2］垂槌锤［5］趣脆翠粹{纯～}
s	［2］谁［3］水睡{鼾～}［5］岁遂院睡{～觉}税
z	［1］□{活～～地：鲜嫩的样子}［5］芮锐蕊瑞
k	［1］圭国龟轨归规［3］诡癸鬼［5］贵桂柜鳜
kʰ	［1］奎亏窥逵葵魁傀{～儡}［5］刽跪愧
Ø	［1］桅危威违［2］围=为{作～}维惟唯微［3］委伪尾={～巴}伟韦=纬=［5］卫喂=为{～什么}遗{赠～}位未味魏=畏慰=胃
#uo	
