#汉字	音标	解释
#来源	/	林德威《Problems in Comparative Chinese Dialectology》
#声调	/	1阴平33 2阳平32 3阴上21ʔ 5阴去212 6阳去45 7阴入55ʔ 8阳入43ʔ
吓	hʋəʔ7	
匣	hʋəʔ8	
合	hʋəʔ8	
麻	mʋə2	
痧	sʋə1	中暑
鸦	ʋə1	鸦片
哕	ʋəʔ8	干呕
搲	vʋə1	挖耳朵
瓦	vʋəʔ3	
话	fʋəʔ7	
划	vʋəʔ8	
瓜	kuə1	
寡	kuəʔ3	
挂	kuə5	
花	fʋə1	
画	fʋə6	
雕	tiʋə1	
斗	tiʋəʔ3	
昼	tʃiʋ5	
斗	tiʋə5	拼接
豆	tiʋə6	
偷	tʰiʋə1	
头	tʰiʋə2	
敨	tʰiʋəʔ3	
透	tʰiʋə5	
跳	tʰiʋə5	
毒	tʰiʋə6	
稠	niʋə2	训
纽	ɲiʋəʔ3	
楼	liʋə2	两层的建筑
留	liʋə2	
漏	liʋə6	
走	tsiʋəʔ3	跑
馊	tsʰiʋə1	
薮	tsiʋə3	鸟窝
搜	siʋə1	从袋子里拿出
瘦	siʋə5	
呕	iʋəʔ3	蓝黑色，紫色
沤	iʋə5	
钩	ciʋə1	
沟	ciʋə1	
狗	ciʋəʔ3	
厚	cʰiʋə1	
够	ciʋə5	
箍	cʰiʋə1	
口	cʰiʋəʔ3	
猴	çiʋə2	
绑	pɒoʔ3	
硼	pʰə̃e2	~沙
捧	pəɤgʔ3	
张	tɒoŋ1	装入
塘	tʰɒoŋ2	
堂	tʰɒoŋ2	
肠	tʃʰɒoŋ2	
长	tʃʰɒoŋ2	
盪	tʃʰaŋ1	
丈	tʃɒoŋ6	量词
当	tɒoŋ5	典当
汤	tʰɒoŋ2	
糖	tʰɒoŋ2	
瓤	nɒoŋ1	
郎	lɒoŋ2	
浪	lɒoŋ6	
装	tsɒoŋ1	设置陷阱
庄	tsɒoŋ1	
撞	tsɒoŋ6	
仓	tsʰɒoŋ1	
床	tsʰɒoŋ2	
霜	sɒoŋ1	
丧	sɒoŋ1	丧事
张	tʃɒoŋ1	姓氏，量词
章	tʃɒoŋ1	
中	tɒoŋ1	
涨	tʃɒoʔ3	
丈	tʃʰɒoŋ1	
帐	tʃɒoŋ5	蚊帐
账	tʃɒoŋ5	
长	tʃʰɒoŋ6	剩余
长	tʰəŋ2	训，单脚跳
长	tʃʰɒoŋ2	长江，长汀
杖	tʃʰəɤgʔ3	拐杖
唱	tʃʰɒoŋ5	
香	ʃɒoŋ1	
乡	ʃɒoŋ1	
伤	ʃɒoŋ1	
尝	ʃɒoŋ2	
响	ʃɒoʔ3	~雷公
上	ʃɒoŋ1	动词
向	ʃɒoŋ5	
上	ʃɒoŋ6	名词
尚	ʃɒoŋ6	和尚
秧	ɒoŋ1	
影	ɒoʔ3	
黄	vɒoŋ2	
王	vɒoŋ2	
黄	vɒoŋ2	姓氏
缸	kɒoŋ1	
光	kɒoŋ1	
扛	kɒoŋ1	端
江	kɒoŋ1	
讲	kɒoʔ3	
降	kɒoŋ1	霜降
钢	kɒoŋ5	
糠	kʰɒoŋ1	
方	foŋ1	姓氏，方形
房	fɒoŋ2	
楻	foŋ1	大木桶
行	hoŋ2	
网	miɒoŋʔ3	
辆	liɒoŋ2	
量	liɒoŋ2	动词
梁	liɒoŋ2	
凉	liɒoŋ2	鸟睾丸
两	liɒoŋ3	两个，斤两
量	liɒoŋ6	名词
酱	tsiɒoŋ1	酱油
浆	tsiɒoŋ1	
浆	iɒoŋ1	
墙	tsʰiɒoŋ2	
抢	tsʰiɒoŋʔ3	
匠	tsʰiɒoŋ6	
像	tsʰiɒoŋ6	
箱	siɒoŋ1	
厢	siɒoŋ1	一块菜地的量词
想	siɒoŋʔ3	
象	siɒoŋ6	
羊	iɒoŋ2	
煬	iɒoŋ2	融化
杨	iɒoŋ2	杨梅
阳	iɒoŋ2	阴阳
旺	iɒoŋ6	热闹
姜	ciɒoŋ1	
疆	ciɒoŋ1	上~：上牙
娘	ɲiɒoŋ2	夫娘：妻子
让	ɲiɒoŋ6	
婆	pʰʋ2	
驳	pɒoʔ7	交换，连接
步	pøə6	训，一段路的量词
薄	pʰɒoʔ8	
藨	pʰʋ1	
浮	pʰʋ2	浮，油炸
雹	pʰɒoʔ8	
毛	mʋ1	
摸	ma1	训，轻擦
冇	mʋ2	
磨	mʋ6	名词
帽	mʋ6	
戊	vøə6	天干
刀	tʋ2	
逃	tʰʋ2	
倒	tɒoʔ3	倒下，表示成功完成的动词后缀
倒	tʋ5	颠倒
到	tʋ5	
道	tʰʋ6	
啄		弯腰，点头，鸡啄食
择	tʰɒoʔ8	
桃	tʰʋ2	
驼		
讨	tʰɒoʔ3	
托		用背推，拿在头顶
挪		训，踩到别人脚趾
糯	nʋ6	
□	lʋ2	训，锅巴
啰		
罗	lʋ2	
锣	lʋ2	
牢		建栅栏围住动物 ，
□	lʋ2	壁~：一种蜘蛛
佬	lɒoʔ3	嘴~：嘴
老	lɒoʔ3	
落	lɒoʔ8	
糟	tsʋ1	
糟	tsʋ1	用于脏
槽	tsʰʋ2	
早	tsɒoʔ3	
枣	tsɒoʔ3	
左	tsɒoʔ3	
灶	tsʋ5	
做	tsʋ5	
□	tsʋ5	用于开玩笑
桌	tsɒoʔ7	
作	tsɒoʔ7	作田，一起
搓	tsʰʋ1	
草	tsʰɒoʔ3	
糙	tsʰʋ5	
锉	tsʰʋ5	
噪	tsʰʋ5	吼叫
凿	tsʰɒoʔ8	
□	sʋ1	用于孕穗
梭	sʋ1	
锁	sʋ3	
嫂	sʋ3	
索	sɒoʔ7	
朝	tʃiʋ1	
貂	tʃiʋ1	训，黄~狸：鼬
照	tʃiʋ5	
烧	ʃiʋ1	热闹
笑	siʋə5	
着	tʃʰɒoʔ8	正确
少	ʃiʋʔ3	
屙	ʋ1	
袄	ɒoʔ3	
窝	vʋ1	山谷
高	kʋ1	
哥	kʋ1	下村用老伯
歌	kʋ1	
篙	kʋ1	
糕	kʋ1	
籇	hʋ2	抓捕运输动物的笼
果	kɒoʔ3	
钁	ciʋəʔ7	锄头
郭	kəɤʔ7	
桷	kɒoʔ7	
角	kɒoʔ7	
搉	kɒoʔ8	敲
去	cʰiə5	
壳	kʰɒoʔ7	
鹅	ŋʋ2	
熬	ŋʋ2	
饿	ŋʋ6	
豪	hʋ2	豪猪
河	hʋ2	河溪：银河
好	hɒoʔ3	
好	hɒoʔ3	作~：一起
好	hʋ5	做~：开玩笑
学	hɒoʔ8	
赵	tʃiʋ6	
腰	iʋ1	
摇	iʋ2	
窑	iʋ2	
药	iɒoʔ8	
钥		
轿	ciʋə6	
脚	ciʋəʔ7	
窥		训，窥探
攫	cʰiʋəʔ7	从地上捡起
箬		叶子
叶	iəʔ8	
箬		训，~婆：鹰
尿	ɲiʋ6	尿，~䘆：蚯蚓
薸	pʰiʋə2	
挑	tʰiʋə1	托架
捞	liʋə1	
椒	tsiʋə1	
蕉	tsiʋə1	
醮	tsiʋə5	
噍	tsiʋə6	
樵	tsʰiʋə2	
箫	siʋə1	*桥~：一种蜘蛛
箫	siʋə1	
硝	siʋə1	盐的沉积物
小	siʋəʔ3	
桥	cʰiʋə2	
茄	cʰiʋə2	
桥	cʰiʋə2	~*箫：一种蜘蛛
夫	pøə1	~娘：妻子
烰	pʰøə2	烤，水煮
菩	pʰøə2	
浮	pʰøə2	~尘：灰尘
浮	pʰøə2	训，一~粪
脯	pʰøə2	
瓠	pʰøə2	葫芦
补	pøəʔ3	
斧	pøəʔ3	
布	pøə5	
孵	pøə6	
步	pøə6	
簿	pøə6	
腐	pøə6	豆腐
殕	pʰøə1	发酵
扶	pʰøə2	
殕	pʰøəʔ3	霉
殕	pʰøəʔ3	灰暗的
潽	pʰøə5	水溢出来
亩	miʋʔ3	
墓	mʋ5	
屠	tʰʋ2	
图	tʰʋ2	
肚	tɒoʔ3	
赌	tɒoʔ3	
渡	tʋ6	
杜	tʰʋ6	
涂	tʰʋ2	~潭：地名
土	tʰɒoʔ3	
吐	tʰʋ5	
兔	tʰʋ5	
奴	nʋ2	
黸	lʋ1	铁锈
炉	lʋ2	
驴	liʋ2	本地没有
卤	lʋ1	
露	lʋ5	
路	lʋ6	
珠	cøə1	
手	ʃiʋʔ3	
臭	tʃʰiʋ5	
收	ʃiʋ1	
守	ʃiʋʔ3	
寿	ʃiʋ6	
乌	vøə1	
湖	vøə2	盆地
雨	vøə3	
舞	vøə3	
芋	vøə6	
姑	kʉøə1	
姑	kʉøə1	耳~
菇	kʉøə1	
糊	føə2	
鼓	kʉøəʔ3	凸出
久	ciʋʔ3	时间久，现在
古	kʉøəʔ3	故事
鼓	kʉøəʔ3	
牯	kʉøəʔ3	
股	kʉøəʔ3	翼~
跍	kʉøə1	蹲下
舅	cʰiʋ1	
丘	kʰʉøə1	一~田
枯	kʰʉøə1	油饼
苦	kʰʉøəʔ3	
杵	kʰʉøəʔ3	
裤	føə5	
吴	ŋʋ2	
胡	føə2	胡须
壶	føə2	
胡	føə2	姓氏，胡椒
湖	føə2	文读
糊		
虎	føəʔ3	
赴	føə5	~墟
富	føə5	
副	føə5	一~棺材
傅	føə5	姓
傅	føə6	师傅
妇	føə6	寡妇
调	tʰiʋ6	交换
抽	tʃʰiʋ1	
绸	tʃʰiʋ2	
丑	tʃʰiʋʔ3	地支
溜	liʋ1	蛇爬行
刘	liʋ2	
榴	liʋ2	石榴
吐	liʋʔ3	训，吐痰
柳	liʋʔ3	
遛	liʋə6	训，瓜夹
酒	tsiʋʔ3	
揪	tsiʋ5	训，弯曲，拧
就	tsiʋ6	
鞦	tsʰiʋ1	
须	tsʰiʋ1	
秋	tsʰiʋ1	
泅	siʋ2	游泳
油	iʋ2	
酉	iʋʔ3	地支
右	iʋ6	
又	iʋ6	
九	ciʋʔ3	
韭	ciʋʔ3	
旧	ciʋ6	
球	cʰiʋ2	
扭	ɲiʋʔ3	
分	pə̃e1	给
本	pəeʔ3	
粪	pə̃e5	
奋	pə̃e6	训，用前脚挖
㖹	pʰə̃e2	吹
盆	pʰə̃e2	
喷	pʰə̃e5	泼洒
满	mə̃e1	训，溢出，满
蚊	mə̃e1	
门	mə̃e2	
问	mə̃e6	
钝	tə̃e1	
墩	təeʔ3	无法灌溉的山顶，用于地名
吞	tʰə̃e1	
耸	nə̃e1	训，耸肩
轮	lə̃e2	训，竹鼠
轮	lə̃e2	
撚	nəeʔ3	
蜦	lə̃e6	一种青蛙
村	tsʰə̃e1	
寸	tsʰə̃e5	
孙	sə̃e1	
寻	tsʰə̃e2	
笋	səeʔ3	
闩	səeʔ3	训
云	və̃e2	
浑	və̃e2	
炆	və̃e2	
纹	və̃e2	指纹
混	və̃e6	打滚
揾	və̃e6	沾蘸料
裙	kʰuə̃e2	
群	kʰuə̃e2	一~鸭子
滚	kuəeʔ3	滚水
滚	kʰuəeʔ3	滚动
棍	kuə̃e5	
薰	fə̃e1	烟，古田：薰
分	fə̃e1	一~
粉	fəeʔ3	
