#声调	1阴平22 2阳平21 3阴上13 5阴去55 6阳去33 7阴入53 8阳入3
#注释	*训=文-白
#资料来源	《福建四保话的古音痕迹及同音字汇》，《闽西四堡马屋客家话音韵研究》，《福建省连城县四堡客家话研究》，《连城四堡方言的几个特点》
#a	
v	[1]冤[2]完丸员园援垣缘沿铅袁辕[3]远[5]怨悬*{挎着}[6]县院
t	[1]颠[2]连策联怜连*{田畦}镰[3]点典奠[5]店恋[6]练链敛殓
tʰ	[1]天添[2]田甜填[6]电佃殿垫
l	[2]莲联年鲇咙-[6]念敛殓练炼恋
ts	[1]尖歼煎笺[2]盏剪[5]箭见荐
tsʰ	[1]千迁签槛*{户~：门槛}[2]钱前全泉[3]浅践[6]渐贱旋{发旋}
s	[1]仙鲜先宣喧楦[3]选[5]线羡
tʃ	[1]沾[3]展[5]战颤占佔
tʃʰ	[2]缠
ʃ	[1]鳝-[2]嫌=蝉贤弦玄眩=悬[3]陕闪险显[5]扇掮献宪[6]现赡膳擅禅善
h	[2]咸嫌-闲[6]限苋
#iãĩ	
k	[1]兼艰间奸肩坚[3]检拣简柬捡茧笕[5]剑建见
kʰ	[1]谦牵[2]钳[3]遣[5]欠歉絭[6]健键
g	[1]拈粘染黏{招惹}[2]严[3]眼碾{~米}研冉[6]谚砚颜*{相貌}染验岸
0	[1]奄淹阉渊烟腌焉嫣蔫燕湮[2]盐阎延炎然燃檐[3]演掩{~身：摔跌}掩[5]厌咽晏燕宴艳[6]焰雁筵
#uãĩ	
k	[1]专砖捐涓娟鹃筋-根-[3]卷转[5]眷倦
kʰ	[1]穿圈川近-伸-[2]权拳颧传[3]喘犬䘆{蚯蚓}[5]纂串劝[6]篆传
g	[1]软-[2]元原源言颜芫{~丝：香菜}[3]软=[6]愿韧-
#aʔ	
p	[7]钵{瓦盆}拨
pʰ	[7]泼钹[8]拔
b	[7]抹[8]袜-末沫茉
f	[7]发=[8]乏伐罚筏阀
t	[7]笪
tʰ	[8]达
l	[7]癞[8]辣
ts	[7]札{一~花}
tsʰ	[7]插擦察[8]铡蚻{黄~：蟑螂}
s	[7]杀刹萨
tʃ	[7]粘*{粘住}
tʃʰ	[8]着{唔~：不是吗}
ʃ	[7]泄眨*{闪电}[8]胁协
#aiʔ	
p	[7]八-
t	[7]跌贴*
tʰ	[7]铁忒*{过于}帖垫*[8]谍碟蝶-牒叠
l	[8]聂镊
s	[7]楔-{垫桌角}
h	[7]瞎-{~目}[8]狭-{窄}
#iaiʔ	
k	[7]夹-挟-颊-{面~}
g	[8]啮{咬}
#oʔ	
p	[7]博搏剥驳
pʰ	[7]拍魄[8]薄雹
b	[7]膜幕[8]莫
v	[7]握[8]镬
tʰ	[7]论托[8]择{尺量}
l	[8]落洛骆酪烙络乐
ts	[7]作捉卓桌
tsʰ	[8]昨凿戳浊玩*镯凿
s	[7]索{绳子}
tʃ	[7]琢着{~衣}
tʃʰ	[7]戳[8]着{~火}
ʃ	[7]勺芍杓
k	[7]各鸽阁搁郭象*{大象}佮{~佢去：跟你去}
kʰ	[7]磕扩确壳壳{刺*刺*~：蟾蜍}
g	[8]鳄鄂岳狱
h	[7]热*霍藿[8]学合鹤
0	[7]恶
#ɔʔ	
p	[7]百柏伯
pʰ	[7]泊[8]白
b	[8]没=麦拍{打}
f	[7]法
v	[8]划画{动词}
t	[7]答搭
tʰ	[7]塔榻塌[8]踏
l	[8]纳腊蜡搦{拿}
ts	[7]扎{~营}笮{压}
tsʰ	[7]拆册舀*[8]闸杂
tʃ	[7]只炙
tʃʰ	[7]赤尺
ʃ	[8]石
k	[7]甲胛格-合裌
kʰ	[7]客
h	[7]吓赫[8]合盒
0	[7]压押鸭轭
#əʔ	
p	[7]不北
pʰ	[8]卜{萝~}白=
b	[7]物{作弄}[8]没{腐烂}没-墨默脉=
f	[8]佛弗拂佛核-
v	[7]熏*{用烟薰}[8]物
t	[7]得德的=
tʰ	[7]踢剔[8]特笛籴突
l	[7]艻{树上的刺}捏*{拧；踏下；摘}垃[8]肋勒勒*{双手抱}
ts	[7]卒则择侧
tsʰ	[7]测策[8]贼泽
s	[7]涩瑟虱色啬塞率圾
k	[7]格-革急-{生气}结-
kʰ	[7]乞{乞讨}刻克*{翅膀}翅*{翅膀}
h	[7]黑乞{表给予}[8]核=歇*{完成：拿～饭：吃了饭了}
#eʔ	
p	[7]憋鳖瘪必{开裂}
pʰ	[7]撇劈-{~树}[8]别
b	[8]灭篾
f	[7]血[8]穴
v	[7]挖[8]悦阅越粤
t	[8]列烈裂例劣猎猎-{赶}
g	[7]捏[8]业热{~头：太阳}入月{月亮}
ts	[7]接节
tsʰ	[7]切[8]妾绝捷婕睫
s	[7]雪薛泄
tʃ	[7]褶摺折哲浙
tʃʰ	[7]彻撤辙湿-
ʃ	[7]摄慑涉设歇-蝎说[8]舌食-折{~本}
#ieʔ	
k	[7]揭劫结洁
kʰ	[7]缺[8]杰竭桀
