来源：	杨红 2017《介休市张良村方言语音研究》；Hynuza, Skanda 整理录入
s	［1］僧生笙甥牲森参{人～}［3］碜{粮食中的土疙瘩或小石子}［5］渗瘆
tʂ	［1］正征针珍真贞侦帧蒸斟甄［3］振诊疹整□{～子：傻子}［5］正证症政郑朕枕震镇阵
tʂʰ	［1］成城诚盛呈程尘陈称乘丞承沉辰娠臣晨［3］逞［5］秤称趁
ʂ	［1］声绳=升深申伸呻绅身［3］审婶沈慎［5］胜肾圣甚盛剩
ʐ	［1］人仁壬任［3］仍扔忍纫韧仞［5］认刃妊任{重～}纫{～上针}赁-{～房子}
k	［1］根跟更庚羹耕［3］哽埂耿［5］更
kʰ	［1］坑吭铿［3］肯啃恳垦［5］□{～了一下：碰了一下}
ŋ	［1］恩［5］摁
x	［1］亨哼恒衡横痕［3］很狠［5］恨横
Ø	［1］嗯
#uŋ
t	［1］东冬敦铜-墩蹲□{～地放下;突然用力放下}［3］董懂盹趸{～卖}捅-{～乱：闯祸}□{把一盆清水全～了：把一盆清水全弄脏了}［5］动冻炖钝顿吨沌囤盾遁
tʰ	［1］同铜桐通童瞳僮彤潼［3］筒桶捅统［5］囱=痛恸褪{～～：稍稍往旁边挪一点地方}
n	［1］农浓脓［5］嫩弄=
l	［1］龙笼聋咙陇珑茏胧隆仑伦抡轮沦囵［3］拢垄笼［5］论弄-
ʦ	［1］中忠钟盅衷宗鬃踪棕虫-重-{～新}尊遵终谆-纯-{～是米}［3］总肿种{～子}纵怂准踵［5］粽众重{～量}种{～树}中{～标}
ʦʰ	［1］从聪匆葱囱=冲春椿纯唇村存皴{～了手啦}［3］宠蠢寸
s	［1］松孙淞怂［3］耸悚笋损［5］送宋诵颂嵩顺舜唇-
z	［1］茸绒戎融［3］冗{～的多：形容动作太慢}［5］闰润
k	［1］公蚣工功攻弓躬宫恭供［3］拱巩龚汞滚［5］共贡棍
kʰ	［1］空箜坤昆鲲［3］孔恐捆啃-［5］空控困
x	［1］红虹宏洪烘鸿弘轰风疯丰冯封峰蜂逢锋缝{动词}烽枫昏婚魂馄浑荤分芬纷汾愤焚［3］哄{～人}讽粉［5］奉俸缝{～隙}凤哄{～起来耍}忿粪奋份混愤
Ø	［1］文温纹蚊雯翁嗡瘟闻［3］稳刎吻紊［5］问瓮
#ʌʔ
p	［7］八巴{哑～}叭{喇～}北杯剥拨不膊［8］拔跛把-{～饭吃了}博礴薄勃脖驳笸{～箩}钵卜鼻-{流～涕}
pʰ	［7］泼渤泊珀朴{质～}扑仆瀑曝粕舶□{腿太～：腿很粗}□{一～葱：一根葱}□{～出：倒霉的意思}［8］扑{～通跌下了了}
m	［8］末沫抹{～布}莫膜漠摸寞墨殁没木沐目苜穆睦刎-{～脖子;自刎}陌
t	［7］得德搭嗒的-{助词}［8］达答鞑
tʰ	［7］塔塌榻沓□{～湿}蹋獭托拓{～字}特踏遢
n	［8］纳捺诺
l	［7］里-{村～}邋［8］乐{快～}腊蜡勒落洛络
ʦ	［7］扎札则翟［8］炸{～串}闸铡杂泽择责仄作-宅昨凿□{～跟又去了：之前去过，后来又去了}
ʦʰ	［7］厕测侧恻策册插察错-{～写了}娶擦
nz	［8］□{把裤子～在雨鞋子里：把裤子掖入雨鞋里}
s	［7］杀萨煞涩瑟塞刹色啬厮-{～混}飒绳［8］铡-
tʂ	［7］窄摘蔗蛰褶执辄浙汁秩质织职殖着植值{～班}只-指-{～头儿}哲蜇辙［8］侄直值{～的}择-{～豆角角}□{～衣裳：把洗过的衣服在清水里再洗一次}
tʂʰ	［7］尺吃赤叱斥撤绰{～号}拆
ʂ	［7］湿失虱识蚀式饰适释涉摄设慑骰{～子：一种赌具}色-赤-{～豚子：光屁股}涩□{～水：把水甩干}［8］十什{～锦}拾实室食石{～子}舌折{～了：断了}硕芍{～药}佘□{～起来：跳起来}
ʐ	［7］□{～～～：表示惊奇或赞美的叹词，～～～，俺孩厉害了}［8］热日若弱□{詈词}
k	［7］各格阁搁割葛革鸽隔嗝膈咯{～～～：笑的声音}［8］胳疙{～瘩}蛤可{～是}咯{～吱}圪旮
kʰ	［7］渴磕壳刻克咳客瞌坷可-{～惜}
ŋ	［7］恶{～人}厄扼额腭愕鳄鄂噩拿-{～上}
x	［7］喝黑瞎骸哈-{拟声词}［8］合盒鹤核
#iʌʔ
p	［7］北鳖憋必笔毕逼壁璧碧哔愎百柏伯掰帛［8］别白-□{你孩儿用左手写字，得～过来：意思是要改过来用右手写字}鼻
pʰ	［7］匹撇瞥辟僻霹劈{开～}迫拍-珀-
m	［8］灭蜜密秘泌墨麦脉蔑默觅□{傻或称呼傻子}
t	［7］跌的{～确}滴□{～了一大碗饭：吃了一大碗饭，吃得多}涤□{～见：正好碰见}［8］碟蝶牒迭叠喋嫡狄荻笛迪籴敌的{目～}
tʰ	［7］铁帖贴踢剔惕
l	［7］□{绳绳圪～住了：绳子缠在一起了}［8］列烈裂咧冽捩{扭转：～转德老}猎劣立粒莅笠栗砾沥力雳掠略□{～干衣裳：把衣服拧干水}
ʨ	［7］接节劫结揭疖洁诘桔{～梗}颉拮杰捷睫竭羯碣孑迹击绩稽缉积激及圾唧即脊瘠吉棘藉籍楫辑疾集{～中}汲岌级急戟给髻寂暨鲫偈甲夹颊钾［8］集{～会}极截稷
ʨʰ	［7］切雀鹊却确-妾七怯漆泣乞戚□{水～了：水干了}恰掐
ȵ	［7］鸭-压-押［8］捏涅孽聂镊蹑业逆拟怩匿溺虐疟
ɕ	［7］瞎歇蝎峡狭洽辖胁挟泄亵吸媳熄息悉昔惜隙夕析蜥锡［8］学席习协袭匣膝□{～起凳子来：搬起凳子}
Ø	［7］一壹噎［8］叶页乐乙益溢缢逸亦译驿邑抑役疫椅-揖
#uʌʔ
t	［7］掇□{～住眼了：不小心用手或者其他东西戳到眼睛}［8］夺毒独读牍犊督铎渎黩□{～血：妇女经血不止}
tʰ	［7］突凸秃脱托拓
l	［8］鹿漉麓辘陆戮录绿禄碌捋率律氯
ʦ	［7］足烛逐竹竺撮{一～～}卓桌捉拙□{～了雨了}涿啄琢茁灼酌［8］族祝筑嘱瞩触镯浊作做卒
ʦʰ	［7］出处-{明～：光线明亮的地方}畜{～生}搐矗黜绌蹴猝蹙促撮{～合}戳［8］着-{动词：～了火了}
nz	［8］□{看住你孩儿，招架～下了；让孩子小心，怕从高处掉下去}
s	［7］叔粟塑说簌{拟声词}朔缩溯刷夙束［8］术述速菽淑属赎熟续塾黍硕烁俗勺
z	［8］褥入缛蓐
k	［7］谷骨郭国掴{挨～：挨打}帼蝈刮［8］窟囫轱喉-{～咙}葫-{～芦芦：中秋节做的像葫芦一样的月饼}
kʰ	［7］哭酷窟阔{广～}□{一～尿}廓括扩［8］核-{桃～儿}
x	［7］笏{～板：古代官员上朝时手中握的板子}忽惚斛{姓}豁攉霍或惑发法砝福辐蝠匐弗幅划{～船}拂袱［8］服伏俯腹覆复活佛藿获乏滑猾蝮馥伐筏罚阀缚
Ø	［7］杌{～～：一种凳子}捂{～死}渥龌幄沃［8］五-伍-午-{端～}物往{～南走}袜忤
#yʌʔ
ʨ	［7］桔{～子粉}诀□{狗～断绳子跑了}觉{～见}脚角䦆{刨土的一种工具}厥［8］局绝决抉嚼撅蹶橛爵攫
ʨʰ	［7］曲屈□{～黑：形容很黑}菊鞠缺阙瘸确崛倔掘
ȵ	［7］□{～笔：握笔}
ɕ	［7］戌畜{牲～}蓄恤雪蓿削穴血宿{～舍}肃薛［8］续旭俗□{～摸上东西了：偷了东西}
Ø	［7］域蜮阈欲育熨{～贴}［8］曰约悦阅跃粤岳狱月越{～南}钥药
