字目	读音	注释	声母	韵母	声调	(声母)	(声母序)	(韵母序)	(调序)	最后一个同音字?1为是	同音字汇(连字音beta!)	声韵组合	最后一个同音异调?1为是	同音字汇(同音异调!)	同音字汇连声韵
六	su24		s	u	24	s	10	2	6	0	六	su	0	[1]酥梳疏斯思私塑{~料}宿{~舍}驶{驾~员}[5]素数{动}赐思{意~}师{老~}司{~令}诉{~苦}□{~笋，茭白}□{垃~,lɔ33~}[3]巳仕戌[6]寺士事六	su[1]酥梳疏斯思私塑{~料}宿{~舍}驶{驾~员}[5]素数{动}赐思{意~}师{老~}司{~令}诉{~苦}□{~笋，茭白}□{垃~,lɔ33~}[3]巳仕戌[6]寺士事六
素	su24	朴~	s	u	24	s	10	2	6	1	素{朴~}	su	0	[1]酥梳疏斯思私塑{~料}宿{~舍}驶{驾~员}[5]素数{动}赐思{意~}师{老~}司{~令}诉{~苦}□{~笋，茭白}□{垃~,lɔ33~}[3]巳仕戌[6]寺士事六素{朴~}	su[1]酥梳疏斯思私塑{~料}宿{~舍}驶{驾~员}[5]素数{动}赐思{意~}师{老~}司{~令}诉{~苦}□{~笋，茭白}□{垃~,lɔ33~}[3]巳仕戌[6]寺士事六素{朴~}
辞	su204		s	u	204	s	10	2	2	0	辞	su	0	[1]酥梳疏斯思私塑{~料}宿{~舍}驶{驾~员}[5]素数{动}赐思{意~}师{老~}司{~令}诉{~苦}□{~笋，茭白}□{垃~,lɔ33~}[3]巳仕戌[6]寺士事六素{朴~}[2]辞	su[1]酥梳疏斯思私塑{~料}宿{~舍}驶{驾~员}[5]素数{动}赐思{意~}师{老~}司{~令}诉{~苦}□{~笋，茭白}□{垃~,lɔ33~}[3]巳仕戌[6]寺士事六素{朴~}[2]辞
嗣	su204		s	u	204	s	10	2	2	0	嗣	su	0	[1]酥梳疏斯思私塑{~料}宿{~舍}驶{驾~员}[5]素数{动}赐思{意~}师{老~}司{~令}诉{~苦}□{~笋，茭白}□{垃~,lɔ33~}[3]巳仕戌[6]寺士事六素{朴~}[2]辞嗣	su[1]酥梳疏斯思私塑{~料}宿{~舍}驶{驾~员}[5]素数{动}赐思{意~}师{老~}司{~令}诉{~苦}□{~笋，茭白}□{垃~,lɔ33~}[3]巳仕戌[6]寺士事六素{朴~}[2]辞嗣
俗	su204		s	u	204	s	10	2	2	0	俗	su	0	[1]酥梳疏斯思私塑{~料}宿{~舍}驶{驾~员}[5]素数{动}赐思{意~}师{老~}司{~令}诉{~苦}□{~笋，茭白}□{垃~,lɔ33~}[3]巳仕戌[6]寺士事六素{朴~}[2]辞嗣俗	su[1]酥梳疏斯思私塑{~料}宿{~舍}驶{驾~员}[5]素数{动}赐思{意~}师{老~}司{~令}诉{~苦}□{~笋，茭白}□{垃~,lɔ33~}[3]巳仕戌[6]寺士事六素{朴~}[2]辞嗣俗
续	su204		s	u	204	s	10	2	2	0	续	su	0	[1]酥梳疏斯思私塑{~料}宿{~舍}驶{驾~员}[5]素数{动}赐思{意~}师{老~}司{~令}诉{~苦}□{~笋，茭白}□{垃~,lɔ33~}[3]巳仕戌[6]寺士事六素{朴~}[2]辞嗣俗续	su[1]酥梳疏斯思私塑{~料}宿{~舍}驶{驾~员}[5]素数{动}赐思{意~}师{老~}司{~令}诉{~苦}□{~笋，茭白}□{垃~,lɔ33~}[3]巳仕戌[6]寺士事六素{朴~}[2]辞嗣俗续
束	su204		s	u	204	s	10	2	2	0	束	su	0	[1]酥梳疏斯思私塑{~料}宿{~舍}驶{驾~员}[5]素数{动}赐思{意~}师{老~}司{~令}诉{~苦}□{~笋，茭白}□{垃~,lɔ33~}[3]巳仕戌[6]寺士事六素{朴~}[2]辞嗣俗续束	su[1]酥梳疏斯思私塑{~料}宿{~舍}驶{驾~员}[5]素数{动}赐思{意~}师{老~}司{~令}诉{~苦}□{~笋，茭白}□{垃~,lɔ33~}[3]巳仕戌[6]寺士事六素{朴~}[2]辞嗣俗续束
属	su204		s	u	204	s	10	2	2	1	属	su	0	[1]酥梳疏斯思私塑{~料}宿{~舍}驶{驾~员}[5]素数{动}赐思{意~}师{老~}司{~令}诉{~苦}□{~笋，茭白}□{垃~,lɔ33~}[3]巳仕戌[6]寺士事六素{朴~}[2]辞嗣俗续束属	su[1]酥梳疏斯思私塑{~料}宿{~舍}驶{驾~员}[5]素数{动}赐思{意~}师{老~}司{~令}诉{~苦}□{~笋，茭白}□{垃~,lɔ33~}[3]巳仕戌[6]寺士事六素{朴~}[2]辞嗣俗续束属
词	su31		s	u	31	s	10	2	8	0	词	su	0	[1]酥梳疏斯思私塑{~料}宿{~舍}驶{驾~员}[5]素数{动}赐思{意~}师{老~}司{~令}诉{~苦}□{~笋，茭白}□{垃~,lɔ33~}[3]巳仕戌[6]寺士事六素{朴~}[2]辞嗣俗续束属[8]词	su[1]酥梳疏斯思私塑{~料}宿{~舍}驶{驾~员}[5]素数{动}赐思{意~}师{老~}司{~令}诉{~苦}□{~笋，茭白}□{垃~,lɔ33~}[3]巳仕戌[6]寺士事六素{朴~}[2]辞嗣俗续束属[8]词
嗽	su31		s	u	31	s	10	2	8	0	嗽	su	0	[1]酥梳疏斯思私塑{~料}宿{~舍}驶{驾~员}[5]素数{动}赐思{意~}师{老~}司{~令}诉{~苦}□{~笋，茭白}□{垃~,lɔ33~}[3]巳仕戌[6]寺士事六素{朴~}[2]辞嗣俗续束属[8]词嗽	su[1]酥梳疏斯思私塑{~料}宿{~舍}驶{驾~员}[5]素数{动}赐思{意~}师{老~}司{~令}诉{~苦}□{~笋，茭白}□{垃~,lɔ33~}[3]巳仕戌[6]寺士事六素{朴~}[2]辞嗣俗续束属[8]词嗽
史	su31	历~	s	u	31	s	10	2	8	0	史{历~}	su	0	[1]酥梳疏斯思私塑{~料}宿{~舍}驶{驾~员}[5]素数{动}赐思{意~}师{老~}司{~令}诉{~苦}□{~笋，茭白}□{垃~,lɔ33~}[3]巳仕戌[6]寺士事六素{朴~}[2]辞嗣俗续束属[8]词嗽史{历~}	su[1]酥梳疏斯思私塑{~料}宿{~舍}驶{驾~员}[5]素数{动}赐思{意~}师{老~}司{~令}诉{~苦}□{~笋，茭白}□{垃~,lɔ33~}[3]巳仕戌[6]寺士事六素{朴~}[2]辞嗣俗续束属[8]词嗽史{历~}
祠	su31	~堂	s	u	31	s	10	2	8	0	祠{~堂}	su	0	[1]酥梳疏斯思私塑{~料}宿{~舍}驶{驾~员}[5]素数{动}赐思{意~}师{老~}司{~令}诉{~苦}□{~笋，茭白}□{垃~,lɔ33~}[3]巳仕戌[6]寺士事六素{朴~}[2]辞嗣俗续束属[8]词嗽史{历~}祠{~堂}	su[1]酥梳疏斯思私塑{~料}宿{~舍}驶{驾~员}[5]素数{动}赐思{意~}师{老~}司{~令}诉{~苦}□{~笋，茭白}□{垃~,lɔ33~}[3]巳仕戌[6]寺士事六素{朴~}[2]辞嗣俗续束属[8]词嗽史{历~}祠{~堂}
苏	su31	~州	s	u	31	s	10	2	8	0	苏{~州}	su	0	[1]酥梳疏斯思私塑{~料}宿{~舍}驶{驾~员}[5]素数{动}赐思{意~}师{老~}司{~令}诉{~苦}□{~笋，茭白}□{垃~,lɔ33~}[3]巳仕戌[6]寺士事六素{朴~}[2]辞嗣俗续束属[8]词嗽史{历~}祠{~堂}苏{~州}	su[1]酥梳疏斯思私塑{~料}宿{~舍}驶{驾~员}[5]素数{动}赐思{意~}师{老~}司{~令}诉{~苦}□{~笋，茭白}□{垃~,lɔ33~}[3]巳仕戌[6]寺士事六素{朴~}[2]辞嗣俗续束属[8]词嗽史{历~}祠{~堂}苏{~州}
□	su31	~ʨhy11，兔子	s	u	31	s	10	2	8	0	□{~ʨhy11，兔子}	su	0	[1]酥梳疏斯思私塑{~料}宿{~舍}驶{驾~员}[5]素数{动}赐思{意~}师{老~}司{~令}诉{~苦}□{~笋，茭白}□{垃~,lɔ33~}[3]巳仕戌[6]寺士事六素{朴~}[2]辞嗣俗续束属[8]词嗽史{历~}祠{~堂}苏{~州}□{~ʨhy11，兔子}	su[1]酥梳疏斯思私塑{~料}宿{~舍}驶{驾~员}[5]素数{动}赐思{意~}师{老~}司{~令}诉{~苦}□{~笋，茭白}□{垃~,lɔ33~}[3]巳仕戌[6]寺士事六素{朴~}[2]辞嗣俗续束属[8]词嗽史{历~}祠{~堂}苏{~州}□{~ʨhy11，兔子}
饲	su31	~料	s	u	31	s	10	2	8	1	饲{~料}	su	1	[1]酥梳疏斯思私塑{~料}宿{~舍}驶{驾~员}[5]素数{动}赐思{意~}师{老~}司{~令}诉{~苦}□{~笋，茭白}□{垃~,lɔ33~}[3]巳仕戌[6]寺士事六素{朴~}[2]辞嗣俗续束属[8]词嗽史{历~}祠{~堂}苏{~州}□{~ʨhy11，兔子}饲{~料}	su[1]酥梳疏斯思私塑{~料}宿{~舍}驶{驾~员}[5]素数{动}赐思{意~}师{老~}司{~令}诉{~苦}□{~笋，茭白}□{垃~,lɔ33~}[3]巳仕戌[6]寺士事六素{朴~}[2]辞嗣俗续束属[8]词嗽史{历~}祠{~堂}苏{~州}□{~ʨhy11，兔子}饲{~料}
处	tɕʰu33	家	tɕʰ	u	33	tɕʰ	12	2	5	1	处{家}	tɕʰu	1	[5]处{家}	tɕʰu[5]处{家}
枯	ku55		k	u	55	k	14	2	1	0	枯	ku	0	[1]枯	ku[1]枯
□	ku55	~钯	k	u	55	k	14	2	1	0	□{~钯}	ku	0	[1]枯□{~钯}	ku[1]枯□{~钯}
鼓	ku55	~励	k	u	55	k	14	2	1	0	鼓{~励}	ku	0	[1]枯□{~钯}鼓{~励}	ku[1]枯□{~钯}鼓{~励}
固	ku55	~定	k	u	55	k	14	2	1	0	固{~定}	ku	0	[1]枯□{~钯}鼓{~励}固{~定}	ku[1]枯□{~钯}鼓{~励}固{~定}
姑	ku55	尼~	k	u	55	k	14	2	1	1	姑{尼~}	ku	0	[1]枯□{~钯}鼓{~励}固{~定}姑{尼~}	ku[1]枯□{~钯}鼓{~励}固{~定}姑{尼~}
顾	ku33		k	u	33	k	14	2	5	0	顾	ku	0	[1]枯□{~钯}鼓{~励}固{~定}姑{尼~}[5]顾	ku[1]枯□{~钯}鼓{~励}固{~定}姑{尼~}[5]顾
过	ku33		k	u	33	k	14	2	5	0	过	ku	0	[1]枯□{~钯}鼓{~励}固{~定}姑{尼~}[5]顾过	ku[1]枯□{~钯}鼓{~励}固{~定}姑{尼~}[5]顾过
□	ku33	~iou204，还有	k	u	33	k	14	2	5	0	□{~iou204，还有}	ku	0	[1]枯□{~钯}鼓{~励}固{~定}姑{尼~}[5]顾过□{~iou204，还有}	ku[1]枯□{~钯}鼓{~励}固{~定}姑{尼~}[5]顾过□{~iou204，还有}
故	ku33	~事	k	u	33	k	14	2	5	0	故{~事}	ku	0	[1]枯□{~钯}鼓{~励}固{~定}姑{尼~}[5]顾过□{~iou204，还有}故{~事}	ku[1]枯□{~钯}鼓{~励}固{~定}姑{尼~}[5]顾过□{~iou204，还有}故{~事}
孤	ku33	~独，孤僻义	k	u	33	k	14	2	5	1	孤{~独，孤僻义}	ku	0	[1]枯□{~钯}鼓{~励}固{~定}姑{尼~}[5]顾过□{~iou204，还有}故{~事}孤{~独，孤僻义}	ku[1]枯□{~钯}鼓{~励}固{~定}姑{尼~}[5]顾过□{~iou204，还有}故{~事}孤{~独，孤僻义}
鼓	ku11		k	u	11	k	14	2	3	0	鼓	ku	0	[1]枯□{~钯}鼓{~励}固{~定}姑{尼~}[5]顾过□{~iou204，还有}故{~事}孤{~独，孤僻义}[3]鼓	ku[1]枯□{~钯}鼓{~励}固{~定}姑{尼~}[5]顾过□{~iou204，还有}故{~事}孤{~独，孤僻义}[3]鼓
估	ku11		k	u	11	k	14	2	3	0	估	ku	0	[1]枯□{~钯}鼓{~励}固{~定}姑{尼~}[5]顾过□{~iou204，还有}故{~事}孤{~独，孤僻义}[3]鼓估	ku[1]枯□{~钯}鼓{~励}固{~定}姑{尼~}[5]顾过□{~iou204，还有}故{~事}孤{~独，孤僻义}[3]鼓估
古	ku11		k	u	11	k	14	2	3	0	古	ku	0	[1]枯□{~钯}鼓{~励}固{~定}姑{尼~}[5]顾过□{~iou204，还有}故{~事}孤{~独，孤僻义}[3]鼓估古	ku[1]枯□{~钯}鼓{~励}固{~定}姑{尼~}[5]顾过□{~iou204，还有}故{~事}孤{~独，孤僻义}[3]鼓估古
角	ku11		k	u	11	k	14	2	3	1	角	ku	0	[1]枯□{~钯}鼓{~励}固{~定}姑{尼~}[5]顾过□{~iou204，还有}故{~事}孤{~独，孤僻义}[3]鼓估古角	ku[1]枯□{~钯}鼓{~励}固{~定}姑{尼~}[5]顾过□{~iou204，还有}故{~事}孤{~独，孤僻义}[3]鼓估古角
牯	ku204		k	u	204	k	14	2	2	0	牯	ku	0	[1]枯□{~钯}鼓{~励}固{~定}姑{尼~}[5]顾过□{~iou204，还有}故{~事}孤{~独，孤僻义}[3]鼓估古角[2]牯	ku[1]枯□{~钯}鼓{~励}固{~定}姑{尼~}[5]顾过□{~iou204，还有}故{~事}孤{~独，孤僻义}[3]鼓估古角[2]牯
糊	ku204	米~	k	u	204	k	14	2	2	0	糊{米~}	ku	0	[1]枯□{~钯}鼓{~励}固{~定}姑{尼~}[5]顾过□{~iou204，还有}故{~事}孤{~独，孤僻义}[3]鼓估古角[2]牯糊{米~}	ku[1]枯□{~钯}鼓{~励}固{~定}姑{尼~}[5]顾过□{~iou204，还有}故{~事}孤{~独，孤僻义}[3]鼓估古角[2]牯糊{米~}
□	ku204	敷药	k	u	204	k	14	2	2	0	□{敷药}	ku	0	[1]枯□{~钯}鼓{~励}固{~定}姑{尼~}[5]顾过□{~iou204，还有}故{~事}孤{~独，孤僻义}[3]鼓估古角[2]牯糊{米~}□{敷药}	ku[1]枯□{~钯}鼓{~励}固{~定}姑{尼~}[5]顾过□{~iou204，还有}故{~事}孤{~独，孤僻义}[3]鼓估古角[2]牯糊{米~}□{敷药}
□	ku204	贴	k	u	204	k	14	2	2	1	□{贴}	ku	1	[1]枯□{~钯}鼓{~励}固{~定}姑{尼~}[5]顾过□{~iou204，还有}故{~事}孤{~独，孤僻义}[3]鼓估古角[2]牯糊{米~}□{敷药}□{贴}	ku[1]枯□{~钯}鼓{~励}固{~定}姑{尼~}[5]顾过□{~iou204，还有}故{~事}孤{~独，孤僻义}[3]鼓估古角[2]牯糊{米~}□{敷药}□{贴}
窠	kʰu55		kʰ	u	55	kʰ	15	2	1	1	窠	kʰu	0	[1]窠	kʰu[1]窠
裤	kʰu33		kʰ	u	33	kʰ	15	2	5	1	裤	kʰu	0	[1]窠[5]裤	kʰu[1]窠[5]裤
瘸□	kʰu11	驼，弯	kʰ	u	11	kʰ	15	2	3	0	瘸□{驼，弯}	kʰu	0	[1]窠[5]裤[3]瘸□{驼，弯}	kʰu[1]窠[5]裤[3]瘸□{驼，弯}
苦	kʰu11		kʰ	u	11	kʰ	15	2	3	0	苦	kʰu	0	[1]窠[5]裤[3]瘸□{驼，弯}苦	kʰu[1]窠[5]裤[3]瘸□{驼，弯}苦
壳	kʰu11		kʰ	u	11	kʰ	15	2	3	0	壳	kʰu	0	[1]窠[5]裤[3]瘸□{驼，弯}苦壳	kʰu[1]窠[5]裤[3]瘸□{驼，弯}苦壳
库	kʰu11	水~	kʰ	u	11	kʰ	15	2	3	1	库{水~}	kʰu	0	[1]窠[5]裤[3]瘸□{驼，弯}苦壳库{水~}	kʰu[1]窠[5]裤[3]瘸□{驼，弯}苦壳库{水~}
□	kʰu204	贴	kʰ	u	204	kʰ	15	2	2	1	□{贴}	kʰu	0	[1]窠[5]裤[3]瘸□{驼，弯}苦壳库{水~}[2]□{贴}	kʰu[1]窠[5]裤[3]瘸□{驼，弯}苦壳库{水~}[2]□{贴}
窟	kʰu31	~窿	kʰ	u	31	kʰ	15	2	8	1	窟{~窿}	kʰu	1	[1]窠[5]裤[3]瘸□{驼，弯}苦壳库{水~}[2]□{贴}[8]窟{~窿}	kʰu[1]窠[5]裤[3]瘸□{驼，弯}苦壳库{水~}[2]□{贴}[8]窟{~窿}
□	xu55	ka31~tʰiaŋ55，脚后跟	x	u	55	x	16	2	1	0	□{ka31~tʰiaŋ55，脚后跟}	xu	0	[1]□{ka31~tʰiaŋ55，脚后跟}	xu[1]□{ka31~tʰiaŋ55，脚后跟}
肤	xu55	皮~	x	u	55	x	16	2	1	0	肤{皮~}	xu	0	[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}	xu[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}
武	xu55	~曲，本地名	x	u	55	x	16	2	1	1	武{~曲，本地名}	xu	0	[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}	xu[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}
货	xu33		x	u	33	x	16	2	5	0	货	xu	0	[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}[5]货	xu[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}[5]货
富	xu33		x	u	33	x	16	2	5	0	富	xu	0	[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}[5]货富	xu[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}[5]货富
幅	xu33		x	u	33	x	16	2	5	0	幅	xu	0	[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}[5]货富幅	xu[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}[5]货富幅
付	xu33		x	u	33	x	16	2	5	0	付	xu	0	[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}[5]货富幅付	xu[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}[5]货富幅付
负	xu33	~担	x	u	33	x	16	2	5	1	负{~担}	xu	0	[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}[5]货富幅付负{~担}	xu[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}[5]货富幅付负{~担}
府	xu11		x	u	11	x	16	2	3	0	府	xu	0	[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}[5]货富幅付负{~担}[3]府	xu[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}[5]货富幅付负{~担}[3]府
复	xu11		x	u	11	x	16	2	3	0	复	xu	0	[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}[5]货富幅付负{~担}[3]府复	xu[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}[5]货富幅付负{~担}[3]府复
福	xu11		x	u	11	x	16	2	3	0	福	xu	0	[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}[5]货富幅付负{~担}[3]府复福	xu[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}[5]货富幅付负{~担}[3]府复福
複	xu11		x	u	11	x	16	2	3	0	複	xu	0	[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}[5]货富幅付负{~担}[3]府复福複	xu[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}[5]货富幅付负{~担}[3]府复福複
□	xu11	sɔ55~，老虎	x	u	11	x	16	2	3	0	□{sɔ55~，老虎}	xu	0	[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}[5]货富幅付负{~担}[3]府复福複□{sɔ55~，老虎}	xu[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}[5]货富幅付负{~担}[3]府复福複□{sɔ55~，老虎}
妇	xu11	~女	x	u	11	x	16	2	3	1	妇{~女}	xu	0	[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}[5]货富幅付负{~担}[3]府复福複□{sɔ55~，老虎}妇{~女}	xu[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}[5]货富幅付负{~担}[3]府复福複□{sɔ55~，老虎}妇{~女}
呼	xu24		x	u	24	x	16	2	6	0	呼	xu	0	[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}[5]货富幅付负{~担}[3]府复福複□{sɔ55~，老虎}妇{~女}[6]呼	xu[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}[5]货富幅付负{~担}[3]府复福複□{sɔ55~，老虎}妇{~女}[6]呼
户	xu24		x	u	24	x	16	2	6	0	户	xu	0	[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}[5]货富幅付负{~担}[3]府复福複□{sɔ55~，老虎}妇{~女}[6]呼户	xu[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}[5]货富幅付负{~担}[3]府复福複□{sɔ55~，老虎}妇{~女}[6]呼户
护	xu24		x	u	24	x	16	2	6	0	护	xu	0	[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}[5]货富幅付负{~担}[3]府复福複□{sɔ55~，老虎}妇{~女}[6]呼户护	xu[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}[5]货富幅付负{~担}[3]府复福複□{sɔ55~，老虎}妇{~女}[6]呼户护
腐	xu24		x	u	24	x	16	2	6	0	腐	xu	0	[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}[5]货富幅付负{~担}[3]府复福複□{sɔ55~，老虎}妇{~女}[6]呼户护腐	xu[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}[5]货富幅付负{~担}[3]府复福複□{sɔ55~，老虎}妇{~女}[6]呼户护腐
后	xu24		x	u	24	x	16	2	6	0	后	xu	0	[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}[5]货富幅付负{~担}[3]府复福複□{sɔ55~，老虎}妇{~女}[6]呼户护腐后	xu[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}[5]货富幅付负{~担}[3]府复福複□{sɔ55~，老虎}妇{~女}[6]呼户护腐后
父	xu24	师~	x	u	24	x	16	2	6	1	父{师~}	xu	0	[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}[5]货富幅付负{~担}[3]府复福複□{sɔ55~，老虎}妇{~女}[6]呼户护腐后父{师~}	xu[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}[5]货富幅付负{~担}[3]府复福複□{sɔ55~，老虎}妇{~女}[6]呼户护腐后父{师~}
胡	xu204		x	u	204	x	16	2	2	0	胡	xu	0	[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}[5]货富幅付负{~担}[3]府复福複□{sɔ55~，老虎}妇{~女}[6]呼户护腐后父{师~}[2]胡	xu[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}[5]货富幅付负{~担}[3]府复福複□{sɔ55~，老虎}妇{~女}[6]呼户护腐后父{师~}[2]胡
湖	xu204		x	u	204	x	16	2	2	0	湖	xu	0	[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}[5]货富幅付负{~担}[3]府复福複□{sɔ55~，老虎}妇{~女}[6]呼户护腐后父{师~}[2]胡湖	xu[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}[5]货富幅付负{~担}[3]府复福複□{sɔ55~，老虎}妇{~女}[6]呼户护腐后父{师~}[2]胡湖
壶	xu204		x	u	204	x	16	2	2	0	壶	xu	0	[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}[5]货富幅付负{~担}[3]府复福複□{sɔ55~，老虎}妇{~女}[6]呼户护腐后父{师~}[2]胡湖壶	xu[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}[5]货富幅付负{~担}[3]府复福複□{sɔ55~，老虎}妇{~女}[6]呼户护腐后父{师~}[2]胡湖壶
扶	xu204		x	u	204	x	16	2	2	0	扶	xu	0	[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}[5]货富幅付负{~担}[3]府复福複□{sɔ55~，老虎}妇{~女}[6]呼户护腐后父{师~}[2]胡湖壶扶	xu[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}[5]货富幅付负{~担}[3]府复福複□{sɔ55~，老虎}妇{~女}[6]呼户护腐后父{师~}[2]胡湖壶扶
符	xu204		x	u	204	x	16	2	2	0	符	xu	0	[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}[5]货富幅付负{~担}[3]府复福複□{sɔ55~，老虎}妇{~女}[6]呼户护腐后父{师~}[2]胡湖壶扶符	xu[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}[5]货富幅付负{~担}[3]府复福複□{sɔ55~，老虎}妇{~女}[6]呼户护腐后父{师~}[2]胡湖壶扶符
斛	xu204		x	u	204	x	16	2	2	0	斛	xu	0	[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}[5]货富幅付负{~担}[3]府复福複□{sɔ55~，老虎}妇{~女}[6]呼户护腐后父{师~}[2]胡湖壶扶符斛	xu[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}[5]货富幅付负{~担}[3]府复福複□{sɔ55~，老虎}妇{~女}[6]呼户护腐后父{师~}[2]胡湖壶扶符斛
袝	xu204		x	u	204	x	16	2	2	0	袝	xu	0	[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}[5]货富幅付负{~担}[3]府复福複□{sɔ55~，老虎}妇{~女}[6]呼户护腐后父{师~}[2]胡湖壶扶符斛袝	xu[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}[5]货富幅付负{~担}[3]府复福複□{sɔ55~，老虎}妇{~女}[6]呼户护腐后父{师~}[2]胡湖壶扶符斛袝
复	xu204	恢~	x	u	204	x	16	2	2	1	复{恢~}	xu	0	[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}[5]货富幅付负{~担}[3]府复福複□{sɔ55~，老虎}妇{~女}[6]呼户护腐后父{师~}[2]胡湖壶扶符斛袝复{恢~}	xu[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}[5]货富幅付负{~担}[3]府复福複□{sɔ55~，老虎}妇{~女}[6]呼户护腐后父{师~}[2]胡湖壶扶符斛袝复{恢~}
芙	xu31	~蓉	x	u	31	x	16	2	8	0	芙{~蓉}	xu	0	[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}[5]货富幅付负{~担}[3]府复福複□{sɔ55~，老虎}妇{~女}[6]呼户护腐后父{师~}[2]胡湖壶扶符斛袝复{恢~}[8]芙{~蓉}	xu[1]□{ka31~tʰiaŋ55，脚后跟}肤{皮~}武{~曲，本地名}[5]货富幅付负{~担}[3]府复福複□{sɔ55~，老虎}妇{~女}[6]呼户护腐后父{师~}[2]胡湖壶扶符斛袝复{恢~}[8]芙{~蓉}
