汉字	注释	声母	韵母	声调
□	（不会。“弗解”的合音）	m	ɛ	[3]
带	2（名词）	t	ɛ	[3]
带	1（动词）	t	ɛ	[5]
拖	1	th	ɛ	[1]
胎	2（双胞~）	th	ɛ	[1]
台	（~州）	th	ɛ	[1]
太	2（老~：老年妇女）	th	ɛ	[3]
泰		th	ɛ	[3]
态		th	ɛ	[5]
太	1（~婆: 曾祖母）	th	ɛ	[5]
抬		d	ɛ	[2]
台	（戏~）	d	ɛ	[2]
待		d	ɛ	[6]
怠		d	ɛ	[6]
殆		d	ɛ	[6]
贷		d	ɛ	[6]
大	2（~蒜）	d	ɛ	[6]
代		d	ɛ	[6]
袋		d	ɛ	[6]
乃		n	ɛ	[3]
奶		n	ɛ	[6]
奈		n	ɛ	[6]
耐		n	ɛ	[6]
箩	1	l	ɛ	[2]
米	2（三十~岁）	l	ɛ	[2]
□	（解大小便）	l	ɛ	[2]
□	（差，不好）	l	ɛ	[3]
箩	2	l	ɛ	[6]
赖		l	ɛ	[6]
□	（讲~:讲大话）	l	ɛ	[6]
斋		ts	ɛ	[1]
灾		ts	ɛ	[1]
裁		ts	ɛ	[1]
宰		ts	ɛ	[3]
载	（三年五~）	ts	ɛ	[3]
再		ts	ɛ	[5]
债		ts	ɛ	[5]
猜		tsh	ɛ	[1]
钗		tsh	ɛ	[1]
差	（问阴~:问巫婆）	tsh	ɛ	[1]
彩		tsh	ɛ	[3]
采		tsh	ɛ	[3]
睬		tsh	ɛ	[3]
蔡		tsh	ɛ	[5]
豺		dz	ɛ	[2]
才	（刚~）	dz	ɛ	[2]
才	（人~）	dz	ɛ	[2]
材		dz	ɛ	[2]
财		dz	ɛ	[2]
裁		dz	ɛ	[2]
柴		dz	ɛ	[2]
在	（实~）	dz	ɛ	[6]
筛	（~酒）	s	ɛ	[1]
鳃		s	ɛ	[1]
洒		s	ɛ	[3]
赛		s	ɛ	[5]
寨		z	ɛ	[6]
□	（陡）	z	ɛ	[6]
街		k	ɛ	[1]
皆		k	ɛ	[1]
阶		k	ɛ	[1]
改		k	ɛ	[3]
概	2	k	ɛ	[3]
溉	2	k	ɛ	[3]
解	2（~树:锯树）	k	ɛ	[3]
个	1（一~）	k	ɛ	[5]
介	1（~绍）	k	ɛ	[5]
界		k	ɛ	[5]
戒	2（猪八~）	k	ɛ	[5]
芥		k	ɛ	[5]
疥		k	ɛ	[5]
个	2（尔~：这个）	k	ɛ	[0]
开		kh	ɛ	[1]
揩		kh	ɛ	[1]
慨		kh	ɛ	[3]
概	1	kh	ɛ	[3]
溉	1	kh	ɛ	[3]
凯		kh	ɛ	[3]
楷		kh	ɛ	[3]
艾		ŋ	ɛ	[6]
蚁		ŋ	ɛ	[6]
海		x	ɛ	[3]
孩		∅	ɛ	[2]
鞋		∅	ɛ	[2]
矮		∅	ɛ	[3]
□	（~□ne0:咱们）	∅	ɛ	[-53]
隘		∅	ɛ	[5]
爱		∅	ɛ	[5]
蔼		∅	ɛ	[6]
害		∅	ɛ	[6]
亥		∅	ɛ	[6]
□	（钝，不快）	d	uɛ	[6]
□	（一~葡萄:一串葡萄）	ts	uɛ	[3]
槌		dz	uɛ	[2]
棰		dz	uɛ	[2]
捶		dz	uɛ	[2]
帅		s	uɛ	[5]
□	（谷~：稻穗）	s	uɛ	[5]
□	（丑，难看）	z	uɛ	[2]
乖		k	uɛ	[1]
拐		k	uɛ	[3]
怪		k	uɛ	[5]
盖		k	uɛ	[5]
块		kh	uɛ	[3]
快		kh	uɛ	[5]
筷		kh	uɛ	[5]
骑		g	uɛ	[2]
柜		g	uɛ	[6]
饿		ŋ	uɛ	[6]
歪		∅	uɛ	[1]
怀		∅	uɛ	[2]
槐		∅	uɛ	[2]
淮		∅	uɛ	[2]
解	（助动词,会）	∅	uɛ	[6]
外		∅	uɛ	[6]
杯		p	e	[1]
碑		p	e	[1]
卑		p	e	[1]
痱		p	e	[3]
辈		p	e	[5]
背	（脊~）	p	e	[5]
胚		ph	e	[1]
坏		ph	e	[1]
丕		ph	e	[1]
□	（猪~:公猪）	ph	e	[1]
佩	2	ph	e	[3]
□	（~痰:吐痰）	ph	e	[3]
配		ph	e	[5]
培		b	e	[2]
陪		b	e	[2]
赔		b	e	[2]
裴		b	e	[2]
倍		b	e	[6]
佩	1	b	e	[6]
背	（~诵）	b	e	[6]
焙		b	e	[6]
吠		b	e	[6]
梅		m	e	[2]
枚		m	e	[2]
煤		m	e	[2]
媒		m	e	[2]
霉		m	e	[2]
美		m	e	[3]
□	（母亲）	m	e	[3]
妹		m	e	[6]
昧		m	e	[6]
咩		m	e	[6]
尾		m	e	[6]
□	（~鸟:小孩的阴茎）	m	e	[6]
□	（养细~：生小孩）	m	e	[6]
肺		f	e	[5]
堆		t	e	[1]
低		t	e	[1]
堤		t	e	[1]
抵		t	e	[3]
对		t	e	[5]
碓		t	e	[5]
戴		t	e	[5]
□	（~走~讲:边走边说）	t	e	[-44]
胎	1（车~;双胞~）	th	e	[1]
推		th	e	[1]
梯		th	e	[1]
腿		th	e	[3]
蜕		th	e	[3]
体		th	e	[3]
退		th	e	[5]
替		th	e	[5]
展		th	e	[5]
褪		th	e	[5]
苔	1（舌~）	d	e	[2]
题	1（~目）	d	e	[6]
第		d	e	[6]
递		d	e	[6]
帝	1（皇～）	n	e	[3]
内		n	e	[6]
□	（我~：我们）	n	e	[0]
□	（作神□ɕiŋ0~:小心）	n	e	[0]
雷		l	e	[2]
擂		l	e	[2]
犁		l	e	[2]
黎		l	e	[2]
□	（~过去:钻过去）	l	e	[3]
礼		l	e	[6]
祭	1	ts	e	[5]
穄		ts	e	[5]
渍		ts	e	[5]
妻		tsh	e	[1]
西		s	e	[1]
栖		s	e	[1]
犀		s	e	[1]
碎		s	e	[3]
细	1（小）	s	e	[5]
世		s	e	[5]
岁	1	s	e	[5]
婿		s	e	[5]
齐		z	e	[2]
罪		z	e	[6]
□	（一~风:一阵风）	z	e	[6]
饑	（腹里~:肚子饿）	k	e	[1]
该		k	e	[1]
几	（~个）	k	e	[3]
虮	（虱~:虱子）	k	e	[3]
寄		k	e	[5]
戒	1（~烟）	k	e	[5]
渠	1（他）	g	e	[6]
徛	（站立;在）	g	e	[6]
隑	（靠）	g	e	[6]
呆		ŋ	e	[2]
鱼		ŋ	e	[2]
渔		ŋ	e	[2]
蜈	1（~蚣）	ŋ	e	[2]
碍		ŋ	e	[6]
衣		∅	e	[1]
哀		∅	e	[1]
埃		∅	e	[1]
□	（那）	∅	e	[6]
把	1（一~）	p	ie	[3]
爬		b	ie	[2]
婆	（太~:曾祖母）	b	ie	[6]
耙	1	b	ie	[6]
避	1	b	ie	[6]
麻	1（油~:芝麻）	m	ie	[2]
模	1（~子）	m	ie	[2]
磨	（石~）	m	ie	[6]
马	1（单说）	m	ie	[6]
码		m	ie	[6]
骂		m	ie	[6]
爹		t	ie	[1]
𣥼	（装）（集韵去声御韵陟虑切: “吴俗调盛物於器曰𣥼”。开化今读阴平,声调不合。）	t	ie	[1]
底		t	ie	[3]
剃		th	ie	[5]
除	1（脱衣）	d	ie	[2]
啼	1（哭）	d	ie	[2]
苎		d	ie	[6]
弟		d	ie	[6]
地		d	ie	[6]
离	1	l	ie	[6]
遮		tɕ	ie	[1]
枝	1（横~:地名）	tɕ	ie	[1]
者		tɕ	ie	[3]
纸		tɕ	ie	[3]
解	3（~答）	tɕ	ie	[3]
借		tɕ	ie	[5]
届		tɕ	ie	[5]
车	（汽~）	tɕh	ie	[1]
溪	1	tɕh	ie	[1]
鼠		tɕh	ie	[3]
契		tɕh	ie	[5]
箸		dʑ	ie	[6]
藉		dʑ	ie	[6]
褯		dʑ	ie	[6]
𧄔	（蕃~:白薯）	dʑ	ie	[0]
泥		ȵ	ie	[2]
奢		ɕ	ie	[1]
赊		ɕ	ie	[1]
书	1	ɕ	ie	[1]
写		ɕ	ie	[3]
捨	（~弗得:舍不得）	ɕ	ie	[3]
舍	（宿~）	ɕ	ie	[3]
细	2（小）	ɕ	ie	[3]
□	（唾~:围嘴儿）	ɕ	ie	[3]
械		ɕ	ie	[5]
卸		ɕ	ie	[5]
□	（鸡~袋：鸡嗦子）	ɕ	ie	[5]
佘		ʑ	ie	[2]
畲		ʑ	ie	[2]
邪		ʑ	ie	[2]
斜		ʑ	ie	[2]
荠	（荸~）	ʑ	ie	[2]
匙		ʑ	ie	[2]
谐		ʑ	ie	[2]
谢		ʑ	ie	[6]
射		ʑ	ie	[6]
麝		ʑ	ie	[6]
社	（~会,~庙）	ʑ	ie	[6]
举	1（大~:地名）	k	ie	[3]
锯	1（名词）	k	ie	[5]
去	1	kh	ie	[5]
许	1（答应）	x	ie	[3]
鸡		∅	ie	[1]
箕	1（簸箕形的指纹）	∅	ie	[1]
萁		∅	ie	[1]
爷	2	∅	ie	[2]
耶		∅	ie	[2]
煮	1	∅	ie	[3]
燕	1（~儿）	∅	ie	[5]
也		∅	ie	[6]
□	（阴茎）	d	ue	[2]
醉		ts	ue	[5]
蛇		dz	ue	[2]
衰		s	ue	[1]
徙	（移动）	s	ue	[3]
税		s	ue	[5]
前	1（~后）	z	ue	[2]
穗		z	ue	[6]
归		k	ue	[1]
鬼	1（见～）	k	ue	[3]
葵		g	ue	[2]
灰		x	ue	[1]
回		∅	ue	[2]
茴		∅	ue	[2]
胃		∅	ue	[6]
汇		∅	ue	[6]
会	（开~）	∅	ue	[6]
馃	1	tɕ	ye	[3]
过	1（捶得~渠:打得过他）	tɕ	ye	[5]
窠		tɕh	ye	[1]
靴		ʑ	ye	[1]
货		ʑ	ye	[5]
和	（~尚）	∅	ye	[2]
话	1	∅	ye	[6]
尔	3	∅	ø	[3]
耳	3	∅	ø	[3]
而		∅	ø	[3]
饵		∅	ø	[3]
二	2	∅	ø	[6]
巴		p	ɔ	[1]
芭		p	ɔ	[1]
疤		p	ɔ	[1]
把	2（~握）	p	ɔ	[3]
褒		p	ɔ	[3]
霸		p	ɔ	[5]
坝		p	ɔ	[5]
钯		p	ɔ	[5]
脬		ph	ɔ	[1]
□	（披）	ph	ɔ	[1]
□	（~阄:拈阄）	ph	ɔ	[1]
琶		b	ɔ	[2]
杷		b	ɔ	[2]
簰	（筏子）	b	ɔ	[2]
瀑		b	ɔ	[6]
曝		b	ɔ	[6]
耙	2	b	ɔ	[6]
稗		b	ɔ	[6]
罢	（助词,了）	b	ɔ	[0]
妈	1（~~:婶婶）	m	ɔ	[1]
麻	2（~子）	m	ɔ	[2]
蟆		m	ɔ	[2]
猫	2	m	ɔ	[2]
卯	3	m	ɔ	[3]
买		m	ɔ	[6]
卖		m	ɔ	[6]
马	2（~上）	m	ɔ	[6]
妈	2（老~:老婆）	m	ɔ	[-8]
□	（□khɔʔ5~:如果）	m	ɔ	[0]
猪	1（单说）	t	ɔ	[1]
刀	2	t	ɔ	[1]
打	3（一~）	t	ɔ	[3]
□	（~起:架起来）	t	ɔ	[5]
太	3（~多）	th	ɔ	[3]
导		d	ɔ	[6]
大	3（~学生）	d	ɔ	[6]
道	2	d	ɔ	[6]
□	（~姊:姐姐）	d	ɔ	[6]
铙		n	ɔ	[2]
挠		n	ɔ	[2]
囡	（~儿:女儿,女孩儿）	n	ɔ	[6]
拉	（~车）	l	ɔ	[1]
涝		l	ɔ	[5]
老	2（~师）	l	ɔ	[6]
□	2（这个字应与“□”zɔ212”同源。）（弗~:不要）	l	ɔ	[-8]
查	（山~;姓）	ts	ɔ	[1]
渣		ts	ɔ	[1]
抓		ts	ɔ	[1]
□	（拥挤）	ts	ɔ	[3]
诈		ts	ɔ	[5]
炸		ts	ɔ	[5]
榨		ts	ɔ	[5]
灶	2	ts	ɔ	[5]
笊	（~篼:笊篱）	ts	ɔ	[-44]
叉		tsh	ɔ	[1]
杈		tsh	ɔ	[1]
差	（~别）	tsh	ɔ	[1]
岔		tsh	ɔ	[5]
炒	2（~米）	tsh	ɔ	[-44]
茶		dz	ɔ	[2]
搽		dz	ɔ	[2]
巢		dz	ɔ	[2]
查	（调~）	dz	ɔ	[2]
沙		s	ɔ	[1]
纱		s	ɔ	[1]
傻		s	ɔ	[1]
梳		s	ɔ	[1]
疏		s	ɔ	[1]
蔬		s	ɔ	[1]
腮		s	ɔ	[1]
洒		s	ɔ	[3]
晒		s	ɔ	[5]
锄		z	ɔ	[2]
皂	2	z	ɔ	[6]
□	1（要）	z	ɔ	[6]
加		k	ɔ	[1]
哥	2（单说）	k	ɔ	[1]
家	1（大~）	k	ɔ	[1]
胶	1（阿~）	k	ɔ	[1]
哥	1（~~）	k	ɔ	[3]
懈		k	ɔ	[3]
假	（真~）	k	ɔ	[3]
解	1（~开）	k	ɔ	[3]
架		k	ɔ	[5]
嫁		k	ɔ	[5]
价		k	ɔ	[5]
骹	（脚）	kh	ɔ	[1]
卡		kh	ɔ	[3]
□	（拿）	kh	ɔ	[3]
□	（拃）	g	ɔ	[6]
□	（～个:谁）	g	ɔ	[6]
蛤	（~蟆子:蝌蚪）	g	ɔ	[-313]
牙		ŋ	ɔ	[2]
芽		ŋ	ɔ	[2]
衙		ŋ	ɔ	[2]
我		ŋ	ɔ	[6]
瓦		ŋ	ɔ	[6]
傲		ŋ	ɔ	[6]
咬		ŋ	ɔ	[6]
鄂		ŋ	ɔ	[6]
岳		ŋ	ɔ	[6]
□	（～痒:挠使痒）	x	ɔ	[1]
蟹		x	ɔ	[3]
孝	1	x	ɔ	[5]
阿	（~胶，~哥）	∅	ɔ	[1]
黄	2（～昏）	∅	ɔ	[2]
霞	2（～山:地名）	∅	ɔ	[2]
夏	1（姓）	∅	ɔ	[6]
夏	1（～至）	∅	ɔ	[6]
浩		∅	ɔ	[6]
佳		tɕ	iɔ	[1]
嘉		tɕ	iɔ	[1]
家	2（~具）	tɕ	iɔ	[1]
较		tɕ	iɔ	[3]
假		tɕ	iɔ	[3]
