汉字	注释	声母	韵母	声调
杆		k	ã	[3]
赶		k	ã	[3]
擀		k	ã	[3]
港		k	ã	[3]
幹		k	ã	[5]
铅	1	kh	ã	[1]
坑	1（茅~:厕所）	kh	ã	[1]
刊		kh	ã	[1]
堪		kh	ã	[1]
龛		kh	ã	[1]
嵌		kh	ã	[1]
康		kh	ã	[1]
糠	2	kh	ã	[1]
慷		kh	ã	[1]
□	（□khəʔ4~;刚）	kh	ã	[1]
坎		kh	ã	[3]
砍		kh	ã	[3]
款	1	kh	ã	[3]
勘		kh	ã	[5]
抗		kh	ã	[5]
炕		kh	ã	[5]
衔		g	ã	[2]
□	（跨）	g	ã	[6]
岩		ŋ	ã	[2]
颜		ŋ	ã	[2]
昂	2	ŋ	ã	[2]
雁	（~鹅:雁）	ŋ	ã	[6]
眼	1	ŋ	ã	[6]
憨		x	ã	[1]
蚶		x	ã	[1]
喊		x	ã	[3]
罕		x	ã	[3]
夯		x	ã	[3]
□	（簸粮食）	x	ã	[3]
安		∅	ã	[1]
□	（凹）	∅	ã	[1]
含	2	∅	ã	[2]
函		∅	ã	[2]
寒	2（大~）	∅	ã	[2]
咸		∅	ã	[2]
韩		∅	ã	[2]
桓		∅	ã	[2]
行	（银~）	∅	ã	[2]
航		∅	ã	[2]
杭		∅	ã	[2]
按		∅	ã	[5]
憾		∅	ã	[6]
撼		∅	ã	[6]
馅		∅	ã	[6]
翰		∅	ã	[6]
限	1（~制）	∅	ã	[6]
苋		∅	ã	[6]
项	1（~羽）	∅	ã	[6]
巷		∅	ã	[6]
□	（这么）	∅	ã	[6]
帮		p	iã	[1]
榜	1（出~）	p	iã	[3]
绑	1（~起来）	p	iã	[3]
忙		m	iã	[2]
芒	1（~种）	m	iã	[2]
望	1（希~）	m	iã	[6]
方	1（形容词）	f	iã	[1]
张	1（量词）	t	iã	[1]
账	1	t	iã	[5]
帐	1（蚊~）	t	iã	[5]
良		l	iã	[2]
凉		l	iã	[2]
粮		l	iã	[2]
梁		l	iã	[2]
粱		l	iã	[2]
量	2	l	iã	[2]
两	（重量单位）	l	iã	[6]
俩		l	iã	[6]
量	（质~）	l	iã	[6]
亮		l	iã	[6]
谅		l	iã	[6]
将	（~来）	tɕ	iã	[1]
浆		tɕ	iã	[1]
张	2（姓）	tɕ	iã	[1]
章		tɕ	iã	[1]
樟		tɕ	iã	[1]
疆		tɕ	iã	[1]
僵		tɕ	iã	[1]
缰		tɕ	iã	[1]
姜	（生~）	tɕ	iã	[1]
姜	（姓）	tɕ	iã	[1]
江	2（长~）	tɕ	iã	[1]
蒋		tɕ	iã	[3]
奖		tɕ	iã	[3]
桨		tɕ	iã	[3]
长	（动词）	tɕ	iã	[3]
涨		tɕ	iã	[3]
掌		tɕ	iã	[3]
讲	2	tɕ	iã	[3]
酱		tɕ	iã	[5]
将	（大~）	tɕ	iã	[5]
胀		tɕ	iã	[5]
帐	2	tɕ	iã	[5]
账	2	tɕ	iã	[5]
障	（保~）	tɕ	iã	[5]
降	2（下~）	tɕ	iã	[5]
枪		tɕh	iã	[1]
昌		tɕh	iã	[1]
菖	2	tɕh	iã	[1]
羌		tɕh	iã	[1]
腔		tɕh	iã	[1]
抢		tɕh	iã	[3]
厂		tɕh	iã	[3]
强	（勉~）	tɕh	iã	[3]
唱		tɕh	iã	[5]
畅		tɕh	iã	[5]
倡	（提~）	tɕh	iã	[5]
详		dʑ	iã	[2]
祥		dʑ	iã	[2]
长	2（~白山）	dʑ	iã	[2]
肠	2	dʑ	iã	[2]
场	2	dʑ	iã	[2]
常		dʑ	iã	[2]
强	（形容词）	dʑ	iã	[2]
象		dʑ	iã	[6]
像		dʑ	iã	[6]
橡		dʑ	iã	[6]
丈		dʑ	iã	[6]
仗		dʑ	iã	[6]
杖		dʑ	iã	[6]
上	（~山）	dʑ	iã	[6]
上	1（～横头:上座）	dʑ	iã	[6]
匠	2	dʑ	iã	[6]
娘		ȵ	iã	[2]
酿		ȵ	iã	[6]
样	1（好~:好好地）	ȵ	iã	[6]
相	（互~）	ɕ	iã	[1]
箱		ɕ	iã	[1]
厢		ɕ	iã	[1]
湘		ɕ	iã	[1]
襄		ɕ	iã	[1]
镶		ɕ	iã	[1]
商		ɕ	iã	[1]
伤		ɕ	iã	[1]
香		ɕ	iã	[1]
乡		ɕ	iã	[1]
想		ɕ	iã	[3]
鲞		ɕ	iã	[3]
享		ɕ	iã	[3]
响		ɕ	iã	[3]
赏		ɕ	iã	[3]
饷		ɕ	iã	[3]
晌		ɕ	iã	[3]
向		ɕ	iã	[5]
相	（~貌）	ɕ	iã	[5]
墙		ʑ	iã	[2]
尝		ʑ	iã	[2]
降	（投~）	ʑ	iã	[2]
酿		ʑ	iã	[6]
匠	1	ʑ	iã	[6]
尚		ʑ	iã	[6]
上	2（~海）	ʑ	iã	[6]
让	2	ʑ	iã	[6]
项	2	ʑ	iã	[6]
央		∅	iã	[1]
秧		∅	iã	[1]
殃		∅	iã	[1]
羊		∅	iã	[2]
洋		∅	iã	[2]
烊		∅	iã	[2]
杨		∅	iã	[2]
阳		∅	iã	[2]
扬		∅	iã	[2]
疡		∅	iã	[2]
裳		∅	iã	[2]
痒	2	∅	iã	[3]
映		∅	iã	[5]
样	2	∅	iã	[6]
銮		l	uã	[2]
卵	2	l	uã	[3]
乱		l	uã	[6]
庄		ts	uã	[1]
装		ts	uã	[1]
壮	2	ts	uã	[5]
窗	2	tsh	uã	[1]
状	2	dz	uã	[6]
双	2	s	uã	[1]
孀		s	uã	[1]
爽	2	s	uã	[3]
光	2（~荣）	k	uã	[1]
冠	（衣~）	k	uã	[1]
鳏		k	uã	[1]
惊	1（害怕）	k	uã	[1]
广		k	uã	[3]
冠	（~军）	k	uã	[5]
逛		k	uã	[5]
筐		kh	uã	[1]
匡		kh	uã	[1]
眶		kh	uã	[1]
矿		kh	uã	[5]
旷		kh	uã	[5]
狂	2	g	uã	[2]
荒	2	ŋ	uã	[1]
慌	2	ŋ	uã	[1]
□	（乖）	ŋ	uã	[1]
谎		ŋ	uã	[3]
况		ŋ	uã	[5]
汪	2	∅	uã	[1]
弯		∅	uã	[1]
湾		∅	uã	[1]
环	2	∅	uã	[2]
魂	2	∅	uã	[2]
黄	4	∅	uã	[2]
簧	2	∅	uã	[2]
皇	2	∅	uã	[2]
蝗		∅	uã	[2]
亡		∅	uã	[2]
忘		∅	uã	[2]
妄		∅	uã	[2]
望	2	∅	uã	[2]
王	2	∅	uã	[2]
娩		∅	uã	[3]
豌		∅	uã	[3]
剜		∅	uã	[3]
碗		∅	uã	[3]
腕		∅	uã	[3]
晚		∅	uã	[3]
挽		∅	uã	[3]
枉		∅	uã	[3]
往		∅	uã	[3]
幻		∅	uã	[6]
患		∅	uã	[6]
旺	2	∅	uã	[6]
光	1（天~:早上）	tɕ	yã	[1]
供	1（~猪:养猪）	tɕ	yã	[1]
□	（大~:大不了）	tɕh	yã	[1]
狂	1	dʑ	yã	[2]
荒	1	ɕ	yã	[1]
慌	1	ɕ	yã	[1]
汪	1（~前坞:地名）	∅	yã	[1]
黄	1	∅	yã	[2]
簧	1	∅	yã	[2]
皇	1	∅	yã	[2]
篁		∅	yã	[2]
王	1	∅	yã	[2]
环	1（~碧坞:地名）	∅	yã	[2]
旺	1（~财坞:地名）	∅	yã	[6]
彭	2	b	uɑ̃	[2]
敦		t	uɑ̃	[1]
驐	（阉）	t	uɑ̃	[1]
墩		t	uɑ̃	[1]
端	3（~正）	t	uɑ̃	[1]
顿		t	uɑ̃	[5]
吞	2	th	uɑ̃	[1]
团		d	uɑ̃	[2]
潭	1	d	uɑ̃	[2]
屯	2	d	uɑ̃	[2]
豚		d	uɑ̃	[2]
钝		d	uɑ̃	[2]
臀		d	uɑ̃	[2]
□	（湿）	d	uɑ̃	[2]
段		d	uɑ̃	[6]
缎		d	uɑ̃	[6]
椴		d	uɑ̃	[6]
锻		d	uɑ̃	[6]
盾		d	uɑ̃	[6]
囤		d	uɑ̃	[6]
沌		d	uɑ̃	[6]
钝		d	uɑ̃	[6]
遁		d	uɑ̃	[6]
断	（决~）	d	uɑ̃	[6]
暖		n	uɑ̃	[3]
嫩		n	uɑ̃	[6]
伦		l	uɑ̃	[2]
沦		l	uɑ̃	[2]
论		l	uɑ̃	[6]
遵		ts	uɑ̃	[1]
尊		ts	uɑ̃	[1]
簪		ts	uɑ̃	[1]
撰		ts	uɑ̃	[3]
□	（用指甲掐）	ts	uɑ̃	[5]
村		tsh	uɑ̃	[1]
忖	（想）	tsh	uɑ̃	[3]
寸		tsh	uɑ̃	[5]
存		dz	uɑ̃	[2]
孙		s	uɑ̃	[1]
酸	2（硫~）	s	uɑ̃	[1]
损		s	uɑ̃	[3]
逊		s	uɑ̃	[5]
蚕		z	uɑ̃	[2]
关	2（开~）	k	uɑ̃	[1]
泔		k	uɑ̃	[1]
官		k	uɑ̃	[1]
观	（参~）	k	uɑ̃	[1]
棺		k	uɑ̃	[1]
管		k	uɑ̃	[3]
馆		k	uɑ̃	[3]
滚	1（~水:开水）	k	uɑ̃	[3]
灌		k	uɑ̃	[3]
罐		k	uɑ̃	[3]
贯		k	uɑ̃	[5]
惯		k	uɑ̃	[5]
观	（寺~）	k	uɑ̃	[5]
坤		kh	uɑ̃	[1]
昆		kh	uɑ̃	[1]
宽		kh	uɑ̃	[1]
款	2	kh	uɑ̃	[3]
磡		kh	uɑ̃	[5]
睏	（睡）	kh	uɑ̃	[5]
掼		g	uɑ̃	[6]
欢		x	uɑ̃	[1]
昏		x	uɑ̃	[1]
婚		x	uɑ̃	[1]
荤		x	uɑ̃	[1]
唤		x	uɑ̃	[5]
焕		x	uɑ̃	[5]
温		∅	uɑ̃	[1]
瘟		∅	uɑ̃	[1]
淹		∅	uɑ̃	[1]
玩		∅	uɑ̃	[2]
完		∅	uɑ̃	[2]
还	（~原）	∅	uɑ̃	[2]
还	（~有）	∅	uɑ̃	[2]
魂		∅	uɑ̃	[2]
稳		∅	uɑ̃	[3]
换		∅	uɑ̃	[6]
宦		∅	uɑ̃	[6]
搬		p	ɛ̃	[1]
冰	1	p	ɛ̃	[1]
本		p	ɛ̃	[3]
烘	（校：存疑，或为训读）	p	ɛ̃	[5]
半		p	ɛ̃	[5]
柄	1	p	ɛ̃	[5]
粪	1（~缸,~箕）	p	ɛ̃	[5]
判	1（~决）	ph	ɛ̃	[5]
盘		b	ɛ̃	[2]
盆		b	ɛ̃	[2]
伴		b	ɛ̃	[6]
拌		b	ɛ̃	[6]
瞒		m	ɛ̃	[2]
馒		m	ɛ̃	[2]
满		m	ɛ̃	[6]
抿		m	ɛ̃	[6]
闷		m	ɛ̃	[6]
问	1	m	ɛ̃	[6]
分		f	ɛ̃	[1]
芬		f	ɛ̃	[1]
纷		f	ɛ̃	[1]
粉		f	ɛ̃	[3]
粪	3	f	ɛ̃	[5]
奋		f	ɛ̃	[5]
焚		v	ɛ̃	[2]
坟		v	ɛ̃	[2]
文		v	ɛ̃	[2]
纹		v	ɛ̃	[2]
蚊	2	v	ɛ̃	[2]
闻		v	ɛ̃	[2]
愤		v	ɛ̃	[3]
忿		v	ɛ̃	[3]
问	2	v	ɛ̃	[6]
份		v	ɛ̃	[6]
□	（身~:身材）	v	ɛ̃	[0]
睁	（骹后~:脚后跟）	t	ɛ̃	[1]
转	1（~身）	t	ɛ̃	[3]
吞	2	th	ɛ̃	[1]
长	2（~短）	d	ɛ̃	[2]
肠	2	d	ɛ̃	[2]
量	1（动词）	l	ɛ̃	[2]
榛		ts	ɛ̃	[1]
臻		ts	ɛ̃	[1]
疮		tsh	ɛ̃	[1]
趁		tsh	ɛ̃	[5]
衬	2	tsh	ɛ̃	[5]
删		s	ɛ̃	[1]
森		s	ɛ̃	[1]
参	（人~）	s	ɛ̃	[1]
笋		s	ɛ̃	[3]
榫		s	ɛ̃	[3]
唇		z	ɛ̃	[2]
床		z	ɛ̃	[2]
层		z	ɛ̃	[2]
更	（五~）	k	ɛ̃	[1]
根		k	ɛ̃	[1]
斤	1	k	ɛ̃	[1]
筋	1	k	ɛ̃	[1]
金	1	k	ɛ̃	[1]
巾	1（毛~）	k	ɛ̃	[1]
禁	1	k	ɛ̃	[5]
更	（~加）	k	ɛ̃	[5]
坑	2	kh	ɛ̃	[1]
川	1（琅~:地名）	kh	ɛ̃	[1]
恳		kh	ɛ̃	[3]
垦		kh	ɛ̃	[3]
背		kh	ɛ̃	[3]
□	（~馃:糍粑）	kh	ɛ̃	[-44]
近		g	ɛ̃	[6]
银	1	ŋ	ɛ̃	[2]
硬		ŋ	ɛ̃	[6]
恩		∅	ɛ̃	[1]
音	1（~坑:地名）	∅	ɛ̃	[1]
阴	1	∅	ɛ̃	[1]
荫	1	∅	ɛ̃	[1]
痕		∅	ɛ̃	[2]
影	1	∅	ɛ̃	[3]
咽		∅	ɛ̃	[5]
恨		∅	ɛ̃	[6]
边		p	iɛ̃	[1]
鞭		p	iɛ̃	[1]
贬		p	iɛ̃	[3]
扁		p	iɛ̃	[3]
匾		p	iɛ̃	[3]
变		p	iɛ̃	[5]
遍		p	iɛ̃	[5]
篇		ph	iɛ̃	[1]
偏		ph	iɛ̃	[1]
编		ph	iɛ̃	[1]
篇		ph	iɛ̃	[1]
片		ph	iɛ̃	[5]
骗		ph	iɛ̃	[5]
便	（~宜）	b	iɛ̃	[2]
便	（方~）	b	iɛ̃	[6]
辫		b	iɛ̃	[6]
辩		b	iɛ̃	[6]
辨		b	iɛ̃	[6]
汴		b	iɛ̃	[6]
棉		m	iɛ̃	[2]
绵		m	iɛ̃	[2]
眠		m	iɛ̃	[2]
兔		m	iɛ̃	[3]
勉		m	iɛ̃	[3]
缅		m	iɛ̃	[6]
渑		m	iɛ̃	[6]
面		m	iɛ̃	[6]
麵		m	iɛ̃	[6]
颠		t	iɛ̃	[1]
掂		t	iɛ̃	[1]
点		t	iɛ̃	[3]
典		t	iɛ̃	[3]
店		t	iɛ̃	[5]
天		th	iɛ̃	[1]
添		th	iɛ̃	[1]
舔		th	iɛ̃	[3]
腆		th	iɛ̃	[3]
舔		th	iɛ̃	[5]
甜		d	iɛ̃	[2]
田		d	iɛ̃	[2]
填		d	iɛ̃	[2]
簟		d	iɛ̃	[6]
电		d	iɛ̃	[6]
殿		d	iɛ̃	[6]
奠		d	iɛ̃	[6]
佃		d	iɛ̃	[6]
垫		d	iɛ̃	[6]
廉		l	iɛ̃	[2]
镰		l	iɛ̃	[2]
连		l	iɛ̃	[2]
联		l	iɛ̃	[2]
怜		l	iɛ̃	[2]
莲		l	iɛ̃	[2]
帘		l	iɛ̃	[2]
脸		l	iɛ̃	[6]
敛		l	iɛ̃	[6]
殓		l	iɛ̃	[6]
练		l	iɛ̃	[6]
楝		l	iɛ̃	[6]
恋		l	iɛ̃	[6]
监	2（~视）	tɕ	iɛ̃	[1]
尖		tɕ	iɛ̃	[1]
歼		tɕ	iɛ̃	[1]
占	（~卜）	tɕ	iɛ̃	[1]
瞻		tɕ	iɛ̃	[1]
兼		tɕ	iɛ̃	[1]
艰		tɕ	iɛ̃	[1]
间	2（时~）	tɕ	iɛ̃	[1]
奸		tɕ	iɛ̃	[1]
煎		tɕ	iɛ̃	[1]
肩		tɕ	iɛ̃	[1]
坚		tɕ	iɛ̃	[1]
减		tɕ	iɛ̃	[3]
碱		tɕ	iɛ̃	[3]
舰		tɕ	iɛ̃	[3]
枧		tɕ	iɛ̃	[3]
检		tɕ	iɛ̃	[3]
简		tɕ	iɛ̃	[3]
裥		tɕ	iɛ̃	[3]
柬		tɕ	iɛ̃	[3]
拣		tɕ	iɛ̃	[3]
剪		tɕ	iɛ̃	[3]
展		tɕ	iɛ̃	[3]
趼		tɕ	iɛ̃	[3]
茧		tɕ	iɛ̃	[3]
笕		tɕ	iɛ̃	[3]
监	（国子~）	tɕ	iɛ̃	[5]
占	（霸~）	tɕ	iɛ̃	[5]
剑		tɕ	iɛ̃	[5]
间	（~苗）	tɕ	iɛ̃	[5]
谏		tɕ	iɛ̃	[5]
涧		tɕ	iɛ̃	[5]
见	2（意~）	tɕ	iɛ̃	[5]
箭		tɕ	iɛ̃	[5]
溅		tɕ	iɛ̃	[5]
战		tɕ	iɛ̃	[5]
颤		tɕ	iɛ̃	[5]
建		tɕ	iɛ̃	[5]
荐		tɕ	iɛ̃	[5]
剑		tɕ	iɛ̃	[5]
千		tɕh	iɛ̃	[1]
笺		tɕh	iɛ̃	[1]
牵		tɕh	iɛ̃	[1]
铅	2	tɕh	iɛ̃	[1]
签		tɕh	iɛ̃	[1]
谦		tɕh	iɛ̃	[1]
迁		tɕh	iɛ̃	[1]
浅		tɕh	iɛ̃	[3]
遣		tɕh	iɛ̃	[3]
欠		tɕh	iɛ̃	[5]
歉		tɕh	iɛ̃	[5]
潜		dʑ	iɛ̃	[2]
钳		dʑ	iɛ̃	[2]
钱		dʑ	iɛ̃	[2]
乾	（~坤）	dʑ	iɛ̃	[2]
虔		dʑ	iɛ̃	[2]
前	2（徐向~）	dʑ	iɛ̃	[2]
渐		dʑ	iɛ̃	[6]
俭		dʑ	iɛ̃	[6]
贱		dʑ	iɛ̃	[6]
践		dʑ	iɛ̃	[6]
件		dʑ	iɛ̃	[6]
键		dʑ	iɛ̃	[6]
健		dʑ	iɛ̃	[6]
腱		dʑ	iɛ̃	[6]
年	3（明~）	ȵ	iɛ̃	[1]
严		ȵ	iɛ̃	[2]
俨		ȵ	iɛ̃	[2]
言		ȵ	iɛ̃	[2]
年	1	ȵ	iɛ̃	[2]
研		ȵ	iɛ̃	[2]
黏		ȵ	iɛ̃	[2]
碾		ȵ	iɛ̃	[3]
染		ȵ	iɛ̃	[6]
验		ȵ	iɛ̃	[6]
念		ȵ	iɛ̃	[6]
谚		ȵ	iɛ̃	[6]
年	2（今~）	ȵ	iɛ̃	[6]
仙		ɕ	iɛ̃	[1]
鲜	（新~）	ɕ	iɛ̃	[1]
轩		ɕ	iɛ̃	[1]
掀		ɕ	iɛ̃	[1]
先		ɕ	iɛ̃	[1]
险		ɕ	iɛ̃	[3]
癣		ɕ	iɛ̃	[3]
显		ɕ	iɛ̃	[3]
闪		ɕ	iɛ̃	[5]
线		ɕ	iɛ̃	[5]
扇	（名词;动词）	ɕ	iɛ̃	[5]
宪		ɕ	iɛ̃	[5]
献		ɕ	iɛ̃	[5]
现	2（实~）	ɕ	iɛ̃	[5]
□	（厨~:厨房）	ɕ	iɛ̃	[0]
嫌		ʑ	iɛ̃	[2]
涎		ʑ	iɛ̃	[2]
蝉		ʑ	iɛ̃	[2]
禅		ʑ	iɛ̃	[2]
然		ʑ	iɛ̃	[2]
燃		ʑ	iɛ̃	[2]
贤		ʑ	iɛ̃	[2]
冉		ʑ	iɛ̃	[6]
善		ʑ	iɛ̃	[6]
羨		ʑ	iɛ̃	[6]
膳		ʑ	iɛ̃	[6]
单	（姓）	ʑ	iɛ̃	[6]
县	2	ʑ	iɛ̃	[6]
阉		∅	iɛ̃	[1]
爲		∅	iɛ̃	[1]
烟		∅	iɛ̃	[1]
炎		∅	iɛ̃	[2]
盐		∅	iɛ̃	[2]
阁		∅	iɛ̃	[2]
檐		∅	iɛ̃	[2]
延		∅	iɛ̃	[2]
筵		∅	iɛ̃	[2]
沿		∅	iɛ̃	[2]
掩		∅	iɛ̃	[3]
魇		∅	iɛ̃	[3]
眼	2	∅	iɛ̃	[3]
演		∅	iɛ̃	[3]
厣		∅	iɛ̃	[3]
厌		∅	iɛ̃	[5]
堰		∅	iɛ̃	[5]
燕	2	∅	iɛ̃	[5]
见	1（~鬼）	∅	iɛ̃	[5]
现	1（～成）	∅	iɛ̃	[5]
□	（食饭~儿:中午）	∅	iɛ̃	[6]
滚	2（～开）	k	uɛ̃	[3]
梗	1（菜~）	k	uɛ̃	[3]
棍		k	uɛ̃	[5]
捆		kh	uɛ̃	[3]
困		kh	uɛ̃	[5]
横		∅	uɛ̃	[2]
混		∅	uɛ̃	[6]
櫼	（《集韵》平声侵韵咨林切:“楔也”;平声盐韵将廉切:“说文:楔也”。另外,段玉裁认为江浙的读音为“知林切”（据说文解字注·六篇上）。开化的读音符合“知林切”。）（楔子）	tɕ	yɛ̃	[1]
真	1（~假）	tɕ	yɛ̃	[1]
针		tɕ	yɛ̃	[1]
斟		tɕ	yɛ̃	[1]
精	1（~神）	tɕ	yɛ̃	[1]
专		tɕ	yɛ̃	[1]
砖		tɕ	yɛ̃	[1]
捐		tɕ	yɛ̃	[1]
枕		tɕ	yɛ̃	[3]
捲	2	tɕ	yɛ̃	[3]
转	2（~身）	tɕ	yɛ̃	[3]
转	（~圈）	tɕ	yɛ̃	[5]
眷		tɕ	yɛ̃	[5]
卷	（名词）	tɕ	yɛ̃	[5]
绢		tɕ	yɛ̃	[5]
川	2	tɕh	yɛ̃	[1]
深		tɕh	yɛ̃	[1]
圈		tɕh	yɛ̃	[1]
喘		tɕh	yɛ̃	[3]
券		tɕh	yɛ̃	[3]
犬		tɕh	yɛ̃	[3]
□	（黄~:蚯蚓）	tɕh	yɛ̃	[3]
劝		tɕh	yɛ̃	[5]
全		dʑ	yɛ̃	[2]
泉		dʑ	yɛ̃	[2]
传	（~达）	dʑ	yɛ̃	[2]
鳝	（黄~）	dʑ	yɛ̃	[2]
椽		dʑ	yɛ̃	[2]
拳		dʑ	yɛ̃	[2]
权		dʑ	yɛ̃	[2]
颧		dʑ	yɛ̃	[2]
群		dʑ	yɛ̃	[2]
缠		dʑ	yɛ̃	[2]
尘	1	dʑ	yɛ̃	[2]
陷		dʑ	yɛ̃	[6]
篆		dʑ	yɛ̃	[6]
传	（~记）	dʑ	yɛ̃	[6]
倦		dʑ	yɛ̃	[6]
阵		dʑ	yɛ̃	[6]
□	（门～:门坎）	dʑ	yɛ̃	[6]
元		ȵ	yɛ̃	[2]
原		ȵ	yɛ̃	[2]
源		ȵ	yɛ̃	[2]
软		ȵ	yɛ̃	[6]
愿		ȵ	yɛ̃	[6]
宣		ɕ	yɛ̃	[1]
喧		ɕ	yɛ̃	[1]
身	1（~体）	ɕ	yɛ̃	[1]
狲		ɕ	yɛ̃	[1]
选		ɕ	yɛ̃	[3]
玄		ɕ	yɛ̃	[3]
悬		ɕ	yɛ̃	[3]
陕		ɕ	yɛ̃	[3]
楦		ɕ	yɛ̃	[5]
眩		ɕ	yɛ̃	[5]
弦		ʑ	yɛ̃	[2]
丸		ʑ	yɛ̃	[2]
旋		ʑ	yɛ̃	[2]
神	1（~仙）	ʑ	yɛ̃	[2]
旋	（头旋）	ʑ	yɛ̃	[6]
冤		∅	yɛ̃	[1]
渊		∅	yɛ̃	[1]
圆		∅	yɛ̃	[2]
员		∅	yɛ̃	[2]
缘		∅	yɛ̃	[2]
袁		∅	yɛ̃	[2]
辕		∅	yɛ̃	[2]
园	2	∅	yɛ̃	[2]
援		∅	yɛ̃	[2]
远	2	∅	yɛ̃	[3]
怨		∅	yɛ̃	[5]
院		∅	yɛ̃	[6]
阮		∅	yɛ̃	[6]
县	1（开化~）	∅	yɛ̃	[6]
崩		p	əŋ	[1]
畚		p	əŋ	[1]
放	1	p	əŋ	[5]
喷	2	ph	əŋ	[1]
□	（闻）	ph	əŋ	[1]
捧		ph	əŋ	[3]
碰		ph	əŋ	[5]
朋		b	əŋ	[2]
澎		b	əŋ	[2]
彭	1（姓）	b	əŋ	[2]
烹		b	əŋ	[2]
笨	2	b	əŋ	[6]
棒		b	əŋ	[6]
猛		m	əŋ	[3]
雾	1	m	əŋ	[6]
网		m	əŋ	[6]
孟		m	əŋ	[6]
暝	1（夜晚）	m	əŋ	[6]
暝	2（□ʑiɔʔ2~:昨天）	m	əŋ	[-8]
丰		f	əŋ	[1]
封		f	əŋ	[1]
峰		f	əŋ	[1]
蜂		f	əŋ	[1]
锋		f	əŋ	[1]
逢		v	əŋ	[2]
缝	（动词）	v	əŋ	[2]
缝	（名词）	v	əŋ	[6]
奉		v	əŋ	[6]
俸		v	əŋ	[6]
登	2	t	əŋ	[1]
东		t	əŋ	[1]
冬		t	əŋ	[1]
等	2	t	əŋ	[3]
董		t	əŋ	[3]
懂		t	əŋ	[3]
打	1	t	əŋ	[3]
凳	2	t	əŋ	[5]
冻		t	əŋ	[5]
栋		t	əŋ	[5]
通		th	əŋ	[1]
桶	2	th	əŋ	[3]
捅		th	əŋ	[3]
痛	2	th	əŋ	[5]
腾		d	əŋ	[2]
滕		d	əŋ	[2]
藤	2	d	əŋ	[2]
疼		d	əŋ	[2]
同		d	əŋ	[2]
铜		d	əŋ	[2]
桐		d	əŋ	[2]
简		d	əŋ	[2]
童		d	əŋ	[2]
瞳		d	əŋ	[2]
□	（~手:伸手）	d	əŋ	[2]
邓		d	əŋ	[6]
动		d	əŋ	[6]
桶	1	d	əŋ	[6]
□	（暖和）	d	əŋ	[6]
□	（~雨:下雨）	d	əŋ	[6]
能		n	əŋ	[2]
侬		n	əŋ	[2]
农	1（人）	n	əŋ	[2]
脓	1（□due313~:精液）	n	əŋ	[6]
□	（怎么）	n	əŋ	[6]
楞		l	əŋ	[2]
冷		l	əŋ	[6]
卵	1（~子:睾丸）	l	əŋ	[6]
增		ts	əŋ	[1]
曾	（姓）	ts	əŋ	[1]
憎		ts	əŋ	[1]
僧	2	ts	əŋ	[1]
争		ts	əŋ	[1]
筝		ts	əŋ	[1]
睁		ts	əŋ	[1]
粽	1	ts	əŋ	[5]
撑		tsh	əŋ	[1]
蹭		tsh	əŋ	[5]
凊	（冷）	tsh	əŋ	[5]
曾	（~经）	dz	əŋ	[2]
生	2（~意）	s	əŋ	[1]
牲	2	s	əŋ	[1]
僧	1	s	əŋ	[1]
笙		s	əŋ	[1]
甥		s	əŋ	[1]
省	（节~）	s	əŋ	[3]
省	（~长）	s	əŋ	[3]
省	（反~）	s	əŋ	[3]
松	（~树）	z	əŋ	[-21]
粳		k	əŋ	[1]
庚		k	əŋ	[1]
羹		k	əŋ	[1]
耕		k	əŋ	[1]
跟		k	əŋ	[1]
埂		k	əŋ	[3]
哽		k	əŋ	[3]
梗	2（桔~）	k	əŋ	[3]
耿		k	əŋ	[3]
啃		kh	əŋ	[3]
□	（盖住，罩住）	kh	əŋ	[3]
亨		x	əŋ	[1]
兄	1（~弟）	x	əŋ	[1]
恒		∅	əŋ	[2]
衡		∅	əŋ	[2]
宾		p	iŋ	[1]
槟		p	iŋ	[1]
滨		p	iŋ	[1]
彬		p	iŋ	[1]
兵		p	iŋ	[1]
浜	1	p	iŋ	[1]
颤	（校：存疑，或为训读）	p	iŋ	[3]
丙		p	iŋ	[3]
秉		p	iŋ	[3]
饼		p	iŋ	[3]
殡		p	iŋ	[5]
鬓		p	iŋ	[5]
柄	3	p	iŋ	[5]
并	（合~）	p	iŋ	[5]
拼		ph	iŋ	[1]
拚		ph	iŋ	[1]
品		ph	iŋ	[3]
聘		ph	iŋ	[5]
姘		ph	iŋ	[5]
贫		b	iŋ	[2]
频		b	iŋ	[2]
赁		b	iŋ	[2]
平		b	iŋ	[2]
坪		b	iŋ	[2]
评		b	iŋ	[2]
瓶		b	iŋ	[2]
屏		b	iŋ	[2]
萍		b	iŋ	[2]
病	2	b	iŋ	[6]
並		b	iŋ	[6]
民		m	iŋ	[2]
蚊	1（~虫:蚊子）	m	iŋ	[2]
萌		m	iŋ	[2]
鸣		m	iŋ	[2]
明	2（光~）	m	iŋ	[2]
盟		m	iŋ	[2]
名		m	iŋ	[2]
铭		m	iŋ	[2]
闽		m	iŋ	[3]
悯		m	iŋ	[3]
敏		m	iŋ	[3]
皿		m	iŋ	[3]
米	1	m	iŋ	[3]
命		m	iŋ	[3]
味	1（~道）	m	iŋ	[6]
灯		t	iŋ	[1]
丁		t	iŋ	[1]
盯		t	iŋ	[1]
疔		t	iŋ	[1]
钉	（名词）	t	iŋ	[1]
