漢字	音標	注釋	
節	tseʔ7	白	
廁	tsʰe5		
𤲍	kʰeʔ7	俗，擠	
瞌	kʰeʔ7		
拔	peʔ8	白	
堤	tʰe2	～防	
璃	le2		
摕	kʰeʔ8	俗，拿	
挈	kʰeʔ8	拿	
狹	eʔ8		
桮	pei1	螺絲～	
批	pʰei1	俗，信	
䫌	pʰei3	喙～	
買	bei3		
底	tei3	白	
貯	tei3	俗	
釵	tʰei1		
體	tʰei3		
替	tʰei5		
禮	lei3		
詈	lei3	俗，罵	
鑢	lei5	俗，～柴	
劑	tsei1		
祭	tsei5		
際	tsei5		
濟	tsei5		
初	tsʰei1		
粞	tsʰei5	俗，粿胚	
西	sei1	文	
洗	sei3		
細	sei5		
雞	kei1		
街	kei1		
計	kei5		
繼	kei5		
疥	kei5		
溪	kʰei1		
稽	kʰei1		
□	kʰei1	俗，用刀刮	
啟	kʰei3		
契	kʰei5		
囓	ɡei5	俗	
奚	hei1	百里～	
蟹	hei3	文	
挨	ei1	白	
矮	ei3		
稗	pʰei6		
賣	bei6		
𣍐	bei6	俗，不會，“毋解”合音	
堤	tei2		
題	tei2		
蹄	tei2		
第	tei6	不～	
弟	tei6	白	
地	tei6		
提	tʰei2		
黎	lei2		
璃	lei2		
勵	lei6		
荔	lei6		
鑢	lei6	～飯	
齊	tsei2		
多	tsei6	訓	
鮭	kei2	俗	
藝	ɡei6		
毅	ɡei6		
係	hei6		
蟹	hei6	白	
鞋	ei2		
會	ei6	訓	
解	ei6	會	
睇	tʰẽi3	俗，看	
反	peŋ3	俗	
柏	pek7	文	
聘	pʰeŋ5		
猛	beŋ3	文	
丁	teŋ1		
疔	teŋ1		
頂	teŋ3		
戥	teŋ3		
竹	tek7		
聽	tʰeŋ5		
鍾	tseŋ1		
僧	tseŋ1		
種	tseŋ3	白	
種	tseŋ5		
千	tsʰeŋ1	白	
筅	tsʰeŋ3		
戚	tsʰek7		
粟	tsʰek7	白	
星	seŋ1	文	
生	seŋ1		
先	seŋ1	白	
芟	seŋ1		
肩	keŋ1		
間	keŋ1	白	
耿	keŋ3		
揀	keŋ3		
襇	keŋ3	俗	
敬	keŋ5		
革	kek7		
傾	kʰeŋ1		
刻	kʰek7		
曲	kʰek7	白	
興	heŋ1		
莧	heŋ5	～菜	
蕹	heŋ5	～菜：空心菜	
鷹	eŋ1		
櫻	eŋ1		
湧	eŋ3	海～：海浪	
影	eŋ3	文	
平	peŋ2	文	
亭	teŋ2		
扂	teŋ6	門～	
□	teŋ6	硬	
薐	leŋ2	菠～	
鈴	leŋ2		
菱	leŋ2		
檸	leŋ2		
荔	leŋ6		
鴒	leŋ6	俗，加～	
楝	leŋ6	苦～	
蠶	tsʰeŋ2		
榕	seŋ2		
夕	sek8		
熟	sek8	白	
菊	kek8		
虹	kʰeŋ6		
還	heŋ2	白	
杏	heŋ6	～仁	
浴	ek8		
短	tə3		
袋	tə5		
戴	tə5	白，姓	
塊	tə5	俗	
啄	təʔ7	俗	
胎	tʰə1	白	
推	tʰə1		
退	tʰə5		
災	tsə1	俗，著～	
晬	tsə5	俗，對～：滿週歲	
脆	tsʰə5		
雪	səʔ7		
胚	pʰə2	俗，豬～仔	
袋	tə6		
代	tə6	白	
螺	lə2		
座	tsə6		
坐	tsə6	白	
絕	tsəʔ8	白	
踅	səʔ8	俗，轉	
個	ɡə2	一～儂	
嗝	əʔ8	俗，拍～：打嗝	
豬	tɯ1		
著	tɯ5		
汝	lɯ3		
諸	tsɯ1		
資	tsɯ1		
之	tsɯ1		
芝	tsɯ1		
煮	tsɯ3		
子	tsɯ3	文	
薦	tsɯ5	俗，加～：草籃子	
蛆	tsʰɯ1		
鼠	tsʰɯ3		
取	tsʰɯ3		
此	tsʰɯ3		
處	tsʰɯ5		
次	tsʰɯ5		
書	sɯ1		
舒	sɯ1		
需	sɯ1		
輸	sɯ1		
斯	sɯ1		
私	sɯ1	文	
師	sɯ1		
司	sɯ1		
思	sɯ1		
暑	sɯ3		
墅	sɯ3		
使	sɯ3		
史	sɯ3	文	
始	sɯ3		
賜	sɯ5		
思	sɯ5		
四	sɯ5	文	
乳	dzɯ3		
車	kɯ1		
裾	kɯ1	俗	
萁	kɯ1	毛～：一種柴草	
舉	kɯ3		
矩	kɯ3		
巨	kɯ3		
據	kɯ5		
鋸	kɯ5		
區	kʰɯ1		
拘	kʰɯ1		
驅	kʰɯ1		
去	kʰɯ5		
語	ɡɯ3		
虛	hɯ1		
墟	hɯ1		
魚	hɯ2		
漁	hɯ2		
許	hɯ3	文	
迄	hɯ5	俗，～個：那個	
與	ɯ3		
除	tɯ2		
鋤	tɯ2		
箸	tɯ6	筷子	
儲	tʰɯ2		
鋤	tʰɯ2		
驢	lɯ2		
呂	lɯ6		
慮	lɯ6		
吏	lɯ6		
鋁	lɯ6		
慈	tsɯ2		
磁	tsɯ2		
蜍	tsɯ2	俗，螿～	
自	tsɯ6		
苴	tsɯ6	俗，～褥子	
雌	tsʰɯ2		
瓷	tsʰɯ2		
徐	sɯ2		
殊	sɯ2		
詞	sɯ2		
嗣	sɯ2		
緒	sɯ6		
士	sɯ6		
事	sɯ6		
序	sɯ6		
□	sɯ6	口哨	
如	dzɯ2		
喻	dzɯ6		
裕	dzɯ6		
娛	ɡɯ2		
愚	ɡɯ2		
遇	ɡɯ6		
余	ɯ2		
餘	ɯ2		
遺	ɯ2		
預	ɯ6		
譽	ɯ6		
芋	ɯ6	文	
卑	pi1		
碑	pi1		
婢	pi1		
悲	pi1		
啡	pi1	咖～	
陂	pi1	官～	
蜱	pi1	俗	
鎞	pi1		
彼	pi3		
比	pi3		
秘	pi5		
閉	pi5		
痺	pi5		
鱉	piʔ7		
襒	piʔ7	俗	
披	pʰi1		
鄙	pʰi3		
疕	pʰi3		
米	bi3		
沬	bi5	俗	
覕	biʔ7	～喙	
蜘	ti1		
知	ti1	文	
抵	ti3		
底	ti3	文	
智	ti5		
致	ti5		
至	ti5		
稚	ti5		
置	ti5		
戴	ti5	白	
滴	tiʔ7		
剃	tʰi5		
鐵	tʰiʔ7	白	
理	li3		
李	li3		
裏	li3		
里	li3		
鯉	li3		
女	li3	孝～	
瘰	li3	俗，～癧	
脂	tsi1		
枝	tsi1	文	
膣	tsi1	～腓	
吱	tsi1	逗弄	
紫	tsi3		
姊	tsi3		
旨	tsi3		
止	tsi3		
址	tsi3		
黹	tsi3	針～	
子	tsi3	白	
指	tsi3	文	
制	tsi5		
志	tsi5		
誌	tsi5		
痣	tsi5		
至	tsi5		
只	tsi5	俗，～個	
接	tsiʔ7	白	
摺	tsiʔ7		
褶	tsiʔ7	挈～	
鰓	tsʰi1		
恥	tsʰi3		
齒	tsʰi3	文	
試	tsʰi5		
施	si1		
屍	si1		
絲	si1		
詩	si1		
鷥	si1		
鬚	si1	文	
司	si1	白	
西	si1		
矢	si3		
死	si3		
始	si3	文	
世	si5		
勢	si5		
四	si5	白	
薛	siʔ7		
爍	siʔ7	俗，爁～：閃電	
爾	dzi3		
耳	dzi3	文	
箕	ki1		
枝	ki1		
技	ki1		
妓	ki1		
飢	ki1		
基	ki1		
饑	ki1		
譏	ki1		
乩	ki1		
機	ki1	文	
几	ki3		
紀	ki3		
杞	ki3		
幾	ki3	文	
己	ki3		
指	ki3	白	
記	ki5		
砌	kiʔ7		
欺	kʰi1		
起	kʰi3		
豈	kʰi3		
齒	kʰi3	白	
器	kʰi5		
棄	kʰi5		
汽	kʰi5		
氣	kʰi5	文	
缺	kʰiʔ7		
蟻	ɡi3	文	
犧	hi1		
希	hi1		
稀	hi1		
戲	hi5		
歔	hi5	哈～：打哈欠	
伊	i1		
依	i1		
醫	i1	文	
衣	i1		
肄	i5		
意	i5		
琵	pi2		
枇	pi2		
啤	pi2		
脾	pi2		
弊	pi6		
幣	pi6		
閉	pi6		
避	pi6		
備	pi6		
迷	bi2		
味	bi6		
咪	bi6		
未	bi6	文	
篾	biʔ8		
池	ti2		
遲	ti2		
持	ti2		
治	ti6		
痔	ti6		
稚	ti6		
弟	ti6	文	
地	ti6		
己	ti6	俗，家～：自己	
碟	tiʔ8		
啼	tʰi2		
苔	tʰi2		
雉	ti6		
籬	li2		
離	li2		
厘	li2		
厲	li6		
例	li6		
離	li6		
利	li6	文	
裂	liʔ8	白	
巳	tsi6		
舐	tsi6	俗	
舌	tsiʔ8		
折	tsiʔ8	白	
飼	tsʰi6		
市	tsʰi6		
蠘	tsʰiʔ8	俗，～仔：梭子蟹	
匙	si2		
時	si2		
是	si6		
事	si6		
誓	si6		
豉	si6		
示	si6		
視	si6		
寺	si6		
蝕	siʔ8		
兒	dzi2		
而	dzi2		
字	dzi6		
裕	dzi6		
㧫	dziʔ8	俗	
渠	ki2		
旗	ki2		
奇	ki2		
期	ki2		
棋	ki2		
其	ki2		
祈	ki2		
祺	ki2	段～瑞：人名	
忌	ki6		
蜞	kʰi2	蜈～	
騎	kʰi2	文	
宜	ɡi2		
儀	ɡi2		
疑	ɡi2		
咦	ɡi2	～蚜：蟬	
議	ɡi6		
義	ɡi6		
移	i2		
姨	i2		
夷	i2		
胰	i2		
彪	piu1		
抽	tʰiu1		
醜	tʰiu3		
丑	tʰiu3		
鰡	liu1	俗，鰗～：泥鰍	
柳	liu3		
鈕	liu3		
㧕	liu3	俗，挖	
皵	liu5	俗	
周	tsiu1		
州	tsiu1		
洲	tsiu1		
舟	tsiu1		
珠	tsiu1	白	
酒	tsiu3		
蛀	tsiu5		
咒	tsiu5		
初	tsʰiu1		
鬚	tsʰiu1	白	
手	tsʰiu3		
帚	tsʰiu3		
刷	tsʰiu5	訓，鼎～	
㾭	tsʰiu5	拍加～	
梳	siu1		
收	siu1		
羞	siu1		
首	siu3		
守	siu3		
黍	siu3		
帚	siu3		
秀	siu5		
繡	siu5		
獸	siu5		
銹	siu5		
勼	kiu1	俗	
九	kiu3	文	
久	kiu3		
救	kiu5		
丘	kʰiu1		
鳩	kʰiu1	俗，斑～	
休	hiu1		
朽	hiu3		
優	iu1		
憂	iu1		
幽	iu1		
友	iu3		
酉	iu3		
有	iu3	文	
幼	iu5		
籌	tiu2		
綢	tiu2		
晝	tiu6	文	
頭	tʰiu2	文	
硫	liu2		
榴	liu2		
樓	liu2	文	
流	liu2		
留	liu2		
仇	tsʰiu2		
酬	tsʰiu2		
囚	tsʰiu2		
愁	tsʰiu2		
樹	tsʰiu6		
泅	siu2		
囚	siu2	監～	
壽	siu6		
受	siu6		
岫	siu6	俗	
魷	dziu2		
揉	dziu2		
求	kiu2		
球	kiu2		
䊆	kʰiu6	俗	
牛	ɡiu2	文	
裘	hiu2		
郵	iu2		
尤	iu2		
由	iu2		
油	iu2		
游	iu2		
猶	iu2		
又	iu6		
祐	iu6		
柚	iu6		
邊	pĩ1		
扁	pĩ3	白	
變	pĩ5	白	
片	pʰĩ5	白	
彌	mi1	阿～陀佛	
美	mi3		
甜	tĩ1	白	
天	tʰĩ1	白	
添	tʰĩ1		
染	nĩ3	白	
櫼	tsĩ1	俗，～仔	
茈	tsĩ3	俗，～薑	
箭	tsĩ5		
鮮	tsʰĩ1		
蟋	sĩʔ7	～蟀	
鹼	kĩ1	俗	
梔	kĩ5		
見	kĩ5	白	
□	ŋĩ1		
喜	hĩ3		
咿	ĩ1	胡琴聲	
椅	ĩ3		
以	ĩ3		
燕	ĩ5	白	
咿	ĩ5	～哦	
謎	mi2		
棉	mĩ2		
綿	mĩ2		
糜	mi2	文	
麪	mĩ6		
物	miʔ8	白	
滇	tĩ6	俗，滿	
紩	tʰĩ6	俗，縫	
泥	ni2		
尼	ni2		
年	nĩ2		
簾	nĩ2	俗，～簷：屋簷	
簷	tsĩ2		
錢	tsĩ2	白	
誓	sĩ6		
弦	hĩ2	白	
硯	hĩ6		
耳	hĩ6	白	
圓	ĩ2	白	
易	ĩ6		
異	ĩ6		
院	ĩ6		
掂	tim5	俗	
斟	tsim1		
唚	tsim1		
拯	tsim3		
枕	tsim3		
侵	tsʰim1		
深	tsʰim1		
浸	tsʰim5		
心	sim1		
沈	sim3		
審	sim3		
嬸	sim3		
濕	sip7		
忍	dzim3		
金	kim1		
錦	kim3		
禁	kim5		
急	kip7		
級	kip7		
給	kip7		
及	kip7		
吸	kip7		
衱	kip7	俗，緊	
欽	kʰim1		
檎	kʰim5	俗，林～	
吸	kʰip7		
欣	him1		
音	im1		
陰	im1		
飲	im3		
蔭	im5		
臨	lim2		
林	lim2	文	
淋	lim2		
立	lip8		
笠	lip8		
集	tsip8		
輯	tsip8		
唧	tsip8	俗	
尋	tsʰim2	文	
緝	tsʰip8		
習	sip8		
十	sip8	文	
壬	dzim2		
任	dzim6		
入	dzip8		
妗	kim6	舅媽	
琴	kʰim2		
禽	kʰim2		
擒	kʰim2		
吟	ɡim2		
熊	him2		
淫	im2		
賓	pin1		
彬	pin1		
檳	pin1		
冰	pin1		
兵	pin1		
禀	pin3		
秉	pin3		
楄	pin3	俗，～擔	
鬢	pin5		
摒	pin5	俗，虱～	
筆	pit7		
畢	pit7		
必	pit7		
逼	pit7		
迫	pit7		
百	pit7	文	
柏	pit7		
品	pʰin3		
聘	pʰin5		
匹	pʰit7		
碧	pʰit7		
闢	pʰit7		
劈	pʰit7		
面	bin1	白	
敏	bin3		
皿	bin3		
抿	bin3	俗	
鮸	bin3		
猛	bin3	文	
蜜	bit7		
珍	tin1		
叮	tin1	俗，叮～鼓	
燈	tin1		
登	tin1		
釘	tin1		
丁	tin1		
鼎	tin3	文	
鎮	tin5		
得	tit7		
的	tit7		
德	tit7		
冷	lin3		
恁	lin3	俗	
津	tsin1		
增	tsin1		
僧	tsin1		
徵	tsin1		
蒸	tsin1		
貞	tsin1		
偵	tsin1		
征	tsin1		
鍾	tsin1		
鐘	tsin1		
曾	tsin1		
精	tsin1	文	
爭	tsin1		
舂	tsin1	白	
升	tsin1		
震	tsin3		
整	tsin3		
種	tsin3		
井	tsin3	文	
進	tsin5		
晉	tsin5	～江	
證	tsin5		
政	tsin5		
正	tsin5	文	
眾	tsin5	白	
則	tsit7		
責	tsit7		
積	tsit7		
績	tsit7		
叔	tsit7		
燭	tsit7		
親	tsʰin1		
稱	tsʰin1		
清	tsʰin1		
青	tsʰin1	文	
請	tsʰin3	文	
秤	tsʰin5		
凊	tsʰin5		
銃	tsʰin5		
七	tsʰit7		
膝	tsʰit7		
拭	tsʰit7		
側	tsʰit7		
測	tsʰit7		
策	tsʰit7		
斥	tsʰit7		
戚	tsʰit7		
觸	tsʰit7		
粟	tsʰit7	白	
新	sin1		
辛	sin1		
薪	sin1		
身	sin1		
申	sin1		
甥	sin1		
牲	sin1	文	
聲	sin1		
升	sin1		
先	sin1	白	
甥	sin3		
省	sin3	文	
信	sin5		
訊	sin5		
迅	sin5		
囟	sin5		
勝	sin5		
性	sin5	文	
聖	sin5		
失	sit7		
室	sit7		
蝕	sit7		
悉	sit7		
式	sit7		
識	sit7		
色	sit7		
席	sit7		
息	sit7		
釋	sit7		
適	sit7		
析	sit7		
穡	sit7	俗	
根	kin1		
跟	kin1		
巾	kin1		
斤	kin1		
筋	kin1		
均	kin1		
鈞	kin1		
耕	kin1		
經	kin1	文	
緊	kin3		
謹	kin3		
景	kin3		
境	kin3		
警	kin3		
揀	kin3		
敬	kin5		
橘	kit7		
革	kit7		
擊	kit7		
激	kit7		
銡	kit7	俗，～針	
輕	kʰin1		
筐	kʰin1		
卿	kʰin1		
墾	kʰin3		
懇	kʰin3		
肯	kʰin3		
慶	kʰin5		
乞	kʰit7		
刻	kʰit7		
研	ɡin3		
眼	ɡin3		
興	hin1		
胸	hin1		
兄	hin1	文	
很	hin3		
興	hin5		
恩	in1		
姻	in1		
因	in1		
殷	in1		
鶯	in1		
櫻	in1		
英	in1		
嬰	in1		
𪜶	in1	俗，他們	
引	in3		
隱	in3		
永	in3		
泳	in3		
詠	in3		
勇	in3		
印	in5		
應	in5		
乙	it7		
一	it7		
億	it7		
憶	it7		
役	it7		
疫	it7		
益	it7		
慾	it7		
欲	it7		
貧	pin2		
屏	pin2		
憑	pin2		
蘋	pin2		
並	pin6		
白	pit8	文	
評	pʰin2		
平	pʰin2		
坪	pʰin2		
眠	bin2		
民	bin2		
明	bin2		
鳴	bin2		
盟	bin2		
銘	bin2		
名	bin2	文	
命	bin6	文	
陌	bit8	～頭	
覓	bit8	～封侯	
墨	bit8	文	
麥	bit8		
密	bit8	白	
塵	tin2		
澄	tin2		
庭	tin2		
亭	tin2		
陳	tin2	文	
重	tin2	白	
陣	tin6		
鄧	tin6		
定	tin6	文	
□	tin6	俗	
姪	tit8		
植	tit8		
殖	tit8		
直	tit8		
狄	tit8		
蟄	tit8		
值	tit8	文	
藤	tʰin2		
騰	tʰin2		
特	tʰit8		
擇	tʰit8		
鄰	lin2		
憐	lin2		
薐	lin2	～薐	
能	lin2		
陵	lin2		
凌	lin2		
寧	lin2		
靈	lin2		
鈴	lin2		
零	lin2	文	
鱗	lin2		
另	lin6		
肋	lit8		
勒	lit8		
曆	lit8		
歷	lit8		
力	lit8	文	
秦	tsin2		
情	tsin2	文	
前	tsin2	白	
盡	tsin6		
淨	tsin6		
靜	tsin6	文	
臣	sin2		
辰	sin2		
晨	sin2		
神	sin2		
蠅	sin2		
繩	sin2		
誠	sin2		
松	sin2	白	
成	sin2		
腎	sin6		
慎	sin6		
盛	sin6		
蟮	sin6	俗，～螂：蟑螂	
實	sit8		
翼	sit8		
蝕	sit8		
夕	sit8		
席	sit8		
食	sit8	文	
人	dzin2		
仁	dzin2		
認	dzin6		
極	kit8		
芹	kʰin2		
勤	kʰin2		
瓊	kʰin2		
虹	kʰin6	白	
扢	kʰit8	俗，～糊仔	
銀	ɡin2		
凝	ɡin2		
迎	ɡin2	俗	
□	ɡin2		
逆	ɡit8		
痕	hin2		
恆	hin2		
衡	hin2		
形	hin2		
刑	hin2		
型	hin2		
行	hin2	白	
還	hin2		
眩	hin2	俗	
恨	hin6		
莧	hin6		
杏	hin6		
幸	hin6		
行	hin6	文	
核	hit8		
域	hit8		
寅	in2		
閑	in2		
閒	in2		
榮	in2		
螢	in2		
營	in2	文	
孕	in6		
逸	it8		
筆	pik7		
等	tiŋ3	文	
中	tiŋ5	白	
𨑨	tʰik7	俗，～迌	
恁	liŋ3	俗	
慄	lik7	俗，死囝仔～：仰泳	
曾	tsiŋ1		
榛	tsiŋ1	菅～：芒草	
精	tsiŋ1	文	
鯽	tsik7		
清	tsʰiŋ1		
辛	siŋ1		
肩	kiŋ1		
跟	kiŋ1		
驚	kiŋ1	文	
桔	kik7		
眼	ɡiŋ3	龍～	
蜆	hiŋ3		
英	iŋ1		
鸚	iŋ1		
鷹	iŋ1		
坱	iŋ1	俗	
往	iŋ3	白	
益	ik7	文	
朋	piŋ2		
爿	piŋ2	東～	
平	pʰiŋ2		
面	biŋ2	白	
默	bik8		
亭	tiŋ2		
籐	tiŋ2		
陣	tiŋ6		
特	tik8		
一	tsik8	訓	
辰	siŋ2		
腎	siŋ6		
熟	sik8	白	
𬇴	kik8	俗，粥濃	
瓊	kʰiŋ2		
橛	kʰik8		
龍	ɡiŋ2	俗，～眼	
銀	ɡiŋ2		
壁	piaʔ7		
僻	pʰiaʔ7		
爹	tia1		
摘	tiaʔ7		
拆	tʰiaʔ7		
遮	tsia1		
姐	tsia3		
者	tsia3		
蔗	tsia5		
鷓	tsia5	～鴣	
跡	tsiaʔ7		
藉	tsiaʔ7		
隻	tsiaʔ7		
脊	tsiaʔ7		
謝	tsiaʔ7	白，姓	
車	tsʰia1		
捙	tsʰia1	俗	
赤	tsʰiaʔ7		
刺	tsʰiaʔ7	俗	
賒	sia1		
寫	sia3		
捨	sia3		
赦	sia5		
舍	sia5		
瀉	sia5		
削	siaʔ7		
錫	siaʔ7		
遮	dzia1	～雨	
惹	dzia3		
寄	kia5		
奇	kʰia1	～數	
寄	kʰia1	俗，私～	
靴	hia1		
桸	hia1	俗，瓠～	
纓	ia1	俗，紅～	
也	ia3		
野	ia3		
厭	ia5		
益	iaʔ7	白	
癖	pʰiaʔ8	俗，出～：出麻疹	
糴	tiaʔ8	～米	
掠	liaʔ8		
鱲	liaʔ8	俗，加～魚	
撂	liaʔ8	一～	
□	liaʔ8	加～	
謝	tsia6	白	
食	tsiaʔ8	俗	
斜	sia2		
邪	sia2		
畲	sia2		
佘	sia2		
餳	sia2	俗	
社	sia6		
射	sia6	～箭	
麝	sia6		
謝	sia6	文	
䗁	dzia2	俗，蟧～	
崎	kia6	俗	
屐	kiaʔ8		
攑	kiaʔ8	俗，～彩旗	
騎	kʰia2	白	
椰	ɡia2	～菜：花～菜	
撁	ɡiaʔ8	俗，～算盤	
瓦	hia6	白	
蟻	hia6	白	
額	hiaʔ8		
爺	ia2		
耶	ia2		
夜	ia6		
掖	ia6	俗，～種	
蝶	iaʔ8	俗	
表	piau3	文	
飄	pʰiau1		
漂	pʰiau1		
標	pʰiau1	文	
朝	tiau1		
刁	tiau1		
釣	tiau5	文	
超	tʰiau1		
挑	tʰiau1	文	
跳	tʰiau5		
了	liau3		
昭	tsiau1		
蕉	tsiau1	文	
招	tsiau1		
鳥	tsiau3	白	
詔	tsiau5		
照	tsiau5	文	
笑	tsʰiau5	文	
消	siau1		
銷	siau1		
霄	siau1		
蕭	siau1		
簫	siau1		
少	siau3	文	
痟	siau3	俗	
邵	siau5		
紹	siau5		
笑	siau5	文，訕～	
數	siau5	白	
擾	dziau3		
爪	dziau3		
嬌	kiau1		
交	kiau1	俗，我～汝	
繳	kiau3		
筊	kiau3	俗，跋～：賭博	
巧	kʰiau3	文	
翹	kʰiau5		
囂	hiau1		
曉	hiau3		
孝	hiau5		
妖	iau1		
邀	iau1		
要	iau1		
腰	iau1	文	
枵	iau1	餓	
要	iau5		
妙	biau6		
藐	biau6		
朝	tiau2		
條	tiau2		
椆	tiau2		
兆	tiau6		
調	tʰiau2		
柱	tʰiau6	白	
聊	liau2		
遼	liau2		
寥	liau2		
料	liau6		
廖	liau6		
鷯	liau6	俗，白～鷥	
褿	tsiau2	俗，～勻	
撨	tsʰiau2	俗	
潲	siau2	俗，精液	
饒	dziau2		
皺	dziau2	俗	
僑	kiau2		
謠	iau2		
姚	iau2		
耀	iau6		
餅	piã3		
丙	piã3		
鼎	tiã3	白	
廳	tʰiã1		
聽	tʰiã1		
嶺	niã3		
領	niã3		
正	tsiã1		
精	tsiã1	白，妖～	
𩟗	tsiã3	俗，淡	
正	tsiã5	白	
成	tsʰiã1	白	
且	tsʰiã3		
請	tsʰiã3	白	
聲	siã1	白	
京	kiã1		
驚	kiã1	白	
囝	kiã3		
鏡	kiã5		
兄	hiã1	白	
顯	hiã3	白	
影	iã3	白	
映	iã5		
名	miã2	白	
命	miã6	白	
埕	tiã2		
定	tiã6	白	
爾	tiã6	俗	
呈	tʰiã2		
程	tʰiã2		
娘	niã2		
情	tsiã2	白	
城	siã2		
𣛮	siã6	俗，～籃	
行	kiã2		
件	kiã6		
鍵	kiã6	白	
額	ŋiaʔ8		
燃	hiã2	白	
艾	hiã6	白	
贏	iã2		
迎	iã2		
營	iã2		
秒	miau3		
鳥	niau3	文	
貓	ŋiau1		
老	ŋiau3	俗，～鼠	
描	miau2		
苗	miau2		
□	ŋiau6		
砧	tiam1		
點	tiam3		
店	tiam5		
踮	tiam5	俗，躲	
添	tʰiam1	文	
□	tʰiam3	俗，累	
帖	tʰiap7		
斂	liam3		
殮	liam3		
埝	liam5	俗，土埂	
捻	liam5		
攝	liap7		
聶	liap7		
尖	tsiam1		
針	tsiam1		
詹	tsiam1		
佔	tsiam5		
汁	tsiap7		
接	tsiap7	文	
簽	tsʰiam1		
籤	tsʰiam1		
妾	tsʰiap7		
閃	siam3		
陝	siam3		
澀	siap7		
□	siap7	俗	
卌	siap7		
染	dziam3	文	
兼	kiam1		
減	kiam3		
檢	kiam3		
劍	kiam5		
劫	kiap7		
夾	kiap7		
謙	kʰiam1		
歉	kʰiam3		
欠	kʰiam5		
業	ɡiap7		
薟	hiam1	俗	
險	hiam3		
喊	hiam5		
洽	hiap7		
狹	hiap7		
閹	iam1		
掩	iam1		
厭	iam5		
沉	tiam2		
甜	tiam2	文	
坫	tiam6	俗，～番薯	
恬	tiam6	～靜	
蝶	tiap8		
疊	tʰiap8	文	
黏	liam2		
廉	liam2		
鐮	liam2		
念	liam6		
唸	liam6		
粒	liap8		
□	liap8	俗	
暫	tsiam6		
橙	tsʰiam2		
尋	siam2	白	
鹹	kiam2		
鉗	kʰiam2	～仔	
儉	kʰiam6		
岩	ɡiam2		
閻	ɡiam2		
嚴	ɡiam2		
驗	ɡiam6		
嫌	hiam2		
峽	hiap8		
涉	hiap8		
協	hiap8		
鹽	iam2		
涵	iam2	俗，～空	
炎	iam6		
艷	iam6		
豔	iam6		
燄	iam6		
頁	iap8		
葉	iap8		
珍	tian1		
張	tian1	文	
長	tian3	文	
帳	tian5		
兩	lian3	文	
將	tsian1		
章	tsian1		
漳	tsian1	文	
獎	tsian3		
掌	tsian3		
將	tsian5		
障	tsian5	～礙	
昌	tsʰian1		
娼	tsʰian1		
廠	tsʰian3	文	
倡	tsʰian5		
唱	tsʰian5	文	
襄	sian1		
商	sian1		
雙	sian1		
相	sian1		
先	sian1	文	
傷	sian1		
想	sian3	文	
相	sian5		
像	sian5	文	
摔	siat7		
嚷	dzian3		
壤	dzian3		
姜	kian1		
羌	kian1	文	
強	kian3		
見	kian5	文	
勥	kʰian5	俗	
香	hian1	文	
餉	hian3		
響	hian3		
享	hian3		
顯	hian3	文	
向	hian5	文	
秧	ian1		
殃	ian1		
央	ian1	文	
仰	ian3		
養	ian3		
癢	ian3	文	
晏	ian5	文	
燕	ian5		
約	iat7		
躍	iat7		
長	tian2	文	
丈	tian6	文	
糴	tiat8	文	
良	lian2		
梁	lian2		
樑	lian2		
涼	lian2	文	
亮	lian6		
諒	lian6		
量	lian6	文	
腸	tsʰian2	文	
匠	tsʰian6	文	
象	tsʰian6		
詳	sian2		
嫦	sian2	～娥	
常	sian2		
償	sian2		
尚	sian6	文，高～	
上	sian6		
象	sian6		
讓	dzian6	文	
強	kian2		
陽	ian2		
揚	ian2		
楊	ian2	文	
樣	ian6	文	
雙	siaŋ1		
傷	siaŋ1	文	
摔	siak7		
噱	siak7	俗，很	
鵠	kʰiak7	俗，白頭～仔：白頭翁	
標	piɔ1	白	
表	piɔ3	白	
錶	piɔ3		
挑	tʰiɔ1	白，～沙	
糶	tʰiɔ5	～米	
椒	tsiɔ1		
蕉	tsiɔ1	白	
招	tsiɔ1		
少	tsiɔ3	白	
照	tsiɔ5	白	
借	tsiɔʔ7		
幘	tsiɔʔ7	俗，棉～	
𪁎	tsʰiɔ1	俗	
笑	tsʰiɔ5	白	
唱	tsʰiɔ5		
尺	tsʰiɔʔ7		
燒	siɔ1		
霄	siɔ1	雲～：地名	
惜	siɔʔ7		
叫	kiɔ5		
徼	kʰiɔ5	俗，做～	
么	iɔ1		
幺	iɔ1		
腰	iɔ1	白	
臆	iɔʔ7	俗，猜	
鰾	piɔ6		
描	biɔ2		
廟	biɔ6		
趙	tiɔ6		
糶	tiɔʔ8	白	
撩	liɔ2	俗，～沫	
□	liɔ2		
石	tsiɔʔ8		
蓆	tsʰiɔʔ8		
液	siɔʔ8	俗，手～	
尿	dziɔ6		
橋	kiɔ2		
茄	kiɔ2		
喬	kiɔ2		
轎	kiɔ6		
藠	kiɔ6	俗，蕗～	
箬	hiɔʔ8	俗，樹～	
鴞	hiɔʔ8		
搖	iɔ2		
窯	iɔ2		
窰	iɔ2		
藥	iɔʔ8		
張	tiɔ̃1	白	
長	tiɔ̃3	白，縣～	
脹	tiɔ̃5		
帳	tiɔ̃5	白	
釣	tiɔ̃5		
掁	tiɔ̃5	俗，投錢	
