文字		声母	韵母	声调调值	拼音	读音属性	注释
画		Ø	uɛ	22	uɛ22		名词
话		Ø	uɛ	22	uɛ22		
哕		Ø	uɛʔ	2	uɛʔ2		呕~：呕吐。《广韵》於月切，逆气
划		Ø	uɛʔ	5	uɛʔ5		
波		p	ɔ	33	pɔ33		
菠		p	ɔ	33	pɔ33		
坡		p	ɔ	33	pɔ33		
玻		p	ɔ	33	pɔ33		
婆		p	ɔ	55	pɔ55		姑~
保		p	ɔ	42	pɔ42		
宝		p	ɔ	42	pɔ42		
报		p	ɔ	212	pɔ212		
薄		p	ɔ	22	pɔ22		~荷
驳		p	ɔʔ	2	pɔʔ2		
泊		p	ɔʔ	5	pɔʔ5		
薄		p	ɔʔ	5	pɔʔ5		
跛		pʰ	ɔ	42	pʰɔ42		
颇		pʰ	ɔ	42	pʰɔ42		廉~
菩		pʰ	ɔ	35	pʰɔ35		
抱		pʰ	ɔ	35	pʰɔ35		
粕		pʰ	ɔʔ	2	pʰɔʔ2		
朴		pʰ	ɔʔ	2	pʰɔʔ2		~树
无		b	ɔ	55	bɔ55		
母		b	ɔ	42	bɔ42		
磨		b	ɔ	22	bɔ22		
帽		b	ɔ	22	bɔ22		
多		t	ɔ	33	tɔ33		
刀		t	ɔ	33	tɔ33		
朵		t	ɔ	55	tɔ55		花~
桃		t	ɔ	55	tɔ55		杨~
逃		t	ɔ	55	tɔ55		
萄		t	ɔ	55	tɔ55		
朵		t	ɔ	42	tɔ42		量词
躲		t	ɔ	42	tɔ42		
剁		t	ɔ	42	tɔ42		
垛		t	ɔ	42	tɔ42		
倒		t	ɔ	42	tɔ42	白读	~落去：倒下
短		t	ɔ	42	tɔ42		
在		t	ɔ	42	tɔ42	白读	无~：不在
倒		t	ɔ	212	tɔ212		~水。《广韵》都导切
□		t	ɔ	212	tɔ212		~手：左手
代		t	ɔ	22	tɔ22		古~
袋		t	ɔ	22	tɔ22		
桌		t	ɔʔ	2	tɔʔ2		
卓		t	ɔʔ	2	tɔʔ2		
夺		t	ɔʔ	5	tɔʔ5		
择		t	ɔʔ	5	tɔʔ5		
胎		tʰ	ɔ	33	tʰɔ33		
□		tʰ	ɔ	33	tʰɔ33		推托
桃		tʰ	ɔ	55	tʰɔ55		
妥		tʰ	ɔ	42	tʰɔ42		
讨		tʰ	ɔ	42	tʰɔ42		
退		tʰ	ɔ	212	tʰɔ212		
褪		tʰ	ɔ	212	tʰɔ212		
椭		tʰ	ɔ	22	tʰɔ22		
托		tʰ	ɔʔ	2	tʰɔʔ2		
驼		tʰ	ɔʔ	5	tʰɔʔ5		
捞		l	ɔ	33	lɔ33		~豉油：拌酱油
罗		l	ɔ	55	lɔ55		
锣		l	ɔ	55	lɔ55		
骡		l	ɔ	55	lɔ55		
螺		l	ɔ	55	lɔ55		
脶		l	ɔ	55	lɔ55		
啰		l	ɔ	55	lɔ55		
牢		l	ɔ	55	lɔ55		
裸		l	ɔ	55	lɔ55		
恼		l	ɔ	42	lɔ42	白读	烦~
裹		l	ɔ	42	lɔ42		
□		l	ɔ	42	lɔ42		阿~：夸奖
落		l	ɔʔ	5	lɔʔ5		
骆		l	ɔʔ	5	lɔʔ5		
槽		ts	ɔ	55	tsɔ55		
左		ts	ɔ	42	tsɔ42		
佐		ts	ɔ	42	tsɔ42		
阻		ts	ɔ	42	tsɔ42		
枣		ts	ɔ	42	tsɔ42		
坐		ts	ɔ	35	tsɔ35		
助		ts	ɔ	35	tsɔ35		
做		ts	ɔ	212	tsɔ212		
座		ts	ɔ	22	tsɔ22		
作		ts	ɔʔ	2	tsɔʔ2	白读	~工
绝		ts	ɔʔ	5	tsɔʔ5		
初		tsʰ	ɔ	33	tsʰɔ33		当~
臊		tsʰ	ɔ	33	tsʰɔ33		腥臭
锄		tsʰ	ɔ	55	tsʰɔ55	文读	~禾
楚		tsʰ	ɔ	42	tsʰɔ42		
础		tsʰ	ɔ	42	tsʰɔ42		
草		tsʰ	ɔ	42	tsʰɔ42	白读	~稿
错		tsʰ	ɔ	212	tsʰɔ212		
糙		tsʰ	ɔ	212	tsʰɔ212		
撮		tsʰ	ɔʔ	2	tsʰɔʔ2	白读	一~侬：一群人
搓		s	ɔ	33	sɔ33		~丸
梭		s	ɔ	33	sɔ33		
疏		s	ɔ	33	sɔ33		
蔬		s	ɔ	33	sɔ33		
锁		s	ɔ	42	sɔ42		
琐		s	ɔ	42	sɔ42		
所		s	ɔ	42	sɔ42		
嫂		s	ɔ	42	sɔ42		
□		s	ɔ	35	sɔ35		撞
雪		s	ɔʔ	2	sɔʔ2		
索		s	ɔʔ	2	sɔʔ2		
歌		k	ɔ	33	kɔ33	文读	~颂
哥		k	ɔ	33	kɔ33		
高		k	ɔ	33	kɔ33		姓
膏		k	ɔ	33	kɔ33		
篙		k	ɔ	33	kɔ33		
羔		k	ɔ	33	kɔ33		
糕		k	ɔ	33	kɔ33		
稿		k	ɔ	42	kɔ42		
块		k	ɔ	212	kɔ212		
告		k	ɔ	212	kɔ212	白读	~状
阁		k	ɔʔ	2	kɔʔ2		
□		k	ɔʔ	2	kɔʔ2		婴儿月龄，一个月大为“一□”，以此类推
戈		kʰ	ɔ	33	kʰɔ33		
可		kʰ	ɔ	42	kʰɔ42		
棵		kʰ	ɔ	42	kʰɔ42		
颗		kʰ	ɔ	42	kʰɔ42		
鹅		g	ɔ	55	gɔ55		
饿		g	ɔ	22	gɔ22		
河		h	ɔ	55	hɔ55		
何		h	ɔ	55	hɔ55		
好		h	ɔ	42	hɔ42		~心
荷		h	ɔ	212	hɔ212		薄~
讹		h	ɔ	212	hɔ212		
耗		h	ɔ	212	hɔ212		
贺		h	ɔ	22	hɔ22		
号		h	ɔ	22	hɔ22		~码
鹤		h	ɔʔ	5	hɔʔ5		
窝		Ø	ɔ	33	ɔ33		
荷		Ø	ɔ	55	ɔ55		花
袄		Ø	ɔ	42	ɔ42		
卧		Ø	ɔ	35	ɔ35		
奥		Ø	ɔ	212	ɔ212		
恶		Ø	ɔʔ	2	ɔʔ2		难
学		Ø	ɔʔ	5	ɔʔ5	白读	
膘		p	iɔ	33	piɔ33		
标		p	iɔ	33	piɔ33	白读	投标
表		p	iɔ	33	piɔ33		手~
表		p	iɔ	42	piɔ42	白读	~妹
漂		p	iɔ	212	piɔ212	白读	
裱		p	iɔ	212	piɔ212		
鳔		pʰ	iɔ	35	pʰiɔ35		
票		pʰ	iɔ	212	pʰiɔ212		
描		b	iɔ	55	biɔ55		
庙		b	iɔ	22	biɔ22		
潮		t	iɔ	55	tiɔ55		
赵		t	iɔ	35	tiɔ35		
□		t	iɔ	22	tiɔ22		抖动
着		t	iɔʔ	2	tiɔʔ2		惊~
着		t	iɔʔ	5	tiɔʔ5		对
挑		tʰ	iɔ	33	tʰiɔ33	白读	~花
粜		tʰ	iɔ	212	tʰiɔ212		
□		l	iɔ	55	liɔ55		撇掉汤里的泡沫等
蕉		ts	iɔ	33	tsiɔ33		
椒		ts	iɔ	33	tsiɔ33		
招		ts	iɔ	33	tsiɔ33	白读	~生
少		ts	iɔ	42	tsiɔ42	白读	~数
照		ts	iɔ	212	tsiɔ212		
借		ts	iɔʔ	2	tsiɔʔ2		车，《广韵》资昔切
质		ts	iɔʔ	2	tsiɔʔ2		
石		ts	iɔʔ	5	tsiɔʔ5		
□		tsʰ	iɔ	33	tsʰiɔ33		斗志昂扬
笑		tsʰ	iɔ	212	tsʰiɔ212		
唱		tsʰ	iɔ	212	tsʰiɔ212	白读	~歌
尺		tsʰ	iɔʔ	2	tsʰiɔʔ2		
席		tsʰ	iɔʔ	5	tsʰiɔʔ5		
烧		s	iɔ	33	siɔ33		
相		s	iɔ	33	siɔ33	白读	~骂: 吵架
惜		s	iɔʔ	2	siɔʔ2		
□		s	iɔʔ	5	siɔʔ5		骹~：脚气
尿		dz	iɔ	22	dziɔ22		
若		dz	iɔʔ	5	dziɔʔ5	白读	~重：多重
茄		k	iɔ	55	kiɔ55		
桥		k	iɔ	55	kiɔ55		
叫		k	iɔ	212	kiɔ212		
轿		k	iɔ	22	kiɔ22		
脚		k	iɔʔ	2	kiɔʔ2		角色
□		kʰ	iɔʔ	2	kʰiɔʔ2		拾起
抾		kʰ	iɔʔ	5	kʰiɔʔ5		拿
箬		h	iɔʔ	5	hiɔʔ5		叶子
页		h	iɔʔ	5	hiɔʔ5		
腰		Ø	iɔ	33	iɔ33		
窑		Ø	iɔ	55	iɔ55		
姚		Ø	iɔ	55	iɔ55		
舀		Ø	iɔ	42	iɔ42		
摇		Ø	iɔ	35	iɔ35	白读	~头
约		Ø	iɔʔ	2	iɔʔ2	白读	合~
药		Ø	iɔʔ	5	iɔʔ5		
猪		t	ɯ	33	tɯ33		
除		t	ɯ	55	tɯ55		
锄		t	ɯ	55	tɯ55	白读	~头
箸		t	ɯ	22	tɯ22		
□		l	ɯ	33	lɯ33		铲
驴		l	ɯ	55	lɯ55		
你		l	ɯ	42	lɯ42		
吕		l	ɯ	35	lɯ35		
虑		l	ɯ	35	lɯ35		
滤		l	ɯ	35	lɯ35		
□		l	ɯ	212	lɯ212		使劲擦
书		ts	ɯ	33	tsɯ33		
资		ts	ɯ	33	tsɯ33		
姿		ts	ɯ	33	tsɯ33		
咨		ts	ɯ	33	tsɯ33		
兹		ts	ɯ	33	tsɯ33		
滋		ts	ɯ	33	tsɯ33		
之		ts	ɯ	33	tsɯ33		~前
芝		ts	ɯ	33	tsɯ33		
薯		ts	ɯ	55	tsɯ55		
煮		ts	ɯ	42	tsɯ42		
子		ts	ɯ	42	tsɯ42		
梓		ts	ɯ	42	tsɯ42		
自		ts	ɯ	35	tsɯ35		
渍		ts	ɯ	212	tsɯ212		
蛆		tsʰ	ɯ	33	tsʰɯ33		
□		tsʰ	ɯ	33	tsʰɯ33		铺
徐		tsʰ	ɯ	55	tsʰɯ55		
雌		tsʰ	ɯ	55	tsʰɯ55		
瓷		tsʰ	ɯ	55	tsʰɯ55		
慈		tsʰ	ɯ	55	tsʰɯ55		
磁		tsʰ	ɯ	55	tsʰɯ55		
鼠		tsʰ	ɯ	42	tsʰɯ42		
此		tsʰ	ɯ	42	tsʰɯ42		
次		tsʰ	ɯ	212	tsʰɯ212		
斯		s	ɯ	33	sɯ33		
撕		s	ɯ	33	sɯ33		
私		s	ɯ	33	sɯ33		
思		s	ɯ	33	sɯ33		~想
辞		s	ɯ	55	sɯ55		
词		s	ɯ	55	sɯ55		
祠		s	ɯ	55	sɯ55		
史		s	ɯ	42	sɯ42		
伺		s	ɯ	35	sɯ35		~奉
似		s	ɯ	35	sɯ35		
祀		s	ɯ	35	sɯ35		
士		s	ɯ	35	sɯ35		
仕		s	ɯ	35	sɯ35		
赐		s	ɯ	212	sɯ212		
肆		s	ɯ	212	sɯ212		
思		s	ɯ	212	sɯ212		意~
事		s	ɯ	22	sɯ22		
而		dz	ɯ	55	dzɯ55		
荋		dz	ɯ	55	dzɯ55		乱。《集韵》人之切
尔		dz	ɯ	42	dzɯ42		
耳		dz	ɯ	42	dzɯ42	文读	木~
□		dz	ɯ	42	dzɯ42		捣乱
腻		dz	ɯ	35	dzɯ35		
居		k	ɯ	33	kɯ33		
车		k	ɯ	33	kɯ33		
□		k	ɯ	55	kɯ55		顶嘴
举		k	ɯ	42	kɯ42		
矩		k	ɯ	42	kɯ42		
据		k	ɯ	35	kɯ35		
巨		k	ɯ	35	kɯ35		
拒		k	ɯ	35	kɯ35		
距		k	ɯ	35	kɯ35		
锯		k	ɯ	212	kɯ212		
渠		kʰ	ɯ	55	kʰɯ55		
瞿		kʰ	ɯ	55	kʰɯ55		
去		kʰ	ɯ	212	kʰɯ212		
语		g	ɯ	42	gɯ42		
御		g	ɯ	35	gɯ35		
墟		h	ɯ	33	hɯ33		
虚		h	ɯ	33	hɯ33		
嘘		h	ɯ	33	hɯ33		
鱼		h	ɯ	55	hɯ55		
渔		h	ɯ	55	hɯ55		
许		h	ɯ	42	hɯ42	文读	不~
余		Ø	ɯ	55	ɯ55		
馀		Ø	ɯ	55	ɯ55		
与		Ø	ɯ	42	ɯ42		
誉		Ø	ɯ	35	ɯ35		
预		Ø	ɯ	35	ɯ35		
豫		Ø	ɯ	35	ɯ35		
淤		Ø	ɯ	212	ɯ212		~渍：愚昧不懂事理
排		p	ai	55	pai55		
牌		p	ai	55	pai55		
摆		p	ai	42	pai42		
拜		p	ai	212	pai212		
败		p	ai	22	pai22		
□		pʰ	ai	42	pʰai42		有派头
沛		pʰ	ai	212	pʰai212		滂~：丰盛
派		pʰ	ai	212	pʰai212		
眉		b	ai	55	bai55		
楣		b	ai	55	bai55		
□		b	ai	42	bai42		崴
□		t	ai	33	tai33		~囝：小米
□		t	ai	55	tai55		一种寄生虫
大		t	ai	35	tai35	文读	~王
怠		t	ai	35	tai35		
殆		t	ai	35	tai35		
戴		t	ai	212	tai212		
贷		t	ai	212	tai212		
筛		tʰ	ai	33	tʰai33		
台		tʰ	ai	55	tʰai55		
抬		tʰ	ai	55	tʰai55		
癞		tʰ	ai	42	tʰai42	白读	~哥：麻风
待		tʰ	ai	35	tʰai35		
态		tʰ	ai	212	tʰai212		
太		tʰ	ai	212	tʰai212		
泰		tʰ	ai	212	tʰai212		
来		l	ai	55	lai55		
梨		l	ai	55	lai55		
内		l	ai	35	lai35		
利		l	ai	22	lai22	白读	刀~~
灾		ts	ai	33	tsai33		
栽		ts	ai	33	tsai33		
知		ts	ai	33	tsai33	白读	明了
脐		ts	ai	55	tsai55		
宰		ts	ai	42	tsai42		
滓		ts	ai	42	tsai42		
载		ts	ai	42	tsai42		一年半~
在		ts	ai	35	tsai35	文读	实~
哉		ts	ai	35	tsai35		
再		ts	ai	212	tsai212		
载		ts	ai	212	tsai212		~货
猜		tsʰ	ai	33	tsʰai33		
才		tsʰ	ai	55	tsʰai55		
材		tsʰ	ai	55	tsʰai55		
财		tsʰ	ai	55	tsʰai55		
裁		tsʰ	ai	55	tsʰai55		
豺		tsʰ	ai	55	tsʰai55		
彩		tsʰ	ai	42	tsʰai42		头~
菜		tsʰ	ai	212	tsʰai212		
西		s	ai	33	sai33		
犀		s	ai	33	sai33		
师		s	ai	33	sai33		~父
狮		s	ai	33	sai33		
□		s	ai	33	sai33		枵~：不稀罕
屎		s	ai	42	sai42		
使		s	ai	42	sai42		~用
驶		s	ai	42	sai42		
柿		s	ai	35	sai35		
洒		s	ai	212	sai212		~水
赛		s	ai	212	sai212		
晒		s	ai	212	sai212		
婿		s	ai	212	sai212		
使		s	ai	212	sai212		大~
塞		s	ai	212	sai212		出~
□		s	ai	22	sai22		摆放
该		k	ai	33	kai33		
皆		k	ai	33	kai33		
阶		k	ai	33	kai33		
秸		k	ai	33	kai33		
个		k	ai	55	kai55		
盖		k	ai	212	kai212	文读	姓
丐		k	ai	212	kai212		
介		k	ai	212	kai212		
界		k	ai	212	kai212		
芥		k	ai	212	kai212		
届		k	ai	212	kai212		
戒		k	ai	212	kai212		
解		k	ai	212	kai212		姓
开		kʰ	ai	33	kʰai33		
凯		kʰ	ai	42	kʰai42		
楷		kʰ	ai	42	kʰai42		
概		kʰ	ai	212	kʰai212		
溉		kʰ	ai	212	kʰai212		
慨		kʰ	ai	212	kʰai212		
碍		g	ai	22	gai22		
孩		h	ai	55	hai55		
谐		h	ai	55	hai55		
海		h	ai	42	hai42		
亥		h	ai	35	hai35		
械		h	ai	35	hai35		
懈		h	ai	35	hai35		
害		h	ai	22	hai22		
哀		Ø	ai	33	ai33		
埃		Ø	ai	33	ai33		
挨		Ø	ai	33	ai33		
隘		Ø	ai	42	ai42		
乖		k	uai	33	kuai33		
拐		k	uai	42	kuai42		
会		k	uai	212	kuai212		
桧		k	uai	212	kuai212		
怪		k	uai	212	kuai212		
快		kʰ	uai	212	kʰuai212		
筷		kʰ	uai	212	kʰuai212		
怀		h	uai	55	huai55		
槐		h	uai	55	huai55		
淮		h	uai	55	huai55		
□		h	uai	42	huai42		~~：侉
坏		h	uai	35	huai35		
歪		Ø	uai	33	uai33		
八		p	oiʔ	2	poiʔ2		
批		pʰ	oi	33	pʰoi33		
稗		pʰ	oi	22	pʰoi22		
买		b	oi	42	boi42		
□		b	oi	35	boi35		“唔解”（不会）的合音
卖		b	oi	22	boi22		
堤		t	oi	33	toi33		
题		t	oi	55	toi55		
蹄		t	oi	55	toi55		
第		t	oi	35	toi35		
钗		tʰ	oi	33	tʰoi33		
代		tʰ	oi	212	tʰoi212	白读	替代
□		tʰ	oiʔ	2	tʰoiʔ2		鞋~：鞋垫
犁		l	oi	55	loi55		
□		l	oi	212	loi212		劈开
笠		l	oiʔ	5	loiʔ5		
齐		ts	oi	55	tsoi55	白读	~~
㩼		ts	oi	22	tsoi22		多。《广韵》章移切
节		ts	oiʔ	2	tsoiʔ2		过~
截		ts	oiʔ	5	tsoiʔ5		
䔮		s	oi	33	soi33		一种水草，可喂鸡鸭鹅。《集韵》相支切，从音斯。《齐民要术》：《字林》曰：草生水中，其花可食。
洗		s	oi	42	soi42		
细		s	oi	212	soi212		
□		s	oiʔ	2	soiʔ2		挤
街		k	oi	33	koi33		
鸡		k	oi	33	koi33		
改		k	oi	42	koi42		
解		k	oi	42	koi42		~放
计		k	oi	212	koi212		
挟		k	oiʔ	2	koiʔ2	白读	~菜
□		k	oiʔ	5	koiʔ5		夹着
溪		kʰ	oi	33	kʰoi33		
契		kʰ	oi	212	kʰoi212		
□		kʰ	oiʔ	2	kʰoiʔ2		量词，一~花生：一个带壳的花生
□		kʰ	oiʔ	2	kʰoiʔ2		碾压
倪		g	oi	55	goi55		
艺		g	oi	22	goi22		
□		h	oi	55	hoi55		剐蹭
蟹		h	oi	35	hoi35		
鞋		Ø	oi	55	oi55		
矮		Ø	oi	42	oi42		
解		Ø	oi	35	oi35		晓也
包		p	au	33	pau33		
胞		p	au	33	pau33		
堡		p	au	42	pau42		
暴		p	au	35	pau35		
爆		p	au	35	pau35		
鲍		p	au	35	pau35		
曝		p	au	35	pau35		~光
褒		pʰ	au	33	pʰau33		
抛		pʰ	au	33	pʰau33		
袍		pʰ	au	55	pʰau55		
刨		pʰ	au	55	pʰau55		
跑		pʰ	au	42	pʰau42		
炮		pʰ	au	212	pʰau212		
泡		pʰ	au	212	pʰau212		
卯		b	au	42	bau42		
叨		t	au	33	tau33		
兜		t	au	33	tau33		
逗		t	au	33	tau33		
投		t	au	55	tau55		
骰		t	au	55	tau55		
祷		t	au	42	tau42		
岛		t	au	42	tau42		
倒		t	au	42	tau42	文读	颠~
找		t	au	42	tau42		
斗		t	au	42	tau42		
道		t	au	35	tau35		
稻		t	au	35	tau35		
蹈		t	au	35	tau35		
盗		t	au	35	tau35		
导		t	au	35	tau35		
昼		t	au	212	tau212		日~：中午
豆		t	au	22	tau22		
滔		tʰ	au	33	tʰau33		
掏		tʰ	au	33	tʰau33		
偷		tʰ	au	33	tʰau33		
淘		tʰ	au	55	tʰau55		
陶		tʰ	au	55	tʰau55		
头		tʰ	au	55	tʰau55		
㪗		tʰ	au	42	tʰau42		《集韵》他口切， 展也
套		tʰ	au	212	tʰau212		
透		tʰ	au	212	tʰau212		
劳		l	au	55	lau55		
涝		l	au	55	lau55		防~
楼		l	au	55	lau55		
刘		l	au	55	lau55		
流		l	au	55	lau55	白读	~血
老		l	au	42	lau42		尊称
□		l	au	42	lau42		骗
老		l	au	35	lau35		年纪大
涝		l	au	212	lau212		~屎：拉肚子
漏		l	au	22	lau22		
闹		l	au	22	lau22	白读	~热：热闹
遭		ts	au	33	tsau33		
糟		ts	au	33	tsau33		
□		ts	au	55	tsau55		均匀
蚤		ts	au	42	tsau42		
走		ts	au	42	tsau42		
皂		ts	au	35	tsau35		
造		ts	au	35	tsau35		
罩		ts	au	35	tsau35		
灶		ts	au	212	tsau212		
奏		ts	au	212	tsau212		
操		tsʰ	au	33	tsʰau33		
抄		tsʰ	au	33	tsʰau33		
钞		tsʰ	au	33	tsʰau33		
吵		tsʰ	au	33	tsʰau33		
剿		tsʰ	au	33	tsʰau33		围~
曹		tsʰ	au	55	tsʰau55		
巢		tsʰ	au	55	tsʰau55		
草		tsʰ	au	42	tsʰau42	文读	青~
臭		tsʰ	au	212	tsʰau212		
骚		s	au	33	sau33		
扫		s	au	212	sau212		
嗽		s	au	212	sau212		
□		s	auʔ	5	sauʔ5		脆的口感
高		k	au	33	kau33		
交		k	au	33	kau33		
郊		k	au	33	kau33		
勾		k	au	33	kau33		
钩		k	au	33	kau33		
沟		k	au	33	kau33		
猴		k	au	55	kau55		
狡		k	au	42	kau42		
搞		k	au	42	kau42		
狗		k	au	42	kau42		
九		k	au	42	kau42	白读	~十
厚		k	au	35	kau35		
□		k	au	35	kau35		莲~：莲藕
到		k	au	212	kau212		
告		k	au	212	kau212	文读	~辞
够		k	au	212	kau212		
□		k	auʔ	2	kauʔ2		卷
薅		kʰ	au	33	kʰau33		~草
阄		kʰ	au	33	kʰau33		
考		kʰ	au	42	kʰau42		
烤		kʰ	au	42	kʰau42		
口		kʰ	au	42	kʰau42		
靠		kʰ	au	212	kʰau212		
叩		kʰ	au	212	kʰau212		
扣		kʰ	au	212	kʰau212		
哭		kʰ	au	212	kʰau212		
𠢕		g	au	55	gau55		有本事。《广韵》胡刀切
乐		g	auʔ	5	gauʔ5		音~
号		h	au	33	hau33		呼~
蒿		h	au	33	hau33		
豪		h	au	55	hau55		
壕		h	au	55	hau55		
毫		h	au	55	hau55		
浩		h	au	42	hau42		
吼		h	au	42	hau42		
校		h	au	35	hau35		学~
孝		h	au	212	hau212		
效		h	au	22	hau22		
候		h	au	22	hau22		
欧		Ø	au	33	au33		
瓯		Ø	au	33	au33		
殴		Ø	au	33	au33		
区		Ø	au	33	au33		姓
喉		Ø	au	55	au55		
呕		Ø	au	42	au42		
后		Ø	au	35	au35		门~
沤		Ø	au	212	au212		~肥
怄		Ø	au	212	au212		~气
懊		Ø	au	212	au212	白读	~恼：不讲道理
表		p	iau	42	piau42	文读	代~
标		pʰ	iau	33	pʰiau33	文读	~题
飘		pʰ	iau	33	pʰiau33		
瓢		pʰ	iau	33	pʰiau33		
嫖		pʰ	iau	55	pʰiau55		
朴		pʰ	iau	55	pʰiau55		姓
漂		pʰ	iau	212	pʰiau212	文读	
刁		t	iau	33	tiau33		
貂		t	iau	33	tiau33		
雕		t	iau	33	tiau33		
条		t	iau	55	tiau55		
兆		t	iau	35	tiau35		
召		t	iau	35	tiau35		
吊		t	iau	212	tiau212		
掉		t	iau	22	tiau22		
调		t	iau	22	tiau22		声~
□		t	iauʔ	2	tiauʔ2		~䒿：提炼猪油
挑		tʰ	iau	33	tʰiau33	文读	~选
调		tʰ	iau	55	tʰiau55		~查，空~
柱		tʰ	iau	35	tʰiau35		
超		tʰ	iau	212	tʰiau212		
跳		tʰ	iau	212	tʰiau212		
捞		l	iau	55	liau55		~鱼
燎		l	iau	55	liau55		
疗		l	iau	55	liau55		
聊		l	iau	55	liau55		
辽		l	iau	55	liau55		
了		l	iau	42	liau42		
□		l	iau	35	liau35		翻炒
料		l	iau	22	liau22		
廖		l	iau	22	liau22		
焦		ts	iau	33	tsiau33		
朝		ts	iau	33	tsiau33		今~，~鲜
招		ts	iau	33	tsiau33	文读	花~
鸟		ts	iau	42	tsiau42		
雀		ts	iauʔ	2	tsiauʔ2	白读	麻~
缲		tsʰ	iau	33	tsʰiau33		
□		tsʰ	iau	33	tsʰiau33		搅拌使均匀
朝		tsʰ	iau	55	tsʰiau55		~廷
瞧		tsʰ	iau	55	tsʰiau55		
稍		tsʰ	iau	42	tsʰiau42		
悄		tsʰ	iau	42	tsʰiau42		
俏		tsʰ	iau	42	tsʰiau42	文读	俊~
俏		tsʰ	iau	212	tsʰiau212	白读	
消		s	iau	33	siau33		
宵		s	iau	33	siau33		
霄		s	iau	33	siau33		
硝		s	iau	33	siau33		
销		s	iau	33	siau33		
萧		s	iau	33	siau33		
箫		s	iau	33	siau33		
搜		s	iau	33	siau33		
□		s	iau	55	siau55		精液
小		s	iau	42	siau42		
□		s	iau	42	siau42		疯
韶		s	iau	35	siau35		
绍		s	iau	35	siau35		
邵		s	iau	35	siau35		
肖		s	iau	35	siau35		象
数		s	iau	212	siau212		
少		s	iau	212	siau212	文读	~年
饶		dz	iau	55	dziau55		~平：地名
娆		dz	iau	55	dziau55		妖~
爪		dz	iau	42	dziau42		
扰		dz	iau	42	dziau42		
沼		dz	iau	212	dziau212		
诏		dz	iau	212	dziau212		
饶		dz	iau	212	dziau212		~恕
绕		dz	iau	212	dziau212		
骄		k	iau	33	kiau33		
娇		k	iau	33	kiau33		
搅		k	iau	42	kiau42	文读	~乱
矫		k	iau	42	kiau42		
缴		k	iau	42	kiau42		
饺		k	iau	42	kiau42		
撬		k	iau	35	kiau35		
敲		kʰ	iau	33	kʰiau33	文读	~诈
乔		kʰ	iau	55	kʰiau55		
侨		kʰ	iau	55	kʰiau55		
荞		kʰ	iau	55	kʰiau55		
窍		kʰ	iau	212	kʰiau212		
邀		h	iau	33	hiau33		
侥		h	iau	33	hiau33		
姣		h	iau	55	hiau55		女性举止轻佻。《广韵》胡茅切
晓		h	iau	42	hiau42		
枵		Ø	iau	33	iau33		肚子饿
妖		Ø	iau	33	iau33		
要		Ø	iau	33	iau33		~求
幺		Ø	iau	33	iau33		
摇		Ø	iau	55	iau55	文读	招~
谣		Ø	iau	55	iau55		
耀		Ø	iau	35	iau35		
要		Ø	iau	212	iau212		重~
□		Ø	iauʔ	2	iauʔ2		~椅：坐具
埠		p	ou	33	pou33		
夫		p	ou	33	pou33	白读	丈~：男人
补		p	ou	42	pou42		
脯		p	ou	42	pou42		
斧		p	ou	42	pou42		
部		p	ou	35	pou35		
布		p	ou	212	pou212		
傅		p	ou	212	pou212	白读	姓
步		p	ou	22	pou22		
哺		p	ou	22	pou22		咀嚼
铺		pʰ	ou	33	pʰou33		动词
谱		pʰ	ou	42	pʰou42		
普		pʰ	ou	42	pʰou42		
浦		pʰ	ou	42	pʰou42		
脯		pʰ	ou	42	pʰou42		
甫		pʰ	ou	42	pʰou42		
簿		pʰ	ou	35	pʰou35		
铺		pʰ	ou	212	pʰou212		名词
模		b	ou	55	bou55		~具
亩		b	ou	42	bou42		
牡		b	ou	42	bou42		
□		b	ou	42	bou42		妻子
戊		b	ou	22	bou22		
都		t	ou	33	tou33		
屠		t	ou	55	tou55		
图		t	ou	55	tou55	白读	~画
厨		t	ou	55	tou55		
肚		t	ou	42	tou42		指人
肚		t	ou	35	tou35		指动物
杜		t	ou	35	tou35		
斗		t	ou	212	tou212		
度		t	ou	22	tou22		
渡		t	ou	22	tou22		
镀		t	ou	22	tou22		
涂		tʰ	ou	55	tʰou55	白读	土
土		tʰ	ou	42	tʰou42		
吐		tʰ	ou	212	tʰou212		
兔		tʰ	ou	212	tʰou212		
卢		l	ou	55	lou55		
炉		l	ou	55	lou55		
庐		l	ou	55	lou55		
卤		l	ou	42	lou42		~制，转指讨厌
卤		l	ou	35	lou35		用盐腌制咸菜、榄、贝壳类海鲜等
路		l	ou	22	lou22		
露		l	ou	22	lou22		
租		ts	ou	33	tsou33		
邹		ts	ou	33	tsou33		
祖		ts	ou	42	tsou42		
骤		ts	ou	35	tsou35		
粗		tsʰ	ou	33	tsʰou33		
愁		tsʰ	ou	55	tsʰou55		
醋		tsʰ	ou	212	tsʰou212		
凑		tsʰ	ou	212	tsʰou212		
苏		s	ou	33	sou33		
酥		s	ou	33	sou33		
素		s	ou	212	sou212	白读	味道， 味~
姑		k	ou	33	kou33		
孤		k	ou	33	kou33		
枯		k	ou	33	kou33		
糊		k	ou	55	kou55		
古		k	ou	42	kou42		
估		k	ou	42	kou42		
牯		k	ou	42	kou42		
股		k	ou	42	kou42		
鼓		k	ou	42	kou42		
妒		k	ou	212	kou212		
