汉字	拼音	拼音	IPA	注释
懺	tshiam3	tshiam⑤	tsʰiam˨˩˨	
監	kam1	kam①	kam˦˥	
監	kam3	kam⑤	kam˨˩˨	
鑒	kam3	kam⑤	kam˨˩˨	
嵌	khiam5	khiam②	kʰiam˥˥	
巖	ngam5	ngam②	ŋam˥˥	
銜	ham5	ham②	ham˥˥	文
銜	kann5	kann②	kã˥˥	白
艦	lam2	lam③	lam˥˧	
貶	phian2	phian③	pʰiɛn˥˧	
貶	phen2	phen③	pʰɛn˥˧	又，地域差
貶	phin2	phin③	pʰin˥˧	
黏	liam1	liam①	liam˦˥	文
黏	liam5	liam②	liam˥˥	
廉	liam5	liam②	liam˥˥	
鐮	liam5	liam②	liam˥˥	
簾	liam5	liam②	liam˥˥	
斂	liam2	liam③	liam˥˧	
尖	tsiam1	tsiam①	tsiam˦˥	
殲	tshiam1	tshiam①	tsʰiam˦˥	
籤	tshiam1	tshiam①	tsʰiam˦˥	
簽	tshiam1	tshiam①	tsʰiam˦˥	
潛	tshiam5	tshiam②	tsʰiam˥˥	
漸	tsiam6	tsiam④	tsiam˨˥	
暹	siam5	siam②	siam˥˥	
纖	tshiam1	tshiam①	tsʰiam˦˥	
沾	liam1	liam①	liam˦˥	俗
沾	tiam1	tiam①	tiam˦˥	
粘	liam1	liam①	liam˦˥	
瞻	tsiam1	tsiam①	tsiam˦˥	
占	tsiam1	tsiam①	tsiam˦˥	
占	tsiam3	tsiam⑤	tsiam˨˩˨	
陝	siam2	siam③	siam˥˧	
閃	siam2	siam③	siam˥˧	
贍	tsiam1	tsiam①	tsiam˦˥	
染	jiam2	jiam③	dziam˥˧	文
染	ni2	ni③	nĩ˥˧	白
冉	jiam2	jiam③	dziam˥˧	
檢	kiam2	kiam③	kiam˥˧	
臉	liam2	liam③	liam˥˧	文
臉	lian2	lian③	liɛn˥˧	口語
臉	len2	len③	lɛn˥˧	又，地域差
鉗	khiam5	khiam②	kʰiam˥˥	文
鉗	kinn5	kinn②	kĩ˥˥	白，鉄~
鉗	khinn5	khinn②	kʰĩ˥˥	白，火~
儉	khiam6	khiam④	kʰiam˨˥	
驗	ngiam7	ngiam⑥	ŋiam˨˨	
險	hiam2	hiam③	hiam˥˧	
淹	iam1	iam①	iam˦˥	
淹	im1	im①	im˦˥	口語
腌	iam1	iam①	iam˦˥	
閹	iam1	iam①	iam˦˥	
掩	iam1	iam①	iam˦˥	俗
掩	iam5	iam②	iam˥˧	
厭	iam3	iam⑤	iam˨˩˨	
炎	iam6	iam④	iam˨˥	
炎	iam7	iam⑥	iam˨˨	
鹽	iam5	iam②	iam˥˥	
閻	ngiam5	ngiam②	ŋiam˥˥	
檐	iam5	iam②	iam˥˥	文
檐	tsinn5	tsinn②	tsĩ˥˥	白
艷	iam7	iam⑥	iam˨˨	
焰	iam7	iam⑥	iam˨˨	
劍	kiam3	kiam⑤	kiam˨˩˨	
欠	khiam3	khiam⑤	kʰiam˨˩˨	
嚴	ngiam5	ngiam②	ŋiam˥˥	
掂	tiam1	tiam①	tiam˦˥	
點	tiam2	tiam③	tiam˥˧	
墊	tian6	tian④	tiɛn˨˥	
墊	ten6	ten④	tɛn˨˥	又，地域差
店	tiam3	tiam⑤	tiam˨˩˨	
添	thiam1	thiam①	tʰiam˦˥	文
添	thinn1	thinn①	tʰĩ˦˥	白
忝	thiam2	thiam③	tʰiam˥˧	
舔	thiam2	thiam③	tʰiam˥˧	
甜	tiam5	tiam②	tiam˥˥	
拈	liam1	liam①	liam˦˥	文
拈	ni1	ni①	nĩ˦˥	白
鮎	liam5	liam②	liam˥˥	
念	liam6	liam④	liam˨˥	
唸	liam7	liam⑥	liam˨˨	
僭	tshiam3	tshiam⑤	tsʰiam˨˩˨	
蒹	kiam1	kiam①	kiam˦˥	
謙	khiam1	khiam①	kʰiam˦˥	
歉	khiam2	khiam③	kʰiam˥˧	
嫌	hiam5	hiam②	hiam˥˥	
泛	huam3	huam⑤	huam˨˩˨	
泛	phann3	phann⑤	pʰã˨˩˨	替，不實
凡	huam5	huam②	huam˥˥	
帆	phang5	phang②	pʰaŋ˥˥	
範	huam6	huam④	huam˨˥	
范	huam6	huam④	huam˨˥	
犯	huam6	huam④	huam˨˥	
梵	huam5	huam②	huam˥˥	
答	tap4	tap⑦	tap˧˨	
搭	tap4	tap⑦	tap˧˨	文
搭	tah4	tah⑦	taʔ˧˨	白
踏	tah8	tah⑧	taʔ˥˦	
納	nap8	nap⑧	nap˥˦	
拉	la1	la①	la˦˥	俗
拉	lap4	lap⑦	lap˧˨	
雜	tsap8	tsap⑧	tsap˥˦	
蛤	kap4	kap⑦	kap˧˨	
蛤	hah4	hah⑦	haʔ˧˨	俗
鴿	kap4	kap⑦	kap˧˨	
哈	hah4	hah⑦	haʔ˧˨	
合	hap8	hap⑧	hap˥˦	文
合	kap4	kap⑦	kap˧˨	文
合	kop8	kop⑧	kop˥˦	替
合	kauh4	kauh⑦	kauʔ˧˨	替，卷
合	hah8	hah⑧	haʔ˥˦	白
合	kah4	kah⑦	kaʔ˧˨	白
合	kah8	kah⑧	kaʔ˥˦	白
盒	ap8	ap⑧	ap˥˦	
榻	thap4	thap⑦	tʰap˧˨	
塔	thah4	thah⑦	tʰaʔ˧˨	
塌	thap8	thap⑧	tʰap˥˦	
塌	thap4	thap⑦	tʰap˧˨	
臘	lah8	lah⑧	laʔ˥˦	
蠟	lah8	lah⑧	laʔ˥˦	
卅	sam1	sam①	sam˦˥	
磕	khap4	khap⑦	kʰap˧˨	
眨	tsap4	tsap⑦	tsap˧˨	
插	tshap4	tshap⑦	tsʰap˧˨	文
插	tshah4	tshah⑦	tsʰaʔ˧˨	白
閘	tsah8	tsah⑧	tsaʔ˥˦	
煠	tsah8	tsah⑧	tsaʔ˥˦	
煠	sah8	sah⑧	saʔ˥˦	
霎	siap4	siap⑦	siap˧˨	
夾	kiap4	kiap⑦	kiap˧˨	文
夾	koih4	koih⑦	koiʔ˧˨	白
夾	ngoih4	ngoih⑦	ŋoiʔ˧˨	白，又
恰	khap4	khap⑦	kʰap˧˨	
狹	hiap8	hiap⑧	hiap˥˦	文
狹	oih8	oih⑧	oiʔ˥˦	白
峽	kiap8	kiap⑧	kiap˥˦	
峽	kiap4	kiap⑦	kiap˧˨	又
洽	tsiap8	tsiap⑧	tsiap˥˦	
甲	kah4	kah⑦	kaʔ˧˨	
匣	ap8	ap⑧	ap˥˦	
鴨	ah4	ah⑦	aʔ˧˨	
押	ap4	ap⑦	ap˧˨	文
押	ah4	ah⑦	aʔ˧˨	白
壓	iap4	iap⑦	iap˧˨	
壓	ap4	ap⑦	ap˧˨	同“押”
聶	niap4	niap⑦	niap˧˨	
鑷	niap4	niap⑦	niap˧˨	
獵	lah8	lah⑧	laʔ˥˦	
接	tsiap4	tsiap⑦	tsiap˧˨	文
接	tsih4	tsih⑦	tsiʔ˧˨	白
妾	tshiap4	tshiap⑦	tsʰiap˧˨	
捷	tsiap8	tsiap⑧	tsiap˥˦	
摺	tsih4	tsih⑦	tsiʔ˧˨	
聶	niap4	niap⑦	niap˧˨	
攝	niap4	niap⑦	niap˧˨	
鑷	niap4	niap⑦	niap˧˨	
涉	siap8	siap⑧	siap˥˦	
靨	iap4	iap⑦	iap˧˨	
葉	iap8	iap⑧	iap˥˦	
葉	hiap8	hiap⑧	hiap˥˦	又
葉	hioh8	hioh⑧	hioʔ˥˦	訓“箬”
葉	hah4	hah⑦	haʔ˧˨	訓
劫	kiap4	kiap⑦	kiap˧˨	
怯	khiak4	khiak⑦	kʰiak˧˨	
業	ngiap8	ngiap⑧	ŋiap˥˦	文
業	giap8	giap⑧	giap˥˦	頻繁
脅	hiap8	hiap⑧	hiap˥˦	
貼	thiap4	thiap⑦	tʰiap˧˨	文
貼	thoih4	thoih⑦	tʰoiʔ˧˨	白
帖	thiap4	thiap⑦	tʰiap˧˨	
疊	tiap8	tiap⑧	tiap˥˦	文
疊	thiap8	thiap⑧	tʰiap˥˦	動詞
疊	thah8	thah⑧	tʰaʔ˥˦	替
牒	tiap8	tiap⑧	tiap˥˦	
蝶	tiap8	tiap⑧	tiap˥˦	
諜	tiap8	tiap⑧	tiap˥˦	
碟	tih8	tih⑧	tiʔ˥˦	
協	hiap8	hiap⑧	hiap˥˦	
俠	hiap8	hiap⑧	hiap˥˦	
挾	hiap8	hiap⑧	hiap˥˦	文
挾	kiap8	kiap⑧	kiap˥˦	文
挾	ngiap8	ngiap⑧	ŋiap˥˦	又
挾	koih8	koih⑧	koiʔ˥˦	白
法	huap4	huap⑦	huap˧˨	
乏	huat8	huat⑧	huat˥˦	
禀	pin2	pin③	pin˥˧	
品	phin2	phin③	pʰin˥˧	
賃	jim6	jim④	dzim˨˥	
林	lim5	lim②	lim˥˥	
林	na5	na②	nã˥˥	
淋	lim5	lim②	lim˥˥	文
淋	lam5	lam②	lam˥˥	白
臨	lim5	lim②	lim˥˥	
凛	lim2	lim③	lim˥˧	
浸	tsim3	tsim⑤	tsim˨˩˨	
侵	tshim5	tshim②	tsʰim˥˥	
寢	tshim2	tshim③	tsʰim˥˧	
沁	sim2	sim③	sim˥˧	俗
心	sim1	sim①	sim˦˥	
尋	tshim5	tshim②	tsʰim˥˥	
尋	siam5	siam②	siam˥˥	白，又，量詞
尋	tshinn5	tshinn②	tsʰĩ˥˥	白，量詞
撏	tsem5	tsem②	tsɛm˥˥	
沉	tim5	tim②	tim˥˥	
沉	thim7	thim⑥	tʰim˨˨	使沉
沈	sim2	sim③	sim˥˧	
沈	tim5	tim②	tim˥˥	
沈	thim7	thim⑥	tʰim˨˨	使沉
朕	tim6	tim④	tim˨˥	
森	som1	som①	som˦˥	
參	som1	som①	som˦˥	
滲	tsham1	tsham①	tsʰam˦˥	俗
滲	siam3	siam⑤	siam˨˩˨	白
針	tsam1	tsam①	tsam˦˥	
斟	tsim1	tsim①	tsim˦˥	
枕	tsim2	tsim③	tsim˥˧	
深	tshim1	tshim①	tsʰim˦˥	
瀋	sim2	sim③	sim˥˧	
審	sim2	sim③	sim˥˧	
嬸	sim2	sim③	sim˥˧	
甚	sim2	sim③	sim˥˧	
甚	sim6	sim④	sim˨˥	又
壬	jim6	jim④	dzim˨˥	
任	jim6	jim④	dzim˨˥	
任	jim7	jim⑥	dzim˨˨	
妊	jim6	jim④	dzim˨˥	
今	kim1	kim①	kim˦˥	
金	kim1	kim①	kim˦˥	
襟	kim1	kim①	kim˦˥	
禁	kim1	kim①	kim˦˥	
錦	kim2	kim③	kim˥˧	
禁	kim3	kim⑤	kim˨˩˨	
欽	khim1	khim①	kʰim˦˥	
琴	khim5	khim②	kʰim˥˥	
禽	khim5	khim②	kʰim˥˥	
擒	khim5	khim②	kʰim˥˥	
妗	kim6	kim④	kim˨˥	
吟	ngim5	ngim②	ŋim˥˥	
音	im1	im①	im˦˥	
陰	im1	im①	im˦˥	
飲	im2	im③	im˥˧	文
飲	am2	am③	am˥˧	白
蔭	im3	im⑤	im˨˩˨	
淫	im5	im②	im˥˥	
立	lip8	lip⑧	lip˥˦	
粒	liap8	liap⑧	liap˥˦	
緝	tship4	tship⑦	tsʰip˧˨	
集	tsip8	tsip⑧	tsip˥˦	
輯	tship4	tship⑦	tsʰip˧˨	
習	sip8	sip⑧	sip˥˦	
襲	sip8	sip⑧	sip˥˦	
蟄	tek8	tek⑧	tɛk˥˦	
澀	siap4	siap⑦	siap˧˨	
汁	tsap4	tsap⑦	tsap˧˨	
執	tsip4	tsip⑦	tsip˧˨	
濕	sip4	sip⑦	sip˧˨	
濕	tsip4	tsip⑦	tsip˧˨	白，浥~
十	tsap8	tsap⑧	tsap˥˦	
什	sim6	sim④	sim˨˥	~麽
什	tsap8	tsap⑧	tsap˥˦	
拾	sip8	sip⑧	sip˥˦	
入	jip8	jip⑧	dzip˥˦	
急	kip4	kip⑦	kip˧˨	
級	khip4	khip⑦	kʰip˧˨	
汲	khip4	khip⑦	kʰip˧˨	
給	kip4	kip⑦	kip˧˨	
泣	khip4	khip⑦	kʰip˧˨	
及	kip8	kip⑧	kip˥˦	
吸	khip4	khip⑦	kʰip˧˨	
吸	hiap4	hiap⑦	hiap˧˨	白
邑	ip4	ip⑦	ip˧˨	
浥	ip4	ip⑦	ip˧˨	
丹	tan1	tan①	tan˦˥	文
丹	tuann1	tuann①	tuã˦˥	白，牡~
旦	tan3	tan⑤	tan˨˩˨	文
旦	tuann3	tuann⑤	tuã˨˩˨	白
灘	thuann1	thuann①	tʰuã˦˥	
攤	thuann1	thuann①	tʰuã˦˥	
攤	nua2	nua③	nuã˥˧	替
攤	nua3	nua⑤	nuã˨˩˨	替
坦	than2	than③	tʰan˥˧	
嘆	than3	than⑤	tʰan˨˩˨	
炭	thuann3	thuann⑤	tʰuã˨˩˨	
檀	than5	than②	tʰan˥˥	
壇	tuann5	tuann②	tuã˥˥	
彈	than5	than②	tʰan˥˥	文
彈	tuann5	tuann②	tuã˥˥	白，~琴
誕	tan3	tan⑤	tan˨˩˨	
但	tan6	tan④	tan˨˥	
彈	tuann7	tuann⑥	tuã˨˨	白
蛋	tan3	tan⑤	tan˨˩˨	
憚	tan6	tan④	tan˨˥	
難	lan5	lan②	lan˥˥	
難	lan7	lan⑥	lan˨˨	
蘭	lan5	lan②	lan˥˥	
蘭	lan1	lan①	lan˦˥	荷~豆
攔	lan5	lan②	lan˥˥	
欄	lan5	lan②	lan˥˥	
懶	lan2	lan③	lan˥˧	文
懶	tuann6	tuann④	tuã˨˥	白
爛	lan6	lan④	lan˨˥	文
爛	nua7	nua⑥	nuã˨˨	白
贊	tsan3	tsan⑤	tsan˨˩˨	
餐	tshan1	tshan①	tsʰan˦˥	
燦	tshan3	tshan⑤	tsʰan˨˩˨	
殘	tshan5	tshan②	tsʰan˥˥	
珊	san1	san①	san˦˥	
散	suann2	suann③	suã˥˧	
傘	suann3	suann⑤	suã˨˩˨	
散	suann3	suann⑤	suã˨˩˨	
肝	kuann1	kuann①	kuã˦˥	
竿	kuann1	kuann①	kuã˦˥	
竿	ko1	ko①	ko˦˥	訓“篙”
干	kan1	kan①	kan˦˥	
乾	khian5	khian②	kʰiɛn˥˥	文
乾	khen5	khen②	kʰɛn˥˥	又，地域差
乾	kan1	kan①	kan˦˥	文
乾	kuann1	kuann①	kuã˦˥	白
桿	han2	han③	han˥˧	俗
桿	kuann1	kuann①	kuã˦˥	
趕	kuann2	kuann③	kuã˥˧	
幹	kan3	kan⑤	kan˨˩˨	
看	khan1	khan①	kʰan˦˥	文
刊	khan5	khan②	kʰan˥˥	
侃	khan2	khan③	kʰan˥˧	
看	khan3	khan⑤	kʰan˨˩˨	文
看	khuann3	khuann⑤	kʰuã˨˩˨	白
看	thoinn2	thoinn③	tʰõi˥˧	訓
岸	ngai6	ngai④	ŋai˨˥	
岸	huann7	huann⑥	huã˨˨	替
鼾	huann5	huann②	huã˥˥	
罕	han2	han③	han˥˧	
焊	han2	han③	han˥˧	
焊	huann7	huann⑥	huã˨˨	
漢	han3	han⑤	han˨˩˨	
寒	han5	han②	han˥˥	文
寒	kuann5	kuann②	kuã˥˥	白
韓	han5	han②	han˥˥	
旱	uann6	uann④	uã˨˥	
垾	huann7	huann⑥	huã˨˨	
捍	han2	han③	han˥˧	
扞	han3	han③	han˥˧	文
扞	huann7	huann⑥	huã˨˨	白
悍	han2	han③	han˥˧	
汗	han2	han③	han˥˧	文
汗	han5	han②	han˥˥	文，可~
汗	kuann7	kuann⑥	kuã˨˨	白
翰	han5	han②	han˥˥	
安	an1	an①	an˦˥	文
安	uann1	uann①	uã˦˥	白
鞍	uann1	uann①	uã˦˥	
按	an3	an⑤	an˨˩˨	
案	uann3	uann⑤	uã˨˩˨	
桉	an3	an⑤	an˨˩˨	
扮	pan3	pan⑤	pan˨˩˨	
盼	phan3	phan⑤	pʰan˨˩˨	
辦	pan7	pan⑥	pan˨˨	文
辦	phuenn7	phuenn⑥	pʰuẽ˨˨	白
綻	teng6	teng④	tɛŋ˨˥	俗
盞	tsuann2	tsuann③	tsuã˥˧	
鏟	tshan2	tshan③	tsʰan˥˧	文
鏟	thuann2	thuann③	tʰuã˥˧	白
山	san1	san①	san˦˥	文
山	suann1	suann①	suã˦˥	白
產	suann2	suann③	suã˥˧	
艱	kan1	kan①	kan˦˥	
間	kan1	kan①	kan˦˥	文
間	koinn1	koinn①	kõi˦˥	白
簡	kan2	kan③	kan˥˧	
襇	koinn2	koinn③	kõi˥˧	
揀	koinn2	koinn③	kõi˥˧	
柬	kan2	kan③	kan˥˧	
間	koinn3	koinn⑤	kõi˨˩˨	白
眼	ngan2	ngan③	ŋan˥˧	文
眼	oinn2	oinn③	õi˥˧	白，龍~
閒	oinn5	oinn②	õi˥˥	
限	han6	han④	han˨˥	
莧	hoinn7	hoinn⑥	hõi˨˨	
班	pan1	pan①	pan˦˥	
斑	pan1	pan①	pan˦˥	文
斑	puenn1	puenn①	puẽ˦˥	白
頒	pan1	pan①	pan˦˥	
板	pan2	pan③	pan˥˧	文
板	puenn2	puenn③	puẽ˥˧	白
版	pan2	pan③	pan˥˧	
坂	pan2	pan③	pan˥˧	文
坂	puann2	puann③	puã˥˧	白，地名
攀	phan1	phan①	pʰan˦˥	
蠻	man5	man②	man˥˥	
慢	muan6	muan④	muan˨˥	文
慢	man7	man⑥	man˨˨	
棧	tsan3	tsan⑤	tsan˨˩˨	
删	san1	san①	san˦˥	
奸	kan1	kan①	kan˦˥	
姦	kan1	kan①	kan˦˥	
諫	kam3	kam⑤	kam˨˩˨	
顏	nguan5	nguan②	ŋuan˥˥	
顏	ngan5	ngan②	ŋan˥˥	
顏	hiann5	hiann②	hiã˥˥	又
雁	ngan6	ngan④	ŋan˨˥	
晏	an3	an⑤	an˨˩˨	文
晏	uann3	uann⑤	uã˨˩˨	白，晚
編	phian1	phian①	pʰiɛn˦˥	
編	phen1	phen①	pʰɛn˦˥	又，地域差
編	pinn1	pinn①	pĩ˦˥	白
鞭	pian1	pian①	piɛn˦˥	
鞭	pen1	pen①	pɛn˦˥	又，地域差
變	pian3	pian⑤	piɛn˨˩˨	文
變	pen3	pen⑤	pɛn˨˩˨	又，地域差
變	pinn3	pinn⑤	pĩ˨˩˨	白
篇	phian1	phian①	pʰiɛn˦˥	
篇	phen1	phen①	pʰɛn˦˥	又，地域差
偏	phian1	phian①	pʰiɛn˦˥	
偏	phen1	phen①	pʰɛn˦˥	又，地域差
騙	phian3	phian⑤	pʰiɛn˨˩˨	文
騙	phen3	phen⑤	pʰɛn˨˩˨	又，地域差
騙	phin3	phin⑤	pʰin˨˩˨	口語
辨	pian6	pian④	piɛn˨˥	
辨	pen6	pen④	pɛn˨˥	又，地域差
辯	pian6	pian④	piɛn˨˥	
辯	pen6	pen④	pɛn˨˥	又，地域差
便	pian6	pian④	piɛn˨˥	文
便	pen6	pen④	pɛn˨˥	又，地域差
便	pin7	pin⑥	pin˨˨	
便	pan5	pan②	pan˥˥	白，~宜
綿	mian5	mian②	miɛn˥˥	文
綿	men5	men②	mɛn˥˥	又，地域差
綿	mi5	mi②	mĩ˥˥	白
免	mian2	mian③	miɛn˥˧	文
免	men2	men③	mɛn˥˧	又，地域差
免	min2	min③	min˥˧	
勉	mian2	mian③	miɛn˥˧	
勉	men2	men③	mɛn˥˧	又，地域差
娩	mian2	mian③	miɛn˥˧	
娩	men2	men③	mɛn˥˧	又，地域差
緬	mian5	mian②	miɛn˥˥	
緬	men5	men②	mɛn˥˥	又，地域差
緬	mian2	mian③	miɛn˥˧	又
緬	men2	men③	mɛn˥˧	又，地域差
面	min7	min⑥	min˨˨	
碾	tian2	tian③	tiɛn˥˧	俗
碾	ten2	ten③	tɛn˥˧	又，地域差
連	lian5	lian②	liɛn˥˥	
連	len5	len②	lɛn˥˥	又，地域差
聯	lian5	lian②	liɛn˥˥	
聯	len5	len②	lɛn˥˥	又，地域差
聯	lin5	lin②	lin˥˥	
輦	lin2	lin③	lin˥˧	
煎	tsian1	tsian①	tsiɛn˦˥	文
煎	tsen1	tsen①	tsɛn˦˥	又，地域差
煎	tsuann1	tsuann①	tsuã˦˥	白
剪	tsian2	tsian③	tsiɛn˥˧	
剪	tsen2	tsen③	tsɛn˥˧	又，地域差
箭	tsinn3	tsinn⑤	tsĩ˨˩˨	
遷	tshian1	tshian①	tsʰiɛn˦˥	
遷	tshen1	tshen①	tsʰɛn˦˥	又，地域差
淺	tshian2	tshian③	tsʰiɛn˥˧	
淺	tshen2	tshen③	tsʰɛn˥˧	又，地域差
錢	tshian5	tshian②	tsʰiɛn˥˥	文
錢	tshen5	tshen②	tsʰɛn˥˥	又，地域差
錢	tsinn5	tsinn②	tsĩ˥˥	白
踐	tsian2	tsian③	tsiɛn˥˧	
踐	tsen2	tsen③	tsɛn˥˧	又，地域差
賤	tsuann7	tsuann⑥	tsuã˨˨	
仙	sian1	sian①	siɛn˦˥	
仙	sen1	sen①	tsɛn˦˥	又，地域差
鮮	sian1	sian①	siɛn˦˥	文
鮮	sen1	sen①	tsɛn˦˥	又，地域差
鮮	sian2	sian③	siɛn˥˧	文
鮮	sen2	sen③	sɛn˥˧	又，地域差
鮮	tshinn1	tshinn①	tsʰĩ˦˥	白
癬	sian2	sian③	siɛn˥˧	
癬	sen2	sen③	sɛn˥˧	又，地域差
線	suann3	suann⑤	suã˨˩˨	
涎	ian6	ian④	iɛn˨˥	俗
涎	en6	en④	ɛn˨˥	又，地域差
涎	tsuann5	tsuann②	tsuã˥˥	替
羨	ian6	ian④	iɛn˨˥	
羨	en6	en④	ɛn˨˥	又，地域差
展	tian2	tian③	tiɛn˥˧	
展	ten2	ten③	tɛn˥˧	又，地域差
纏	tinn5	tinn②	tĩ˥˥	
戰	tsian3	tsian⑤	tsiɛn˨˩˨	
戰	tsen3	tsen⑤	tsɛn˨˩˨	又，地域差
顫	tsian3	tsian⑤	tsiɛn˨˩˨	
顫	tsen3	tsen⑤	tsɛn˨˩˨	又，地域差
扇	sian3	sian⑤	siɛn˨˩˨	文
扇	sen3	sen⑤	tsɛn˨˩˨	又，地域差
扇	sinn3	sinn⑤	sĩ˨˩˨	白
蟬	sian5	sian②	siɛn˥˥	
蟬	sen5	sen②	sɛn˥˥	又，地域差
蟬	siam5	siam②	siam˥˥	又
禪	sian5	sian②	siɛn˥˥	
禪	sen5	sen②	sɛn˥˥	又，地域差
善	sian6	sian④	siɛn˨˥	
善	sen6	sen④	sɛn˨˥	又，地域差
膳	sian6	sian④	siɛn˨˥	
善	sen6	sen④	sɛn˨˥	又，地域差
擅	sian6	sian④	siɛn˨˥	
擅	sen6	sen④	sɛn˨˥	又，地域差
單	sian6	sian④	siɛn˨˥	
單	sen6	sen④	sɛn˨˥	又，地域差
單	sian5	sian②	siɛn˥˥	~于
單	sen5	sen②	sɛn˥˥	又，地域差
單	tuann1	tuann①	tuã˦˥	
禪	sian6	sian④	siɛn˨˥	
禪	sen6	sen④	sɛn˨˥	又，地域差
然	jian5	jian②	dziɛn˥˥	
然	jen5	jen②	dzɛn˥˥	又，地域差
燃	jian5	jian②	dziɛn˥˥	文
燃	jen5	jen②	dzɛn˥˥	又，地域差
燃	hiann5	hiann②	hiã˥˥	白
遣	khian2	khian③	kʰiɛn˥˧	
遣	khen2	khen③	kʰɛn˥˧	又，地域差
虔	khian1	khian①	kʰiɛn˦˥	
虔	khen1	khen①	kʰɛn˦˥	又，地域差
囝	kiann2	kiann③	kiã˥˧	
件	kiann6	kiann④	kiã˨˥	
諺	ngan6	ngan④	ŋan˨˥	
焉	ian1	ian①	iɛn˦˥	
焉	en1	en①	ɛn˦˥	又，地域差
延	ian6	ian④	iɛn˨˥	
延	en6	en④	ɛn˨˥	又，地域差
演	in5	in②	in˥˥	
建	kian6	kian④	kiɛn˨˥	
建	ken6	ken④	kɛn˨˥	又，地域差
建	kian3	kian⑤	kiɛn˨˩˨	福~
建	ken3	ken⑤	kɛn˨˩˨	又，地域差
鍵	kian6	kian④	kiɛn˨˥	
鍵	ken6	ken④	kɛn˨˥	又，地域差
健	kian6	kian④	kiɛn˨˥	文
健	ken6	ken④	kɛn˨˥	又，地域差
健	kiann7	kiann⑥	kiã˨˨	白
腱	kian6	kian④	kiɛn˨˥	
腱	ken6	ken④	kɛn˨˥	又，地域差
言	ngan5	ngan②	ŋan˥˥	
軒	hurn1	hurn①	hɯn˦˥	
掀	hurn1	hurn①	hɯn˦˥	
掀	hian1	hian①	hiɛn˦˥	
掀	hen1	hen①	hɛn˦˥	又，地域差
憲	hian3	hian⑤	hiɛn˨˩˨	
憲	hen3	hen⑤	hɛn˨˩˨	又，地域差
獻	hian3	hian⑤	hiɛn˨˩˨	
獻	hen3	hen⑤	hɛn˨˩˨	又，地域差
蔫	ian1	ian①	iɛn˦˥	
蔫	en1	en①	ɛn˦˥	又，地域差
堰	iam1	iam①	iam˦˥	俗
邊	pian1	pian①	piɛn˦˥	文
邊	pen1	pen①	pɛn˦˥	又，地域差
邊	pinn1	pinn①	pĩ˦˥	白
蝙	phian1	phian①	pʰiɛn˦˥	
蝙	phen1	phen①	pʰɛn˦˥	又，地域差
蝙	pian2	pian③	piɛn˥˧	又
蝙	pen2	pen③	pɛn˥˧	又，地域差
扁	pian2	pian③	piɛn˥˧	文
扁	pen2	pen③	pɛn˥˧	又，地域差
扁	pinn2	pinn③	pĩ˥˧	白
匾	pin2	pin③	pin˥˧	
遍	pian3	pian⑤	piɛn˨˩˨	文
遍	pen3	pen⑤	pɛn˨˩˨	又，地域差
遍	phian3	phian⑤	pʰiɛn˨˩˨	文，又，普~
遍	phen3	phen⑤	pʰɛn˨˩˨	又，地域差
遍	pin3	pin⑤	pin˨˩˨	
片	phian3	phian⑤	pʰiɛn˨˩˨	文
片	phen3	phen⑤	pʰɛn˨˩˨	又，地域差
片	phinn3	phinn⑤	pʰĩ˨˩˨	白
辮	pinn6	pinn④	pĩ˨˥	動詞
辮	pinn1	pinn①	pĩ˦˥	名詞
眠	min5	min②	min˥˥	
眠	mng5	mng②	mŋ˥˥	~起，早上
麵	mi7	mi⑥	mĩ˨˨	
顛	tian1	tian①	tiɛn˦˥	文
顛	ten1	ten①	tɛn˦˥	又，地域差
顛	tin1	tin①	tin˦˥	~倒
典	tian2	tian③	tiɛn˥˧	
典	ten2	ten③	tɛn˥˧	又，地域差
天	thian1	thian①	tʰiɛn˦˥	文
天	then1	then①	tʰɛn˦˥	又，地域差
天	thinn1	thinn①	tʰĩ˦˥	白
田	thian3	thian⑤	tʰiɛn˥˥	文
田	then3	then⑤	tʰɛn˥˥	又，地域差
田	tshan3	tshan⑤	tsʰan˥˥	訓
填	thian5	thian②	tʰiɛn˥˥	
填	then5	then②	tʰɛn˥˥	又，地域差
填	thin5	thin②	tʰin˥˥	
電	tian6	tian④	tiɛn˨˥	
電	ten6	ten④	tɛn˨˥	又，地域差
殿	tian6	tian④	tiɛn˨˥	文
殿	ten6	ten④	tɛn˨˥	又，地域差
殿	toinn7	toinn⑥	tõi˨˨	白
奠	tian6	tian④	tiɛn˨˥	
奠	ten6	ten④	tɛn˨˥	又，地域差
年	ni5	ni②	nĩ˥˥	
憐	lian5	lian②	liɛn˥˥	
憐	len5	len②	lɛn˥˥	又，地域差
蓮	lian5	lian②	liɛn˥˥	文
蓮	len5	len②	lɛn˥˥	又，地域差
蓮	noi5	noi②	nõi˥˥	白
練	lian7	lian⑥	liɛn˨˨	
練	len7	len⑥	lɛn˨˨	又，地域差
煉	lian7	lian⑥	liɛn˨˨	
煉	len7	len⑥	lɛn˨˨	又，地域差
楝	noi7	noi⑥	nõi˨˨	
箋	tsian1	tsian①	tsiɛn˦˥	
箋	tsen1	tsen①	tsɛn˦˥	又，地域差
薦	tsin3	tsin⑤	tsin˨˩˨	
