#符号说明：-白=文/书*俗?待考	
#调值	[1]³³⁴[2]¹¹²[3]⁵⁵[6]³²⁴[7]⁵[8]¹³
#ɿ	
Ø	[1]因莺鹦婴缨[2]淫寅盈形型刑萤荥茔[3]饮引{~进}映颖

#uᴇɲ	
kʰ	[1]昆{~明，~仑}坤[3]困{~难}
Ø	[2]闻[3]吻刎稳[6]问

#ɔm	
pʰ	[2]蓬
m	[2]蒙
f	[1]丰讽[2]冯逢[6]奉俸
t	[3]董
tʰ	[2]桐童瞳
n	[2]农1{~民}
l	[2]农2{~民}隆[3]陇垄{~断}
ts	[3]综踪纵怂
tsʰ	[2]丛崇
s	[1]嵩[6]讼
k	[1]恭[3]贡汞供{~应}拱巩供{上~}[6]共
kʰ	[3]控恐
x	[2]轰宏鸿虹
Ø	[1]翁

#iɔm	
tɕ	[3]众诵颂
tɕʰ	[2]琼重{~发} 
ɕ	[1]兄
Ø	[2]荣融容熔[3]雍庸拥甬

#əʔ	
p	[7]北不
pʰ	[7]帕迫魄
m	[8]昧末沫没默
f	[7]法发[8]罚伐筏佛
t	[8]突踏{脚~车：自行车}特
tʰ	[7]蜕
n	[8]纳捺
l	[8]入日{~本}诺肋辣
ts	[7]摺蛰执扎{挣~}哲蜇猝则责[8]杂涉侄秩殖植泽宅择
tsʰ	[7]厕察彻撤绰策册
s	[7]些摄湿设室识式饰适释[8]蚀
k	[7]割胳革
kʰ	[7]渴
x	[7]喝郝赫[8]亥骇合{~作}辖核{~对}
Ø	[7]扼

#iəʔ	
p	[7]璧[8]别{区~}弼
pʰ	[7]僻辟
m	[8]觅
t	[7]的{目~}嫡[8]叠谍
tʰ	[8]敌狄
l	[8]列烈劣律率{效~}歷{~来}曆{农~}
tɕ	[7]甲{~乙丙丁}袭级接给揭洁即绩击激[8]捷集{~体}习及{~格}杰截疾极剧{~烈}剧{睦~}席{主~}
tɕʰ	[7]妾缉{通~}辑泣讫乞爵
ȵ	[7]捏[8]聂匿逆
ɕ	[7]薛蝎悉膝衅戌恤息熄媳啬昔寂[8]峡洽胁协夕折
Ø	[7]隘押{~金}压{镇~}乙逸益[8]翼译易{贸~}液腋叶

#uəʔ	
k	[7]括
kʰ	[7]扩
x	[8]滑或惑获
Ø	[8]猾物勿劃{计~}活

#yəʔ	
tɕ	[7]缀厥蕨决
tɕʰ	[7]屈倔
ɕ	[7]说血[8]述術
Ø	[8]悦阅越曰粤域疫役

#ɔʔ	
p	[7]搏驳卜{占~}[8]拔勃薄
pʰ	[7]朴仆{~人}
m	[8]莫穆牧
f	[7]蝠[8]複腹覆2{~原}復{~原}
t	[7]笃督[8]独
l	[8]赂烙酪洛络乐{快~}禄六
ts	[7]捉[8]昨族俗续
tsʰ	[7]促
s	[7]朔速束[8]什{~么}酌
k	[7]角各
kʰ	[7]酷
ŋ	[8]鄂岳
x	[8]忽霍藿

#iɔʔ	
tɕ	[7]卓琢觉{~悟}筑{建~}[8]浊逐轴蜀局{~长}
tɕʰ	[7]拙掘却曲
ȵ	[8]虐疟辱
ɕ	[7]淑畜{~牧}蓄嘱[8]属{军~}
Ø	[7]育[8]若钥乐{音~}
