	注释：白-，文=
tsʰ	[1]昌猖娼菖鲳窗[2]□{照明}[3]闯[5]创倡[6]状撞
s	[1]桑丧双霜[2]床[3]爽[5]丧{～失}
k	[1]甘柑江缸扛刚纲[3]感敢讲港[5]钢
kʰ	[1]堪勘康糠[5]抗坎{田～}囥{藏}
x	[2]行{长～}杭航降{投～}[3]项-{脖子}[5]巷[6]项=笐{～篱：竹竿}
h	[1]汤[2]堂膛棠唐塘搪长-肠-[3]盪{重洗}[5]烫糖[6]盪=荡
∅	[1]庵□{双掌持物}[3]项-{牛轭}[5]暗
#ioŋ	
p	[1]坊-枋{木条}[5]放-
m	[6]望
t	[1]张[3]长{～官}涨[5]帐胀帐仗{打～}
tʰ	[1]枪鎗[2]墙蔷樯嫱[3]抢痒-[5]呛冲{炫耀}[6]匠
n	[2]娘酿[3]嚷壤仰[6]让攘
l	[2]良粮梁粱凉量{丈～}[3]两辆[6]量{数～}亮谅
ts	[1]将浆章樟獐璋漳[3]奖桨蒋掌[5]将{大～}酱瘴障嶂
tsʰ	[3]厂像[5]唱
s	[1]相箱湘厢襄伤商[2]常裳尝[3]想赏寻{量词}上{～山}响享饷[5]相{无～}向[6]象上{～面}尚□{穿}
k	[1]薑姜供{喂}[3]强{勉～}[5]僵僵缰犟
kʰ	[1]疆腔筐框眶[2]强{～大}[3]强{～硬}[5]□{刘海}[6]共{帮忙、受雇}
h	[2]长=场肠=[3]丈{量}寻-{个寻地}[5]畅[6]丈{～人}杖仗{～势}
∅	[1]央秧怏泱殃鸯[2]羊洋烊阳杨扬疡炀[3]养痒=[5]影-[6]样漾
#uoŋ	
k	[1]光[3]广
kʰ	[1]筐框眶[2]狂[5]况旷矿矿犷
x	[1]方坊=荒芳慌[2]防房黄=簧篁惶凰凡帆[3]纺=访彷妨晃幌㨪[5]放
∅	[1]汪[2]王黄-亡椁[3]枉往[6]望旺
#uŋ	
p	[3]捧[5]泵{打井水}
pʰ	[1]蜂[2]冯蓬篷棚[3]捧纺[5]碰
m	[2]蒙朦漾[3]懵蒙{～面}[6]梦
t	[1]东冬[3]董懂□{拳击}[5]冻栋□{顿脚}
tʰ	[1]忽葱聪[2]丛
n	[2]农浓[5]脓
l	[2]笼垅砻聋=昽[3]拢陇[6]弄
ts	[1]钟盅锤终舂踪[3]总肿种{～子}[5]种{～植}众
tsʰ	[1]冲充衝衷[2]虫=崇[5]铳
s	[3]□{推}[5]聋-
k	[1]工功攻公蚣[3]拱巩[5]贡汞□{不直}
kʰ	[1]空倾{倒掉}[3]孔[5]空{～缺}控
x	[1]风=丰封蜂=峰锋烽烘[3]虹缝=含-红洪鸿[3]哄[5]□{摇动树木}[6]凤奉缝{～隙}
#yuŋ	
p	[1]风-
pʰ	[3]枫-{～源：地名}
t	[1]中=忠[5]中{打～}
tʰ	[2]从松[3]塚
l	[2]龙
s	[1]鬆嵩凶胸[6]讼颂诵
k	[1]弓躬宫供=[3]巩供
kʰ	[2]穷[3]恐[6]共
x	[1]胸[2]熊雄
h	[2]重{～复}[6]重{轻～}
∅	[2]戎绒容溶庸镛荣营-莹[3]勇[5]拥[6]用
