#注释	摘自瓯语音系(沈克诚)，转录者落橙
#声调	[1]⁴⁴[2]³¹[3]⁴⁵[4]³⁴[5]⁴²[6]²²[7]³²³[8]²¹²
#a	
m	[2]摩{1，摩擦}磨{1，磨刀}模{2，模子}么麽蘑広馍摹模{1，模范}谟[4]姥{2，太姥山}[6]磨{2，磨刀石}戊雾{白，发雾}物{白，物事}摩{2，摩崖}
f	[1]夫{1，丈夫}[3]府腑殕[5]付咐赋傅富副
v	[2]符浮{白，尸骸浮起}[4]父妇[6]附驸芙{白，芙蓉}腐{白，腐败}务雾{文，云雾}委婺
t	[1]都多哆[3]堵赌睹肚{白，猪肚}躲[5]妒蠧跺剁
tʰ	[1]拖{文，拖拉机}[3]土吐{1，吐痰}妥椭[5]吐{2，呕吐}兔苑
d	[2]徒{文，徒弟}途涂塗屠荼驮驼鴕佗陀沱砣跎[4]杜肚{文，肚皮}舵堕惰[6]度镀渡镀踱大{文2，大小}
n	[6]懦糯
ʔl	[1]啰
l	[2]蠡{2，河鲜蠡}卢芦炉颅轳鸬庐驴闾榈罗萝逻锣箩骡螺[4]卤鹵{2，盐卤}吕侣旅铝膂屡缕裸瘰[6]路露璐鹭虑滤类摞
ts	[1]租[3]祖
tsʰ	[1]粗[5]醋
s	[1]苏酥稣甦[5]诉塑溯素{白，吃素}
k	[1]哥歌戈锅埚瘑估咕姑菇轱蛄辜孤呱{1，呱呱而泣}菰箍[3]舸果裹馃古诂牯罟股蛊贾{1，商贾}鼓膨瞽[5]过固沽故痼顾雇[7]谷毂
kʰ	[1]苛柯轲疴科棵颗蝌裸窠髁刳[3]坷苦[5]课库裤絝[7]哭酷
h	[1]乎呼[3]火伙夥虎唬琥浒[5]货戽
ɦ	[2]河何{文，任何}荷{1，荷花}菏禾和{1，和平}狐弧壶胡鬍葫湖蝴糊猢瑚[4]荷{2，负荷}祸户沪扈[6]贺和{2，附和}互护[3]斛榭鵠
ʔʋ	[1]阿{1，阿胶}婀窝涡莴倭挝{2，老挝}乌呜钨污[3]坞[5]屙恶{2，可恶}[7]屋
#y	
tɕ	[1]鎸专砖捐娟鹃涓[3]卷{文2，席卷}[5]转啭卷{文1，考卷}眷绢圈{2，猪圈}[7]辍啜茁拙绌孓厥撅藏噘獗决诀抉橘
tɕʰ	[1]痊诠铨川穿{文，贯穿}圈{1，圆圈}[3]喘舛绻犬[5]钏劝券[7]黢出齣阙缺炔阕屈
dʑ	[2]传{1，宣传}椽权拳蜷颧[4]篆[6]传{2，传记}倦[3]怵黜术{1，白术}橛{文，短木桩}鐝倔掘{文，挖掘}崛
ȵ	[2]元原源鼋螈[4]女{文，男女}软院[6]愿[8]月
ɕ	[1]宣欢喧萱煊昏{1，黄昏}婚荤[3]选[5]渲唤涣焕痪奂楦绚巽{白，巽山}[7]雪噱{2，噱头}说戌恤血忽笏唿惚寣
ʑ	[2]全泉漩船[6]旋镟璇[8]绝踅术術{2，手术}述
k	[1]官棺信观{1，观察}冠{1，皇冠}昆{文2，灵昆岛}[3]馆琯管{文，管理}莞{1，东莞}[5]贯灌罐盥观{寺现}冠{2，冠军}[7]骨
kʰ	[3]款[5]睏[7]窟
ʔj	[1]豌剜婉鸳冤渊温{1，温州}瘟[3]碗苑宛婉琬稳[5]惋腕怨[7]哕{哕起，即恶心}曰郁{2，郁郁葱葱}
j	[2]员圆鸢园袁援猿垣辕玄悬桓丸完烷魂[4]兖远缓浣[6]院媛缘县眩[8]阅悦越粤穴核聿鹬域阈役疫
#ʮ	
pʰ	[3]圃浦{2，浦东}普埔
b	[2]菩脯{2，胸脯}蒲{2，菖蒲}匍莆孵{白，孵坊}[4]部簿[6]捕哺
f	[1]夫{2，人名}肤麸俘孵{文，孵化}敷孚稃[3]甫脯{1，果脯}辅俯斧釜抚[5]赴讣[7]不{文，不是}复複復腹蝮馥覆福幅辐蝠
v	[2]扶芙{文，芙蓉}凫无{1，无中生有}芜巫诬毋[4]腐{文，腐□}武侮鹉舞妩负[8]伏服袱茯匐
ts	[1]沮狙疽诸株蛛珠朱硃珠侏鮢{鮢䱕}追椎锥车{文2，车马媳}居{文，居住}拘驹闺硅圭规{1，圆规}龟归{2，当归}[3]咀渚褚拄主嘴举矩枸{1，佝橼}诡轨癸鬼[5]著驻炷注蛀铸缀赘醉{2，酒喝醉爻}据锯踞句桂季悸愧{2，惭愧}贵
tsʰ	[1]趋枢吹炊祛区{1，区别}岖驱躯暌睽窥[3]础{2，磉础}处{1，处理}取娶齲[5]处{2，相处}覷趣去{文，来去}
dz	[2]除储躇厨橱垂捶锤陲槌瘸渠{文，水渠}瞿衢葵達馗夔[4]贮伫柱硅巨拒炬距跪揆[6]署薯{文，马铃薯}曙住縋坠遽具俱惧飓柜櫃馈匮
ȵ	[2]蜈鱼渔娱{1，娱乐}愚禺虞危[4]语圄齬[6]御禦驭遇寓伪
s	[1]梳{白，头梳}书抒舒须鬚需输尿{2，拉尿}虽绥靴虚嘘墟吁{1，气喘吁吁}麾挥{2，指挥}辉晖[3]水暑黍许{文，许多}詡栩毁[5]絮恕庶戍岁税崇邃酗煦卉讳
z	[2]锄{白，板锄}如茹殊儒蠕嚅濡隋随谁[4]序叙绪墅汝聚竖乳蕊[6]树孺瑞遂隧穗
ʔj	[1]淤於逶威葳吁{2，喝止牲口声}[3]委萎痿尉蔚慰伛[5]畏喂餵妪
j	[2]余餘{2，剩餘}舆于盂竽俞逾渝愉榆揄瑜臾谀腴携畦为{1，作为}帷维潍违围帏闱炜[4]予与{1，给予}宇羽雨禹愈唯惟伟苇玮韪[6]与{2，参与}余{1，姓氏}预誉豫芋吁{3，呼吁}喻谕裕卫彗惠慧为{2，为什么}位遗纬胃谓猬
#ai	
p	[1]杯背褙{3，背心}卑碑悲[5]贝狈背{1，背部}辈[7]不{白，不仅}北
pʰ	[1]坯胚呸不[5]沛霈配
b	[2]陪培徘赔装[4]倍蓓[6]佩背{2，背诵}焙
f	[7]芾黻覅弗佛{2，仿佛}拂氟
ʋ	[8]佛{1，佛陀}勿物{文，事物}
t	[1]呆{2，痴呆}堆[5]对碓
tʰ	[1]推[3]腿[5]唾{白，痰唾}退褪煺脱{2，脱裤}蜕
d	[2]颓[6]队兑[8]夺{白，赌抢赌夺}
n	[4]奶{白2，奶奶}馁[6]内
l	[2]脶雷擂蕾镭赢[4]磊儡癗累垒[6]礌泪[8]捋
ts	[5]最{文，某某之最}拽{2，拉扯}惴淬醉{1，陶醉}[7]缉{2，辑合}戢汁执攥窒栉质郅桎蛭卒
tsʰ	[1]崔催摧[3]璀揣[5]啐脆踹翠[7]缉{1，通缉}辑葺撮七柒漆猝
dz	[8]侄秩帙
s	[1]衰[3]小{白，古方言留下的白读}[5]细{白，细娒}碎[7]狮{白，狮子}涩{文羞涩}湿膝瑟虱失室率{1，率领}摔蟀
z	[4]罪[6]锐睿芮睡悴粹萃瘁[3]集习袭十什拾入疾嫉蒺实日{文，日本}
k	[1]瑰规{2，规矩}归{1，回归}皈[5]个会{2，会计}会刽桧脍[7]国帼掴蝈
kʰ	[1]恢盔魁诙奎亏岿[3]傀[5]块愧{2，愧对}喟
ɡ	[6]溃{白，溃疡}
ŋ	[2]巍[6]饿{白，肚饿}魏{文}
hʋ	[1]灰挥{1，挥挥手}徽[3]贿悔虺[5]诲晦荟喙
ɦʋ	[2]桅嵬回迴徊茴蛔[4]汇匯{1，汇款}[6]溃{文，崩溃}会{1，会议}绘烩魏{白}汇彚{2，汇报}
ʔʋ	[3]偎煨[5]秽{淫词秽语}
ʔ	[5]唉{2，唉磊堆碎}
#iai	
tɕ	[7]级急给汲吉桔{2，柑桔}劫诘棘亟戟击激
tɕʰ	[7]泣乞吃{2，口吃}讫迄隙
dʑ	[8]及圾佶掘{白掘井}极剧屐
ȵ	[8]日{白1，生日}屹逆
ɕ	[7]吸歙甩
ʔj	[7]邑挹浥揖一{文，一二三}乙壹溢抑益
j	[8]熠逸佚轶翼弋翌亦译易{1，交易}绎驿弈奕蜴液腋掖檄
#au	
t	[1]兜[3]斗{1，北斗}抖陡蚪[5]斗{2，斗争}
tʰ	[1]偷[3]敨[6]透
d	[2]投[4]逗读{2，句读}窦脰
n	[4]冇[6]耨
l	[2]娄楼偻喽蝼髅[4]搂篓[6]陋漏瘘镂
ts	[1]邹驺[3]走[6]奏揍皱绉
tsʰ	[1]诌[3]掫[5]凑
dz	[6]胄籀骤
s	[1]搜艘馊飕[3]叟嗾擞溲[5]嗽漱瘦
z	[2]愁
k	[1]勾沟钩篝[3]苟狗枸{2，构杞}垢诟[5]构购媾够[7]彀{白，居屋合音}
kʰ	[1]抠眍[3]口[5]叩扣寇
ɡ	[4]厚{白，厚佬}
ŋ	[2]牛[4]偶藕耦
h	[1]佝[3]犼{许屋合音}[5]吼鲎{虹}
ɦ	[2]侯喉猴篌[4]后後厚{文，忠厚}[6]候逅
ʔ	[1]区{2，姓氏}欧鸥讴瓯[3]呕殴[5]沤怄塸{埋葬}
#iau	
tɕ	[1]鸠阄赳[3]九久玖灸韭纠[5]究疚救咎厩
tɕʰ	[1]丘蚯邱[3]搝
dʑ	[2]求球逑裘仇{1，姓氏}虬[4]臼舅桕[6]旧柩
ʔȵ	[1]妞
ȵ	[4]扭纽钮忸[6]狃{若屋合音}
ɕ	[1]休咻[3]朽[5]臭{2，铜臭}嗅
ʔj	[1]优忧悠攸幽[3]黝[5]幼
j	[2]由邮油游蚰猷蝤髹尤犹[4]友有酉诱莠[6]又右佑祐囿宥柚釉
#iəu	
t	[1]丢[7]督笃
tʰ	[7]忒{2，忒不识相}秃
d	[2]徒{白，门徒}头骰[6]豆荳痘[8]独读{1，读书}渎椟犊牍毒
n	[2]奴[4]努弩[6]怒
ʔl	[1]噜溜
l	[2]刘留流琉硫馏榴瘤镠鎏[4]虏鲁掳橹卤鹵{1，南素}柳绺[6]遛[8]鹿漉辘麓六陆
tɕ	[1]揪舟州洲周週賙[3]酒肘帚[5]昼咒[7]竹竺筑祝粥菊鞠掬
tɕʰ	[1]秋鞦湫鳅抽[3]瞅丑醜[5]臭{1，乌焦臭}[7]蹙蹴歐畜{1，牲畜}搐俶曲麯{2，酒曲}
dʑ	[2]囚绸稠惆畴筹踌仇{2，仇恨}雠酬[4]纣[6]宙轴售[8]逐妯
ȵ	[8]肉
ɕ	[1]修羞馐收[3]手首守狩[5]秀绣锈宿{2，星宿}兽[7]肃宿{1，宿舍}夙叔倏畜{2，畜牧}蓄旭勖
ʑ	[2]酋遒稠惆柔揉蹂[4]受綬[6]就袖寿授[8]族淑熟孰塾辱褥缛
ʔj	[7]郁{1，郁闷}燠
j	[8]育昱煜毓鬻
#aŋ	
p	[1]奔贲犇[3]本畚[5]粪{白，粪扫}
pʰ	[1]喷{喷水}[5]喷{2，喷香}
b	[4]苯[6]笨坌
m	[2]门们扪蚊{白，蚊虫}明{白，明朝}[6]闷焖问{白，问问眙}
f	[1]分{1，分开}芬吩纷酚昏{2，昏君}[3]粉[5]奋粪{文，粪坑}
v	[2]坟氛焚汾文纹蚊{文，蚊蝇}雯[4]忿愤吻刎[6]分{2，分格}份问{文，提问}闻紊
t	[1]吨灯登蹬膯[3]趸等凼[5]顿炖{，炖卵糕}凳镫
tʰ	[1]吞{白，慢吞吞}[5]氽瞪{白，眼灵珠瞪起}
d	[2]饨腾誊藤滕疼{白，疼痛}[4]断{白，断气}盾{1，盾牌}沌炖{1，温純汤}[6]段{白，烂树段}邓
n	[2]人{白1，人来客往}[4]恁能暖{白。暖芬芬}
l	[2]仑抡伦沦轮囵纶{1，涤纶}棱[4]卵{1，卵黄}
ts	[1]砧针斟箴津珍蓁榛臻真甄曾{文2，姓氏}增憎筝{2，古筝}[3]枕怎诊疹缜稹[5]浸进晋镇圳振震赈
tsʰ	[1]侵郴琛{1，珍宝}亲{1，亲戚}抻嗔瞋[3]寝[5]沁亲{2，亲家}趁衬龀蹭
dz	[2]沉尘陈臣曾{白，曾经}[4]朕[6]鸩阵
s	[1]心芯参{3，人参}森深琛{2，人名}辛锌新薪莘申伸身呻绅娠僧[3]沈瀋审婶迅哂[5]渗讯汛信囟
z	[2]寻挦荨岑谌忱任{文2，任性}秦神辰晨宸人{文，人民}仁娠层曾{文1，曾经}[4]赁蕈葚甚饪尽儘肾[6]任{文1，姓氏}妊{文，妊妇}衽烬慎蜃刃{1，刀刃}纫仞赠
k	[1]根{2，结根}跟{2，跟从}哏昆{文1，昆种}[3]管{白，毛管}[5]艮亘棍謴
kʰ	昆{白，昆剧}坤[3]垦恳肯啃捆[5]困
h	[1]夯{白，夯实}[3]很狠
ɦ	[2]痕{2，伤痕}恒[6]恨
ʔʋ	[1]温{2，温吞}
ʋ	[2]浑馄[4]混[6]诨
#iaŋ	
tɕ	[1]今金襟巾斤筋茎京荆惊粳经{1，经济}泾[3]锦紧谨景警璟颈[5]禁靳竞敬境镜滰劲径经{2，经线}陉胫迳
tɕʰ	[1]钦衾卿轻氢[5]揿庆磬罄
dʑ	[2]琴禽擒芩噙擒芹勤兢矜擎鲸黥[4]赚{白，賺钞票}近痉[6]妗噤仅馑瑾觐竞
ȵ	[2]宁{1，宁被}拧狞柠咛壬人{白2，新孺人}银鄞垠吟龈凝迎[4]您忍[6]宁{2，宁可}泞任{白，任可}妊{白，妊娠}刃{2，刀刃}认韧
ɕ	[1]散鑫欣忻掀兴{文1，兴盛}馨凶{白}[3]兴{白，作兴}行{文}[5]衅兴{文2，高兴}
ʔj	[1]阴荫{1，树荫}音喑因茵咽{1，咽喉}姻氤殷应{1，应该}鹰膺蝇莺{1，黄莺}樱{1，機桃}鹦{1，鹦鹉}罂{1，罂粟}英瑛蓥婴缨璎[3]饮隐瘾影[5]荫{1，荫德}窨印应{2，答应}映滢
j	[2]淫霪寅盈赢楹瀛刑形型邢[4]引蚓吲颖郅颖[6]胤孕
#əŋ	
p	[1]宾彬斌滨缤濒槟冰兵并{3，并州}[3]禀膑髌丙秉柄炳饼屏{2，屏墙}[5]鬓候摈殡并倂{1，合并}摒
pʰ	[1]乒拼姘[3]品[5]聘娉
b	[2]贫频嫔颦凭平评坪苹枰屏{1，屏幕}瓶萍[4]并並{2，并且}苹[6]病
m	[2]民岷抿泯旻明{文，光明}鸣盟名茗铭冥瞑螟[4]闽闵悯敏皿酩[6]命
t	[1]丁叮钉{1，铁钉}行疔[3]顶鼎[5]订钉{2，钉板箱}
tʰ	[1]厅听{文，听觉}汀町烃[3]挺艇[5]听{白，打听}
d	[2]廷亭庭停蜓婷霆[6]定啶腚碇锭
ʔl	[1]扔拎铃{2，铃铛}
l	[2]林临淋琳霖邻磷鳞粼嶙遴辚麟繗凌陵菱令{2，令尊；3，令狐}伶灵玲铃山{1，电铃}聆羚零龄苓囹泠棂蛉翎[4]凛廪岭领[6]吝躏膦令{1，命令}另
#iəŋ	
tɕ	[1]症癥{2，症结}蒸晶睛精菁旌正{2，正月}征徵怔贞侦帧[3]拯井阱整[5]甑锃证症{1，病症}正{1，真正}政
tɕʰ	[1]称{1，称呼}清蛏青蜻[3]请骋[5]秤称{2，相称}
dʑ	[2]惩澄橙呈程埕[4]逞[6]瞪{文，瞪目结舌}郑
ɕ	[1]升昇陞声星猩腥惺[3]省{2，反省}醒[5]胜性姓圣
ʑ	[2]情晴饧成诚城盛{2，盛}仍繒乘{1，加減乘除}绳塍承丞[4]靖静婧[6]净靓{1，靓妆}盛{1，兴盛}晟乘{2，千乘之国}剩嵊
#oŋ	
p	[1]崩{1，崩溃}嘣{1，打嘣}[5]崩{2，一嘣香烟}蹦嘣{2，内胎打嘣爻}
pʰ	[3]乓[3]捧[5]碰椪
b	[2]朋棚{1，牛棚}鹏硼蓬篷塳[4]埲熢
ʔm	[1]蒙{2，蒙人}
m	[2]蒙山{2，蒙犯}蒙矇{4，目失明}濛{5，小雨貌}檬朦瞢[4]蒙{3，蒙古}懞{6，昏昧无知}懵[6]梦
f	[1]风枫疯沨丰封峰锋蜂烽[5]讽
v	[2]冯逢[4]奉[6]凤缝俸
t	[1]东冬鼕[3]董懂[5]冻栋
tʰ	[1]通嗵[3]捅[5]痛统
d	[2]同桐铜筒童瞳僮潼彤疼{文，疼痛}[4]动桶恸[6]洞侗恫胴
n	[2]农脓侬哝浓{1，浓密}
l	[2]咙胧聋笼茏泷珑砻癃隆窿龙{文，龙头}[4]拢垄{文，垄断}[6]弄
ts	[1]棕鬃宗综踪[3]总[5]粽
tsʰ	匆怱葱聪偬从{2，从容}
s	[1]松鬆{放松}菘嵩忪淞[5]送宋
z	[2]纯淳醇莼鹑丛涼琼戎绒茸[4]冗
k	[1]肱工公功攻恭{2，恭候}蚣红{2，女红}弓{2，新读}宫{2，新读}躬{2，新读}[3]汞巩拱{2，拱桥}[5]贡
kʰ	[1]空{1，空虚}倥崆箜[3]孔[5]空{2，亏空}控
h	[1]薨轰訇哄{1，哄动}烘[3]哄{2，哄编}[5]哄{3，起哄}蕻{2，菜苔}
ɦ	[2]弘泓宏闳竑红{1，红色}虹洪鸿蕻{1，雪里蕻}[6]讧
ʔ	[1]翁嗡滃[5]瓮齆{齆鼻}
#yoŋ	
tɕ	[1]中{1，中国}忠衷盅终[3]卷{白，一卷}遵谆肫均钧军君皲弓{1，弓箭}躬{1，躬身}宫{1，宫殿}准準冏炅迥炯[5]俊骏竣隽中{2，中状元}众
tɕʰ	[1]穿{白，穿针}鬈{白，鬈发}𨛐春椿冲{1，冲锋}忡充冲衝{2，对冲}憧倾囱穹[3]蠢宠顷[5]串铳
dʑ	[2]虫裙群琼穷[4]盾{2，矛盾}菌窘[6]仲郡
ɕ	[1]询峋洵徇舂勋熏薰兄[3]笋隼榫[5]峻浚瞬舜训
ʑ	[2]旬驯巡循徇唇慵[4]吮[6]殉顺闰润
ʔj	[3]氲雍擁[3]蕴恽拥[5]酝熨
j	[2]匀筠云雲耘芸纭荣嵘蝾营茔莹荧萤萦荥熊雄融佣傭{雇佣}庸墉镛蓉溶榕熔[4]允尹殒永咏泳
#ŋ	
ʔ	[5]儿
	[2]儿{1}义{白}俄哦峨娥鹅{文，雁鹅}蛾{文，飞蛾}讹吾吴梧[4]耳{白}我五午伍仵牾[6]儿{3}二贰饿{文，饥饿}嗯卧误悟娱{2，娱乐}迕忤晤寤唔{唔冇}
