来源：	李小芳 2001《临县三交话研究》；木瓜, 灰原哀 整理录入
Ø	［1］啊阿｛～姨｝［3］啊｛～，是这地一回事｝［5］啊｛表叮嘱：回去老记得告诉你妈，～：你可来～！｝
#iɔ	
n	［2］娘=［5］娘｛变调｝酿
l	［2］□｛打，嘴上～他一答｝良凉=量=粮=粱梁=［3］两=俩辆［5］亮=晾=谅量｛数｝靓
ts	［1］将=｛～来｝［3］蒋奖桨［5］将酱匠
tsʰ	［1］枪［2］墙=［3］抢=［5］炝=呛=
s	［1］相=｛～亲｝箱=厢=湘襄镶=［2］详=祥=［3］想=［5］象=像=相=橡
tɕ	［1］江豇=姜=缰=僵=疆［3］讲港-｛地名：张家～｝虹-［5］降犟
tɕʰ	［1］羌腔锵□｛～～地：咳嗽得～-地家还出做甚去嘞？｝［2］强=蔷［3］强=｛～迫｝［5］跄戗
ɕ	［1］香=乡［2］降翔［3］享响=饷飨［5］向项巷=
Ø	［1］央=秧殃泱鸯鞅［2］杨=阳=羊=洋扬疡炀［3］氧养=仰=［5］样=漾=恙怏
#ai	
p	［1］背｛动词｝白｛用于白菜白面，姓，副词｝［3］摆｛又指用肥皂洗过的衣物再用清水洗：再～上：两水｝捭□｛后～，后面，后来｝［5］拜败辈倍□｛学～学，乃就学不会能阿地嘞｝贝背｛脊～：背上｝焙狈钡褙惫蓓稗悖
pʰ	［1］胚坯□｛拼凑｝［2］排牌陪赔裴姓培徘［3］派｛～系、～出所｝丕［5］派配沛佩湃辔
m	［2］埋枚｛量词，只修饰女儿，你有几～女嘞？｝霉｛～子｝梅媒煤玫莓酶霾［3］买每［5］卖迈妹昧寐=魅袂媚
t	［1］呆［3］逮歹傣［5］代贷戴袋｛又～子、～～｝带｛又～子，～～｝大｛用于大夫｝待怠殆岱玳黛迨绐殆
tʰ	［1］胎［2］抬□｛放调料｝台苔薹［3］□｛～气，有福相，有气度｝［5］太汰泰态□｛圪～：因受了凉而打隔｝
n	［3］奶｛用母乳喂养小孩：孩饿哩，快奶孩去｝那｛他她它｝乃馁艿氖［5］耐奈鼐
l	［2］来｛又助词，表示行为动作已经完成或过去的时态：你哪去～？我城里去～｝徕［3］□｛不～，摆｝□｛这～，这些｝［5］赖癩睐籁
ts	［1］灾栽斋［3］□｛丢：～老一百块钱｝宰载崽［5］再在债载寨
tsʰ	［1］□｛当～｝□｛～糕｝猜钗差□｛～～地，打得他～～地｝［2］才财裁材柴豺［3］彩采踩睬□｛胡～；胡子｝［5］菜蔡□｛～～地：扁～～地，稀～～地｝
s	［1］筛腮鳃［2］□｛咧开嘴：～开笑｝［3］□｛摇晃：车上～得脑都疼得一下死嘞｝［5］赛晒塞｛塞外｝
z	［3］□｛因肥胖而走路缓慢：～也～不动｝
k	［1］该｛又理应如此：我～要去嘞，不去我怕谁着嘞？｝□｛语气词：哪里去来～？城里去来～｝给=垓赅［3］改［5］钙盖概溉丐
kʰ	［1］开［3］凯楷铠慨［5］忾
x	［2］鞋嫌=｛不要～这不好吃｝孩骸［3］海醢［5］害解=｛懂，～下嘞｝澥｛～里口砂糖；用蒜泥、盐、芝麻、醋等调制吃饺子、包子的调料：～蘸子去｝□｛玩：不要瞎～水！｝亥骇
ŋ	［1］挨｛～住｝癌哀埃［3］蔼霭矮［5］爱｛艾～草｝碍隘媛暧瑷
Ø	［5］哎唉
#uai	
t	［1］堆｛又圪～｝［3］□｛拉下，积：～下十篇日记哩｝［5］对队对｛又～子，～联：过年买老两副对子｝兑□｛～的这几天假老，我来叫去也｝
tʰ	［1］推｛又山水～得去哩｝［3］腿［5］退褪蜕
n	［5］内
l	［2］雷［5］擂卵
ts	［1］□｛～～地，液体滴下来的样了：泪颗颗跌得～～地家｝［3］最［5］罪拽晬｛过老两个～哩｝晬｛十二岁以下小孩过生日｝
tsʰ	［1］猜催崔揣｛～在怀怀（怀）里｝［2］□｛因穿得多面显得臃肿的样子：穿上这地来来，你就不嫌～ ；又肥胖而肉松的样子｝［3］揣｛摸：～那的手些，不烧么｝璀［5］踹
s	［1］摔衰［3］甩［5］碎□｛睡的睡的就～在下炕去嘞｝帅率蟀
k	［1］乖掴｛～老一个刮子｝□｛石板上～刀，使刀利；又硬物相碰的声音：过去时些，脑在墙崖上～地碰老一下；～～地，用语言顶撞的样子：这孩脾气可坏嘞，寻常和爹的们讲得～～地家｝［3］拐［5］怪夬
kʰ	［1］□｛～～，～子，一尺左右高，口略小的家用陶器｝盔［3］块｛元｝□｛哄骗：不要～乃：劝：～得教乃不嚎吧！｝［5］快□｛语气词：你～不用去哩｝会筷｛～子｝侩哙脍块.
x	［1］灰挥磨辉徽诙恢晖［2］回怀｛又～～，怀：把孩抱在～～里，操心教凉老｝茴槐淮徊洄蛔□｛圪～,身子扭过来扭过去，来回地翻：好好地睡你的觉，圪～过来圪～过去你是做甚嘞｝［3］毁悔［5］会汇坏贿晦诲讳惠秽慧荟绘桧烩彗蕙卉
Ø	［1］歪［2］□｛坐：一屁股就～下哩｝□｛挪动笨重的东西｝□｛钻小孔：～开个眼眼｝［3］□｛哄骗：不要～人家候女子哩｝□｛把细碎的柴火覆盖在小火上，使其缓慢燃烧：～着柴哩｝兀｛远指：你看～是谁来哩？又～老，连词，相当于那么：我们居舍有些事，明不来哩，～老你后老再来｝［5］外恺喂
#ei	
p	［1］碑杯悲卑［5］悖邶
pʰ	［1］潘［5］呸
m	［1］美镁浼［5］妹=媚=寐=魅=
f	［1］飞=非妃啡绯扉霏［2］肥=淝［3］匪榧翡诽悱斐［5］费=废肺□｛身体受到突然刺激感到疼痛而发川的声音：阿哟哟～！｝痱吠狒沸
l	［1］□｛圪～：松鼠｝［2］离厘凉-量-粮-梁-铃-黎犁篱璃梨狸漓骊鹂藜罹□｛圪～：挠别人背：痒｝［3］礼李两-理里鲤岭磊蕾儡耒诔醴锂俚［5］利晾-梨｛变调｝另-丽隶例厉励荔痢吏栗砾莉戾唳俐酹砺蛎莅郦俪亮-｛明～｝
ts	［1］精-贼睛-菁-｛用于蔓～｝［3］挤｛又圪～：挤住，紧靠｝井-虮｛～子｝［5］净-□｛打：～老乃一圪都（扑了他一拳头）｝□｛吃：～你的耍乎来｝济荠剂际祭
tsʰ	［1］青-清-妻凄萋［2］齐-晴-墙-脐［3］抢-［5］炝-砌呛-
s	［1］西镶-相-星-｛又圪～：开始下雨｝腥-箱-［2］饧-｛用萝卜等做的一种粘性甜食品，可吃，可用来做醋｝□｛～上看：凑上看｝［3］洗想-省-［5］相-象细-｛又小气：他可～的多嘞，可总舍不得花钱｝像-婿-
tʂ	［1］张-蒸-这-知蜘正-［3］长-涨-整-［5］置治丈杖-帐账正-涨-滞制智致雉稚痔仗-胀-掷挚栉炙豸窒桎
tʂʰ	［1］称-痴｛又～～瞪瞪反应迟钝｝魑［2］迟长-肠-常-驰池持弛［3］场-厂-耻侈嗤□｛圪～。得意：看把你圪～的｝［5］唱-秤-
ʂ	［1］声-商-伤-升｛计暈单位值｝［2］尝-绳-盛-｛用于～饭｝裳-［3］□｛～～咝咝，故作呻吟状：碰烂一点大的个口口，就～～咝咝，不嫌人家笑话｝［5］上-剩-绱绳-｛变调｝世势誓逝尚-晌-
ɻ	［2］瓤-［3］嚷壤攘
#uei	
l	［2］驴［3］吕铝垒旅缕屡儡累｛～积｝侣履［5］泪类虑累｛连～劳～｝滤
ts	［1］追锥椎［3］嘴=［5］缀醉=赘坠缒惴
tsʰ	［1］吹炊［2］锤捶乖槌陲［5］脆=｛干～｝翠粹瘁悴趣-
s	［1］虽=绥=［2］谁隋随=绥=［3］水髓=［5］岁=睡税遂隧穗=瑞-｛姓名中用｝邃崇说
z	［2］□｛活～～地：粉条泡老老半天，泡得那活～～地家｝［3］蕊［5］芮锐瑞=睿.
k	［1］官-冠-｛别：脑上～老个花花｝主闺规｛～矩｝龟归棺冠瑰皈［3］鬼管-诡轨癸馆晷［5］贵灌桂鳜柜=刿刽跪=
kʰ	［1］宽-亏规｛用于～程，～矩：没拉个～程兀能行啦｝窥岿逵葵魁奎［3］款-｛～～地，轻轻地，小心状｝傀［5］跪-愧喟匮馈溃聩篑
x	［1］欢-｛用于～喜，高兴：那家女的考上大学哩，一家人家可～享哩｝徽［5］换-
Ø	［1］□｛火旺｝剜-危萎豌-逶巍偎煨［2］□｛数：～你的多嘞还，你还要阿地嘞｝围=丸-｛动词｝完-为｛用于作～｝维惟唯违微帏闱圩桅帷［3］碗-委伟苇尾=苇纬玮炜韪伪娓诿萎痿猥［5］为位胃味魏卫喂=畏慰谓猬未威渭尉蔚
#ou	
p	［1］包｛又圪～，包，名词｝刨｛挖掘：～山药｝褒苞煲雹［3］保宝饱堡葆褓鸨［5］报刨抱=暴爆豹｛用～子｝鲍趵曝
pʰ	［1］泡｛圪～｝抛剖［2］刨｛除了，不算：～开路费，还能挣些｝袍胞咆庖炮［3］跑［5］炮泡抛-｛跌，滚，掉：操心把这苹果～老｝
m	［2］毛=茅猫矛锚髦蟊蝥旄［3］卯□｛次：一～、这～｝牡-峁铆［5］冒｛又冒冒然义：我～把那放出去，教人家逮得去老阿地也？｝帽猫貌贸耄茂瑁袤懋
t	［1］刀叨［3］岛倒捣祷导蹈［5］到倒｛～水｝道稻=盗悼
tʰ	［1］掏｛又骑自行车的一个动作，左脚踏在左脚蹬子上，石脚跨过三角车梁踏在右脚蹬上，蹬车而行｝滔韬饕［2］逃陶｛姓｝淘陶萄涛绦啕桃｛～树｝［3］讨［5］套桃｛变调｝稻-
n	［2］脑｛变调，头｝挠铙孬□｛圪～：隐瞒住不说｝［3］□杠脑恼瑙［5］闹｛又把老鼠～死哩｝淖□｛～人：令人不舒服的感觉，这山药～人嘞｝孬
l	［2］捞牢劳唠崂痨［3］老｛～子｝□｛～，一种用具｝佬姥［5］烙涝醪骆痨
ts	［1］遭｛圈：捆老好几～｝槽□｛～～地家：念得～～地家｝［3］早枣找蚤｛圪～：跳蚤｝澡藻［5］躁灶皂造=罩笊就｛你这会家～去嘞阿｝□｛不听话，强：你还要～嘞阿？～得我就不去哩｝
tsʰ	［1］操抄钞糙绰｛～棍子｝［2］曹槽巢褿｛弄脏：看你把新衣裳也～哩｝嘈漕［3］草炒吵剿［5］造-□｛外头耍老一天，～成个泥蛋蛋哩｝糙燥噪
s	［1］梢｛～～、～子｝捎骚臊稍搔缫艄［2］□｛身体收缩，又圪～，义同｝［3］扫嫂｛大～，～～｝［5］□｛令牲口后退声｝扫｛用于～帚｝臊哨□｛告～：聊天｝□｛凉～，凉快｝
z	［1］□｛孩子们缠住大人，要东西或干某事：你是～的要甚嘴？｝
tʂ	［1］招朝昭钊着｛着数｝［3］沼［5］赵照兆召诏肇
tʂʰ	［1］超｛圪～：撅起｝［2］朝潮□｛呆义或呆状：你是～在这里作甚嘞？又老～｝□｛我看我再能～起个故事嘞不？｝晁嘲巢
ʂ	［1］烧｛又有烫义：这水刚从暖壶里倒出来，可～的多嘞｝［2］韶勺-芍苕［3］少晌-｛用于晌～｝尚-｛用于和～｝［5］□｛滚：皮球～在下院去哩｝上｛吆喝狗向前冲的声音｝少绍邵召劭□｛后缀，绵～～地家｝烧｛一火～老个干净｝
ɻ	［2］饶娆［3］扰绕［5］绕
k	［1］高糕膏羔皋睾［3］搞稿缟镐藁杲［5］告□｛仰起头：～起脑看黑板｝郜诰
kʰ	［3］考烤拷［5］靠铐□｛过一会：～会再走吧｝犒
x	［1］萬薅［2］壕毫嚎哭豪号濠蚝［3］好郝=［5］号好浩昊皓镐孝-｛～长：地名；～衫｝
ŋ	［1］熬｛～夜｝［2］熬｛～药；劳累：可熬上哩｝凹敖遨翱聲螯縻［3］袄［5］□｛用力撬开：把罐头～开｝拗□｛圪～：不合适，这把锹好圪～呀｝奧懊坳傲骜鏊澳
Ø	［2］噢｛～嘞：应承做某事：张三，给咱担水去吧！～嘞｝［5］噢｛答应声：张三！～｝
#iou	
p	［1］标镖膘彪飙镳［3］表裱婊［5］鳔
pʰ	［1］飘□｛～地给老他一个耳刮子｝漂剽缥［2］瓢嫖朴=［3］瞟漂｛～白粉｝殍膘［5］瓢｛变调｝漂｛～亮｝骠票
m	［2］苗描喵瞄［3］秒□｛～得个风（听到一个消息），说张三家儿的可多挣老钱哩｝藐渺邈［5］庙妙
t	［1］刁貂雕叼凋碉［5］钓吊掉调｛又～～、～了｝藕
tʰ	［1］挑佻祧［2］条调□｛织毛衣：一冬天～老好几件毛衣｝迢笤［3］挑［5］跳粜眺
n	［1］□｛那样，那样做，那些：～不是个难的，～些好说｝［3］鸟咬｛又有痒义：则背上可～嘞，晓不得教甚咬哩｝袅［5］尿
l	［2］撩□｛缝：～一下裤边边｝辽聊寥燎｛～焦，名词，烧烫起的泡｝疗□｛～～，衣服上的口袋｝僚嘹獠缭□｛不～，惹：不要不～那，操心那替你嚎下。｝［3］了｛事～哩不？｝燎｛动词｝潦｛～草｝［5］料摞瞭｛目送人：把伢姑姑瞭出去｝廖撂镣□｛圪～：形容木板不平整｝
ts	［1］焦蕉椒礁樵［5］□｛～笔｝□｛用拳头蘸水压面团使其变软：把面～—下｝醮瞧
tsʰ	［1］锹悄缲［2］樵瞧憔劁［3］雀［5］俏诮峭鞘
s	［1］消萧｛姓｝箫肖｛姓｝霄宵硝销逍销潇［3］小［5］笑肖
tɕ	［1］交胶浇教｛让：不～你吃｝郊骄娇茭姣蛟□｛～～｝［3］绞搅铰狡矫缴侥佼皎饺［5］教窖轿觉｛醒：等那～老再说｝叫校较酵
tɕʰ	［1］敲□｛迈：～出去就不怕哩｝跷［2］乔桥侨养翘［3］巧［5］翘撬窍壳
ɕ	［1］楞嚣枭骁［2］学｛教：谁学你这地家做来该：学：学会哩不？｝□｛让人从自己位置上起来：～起｝［3］晓筱［5］效校差哮啸孝-
Ø	［1］妖腰邀要么吆约｛～摸｝夭［2］摇窑姚谣瑶遥徭尧肴爻［3］舀香窈［5］要耀鹞曜靿跃
#ʌɯ	
t	［1］ 兜□｛～跟，沾沾自喜的样子｝［3］斗抖｛又骄傲：看兀女子～得多哩｝陡［5］斗｛动词｝豆逗□｛撕：他把我的本子～烂哩｝痘窦□｛比（阴平）～，耳光｝
tʰ	［1］偷［2］头｛又用在年或天前面，表示时间在先的：～两天，～三年又～连，前面｝投［5］透｛又詈语｝
n	［2］奴｛漂亮：这个女子可～嘞｝驽［3］努弩□｛圪～：蝌蚪｝［5］怒
l	［2］卢楼｛把东西聚集｝娄楼炉芦鸬喽蝼垆泸颅庐□｛值～得：值得｝［3］鲁搂｛合抱｝橹虏卤篓掳［5］路漏｛又用火柱（通条）从底下捅火炉：给咱～一下火去｝露赂鹭陋潞璐镂
ts	［1］租邹｛姓｝掫｛端东西｝诌鳅［3］组走祖阻［5］就｛副词｝奏皱绉骤揍
tsʰ	［1］粗抽［2］愁瞅｛从小孔或窄缝中看人或东西｝［3］瞅｛给人以白眼：～我得个甚嘞，又～明，占便宜｝［5］醋凑措
s	［1］苏｛～姓｝酥搜飕馊稣艘嗖□｛～～：把土豆等擦成扁平状的工具｝□｛～～地，不紧不慢地做一些闲事情：一天家～～地家，甚也做不下。｝［2］嫊｛媳妇的合音：～子｝［3］擞｛又特～｝叟薮［5］瘦素诉塑漱嗽愫嗦谡夙
z	［1］□｛拟声词：～地就走哩｝
tʂ	［1］周州洲舟粥□｛～留：把他～问做甚来哩｝［3］时轴［5］□｛拉：往下～—下｝昼宙咒纣籀胄
tʂʰ	［2］稠仇=｛用于报～｝绸｛～子，～～｝筹酬畴踌惆［3］丑［5］臭
ʂ	［1］收［2］仇-｛名词｝［3］手守首［5］受寿兽投售绶狩
ɻ	［2］柔揉蹂糅［3］□｛～麻花｝□｛圪～：肘关节｝［5］肉
k	［1］勾钩沟句｛～践｝篝［3］狗苟［5］够□｛～得嘞：有时间做事情｝构购毂｛往上毂｝
kʰ	［1］抠［3］口［5］扣｛倒：～下饭哩，～在院去｝寇叩蔻
x	［2］侯猴猴□｛小：～东西｝□｛～掐：不要～掐人｝篌喉［3］吼［5］后厚猴｛变调｝候逅
ŋ	［1］欧瓯区讴殴鸥［3］藕□｛焦，糊，饼子～在锅底哩；人坏：兀人可总迟早来～也：有时有开玩笑的意味：看这戏～嘞不,把人家戏打嚎老就不管嘿：事情发展不好：可么～下哩，我把学生证也宰哩（丢了）｝呕殴偶［5］沤□｛呆（埋怨时用），还在这里～甚着嘞｝怄构购
Ø	［3］缶
#iʌɯ	
t	［1］丢
tʰ	［2］提｛～上东西一回走｝
n	［2］牛［3］扭纽忸妞［5］拗
l	［1］□｛圪～：弯｝［2］流刘留瘤｛～子｝榴硫琉溜浏馏蹓［3］柳绺□｛～贼：小偷｝□｛～～地，形容经过的人很多｝［5］溜｛又圪～：圪～上走哩（溜走了）｝六绺遛
ts	［1］揪蹴｛圪～｝［3］酒［5］就｛～上咸菜吃稀饭｝
tsʰ	［1］秋邱｛姓｝蚯湫
s	［1］修羞□｛庄～，即～：即～冷老就往上穿衣裳，庄～教凉老｝［3］□｛～司，顾不上～司乃｝［5］绣锈袖｛～子｝秀宿｛星～｝
tɕ	［1］鸠阉纠究赳［3］九久韭灸［5］救舅旧臼咎柩
tɕʰ	［1］□｛背：～老袋子山药回去哩｝丘□｛斜，放～哩｝近□｛～～地，表示不顺心，不愿意干｝［2］球求仇｛姓｝裘闪泅逑虬哲遒□｛黑～～地：生气或受批评后白知理亏的样子｝［3］□｛～下死等着｝
ɕ	［1］休［3］朽［5］嗅
Ø	［1］优忧悠攸幽［2］邮油游尤由犹莜蛐铀鱿疣莸□｛经～，管理，收拾：把各人的东西经～好｝□｛蹦～～，跳房子｝［3］有友哲莠黝牖［5］又右诱佑柚融釉幼宥囿
#əŋ	
p	［1］绷｛～带｝嘣奔崩贲锛［3］本苯绷［5］笨泵岔蚌绷进蹦-迸-镚奔□｛圪～：咬一些干食物如干馒头等发出的声音｝
pʰ	［1］喷烹抨怦砰嘭澎［2］盆彭□｛伙：我们几家～起买了圪且抽水机｝朋膨篷蓬棚=翅鹏澎［3］捧［5］碰喷
m	［1］焖闷［2］门蒙=扪萌朦盟□｛圪～：稍稍睡一会儿，小睡｝［3］猛懵蠓蒙=［5］闷梦孟=｛姓｝□｛泡在水里｝锰懑焖
f	［1］分风疯蜂封芬纷吩氛枫丰峰锋烽葑［2］坟冯｛姓｝逢缝｛动词｝汾焚［3］粉讽唪［5］缝,类份分奋愤忿凤奉俸
v	［2］文闻□｛～谁咬谁｝纹蚊［3］吻=刎［5］问
t	［1］登灯蹬［3］等戥［5］邓澄瞪凳｛～～，～子｝镫磴
tʰ	［1］吞［2］腾誊疼藤滕［5］□｛圪～，说话不打圪～：为攀高而修的小阶梯（尤指在窖里）｝
n	［2］能□｛～～：让不会说话的幼儿在大人手掌上练习站立｝［5］□｛宁愿：站着也不坐｝
l	［2］棱-｛圪～，梗，土坎｝菱［3］冷=［5］愣
ts	［1］曾增争□｛白：～给老我些本子，～吃老人家一顿饭｝筝峥狰铮□｛脑疼得～～地家｝［5］赠挣缯｛捆：把口口～住｝诤谮甑憎□｛圪～咬一些较干较脆的东西如萝卜等发出的声音｝□｛底～，下面｝
tsʰ	［1］撑瞠噌参［2］秦-层岑｛～姓｝涔曾［3］碜｛又圪～｝□｛顺着物休表面铲：～出去｝［5］蹭衬
s	［1］参僧生=牲笙甥森糁［2］寻［3］省［5］滲
z	［1］□｛哼哼叽叽，不利索：一下也不利气，一天家～嘞｝
tʂ	［1］针真斟珍榛臻贞侦甄箴砧帧蒸征正=｛～月｝［3］整诊疹稹缜轸拯［5］枕镇阵郑正=振震证症政圳朕赈鸩
tʂʰ	［1］称抻郴琛嗔［2］沉陈｛姓｝程成城乘臣尘辰晨谌澄惩橙承丞呈诚忱［3］逞骋［5］趁称□｛值得：～不起去一回｝秤-慎｛用于～重｝
ʂ	［1］深身伸升=申绅娠声=［2］神绳=［3］沈审婶｛～～、～子｝［5］甚肾剩□｛泛指的一个动作：你把东西替我一下～一下｝慎胜盛=圣蜃
ɻ	［2］拧□｛扭，脑一～就走；又圪～，扭｝人任壬仁仍［3］忍荏稔［5］认纫任刃仞韧饪妊
k	［1］跟根耕=更羹庚赓［2］□｛自己，个人的合音｝□｛语气词，表建议：咱～回行吧！｝［3］哽埂梗耿绠鲠［5］更□｛比喻重要的东西，一般指钱｝亘艮
kʰ	［1］坑=吭铿□｛～～地家，形容辛苦或费力｝［3］肯｛坑害：不是我把民家～｝恳垦［5］□｛至：～这里是你的｝
x	［1］哼亨［2］横=痕恒衡蘅［3］很狠［5］恨横=□｛搬：～不动｝
ŋ	［1］恩［2］□｛给你（已知东西）：～么，快些；～的：替我寻过切刀来。～的。｝［5］嗯
#iəŋ	
p	［1］兵□｛逼：～住问｝并｛～太原市的简称｝冰彬宾槟斌缤滨傧濒［3］丙饼=｛用于月～｝屏｛～住气｝禀秉柄炳［5］并病=殡鬓膑摒
pʰ	［2］凭=平=坪=评瓶=贫频屏萍苹颦嫔娉［3］品乒［5］聘拼姘
m	［2］民□｛合：～住嘴｝明名岷鸣铭冥瞑螟盟-｛盟誓｝［3］闽抿悯敏皿闵泯酩［5］命=□｛含东西，使之融化：把糖～的吃老，不要咬的吃｝
t	［1］丁缸叮盯玎［3］顶=鼎酊［5］定=钉=订腚锭
tʰ	［1］听=厅汀［2］亭停庭蜓霆［3］挺铤艇
n	［2］银拧迎□｛追：他～你去哩｝您吟宁凝狞咛［3］□｛那些，～好说，一会就弄完哩｝咛｛～喃｝［5］硬=宁佞泞拧
l	［2］林淋灵零=铃=临邻鳞磷琳霖粼嶙辚麟苓伶翎泠玲瓴聆羚龄棂凌陵菱绫囹拎［3］领=令檩岭=廪懔［5］赁淋吝躏另=令
ts	［1］精=津晶晴=［3］尽井=阱［5］浸进晋尽静靖净=烬
tsʰ	［1］亲晴=蜻侵清=青=［2］情［3］请［5］亲
s	［1］心新锌辛｛姓｝薪芯莘猩惺星腥［3］省｛反～｝醒［5］信｛姓｝□｛把和好的面放-会儿｝囟性
tɕ	［1］今金斤筋衿｛又系：～住口口｝惊经禁襟巾矜菁旌兢茎京荆鲸［3］紧景｛景色：这头的～好｝锦谨仅瑾警颈儆［5］近□｛～不上他哩｝劲靳｛姓｝禁妗境敬竟镜=竞径觐胫
tɕʰ	［1］轻钦卿倾衾氢［2］勤噙琴禽擒芹岑擎黥［3］顷寝［5］□｛你些爹可问来～你也｝庆｛～那升老官哩｝磬沁撳馨
ɕ	［1］欣歆鑫忻昕兴馨□｛～～地，走路时身体上下起伏的样子｝［2］行形型邢｛姓｝刑陉［3］□｛～下一场雪（下了一场雪了）｝□｛～～哈哈，不严肃｝［5］兴｛高兴：看把你～的｝衅杏=幸悻
Ø	［1］阴音鹰因姻殷茵洇莺鹦樱英婴缨膺罌璎嘤瑛［2］匀-赢=蝇=营=盈楹滢萦萤荧茔垠瀛嬴夤淫［3］□｛缝：～被子｝引｛又指娶或嫁：那还没拉～嘞；又抱：那家婆姨（妻子）的～上孩回老娘家哩；带路：先～的那吃饭去｝瘾饮寅隐尹蚓影=颖颍郢［5］饮印映渊□｛人树（或其他植物）根旁长出小树苗｝应=孕胤窨
#uəŋ	
t	［1］东冬□｛在缝纫机上：做衣服｝□｛一种踢毽子的方法｝敦墩蹲［3］董□｛搅动，～水，又圪～｝□｛～乱子｝懂盹［5］顿盾钝吨冻栋动洞囤沌遁饨侗恫□｛～老，做……的时候（将来式）｝
tʰ	［1］通嗵吞［2］同铜屯豚饨臀桐童瞳峒彤僮潼［3］桶捅筒统［5］痛｛又程度副词，很，挺：～好｝恸
n	［2］脓农侬浓哝［5］嫩弄=
l	［2］聋龙轮仑伦沦囵纶笼隆咙珑胧［3］拢陇垄笼［5］弄论
ts	［1］中忠盅钟尊遵棕鬃宗终踪樽谆衷［3］准总肿□｛算：～一个｝种｛～子｝冢踵［5］中种重仲从纵众
tsʰ	［1］村皴春葱冲充聪匆囱舂忡骢［2］虫｛又圪～｝从存唇纯莼醇丛崇重淳鹑淙琮［3］寸蠢忖宠［5］冲
s	［1］孙松狲嵩淞凇飧［2］㞞［3］损怂笋悚吮隼［5］顺送宋舜诵颂讼瞬
z	［2］绒戎茸［3］冗□｛～泽，温柔｝［5］润闰
k	［1］公攻功宫蚣弓躬红｛女红｝龚觥恭供［3］滚｛又烧水：给咱～上两壶水；热：汤还～着嘞，快吃吧｝拱巩汞珙衮磙［5］棍贡共供｛上～｝
kʰ	［1］空昆坤崆箜［3］捆啃孔恐倥［5］困｛感觉疲劳：盯老一天电脑，～得就想睡觉空｝控
x	［1］昏混婚烘荤轰哄薨訇［2］魂红馄洪鸿虹弘泓宏浑黉蕻［3］哄［5］混□｛和义,连词介词｝哄蕻茂盛｛又量词，看那的兀一-～头发｝讧溷诨
Ø	［1］温嗡瘟翁［2］□｛～共，总共：～共三十个，你就要老十个，你还要阿地哩？｝雯［3］稳紊蓊［5］瓮揾齆
#yəŋ	
tɕ	［1］供｛～孩们念大学｝均钧君军宗棕尊遵鬃［3］窘菌迥炯扃［5］俊峻骏竣粽郡
tɕʰ	［2］穷裙｛～子｝茕琼逡群
ɕ	［1］熏凶勋薰胸醺汹兄=｛老兄｝［2］熊雄巡苟询匈浔［3］□｛聚集：～下一窑这是做其嘞｝□｛逼着：又不是我～住教你做的｝［5］训驯逊殉徇迅讯汛
Ø	［1］拥晕雍臃佣庸［2］当云融容蓉熔荣嵘溶榕［3］涌允甬勇殒陨踊蛹恿俑泳咏永［5］运用韵晕熨佣酝愠韫蕴
#aʔ	
p	［7］八剥扒把｛介词｝捌拔｛用于选～｝［8］跋
pʰ	［7］胖｛这女的正痛～啊！｝［8］拔冹｛水凉｝脖｛～子｝
m	［8］□｛用外力使棍状物从与之吻合的另一物中脱出｝□｛捋：～袖了｝么｛什～｝
f	［7］发砝法［8］乏罚伐筏阀
v	［8］袜｛～子｝
t	［7］答搭□｛巴掌过来就给老那两～｝□｛又不识耍，眯咪过来～一爪｝达嗒褡鞑妲笪瘩｛圪～｝
tʰ	［7］拓｛～上写｝沓塔塌溻□｛把热毛巾或冷毛巾敷于皮肤或物体的表面｝□｛套：～在身上试一下｝榻［8］踏蹋逿
n	［8］捺纳钠衲呐娜
l	［7］乐邋［8］蜡辣落腊洛喇络
ts	［7］扎作嘬咂泽责择仄砸眨｛圪～忽～｝
tsʰ	［7］插擦｛又～～，把面粉和七豆丝拌起来，蒸熟而成的-种食物｝礤｛～子：把十豆萝卜等擦成丝的工具｝册察策厕侧测查｛用于检～｝［8］炸｛用油炸：～花生，～油糕｝□｛把门～住｝□｛站起：你～坐着，来我出看他回来哩不｝杂铡
s	［7］杀刹□｛完：戏～哩不？又圪～，包圆：还有点茄了，谁替咱坑～嘞？｝萨索色=｛颜～｝啬煞穑
tʂ	［7］窄摘侧｛～棱｝
tʂʰ	［7］拆□｛把灰渣～出去｝［8］择｛把豆角上的丝去掉：～角角｝宅
ʂ	［7］涩色｛落～｝虱｛～子｝
x	［7］瞎哈［8］盒｛又～～，～子｝匣
#iaʔ	
p	［7］百伯｛又～～｝掰白｛～云山，山名｝柏□｛圪～：纸板｝泊｛用子梁山～｝佰
pʰ	［7］拍｛又～～,用细高梁杆等做成的或方或圆的、可做盖了或用来放东西的工具｝□｛因风吹而受凉：回窑里来，操心教风～老｝魄迫珀［8］白-｛形容词｝柏｛用于柏岭集，地名｝
m	［8］脉灭麦｛～子｝□｛赴～古：突然｝
n	［7］压鸭押
tɕ	［7］夹甲钾隔｛两家就～个墙墙｝□｛从：～哪里走哩｝胛浃荚颊
tɕʰ	［7］掐客｛大～、引～、送～｝恰洽
ɕ	［7］狭岐挟协侠辖黠胁
#uaʔ	
