ʧʰ	蕌	桥侨[翘]（不平正）	巧	翘窍	轿撬
ʃ		娆（雌性求偶表现）	晓		杓（瓠～：水瓢）
0	夭沃幺腰妖	摇窑谣遥尧	舀扰耀跃	要	
#ɿ					
ʦ	资姿兹滋孜（抓刺）		子仔紫		
ʦʰ		词祠瓷磁慈辞雌	此	刺次	字自寺
s	丝司师狮斯撕嘶私思梳（白）蔬（白）疏（白）		史使	赐	士似侍柿事（文，～情）
#ʅ					
ʧ	之芝支枝知腟（女阴）	只织职汁执质掷	止芷址旨指纸	志痣至致齿指趾痔制智置	
ʧʰ	痴雉豸	池迟持秩稚治（屠宰）	耻	试滞眙（呆视貌）	直值治侄
ʃ	诗尸	时失识室湿匙	屎始	世市式试示势施嗜恃	十示（告~）是实食豉蛰（惊~）誓
#i					
p	匕陂卑碑椑稗蜱	笔必秘毕逼滗（煎：~茶）	比嫳臂	闭痹负褙毙	
pʰ	批披被	皮匹辟琵脾癖避霹譬	鄙殕（霉点，霉气）	屁婢	备鼻
m	眯（笑~~）沕（潜水）	迷眉弥秘密蜜	米		
f	飞（文）妃非挥辉徽	拂		肺废	
v	威（白）	围疫役委		[喟]（尖叫）	维胃未味位为
t	里知（白）	粒笠梨狸的（目~）敌驴滴篱	李栗	帝蒂	力（白）利（白）滤（白）溧（霜风使皮肤燥裂）鲤值（~得）
tʰ		提堤题	体		地第弟（徒~）
n	你	日尼呢拟疑宜谊	女尔（这：~个）耳	腻	二贰义议艺
l		离厘璃丽漓（~~滑）	礼吕李（行~）理旅		立利（文）痢荔律虑隶厉历励沥滤（文）
ʦ	挤蛆（拖尾~）跻	即唧积绩集寂窃塞（白）缉辑	姊姐	济祭际渍棲（鸡~）聚醉	
ʦʰ	萋凄妻	七齐脐糍侪膝漆戚	取娶	淬翠（白）趣觑	疾（痛）
s	西须荽需栖（寒~~）	息熄惜习析遂悉媳（养~）	死	四絮	序席绪续（白）
ʧ	基箕机讥饥车归（去～）居拘栀（黄~子）	吉桔击级激汲急	纪（年~）几举矩	记纪（~念）拒距计句季据寄继贵髻笄（鸡公~花）桂（肉～）	
ʧʰ	区倚（站立）崎（陡：山野~）欺	其棋期旗麒岐歧芪奇骑曲（白，弯~）屈衢葵（～叶扇：芭蕉扇）祇	启岂起	气汽具器	及极忌局（白）
ʃ	希稀虚墟牺嘻	吸翕（闷热）熺（一种烹饪法）	喜许起	戏系（关~）气	
0	医依医	一如余（姓）馀揖姨益移儒愚豫胰	雨以语椅乳（豆腐~）依于	亿忆意	芋易浴俞（姓）裕预誉
#u					
p	晡（今~）趺（蹲）妇（~娘）	腹	斧补	布怖埔铺	
pʰ	铺浡（溢出：粥~出来嘞）	仆扶（白）菩符（白）葡蒲覆（倒扣：碗~转来）瓠（番~）	普捕脯甫匐（伏，趴）鯆（淡~）	讣	伏（白）部孵簿𦢊（疙瘩）
m	模（估计）姆（且~）	木目巫模诬	母姆舞（白，~龙灯）	幕墓慕暮	
f	夫父妇户呼敷肤俘	胡湖葫糊幅福护浒忽狐佛壶复符互覆	苦（文）虎府腑	付附副富赴裤傅（姓）赋	户伏（~天）袱服腐傅（师~）
v	乌戊污	屋无物	武污舞（文，跳~）	雾恶务（~必）	务误
t	都	逐[豛]（点，击：~一个窿）□（屁股：屎窟~）涿（淋：~雨）啄（白）	肚赌	妒	
tʰ	肚（鱼~）	突徒途涂图屠	土	吐兔	渡度镀读独毒杜
n		奴努呶	怒（动词，刺激：~人气）	怒（形容词，生气）	
l	黸（皮肤病：猪发~；生锈：锁~撇嘞）芦（~萁）	炉卢如禄撸	鲁	露鹭	路鹿烙录
ʦ	租	足（文）撮	祖阻组		
ʦʰ	粗初	促雏锄鞠	楚呴（呛，刺激）	醋	助族
s	苏酥疏（文）蔬（文）	速肃宿（文）缩	所数（~人：说人不是）	素诉数塑漱	俗续（文）
ʧ	猪诸株朱珠硃诛	竹祝烛粥筑嘱	主煮	注驻蛀著铸	
ʧʰ	柱苎	除杵捶厨储橱	处拄（顿顿~~）	处	住拄
ʃ	书输	叔淑薯	水鼠	竖旭暑署	术树赎熟属
k	枯（茶~）姑孤菰鸪估咕	谷毂（饱满：番豆~）	古估牯鼓股	固故雇顾	
kʰ	枯（树~撇嘞）箍	哭	苦（白）股	库	
#ai					
p		钵拨（白）	摆	拜（~托）	
pʰ		排泼（白）拍（白）		派	败
m		袜抹			末
f		发（文）怀淮槐			坏罚
v	威（严厉，凶：野~）歪	还（文）纹（痕迹：面上有条~）			滑猾
t	呆	笪（谷~）		带戴	
tʰ	趿（只穿鞋的前端走着：~鞋屐子）涤（在水中掠过略洗）拖（白，~鞋）	台苔胎	癞（麻风）	太泰态	大待怠
n		[炙]（煎烤：~豆腐）	奶		奈耐
l	懒（~懈：粗心）	来瘌	睐	癞俫（~字：男孩）	赖辣
ʦ	灾斋[淄]（苦~梗：草药）栽哉	扎匝（连续不断）	宰载（千年万~）	再载债	
ʦʰ	在差搓猜搋（揉：~糈）	擦獭	彩睬（理~）踩（~船灯）	蔡在踩（踏：用脚~）	寨蛰（黄~：蟑螂）钗（金~斛：中药）
s	筛	杀煞萨豺（白）	徙	晒洒赛	
k	皆阶		解（文）个（那：一个）		介芥（～兰菜）界戒届㿍
kʰ	荷（~担）		概慨楷	揩（等待别人做事或出钱）	
ŋ	我	捱桅呆（~板）	[齘]（磨切：~牙窖）	艾	
h	溪懈（懒~）	鞋瞎还（~有）	蟹薤□（回想）		
0	挨	□（~嘈：生气）	矮	隘挨碍	
#ui					
k	归（当～）龟（白）	骨（文）	鬼	贵桂（～花）	
kʰ	亏（文）		跪		柜掘
#əɯ					
m		牟谋	亩某牡		茂
f		浮（文）	否		
t	丢兜蔸	六（白）刘留榴流（清~：地名）	斗抖陡	斗枓（相合：~刀把）	陆录（白）绿
tʰ	偷	头投骰	敨（~气）	透逗	豆逗
n		[稠]	纽扭	狃（不好的：货忒~；脾气~）	
l		楼搂	篓	[诱]（引诱）	漏陋褛（褴褴~~）
ʦ	邹[足]（富裕）	走		奏皱	
ʦʰ		愁	凑（回头取：钱无够，转屋下~滴添）	*凑（添加：~一份）	
s	搜馊	[瘦]（好色）	薮（窝：鸟哩~）	瘦嗽	
ʧ	周州洲		帚肘	咒昼	
ʧʰ	抽	仇绸酬	丑	臭兽	
ʃ	收受		守手首		寿
k	勾钩沟鸠阄苟	[勾]（头低下：头额~倒）	狗	够	
kʰ	抠箍			扣叩寇蔻	
ŋ		牛	偶藕		
h	厚	喉猴侯	口		后候
0	欧瓯（杯子）殴	呃（打~子）	呕塸（掩住：用泥~稳）	沤（久放：~撇哩；腌制：~豆酱）	
#iəɯ					
n		肉狱	扭	扭（摇摆：身子~来~去）	玉
l	溜	流硫瘤琉（~璃）榴	柳	溜	
ʦ		足（白）[趋]（追赶）㾭（紧缩：心里~稳）	酒揪（拧）	湫曲	
ʦʰ	秋				袖就
s	休修羞	宿（白）囚泅粟	飕（风~~哩）*嗅（理睬）	秀绣锈	
ʧ	纠	九久韭		救柩究灸	
ʧʰ	丘舅臼	求球曲（文）菊蓄（白，养牲畜：~猪、狗；生长：头发~长嘞）*掬（量词：一~纸）			旧局（文）
ʃ		朽[嗅]（理会：~都无~人）			
0	有优忧育（文）	由油邮尤鱿犹育（白）辱柔游猷	又友釉	幼诱	右佑柚褥
#aŋ					
p	班斑版搬瘢邦板（~草）扳（~手）		板（文）版粄（米制品）	半绊扮	
pʰ	伴潘藩搒（打：身上尘灰~净来）攀	旁（文）螃蚌（~蛤哩）盘棚（白，冬瓜~）庞彭膨		胖判泛（不结实：~谷）嗙（说谎：讲~）襻（纽~）	办伴（伙~：姘头）甏
m	满	蛮瞒馒鳗忘（未曾）	满	慢㿸（汗垢）	
f	番翻（文）	凡帆矾环烦繁	反	贩	犯范患
v	湾弯	横还（~愿）		挽（挎）	万
t	丹担单		胆	旦[绽]（缝：~被）蛋（捣~）	
tʰ	淡贪探（伸手取物）摊滩	谈痰炎（烧：~鸡毛）潭弹坛檀	坦躺毯	叹炭探（侦~）	蛋倘耽（目~~）
n		男南难		[踮]（提起脚跟站立）[睁]（用力）[疹]（~子）[睁]	难
l	懒澜（口~水）	兰拦栏篮蓝	揽榄		烂滥
ʦ	争（白）簪踭（脚~）		斩崭盏	站赞煎	
ʦʰ	参掺餐	蚕泉（白）残	产铲	撑（~船；支持）杉（~毛藜）伧（顽皮）	赚暂栈站錾惨
s	三山生（白）牲（白）衫		伞省散糁（饭~：饭粒）	散	
ʧ	正（白）整（白，训斥，刁难：家娘~新妇）		整（白，修理：~手表）	正（白，刚刚：~走）	
ʧʰ		呈程	郑	徜（随意走）	
ʃ	声（白）	成城	闪	[憨]（傻）圣（问~）	[尚]（扛~）
k	更（白）间尴庚羹纲刚监		减碱赶敢橄简	降（文）兼（拌和：豆腐~猪肉）干	
kʰ	刊坎勘		*砍（倒下：墙头~下来嘞）		
ŋ	[昂]（碰撞：头额~在桌角上）	岩颜砍	眼颔（~头）	岸	硬雁
h	苋坑鼾	行闲衔咸函桁		喊	限（文）
0	盎罂烟（火~）		偃（倒下）	[燃]（~类草）	
#iaŋ					
p			丙饼	偋（躲藏：~稳）	
pʰ	*饼（扁平块状：薯~）抨（打：~~巴掌）	平（白）坪		偏（白，~头子）	病
m	幎（蒙住）盲（鸡青~）	名明（清~）			命
t	岭领			拈（给一点儿）	
n		迎擎		䁐（看）	擎（竖起：新屋~起来嘞）
ʦ	精（白，妖~；~猪肉；漂亮）		井		
ʦʰ	青（白）清（~明）	晴	请醒	青（气味：菜无曾煮好，会~气）	净（白）
s				性姓	
ʧ	惊獐（黄～：麋鹿）		颈	镜	
ʧʰ	轻	[擎]（~年）		场	儆（慎戒：用玻璃要省~）
ʃ	兄				
0	萤萦（绕：~线）	营赢	影映	映（痕迹：衫上弄到嘞油~）	
#uaŋ					
k	杆竿关		梗（茎：菜~)	贯惯灌罐	[侃]（聋~：耳聋）况管（一~笔）
ŋ		顽（不耐烦：坐久嘞，野~）			
#eŋ					
p	分（~家）兵冰宾崩彬斌		本秉（拿：~屎—揩屁股）禀	并笨粪殡凭畚	
pʰ	拼	平评屏萍瓶凭（~证）盆	品	喷聘	
m	蚊孟（白）	门闽明盟民鸣		问	闷焖敏
f	分（文）吩芬纷荤晕婚昏	魂坟	粉	混	份
v	温瘟	文纹云（白）浑炆（温火久煮）芫魂（～身：身体）	稳		闰润运
t	丁订叮灯钉盯疔登瞪墩鳞（白）	林（白）淋（白）邻（白）临（白）菱（白）轮（白，~到值日）	顶等膦（男阴）	凳顿炖	
tʰ	吞	亭停廷庭澄（白）腾藤	挺	□（参加：~银会）[掂]（~下子有几重）	邓定锭
n	忍	人宁任（姓）能	拧忍	乳	认嫩
l	冷	轮（文）铃灵零临（文）	凛廩	□（光滑：桌面油得野~）拎（背后提起：我经常~起你）	令
ʦ	椹（砧板：~盘）津斟（吻：~嘴）晶侵（刺）曾（姓）精尊遵	□（追问：我再三~过）		进浸增甑	
ʦʰ	亲青（文）清村	存寻层曾秦松（白，～树）	尽净（纯：糯米~无~）	寸衬	静
s	心芯生牲星腥孙辛参森新甥	巡旬惺（目~~）	损隼省	信渗（漏：桶有滴子~）擤（~鼻）	
ʧ	针珍征珍真蒸		准枕震整	正证症圳镇	
ʧʰ	春伸称蛏卿抻	尘成诚沉臣丞陈承群橙	蠢阵	乘秤趁称（~心）	
ʃ	升申深声身兴（~旺）	辰晨神盛（承住）形刑型承（~认）	沈审慎剩	圣训兴胜	顺盛
k	巾斤根跟耕筋		耿鲠梗戆［盖］	更[浭]（冰冷）	
kʰ	近	岑（火～子：烤衣服竹器，圆筒状）	恳垦	限（不宽裕：布剪得忒~）	凝（结冰）
ŋ		银		蔫（软弱：近来身体更~嘞）	
h	亨哼	行痕衡	肯狠（努力：发~）	脝（肿）	杏幸恨
0	恩鹦揞摁			应（白，回答：要~人）	
#ieŋ					
ʧ	今军京均金君荆襟经		紧景锦谨警	劲敬竟政禁境竞	
ʧʰ	菌胗（鸟类的胃：鸡~）	芹裙琴勤禽擒		庆	
ʃ	馨熏欣				
0	因姻（白）阴荫英音	仁匀壬吟寅淫蝇	引饮瘾	印允应（文）饮（饭～：米汤）	盈韵熨任韧
#ueŋ					
k			滚	棍	
kʰ	坤昆		滚捆（束缚：~绑）	困	
#ɔŋ					
p	帮		绑*傍（配菜：食饭~青菜）榜	□（摩擦）	
pʰ		旁（白）	傍（依靠）		
m		亡忙盲茫	莽	懵（头晕）	
f	方坊芳慌荒	防妨房皇	仿访纺恍谎	放（文）	
v		王黄	往枉	汪（姓）晃（摆动：~来~去；摔跤)	旺
t	当	噹（了~：完蛋）	档挡党	当	
tʰ	汤荡（走失：~走）	唐塘糖棠堂		瞠（眼花失误：~网）	烫（~跌）
n	瓤			曩（~是：白白的—~是你一个男子汉）	
l	盪（冲洗）惝（~恍：疏忽）	郎狼掠（打：用棍哩~）廊		晾（晒）朗	浪
ʦ	庄桩赃妆装			壮葬	
ʦʰ	仓疮撞	藏			状撞脏藏
s	双（文）丧霜	床	爽磢（石~：一础石）	爽（朗~：未煮熟的，傻气的）	
ʧ	章樟张装（盛物：~饭）		长涨	仗帐账障幛瘴胀	
ʧʰ	昌娼丈（姨~；姑~）	长场肠	厂闯	唱倡	丈仗杖长（剩下：今晡饭有~）
ʃ	商伤上（～昼）	常尝	赏响绱（~鞋）	尚	上（~头）尚（和~）
k	江扛（端）缸光甘柑岗纲		广讲港敢	虹杠钢降（白）	
kʰ	康龛（神~）	狂	矿圹（墓穴：打~）	抗墈（台阶）	
h	糠	行（纸~）[行]（缝：~棉袄）杭航涵（水～）	吭（寻人）	抗（把东西高举：脚~在凳上）	巷项
0	庵		硽（障碍：鞋腹心里有砂子会~人）	暗	
#iɔŋ					
p	坊（白）枋（柱与柱之间的横板：串~）			放（白）忘（淡~：忘记）	
m		芒	网		
t	两（文，斤~）	凉粮梁量	两（白）		
n	娘			穰（零乱）	让[整]（完整的：~只鸡）
l		良		亮谅量（大量）	
ʦ	浆将		奖桨蒋	将酱蹡蹲（践踏）	
ʦʰ	枪	墙	枪	戧（歪斜）	匠像（好~)
s	相厢箱镶	详翔祥	想	相像（文）	象
ʧ	姜僵			犟僵	
ʧʰ	框腔	强	强		
ʃ	香乡		响	向	
0	央秧泱痒	羊洋阳扬杨炀（熔化）	养	暘（热~哩：微弱阳光）	旺（热闹）漾
#oŋ					
p			捧	嘣（象声词）	
pʰ	碰喷（文，气~~)蜂（白）	朋棚（文）蓬篷			缝（一条~，裂~）
m	*漭（超过）	蒙朦	猛（文）		望梦懵（~懂）
f	丰风枫封峰锋蜂疯（指肌肉痉挛关节炎一类病：脚发~）	红逢缝（裁~）	拱（抖动：睡目会~被）	烘	奉凤哄
v	㨣（摔出细小东西：~沙子）			蕹（~菜）瓮	
t	东冬	龙	董懂	冻崠栋	
tʰ	通动	同茼桐铜筒童	桶统	捅痛	洞
n		农浓脓秾（草木茂盛：岭上个草野~）秾		鬞（头发凌乱：~毛；软软的：~柿哩）	
l	聋笼	垄砻珑隆	拢	窿珑（聪明能干：尔个人野~）	弄
ʦ	宗综棕踪*鬃（端正：~鼻毂眼）		总	综粽怂	
ʦʰ	聪囱窗匆葱	从丛松崇			
s	松双（白）	㞞（不振作，软弱）	㩳（推：~车子）	送宋颂	
ʧ	中忠盅终钟舂撞		种肿撞（顶住）	中（~意）众供（饲养：~猪）种降（生育：~子）	
ʧʰ	充冲重	虫重	宠	铳	共
k	工功攻公恭		拱巩	贡	
kʰ	空（~中）		孔恐	空	
h	轰				
#ioŋ					
ʧ	宫芎（蒜~)		拱（~石桥）	供（饲养，给养）降（生育：~子）	
ʧʰ		穷			
ʃ	凶胸芎（川~）汹撞	熊雄			
0	痛	荣容蓉茸绒熊（人~）榕溶融	勇涌		用
#iŋ					
p	边编鞭		扁匾板（白）贬瓣（黄豆~）	变遍	
pʰ	偏（文）篇辫翻（白，~转来）	便（~宜）	片（半~）偏	片（铜~）骗	便辩辨
m		棉绵	免勉	面（~孔）	麵（切~）
v	冤（白）	圆（白）丸园（白）缘（白）	远（白）悬	怨	县（白）院（白）
t	颠癫	帘（白）鲢联（用针缝）	点典	店电	
tʰ	天添淡（~忘）	田甜填			殿靛垫
n	撵（追赶，往前挤）	年严粘	研捻		念验染
l		连莲怜联涟恋	潋（雨停：雨~嘞）	[电]（闪~）	练炼链殓（入~）
ʦ	尖煎		剪蘸（沾：~酱油）	箭荐（杆～：稻草垫）饯牮（支撑：墙头斜个要~转去）	
ʦʰ	千迁签瞯（探视）	全泉（文）前钱	浅藓	椠（劈：~柴）	贱旋（兜圈子：~来~回）
s	先宣鲜	搴（拔取：~签哩）	选羡	线线（～鸡：阉过的公鸡）	
ʧ	奸间（寝室；正栋间）艰坚肩兼詹沾毡（洋~）皲		捡拣枧展卷	见占战建剑	
ʧʰ	牵圈谦	权虔钳乾拳缠	犬遣䘆	劝欠碾	件俭健[牵]（狗交配：狗扳~）
ʃ	善鳝膳	唇舷（床~）贤嫌蝉禅塍	闪（避开：~行开）险陕显	扇搧（打：~一巴掌）宪献	现善
0	炎焰烟掩（盖住：用灰~稳）腌软	元言沿员铅延原源袁盐阎然缘（文）檐	演衍	厌怨燕筵衍（~间：产妇得房间）	县（文）院（文）
#uŋ					
pʰ					饭
v		完			换
t	端		断（~路）短	断（~定）剸（砍：~柴）塅（台阶：~子）	
tʰ	断（拗~）	团			段缎锻锻（小平原：南~—地名）
n	暖				
l	乱（~继：丝瓜）	鸾	卵	僆（鸡~子：将生蛋而未生蛋的雌鸡）	乱
ʦ	窜（低头穿过：从桌下~过去）		纂（编造的话）	钻	
ʦʰ	闩汆			篡窜（乱~：到处走）	
s	酸			算蒜	
ʧ	专砖		转（~来）	转（滚动）	
ʧʰ	川穿篆	传	喘	串穿（~针）	
ʃ		船			
k	干肝关官棺甘（~蔗）观		管*菅（稻草）	贯惯罐冠	
kʰ	宽		款	况	
h	旱欢*鼾（呵斥：~人）	寒韩		汉焕	汗上焊
#ŋ					
