简	繁	注释	IPA	吴拼
窠	窠		kʰu⁴⁴³	khu1
颗	顆		kʰu⁴⁴³	khu1
课	課		kʰu⁴⁴³	khu1
箍	箍		kʰu⁴⁴³	khu1
枯	枯		kʰu⁴⁴³	khu1
库	庫		kʰu⁴⁴³	khu1
可	可		kʰu³²⁴	khu3
苦	苦		kʰu³²⁴	khu3
裤	褲		kʰu⁵⁵	khu5
绔	絝		kʰu⁵⁵	khu5
蛾	蛾	文读	ŋu²³²	ngu2
鹅	鵝	文读	ŋu²³²	ngu2
我	我	文读	ŋu³²⁴	ngu3
俄	俄	文读	ŋu³¹³	ngu6
饿	餓	文读	ŋu³¹³	ngu6
荷	荷	薄～	hu⁴⁴³	hu1
呼	呼		hu⁴⁴³	hu1
肤	膚		hu⁴⁴³	hu1
火	火		hu³²⁴	hu3
伙	伙		hu³²⁴	hu3
伙	夥		hu³²⁴	hu3
虎	虎		hu³²⁴	hu3
浒	滸		hu³²⁴	hu3
斧	斧		hu³²⁴	hu3
釜	釜		hu³²⁴	hu3
货	貨		hu⁵⁵	hu5
戽	戽		hu⁵⁵	hu5
倭	倭		u⁴⁴³	u1
窝	窩		u⁴⁴³	u1
乌	烏		u⁴⁴³	u1
污	汙		u⁴⁴³	u1
坞	塢		u⁴⁴³	u1
钨	鎢		u⁴⁴³	u1
蛾	蛾	白读	u²³²	u2
鹅	鵝	白读	u²³²	u2
何	何		u²³²	u2
河	河		u²³²	u2
荷	荷		u²³²	u2
禾	禾		u²³²	u2
和	和		u²³²	u2
乎	乎		u²³²	u2
梧	梧		u²³²	u2
吴	吳		u²³²	u2
蜈	蜈		u²³²	u2
壶	壺		u²³²	u2
胡	胡		u²³²	u2
狐	狐		u²³²	u2
湖	湖		u²³²	u2
娱	娛		u²³²	u2
喉	喉	白读，～咙	u²³²	u2
圄	圄		u²³²	u2
我	我	白读	u³²⁴	u3
伍	伍	队～	u³²⁴	u3
屙	屙	粪便	u⁵⁵	u5
五	五	文读，数字	u⁵⁵	u5
伍	伍	大写数字	u⁵⁵	u5
午	午	文读，～时	u⁵⁵	u5
俄	俄	白读	u³¹³	u6
饿	餓	白读	u³¹³	u6
贺	賀		u³¹³	u6
卧	臥		u³¹³	u6
祸	禍		u³¹³	u6
悟	悟		u³¹³	u6
误	誤		u³¹³	u6
户	戶		u³¹³	u6
沪	滬		u³¹³	u6
互	互		u³¹³	u6
护	護		u³¹³	u6
女	女	文读，妇～	ȵy³²⁴	gniu3
语	語		ȵy³²⁴	gniu3
蕊	蕊	白读，～头：花苞	ȵy³²⁴	gniu3
淤	淤		y⁴⁴³	iu1
於	於	～潜：地名	y⁴⁴³	iu1
于	于	姓氏	y⁴⁴³	iu1
鱼	魚		y²³²	iu2
渔	漁		y²³²	iu2
余	餘		y²³²	iu2
与	與		y²³²	iu2
虞	虞	上～：地名	y²³²	iu2
愚	愚		y²³²	iu2
娱	娛	又读	y²³²	iu2
吁	籲		y²³²	iu2
迂	迂		y²³²	iu2
于	於		y²³²	iu2
盂	盂		y²³²	iu2
俞	俞		y²³²	iu2
逾	逾		y²³²	iu2
榆	榆		y²³²	iu2
愉	愉		y²³²	iu2
觎	覦		y²³²	iu2
雨	雨		y³²⁴	iu3
禹	禹		y³²⁴	iu3
宇	宇		y³²⁴	iu3
羽	羽		y³²⁴	iu3
椅	椅		y³²⁴	iu3
御	御		y³¹³	iu6
御	禦		y³¹³	iu6
誉	譽		y³¹³	iu6
预	預		y³¹³	iu6
豫	豫		y³¹³	iu6
