简	繁	注释	IPA	吴拼
聚	聚		dʑy³¹³	jiu6
柱	柱	屋～：柱子	dʑy³¹³	jiu6
住	住		dʑy³¹³	jiu6
俱	俱		dʑy³¹³	jiu6
具	具		dʑy³¹³	jiu6
惧	懼		dʑy³¹³	jiu6
储	儲	～蓄	dʑy³¹³	jiu6
渠	渠	文读，～道	dʑy³¹³	jiu6
女	女	文读	ȵy⁵⁵	gniu3
语	語		ȵy⁵⁵	gniu3
蕊	蕊	～头：花苞	ȵy⁵⁵	gniu3
遇	遇		ȵy³¹³	gniu6
□	□	～子：谜语	ȵy³¹³	gniu6
梳	梳	～头；木～：梳子	ɕy⁵³	shiu1
书	書		ɕy⁵³	shiu1
舒	舒	文读	ɕy⁵³	shiu1
虚	虛	文读	ɕy⁵³	shiu1
墟	墟		ɕy⁵³	shiu1
嘘	噓		ɕy⁵³	shiu1
须	須		ɕy⁵³	shiu1
需	需		ɕy⁵³	shiu1
输	輸		ɕy⁵³	shiu1
暑	暑		ɕy⁵⁵	shiu3
薯	薯	～片	ɕy⁵⁵	shiu3
数	數	动词	ɕy⁵⁵	shiu3
许	許		ɕy⁵⁵	shiu3
如	如	文读	ʑy²²³	zhiu2
儒	儒		ʑy²²³	zhiu2
竖	豎	把倒下的竖起来：～起来；横～：反正	ʑy³¹³	zhiu6
树	樹		ʑy³¹³	zhiu6
乳	乳		ʑy³¹³	zhiu6
於	於	～潜：地名	y⁵³	iu1
鱼	魚		y²²³	yu2
渔	漁	～山：地名	y²²³	yu2
余	余		y²²³	yu2
余	餘		y²²³	yu2
虞	虞		y²²³	yu2
于	于		y²²³	yu2
于	於		y²²³	yu2
盂	盂	痰～	y²²³	yu2
俞	俞		y²²³	yu2
榆	榆		y²²³	yu2
逾	逾		y²²³	yu2
愉	愉		y²²³	yu2
围	圍	～身布襕：围裙	y²²³	yu2
雨	雨		y⁵⁵	iu3
宇	宇		y⁵⁵	iu3
羽	羽		y⁵⁵	iu3
愈	愈		y⁵⁵	iu3
椅	椅		y⁵⁵	iu3
誉	譽	荣～	y³¹³	yu6
预	預		y³¹³	yu6
豫	豫		y³¹³	yu6
寓	寓		y³¹³	yu6
芋	芋	番～；～子：芋艿	y³¹³	yu6
喻	喻		y³¹³	yu6
裕	裕		y³¹³	yu6
乳	乳	腐～	y³¹³	yu6
扳	扳	白读，～头：扳手	pa⁵³	pa1
班	班	白读，一～人	pa⁵³	pa1
摆	擺		pa⁵⁵	pa3
板	板	一块～	pa⁵⁵	pa3
版	版	出～社	pa⁵⁵	pa3
拜	拜		pa³³⁵	pa5
攀	攀	白读，～笋：摘笋	pʰa⁵³	pha1
□	□	～肩胛：肩膀	pʰa⁵⁵	pha3
破	破	东西～；～鱼：杀鱼	pʰa³³⁵	pha5
派	派		pʰa³³⁵	pha5
襻	襻	布扣子	pʰa³³⁵	pha5
□	□	花～：花瓣	pʰa³³⁵	pha5
排	排		ba²²³	ba2
牌	牌		ba²²³	ba2
簰	簰	竹～	ba²²³	ba2
爿	爿	一～店；瓦～：瓦片	ba²²³	ba2
败	敗		ba³¹³	ba6
罢	罷		ba³¹³	ba6
磨	磨	慢移	ma⁵³	ma1
埋	埋		ma²²³	ma2
蛮	蠻	形容野蛮，～u⁵³佬：四肢发达头脑简单的人	ma²²³	ma2
买	買		ma⁵⁵	ma3
晚	晚	白读，～娘：后娘	ma⁵⁵	ma3
卖	賣		ma³¹³	ma6
万	萬	白读，～子：麻将术语	ma³¹³	ma6
慢	慢		ma³¹³	ma6
翻	翻		fa⁵³	fa1
反	反		fa⁵⁵	fa3
返	返		fa⁵⁵	fa3
泛	泛		fa³³⁵	fa5
畈	畈	田～：田	fa³³⁵	fa5
㽹	㽹	恶心想吐	fa³³⁵	fa5
贩	販	～子：小贩	fa³³⁵	fa5
烦	煩	白读	va²²³	va2
犯	犯	～罪	va³¹³	va6
饭	飯		va³¹³	va6
万	萬	声母文读韵母白读，一～块	va³¹³	va6
范	范	姓	va³¹³	va6
单	單		ta⁵³	ta1
耽	耽	白读，～搁	ta⁵³	ta1
担	擔	拿：～过来	ta⁵³	ta1
胆	膽	苦～：胆	ta⁵⁵	ta3
掸	撣	鸡毛～帚	ta⁵⁵	ta3
□	□	n⁵⁵～：那里	ta⁵⁵	ta3
带	帶		ta³³⁵	ta5
戴	戴	～帽	ta³³⁵	ta5
担	擔	挑～子：挑担	ta³³⁵	ta5
躭	躭	～身：怀孕	ta³³⁵	ta5
拖	拖	白读，舌头～出来	tʰa⁵³	tha1
坍	坍	倒塌：～台；衣服往下掉	tʰa⁵³	tha1
滩	灘	溪～：溪流	tʰa⁵³	tha1
摊	攤	摆～	tʰa⁵³	tha1
瘫	癱	～痪	tʰa⁵³	tha1
叹	歎	～气	tʰa⁵³	tha1
坦	坦	白读，舒～：舒服	tʰa⁵⁵	tha3
太	太		tʰa³³⁵	tha5
泰	泰		tʰa³³⁵	tha5
炭	炭		tʰa³³⁵	tha5
碳	碳		tʰa³³⁵	tha5
痰	痰	馋～鼻涕：鼻涕口水等	da²²³	da2
弹	彈	～琴	da²²³	da2
檀	檀	白读，～树	da²²³	da2
大	大	～黄	da³¹³	da6
箉	箉	一种竹制容器	da³¹³	da6
道	道	白读，缝～：缝	da³¹³	da6
埭	埭	量词，用于长条状事物：一～路	da³¹³	da6
淡	淡		da³¹³	da6
绐	紿	送：棕棚～落	da³¹³	da6
拉	拉		la⁵³	la1
攋	攋	划一道，口子较大	la⁵³	la1
蓝	藍		la²²³	la2
篮	籃		la²²³	la2
拦	攔	～牢	la²²³	la2
栏	欄	猪～：猪圈	la²²³	la2
襕	襴	围身布～：围裙	la²²³	la2
懒	懶	～惰	la⁵⁵	la3
哪	哪	～里：哪里，口语也用	la⁵⁵	la3
赖	賴		la³¹³	la6
癞	癩		la³¹³	la6
烂	爛		la³¹³	la6
缆	纜		la³¹³	la6
滥	濫	ʦʰeʔ⁵～涴	la³¹³	la6
拿	拿	推～	na²²³	na2
奶	奶	～水，～瓶	na⁵⁵	na3
艿	艿	芋～	na⁵⁵	na3
劗	劗	剁：～肉饼子	tsa⁵³	tsa1
盏	盞	一～灯	tsa⁵⁵	tsa3
攒	攢	积攒	tsa⁵⁵	tsa3
□	□	略缝：～两针	tsa⁵⁵	tsa3
蘸	蘸		tsa³³⁵	tsa5
灒	灒	溅	tsa³³⁵	tsa5
差	差	出～	tsʰa⁵³	tsha1
钗	釵	文读，薛宝～	tsʰa⁵³	tsha1
蔡	蔡		tsʰa³³⁵	tsha5
绽	綻	白读，谷粒饱满	dza³¹³	dza6
□	□	遮挡	dza³¹³	dza6
三	三		sa⁵³	sa1
杉	杉	～树	sa⁵³	sa1
衫	衫		sa⁵³	sa1
山	山	一只～：一座山	sa⁵³	sa1
散	散		sa⁵⁵	sa3
厦	廈	大～	sa³³⁵	sa5
伞	傘		sa³³⁵	sa5
□	□	怎么这样，可能是“是介”的合音	za³¹³	za6
街	街		ka⁵³	ka1
监	監	白读，牢～：监狱	ka⁵³	ka1
间	間	白读，房～	ka⁵³	ka1
阶	階	白读，～沿：屋檐下	ka⁵³	ka1
减	減	白读，～饭	ka⁵⁵	ka3
碱	堿	石～	ka⁵⁵	ka3
拣	揀	挑选	ka⁵⁵	ka3
裥	襇	打～：起褶皱	ka⁵⁵	ka3
解	解	锯木头；～开：解开矛盾等	ka⁵⁵	ka3
戒	戒		ka³³⁵	ka5
介	介	白读，这么	ka³³⁵	ka5
界	界	世～	ka³³⁵	ka5
芥	芥	～菜	ka³³⁵	ka5
疥	疥	～疮	ka³³⁵	ka5
庎	庎	～橱：碗橱	ka³³⁵	ka5
尬	尬	尴～	ka³³⁵	ka5
揩	揩	擦	kʰa⁵³	kha1
铅	鉛	～笔，～球	kʰa⁵³	kha1
槛	檻	门～	kʰa⁵⁵	kha3
楷	楷	～书	kʰa³³⁵	kha5
嵌	嵌		kʰa³³⁵	kha5
卡	卡	～车	kʰa³³⁵	kha5
舰	艦	兵～：军舰	kʰa³³⁵	kha5
□	□	身体擦蹭：～痒	ga²²³	ga2
何	何	～里：哪里；～事：什么	ga³¹³	ga6
解	解	解开：～鞋带	ga³¹³	ga6
懈	懈	人松懈：～吞吞	ga³¹³	ga6
雁	雁	白读，～鹅：大雁	ga³¹³	ga6
蟹	蟹		ha⁵⁵	ha3
苋	莧	～菜	ha³³⁵	ha5
喊	喊	～一声	ha³³⁵	ha5
挨	挨		a⁵³	a1
鞋	鞋		a²²³	gha2
咸	鹹	～淡	a²²³	gha2
颜	顏	～色	a²²³	gha2
岩	巖	～石岭、黄～：地名	a²²³	gha2
闲	閑		a²²³	gha2
矮	矮		a⁵⁵	a3
眼	眼		a⁵⁵	a3
馅	餡	～子：馅儿	a⁵⁵	a3
陷	陷	白读，泥土较稀容易下陷	a³³⁵	a5
外	外	～头	a³¹³	gha6
捱	捱	拖延：～歇	a³¹³	gha6
限	限	白读，～制；～牢：限制住	a³¹³	gha6
眠	眠	白读，蚕眠：头～，二～；横～竖倒：东倒西歪	mia²²³	mia2
爹	爹		tia⁵³	tia1
颠	顛	白读，～倒	tia⁵³	tia1
癫	癲	疯癫：～子，～狗	tia⁵³	tia1
典	典	白读，～老娘：旧社会短期租借女人代孕	tia⁵⁵	tia3
点	點	白读，～心，～饥	tia⁵⁵	tia3
渧	渧	水下滴	tia³³⁵	tia5
店	店		tia³³⁵	tia5
踮	踮	踮脚	tia³³⁵	tia5
天	天		tʰia⁵³	thia1
添	添	～钞票；吃一碗～：再吃一碗	tʰia⁵³	thia1
舔	舔		tʰia⁵⁵	thia3
掭	掭	火～棒，～灯草	tʰia⁵⁵	thia3
甜	甜		dia²²³	dia2
田	田		dia²²³	dia2
填	填		dia²²³	dia2
簟	簟	ʨʰiã⁵³～：竹簟	dia³¹³	dia6
殿	殿	宫～；拆东～补西～：拆东墙补西墙	dia³¹³	dia6
垫	墊	～钞票：垫钱	dia³¹³	dia6
奠	奠		dia³¹³	dia6
鲢	鰱	白～：鲢鱼	lia⁵⁵	lia3
煉	煉	火一下子燃烧	lia⁵⁵	lia3
楝	楝	～树	lia³¹³	lia6
链	鏈	铰～	lia³¹³	lia6
剪	剪	～刀	tsia⁵⁵	tsia3
借	借	～东西	tsia³³⁵	tsia5
借	借	～口	tsia³³⁵	tsia5
济	濟	白读，～手：左手	tsia³³⁵	tsia5
千	千		tsʰia⁵³	tshia1
笡	笡	斜	tsʰia³³⁵	tshia5
先	先	～头：以前、前面	sia⁵³	sia1
写	寫		sia⁵⁵	sia3
筅	筅	～帚	sia⁵⁵	sia3
卸	卸	～货	sia³³⁵	sia5
泻	瀉		sia³³⁵	sia5
邪	邪		zia²²³	zia2
斜	斜		zia²²³	zia2
前	前	～头	zia²²³	zia2
谢	謝		zia³¹³	zia6
嘉	嘉		tɕia⁵³	cia1
家	家	文读，～具	tɕia⁵³	cia1
贾	賈		tɕia⁵⁵	cia3
假	假	放～，暑～	tɕia³³⁵	cia5
驾	駕		tɕia³³⁵	cia5
稼	稼		tɕia³³⁵	cia5
债	債	欠～	tɕia³³⁵	cia5
搀	攙	搀扶	tɕʰia⁵³	chia1
扯	扯	撕	tɕʰia⁵⁵	chia3
镲	鑔	铙	tɕʰia⁵⁵	chia3
□	□	跨	tɕʰia³³⁵	chia5
茄	茄	～色：紫色	dʑia²²³	jia2
丈	丈	～人，～母	dʑia³¹³	jia6
射	射	排泄	dʑia³¹³	jia6
鲇	鯰	～鳠郎：鲇鱼	ȵia²²³	gnia2
年	年		ȵia²²³	gnia2
惹	惹	～着渠，～毛病	ȵia⁵⁵	gnia3
廿	廿	二十	ȵia³¹³	gnia6
念	唸	～佛	ȵia³¹³	gnia6
酾	釃	～酒：倒酒	ɕia⁵³	shia1
洒	灑	～水	ɕia⁵³	shia1
删	刪		ɕia⁵³	shia1
舍	捨	不吝啬，大手大脚	ɕia⁵⁵	shia3
虾	蝦	文读，～仁	ɕia⁵⁵	shia3
柴	柴		ʑia²²³	zhia2
豺	豺	～狗：豺	ʑia²²³	zhia2
馋	饞	～唾水：唾沫	ʑia²²³	zhia2
耶	耶	～稣	ia⁵³	ia1
烟	煙		ia⁵³	ia1
烟	菸		ia⁵³	ia1
爷	爺		ia²²³	ya2
霞	霞		ia²²³	ya2
崖	崖		ia²²³	ya2
涯	涯		ia²²³	ya2
嫌	嫌	白读，憎～：嫌弃	ia²²³	ya2
野	野		ia⁵⁵	ia3
亚	亞		ia³³⁵	ia5
夜	夜		ia³³⁵	ia5
□	□	发～：有趣，很	ia³³⁵	ia5
雅	雅		ia³¹³	ya6
下	下	文读，～课	ia³¹³	ya6
现	現	白读，～开销	ia³¹³	ya6
官	官	白读，上～：地名	kua⁵³	kua1
棺	棺	～材	kua⁵³	kua1
关	關	～门；东梓～：地名	kua⁵³	kua1
拐	拐		kua⁵⁵	kua3
管	管		kua⁵⁵	kua3
怪	怪		kua³³⁵	kua5
罐	罐	汤～	kua³³⁵	kua5
灌	灌		kua³³⁵	kua5
贯	貫	白读，十五～	kua³³⁵	kua5
惯	慣	习～	kua³³⁵	kua5
鹳	鸛	～山	kua³³⁵	kua5
宽	寬	～紧带	kʰua⁵³	khua1
快	快		kʰua³³⁵	khua5
环	環	～镜	gua²²³	gua2
掼	摜	扔	gua³¹³	gua6
□	□	提手	gua³¹³	gua6
痪	瘓	瘫～	hua³³⁵	hua5
□	□	～头：门环	hua³³⁵	hua5
□	□	摆动、晃荡：～手	hua³³⁵	hua5
鸦	鴉	乌老～：乌鸦	ua⁵³	ua1
歪	歪		ua⁵³	ua1
蛙	蛙	～泳	ua⁵³	ua1
弯	彎		ua⁵³	ua1
湾	灣		ua⁵³	ua1
环	環	～山：地名	ua⁵³	ua1
怀	懷	～窠里：胸口	ua²²³	wa2
槐	槐		ua²²³	wa2
淮	淮		ua²²³	wa2
还	還	～钞票	ua²²³	wa2
碗	碗		ua⁵⁵	ua3
□	□	舀水	ua⁵⁵	ua3
坏	壞		ua³¹³	wa6
换	換		ua³¹³	wa6
缓	緩	～一～再还钞票，气也～弗过来	ua³¹³	wa6
阿	阿	～弥陀佛	o⁵³	o1
□	□	～屄：女阴	o⁵³	o1
巴	巴		puo⁵³	puo1
芭	芭		puo⁵³	puo1
疤	疤		puo⁵³	puo1
䶕	䶕	牙齿外长：牙齿～出	puo⁵³	puo1
把	把	一～伞	puo⁵⁵	puo3
霸	霸		puo³³⁵	puo5
坝	壩	堤～	puo³³⁵	puo5
怕	怕		pʰuo³³⁵	phuo5
爬	爬		buo²²³	buo2
琶	琶	琵～	buo²²³	buo2
杷	杷	枇～	buo²²³	buo2
耙	耙	一种农事工具：～地	buo³¹³	buo6
稗	稗	～草	buo³¹³	buo6
麻	麻		muo²²³	muo2
蟆	蟆	～～dɛ³¹³：蝌蚪	muo²²³	muo2
马	馬		muo⁵⁵	muo3
玛	瑪		muo⁵⁵	muo3
码	碼	～子：号码	muo⁵⁵	muo3
蚂	螞	～蟥，～蚁	muo⁵⁵	muo3
骂	罵		muo³¹³	muo6
𡗘	𡗘	～拄：支撑扁担的工具；～罚：赔罪、道歉	tuo⁵³	tuo1
挪	挪	～用公款	nuo²²³	nuo2
哪	哪	～吒	nuo²²³	nuo2
女	女	白读，孙～；～：女儿	nuo³³⁵	nuo5
楂	楂	山～	tsuo⁵³	tsuo1
渣	渣	～头：渣	tsuo⁵³	tsuo1
遮	遮		tsuo⁵³	tsuo1
榨	榨		tsuo³³⁵	tsuo5
诈	詐	～死：耍赖	tsuo³³⁵	tsuo5
炸	炸	～弹	tsuo³³⁵	tsuo5
蔗	蔗		tsuo³³⁵	tsuo5
叉	叉		tsʰuo⁵³	tshuo1
杈	杈	桠～	tsʰuo⁵³	tshuo1
差	差	～弗多	tsʰuo⁵³	tshuo1
车	車		tsʰuo⁵³	tshuo1
钗	釵	白读	tsʰuo⁵³	tshuo1
岔	岔	～路	tsʰuo³³⁵	tshuo5
茶	茶		dzuo²²³	dzuo2
搽	搽		dzuo²²³	dzuo2
查	查		dzuo²²³	dzuo2
蛇	蛇		dzuo²²³	dzuo2
社	社	结～，～会主义	dzuo³¹³	dzuo6
沙	沙		suo⁵³	suo1
纱	紗		suo⁵³	suo1
痧	痧	扭～，～发：发痧	suo⁵³	suo1
赊	賒		suo⁵³	suo1
蓑	蓑	～衣	suo⁵³	suo1
舍	捨	弗割～：舍不得	suo⁵⁵	suo3
所	所		suo⁵⁵	suo3
产	產	～母娘：产妇	suo⁵⁵	suo3
赦	赦		suo³³⁵	suo5
舍	舍	白读，邻～，草～	suo³³⁵	suo5
晒	曬		suo³³⁵	suo5
佘	佘		zuo²²³	zuo2
射	射		zuo³¹³	zuo6
麝	麝	～香	zuo³¹³	zuo6
社	社	新读	zuo³¹³	zuo6
家	家	白读	kuo⁵³	kuo1
加	加		kuo⁵³	kuo1
枷	枷	～锁	kuo⁵³	kuo1
瓜	瓜		kuo⁵³	kuo1
袈	袈	～裟	kuo⁵⁵	kuo3
假	假	～货	kuo⁵⁵	kuo3
寡	寡	～妇老娘：寡妇	kuo⁵⁵	kuo3
架	架		kuo³³⁵	kuo5
价	價	～钱：价格	kuo³³⁵	kuo5
嫁	嫁	～女	kuo³³⁵	kuo5
挂	掛		kuo³³⁵	kuo5
卦	卦	卜～	kuo³³⁵	kuo5
揢	揢	抓住：～人	kʰuo³³⁵	khuo5
跨	跨	～脚步	kʰuo³³⁵	khuo5
□	□	大物卡住喉咙	guo³¹³	guo6
□	□	有意为难	guo³¹³	guo6
虾	蝦	鱼腥～蟹：水产品总称	huo⁵³	huo1
花	花		huo⁵³	huo1
呵	呵	～痒	huo⁵³	huo1
化	化	～学；疏松绽开：～糕	huo³³⁵	huo5
划	划	～船	uo⁵³	uo1
挜	掗	强行给予	uo⁵³	uo1
桠	椏	～杈：树杈；～枝：树枝	uo⁵³	uo1
牙	牙		uo²²³	wo2
芽	芽	出～头：发芽	uo²²³	wo2
衙	衙	～门	uo²²³	wo2
华	華	中～	uo²²³	wo2
哑	啞		uo⁵⁵	uo3
下	下	～头，～脚：下面	uo⁵⁵	uo3
瓦	瓦		uo⁵⁵	uo3
丫	丫	～头	uo⁵⁵	uo3
画	畫	扒饭：～两口	uo³³⁵	uo5
夏	夏		uo³¹³	wo6
画	畫		uo³¹³	wo6
话	話		uo³¹³	wo6
活	活	做生～：干活	uo³¹³	wo6
簸	簸	动词：～谷	pɛ⁵³	pe1
杯	杯		pɛ⁵³	pe1
碑	碑		pɛ⁵³	pe1
卑	卑		pɛ⁵³	pe1
悲	悲		pɛ⁵³	pe1
褙	褙	粘贴：～布袹	pɛ⁵³	pe1
□	□	～路强盗：拦路强盗	pɛ⁵³	pe1
贝	貝		pɛ³³⁵	pe5
狈	狽	狼～	pɛ³³⁵	pe5
辈	輩		pɛ³³⁵	pe5
背	背		pɛ³³⁵	pe5
半	半	白读，一～	pɛ³³⁵	pe5
胚	胚	讨饭～	pʰɛ⁵³	phe1
坯	坯	～子	pʰɛ⁵³	phe1
潘	潘		pʰɛ⁵³	phe1
沛	沛		pʰɛ³³⁵	phe5
配	配		pʰɛ³³⁵	phe5
拚	拚	～命做生活；～得：舍得	pʰɛ³³⁵	phe5
判	判	旧读	pʰɛ³³⁵	phe5
培	培		bɛ²²³	be2
陪	陪		bɛ²²³	be2
赔	賠		bɛ²²³	be2
裴	裴		bɛ²²³	be2
蟠	蟠	～桃	bɛ²²³	be2
盘	盤		bɛ²²³	be2
倍	倍		bɛ³¹³	be6
佩	佩		bɛ³¹³	be6
背	背	～书	bɛ³¹³	be6
悖	悖	行为不合常理：人～佬佬	bɛ³¹³	be6
备	備		bɛ³¹³	be6
拌	拌	～猪食	bɛ³¹³	be6
伴	伴	作～	bɛ³¹³	be6
𨒃	𨒃	躲藏	bɛ³¹³	be6
梅	梅		mɛ²²³	me2
莓	莓		mɛ²²³	me2
霉	霉		mɛ²²³	me2
媒	媒		mɛ²²³	me2
煤	煤		mɛ²²³	me2
楣	楣		mɛ²²³	me2
玫	玫		mɛ²²³	me2
瞒	瞞	～裆裤	mɛ²²³	me2
鳗	鰻	一根～	mɛ²²³	me2
馒	饅	～头	mɛ²²³	me2
蛮	蠻	程度副词：～好	mɛ²²³	me2
每	每		mɛ⁵⁵	me3
美	美		mɛ⁵⁵	me3
满	滿	白读，～月	mɛ⁵⁵	me3
妹	妹		mɛ³¹³	me6
煝	煝	暗火闷烧：～火堆	mɛ³¹³	me6
幔	幔	～天帐：天井中的帐幔	mɛ³¹³	me6
□	□	“弗会”的合音：～得落雨	vɛ³³⁵	ve5
堆	堆		tɛ⁵³	te1
呆	呆	老年痴～	tɛ⁵³	te1
端	端	～午	tɛ⁵³	te1
�	�	扯、拉：～直	tɛ⁵⁵	te3
碓	碓	水～	tɛ⁵⁵	te3
短	短	～命鬼	tɛ⁵⁵	te3
戴	戴	姓	tɛ³³⁵	te5
对	對		tɛ³³⁵	te5
断	斷	～路强盗	tɛ³³⁵	te5
胎	胎		tʰɛ⁵³	the1
台	台	天～，～州	tʰɛ⁵³	the1
苔	苔	舌～	tʰɛ⁵³	the1
梯	梯	白读，～子：可移动的梯子	tʰɛ⁵³	the1
推	推		tʰɛ⁵³	the1
态	態		tʰɛ⁵³	the1
㷟	㷟	～毛	tʰɛ⁵³	the1
腿	腿		tʰɛ⁵⁵	the3
□	□	慢	tʰɛ⁵⁵	the3
退	退		tʰɛ³³⁵	the5
台	臺		dɛ²²³	de2
台	檯		dɛ²²³	de2
抬	抬		dɛ²²³	de2
苔	苔	青～毛	dɛ²²³	de2
坛	罎	酒～	dɛ²²³	de2
团	團	白读，～筲：淘米的工具	dɛ²²³	de2
待	待		dɛ³¹³	de6
怠	怠		dɛ³¹³	de6
殆	殆		dɛ³¹³	de6
贷	貸		dɛ³¹³	de6
代	代		dɛ³¹³	de6
袋	袋		dɛ³¹³	de6
队	隊		dɛ³¹³	de6
兑	兌		dɛ³¹³	de6
递	遞	白读，东西～过来	dɛ³¹³	de6
□	□	蟆蟆～：蝌蚪	dɛ³¹³	de6
奶	奶	～～：乳房，乳汁	nɛ⁵³	ne1
暖	暖		nɛ⁵⁵	ne3
乃	乃		nɛ⁵⁵	ne3
耐	耐		nɛ³¹³	ne6
内	內		nɛ³¹³	ne6
来	來		lɛ²²³	le2
雷	雷	动～鼓：打雷	lɛ²²³	le2
癗	癗	粉刺	lɛ⁵⁵	le3
儡	儡	傀～	lɛ⁵⁵	le3
卵	卵	～脬：阴囊	lɛ⁵⁵	le3
在	在	～何里	lɛ⁵⁵	le3
类	類		lɛ³¹³	le6
垒	壘		lɛ³¹³	le6
累	累		lɛ³¹³	le6
擂	擂		lɛ³¹³	le6
�	�	滚动	lɛ³¹³	le6
乱	亂		lɛ³¹³	le6
灾	災		tsɛ⁵³	tse1
栽	栽		tsɛ⁵³	tse1
追	追		tsɛ⁵³	tse1
斋	齋	～菜	tsɛ⁵³	tse1
锥	錐		tsɛ⁵³	tse1
簪	簪		tsɛ⁵³	tse1
钻	鑽	～进去	tsɛ⁵³	tse1
者	者	记～	tsɛ⁵⁵	tse3
宰	宰	～相	tsɛ⁵⁵	tse3
嘴	嘴		tsɛ⁵⁵	tse3
再	再		tsɛ³³⁵	tse5
寨	寨		tsɛ³³⁵	tse5
最	最		tsɛ³³⁵	tse5
赘	贅	入～	tsɛ³³⁵	tse5
醉	醉		tsɛ³³⁵	tse5
钻	鑽	～石	tsɛ³³⁵	tse5
猜	猜		tsʰɛ⁵³	tshe1
催	催		tsʰɛ⁵³	tshe1
崔	崔		tsʰɛ⁵³	tshe1
汆	汆	焯一下	tsʰɛ⁵³	tshe1
采	采		tsʰɛ⁵⁵	tshe3
彩	彩		tsʰɛ⁵⁵	tshe3
菜	菜		tsʰɛ³³⁵	tshe5
脆	脆		tsʰɛ³³⁵	tshe5
翠	翠		tsʰɛ³³⁵	tshe5
才	才		dzɛ²²³	dze2
材	材		dzɛ²²³	dze2
财	財	～神	dzɛ²²³	dze2
裁	裁	文读，～判	dzɛ²²³	dze2
槌	槌		dzɛ²²³	dze2
垂	垂		dzɛ²²³	dze2
锤	錘		dzɛ²²³	dze2
谁	誰		dzɛ²²³	dze2
□	□	钻入某物	dzɛ²²³	dze2
在	在		dzɛ³¹³	dze6
罪	罪	文读，犯～	dzɛ³¹³	dze6
穗	穗		dzɛ³¹³	dze6
瑞	瑞		dzɛ³¹³	dze6
腮	腮		sɛ⁵³	se1
鳃	鰓		sɛ⁵³	se1
虽	雖		sɛ⁵³	se1
酸	酸		sɛ⁵³	se1
洗	洗	白读，～衣裳	sɛ⁵⁵	se3
税	稅		sɛ³³⁵	se5
赛	賽		sɛ³³⁵	se5
碎	碎		sɛ³³⁵	se5
岁	歲		sɛ³³⁵	se5
帅	帥	元～	sɛ³³⁵	se5
细	細	粗细的细：～葱葱	sɛ³³⁵	se5
算	算		sɛ³³⁵	se5
糁	糝	饭米～：饭粒	sɛ³³⁵	se5
裁	裁	白读，～缝	zɛ²²³	ze2
随	隨		zɛ²²³	ze2
蚕	蠶	白读	zɛ²²³	ze2
罪	罪	白读，～过：可怜	zɛ³¹³	ze6
遂	遂		zɛ³¹³	ze6
隧	隧		zɛ³¹³	ze6
改	改		kɛ⁵⁵	ke3
该	該		kɛ⁵⁵	ke3
概	概		kɛ³³⁵	ke5
溉	溉		kɛ³³⁵	ke5
盖	蓋		kɛ³³⁵	ke5
丐	丐		kɛ³³⁵	ke5
开	開		kʰɛ⁵³	khe1
凯	凱		kʰɛ⁵⁵	khe3
恺	愷		kʰɛ⁵⁵	khe3
□	□	～板：肯定	kʰɛ⁵⁵	khe3
徛	徛	立	gɛ³¹³	ge6
虚	虛	白读，面部浮肿	hɛ⁵³	he1
□	□	责备，呵斥	hɛ⁵³	he1
海	海		hɛ⁵⁵	he3
熯	熯	煮饭时附带蒸	hɛ³³⁵	he5
□	□	疡～：淋巴	hɛ³³⁵	he5
□	□	高出一点：～得一排篾	hɛ³³⁵	he5
哀	哀		ɛ⁵³	e1
埃	埃	～及	ɛ⁵³	e1
安	安	白读，～tsieʔ⁵：清净，没人打扰	ɛ⁵³	e1
鹌	鵪	～鹑蛋	ɛ⁵³	e1
呆	呆	～头～脑	ɛ²²³	ghe2
孩	孩		ɛ²²³	ghe2
含	含	白读，含在嘴里	ɛ²²³	ghe2
寒	寒	白读，～～豆：豌豆	ɛ²²³	ghe2
爱	愛		ɛ³³⁵	e5
艾	艾		ɛ³³⁵	e5
□	□	趴一会，靠一会	ɛ³³⁵	e5
亥	亥		ɛ³¹³	ghe6
害	害		ɛ³¹³	ghe6
碍	礙		ɛ³¹³	ghe6
阶	階	文读，～级	tɕiɛ⁵³	cie1
皆	皆		tɕiɛ⁵³	cie1
介	介	文读	tɕiɛ³³⁵	cie5
届	屆		tɕiɛ³³⁵	cie5
舍	舍	文读，宿～	ɕiɛ³³⁵	shie5
冶	冶	～金	iɛ³¹³	ye6
械	械	机～	iɛ³¹³	ye6
圭	圭		kuɛ⁵³	kue1
闺	閨		kuɛ⁵³	kue1
规	規		kuɛ⁵³	kue1
龟	龜		kuɛ⁵³	kue1
归	歸	鸡～笼	kuɛ⁵³	kue1
轨	軌		kuɛ⁵⁵	kue3
鬼	鬼		kuɛ⁵⁵	kue3
会	會	～计	kuɛ³³⁵	kue5
桂	桂		kuɛ³³⁵	kue5
贵	貴		kuɛ³³⁵	kue5
鳜	鱖	～鱼	kuɛ³³⁵	kue5
盔	盔		kʰuɛ⁵³	khue1
奎	奎		kʰuɛ⁵³	khue1
亏	虧	～得：幸亏	kʰuɛ⁵³	khue1
傀	傀	～儡	kʰuɛ⁵³	khue1
块	塊		kʰuɛ³³⁵	khue5
愧	愧		kʰuɛ³³⁵	khue5
逵	逵		guɛ²²³	gue2
葵	葵		guɛ²²³	gue2
