#符号说明：-白=文/书*俗?待考	
#调值	[1]⁴⁴ [2]²¹ [3]³⁵³ [5]³⁵ [7]²
#ɿ	
tsʰ	[1]村撑[2]存蹲{文读}曾{~经}层澄[5]衬寸蹭
s	[1]孙僧生森参{人~}牲笙甥[3]损榫{~头}省[5]渗{水~透}
k	[1]更{~换}跟根埂庚耕[3]哽粳耿[5]更{~加}
kʰ	[1]坑[3]恳垦肯
x	[1]亨[2]痕恒衡横{文读}[3]很[5]恨
Ø	[1]恩[5]硬

#ieɲ	
p	[1]鞭编边[3]贬蝙匾扁[5]辨辩变便{方~}辫
pʰ	[1]篇偏[2]便{~宜}[5]骗{欺~}遍片
m	[2]绵棉眠[3]免勉娩[5]面缅
t	[1]掂癫{发疯}颠[3]点典[5]店电殿奠佃垫
l	[1]粘拈[2]廉镰帘严连联年[3]敛碾脸[5]念验谚恋
tʃ	[1]尖歼瞻占{~卜}煎毡[3]盏剪践展攒[5]渐占{~领}箭溅贱饯战荐
tʃʰ	[1]签迁铅千[2]潜钱前[3]铲产浅
ʃ	[1]仙疝鲜{新~}羶先[3]鲜{~少}[5]搧善线羡扇膳单{姓}
k	[1]监{~视}兼艰间{空~}搛奸坚肩[3]减碱检俭简涧柬拣茧[5]监{国子~}鉴舰剑谏件建键健腱见
kʰ	[1]谦牵[2]钳乾{~坤}虔[3]遣[5]欠歉
x	[2]嫌闲贤[3]险显[5]陷馅限宪献现县
Ø	[1]淹阉醃腌蔫烟[2]炎盐阎颜言然燃延焉[3]染掩眼演研[5]厌艳焰雁晏燕砚宴

#ueiɲ	
k	[3]滚[5]棍
kʰ	[1]坤[3]菌捆[5]困
x	[1]昏婚分{~开}芬纷荤[2]魂馄浑焚坟[3]粉[5]混粪奋愤忿份
Ø	[1]温瘟酝[2]文纹闻蚊吻[3]稳

#yeɲ	
l	[3]软阮
tʃ	[1]专砖[3]转[5]赚篆传{~记}撞
tʃʰ	[1]川穿[2]泉全传{~达}椽船[3]喘[5]串窜篡
ʃ	[1]宣[3]癣选旋
k	[1]绢捐[3]卷{~起来}捲[5]眷卷{考~}圈{猪~}倦
kʰ	[2]犬权
x	[1]轩掀[2]悬玄眩
Ø	[1]冤渊[2]丸圆员缘沿元原源袁辕园援[3]宛远[5]院愿怨

#ɿʔ	
ts	[7]滞矢置缉集蛰执汁疾积迹脊织侄籍掷职质寂殖植值直
tsʰ	[7]秩赤斥
s	[7]习袭湿十什拾悉实失宝息熄媳食蚀识式饰惜昔席夕适释石锡析吸

#iʔ	
p	[7]臂鼻笔毕逼璧壁蓖
pʰ	[7]匹僻辟劈碧
m	[7]密蜜觅
t	[7]的{目~}滴嫡笛敌狄
tʰ	[7]踢剔
l	[7]立笠粒粟匿力溺历逆歷曆
tʃʰ	[7]七漆膝尺戚吃喫
k	[7]急级及吉桔极击激
Ø	[7]入揖日乙逸益亦译液腋

#uʔ	
p	[7]不
pʰ	[7]扑仆卜
m	[7]目木牧
t	[7]毒独读牍犊笃督□{用手指指，戳}
tʰ	[7]突秃
l	[7]鹿禄六陆绿录
ts	[7]卒族竹筑足烛嘱逐轴祝粥
tsʰ	[7]畜{~牲}触促
s	[7]续戍宿{星~}术述速淑熟叔肃
k	[7]骨国谷
kʰ	[7]窟哭酷
