汉字	拼音	IPA	注释		
苧	tiu4	tiu˨˥			
箸	tur6	tɯ˨˩			
阻	tso3	tso˥˩			
初	tsho1	tsʰo˧˧	文		
初	tshiu1	tsʰiu˧˧	白		
楚	tsho3	tsʰo˥˩			
鋤	tsho2	tsʰo˥˥	文		
鋤	tur2	tɯ˥˥	~頭		
鋤	thur2	tʰɯ˥˥	~草		
疏	so1	so˧˧	文		
疏	so5	so˨˩˨	文		
疏	siu1	siu˧˧	白		
蔬	so1	so˧˧			
梳	su1	su˧˧	文		
梳	siu1	siu˧˧	白		
所	so3	so˥˩			
諸	tsu1	tsu˧˧			
煮	tsur3	tsɯ˥˩			
處	tshu5	tsʰu˨˩˨			
書	tsur1	tsɯ˧˧			
舒	su1	su˧˧	文		
舒	tshur1	tsʰɯ˧˧	白，鋪		
鼠	tshur3	tsʰɯ˥˩			
暑	su3	su˥˩			
黍	su3	su˥˩			
黍	siu3	siu˥˩	替		
庶	su5	su˨˩˨			
恕	su5	su˨˩˨			
墅	su3	su˥˩			
薯	tsur2	tsɯ˥˥			
署	su3	su˥˩			
如	ju2	dzu˥˥			
汝	ju3	dzu˥˩	文		
汝	lur3	lɯ˥˩	白		
居	kur1	kɯ˧˧			
車	kur1	kɯ˧˧			
舉	kur3	kɯ˥˩			
鋸	kur5	kɯ˨˩˨			
據	kur4	kɯ˨˥			
墟	hur1	hɯ˧˧			
去	khur5	kʰɯ˨˩˨			
渠	khur2	kʰɯ˥˥			
巨	kur4	kɯ˨˥			
距	kur4	kɯ˨˥			
拒	kur4	kɯ˨˥			
遽	kur4	kɯ˨˥			
魚	hur2	hɯ˥˥			
漁	hur2	hɯ˥˥			
語	gur3	gɯ˥˩			
御	gur6	gɯ˨˩			
禦	gur4	gɯ˨˥			
馭	gur4	gɯ˨˥			
虛	hur1	hɯ˧˧			
噓	hur1	hɯ˧˧			
許	hur3	hɯ˥˩			
許	khou3	kʰou˥˩	白，姓氏		
淤	ur5	ɯ˨˩˨			
於	i1	i˧˧			
余	ur2	ɯ˥˥			
餘	ur2	ɯ˥˥			
與	ur3	ɯ˥˩			
飫	ur5	ɯ˨˩˨			
譽	ur4	ɯ˨˥			
預	ur4	ɯ˨˥			
豫	ur4	ɯ˨˥			
夫	hu1	hu˧˧	文		
夫	pou1	pou˧˧	白		
膚	hu1	hu˧˧			
甫	phou3	pʰou˥˩			
斧	pou3	pou˥˩			
府	hu3	hu˥˩			
腑	hu3	hu˥˩			
俯	hu3	hu˥˩			
賦	hu5	hu˨˩˨			
傅	hu5	hu˨˩˨	文		
傅	pou5	pou˨˩˨	白，姓氏		
付	hu5	hu˨˩˨			
敷	hu1	hu˧˧	文		
敷	phou1	pʰou˧˧	白		
俘	hu1	hu˧˧			
撫	bu3	bu˥˩			
赴	hu5	hu˨˩˨			
訃	hu5	hu˨˩˨			
芙	phu2	pʰu˥˥			
符	hu2	hu˥˥			
扶	hu2	hu˥˥			
釜	hu3	hu˥˩			
腐	hu1	hu˧˧			
腐	hu6	hu˨˩	又，豆~		
輔	hu4	hu˨˥			
父	hu4	hu˨˥			
父	pe4	pɛ˨˥	訓		
附	hu5	hu˨˩˨			
毋	bo2	bo˥˥			
毋	m4	m˨˥			
毋	m6	m˨˩			
巫	bu2	bu˥˥			
誣	bu2	bu˥˥			
無	bu2	bu˥˥	~數		
無	bo2	bo˥˥			
舞	bu3	bu˥˩			
舞	mong4	moŋ˨˥	白		
侮	bu3	bu˥˩			
武	bu3	bu˥˩			
鵡	bu3	bu˥˩			
霧	bu6	bu˨˩			
務	bu4	bu˨˥			
縷	lu3	lu˥˩			
屢	lu3	lu˥˩			
趨	tshu1	tsʰu˧˧			
取	tshu3	tsʰu˥˩			
取	tshiu3	tsʰiu˥˩	白		
娶	tshu3	tsʰu˥˩			
趣	tshu5	tsʰu˨˩˨			
聚	tsu4	tsu˨˥			
需	su1	su˧˧			
須	su1	su˧˧			
鬚	tshiu1	tsʰiu˧˧			
蛛	tu1	tu˧˧			
株	tsu1	tsu˧˧			
誅	tu1	tu˧˧			
駐	tsu4	tsu˨˥			
厨	tou2	tou˥˥			
柱	thiau4	tʰiau˨˥			
住	tsu4	tsu˨˥			
芻	tshu1	tsʰu˧˧			
雛	tshu1	tsʰu˧˧			
數	su5	su˨˩˨	無~		
