	字	音	調	注			聲調																																										
	變	piən	5																																														
	京	keŋ	1																																														
	享	hiaŋ	3																																														
	龐	pʰaŋ	2																																														
	店	tiən	5																																														
	夜	ziɛ	5																																														
	廟	miau	5																																														
	府	fu	3																																														
	底	ti	3																																														
	瘧	niɛʔ	7																																														
	疙	kɔʔ	7																																														
	疚	kiu	3																																														
	劑	tsi	5																																														
	卒	tsuʔ	7																																														
	郊	kiau	1																																														
	庚	kəŋ	1																																														
	廢	fəi	5																																														
	淨	tseŋ	5																																														
	盲	maŋ	2																																														
	放	faŋ	5																																														
	刻	kɤʔ	7																																														
	育	zyi	5																																														
	育	zyʔ	7																																														
	氓	maŋ	2																																														
	閘	tsaʔ	7																																														
	鬧	nau	5																																														
	鄭	tsəŋ	5																																														
	券	kʰiən	5																																														
	卷	kiən	5																																														
	卷	kiən	3																																														
	單	tan	1																																														
	炬	ky	5																																														
	炒	tsʰau	3																																														
	炊	tsʰuəi	1																																														
	炕	kʰaŋ	5																																														
	炎	zən	2																																														
	爐	lu	2																																														
	沫	mɔʔ	7																																														
	淺	tsʰiən	3																																														
	法	faʔ	7																																														
	泄	siɛʔ	7																																														
	沽	ku	1																																														
	河	hɔ	2																																														
	沾	tsaŋ	5																																														
	淚	ləi	5																																														
	沮	tsy	3																																														
	油	zəu	2																																														
	泊	pɔʔ	7																																														
	沿	zən	2																																														
	泡	pʰau	5																																														
	注	tsy	5																																														
	泣	kʰiʔ	7																																														
	濘	neŋ	2																																														
	瀉	xiɛ	5																																														
	泌	pi	5																																														
	泳	zuŋ	3																																														
	泥	ni	2																																														
	沸	fəi	5																																														
	沼	tsau	3																																														
	波	pɔ	1																																														
	潑	pʰɔ	1																																														
	澤	tsɤʔ	7																																														
	治	tsi	5																																														
	怔	tsəŋ	1																																														
	怯	kʰiɛʔ	7																																														
	怖	pu	5																																														
	性	seŋ	5																																														
	怕	pʰa	5																																														
	憐	liən	2																																														
	怪	kuai	5																																														
	怡	zi	2																																														
	學	hiɔʔ	7																																														
	寶	pau	3																																														
	宗	tsuŋ	1																																														
	定	teŋ	5																																														
	寵	tsʰuŋ	3																																														
	宜	zi	2																																														
	審	seŋ	3																																														
	宙	tsəu	5																																														
	官	kuən	1																																														
	空	kʰuŋ	1																																														
	空	kʰuŋ	5																																														
	簾	liən	2																																														
	宛	vən	3																																														
	實	siʔ	7																																														
	試	si	5																																														
	郎	laŋ	2																																														
	詩	si	1																																														
	肩	kiən	1																																														
	房	faŋ	2																																														
	誠	tsʰəŋ	2																																														
	襯	tsʰən	5																																														
	衫	san	1																																														
	視	si	5																																														
	祈	kʰi	2																																														
	話	hua	5																																														
	誕	taŋ	5																																														
	詭	kuəi	3																																														
	詢	syin	2																																														
	該	kai	1																																														
	詳	siaŋ	2																																														
	建	kiən	5																																														
	肅	suʔ	7																																														
	錄	luʔ	7																																														
	隸	li	5																																														
	帚	tsəu	3																																														
	屜	tʰi	5																																														
	居	ki	1																																														
	屆	kai	5																																														
	刷	suaʔ	7																																														
	屈	kʰyʔ	7																																														
	弧	hu	2																																														
	彌	mi	2																																														
	弦	hiən	2																																														
	承	tsʰəŋ	2																																														
	孟	muŋ	5																																														
	陋	ləu	5																																														
	陌	mɔʔ	7																																														
	孤	ku	1																																														
	陝	san	3																																														
	降	kiaŋ	5																																														
	降	hiaŋ	2																																														
	函	haŋ	2																																														
	限	haŋ	5																																														
	限	hiən	5																																														
	妹	məi	5																																														
	姑	ku	1																																														
	姐	tsiɛ	3																																														
	姓	seŋ	5																																														
	妮	ni	2																																														
	始	si	3																																														
	姆	mu	3																																														
	迢	tʰiau	2																																														
	駕	kia	5																																														
	三	san	1																																														
	參	tsʰan	1	參加																																													
	參	sen	1	人參																																													
	艱	kiən	1																																														
	艱	kaŋ	1																																														
	線	siən	5																																														
	練	liən	5																																														
	組	tsy	3																																														
	紳	sen	1																																														
	細	si	5																																														
	駛	si	3																																														
	織	tsiʔ	7																																														
	駒	ky	1																																														
	終	tsuŋ	1																																														
	駐	tsy	5																																														
	絆	puən	5																																														
	駝	tʰɔ	2																																														
	紹	sau	5																																														
	繹	ziʔ	7																																														
	經	keŋ	1																																														
	貫	kuaŋ	5																																														
	契	kʰi	5																																														
	貳	ɤ	5																																														
	奏	tsəu	5																																														
	春	tsʰuən	1																																														
	幫	paŋ	1																																														
	玷	tiən	5																																														
	珍	tseŋ	1																																														
	玲	leŋ	2																																														
	珊	saŋ	1																																														
	玻	pɔ	1																																														
	毒	tuʔ	7																																														
	型	heŋ	2																																														
	拭	siʔ	7																																														
	掛	kua	5																																														
	封	fuŋ	1																																														
	持	tsʰi	2																																														
	拷	kʰau	3																																														
	拱	kuŋ	3																																														
	項	hiaŋ	5																																														
	垮	kʰua	3																																														
	挎	kʰua	5																																														
	城	tsʰəŋ	2																																														
	挾	kiɛʔ	7																																														
	撓	nau	2																																														
	政	tseŋ	5																																														
	赴	fu	5																																														
	趙	tsau	5																																														
	擋	taŋ	3																																														
	拽	tsuai	5																																														
	拽	tsuai	3																																														
	哉	tsai	1																																														
	挺	tʰeŋ	3																																														
	括	kuaʔ	7																																														
	垢	kəu	3																																														
	拴	suəŋ	1																																														
	拾	siʔ	7																																														
	挑	tʰiau	1																																														
	挑	tʰiau	3																																														
	垛	tɔ	3																																														
	指	tsi	3																																														
	墊	tiən	5																																														
	掙	tsəŋ	5																																														
	擠	tsi	3																																														
	拼	pʰeŋ	1																																														
	挖	va	1																																														
	按	aŋ	5																																														
	揮	huəi	1																																														
	挪	nɔ	2																																														
	拯	tsəŋ	5																																														
	某	məu	3																																														
	甚	sen	5																																														
	荊	keŋ	1																																														
	茸	zuŋ	2																																														
	革	kɤʔ	7																																														
	茬	tsʰa	2																																														
	薦	tsiən	5																																														
	巷	hiaŋ	5																																														
	帶	tai	5																																														
	草	tsʰau	3																																														
	繭	kiən	3																																														
	茵	zen	1																																														
	茶	tsʰa	2																																														
	荒	huaŋ	1																																														
	茫	maŋ	2																																														
	蕩	taŋ	5																																														
	榮	zuŋ	2																																														
	葷	huən	1																																														
	熒	zeŋ	2																																														
	故	ku	5																																														
	胡	hu	2																																														
	蔭	zeŋ	1																																														
	荔	li	5																																														
	南	nan	2																																														
	藥	zɔʔ	7																																														
	標	piau	1																																														
	棧	tsaŋ	5																																														
	柑	kan	1																																														
	枯	kʰu	1																																														
	柄	peŋ	3																																														
	棟	tuŋ	5																																														
	相	siaŋ	1																																														
	相	siaŋ	5																																														
	查	tsʰa	2																																														
	柏	pɔʔ	7																																														
	柵	san	5																																														
	柵	tsiʔ	7																																														
	柵	tsɤʔ	7																																														
	柳	liu	3																																														
	柱	tsy	5																																														
	柿	si	5																																														
	欄	lan	2																																														
	檸	neŋ	2																																														
	樹	syi	5																																														
	勃	pɔʔ	7																																														
	要	zau	5																																														
	柬	kiən	3																																														
	鹹	haŋ	2																																														
	威	vəi	1																																														
	歪	vai	1																																														
	研	zən	2																																														
	磚	tsuən	1																																														
	厘	li	2																																														
	厚	həu	5																																														
	砌	tsʰi	5																																														
	砂	sa	1																																														
	泵	puŋ	5																																														
	硯	zən	5																																														
	砍	kʰan	3																																														
	面	mien	5																																														
	耐	nai	5																																														
	耍	sua	3																																														
	牽	kʰiən	1																																														
	鷗	əu	1																																														
	殘	tsʰan	2																																														
	殃	zaŋ	1																																														
	軸	tsəuʔ	7																																														
	輕	kʰeŋ	1																																														
	鴉	za	1																																														
	皆	kai	1																																														
	韭	kiu	3																																														
	背	pəi	1																																														
	背	pəi	5																																														
	戰	tsaŋ	5																																														
	點	tiən	3																																														
	虐	nyɛʔ	7																																														
	虐	niɛʔ	7																																														
	臨	len	2																																														
	覽	lan	3																																														
	豎	su	5																																														
	省	səŋ	3																																														
	省	seŋ	3																																														
	削	siɛʔ	7																																														
	嘗	tsʰaŋ	2																																														
	昧	məi	5																																														
	盹	tən	3																																														
	是	si	5																																														
	盼	pʰaŋ	5																																														
	眨	tsaʔ	7																																														
	哇	ua	5	喊叫																																													
	哄	huŋ	3																																														
	啞	a	3																																														
	顯	hiən	3																																														
	冒	mau	5																																														
	映	zeŋ	5																																														
	星	seŋ	1																																														
	昨	tsɔʔ	7																																														
	咧	liɛʔ	7																																														
	昭	tsau	1																																														
	畏	vəi	5																																														
	趴	pʰa	1																																														
	胃	vəi	5																																														
	貴	kuəi	5																																														
	界	kai	5																																														
	虹	huŋ	2																																														
	虹	kaŋ	1																																														
	蝦	hia	1																																														
	蟻	zi	3																																														
	蟻	zi	1																																														
	思	sɿ	1																																														
	螞	ma	3																																														
	雖	suəi	1																																														
	品	pʰeŋ	3																																														
	咽	zən	1																																														
	罵	ma	5																																														
	勳	hyin	1																																														
	嘩	hua	1																																														
	咱	tsa	1																																														
	響	hiaŋ	3																																														
	哈	ha	1																																														
	哆	tɔ	1																																														
	咬	au	3																																														
	咳	kʰɔʔ	7																																														
	咪	mi	1																																														
	哪	la	3																																														
	喲	zɔ	1																																														
	炭	tʰan	5																																														
	峽	hiaʔ	7																																														
	罰	faʔ	7																																														
	賤	tsiən	5																																														
	貼	tʰiɛʔ	7																																														
	貽	zi	2																																														
	骨	kuʔ	7																																														
	骨	ku	3																																														
	幽	zəu	1																																														
	鈣	kai	5																																														
	鈍	tən	5																																														
	鈔	tsʰau	1																																														
	鍾	tsuŋ	1																																														
	鋼	kaŋ	1																																														
	鈉	la	5																																														
	鑰	zɔʔ	7																																														
	欽	kʰen	1																																														
	鈞	ken	1																																														
	鈎	kəu	1																																														
	鈕	niu	3																																														
	卸	siɛ	5																																														
	缸	kaŋ	1																																														
	拜	pai	5																																														
	看	kʰan	5																																														
	矩	ky	5																																														
	氈	tsan	1																																														
	氫	kʰeŋ	1																																														
	怎	tsən	3																																														
	牲	səŋ	1																																														
	選	suəŋ	3																																														
	適	siʔ	7																																														
	秒	miau	3																																														
	香	hiaŋ	1																																														
	種	tsuŋ	5																																														
	種	tsuŋ	3																																														
	秋	tsʰiu	1																																														
	科	kʰuə	1																																														
	重	tsuŋ	5																																														
	重	tsʰuŋ	2																																														
	複	fu	5																																														
	竿	kan	1																																														
	段	tuən	5																																														
	便	piən	5																																														
	便	pʰiən	2																																														
	倆	liaŋ	3																																														
	貸	tai	5																																														
	順	syin	5																																														
	修	siu	1																																														
	俏	tsʰiau	5																																														
	保	pau	3																																														
	促	tsʰuʔ	7																																														
	俄	ŋɔ	2																																														
	俐	li	5																																														
	侮	vu	5																																														
	儉	kiən	3																																														
	俗	suʔ	7																																														
	俘	fu	2																																														
	信	sen	5																																														
	皇	huaŋ	2																																														
	泉	tsʰuen	2																																														
	鬼	kuəi	3																																														
	侵	tsʰen	1																																														
	禹	zy	3																																														
	侯	həu	2																																														
	追	tsuəi	1																																														
	俊	tsyin	5																																														
	盾	tən	5																																														
	待	tai	5																																														
	徊	huəi	2																																														
	衍	zən	3																																														
	律	lyʔ	7																																														
	很	hən	3																																														
	須	sy	1																																														
	敘	sy	5																																														
	劍	kiən	5																																														
	逃	tʰau	2																																														
	食	siʔ	7																																														
	盆	pʰən	2																																														
	胚	pʰəi	1																																														
	朧	luŋ	2																																														
	膽	tan	3																																														
	勝	seŋ	5																																														
	胞	pau	1																																														
	胖	pʰaŋ	5																																														
	脈	muʔ	7																																														
	胎	tʰai	1																																														
	勉	miən	3																																														
	狹	hiaʔ	7																																														
	獅	si	1																																														
	獨	tuʔ	7																																														
	猙	tsəŋ	1																																														
	狡	kiau	3																																														
	獄	zyʔ	7																																														
	狠	hən	3																																														
	貿	məu	5																																														
	怨	zuən	5																																														
	急	kiʔ	7																																														
	餌	ɤ	3																																														
	饒	zau	2																																														
	蝕	siʔ	7																																														
	餃	kiau	1																																														
	餅	peŋ	3																																														
	巒	luən	2																																														
	彎	vaŋ	1																																														
	將	tsiaŋ	1																																														
	將	tsiaŋ	5																																														
	獎	tsiaŋ	3																																														
	哀	ai	1																																														
	亭	tʰeŋ	2																																														
	亮	liaŋ	5																																														
	度	tu	5																																														
	跡	tsiʔ	7																																														
	庭	tʰeŋ	2																																														
	瘡	tsʰuaŋ	1																																														
	瘋	fuŋ	1																																														
	疫	ziʔ	7																																														
	疫	zi	5																																														
	疤	pa	1																																														
	諮	tsɿ	1																																														
	姿	tsɿ	1																																														
	親	tsen	1																																														
	音	zen	1																																														
	帝	ti	5																																														
	施	si	1																																														
	閨	kuəi	1																																														
	聞	vəŋ	2																																														
	閩	men	3																																														
	閥	faʔ	7																																														
	閣	kɔʔ	7																																														
	差	tsʰa	1	差不多																																													
	差	tsʰi	1	參差																																													
	差	tsʰai	1	出差																																													
	養	zaŋ	3																																														
	美	məi	3																																														
	姜	kiaŋ	1																																														
	叛	pʰaŋ	5																																														
	送	suŋ	5																																														
	類	ləi	5																																														
	迷	mi	2																																														
	籽	tsɿ	3																																														
	婁	ləu	2																																														
	前	tsʰiən	2																																														
	首	səu	3																																														
	逆	niʔ	7																																														
	兹	tsɿ	1																																														
	總	tsuŋ	3																																														
	煉	liən	5																																														
	炸	tsa	5																																														
	爍	sɔʔ	7																																														
	炮	pʰau	5																																														
	炫	hiən	5																																														
	爛	laŋ	5																																														
	剃	tʰi	5																																														
	窪	va	1																																														
	潔	kiɛʔ	7																																														
	洪	huŋ	2																																														
	灑	sa	3																																														
	柒	tsʰiʔ	7																																														
	澆	kiau	1																																														
	濁	tsɔʔ	7																																														
	洞	tuŋ	5																																														
	測	tsʰiɛʔ	7																																														
	洗	si	3																																														
	活	hɔ	2																																														
	派	pʰai	5																																														
	洽	tsʰiaʔ	7																																														
	染	zan	3																																														
	洛	lɔʔ	7																																														
	瀏	liu	2																																														
	濟	tsi	5																																														
	洋	zaŋ	2																																														
	洲	tsəu	1																																														
	渾	huən	2																																														
	濃	nuŋ	2																																														
	津	tsen	1																																														
	恃	si	5																																														
	恒	həŋ	2																																														
	恢	huəi	1																																														
	恍	huaŋ	3																																														
	恬	tʰiən	2																																														
	恤	syʔ	7																																														
	恰	kʰiaʔ	7																																														
	惱	lau	3																																														
	恨	hən	5																																														
	舉	ky	3																																														
	覺	kiau	3																																														
	覺	kiɛʔ	7																																														
	覺	kiɔʔ	7																																														
	宣	suən	1																																														
	宦	huəŋ	5																																														
	室	siʔ	7																																														
	室	si	5																																														
	宮	kuŋ	1																																														
	憲	hiən	5																																														
	突	tʰuʔ	7																																														
	穿	tsʰuən	1																																														
	竊	tsʰiɛʔ	7																																														
	客	kɤʔ	7																																														
	誡	kai	5																																														
	冠	kuən	1																																														
	冠	kuən	5																																														
	誣	vu	1																																														
	語	zy	3																																														
	扁	piən	3																																														
	襖	au	3																																														
	祖	tsy	3																																														
	神	sen	2																																														
	祝	tsu	5																																														
	祠	tsʰɿ	2																																														
	誤	vu	5																																														
	誘	zəu	5																																														
	誨	kuəi	3																																														
	說	sɔ	1	說話																																													
	說	suəi	5	遊說																																													
	誦	suŋ	5																																														
	墾	kʰən	3																																														
	退	tʰəi	5																																														
	既	ki	5																																														
	屋	vuʔ	7																																														
	晝	tsəu	5																																														
	屏	pʰeŋ	2																																														
	屎	si	3																																														
	費	fəi	5																																														
	陡	təu	3																																														
	遜	sən	5																																														
	眉	məi	2																																														
	孩	hai	2																																														
	隕	zyin	3																																														
	除	tsʰy	2																																														
	險	hiən	3																																														
	院	zuən	5																																														
	娃	va	2																																														
	姥	mu	3																																														
	姥	lau	3																																														
	姨	zi	2																																														
	姻	zen	1																																														
	嬌	kiau	1																																														
	姚	zau	2																																														
	娜	na	5																																														
	娜	nɔ	2																																														
	怒	nu	5																																														
	架	kia	5																																														
	賀	hɔ	5																																														
	盈	zeŋ	2																																														
	勇	zuŋ	3																																														
	怠	tai	5																																														
	癸	kuəi	3																																														
	蚤	tsau	3																																														
	柔	zəu	2																																														
	壘	ləi	3																																														
	綁	paŋ	3																																														
	絨	zuŋ	2																																														
	結	kiɛʔ	7																																														
	繞	zau	5																																														
	驕	kiau	1																																														
	繪	huəi	5																																														
	給	kəi	3																																														
	絢	hiən	5																																														
	駱	lɔʔ	7																																														
	絡	lɔʔ	7																																														
	絕	tsiɛʔ	7																																														
	絞	kiau	3																																														
	駭	hai	5																																														
	統	tʰuŋ	3																																														
	耕	kəŋ	1																																														
	耘	zyin	2																																														
	耗	hau	5																																														
	耙	pʰa	2																																														
	豔	zən	5																																														
	泰	tʰai	5																																														
	秦	tsʰen	2																																														
	珠	tsy	1																																														
	班	pan	1																																														
	素	su	5																																														
	匿	niʔ	7																																														
	蠶	tsʰaŋ	2																																														
	頑	van	2																																														
	盞	tsan	3																																														
	匪	fəi	3																																														
	撈	lau	1																																														
	栽	tsai	1																																														
	捕	pʰu	3																																														
	埂	kəŋ	3																																														
	捂	vu	3																																														
	振	tseŋ	5																																														
	載	tsai	3																																														
	趕	kan	3																																														
	起	kʰi	3																																														
	鹽	zen	2																																														
	捎	siau	1																																														
	捍	han	5																																														
	捏	liɛʔ	7																																														
	埋	mai	2																																														
	捉	tsɔʔ	7																																														
	捆	kʰyin	3																																														
	捐	kiən	1																																														
	損	syin	3																																														
	袁	zuən	2																																														
	捌	paʔ	7																																														
	都	tu	1																																														
	哲	tsiɛʔ	7																																														
	逝	si	5																																														
	撿	kiən	3																																														
	挫	tsʰuə	5																																														
	換	huən	5																																														
	挽	vən	3																																														
	摯	tsi	5																																														
	熱	ziɛʔ	7																																														
	恐	kʰuŋ	3																																														
	搗	tau	3																																														
	壺	hu	2																																														
	捅	tʰuŋ	3																																														
	埃	ai	1																																														
	挨	ai	1																																														
	恥	tsʰi	3																																														
	耿	kəŋ	3																																														
	耽	taŋ	1																																														
	聶	niɛʔ	7																																														
	恭	kuŋ	1																																														
	莽	maŋ	3																																														
	萊	ləi	2																																														
	蓮	liən	2																																														
	莫	mɔʔ	7																																														
	莉	li	5																																														
	荷	hɔ	2																																														
	獲	huʔ	7																																														
	獲	huə	5																																														
	晉	tseŋ	5																																														
	惡	vu	5																																														
	惡	ɤʔ	7																																														
	瑩	zeŋ	2																																														
	鶯	zeŋ	1																																														
	真	tseŋ	1																																														
	框	kʰuaŋ	1																																														
	梆	paŋ	1																																														
	桂	kuəi	5																																														
	桔	kiʔ	7																																														
	棲	tsʰi	1																																														
	檔	taŋ	3																																														
	桐	tʰuŋ	2																																														
	株	tsy	1																																														
	橋	kʰiau	2																																														
	樺	hua	2																																														
	栓	suən	1																																														
	桃	tʰau	2																																														
	格	kɤʔ	7																																														
	樁	tsuaŋ	1																																														
	校	hiau	5																																														
	校	kiau	5																																														
	核	hɤʔ	7																																														
	樣	zaŋ	5																																														
	根	keŋ	1																																														
	索	sɔʔ	7																																														
	哥	kɔ	1																																														
	速	suʔ	7																																														
	逗	təu	5																																														
	栗	liʔ	7																																														
	賈	kia	3																																														
	酌	tsɔʔ	7																																														
	配	pʰəi	5																																														
	翅	tsʰiɛ	5																																														
	辱	zuʔ	7																																														
	辱	zu	3																																														
	唇	tsʰən	2																																														
	夏	hiau	5																																														
	砸	tsaʔ	7																																														
	砰	pʰəŋ	1																																														
	礫	liʔ	7																																														
	礎	tsʰu	3																																														
	破	pʰɔ	5																																														
	原	zuən	2																																														
	套	tʰau	5																																														
	逐	tsuʔ	7																																														
	烈	liɛʔ	7																																														
	殊	sy	1																																														
	殉	syin	5																																														
	顧	ku	5																																														
	轎	kiau	5																																														
	較	kiau	5																																														
	頓	tən	5																																														
	斃	pi	5																																														
	致	tsi	5																																														
	柴	tsʰai	2																																														
	桌	tsɔʔ	7																																														
	慮	ly	5																																														
	監	kiən	1																																														
	緊	ken	3																																														
	黨	taŋ	3																																														
	逞	tsʰəŋ	3																																														
	曬	sai	5																																														
	眠	miən	2																																														
	曉	hau	3																																														
	哮	hiau	5																																														
	嘮	lau	1																																														
	鴨	zaʔ	7																																														
	晃	huaŋ	5																																														
	哺	pu	3																																														
	晌	saŋ	3																																														
	剔	tʰiʔ	7																																														
	暈	zyin	1																																														
	蚌	paŋ	5																																														
	畔	pʰuən	5																																														
	蚣	kuŋ	1																																														
	蚊	ven	2																																														
	蚪	təu	3																																														
	蚓	zen	5																																														
	哨	sau	5																																														
	哩	li	1																																														
	圃	pʰu	3																																														
	哭	kʰuʔ	7																																														
	哦	ɔ	1																																														
	恩	eŋ	1																																														
	鴦	zaŋ	1																																														
	喚	huən	5																																														
	唁	zən	5																																														
	哼	həŋ	1																																														
	唧	tsiʔ	7																																														
	啊	a	1																																														
	唉	ai	1																																														
	唆	sɔ	1																																														
	罷	pa	5																																														
	峭	tsʰiau	5																																														
	峨	ŋɔ	2																																														
	峰	fuŋ	1																																														
	圓	zuən	2																																														
	峻	tsyin	5																																														
	賊	tsɤʔ	7																																														
	賄	huəi	5																																														
	賂	lu	5																																														
	贓	tsaŋ	1																																														
	錢	tsʰiən	2																																														
	鉗	kʰiən	2																																														
	鉗	kʰan	2																																														
	鑽	tsuən	5																																														
	鉀	kiaʔ	7																																														
	鐵	tʰiɛʔ	7																																														
	鈴	leŋ	2																																														
	鉛	tsʰiən	1																																														
	缺	kʰiɛʔ	7																																														
	氧	zaŋ	3																																														
	氨	aŋ	1																																														
	特	tɤʔ	7																																														
