广韵字	繁体字	简体字	常用级	频率	声母	韵母	调值	声调	国际音标	说明	
果	果	果	A2	246831	k	o	42	上声	ko42		
裹	裹	裹	C	4322	k	o	42	上声	ko42		
個	個	个	A1	1199580	k	o	45	去声	ko45		
箇	箇	个	E		k	o	45	去声	ko45		
過	過	过	A1	589925	k	o	45	去声	ko45		
供	供	供	A3	74168	k	oŋ	13	阴平	koŋ13		
公	公	公	A2	318626	k	oŋ	13	阴平	koŋ13		
功	功	功	A3	92052	k	oŋ	13	阴平	koŋ13		
宮	宮	宫	B	32179	k	oŋ	13	阴平	koŋ13		
工	工	工	A2	317532	k	oŋ	13	阴平	koŋ13		
弓	弓	弓	C	5315	k	oŋ	13	阴平	koŋ13		
恭	恭	恭	B	9787	k	oŋ	13	阴平	koŋ13		
攻	攻	攻	A3	68747	k	oŋ	13	阴平	koŋ13		
蚣	蚣	蚣	C	519	k	oŋ	13	阴平	koŋ13		
躬	躬	躬			k	oŋ	13	阴平	koŋ13	文读	
龔	龔	龚	D		k	oŋ	13	阴平	koŋ13		
拱	拱	拱	C	3339	k	oŋ	42	上声	koŋ42		
汞	汞	汞	C	738	k	oŋ	42	上声	koŋ42		
鞏	鞏	巩	C	4344	k	oŋ	42	上声	koŋ42		
供	供	供	A3	74168	k	oŋ	45	去声	koŋ45		
共	共	共	A2	128824	k	oŋ	45	去声	koŋ45		
貢	貢	贡	B	12785	k	oŋ	45	去声	koŋ45		
佝	佝	佝	D		k	əu	13	阴平	kəu13		
勾	勾	勾	C	6780	k	əu	13	阴平	kəu13		
溝	溝	沟	B	11735	k	əu	13	阴平	kəu13		
鉤	鉤	钩	C	5140	k	əu	13	阴平	kəu13		
枸	枸	枸	D		k	əu	42	上声	kəu42		
狗	狗	狗	B	19093	k	əu	42	上声	kəu42		
苟	苟	苟	C	2213	k	əu	42	上声	kəu42		
購	購	购	B	26803	k	əu	42	上声	kəu42		
垢	垢	垢	C	1341	k	əu	45	去声	kəu45		
夠	夠	够	A3	76181	k	əu	45	去声	kəu45		
構	構	构	A3	80364	k	əu	45	去声	kəu45		
詬	詬	诟	D		k	əu	45	去声	kəu45		
倨	倨	倨	D		k	u	13	阴平	ku13	白，同“跍”	
呱	呱	呱	D		k	u	13	阴平	ku13		
咕	咕	咕	C	4132	k	u	13	阴平	ku13		
姑	姑	姑	B	31647	k	u	13	阴平	ku13		
孤	孤	孤	B	17817	k	u	13	阴平	ku13		
沽	沽	沽	C	1043	k	u	13	阴平	ku13		
箍	箍	箍	C	743	k	u	13	阴平	ku13		
菇	菇	菇	C	1339	k	u	13	阴平	ku13		
蛄	蛄	蛄	D		k	u	13	阴平	ku13		
辜	辜	辜	C	3235	k	u	13	阴平	ku13		
鴣	鴣	鸪	D		k	u	13	阴平	ku13		
穀	穀	谷	B	26005	k	u	24	阳平	ku24		
谷	谷	谷	B	26005	k	u	24	阳平	ku24		
骨	骨	骨	B	29180	k	u	24	阳平	ku24		
估	估	估	B	17943	k	u	42	上声	ku42		
古	古	古	A3	80454	k	u	42	上声	ku42		
股	股	股	A3	61861	k	u	42	上声	ku42		
臌	臌	臌	E		k	u	42	上声	ku42		
蠱	蠱	蛊	D		k	u	42	上声	ku42		
賈	賈	贾	C	6627	k	u	42	上声	ku42		
鼓	鼓	鼓	B	25016	k	u	42	上声	ku42		
䀦	䀦	䀦			k	u	42	上声	ku42	轻视	
僱	僱	雇	C	8857	k	u	45	去声	ku45		
固	固	固	A3	37582	k	u	45	去声	ku45		
故	故	故	A3	70067	k	u	45	去声	ku45		
雇	雇	雇	D		k	u	45	去声	ku45		
顧	顧	顾	A3	42735	k	u	45	去声	ku45		
瓜	瓜	瓜	B	8740	k	ua	13	阴平	kua13		
刮	刮	刮	C	4565	k	ua	24	阳平	kua24		
括	括	括	A3	40519	k	ua	24	阳平	kua24		
剮	剮	剐	E		k	ua	42	上声	kua42		
寡	寡	寡	C	5049	k	ua	42	上声	kua42		
卦	卦	卦	C	1628	k	ua	45	去声	kua45		
掛	掛	挂	B	20706	k	ua	45	去声	kua45		
褂	褂	褂	C	1493	k	ua	45	去声	kua45		
乖	乖	乖	C	3828	k	uai	13	阴平	kuai13		
拐	拐	拐	C	5282	k	uai	42	上声	kuai42		
枴	枴	拐	C	5282	k	uai	42	上声	kuai42		
柺	柺	拐	E		k	uai	42	上声	kuai42		
怪	怪	怪	A3	46600	k	uai	45	去声	kuai45		
倌	倌	倌	D		k	uan	13	阴平	kuan13		
冠	冠	冠	B	10217	k	uan	13	阴平	kuan13		
官	官	官	A3	97897	k	uan	13	阴平	kuan13		
棺	棺	棺	C	2901	k	uan	13	阴平	kuan13		
觀	觀	观	A2	127796	k	uan	13	阴平	kuan13		
關	關	关	A2	302473	k	uan	13	阴平	kuan13		
管	管	管	A2	170746	k	uan	42	上声	kuan42		
館	館	馆	B	30564	k	uan	42	上声	kuan42		
冠	冠	冠	B	10217	k	uan	45	去声	kuan45		
慣	慣	惯	B	20880	k	uan	45	去声	kuan45		
摜	摜	掼	E		k	uan	45	去声	kuan45		
灌	灌	灌	C	6403	k	uan	45	去声	kuan45		
盥	盥	盥	D		k	uan	45	去声	kuan45		
罐	罐	罐	C	4169	k	uan	45	去声	kuan45		
觀	觀	观	A2	127796	k	uan	45	去声	kuan45		
貫	貫	贯	B	14361	k	uan	45	去声	kuan45		
光	光	光	A2	147639	k	uaŋ	13	阴平	kuaŋ13		
咣	咣	咣	E		k	uaŋ	13	阴平	kuaŋ13		
胱	胱	胱	D		k	uaŋ	13	阴平	kuaŋ13		
廣	廣	广	A3	87900	k	uaŋ	42	上声	kuaŋ42		
梗	梗	梗	C	2121	k	uaŋ	42	上声	kuaŋ42	白读，甘蔗	
光	光	光	A2	147639	k	uaŋ	45	去声	kuaŋ45	光滑	
誑	誑	诳	D		k	uaŋ	45	去声	kuaŋ45		
逛	逛	逛	C	3074	k	uaŋ	45	去声	kuaŋ45		
國	國	国	A1	985350	k	ue	24	阳平	kue24		
跪	跪	跪	C	5954	k	ue	45	去声	kue45	白	
圭	圭	圭	D		k	uəi	13	阴平	kuəi13		
歸	歸	归	A3	35153	k	uəi	13	阴平	kuəi13		
瑰	瑰	瑰	C	3744	k	uəi	13	阴平	kuəi13		
皈	皈	皈	D		k	uəi	13	阴平	kuəi13		
規	規	规	A2	134528	k	uəi	13	阴平	kuəi13		
閨	閨	闺	C	1236	k	uəi	13	阴平	kuəi13		
鮭	鮭	鲑	E		k	uəi	13	阴平	kuəi13		
龜	龜	龟	C	4265	k	uəi	13	阴平	kuəi13		
晷	晷	晷	E		k	uəi	42	上声	kuəi42		
癸	癸	癸	D		k	uəi	42	上声	kuəi42		
詭	詭	诡	C	3323	k	uəi	42	上声	kuəi42		
軌	軌	轨	B	8273	k	uəi	42	上声	kuəi42		
鬼	鬼	鬼	B	28916	k	uəi	42	上声	kuəi42		
愧	愧	愧	C	5008	k	uəi	45	去声	kuəi45		
桂	桂	桂	B	7877	k	uəi	45	去声	kuəi45		
貴	貴	贵	A3	38668	k	uəi	45	去声	kuəi45		
跪	跪	跪	C	5955	k	uəi	45	去声	kuəi45	文	
鱖	鱖	鳜	D		k	uəi	45	去声	kuəi45		
滾	滾	滚	B	12863	k	uən	42	上声	kuən42		
滾	滾	磙	E	12863	k	uən	42	上声	kuən42		
緄	緄	绲	E		k	uən	42	上声	kuən42		
輥	輥	辊	E		k	uən	42	上声	kuən42		
棍	棍	棍	C	5140	k	uən	45	去声	kuən45		
哈	哈	哈	A3	52475	h	a	13	阴平	ha13		
傻	傻	傻	C	7167	h	a	42	上声	ha42	白读	
下	下	下	A1	621185	h	a	45	去声	ha45	白，等一下	
孩	孩	孩	A3	76620	h	ai	24	阳平	hai24		
鞋	鞋	鞋	B	11288	h	ai	24	阳平	hai24		
骸	骸	骸	D		h	ai	24	阳平	hai24		
嗨	嗨	嗨	D		h	ai	42	上声	hai42		
海	海	海	A2	209302	h	ai	42	上声	hai42		
亥	亥	亥	C	1528	h	ai	45	去声	hai45		
害	害	害	A3	69462	h	ai	45	去声	hai45		
氦	氦	氦	D		h	ai	45	去声	hai45		
駭	駭	骇	C	3577	h	ai	45	去声	hai45		
憨	憨	憨	C	780	h	an	13	阴平	han13		
罕	罕	罕	C	5409	h	an	13	阴平	han13		
蚶	蚶	蚶	D		h	an	13	阴平	han13		
酣	酣	酣	C	939	h	an	13	阴平	han13		
鼾	鼾	鼾	D		h	an	13	阴平	han13		
函	函	函	C	7672	h	an	24	阳平	han24		
函	函	函	C	7672	h	an	24	阳平	han24		
含	含	含	A3	34759	h	an	24	阳平	han24		
咸	咸	咸	C	3627	h	an	24	阳平	han24	老	
啣	啣	衔			h	an	24	阳平	han24	老	
寒	寒	寒	B	18684	h	an	24	阳平	han24		
汗	汗	汗	B	14011	h	an	24	阳平	han24	汗毛	
涵	涵	涵	C	4681	h	an	24	阳平	han24		
邯	邯	邯	E		h	an	24	阳平	han24		
銜	銜	衔			h	an	24	阳平	han24	老	
韓	韓	韩	B	20947	h	an	24	阳平	han24		
鹹	鹹	咸			h	an	24	阳平	han24	老	
喊	喊	喊	B	22779	h	an	42	上声	han42		
悍	悍	悍	C	1715	h	an	45	去声	han45		
憾	憾	憾	C	5036	h	an	45	去声	han45		
捍	捍	捍	C	1385	h	an	45	去声	han45		
撼	撼	撼	C	1922	h	an	45	去声	han45		
旱	旱	旱	C	3636	h	an	45	去声	han45		
汗	汗	汗	B	14011	h	an	45	去声	han45	汗水	
漢	漢	汉	A3	52656	h	an	45	去声	han45		
瀚	瀚	瀚	D		h	an	45	去声	han45		
焊	焊	焊	C	530	h	an	45	去声	han45		
翰	翰	翰	B	8279	h	an	45	去声	han45		
釬	釬	焊	E		h	an	45	去声	han45		
銲	銲	焊	E		h	an	45	去声	han45		
限	限	限	A3	66018	h	an	45	去声	han45		
陷	陷	陷			h	an	45	去声	han45	白	
頷	頷	颔	D		h	an	45	去声	han45		
夯	夯	夯	C	296	h	aŋ	13	阴平	haŋ13		
杭	杭	杭	C	4583	h	aŋ	24	阳平	haŋ24		
航	航	航	A3	46789	h	aŋ	24	阳平	haŋ24		
行	行	行	A1	531848	h	aŋ	24	阳平	haŋ24		
巷	巷	巷	C	4221	h	aŋ	45	去声	haŋ45		
項	項	项	A3	70453	h	aŋ	45	去声	haŋ45		
蒿	蒿	蒿	C	412	h	au	13	阴平	hau13		
薅	薅	薅			h	au	13	阴平	hau13	除草	
嚎	嚎	嚎	C	1408	h	au	24	阳平	hau24		
壕	壕	壕	C	1709	h	au	24	阳平	hau24		
毫	毫	毫	A3	38374	h	au	24	阳平	hau24		
豪	豪	豪	B	13680	h	au	24	阳平	hau24		
好	好	好	A1	411866	h	au	42	上声	hau42		
好	好	好	A1	411866	h	au	45	去声	hau45		
昊	昊	昊	E		h	au	45	去声	hau45		
浩	浩	浩	B	8387	h	au	45	去声	hau45		
灝	灝	灏	E		h	au	45	去声	hau45		
皓	皓	皓	D		h	au	45	去声	hau45		
耗	耗	耗	B	9999	h	au	45	去声	hau45		
號	號	号	A3	84335	h	au	45	去声	hau45		
鎬	鎬	镐	C	451	h	au	45	去声	hau45		
顥	顥	颢	E		h	au	45	去声	hau45		
劾	劾	劾	D		h	e	24	阳平	he24		
嘿	嘿	嘿	C	4102	h	e	24	阳平	he24		
嚇	嚇	吓	B	14620	h	e	24	阳平	he24		
嚇	嚇	吓	B	14620	h	e	24	阳平	he24		
核	核	核	A3	41944	h	e	24	阳平	he24		
褐	褐	褐	C	3032	h	e	24	阳平	he24		
覈	覈	核	E		h	e	24	阳平	he24		
閡	閡	阂	D		h	e	24	阳平	he24		
閡	閡	阂	D		h	e	24	阳平	he24		
黑	黑	黑	A3	78896	h	e	24	阳平	he24		
亨	亨	亨	D		h	ən	13	阴平	hən13		
哼	哼	哼	C	7419	h	ən	13	阴平	hən13		
恆	恆	恒	B	9483	h	ən	24	阳平	hən24		
桁	桁	桁	E		h	ən	24	阳平	hən24		
橫	橫	横	B	17912	h	ən	24	阳平	hən24	文读	
痕	痕	痕	C	7805	h	ən	24	阳平	hən24		
衡	衡	衡	B	17719	h	ən	24	阳平	hən24		
很	很	很	A2	284252	h	ən	42	上声	hən42		
狠	狠	狠	B	11116	h	ən	42	上声	hən42		
恆	恆	恒	匣	開	h	ən	45	去声	hən45	恒心	
恨	恨	恨	B	18702	h	ən	45	去声	hən45		
橫	橫	横	B	17912	h	ən	45	去声	hən45		
呵	呵	呵	B	8433	h	o	13	阴平	ho13		
呵	呵	嗬	E	8433	h	o	13	阴平	ho13		
喝	喝	喝	B	32112	h	o	13	阴平	ho13		
嗍	嗍	嗍	E		h	o	13	阴平	ho13	吸允	
訶	訶	诃	E		h	o	13	阴平	ho13		
欱	欱	欱			h	o	13	阴平	ho13	吸	
何	何	何	A2	184335	h	o	24	阳平	ho24		
佛	佛	佛	B	47038	h	o	24	阳平	ho24		
合	合	合	A2	239277	h	o	24	阳平	ho24		
和	和	和	A1	1010465	h	o	24	阳平	ho24		
河	河	河	A3	69687	h	o	24	阳平	ho24		
活	活	活	A2	189876	h	o	24	阳平	ho24		
涸	涸	涸	D		h	o	24	阳平	ho24		
盒	盒	盒	C	6506	h	o	24	阳平	ho24		
苛	苛	苛	C	1679	h	o	24	阳平	ho24		
荷	荷	荷	B	15249	h	o	24	阳平	ho24		
菏	菏	菏	E		h	o	24	阳平	ho24		
豁	豁	豁	C	2013	h	o	24	阳平	ho24		
貉	貉	貉	D		h	o	24	阳平	ho24		
閤	閤	合	A2	239277	h	o	24	阳平	ho24		
闔	闔	阖	D		h	o	24	阳平	ho24		
伙	伙	伙	D		h	o	42	上声	ho42		
夥	夥	伙	B	28724	h	o	42	上声	ho42		
火	火	火	A3	97760	h	o	42	上声	ho42		
和	和	和	A1	1010465	h	o	45	去声	ho45		
壑	壑	壑	D		h	o	45	去声	ho45		
惑	惑	惑	B	11829	h	o	45	去声	ho45		
或	或	或	A2	260786	h	o	45	去声	ho45	文读	
獲	獲	获	B	55064	h	o	45	去声	ho45		
禍	禍	祸	B	8336	h	o	45	去声	ho45		
穫	穫	获	B	55064	h	o	45	去声	ho45		
貨	貨	货	A3	42602	h	o	45	去声	ho45		
賀	賀	贺	B	10507	h	o	45	去声	ho45		
赫	赫	赫	B	17613	h	o	45	去声	ho45		
郝	郝	郝	E		h	o	45	去声	ho45		
鑊	鑊	镬	E		h	o	45	去声	ho45		
霍	霍	霍	B	15034	h	o	45	去声	ho45		
鶴	鶴	鹤	C	3133	h	o	45	去声	ho45		
封	封	封	A3	38954	h	oŋ	13	阴平	hoŋ13		
峰	峰	峰	B	14424	h	oŋ	13	阴平	hoŋ13		
楓	楓	枫	C	1418	h	oŋ	13	阴平	hoŋ13		
烘	烘	烘	C	1371	h	oŋ	13	阴平	hoŋ13		
烽	烽	烽	D		h	oŋ	13	阴平	hoŋ13		
瘋	瘋	疯	B	12771	h	oŋ	13	阴平	hoŋ13		
紅	紅	红	A3	81852	h	oŋ	13	阴平	hoŋ13		
蜂	蜂	蜂	B	7989	h	oŋ	13	阴平	hoŋ13		
豐	豐	丰	B	22439	h	oŋ	13	阴平	hoŋ13		
轟	轟	轰	B	19670	h	oŋ	13	阴平	hoŋ13		
鋒	鋒	锋	B	10783	h	oŋ	13	阴平	hoŋ13		
風	風	风	A2	121803	h	oŋ	13	阴平	hoŋ13		
齆	齆	齆	E		h	oŋ	13	阴平	hoŋ13		
宏	宏	宏	B	9134	h	oŋ	24	阳平	hoŋ24		
弘	弘	弘	D		h	oŋ	24	阳平	hoŋ24		
泓	泓	泓	D		h	oŋ	24	阳平	hoŋ24		
洪	洪	洪	B	17526	h	oŋ	24	阳平	hoŋ24		
縫	縫	缝	B	8512	h	oŋ	24	阳平	hoŋ24		
蕻	蕻	蕻	E		h	oŋ	24	阳平	hoŋ24		
虹	虹	虹	C	5670	h	oŋ	24	阳平	hoŋ24		
逢	逢	逢	C	5632	h	oŋ	24	阳平	hoŋ24		
馮	馮	冯	B	10128	h	oŋ	24	阳平	hoŋ24		
鴻	鴻	鸿	B	7931	h	oŋ	24	阳平	hoŋ24		
哄	哄	哄	C	3660	h	oŋ	42	上声	hoŋ42		
諷	諷	讽	C	4713	h	oŋ	42	上声	hoŋ42		
鬨	鬨	哄	D		h	oŋ	42	上声	hoŋ42		
俸	俸	俸	D		h	oŋ	45	去声	hoŋ45		
凰	凰	凰	C	3911	h	oŋ	45	去声	hoŋ45		
奉	奉	奉	B	16453	h	oŋ	45	去声	hoŋ45		
縫	縫	缝	B	8512	h	oŋ	45	去声	hoŋ45		
鳳	鳳	凤	B	13817	h	oŋ	45	去声	hoŋ45		
侯	侯	侯	B	9585	h	əu	24	阳平	həu24		
喉	喉	喉	C	6233	h	əu	24	阳平	həu24		
猴	猴	猴	C	5582	h	əu	24	阳平	həu24		
吼	吼	吼	C	5814	h	əu	42	上声	həu42		
候	候	候	A2	124865	h	əu	45	去声	həu45		
厚	厚	厚	B	20624	h	əu	45	去声	həu45		
后	后	后	A2	570764	h	əu	45	去声	həu45		
後	後	后	A2	570764	h	əu	45	去声	həu45		
逅	逅	逅	D		h	əu	45	去声	həu45		
几	几	几	A3	192355	tɕ	i	13	阴平	tɕi13		
唧	唧	唧	C	749	tɕ	i	13	阴平	tɕi13		
嘰	嘰	叽	C	1492	tɕ	i	13	阴平	tɕi13		
基	基	基	A2	153462	tɕ	i	13	阴平	tɕi13		
姬	姬	姬	D		tɕ	i	13	阴平	tɕi13		
屐	屐	屐	D		tɕ	i	13	阴平	tɕi13		
嵇	嵇	嵇	E		tɕ	i	13	阴平	tɕi13		
幾	幾	几	A3	192355	tɕ	i	13	阴平	tɕi13		
機	機	机	A2	339823	tɕ	i	13	阴平	tɕi13		
璣	璣	玑	D		tɕ	i	13	阴平	tɕi13		
磯	磯	矶	D		tɕ	i	13	阴平	tɕi13		
稽	稽	稽	C	4085	tɕ	i	13	阴平	tɕi13		
稽	稽	稽	C	4085	tɕ	i	13	阴平	tɕi13		
箕	箕	箕	C	388	tɕ	i	13	阴平	tɕi13		
羈	羈	羁	D		tɕ	i	13	阴平	tɕi13		
肌	肌	肌	B	7830	tɕ	i	13	阴平	tɕi13		
蛐	蛐	蛐			tɕ	i	13	阴平	tɕi13	叫蛐蛐	
蟣	蟣	虮	E		tɕ	i	13	阴平	tɕi13		
譏	譏	讥	C	2114	tɕ	i	13	阴平	tɕi13		
雞	雞	鸡	B	16164	tɕ	i	13	阴平	tɕi13		
飢	飢	饥	C	5689	tɕ	i	13	阴平	tɕi13		
饑	饑	饥	C	5689	tɕ	i	13	阴平	tɕi13		
躋	躋	跻			tɕ	i	13	阴平	tɕi13	新	
齏	齏	齑			tɕ	i	13	阴平	tɕi13	新	
亟	亟	亟	D		tɕ	i	24	阳平	tɕi24		
即	即	即	A2	146459	tɕ	i	24	阳平	tɕi24		
及	及	及	A2	202671	tɕ	i	24	阳平	tɕi24		
吉	吉	吉	A3	40081	tɕ	i	24	阳平	tɕi24		
圾	圾	圾	C	3102	tɕ	i	24	阳平	tɕi24		
奇	奇	奇	A3	71919	tɕ	i	24	阳平	tɕi24		
嫉	嫉	嫉	C	2892	tɕ	i	24	阳平	tɕi24		
岌	岌	岌	D		tɕ	i	24	阳平	tɕi24		
急	急	急	A3	60141	tɕ	i	24	阳平	tɕi24	文读	
擊	擊	击	A2	107513	tɕ	i	24	阳平	tɕi24		
棘	棘	棘	C	2256	tɕ	i	24	阳平	tɕi24		
極	極	极	A2	117736	tɕ	i	24	阳平	tɕi24		
殖	殖	殖	B	15118	tɕ	i	24	阳平	tɕi24		
汲	汲	汲	D		tɕ	i	24	阳平	tɕi24		
激	激	激	A3	52723	tɕ	i	24	阳平	tɕi24		
疾	疾	疾	B	19402	tɕ	i	24	阳平	tɕi24	新	
笈	笈	笈	E		tɕ	i	24	阳平	tɕi24		
級	級	级	A3	102018	tɕ	i	24	阳平	tɕi24		
緝	緝	缉	D		tɕ	i	24	阳平	tɕi24		
瘠	瘠	瘠			tɕ	i	24	阳平	tɕi24	新	
積	積	积			tɕ	i	24	阳平	tɕi24	新	
籍	籍	籍			tɕ	i	24	阳平	tɕi24	新	
績	績	绩			tɕ	i	24	阳平	tɕi24	新	
脊	脊	脊			tɕ	i	24	阳平	tɕi24	新	
藉	藉	藉			tɕ	i	24	阳平	tɕi24	新	
輯	輯	辑			tɕ	i	24	阳平	tɕi24	新	
集	集	集			tɕ	i	24	阳平	tɕi24	新	
鯽	鯽	鲫			tɕ	i	24	阳平	tɕi24	新	
幾	幾	几	A3	192355	tɕ	i	42	上声	tɕi42		
戟	戟	戟	D		tɕ	i	42	上声	tɕi42		
紀	紀	纪	A3	69045	tɕ	i	42	上声	tɕi42		
擠	擠	挤			tɕ	i	42	上声	tɕi42	新	
濟	濟	济			tɕ	i	42	上声	tɕi42	新	
己	己	己	A2	250894	tɕ	i	42	上声	tɕi42		
伎	伎	伎	E		tɕ	i	45	去声	tɕi45		
係	係	系	A3	190769	tɕ	i	45	去声	tɕi45		
冀	冀	冀	C	3487	tɕ	i	45	去声	tɕi45		
劑	劑	剂			tɕ	i	45	去声	tɕi45	新	
妓	妓	妓	C	2582	tɕ	i	45	去声	tɕi45		
季	季	季	B	19211	tɕ	i	45	去声	tɕi45		
寄	寄	寄	B	11729	tɕ	i	45	去声	tɕi45		
忌	忌	忌	B	7938	tɕ	i	45	去声	tɕi45		
悸	悸	悸	D		tɕ	i	45	去声	tɕi45		
技	技	技	A3	99790	tɕ	i	45	去声	tɕi45	新	
既	既	既	A3	51208	tɕ	i	45	去声	tɕi45		
暨	暨	暨	D		tɕ	i	45	去声	tɕi45		
寂	寂	寂			tɕ	i	45	去声	tɕi45	新	
濟	濟	济			tɕ	i	45	去声	tɕi45	新	
祭	祭	祭			tɕ	i	45	去声	tɕi45	新	
薺	薺	荠			tɕ	i	45	去声	tɕi45	新	
稷	稷	稷	D		tɕ	i	45	去声	tɕi45		
跡	跡	迹			tɕ	i	45	去声	tɕi45	新	
蹟	蹟	迹			tɕ	i	45	去声	tɕi45	新	
際	際	际			tɕ	i	45	去声	tɕi45	新	
繫	繫	系	A3	190769	tɕ	i	45	去声	tɕi45		
繼	繼	继	A3	60428	tɕ	i	45	去声	tɕi45		
聚	聚	聚			tɕ	i	45	去声	tɕi45	老	
薊	薊	蓟	E		tɕ	i	45	去声	tɕi45		
覬	覬	觊	D		tɕ	i	45	去声	tɕi45		
計	計	计	A2	171949	tɕ	i	45	去声	tɕi45		
記	記	记	A2	139501	tɕ	i	45	去声	tɕi45		
騎	騎	骑	B	16037	tɕ	i	45	去声	tɕi45		
伽	伽	伽	D		tɕ	ia	13	阴平	tɕia13		
傢	傢	家			tɕ	ia	13	阴平	tɕia13		
加	加	加			tɕ	ia	13	阴平	tɕia13		
咖	咖	咖	C	4366	tɕ	ia	13	阴平	tɕia13		
嘉	嘉	嘉			tɕ	ia	13	阴平	tɕia13		
家	家	家			tɕ	ia	13	阴平	tɕia13		
枷	枷	枷	C	845	tɕ	ia	13	阴平	tɕia13		
珈	珈	珈			tɕ	ia	13	阴平	tɕia13		
痂	痂	痂			tɕ	ia	13	阴平	tɕia13		
葭	葭	葭			tɕ	ia	13	阴平	tɕia13		
袈	袈	袈			tɕ	ia	13	阴平	tɕia13		
賈	賈	贾			tɕ	ia	13	阴平	tɕia13		
迦	迦	迦			tɕ	ia	13	阴平	tɕia13		
鎵	鎵	镓	E		tɕ	ia	13	阴平	tɕia13		
夾	夾	夹	B	9574	tɕ	ia	24	阳平	tɕia24	新	
甲	甲	甲	B	25620	tɕ	ia	24	阳平	tɕia24	新	
莢	莢	荚	C	511	tɕ	ia	24	阳平	tɕia24		
鉀	鉀	钾	C	709	tɕ	ia	24	阳平	tɕia24		
頰	頰	颊	C	3025	tɕ	ia	24	阳平	tɕia24		
假	假	假	A3	62691	l	ia	42	上声	lia42	训白	
假	假	假	A3	62691	tɕ	ia	42	上声	tɕia42		
價	價	价			tɕ	ia	45	去声	tɕia45		
嫁	嫁	嫁	見	開	tɕ	ia	45	去声	tɕia45		
架	架	架			tɕ	ia	45	去声	tɕia45		
稼	稼	稼			tɕ	ia	45	去声	tɕia45		
駕	駕	驾			tɕ	ia	45	去声	tɕia45		
兼	兼	兼	B	13656	tɕ	ien	13	阴平	tɕien13		
堅	堅	坚	A3	48749	tɕ	ien	13	阴平	tɕien13		
姦	姦	奸	C	7132	tɕ	ien	13	阴平	tɕien13		
尖	尖	尖	B	18036	tɕ	ien	13	阴平	tɕien13	新	
殲	殲	歼	B	8910	tɕ	ien	13	阴平	tɕien13	新	
監	監	监	A3	41082	tɕ	ien	13	阴平	tɕien13		
箋	箋	笺	D		tɕ	ien	13	阴平	tɕien13	新	
緘	緘	缄	D		tɕ	ien	13	阴平	tɕien13		
肩	肩	肩	B	15528	tɕ	ien	13	阴平	tɕien13	新	
艱	艱	艰	B	11164	tɕ	ien	13	阴平	tɕien13		
蒹	蒹	蒹	E		tɕ	ien	13	阴平	tɕien13		
間	間	间			tɕ	ien	13	阴平	tɕien13		
儉	儉	俭	C	2193	tɕ	ien	42	上声	tɕien42		
戩	戩	戬			tɕ	ien	42	上声	tɕien42	新	
揀	揀	拣	C	1981	tɕ	ien	42	上声	tɕien42		
撿	撿	捡	C	2653	tɕ	ien	42	上声	tɕien42		
柬	柬	柬	C	1772	tɕ	ien	42	上声	tɕien42		
檢	檢	检	A3	50413	tɕ	ien	42	上声	tɕien42		
減	減	减	A3	40011	tɕ	ien	42	上声	tɕien42	新	
剪	剪	剪			tɕ	ien	42	上声	tɕien42	新	
簡	簡	简	A3	52280	tɕ	ien	42	上声	tɕien42		
繭	繭	茧	C	904	tɕ	ien	42	上声	tɕien42		
鹼	鹼	碱	C	2250	tɕ	ien	42	上声	tɕien42		
件	件	件	A2	172895	tɕ	ien	45	去声	tɕien45		
健	健	健	B	32399	tɕ	ien	45	去声	tɕien45		
濺	濺	溅			tɕ	ien	45	去声	tɕien45	新	
劍	劍	剑	A3	39020	tɕ	ien	45	去声	tɕien45		
箭	箭	箭			tɕ	ien	45	去声	tɕien45	新	
建	建	建	A2	178289	tɕ	ien	45	去声	tɕien45		
檻	檻	槛	D		tɕ	ien	45	去声	tɕien45		
賤	賤	贱			tɕ	ien	45	去声	tɕien45	新	
毽	毽	毽	D		tɕ	ien	45	去声	tɕien45		
踐	踐	践			tɕ	ien	45	去声	tɕien45	新	
漸	漸	渐	A3	39010	tɕ	ien	45	去声	tɕien45	新	
澗	澗	涧	C	681	tɕ	ien	45	去声	tɕien45		
餞	餞	饯			tɕ	ien	45	去声	tɕien45	新	
監	監	监	A3	41082	tɕ	ien	45	去声	tɕien45		
荐	荐	荐	C	4406	tɕ	ien	45	去声	tɕien45	新	
見	見	见	A2	269080	tɕ	ien	45	去声	tɕien45		
鍵	鍵	键	B	14434	tɕ	ien	45	去声	tɕien45		
鑑	鑑	鉴	C	11090	tɕ	ien	45	去声	tɕien45		
鑒	鑒	鉴	C	11090	tɕ	ien	45	去声	tɕien45		
艦	艦	舰	A3	40500	tɕ	ien	45	去声	tɕien45		
僵	僵	僵	C	4668	tɕ	iaŋ	13	阴平	tɕiaŋ13		
姜	姜	姜	C	4261	tɕ	iaŋ	13	阴平	tɕiaŋ13		
疆	疆	疆	C	6779	tɕ	iaŋ	13	阴平	tɕiaŋ13		
薑	薑	姜	C	4261	tɕ	iaŋ	13	阴平	tɕiaŋ13		
韁	韁	缰	C	661	tɕ	iaŋ	13	阴平	tɕiaŋ13		
將	將	将			tɕ	iaŋ	13	阴平	tɕiaŋ13	新	
漿	漿	浆			tɕ	iaŋ	13	阴平	tɕiaŋ13	新	
槳	槳	桨			tɕ	iaŋ	42	上声	tɕiaŋ42	新	
