音标	调类	调值	
tɕiəu	5	213	救□（缩在一起）
tɕiəu	6	33	就旧
tɕʰiəu	1	21	秋（～天，～千）鞧（牛～）丘
tɕʰiəu	2	42	囚泅（游水）求球仇（姓）咎
tɕʰiəu	3	54	糗（面煮～了）
tɕʰiəu	6	33	臼舅
ɕiəu	1	21	修羞休
ɕiəu	3	54	朽嗅（用鼻～，用鼻子闻）
ɕiəu	5	213	秀绣宿（星～）锈（铁～）
ɕiəu	6	33	袖
ɕiəu	7	34	宿
iəu	1	21	忧优幽
iəu	2	42	尤邮由油游犹悠
iəu	3	54	有友酉
iəu	5	213	莠诱幼
iəu	6	33	又右佑柚鼬（黄～）釉
pæ̃	1	21	班斑颁扳扳般搬
pæ̃	3	54	板版□（摔）
pæ̃	5	213	扮瓣办半拌
pʰæ̃	1	21	攀潘
pʰæ̃	2	42	爿盘
pʰæ̃	5	213	盼襻（纽～）绊判伴
pʰæ̃	6	33	叛
mæ̃	2	42	蛮瞒馒（～头）
mæ̃	3	54	满
mæ̃	6	33	慢漫幔
fæ̃	1	21	翻番（几～）
fæ̃	2	42	凡帆藩烦藩矾繁
fæ̃	3	54	反
fæ̃	5	213	泛贩嬎（鸟下蛋）
fæ̃	6	33	范范犯饭
tæ̃	1	21	耽担（～任）丹单（～独）
tæ̃	3	54	胆掸（鸡毛～子）诞
tæ̃	5	213	担（挑～）旦
tæ̃	7	34	石
tʰæ̃	1	21	贪滩摊
tʰæ̃	2	42	潭谭谈痰檀坛弹（～琴）
tʰæ̃	3	54	毯坦
tʰæ̃	5	213	探（试～，侦～）炭叹
tʰæ̃	6	33	坍（～下来）淡但弹（子～）蛋
læ̃	2	42	南男蓝篮难（～易）兰拦栏
læ̃	3	54	溇（～柿子，～菜）览揽榄（橄～）懒
læ̃	6	33	滥缆难（患～）烂
kæ̃	1	21	甘柑泔（～水）尴（～尬）干肝竿（竹～）干（～湿）
kæ̃	3	54	感敢橄（～榄）杆秆（稻～）擀（～面）赶
kæ̃	5	213	干
kʰæ̃	1	21	堪龛看（～守）刊
kʰæ̃	3	54	坎砍
kʰæ̃	5	213	勘（～误，～探）看（～见）
ŋæ̃	1	21	庵安鞍
ŋæ̃	3	54	揞（手覆，～住）眼
ŋæ̃	5	213	暗岸按案
xæ̃	1	21	蚶（～子）憨（痴）鼾（睡时鼾声）
xæ̃	2	42	含函酣咸咸寒韩涎
xæ̃	3	54	喊罕
xæ̃	5	213	汉
xæ̃	6	33	撼憾旱汗焊（～铁壶）翰
tsæ̃	1	21	簪
tsæ̃	3	54	斩攒（积～）
tsæ̃	5	213	醮（打～，再～）暂錾（～花）蘸（～酱油）渐赞灒（溅）栈
tsæ̃	6	33	溅（～一身水）
tsʰæ̃	1	21	参搀餐
tsʰæ̃	2	42	蚕惭谗馋残□（~火，形容刀锋利）
tsʰæ̃	3	54	惨铲
tsʰæ̃	5	213	灿
tsʰæ̃	6	33	产
sæ̃	1	21	三珊山
sæ̃	3	54	散（鞋带～了）伞
sæ̃	5	213	散（分～）
tʂæ̃	1	21	沾粘（～贴）瞻占（～卜）毡
tʂæ̃	3	54	盏展
tʂæ̃	5	213	站（～立，车～）赚占绽（破～）战颤
tʂʰæ̃	2	42	蟾（～酥）缠蝉禅（～宗）
ʂæ̃	1	21	衫删扇
ʂæ̃	2	42	禅（～让）
ʂæ̃	3	54	陕（～西）闪疝（～气）
ʂæ̃	5	213	钐（大镰）膻扇善
ʂæ̃	6	33	膳单（姓）
ʐæ̃	2	42	然燃
ʐæ̃	3	54	染冉
piæ̃	1	21	鞭编边蝙
piæ̃	3	54	贬扁匾遍（～地）
piæ̃	5	213	变遍（一～）
piæ̃	6	33	辨辩汴
pʰiæ̃	1	21	篇偏
pʰiæ̃	2	42	便（～宜）
pʰiæ̃	3	54	片
pʰiæ̃	5	213	骗（骗～，欺～）
pʰiæ̃	6	33	便（方～）辫
miæ̃	2	42	绵棉眠
miæ̃	3	54	免勉娩（分～）缅渑（～池）
miæ̃	6	33	面
tiæ̃	1	21	掂（～掇）颠
tiæ̃	2	42	掮
tiæ̃	3	54	点典
tiæ̃	5	213	店
tʰiæ̃	1	21	添天
tʰiæ̃	2	42	甜田填
tʰiæ̃	3	54	舔（以舌取物，～笔）腆（～肚子）
tʰiæ̃	6	33	簟（席）电殿奠佃垫（～钱）
niæ̃	1	21	蔫（食物不新鲜，花萎）
niæ̃	2	42	黏（～米，～起来）鲇（～鱼）拈（～起来）年
niæ̃	3	54	碾捻（以指～碎）撵
niæ̃	5	213	辇
niæ̃	6	33	酽（～茶）念砚
liæ̃	2	42	廉镰帘连联怜莲楝（～树）
liæ̃	3	54	敛敛硷脸
liæ̃	6	33	练炼恋
tɕiæ̃	1	21	监（～察，～视，～牢，国子～）鉴尖歼（～灭）兼拣（～菜）艰间（空～，中～，～断，～或）奸煎笺肩坚
tɕiæ̃	2	42	犍（～为县）
tɕiæ̃	3	54	减碱检俭简袍柬拣谏涧锏（车～）剪茧跃笕（以竹通水）
tɕiæ̃	5	213	剑箭饯（～行）犍（～子）建键健腱见
tɕiæ̃	6	33	践贱荐
tɕʰiæ̃	1	21	鹐（鸟啄物）签谦迁千牵
tɕʰiæ̃	2	42	潜钳钱乾（～坤）虔前铅
tɕʰiæ̃	3	54	浅遣
tɕʰiæ̃	5	213	欠歉
tɕʰiæ̃	6	33	嵌件
ɕiæ̃	1	21	仙鲜（新～）掀先
ɕiæ̃	2	42	衔嫌闲贤弦
ɕiæ̃	3	54	险鲜（～少）癣显
ɕiæ̃	5	213	苋（～菜）线羡宪献
ɕiæ̃	6	33	陷馅限现县
iæ̃	1	21	淹阉盐（腌）烟燕（燕京，姓）
iæ̃	2	42	岩炎盐阎檐严颜焉（心不在～）延言研沿
iæ̃	3	54	埯（坑）掩魇俨（～然）演兖
iæ̃	5	213	厌晏（晚也）筵堰燕（～子）咽宴
iæ̃	6	33	验艳焰雁谚
fuæ̃	2	42	还（～原）环
tuæ̃	1	21	端
tuæ̃	3	54	短
tuæ̃	5	213	锻（～鍊）
tʰuæ̃	2	42	团
tʰuæ̃	3	54	疃
tʰuæ̃	6	33	断（决～，～绝）段缎椴
luæ̃	2	42	鸾
luæ̃	3	54	暖卵
luæ̃	6	33	乱
kuæ̃	1	21	官棺观（参～）冠（衣～）鳏（～寡）关
kuæ̃	3	54	管馆
kuæ̃	5	213	贯灌罐观（寺～）冠（～军）惯
kʰuæ̃	1	21	宽
kʰuæ̃	3	54	款
xuæ̃	1	21	欢
xuæ̃	2	42	桓
xuæ̃	3	54	缓幻
xuæ̃	5	213	唤焕
xuæ̃	6	33	换患宦
tsuæ̃	5	213	钻（动词）纂（编纂）撰
tsuæ̃	6	33	钻（木工用具）
tsʰuæ̃	1	21	汆（～丸子）
tsʰuæ̃	5	213	窜篡
suæ̃	1	21	酸门拴
suæ̃	5	213	算蒜涮（～洗）
tʂuæ̃	1	21	专砖膞（鸡～）
tʂuæ̃	3	54	专（～眼，～送）
tʂuæ̃	5	213	转（～螺丝，～圆圈）
tʂuæ̃	6	33	篆传（～记）
tʂʰuæ̃	1	21	川穿
tʂʰuæ̃	2	42	传（～达）椽船篅（盛谷具）
tʂʰuæ̃	3	54	喘
tʂʰuæ̃	5	213	串
ʐuæ̃	3	54	软
uæ̃	1	21	玩（古～，游～）豌（～豆）剜弯湾
uæ̃	2	42	完丸（肉～，弹～）顽（～皮，～固）
uæ̃	3	54	皖（安徽）碗晚挽
uæ̃	5	213	蔓（瓜～子）
uæ̃	6	33	腕万
kyæ̃	1	21	捐
kyæ̃	3	54	卷（～起）
kyæ̃	5	213	眷卷绢倦
kʰyæ̃	1	21	圈（圆～）
kʰyæ̃	2	42	拳权颧（～骨）
kʰyæ̃	3	54	犬
kʰyæ̃	5	213	劝券
kʰyæ̃	6	33	圈（猪～）
ŋyæ̃	3	54	阮
tɕʰyæ̃	2	42	全泉
ɕyæ̃	1	21	轩宣喧
ɕyæ̃	2	42	旋玄悬
ɕyæ̃	3	54	选
ɕyæ̃	5	213	楦（鞋～）
ɕyæ̃	6	33	旋（～吃～做）碹（～床）眩
yæ̃	1	21	冤渊
yæ̃	2	42	圆员缘元原源袁辕园援（～救）
yæ̃	3	54	宛远
yæ̃	5	213	怨
yæ̃	6	33	院愿
pən	1	21	奔锛奔崩
pən	3	54	本
pən	5	213	笨
pən	6	33	迸（～裂）
pʰən	1	21	喷（～水）烹
pʰən	2	42	盆朋彭膨（～胀）棚篷
pʰən	3	54	捧
pʰən	5	213	喷（～香，～嚏）
mən	2	42	门萌盟蒙
mən	3	54	猛懵（～懂）蠓（～虫）
mən	6	33	闷孟梦
fən	1	21	分（～开）芬纷风枫疯讽丰
fən	2	42	焚坟豶（牡豕）冯
fən	3	54	粉
fən	5	213	粪奋
fən	6	33	愤忿份（一～两～）凤
tən	1	21	敦（～厚）墩登灯东冬
tən	2	42	蹲
tən	3	54	等董懂
tən	5	213	顿扽沌盾（矛～，赵～）钝遁凳镫（鞍～）瞪（～眼）冻栋
tʰən	1	21	吞通熥（把包子～～）
tʰən	2	42	屯豚饨（馄～）臀囤腾誊藤疼同铜桐筒童瞳
tʰən	3	54	桶（～破了）统
tʰən	5	213	痛
tʰən	6	33	邓澄（水浑，～一～）动洞
lən	2	42	仑论（议～）能笼聋农脓侬（我，你）隆浓龙
lən	3	54	冷拢陇垄
lən	5	213	楞
lən	6	33	嫩论（～语）齈（多涕鼻疾）弄
kən	1	21	跟根更（～换，五～）粳（～米）庚羹耕公蚣蜈蚣工功攻攻击弓躬宫恭
kən	3	54	哽（骨～在喉）耿汞拱（～手）
kən	5	213	梗（梗子，茎）更（～加）贡供（～养，上～）□（够东西）
kən	6	33	共
kʰən	1	21	坑空（～虚）
kʰən	3	54	恳垦龈老鼠龈肯孔巩巩固恐
kʰən	5	213	控空（～缺）
kʰən	6	33	供（～给，～不起）
ŋən	1	21	恩
ŋən	6	33	硬
xən	1	21	亨
xən	2	42	痕恒衡横（～直，蛮～）
xən	3	54	很□（吝啬）
xən	6	33	恨哄
tsən	1	21	尊曾（姓）增棕鬃（马～，猪～）宗综（织布机上的综）踪纵（～横）
tsən	3	54	撙总
tsən	5	213	俊赠粽纵（放～）
tsən	6	33	憎锃（～光）
tsʰən	1	21	参（～差）村撑聪匆葱囱烟囱
tsʰən	2	42	岑存曾（～经）层丛崇从（～容，跟～）
tsʰən	5	213	衬忖寸蹭磨蹭掌椅子掌儿
sən	1	21	森参（人～）孙僧生牲笙甥松嵩
sən	2	42	松
sən	3	54	损省（～长，节～）怂恿
sən	5	213	渗（水渗透）送宋诵颂讼
tʂən	1	21	针斟珍榛臻真征（～求）蒸争筝睁贞侦正（～月）征中（当～）忠终钟盅
tʂən	3	54	枕诊疹准拯（～救）整种（～类）肿
tʂən	5	213	镇振震证症正政中（射～）仲众冢种（～树）
tʂən	6	33	重（轻～）
tʂʰən	1	21	椿（～树）春称（～呼，～重量）充冲春春米
tʂʰən	2	42	沉陈尘辰晨臣澄惩橙乘承丞澄橙（～子）呈程（姓）成城诚盛（～满了）虫重（～复）
tʂʰən	3	54	蠢逞（～能）宠
tʂʰən	5	213	趁称（相～）秤（一杆～）铳（放～）
tʂʰən	6	33	阵郑
ʂən	1	21	深身申伸娠升声
ʂən	2	42	神唇绳塍（田～）
ʂən	3	54	沈审婶
ʂən	5	213	胜（～败）圣
ʂən	6	33	葚（桑～）甚肾慎顺舜剩胜（～任）盛（兴～）
ʐən	2	42	壬任（姓）人仁仍扔戎绒茸（参～）
ʐən	3	54	忍冗（拨～，～长）□（～毛）
ʐən	6	33	任（责～）纫（缝～）刃认韧
fuən	1	21	昏婚轰（～出去）烘（～干）封峰蜂锋
fuən	2	42	魂浑（～浊）弘宏红洪鸿虹逢缝（～衣服）
fuən	3	54	轰哄（～骗）
fuən	6	33	馄（馄～）混（相～，～沌）奉俸缝（一条～）
luən	2	42	伦沦轮
kuən	3	54	滚
kuən	5	213	棍
kʰuən	1	21	昆坤
kʰuən	3	54	捆
kʰuən	5	213	困
xuən	1	21	荤
tsuən	1	21	遵
tsʰuən	1	21	皴（脸～）
suən	2	42	□（讨厌，~人子）
suən	3	54	笋榫（～头）
tʂʰuən	2	42	纯莼（～菜）醇（酒味～）
ʐuən	6	33	润闰
uən	1	21	温瘟翁瓮
uən	2	42	文纹蚊闻
uən	3	54	稳吻勿
uən	6	33	问璺（裂～）
kyn	1	21	均钧君军
kyn	5	213	肫（～肝）窘菌郡
kʰyn	2	42	群裙
tɕyn	6	33	迥（～然不同）
tɕʰyn	2	42	琼
tɕʰyn	6	33	倾
ɕyn	1	21	熏勋薰兄
ɕyn	2	42	荀旬循巡
ɕyn	5	213	殉
ɕyn	6	33	逊迅浚（～河）训
yn	1	21	雍痈
yn	2	42	匀云荣融容蓉（芙～）熔庸
yn	3	54	允永拥壅（施肥）甬（～道）勇涌
yn	6	33	熨韵运晕孕泳咏用
pin	1	21	彬宾槟（～榔）冰兵
pin	3	54	禀丙秉柄饼
pin	5	213	殡鬓并（合～）
pʰin	1	21	拚（～命）姘（～头）拼
pʰin	2	42	贫频（～繁）凭平坪评瓶屏（围～）萍
pʰin	3	54	品
pʰin	5	213	聘
min	2	42	闽（～越）民鸣明名铭
min	3	54	悯敏抿皿
tin	1	21	靪疔
tin	3	54	顶鼎
tin	5	213	订（订约）锭□（吃东西不消化）
tʰin	1	21	厅汀
tʰin	2	42	亭停廷庭蜓（蜻蜓）
tʰin	3	54	艇挺
tʰin	6	33	定
nin	2	42	凝（汤～成冻了，安～，沪～，宁～）可佞
lin	2	42	林淋（～漓，～湿）临邻鳞磷陵凌菱灵零铃伶拎翎
lin	3	54	檩领岭
lin	6	33	赁（租～）吝（吝～）令另
tɕin	1	21	今金禁（～不住）襟津巾斤筋京荆惊精晶睛（眼～）经（～纬，～线）
tɕin	2	42	茎鲸
tɕin	3	54	锦紧仅谨景警井颈（～椎）
tɕin	5	213	禁（～止）进晋劲（有～，～敌）境敬竟镜竞径
tɕin	6	33	浸尽（～前）静靖净
tɕʰin	1	21	□（资料中缺少此音节，可能有字缺漏）
tɕʰin	2	42	□（资料中缺少此音节，可能有字缺漏）
tɕʰin	3	54	□（资料中缺少此音节，可能有字缺漏）
tɕʰin	5	213	□（资料中缺少此音节，可能有字缺漏）
tɕʰin	6	33	□（资料中缺少此音节，可能有字缺漏）
ɕin	1	21	心辛新薪欣兴（～旺）星馨胸凶（～吉，～恶）
ɕin	2	42	行（～爲，品～）形型刑陉（井～）熊雄
ɕin	3	54	省（反～）
ɕin	5	213	信讯衅（挑～）兴（高～）幸性姓
ɕin	6	33	杏
in	1	21	音阴因姻泅殷鹰莺鹦（～鹉，～哥）樱（～桃）英婴缨
in	2	42	吟淫银寅蝇迎盈赢营莹萤荥（～阳）
in	3	54	饮（米汤，～酒，～马）引隐影颖
in	5	213	荫（屋子很～）窨（地～子）印应（～当，～用）
in	6	33	尹应（～对，响～）
pɑŋ	1	21	帮邦浜（一条～）
pɑŋ	3	54	榜绑□（差不多，~间儿）
pɑŋ	5	213	谤傍
pɑŋ	6	33	棒蚌
pʰɑŋ	1	21	滂（～沱）肨（肿）
pʰɑŋ	2	42	旁螃（～蟹）庞
pʰɑŋ	5	213	胖
pʰɑŋ	6	33	蚌
mɑŋ	2	42	忙芒茫芒（麦～儿）盲虻（牛～）
mɑŋ	3	54	莽蟒
fɑŋ	1	21	方肪（脂～）芳妨（～害）
fɑŋ	2	42	房防
fɑŋ	3	54	纺仿（做效，相似，～佛）
fɑŋ	5	213	放访
tɑŋ	1	21	当（～时，应～）
tɑŋ	3	54	党挡（阻～）
tɑŋ	5	213	当（～作，典～）铛（烙饼用具）
tɑŋ	6	33	荡（放～）宕（延～）
tʰɑŋ	1	21	汤
tʰɑŋ	2	42	堂棠螳（～螂）唐糖塘
tʰɑŋ	3	54	倘（～使）躺趟（一～）
tʰɑŋ	6	33	烫
lɑŋ	2	42	囊郎廊狼螂□（磨~，性格木讷做事速度慢）
lɑŋ	3	54	曩郎
lɑŋ	6	33	浪
kɑŋ	1	21	冈岗刚纲钢缸豇（～豆）
kɑŋ	5	213	钢（刀钝了，～～）杠
kʰɑŋ	1	21	康糠扛
kʰɑŋ	5	213	慷（～慨）抗炕囥（藏）
ŋɑŋ	1	21	肮（～脏）
ŋɑŋ	2	42	昂□（哭）
xɑŋ	1	21	夯（打～）
xɑŋ	2	42	行（～列，银～）航杭
xɑŋ	6	33	巷
tsɑŋ	1	21	赃脏（不干净）
tsɑŋ	5	213	葬藏（西～）
tsʰɑŋ	1	21	仓苍
tsʰɑŋ	2	42	藏（隐～）
sɑŋ	1	21	桑
sɑŋ	3	54	磉（柱下石）嗓搡
sɑŋ	5	213	丧（婚～，～失）
tʂɑŋ	1	21	张章樟
tʂɑŋ	3	54	长（生～）涨掌
tʂɑŋ	5	213	帐账胀障（保～）瘴（～气）
tʂɑŋ	6	33	仗
tʂʰɑŋ	1	21	昌菖（～蒲）
tʂʰɑŋ	2	42	长（～短）肠场常偿
tʂʰɑŋ	3	54	畅厂
tʂʰɑŋ	5	213	唱倡（提～）
tʂʰɑŋ	6	33	丈杖
ʂɑŋ	1	21	商伤
ʂɑŋ	2	42	尝裳（衣～）
ʂɑŋ	3	54	赏晌（～午）饷
ʂɑŋ	6	33	上（～山，～面）尚
ʐɑŋ	2	42	瓤（瓜～）穰（禾茎）
ʐɑŋ	3	54	壤（土～）攘嚷
ʐɑŋ	6	33	让
pʰiɑŋ	6	33	病
miɑŋ	6	33	命
tiɑŋ	1	21	丁钉（铁～）
tiɑŋ	5	213	钉（～住）
tʰiɑŋ	5	213	听（～见，～话，～其自然，～任）
niɑŋ	2	42	娘
niɑŋ	3	54	仰
niɑŋ	6	33	酿
liɑŋ	2	42	良凉量（～长短）粮梁粱
liɑŋ	3	54	两（～个，几～几钱）
liɑŋ	6	33	亮谅辆量（数～）
tɕiɑŋ	1	21	将（～来）浆疆僵姜矿（～石）缰（～绳）姜江
tɕiɑŋ	3	54	蒋奖桨讲港（～口）耧（～地）埂（田～）
tɕiɑŋ	5	213	酱将（大～）降（下～）虹（天上的虹）
tɕʰiɑŋ	1	21	枪羌腔
tɕʰiɑŋ	2	42	墙强
tɕʰiɑŋ	3	54	抢强（勉～，倔～）
tɕʰiɑŋ	5	213	磬（钟～）
tɕʰiɑŋ	6	33	匠像
ɕiɑŋ	1	21	相（互～）箱厢湘襄镶香乡腥
ɕiɑŋ	2	42	详祥降（～伏，投～）
ɕiɑŋ	3	54	想誊享响醒
ɕiɑŋ	5	213	向
ɕiɑŋ	6	33	相（～貌）象橡（～树）项
iɑŋ	1	21	央秧殃
iɑŋ	2	42	羊洋烊（融化）杨阳扬疡（溃～）
iɑŋ	3	54	养痒映
iɑŋ	6	33	样
fuɑŋ	1	21	荒慌
fuɑŋ	2	42	黄簧（锁～）皇蝗
fuɑŋ	3	54	谎
kuɑŋ	1	21	光
kuɑŋ	3	54	广
kuɑŋ	5	213	桄（一～线）逛
kʰuɑŋ	1	21	匡筐眶（眼～）
kʰuɑŋ	2	42	狂
kʰuɑŋ	5	213	旷况矿
xuɑŋ	6	33	晃（～眼）
tsuɑŋ	1	21	庄桩
tsuɑŋ	5	213	壮状
tsʰuɑŋ	1	21	疮窗
tsʰuɑŋ	2	42	床
tsʰuɑŋ	3	54	闯创撞
suɑŋ	1	21	霜孀双
suɑŋ	3	54	爽
suɑŋ	5	213	双（～生）
tʂuɑŋ	1	21	装
uɑŋ	1	21	汪（一～水）
uɑŋ	2	42	亡王
uɑŋ	3	54	网辋（车～）枉往
uɑŋ	6	33	忘望旺（兴～，火～）
