#a								
ŋ	[8]逆厄[9]額扼軛							
h	[7]轄[8]瞎[9]客嚇赫							
∅	[9]鐲{訓}							
#ɐk								
p	[7]北迫帛逼							
pʰ	[7]碧僻闢							
m	[7]□{夜里}□{剝開、撕開}[8]覓墨默陌							
v	[8]域							
t	[7]得德的滴[8]狄特敵嫡糴							
tʰ	[7]剔							
n	[7]□{名詞，刺}□{用拇指與食指捏住}[8]溺匿							
l	[8]勒肋曆歷力							
ts	[7]責積隻炙績稷鲫織職則即[8]蟄籍藉寂植殖直值擇澤棘							
tsʰ	[7]惻測側斥戚[8]賊							
s	[7]析{分～}塞適釋昔惜{可～}夕色識式飾息熄媳							
h	[7]黑[8]核							
j	[7]益抑億憶[8]液腋亦役易疫譯翼							
#ɔk								
p	[8]泊博薄卜[9]駁剥							
pʰ	[8]璞[9]撲							
m	[8]膜莫実漠							
v	[8]鑊獲[9]握							
t	[8]踱鐸度{～身}							
tʰ	[9]托託禿							
l	[8]烙酪樂洛絡落駱							
ts	[8]濯着[9]作鑿昨卓桌着{～衫}酌							
tsʰ	[7]戳							
s	[7]朔塑[8]勺钁[9]索							
k	[7]國葛[9]郭胳閣各角覺							
kʰ	[9]廓確霍藿							
ŋ	[7]愕[8]鄂鱷樂岳嶽							
h	[8]鶴[9]殼壑喝學							
j	[8]弱虐瘧[9]若約躍藥鑰							
∅	[9]惡							
#uk								
p	[8]僕仆{～人}幅							
pʰ	[7]撲仆{～倒}							
m	[8]木目沐牧穆							
f	[7]福蝠復覆哭[8]伏服袱腹							
t	[7]督篤築[8]毒獨牘讀							
n	[8]□{用力踩}							
l	[8]六陸鹿禄戮録緑							
ts	[7]捉粥竹祝足[8]軸逐族濁囑							
tsʰ	[7]畜蓄促觸							
s	[7]叔夙速宿肅縮束粟摔[8]俗蜀屬續贖淑熟							
k	[7]谷穀菊麴[8]鋦局							
kʰ	[7]酷曲							
j	[7]畜沃育郁旭[8]肉浴欲慾玉獄辱褥							
∅	[7]屋							
#iak								
p	[9]壁璧霹							
pʰ	[9]劈							
t	[9]笛							
tʰ	[9]踢							
k	[8]屐劇							
ts	[8]席[9]迹脊							
tsʰ	[9]鵲							
s	[9]惜{白}錫鵲{阿～：喜鵲}							
#iɐk								
k	[7]激擊[8]極							
kʰ	[7]刻克							
#iɔk								
t	[7]□{无咁～：沒那麽簡單，沒那麽便宜}[8]斫[9]啄琢							
l	[7]掠[8]掠略							
ts	[9]爵雀							
s	[9]削							
k	[9]脚							
kʰ	[9]却							
#ŋ								
∅	[2]吳吾梧[3]五午伍[5]瓮[6]悟誤							
#m								
∅	[2]唔							
