简体	繁體	声	韵	调	备注	其他的话	音標
车	車	ʨ	y	阴平	～马炮		ʨy˧˧˦
拘	拘	ʨ	y	阴平			ʨy˧˧˦
驹	駒	ʨ	y	阴平			ʨy˧˧˦
龟	龜	ʨ	y	阴平			ʨy˧˧˦
举	舉	ʨ	y	阴上			ʨy˥˧
矩	矩	ʨ	y	阴上			ʨy˥˧
鬼	鬼	ʨ	y	阴上			ʨy˥˧
癸	癸	ʨ	y	阴上			ʨy˥˧
诡	詭	ʨ	y	阴上	1		ʨy˥˧
据	據	ʨ	y	阴去			ʨy˥˥˦
锯	鋸	ʨ	y	阴去			ʨy˥˥˦
句	句	ʨ	y	阴去			ʨy˥˥˦
鳜	鱖	ʨ	y	阴去			ʨy˥˥˦
桂	桂	ʨ	y	阴去			ʨy˥˥˦
贵	貴	ʨ	y	阴去			ʨy˥˥˦
区	區	ʨʰ	y	阴平			ʨʰy˧˧˦
驱	驅	ʨʰ	y	阴平			ʨʰy˧˧˦
亏	虧	ʨʰ	y	阴平	1		ʨʰy˧˧˦
去	去	ʨʰ	y	阴去	2		ʨʰy˥˥˦
渠	渠	ʥ	y	阳平			ʥy˨˧˩
瞿	瞿	ʥ	y	阳平			ʥy˨˧˩
葵	葵	ʥ	y	阳平			ʥy˨˧˩
轨	軌	ʥ	y	阳上			ʥy˧˩
跪	跪	ʥ	y	阳上			ʥy˧˩
具	具	ʥ	y	阳去			ʥy˨˩˧
惧	懼	ʥ	y	阳去			ʥy˨˩˧
柜	櫃	ʥ	y	阳去			ʥy˨˩˧
巨	巨	ʥ	y	阳去			ʥy˨˩˧
拒	拒	ʥ	y	阳去			ʥy˨˩˧
距	距	ʥ	y	阳去			ʥy˨˩˧
俱	俱	ʥ	y	阳去	～乐部		ʥy˨˩˧
苣	苣	ʥ	y	阳去	莴～菜		ʥy˨˩˧
虚	虛	ɕ	y	阴平			ɕy˧˧˦
嘘	噓	ɕ	y	阴平			ɕy˧˧˦
许	許	ɕ	y	阴上			ɕy˥˧
鱼	魚	ȵ	y	阳平			ȵy˨˧˩
渔	漁	ȵ	y	阳平			ȵy˨˧˩
愚	愚	ȵ	y	阳平			ȵy˨˧˩
虞	虞	ȵ	y	阳平			ȵy˨˧˩
语	語	ȵ	y	阳上			ȵy˧˩
女	女	ȵ	y	阳上			ȵy˧˩
御	禦	ȵ	y	阳去			ȵy˨˩˧
御	禦	ȵ	y	阳去			ȵy˨˩˧
遇	遇	ȵ	y	阳去			ȵy˨˩˧
寓	寓	ȵ	y	阳去		方言志为阳上	ȵy˨˩˧
于	於		y	阴平			y˧˧˦
淤	淤		y	阴平			y˧˧˦
迂	迂		y	阴平			y˧˧˦
于	於		y	阴平			y˧˧˦
盂	盂		y	阴平			y˧˧˦
余	餘		y	阳平		方言志中声母为ɥ	y˨˧˩
余	餘		y	阳平			y˨˧˩
畦	畦		y	阳平			y˨˧˩
为	為		y	阳平	1		y˨˧˩
围	圍		y	阳平	～中	方言志中声母为ɥ	y˨˧˩
委	委		y	阴上	1	方言志中为ue41	y˥˧
□	□		y	阴上	看守		y˥˧
雨	雨		y	阳上		方言志中声母为ɥ	y˧˩
禹	禹		y	阳上			y˧˩
羽	羽		y	阳上		方言志中声母为ɥ	y˧˩
椅	椅		y	阳上	交～、躺～	方言志中为i53	y˧˩
誉	譽		y	阴去			y˥˥˦
预	預		y	阳去		方言志中声母为ɥ	y˨˩˧
豫	豫		y	阳去			y˨˩˧
吁	籲		y	阳去		方言志中声母为ɥ	y˨˩˧
榆	榆		y	阳去		方言志中声母为ɥ	y˨˩˧
逾	逾		y	阳去			y˨˩˧
愉	愉		y	阳去		方言志中声母为ɥ	y˨˩˧
宇	宇		y	阳去			y˨˩˧
愈	愈		y	阳去			y˨˩˧
芋	芋		y	阳去			y˨˩˧
喻	喻		y	阳去			y˨˩˧
裕	裕		y	阳去			y˨˩˧
惠	惠		y	阳去			y˨˩˧
慧	慧		y	阳去			y˨˩˧
穗	穗		y	阳去	2，麦～		y˨˩˧
位	位		y	阳去	1		y˨˩˧
谓	謂		y	阳去			y˨˩˧
猪	豬	ʦ	ʮ	阴平	2		ʦʮ˧˧˦
诸	諸	ʦ	ʮ	阴平			ʦʮ˧˧˦
诛	誅	ʦ	ʮ	阴平			ʦʮ˧˧˦
株	株	ʦ	ʮ	阴平			ʦʮ˧˧˦
朱	朱	ʦ	ʮ	阴平			ʦʮ˧˧˦
硃	硃	ʦ	ʮ	阴平			ʦʮ˧˧˦
珠	珠	ʦ	ʮ	阴平			ʦʮ˧˧˦
追	追	ʦ	ʮ	阴平			ʦʮ˧˧˦
主	主	ʦ	ʮ	阴上			ʦʮ˥˧
嘴	嘴	ʦ	ʮ	阴上			ʦʮ˥˧
着	著	ʦ	ʮ	阴去	显～	文中原为“阴平”，应为阴去之误	ʦʮ˥˥˦
注	注	ʦ	ʮ	阴去		文中原为“阴平”，应为阴去之误	ʦʮ˥˥˦
蛀	蛀	ʦ	ʮ	阴去		文中原为“阴平”，应为阴去之误	ʦʮ˥˥˦
铸	鑄	ʦ	ʮ	阴去		文中原为“阴平”，应为阴去之误	ʦʮ˥˥˦
醉	醉	ʦ	ʮ	阴去	1	文中原为“阴平”，应为阴去之误	ʦʮ˥˥˦
煮	煮	ʦ	ʮ	阴去		文中原为“阴平”，应为阴去之误	ʦʮ˥˥˦
疰	疰	ʦ	ʮ	阴去	～夏	文中原为“阴平”，应为阴去之误	ʦʮ˥˥˦
吹	吹	ʦʰ	ʮ	阴平			ʦʰʮ˧˧˦
炊	炊	ʦʰ	ʮ	阴平			ʦʰʮ˧˧˦
取	取	ʦʰ	ʮ	阴上			ʦʰʮ˥˧
娶	娶	ʦʰ	ʮ	阴上			ʦʰʮ˥˧
褚	褚	ʦʰ	ʮ	阴上	1		ʦʰʮ˥˧
□	□	ʦʰ	ʮ	阴上	赎		ʦʰʮ˥˧
处	處	ʦʰ	ʮ	阴上	～理		ʦʰʮ˥˧
趣	趣	ʦʰ	ʮ	阴去			ʦʰʮ˥˥˦
处	處	ʦʰ	ʮ	阴去	相～、～所		ʦʰʮ˥˥˦
脆	脆	ʦʰ	ʮ	阴去			ʦʰʮ˥˥˦
庴	庴	ʦʰ	ʮ	阴去	家		ʦʰʮ˥˥˦
杵	杵	ʦʰ	ʮ	阴去		方言志中为阴上	ʦʰʮ˥˥˦
除	除	ʣ	ʮ	阳平			ʣʮ˨˧˩
厨	廚	ʣ	ʮ	阳平			ʣʮ˨˧˩
槌	槌	ʣ	ʮ	阳平			ʣʮ˨˧˩
锤	錘	ʣ	ʮ	阳平			ʣʮ˨˧˩
橱	櫥	ʣ	ʮ	阳平			ʣʮ˨˧˩
绪	緒	ʣ	ʮ	阳上			ʣʮ˧˩
储	儲	ʣ	ʮ	阳上		方言志中为阳去	ʣʮ˧˩
署	署	ʣ	ʮ	阳上			ʣʮ˧˩
柱	柱	ʣ	ʮ	阳上			ʣʮ˧˩
住	住	ʣ	ʮ	阳去		文中原为“往”，应为“住”之误	ʣʮ˨˩˧
驻	駐	ʣ	ʮ	阳去			ʣʮ˨˩˧
坠	墜	ʣ	ʮ	阳去			ʣʮ˨˩˧
须	須	s	ʮ	阴平			sʮ˧˧˦
需	需	s	ʮ	阴平		方言志中声母为ɕ	sʮ˧˧˦
须	鬚	s	ʮ	阴平			sʮ˧˧˦
书	書	s	ʮ	阴平			sʮ˧˧˦
舒	舒	s	ʮ	阴平			sʮ˧˧˦
输	輸	s	ʮ	阴平			sʮ˧˧˦
虽	雖	s	ʮ	阴平			sʮ˧˧˦
绥	綏	s	ʮ	阴平			sʮ˧˧˦
尿	尿	s	ʮ	阴平			sʮ˧˧˦
褚	褚	s	ʮ	阴上	2		sʮ˥˧
暑	暑	s	ʮ	阴上			sʮ˥˧
数	數	s	ʮ	阴上	动词		sʮ˥˧
水	水	s	ʮ	阴上			sʮ˥˧
絮	絮	s	ʮ	阴去	2		sʮ˥˥˦
恕	恕	s	ʮ	阴去			sʮ˥˥˦
黍	黍	s	ʮ	阴去			sʮ˥˥˦
数	數	s	ʮ	阴去	名词		sʮ˥˥˦
岁	歲	s	ʮ	阴去			sʮ˥˥˦
税	稅	s	ʮ	阴去			sʮ˥˥˦
徐	徐	z	ʮ	阳平			zʮ˨˧˩
如	如	z	ʮ	阳平			zʮ˨˧˩
殊	殊	z	ʮ	阳平			zʮ˨˧˩
儒	儒	z	ʮ	阳平			zʮ˨˧˩
随	隨	z	ʮ	阳平			zʮ˨˧˩
谁	誰	z	ʮ	阳平			zʮ˨˧˩
序	序	z	ʮ	阳上			zʮ˧˩
叙	敘	z	ʮ	阳上			zʮ˧˩
竖	豎	z	ʮ	阳上			zʮ˧˩
遂	遂	z	ʮ	阳上			zʮ˧˩
隧	隧	z	ʮ	阳上			zʮ˧˩
聚	聚	z	ʮ	阳上			zʮ˧˩
树	樹	z	ʮ	阳去			zʮ˨˩˧
穗	穗	z	ʮ	阳去	1	方言志中声母为s，阴调	zʮ˨˩˧
□	□	ʔb	a	阴平	拉开、展开		ʔba˧˧˦
盲	盲	ʔb	a	阴平	～眼2		ʔba˧˧˦
□	□	ʔb	a	阴去	拉、拔		ʔba˥˥˦
柄	柄	ʔb	a	阴去			ʔba˥˥˦
柏	柏	ʔb	a	阴入			ʔba˦˨˧
伯	伯	ʔb	a	阴入			ʔba˦˨˧
迫	迫	ʔb	a	阴入			ʔba˦˨˧
褙	褙	ʔb	a	阴入	袼褙		ʔba˦˨˧
烹	烹	pʰ	a	阴平		方言志中韵母为ã	pʰa˧˧˦
□	□	pʰ	a	阴平	～pʰɑum55：一种野生藤萝		pʰa˧˧˦
拍	拍	pʰ	a	阴入			pʰa˦˨˧
魄	魄	pʰ	a	阴入			pʰa˦˨˧
𤖼	𤖼	pʰ	a	阴入	撕开、用手分开		pʰa˦˨˧
彭	彭	b	a	阳平		方言志中韵母为ã	ba˨˧˩
膨	膨	b	a	阳平		方言志中韵母为ã	ba˨˧˩
碰	碰	b	a	阳去		方言志中为pʰoŋ，阴调	ba˨˩˧
甏	甏	b	a	阳去		方言志中韵母为ã	ba˨˩˧
白	白	b	a	阳入			ba˧˥
帛	帛	b	a	阳入		方言志中韵母为ɔ	ba˧˥
盲	盲	m	a	阳平		方言志中韵母为ã	ma˨˧˩
虻	虻	m	a	阳平		方言志中韵母为ã	ma˨˧˩
猛	猛	m	a	阳上	很	方言志中韵母为ã，阳去	ma˧˩
孟	孟	m	a	阳去		方言志中韵母为ã，阳上	ma˨˩˧
猛	猛	m	a	阳去		方言志中韵母为ã	ma˨˩˧
麦	麥	m	a	阳入			ma˧˥
脉	脈	m	a	阳入			ma˧˥
勿	勿	f	a	阴入		方言志中为“弗”字	fa˦˨˧
□	□	ʔd	a	阴平	脚～：踝骨		ʔda˧˧˦
摘	摘	ʔd	a	阴入			ʔda˦˨˧
澄	澄	ʔd	a	阴入	黄～～		ʔda˦˨˧
□	□	tʰ	a	阴平	～锣：小锣		tʰa˧˧˦
若	若	d	a	阳去	～干：什么		da˨˩˧
打	打	n	a	阴上			na˥˧
□	□	n	a	阳上	这样。怎～：怎么		na˧˩
冷	冷	l	a	阳上		方言志中韵母为ã	la˧˩
争	爭	ʦ	a	阴平			ʦa˧˧˦
睁	睜	ʦ	a	阴平	2		ʦa˧˧˦
争	爭	ʦ	a	阴平	相差、缺少		ʦa˧˧˦
胀	脹	ʦ	a	阴上			ʦa˥˧
怎	怎	ʦ	a	阴上		方言志中为阴去	ʦa˥˧
□	□	ʦ	a	阴入	～：烤火		ʦa˦˨˧
责	責	ʦ	a	阴入	1		ʦa˦˨˧
撑	撐	ʦʰ	a	阴平			ʦʰa˧˧˦
睁	睜	ʦʰ	a	阴平	1		ʦʰa˧˧˦
拆	拆	ʦʰ	a	阴入			ʦʰa˦˨˧
策	策	ʦʰ	a	阴入			ʦʰa˦˨˧
册	冊	ʦʰ	a	阴入			ʦʰa˦˨˧
坼	坼	ʦʰ	a	阴入			ʦʰa˦˨˧
□	□	ʣ	a	阳去	～伤：受伤		ʣa˨˩˧
扎	紮	ʣ	a	阳去	硬～	方言志中为ʦɑ435	ʣa˨˩˧
泽	澤	ʣ	a	阳入			ʣa˧˥
择	擇	ʣ	a	阳入	2		ʣa˧˥
宅	宅	ʣ	a	阳入			ʣa˧˥
责	責	ʣ	a	阳入	2		ʣa˧˥
□	□	ʣ	a	阳入	雪～子：霰		ʣa˧˥
生	生	s	a	阴平		方言志中韵母为ã	sa˧˧˦
牲	牲	s	a	阴平			sa˧˧˦
笙	笙	s	a	阴平			sa˧˧˦
甥	甥	s	a	阴平			sa˧˧˦
省	省	s	a	阴上	节～、～长		sa˥˧
索	索	s	a	阴入	～取	方言志中韵母为ɔ	sa˦˨˧
□	□	z	a	阳入	～眼：晃眼		za˧˥
更	更	k	a	阴平	五～、～换	方言志中韵母为ã	ka˧˧˦
庚	庚	k	a	阴平		方言志中韵母为ã	ka˧˧˦
羹	羹	k	a	阴平		方言志中韵母为ã	ka˧˧˦
耕	耕	k	a	阴平		方言志中韵母为ã	ka˧˧˦
哽	哽	k	a	阴上		方言志中韵母为ã	ka˥˧
耿	耿	k	a	阴上		方言志中韵母为ã	ka˥˧
粳	粳	k	a	阴上		方言志中韵母为ã	ka˥˧
更	更	k	a	阴去	～加	方言志中韵母为ã	ka˥˥˦
□	□	k	a	阴去	挤、钻		ka˥˥˦
格	格	k	a	阴入			ka˦˨˧
革	革	k	a	阴入			ka˦˨˧
隔	隔	k	a	阴入			ka˦˨˧
□	□	k	a	阴入	～蜢：蚱蜢		ka˦˨˧
坑	坑	kʰ	a	阴平		方言志中韵母为ã	kʰa˧˧˦
㽘	㽘	kʰ	a	阳去			kʰa˨˩˧
土	土	kʰ	a	阳去	水～：小水沟		kʰa˨˩˧
客	客	kʰ	a	阴入			kʰa˦˨˧
□	□	ɡ	a	阳上	～子：现在		ɡa˧˩
□	□	ɡ	a	阳上	～鹅：鹅		ɡa˧˩
眼	眼	ŋ	a	阳上	1		ŋa˧˩
艾	艾	ŋ	a	阳去	1		ŋa˨˩˧
硬	硬	ŋ	a	阳去		方言志中韵母为ã	ŋa˨˩˧
额	額	ŋ	a	阳入			ŋa˧˥
□	□	ŋ	a	阳入	～断：折断		ŋa˧˥
亨	亨	x	a	阴平		方言志中韵母为ã	xa˧˧˦
吓	嚇	x	a	阴入			xa˦˨˧
赫	赫	x	a	阴入			xa˦˨˧
哈	哈	x	a	阴入	～～大笑	方言志中韵母为ɑ，阴平	xa˦˨˧
□	□	x	a	阴入	云～：云彩		xa˦˨˧
□	□	x	a	阴入	边。外～：外边		xa˦˨˧
□	□	x	a	阴入	～～钻：冰锥		xa˦˨˧
莺	鶯		a	阴平		方言志中韵母为ã	a˧˧˦
樱	櫻		a	阴平	～珠：樱桃	方言志中韵母为ã	a˧˧˦
行	行		a	阳平	～为	方言志中声母为ɣ，韵母为ã	a˨˧˩
桁	桁		a	阳平		方言志中声母为ɣ，韵母为ã	a˨˧˩
杏	杏		a	阳上		方言志中为ã，阴调	a˧˩
幸	幸		a	阳上		方言志中为ã，阴调	a˧˩
行	行		a	阳去	品～		a˨˩˧
扼	扼		a	阴入			a˦˨˧
轭	軛		a	阴入			a˦˨˧
核	核		a	阳入	2，～心	方言志中声母为ɣ，阴调	a˧˥
□	□	b	ia	阳平	厚～～：很厚		bia˨˧˩
爹	爹	ʔd	ia	阴平			ʔdia˧˧˦
颠	顛	ʔd	ia	阴平			ʔdia˧˧˦
癫	癲	ʔd	ia	阴平	发疯		ʔdia˧˧˦
点	點	ʔd	ia	阴上			ʔdia˥˧
典	典	ʔd	ia	阴上			ʔdia˥˧
店	店	ʔd	ia	阴去			ʔdia˥˥˦
掂	掂	ʔd	ia	阴去			ʔdia˥˥˦
跌	跌	ʔd	ia	阴入			ʔdia˦˨˧
天	天	tʰ	ia	阴平			tʰia˧˧˦
添	添	tʰ	ia	阴平			tʰia˧˧˦
舔	舔	tʰ	ia	阴上			tʰia˥˧
掭	掭	tʰ	ia	阴去			tʰia˥˥˦
帖	帖	tʰ	ia	阴入			tʰia˦˨˧
贴	貼	tʰ	ia	阴入			tʰia˦˨˧
铁	鐵	tʰ	ia	阴入			tʰia˦˨˧
田	田	d	ia	阳平			dia˨˧˩
填	填	d	ia	阳平			dia˨˧˩
甜	甜	d	ia	阳平			dia˨˧˩
佃	佃	d	ia	阳平			dia˨˧˩
簟	簟	d	ia	阳上			dia˧˩
电	電	d	ia	阳上			dia˧˩
□	□	d	ia	阳上	uɑ35-53～：蜥蜴		dia˧˩
殿	殿	d	ia	阳去			dia˨˩˧
奠	奠	d	ia	阳去		方言志中为阳上	dia˨˩˧
垫	墊	d	ia	阳去			dia˨˩˧
叠	疊	d	ia	阳入			dia˧˥
碟	碟	d	ia	阳入			dia˧˥
牒	牒	d	ia	阳入			dia˧˥
蝶	蝶	d	ia	阳入			dia˧˥
谍	諜	d	ia	阳入			dia˧˥
莲	蓮	l	ia	阳平	2		lia˨˧˩
鲢	鰱	l	ia	阳平	2		lia˨˧˩
练	練	l	ia	阳去			lia˨˩˧
炼	煉	l	ia	阳去			lia˨˩˧
楝	楝	l	ia	阳去			lia˨˩˧
□	□	l	ia	阳去	～杵：洗衣服用的木杵		lia˨˩˧
猎	獵	l	ia	阳入			lia˧˥
列	列	l	ia	阳入			lia˧˥
烈	烈	l	ia	阳入			lia˧˥
劣	劣	l	ia	阳入			lia˧˥
裂	裂	l	ia	阳入			lia˧˥
遮	遮	ʦ	ia	阴平			ʦia˧˧˦
展	展	ʦ	ia	阴上			ʦia˥˧
碾	碾	ʦ	ia	阴上			ʦia˥˧
剪	剪	ʦ	ia	阴上			ʦia˥˧
借	借	ʦ	ia	阴去			ʦia˥˥˦
蔗	蔗	ʦ	ia	阴去			ʦia˥˥˦
溅	濺	ʦ	ia	阴去			ʦia˥˥˦
者	者	ʦ	ia	阴去			ʦia˥˥˦
榨	榨	ʦ	ia	阴去	～油	方言志中韵母为ɑ，阴入	ʦia˥˥˦
节	節	ʦ	ia	阴入			ʦia˦˨˧
车	車	ʦʰ	ia	阴平	马～		ʦʰia˧˧˦
千	千	ʦʰ	ia	阴平		方言志中韵母为iɛ	ʦʰia˧˧˦
□	□	ʦʰ	ia	阴平	拟声词，流水声音。		ʦʰia˧˧˦
且	且	ʦʰ	ia	阴上			ʦʰia˥˧
□	□	ʦʰ	ia	阴上	～钹：铙1		ʦʰia˥˧
笡	笡	ʦʰ	ia	阴去	斜		ʦʰia˥˥˦
切	切	ʦʰ	ia	阴入			ʦʰia˦˨˧
□	□	ʦʰ	ia	阴入	～钹：铙2		ʦʰia˦˨˧
若	若	ʣ	ia	阳去	～时节：什么时候		ʣia˨˩˧
赊	賒	s	ia	阴平			sia˧˧˦
先	先	s	ia	阴平	面头～：跟前		sia˧˧˦
写	寫	s	ia	阴上			sia˥˧
㕐	㕐	s	ia	阴上	～酒：斟酒		sia˥˧
泻	瀉	s	ia	阴去		方言志中为阴上	sia˥˥˦
卸	卸	s	ia	阴去			sia˥˥˦
赦	赦	s	ia	阴去			sia˥˥˦
舍	舍	s	ia	阴去			sia˥˥˦
奢	奢	s	ia	阴去		方言志中为阴平	sia˥˥˦
舍	捨	s	ia	阴去			sia˥˥˦
屑	屑	s	ia	阴入	风～：头屑	方言志中韵母为iɛ	sia˦˨˧
邪	邪	z	ia	阳平			zia˨˧˩
斜	斜	z	ia	阳平			zia˨˧˩
蛇	蛇	z	ia	阳平			zia˨˧˩
耶	耶	z	ia	阳平	1，～苏教	方言志中声母为j，阳调	zia˨˧˩
前	前	z	ia	阳平			zia˨˧˩
社	社	z	ia	阳上			zia˧˩
惹	惹	z	ia	阳上			zia˧˩
佘	佘	z	ia	阳上			zia˧˩
谢	謝	z	ia	阳去			zia˨˩˧
射	射	z	ia	阳去			zia˨˩˧
麝	麝	z	ia	阳去			zia˨˩˧
截	截	z	ia	阳入			zia˧˥
夹	夾	ʨ	ia	阴入	～菜		ʨia˦˨˧
□	□	ʨ	ia	阴入	眨		ʨia˦˨˧
屐	屐	ʨ	ia	阴入	木～鞋2		ʨia˦˨˧
鳃	鰓	ɕ	ia	阴入	鱼～		ɕia˦˨˧
□	□	ɕ	ia	阴入	～薄：稀薄		ɕia˦˨˧
蝎	蠍	ɕ	ia	阴入	壁～：壁虎		ɕia˦˨˧
年	年	ȵ	ia	阳平			ȵia˨˧˩
展	展	ȵ	ia	阳平	阔～～：很宽阔		ȵia˨˧˩
鲶	鯰	ȵ	ia	阳上	～鮘：鲇鱼	方言志中为阳去	ȵia˧˩
廿	廿	ȵ	ia	阳去		原文为阳上，应为阳去之误	ȵia˨˩˧
捏	捏	ȵ	ia	阳入			ȵia˧˥
箬	箬	ȵ	ia	阳入	～帽	方言志中韵母为iɔ	ȵia˧˥
耶	耶		ia	阳平		方言志中声母为j，阳调	ia˨˧˩
爷	爺		ia	阳平	父亲	方言志中声母为j，阳调	ia˨˧˩
野	野		ia	阴上			ia˥˧
下	下		ia	阴上	～洋：地名		ia˥˧
雅	雅		ia	阴上	～村：地名		ia˥˧
嫁	嫁		ia	阴去	1		ia˥˥˦
□	□		ia	阴去	～光：溜光		ia˥˥˦
也	也		ia	阳去		方言志中为ja	ia˨˩˧
夜	夜		ia	阳去		方言志中为ja	ia˨˩˧
□	□		ia	阳去	逗人、引诱		ia˨˩˧
惊	驚	k	ua	阴平	害怕		kua˧˧˦
□	□	k	ua	阴平	老～头：髑髅		kua˧˧˦
梗	梗	k	ua	阴上	菜～	方言志中韵母为uã	kua˥˧
拐	拐	k	ua	阴去	手杖	方言志中韵母为uã	kua˥˥˦
𠠎	𠠎	k	ua	阴入	裂开、划破		kua˦˨˧
□	□	k	ua	阴入	手～掌：手掌		kua˦˨˧
□	□	kʰ	ua	阴入	脚～头：膝盖		kʰua˦˨˧
□	□	x	ua	阴上	不正，歪		xua˥˧
衡	衡		ua	阳平			ua˨˧˩
横	橫		ua	阳平		方言志中为wã	ua˨˧˩
获	獲		ua	阳上		方言志中声母为w	ua˧˩
划	劃		ua	阳上		方言志中声母为w	ua˧˩
爸	爸	ʔb	ɑ	阴平			ʔbɑ˧˧˦
班	班	ʔb	ɑ	阴平			ʔbɑ˧˧˦
斑	斑	ʔb	ɑ	阴平			ʔbɑ˧˧˦
摆	擺	ʔb	ɑ	阴上			ʔbɑ˥˧
板	板	ʔb	ɑ	阴上			ʔbɑ˥˧
版	版	ʔb	ɑ	阴上			ʔbɑ˥˧
扳	扳	ʔb	ɑ	阴上			ʔbɑ˥˧
拜	拜	ʔb	ɑ	阴去			ʔbɑ˥˥˦
扮	扮	ʔb	ɑ	阴去			ʔbɑ˥˥˦
绊	絆	ʔb	ɑ	阴去	～去：绊倒		ʔbɑ˥˥˦
簸	簸	ʔb	ɑ	阴去	～麦扬麦		ʔbɑ˥˥˦
八	八	ʔb	ɑ	阴入			ʔbɑ˦˨˧
盼	盼	pʰ	ɑ	阴平			pʰɑ˧˧˦
攀	攀	pʰ	ɑ	阴平			pʰɑ˧˧˦
□	□	pʰ	ɑ	阴上	跨、迈		pʰɑ˥˧
派	派	pʰ	ɑ	阴去			pʰɑ˥˥˦
襻	襻	pʰ	ɑ	阴去			pʰɑ˥˥˦
破	破	pʰ	ɑ	阴去	1		pʰɑ˥˥˦
排	排	b	ɑ	阳平			bɑ˨˧˩
牌	牌	b	ɑ	阳平			bɑ˨˧˩
爿	爿	b	ɑ	阳平	一～山：一座山		bɑ˨˧˩
㵺	㵺	b	ɑ	阳平	竹～		bɑ˨˧˩
□	□	b	ɑ	阳平	跨、迈		bɑ˨˧˩
罢	罷	b	ɑ	阳上	午～：下午		bɑ˧˩
稗	稗	b	ɑ	阳去			bɑ˨˩˧
败	敗	b	ɑ	阳去			bɑ˨˩˧
瓣	瓣	b	ɑ	阳去			bɑ˨˩˧
办	辦	b	ɑ	阳去			bɑ˨˩˧
拔	拔	b	ɑ	阳入			bɑ˧˥
埋	埋	m	ɑ	阳平			mɑ˨˧˩
蛮	蠻	m	ɑ	阳平			mɑ˨˧˩
□	□	m	ɑ	阳平	玩耍		mɑ˨˧˩
买	買	m	ɑ	阳上			mɑ˧˩
晚	晚	m	ɑ	阳上	～娘、～爷		mɑ˧˩
卖	賣	m	ɑ	阳去			mɑ˨˩˧
迈	邁	m	ɑ	阳去			mɑ˨˩˧
慢	慢	m	ɑ	阳去			mɑ˨˩˧
漫	漫	m	ɑ	阳去			mɑ˨˩˧
幔	幔	m	ɑ	阳去			mɑ˨˩˧
蔓	蔓	m	ɑ	阳去			mɑ˨˩˧
万	萬	m	ɑ	阳去	1		mɑ˨˩˧
袜	襪	m	ɑ	阳入			mɑ˧˥
翻	翻	f	ɑ	阴平			fɑ˧˧˦
番	番	f	ɑ	阴平	几～		fɑ˧˧˦
反	反	f	ɑ	阴上			fɑ˥˧
泛	泛	f	ɑ	阴去			fɑ˥˥˦
贩	販	f	ɑ	阴去			fɑ˥˥˦
畈	畈	f	ɑ	阴去			fɑ˥˥˦
法	法	f	ɑ	阴入			fɑ˦˨˧
发	發	f	ɑ	阴入			fɑ˦˨˧
凡	凡	v	ɑ	阳平			vɑ˨˧˩
帆	帆	v	ɑ	阳平			vɑ˨˧˩
烦	煩	v	ɑ	阳平			vɑ˨˧˩
藩	藩	v	ɑ	阳平			vɑ˨˧˩
矾	礬	v	ɑ	阳平			vɑ˨˧˩
繁	繁	v	ɑ	阳平			vɑ˨˧˩
矾	礬	v	ɑ	阳平			vɑ˨˧˩
范	範	v	ɑ	阳上			vɑ˧˩
范	範	v	ɑ	阳上			vɑ˧˩
犯	犯	v	ɑ	阳上			vɑ˧˩
晚	晚	v	ɑ	阳上			vɑ˧˩
挽	挽	v	ɑ	阳上			vɑ˧˩
饭	飯	v	ɑ	阳去			vɑ˨˩˧
万	萬	v	ɑ	阳去	2		vɑ˨˩˧
乏	乏	v	ɑ	阳入			vɑ˧˥
伐	伐	v	ɑ	阳入			vɑ˧˥
罚	罰	v	ɑ	阳入			vɑ˧˥
担	擔	ʔd	ɑ	阴平	～任		ʔdɑ˧˧˦
丹	丹	ʔd	ɑ	阴平			ʔdɑ˧˧˦
单	單	ʔd	ɑ	阴平			ʔdɑ˧˧˦
胆	膽	ʔd	ɑ	阴上			ʔdɑ˥˧
掸	撣	ʔd	ɑ	阴上			ʔdɑ˥˧
带	帶	ʔd	ɑ	阴去			ʔdɑ˥˥˦
但	但	ʔd	ɑ	阴去			ʔdɑ˥˥˦
耽	耽	ʔd	ɑ	阴去			ʔdɑ˥˥˦
担	擔	ʔd	ɑ	阴去	挑～		ʔdɑ˥˥˦
搭	搭	ʔd	ɑ	阴入			ʔdɑ˦˨˧
褡	褡	ʔd	ɑ	阴入			ʔdɑ˦˨˧
他	他	tʰ	ɑ	阴平			tʰɑ˧˧˦
拖	拖	tʰ	ɑ	阴平	1		tʰɑ˧˧˦
滩	灘	tʰ	ɑ	阴平			tʰɑ˧˧˦
摊	攤	tʰ	ɑ	阴平			tʰɑ˧˧˦
毯	毯	tʰ	ɑ	阴上			tʰɑ˥˧
榻	榻	tʰ	ɑ	阴上			tʰɑ˥˧
坦	坦	tʰ	ɑ	阴上			tʰɑ˥˧
躺	躺	tʰ	ɑ	阴上	1		tʰɑ˥˧
太	太	tʰ	ɑ	阴去			tʰɑ˥˥˦
泰	泰	tʰ	ɑ	阴去			tʰɑ˥˥˦
炭	炭	tʰ	ɑ	阴去			tʰɑ˥˥˦
叹	歎	tʰ	ɑ	阴去			tʰɑ˥˥˦
榻	榻	tʰ	ɑ	阴入			tʰɑ˦˨˧
塌	塌	tʰ	ɑ	阴入			tʰɑ˦˨˧
坍	坍	tʰ	ɑ	阴入			tʰɑ˦˨˧
