漢字	音標	註釋
刨	pʰau2	
跑	pʰau3	
暴	pʰau5	～露
爆	pʰau5	
泡	pʰau5	水～；燈～
炮	pʰau5	
毛	mau1	文
冒	mau1	
帽	mau1	
卯	mau1	
貌	mau1	
茅	mau2	
矛	mau2	
冇	mau3	無
刀	tau1	
島	tau3	
倒	tau3	
斵	tau3	砍
到	tau5	
滔	tʰau1	
道	tʰau1	
稻	tʰau1	
盜	tʰau1	
毒	tʰau1	下毒
桃	tʰau2	
逃	tʰau2	
陶	tʰau2	
萄	tʰau2	
濤	tʰau2	
綯	tʰau2	
討	tʰau3	
導	tʰau3	
套	tʰau5	
惱	nau1	白，厭惡
腦	nau3	
惱	nau3	文
鬧	nau5	
□	nau5	緩慢
摎	lau1	攪拌；混合
勞	lau2	
牢	lau2	
澇	lau2	
癆	lau2	
老	lau3	
遭	tsau1	
糟	tsau1	
㷮	tsau1	乾燥
早	tsau3	
棗	tsau3	
蚤	tsau3	
爪	tsau3	
灶	tsau5	
竈	tsau5	
罩	tsau5	
操	tsʰau1	做～
造	tsʰau1	
抄	tsʰau1	
鈔	tsʰau1	
曹	tsʰau2	
槽	tsʰau2	
嘈	tsʰau2	
巢	tsʰau2	
草	tsʰau3	
炒	tsʰau3	
澡	tsʰau5	
躁	tsʰau5	
操	tsʰau5	曹～
糙	tsʰau5	
皂	tsʰau5	
騷	sau1	
臊	sau1	
繅	sau2	在沸水中燙熟撈起
嫂	sau3	
稍	sau3	
掃	sau5	
高	kau1	
膏	kau1	
篙	kau1	
糕	kau1	
交	kau1	
跤	kau1	
郊	kau1	
膠	kau1	
教	kau1	～書
稿	kau3	
攪	kau3	
搞	kau3	
較	kau3	
校	kau3	～對，學～
告	kau5	
教	kau5	～育
窖	kau5	
覺	kau5	睡～
珓	kau5	
校	kau5	（以物）換（物）；調（如音量等）
藠	kʰau1	
交	kʰau1	交叉
考	kʰau3	
烤	kʰau3	
巧	kʰau3	
靠	kʰau5	
敲	kʰau5	
傲	ŋau1	
熬	ŋau2	
淆	ŋau2	
拗	ŋau2	歪
咬	ŋau3	
浩	hau1	
號	hau1	
耗	hau2	
豪	hau2	
毫	hau2	
酵	hau2	
媱	hau2	（女性）風騷
好	hau3	～壞
好	hau5	喜～
孝	hau5	
□	au1	冤枉，動詞
了	au1	替，完成體助詞
拗	au3	
襖	au5	
奧	au5	
坳	au5	
拗	au5	爭辯
剖	pʰɛu1	
牡	mɛu1	
茂	mɛu1	
謀	mɛu2	
畝	mɛu3	
貿	mɛu3	
某	mɛu5	
浮	fɛu2	
否	fɛu3	
兜	tɛu1	
蔸	tɛu1	棵（一～樹）
斗	tɛu3	
鬥	tɛu5	
抖	tɛu5	
□	tɛu5	拼合；安裝
竇	tɛu5	
偷	tʰɛu1	
豆	tʰɛu1	
逗	tʰɛu1	
頭	tʰɛu2	
投	tʰɛu2	
敨	tʰɛu3	
□	nɛu2	稠
紐	nɛu3	
漏	lɛu1	
陋	lɛu1	
褸	lɛu1	
樓	lɛu2	
撈	lɛu2	
縷	lɛu3	
嘍	lɛu5	呼雞
鄒	tsɛu1	
走	tsɛu3	
奏	tsɛu5	
湊	tsʰɛu5	
驟	tsʰɛu5	
餿	sɛu1	
搜	sɛu1	
愁	sɛu2	
嗽	sɛu5	
瘦	sɛu5	
朝	tʃɛu1	今～
召	tʃɛu1	
昭	tʃɛu1	
招	tʃɛu1	
照	tʃɛu5	
超	tʃʰɛu1	
趙	tʃʰɛu1	
兆	tʃʰɛu1	
朝	tʃʰɛu2	～代
潮	tʃʰɛu2	
燒	ʃɛu1	
僥	ʃɛu1	
韶	ʃɛu2	
紹	ʃɛu2	
少	ʃɛu3	多～
曉	ʃɛu3	
少	ʃɛu5	～年
翹	ʃɛu5	～起
勾	kɛu1	
溝	kɛu1	
購	kɛu1	
鳩	kɛu1	
鬮	kɛu1	
糾	kɛu1	
狗	kɛu3	
夠	kɛu5	
構	kɛu5	
塊	kɛu5	訓，量詞
箍	kʰɛu1	
摳	kʰɛu1	
佝	kʰɛu2	訓，蹲
扣	kʰɛu5	
牛	ŋɛu2	
偶	ŋɛu5	
藕	ŋɛu5	
後	hɛu1	
后	hɛu1	
厚	hɛu1	
候	hɛu1	
侯	hɛu2	
喉	hɛu2	
猴	hɛu2	
口	hɛu3	
歐	ɛu1	
甌	ɛu1	
嘔	ɛu3	
漚	ɛu5	
熰	ɛu5	
標	piɛu1	文
錶	piɛu1	手～
飆	piɛu1	跑；跳
表	piɛu3	代～
標	pʰiɛu1	白，人名
漂	pʰiɛu1	
飄	pʰiɛu1	
彪	pʰiɛu1	
薸	pʰiɛu2	
票	pʰiɛu5	
鰾	pʰiɛu5	
瘭	pʰiɛu5	水泡
廟	miɛu1	
苗	miɛu2	
描	miɛu2	
渺	miɛu3	
秒	miɛu3	
妙	miɛu3	
