#备注：	《海安县志》																		
#调值	[1]21 [2]45 [3]213 [4]33 [5]3 [6]45																		
#符号说明：-白=文																			
#ɿ																			
ɕ	[1]修休羞宿1{星~}[3]朽宿2{过一~}[4]秀锈绣嗅																		
Ø	[1]又右祜祐优忧悠釉幽[2]尤犹由邮油柚鼬游[3]友有酉莠[5]幼悠{~着点儿}																		
#ɚ																			
Ø	[1]二[2]儿而[3]耳尔珥{彩虹}																		
#ã																			
p	[1]帮邦滂傍[3]榜绑膀1{手臂}[4]磅																		
pʰ	[1]棒胖1{肿大；腐烂}乓[2]旁膀{~胱}螃[3]膀{脚~}[4]胖2																		
m	[2]忙芒硭茫盲虻=[3]莽蟒网-																		
f	[1]方芳妨犯1{~法}[2]房防[3]仿纺访[4]放																		
t	[1]当1{~家}裆[2]噹{~锣儿}[3]挡党档1{~案}[4]当2{上~}档2荡1																		
tʰ	[1]汤荡2[2]堂唐糖塘搪膛棠[3]淌倘躺[4]烫趟																		
n	[1]浪1{波~}琅[2]郎廊狼囊瓤1{酉瓜~}狼躴[3]朗[4]浪2{流~}																		
ts	[1]张章赃脏樟[3]掌长1{生~}涨[4]藏1{西~}葬仗帐胀账障占1{~位子}																		
tsʰ	[1]仓苍丈昌猖菖鲳[2]长2{~短}肠常场[3]厂敞[4]畅唱倡蹭																		
s	[1]桑丧商伤上尚墒绱[2]尝偿[3]嗓赏搡[4]丧{~形}																		
ʐ	[1]让[2]瓤2{破碎}[3]壤嚷																		
k	[1]刚纲冈缸钢肛豇江-{~姓}降-{~风，~暴}[3]港讲-[4]杠虹-炕1{油煎}																		
kʰ	[1]康糠项1{~颈}[2]扛[3]慷[4]抗炕囥躿																		
x	[1]夯巷项2{~颈}[2]行{外~}航杭绗[4]项3{~目}炕2{干烤}																		
Ø	[1]肮[2]昂[3]硬1{坚硬}[4]盎																		
#iã																			
n	[1]亮谅量1{分~}嬢{姑姑}[2]凉粮梁粱娘量2{动词}[3]两{斤~}辆仰-[4]量3																		
tɕ	[1]将1{即~;~军}浆疆桨江={~河}[3]讲=蒋奖礓[4]酱将2{大~}降={下~}犟謽糨																		
tɕʰ	[1]匠抢1腔像-呛炝[2]强1墙详祥翔降-2{投~}[3]抢2强2{勉~}[4]弶{地名，~港}戗{撑持；遮挡}																		
ɕ	[1]相{~互}箱厢镶香乡[2]降=[3]想享响饷[4]向橡像=																		
Ø	[1]央秧殃样恙烊1{打~}鸯[2]羊洋扬杨阳烊2{融化}[3]养痒[4]□{腻味肥得~人子}□{凝滞不行}漾旺-{易燃，火~}																		
#uã																			
k	[1]光1{~亮}胱[3]广[4]逛光2{~胡子}旷1																		
kʰ	[1]框筐匡桄诓[2]狂[4]况矿旷2																		
x	[1]荒慌[2]黄={~姓，~皮}皇蝗煌凰隍[3]谎=幌幌[4]晃=																		
Ø	[1]汪1望忘-晃-[2]亡王黄-忘=[3]网=往谎-[4]旺=妄枉汪2{松弛}																		
#yã																			
tɕ	[1]庄装桩妆[3]奘□{整理}[4]壮状=																		
tɕʰ	[1]状-{~元}□{凑齐}疮窗[2]床噇[3]闯撞幢																		
ɕ	[1]霜双[2]□{沥干}[3]爽																		
#ɛ̃																			
p	[1]班斑颁扳攀般=[3]板版[4]扮办瓣																		
pʰ	[1]扳{把输掉的赢回来}[4]盼																		
m	[1]慢蛮1{~野}[2]蛮2{~不讲理}[4]漫={浪~}																		
f	[1]翻番饭帆范[2]凡繁烦矾[3]反返[4]贩犯㽹{~黄}																		
v	[1]万湾弯1[2]玩顽[3]挽晚[4]弯2{绕道}畈																		
t	[1]担1{~任}隹丹单耽[3]胆掸[4]担2{~子}旦但弹=1{子~}诞																		
tʰ	[1]蛋淡摊贪瘫滩[2]弹2{~簧}谭谈痰檀坛=[3]毯坦啖[4]碳叹坍探																		
n	[1]难1{过~}烂滥[2]难2{~过}蓝篮兰拦栏南=男=[3]览揽懒缆罱																		
ts	[1]劐斩1{碎切}[3]斩2{~头}崭[4]暂赞站蘸1{~火}栈錾																		
tsʰ	[1]参1{~与}餐搀鲨[2]残惭掺[3]铲产惨[4]孱{~头}																		
s	[1]三衫杉山[2]馋[3]伞散1{~装酒}裳馓[4]散2{~会}																		
k	[1]间-1尴干=1甘=肝=[3]拣敢=赶=感=杆=减-碱-[4]干=2间-2																		
kʰ	[1]铅嵌堪鹐勘舰限-1{~定}[2]衔1[3]坎=砍=槛{户~}[4]看=																		
x	[1]苋陷-汗=旱=限-2{~定}[2]咸衔2含=韩=寒=函=闲-[3]喊憾[4]焊喊汉=缓2{慢行}																		
Ø	[1]淹=安=岸=雁[2]颜=1[3]眼-[4]晏宴=暗=案=鹌□1{腥~气}																		
#iɛ̃																			
tɕ	[1]艰奸间=1监1{~牢}[3]碱=减=简[4]间=2监2{~视}																		
ɕ	[2]闲=[4]限=陷=																		
Ø	[2]颜=2[3]眼=																		
#uɛ̃																			
k	[1]关[4]惯																		
kʰ	[1]掼[2]环																		
x	[1]还{归~}[4]患幻																		
#yɛ̃																			
tɕ	[1]跧{低头}[4]赚撰																		
tɕʰ	[4]□{插}																		
ɕ	[1]闩拴栓删[4]涮																		
#ʊ̃																			
p	[1]搬般-[4]半																		
pʰ	[1]伴拌潘拼1{~命}[2]盘[4]判𥑍绊																		
m	[1]漫[2]瞒馒蛮-{地名，洋~河}[3]满																		
t	[1]端蘸2{~酱}[3]短[4]锻段=簖=□{震动，车子~}																		
tʰ	[1]段-簖-[2]糰坛-[4]褪1{脱}																		
n	[1]乱[2]南-男-[3]暖卵																		
ts	[1]钻专砖[3]转1{~弯}[4]传1{~记}转2{~圈圈}																		
tsʰ	[1]川穿串氽[2]蚕船传2{~达}椽[3]喘□{稗籽，~子}[4]窜串篆																		
s	[1]酸[4]算蒜																		
ʐ	[3]软阮																		
k	[1]甘-肝-干-官观冠棺[3]敢-管-赶-馆感-杆-[4]贯灌罐																		
kʰ	[1]宽看-1[3]款坎-砍-[4]看-2																		
x	[1]汗-旱-欢蛤蚶换[2]寒-韩-含-涵-[3]缓1[4]唤焕汉-																		
Ø	[1]安-岸-豌淹-[2]完桓[3]碗婉揞[4]暗-案-宴-																		
#iʊ̃																			
tɕ	[1]捐娟鹃[3]卷[4]绢眷倦																		
tɕʰ	[1]圈[2]泉拳全权颧鹑[3]犬□{不粘}[4]劝																		
ɕ	[1]宣揎籼[12]悬旋=玄漩璇[3]选癣[4]揎																		
Ø	[1]冤愿院鸳[2]圆园元缘原袁援茔{坟~}[3]远[4]怨																		
#ɔŋ																			
p	[1]崩绷1{~带}[3]绷2{~脸}[4]蹦缝1																		
pʰ	[1]迸烹埠[2]朋棚彭膨蓬篷蟛[3]捧[4]碰																		
m	[1]孟梦虻-{~牛}[2]蒙朦盟[3]蜢																		
f	[1]丰风疯封俸缝2{裂~}蜂[2]峰锋冯逢缝3{~隙}[3]讽[4]凤																		
t	[1]冬东[3]董懂都[4]冻动=																		
tʰ	[1]动-通1{~过}[2]铜同桐童彤茼瞳[3]囱简统捅{移动}桶栋[4]痛{可爱}通2{连接}																		
n	[1]弄[2]农浓脓笼聋隆龙[3]拢																		
ts	[1]棕鬃宗中1{~间}忠终钟盅踪综[3]总肿种1{~子}□{贬指吃}[4]粽纵中2{看~}众种2{~田}纵{犬，马类快行}																		
tsʰ	[1]冲1充葱[2]从丛虫崇重[3]宠[4]冲2{莽撞}铳																		
s	[1]松舂[2]𪨊{精液}[3]诵颂讼[4]送宋																		
ʐ	[2]荣茸绒戎容蓉[3]冗[4]倯{差劲}																		
k	[1]公工功攻弓躬宫恭龚[3]拱巩[4]贡供共=																		
kʰ	[1]空1{~虚}共-{~享}[2]拱{~起}[3]孔恐[4]控空2{~隙}																		
x	[1]轰烘[2]红宏洪弘鸿[3]哄1{~骗}擤{~鼻子}[4]哄2{起~}蕻{雪里~}𣹟□{~说，瞎说}																		
Ø	[1]翁瓮嗡[2]横1[4]䐥{变质发出怪味}齆瓮																		
#iɔŋ																			
tɕ	[3]窘迥																		
tɕʰ	[2]穷琼																		
ɕ	[1]胸兄凶汹[2]熊雄1{英~}																		
Ø	[1]用庸佣雍[2]融溶雄2{~鸡}荣[3]拥勇涌泳永踊[4]壅																		
#əŋ																			
p	[1]贲奔畚-{~斗几}锛栟{~茶}[3]本[4]笨=																		
pʰ	[1]喷1{~水}[2]盆[4]喷2{~香}笨																		
m	[1]焖璺[2]门明-鸣-[4]闷																		
f	[1]分份芬纷[2]坟焚[3]粉[4]粪愤奋畚={~箕}																		
v	[1]瘟温问[2]闻文纹蚊[3]稳吻																		
t	[1]灯墩登吨蹲=豚掷[3]等戥盹[4]盾顿凳沌炖沌																		
tʰ	[1]钝吞邓囤[2]腾誊藤疼[4]褪2{向下脱}																		
n	[1]嫩愣论楞宁-[2]能轮伦嵛[3]冷																		
ts	[1]针争珍贞斟增赠曾1侦真[2]枕1整疹怎[4]镇震振证政正枕2{动词}郑=																		
tsʰ	[1]阵郑-称1{~呼}撑蛏[2]成陈程尘晨臣辰层曾2乘1{~法}𣜣盛1{~饭}[3]逞[4]称2{~心}趁秤剩乘2{驾驭}																		
s	[1]生深森参2{人~}身申升声甥牲[2]神盛2{~饭}绳蹲-[3]婶审沈省什{~呢}[4]渗甚肾慎胜圣盛3{兴~}抻																		
ʐ	[1]认任1韧{不脆}[2]人仁任2{~姓}[3]忍刃纫仍[4]□{不利索}																		
k	[1]根跟庚更1{五~}羹耕今-[3]粳梗埂挭拫[4]更2{~加}																		
kʰ	[1]坑[3]肯啃垦恳[4]掯硍{污垢}																		
x	[1]恨哼1[2]恒衡哼2{呻吟}痕[3]很狠[4]缓3{慢行}																		
Ø	[1]恩硬2[2]横2{犟}[4]䬶{泡在水中发出怪味}																		
#iɪ̃																			
p	[1]宾殡兵冰彬边煸编=鞭[3]饼丙秉贬扁匾[4]并遍=柄变便=卞=																		
pʰ	[1]病拼2遍-乒姘编-辫卞-便偏-别2{~人}[2]贫频凭平瓶屏萍苹评[3]品[4]骗聘片																		
m	[1]命1面[2]民铭鸣名明=棉=[3]敏免勉缅胸瞑[4]命2{~令}																		
t	[1]丁钉1{名词}颠盯[3]顶鼎[4]钉2订电佃定=																		
tʰ	[1]定-垫厅天添[2]亭停廷庭甜田[3]挺艇舔听{~子}[4]听掭																		
n	[1]另楝炼-练-链砚令-恋-[2]拎邻林年临淋灵粘伶玲琳铃帘鳞镰鲢怜黏联零宁=[3]领捻敛碾脸岭[4]令=炼=练=恋=																		
ts	[1]占2詹毡[3]展搌[4]战颤																		
tsʰ	[1]缠1{~事}[2]缠2禅蝉[3]阐[4]缠3{翻拌，挤压面团}																		
s	[1]扇1{动词}煽苫善-单[3]闪陕[4]扇2{名词}善=骟																		
ʐ	[2]燃然[3]染																		
tɕ	[1]今=京金巾斤尖筋经精晶睛坚搛肩坚煎兼[3]紧仅井景颈锦检俭茧剪警[4]进劲静健境竟竞敬箭浸渐剑毽件=贱=																		
tɕʰ	[1]亲近轻青清蜻迁牵贱-侵件-签[2]秦琴擒勤芹情晴钱寻-钳[3]倾请寝顷浅[4]庆欠磬揿纤歉																		
ɕ	[1]辛心薪新欣鲜星腥杏辛锨掀仙县先[2]形型刑邢嫌贤弦行[3]醒宪险蚬显省{反~}[4]信姓性献现兴																		
Ø	[1]音阴因姻殷英蝇腌鹰烟荫鹦验胭[2]银寅营迎盈楹赢萤严檐盐言沿芫[3]引饮隐影演掩瘾偃[4]印应燕映堰厌焰																		
#uəŋ																			
k	[3]滚磙[4]棍																		
kʰ	[1]昆坤鲲[3]捆[4]困																		
x	[1]昏婚荤[2]魂浑孟{~姓}馄[3]混1{~和}[4]混2																		
#yəŋ																			
tɕ	[1]均钧君军尊遵菌[3]准[4]俊峻浚																		
tɕʰ	[1]春村皲[2]存群裙[3]蠢[4]衬寸																		
ɕ	[1]孙顺熏勋[2]旬循巡寻=唇醇淳纯瞳{~口:地名}[3]损榫笋髓{骨~}[4]训讯迅																		
Ø	[1]晕运1{走~}闰[2]云匀[3]允永[4]熨韵孕运2{~动}																		
#aʔ																			
p	[5]剥博驳																		
pʰ	[5]泊叭{双唇舔}朴1{大}[6]薄铂筚																		
m	[5]幕莫1寞漠[6]摸膜陌莫2{南~:地名}																		
t	[5]拓耷																		
tʰ	[5]托拓铎庹[6]踱{慢步行}																		
n	[5]乐1{快~}落1{~后}洛骆络笿{篮子，~子}[6]烙落2{~雨}诺																		
ts	[5]作斫酌着1{~手}																		
