	符號說明：-白讀，=文讀
p	[1]方-崩繃[2]房[3]綁=[5]放
pʰ	[1]芳-烹蜂-[2]旁螃彷膀龐朋鵬硼憑彭膨澎棚篷蓬[3]紡-
m	[1]夢[2]忙芒茫硭亡忘盲=虻萌盟氓[3]莽=蟒猛蠓[6]網妄[9]孟
w	[2]簧凰蝗=隍惶煌王=[6]旺
t	[1]當登東-冬垌[2]同-銅筒[3]黨等[5]凍-[6]蕩宕鄧重-
tʰ	[1]橕{支架，支柱}[2]堂=棠螳膛唐=騰謄滕疼桐-蟲[3]倘躺淌桶統-[6]動-
n	[2]能膿-儂
l	[1]㝗{空}[2]狼榔=籠-{雞～}聾[3]冷=籠={箱子}[5]弄[6]浪=籠
ts	[1]曾增憎僧爭=箏睜猙掙崢鬃[2]叢-[5]粽眾[6]贈[9]爭
tsʰ	[1]蒼撐=蔥[2]曾[5]創[9]蹭
ɬ	[1]生=牲笙鬆[3]省[5]喪=送
j	[2]洋=楊=陽=揚=瘍=[6]樣=恙漾
k	[1]扛=岡崗=剛綱罡肛江-更=庚羹賡耕蚣工功-[3]講港埂梗=耿[5]降亙更
kʰ	[1]康肮腔空[3]慷肯=[5]亢抗炕伉控
ŋ	[2]昂=凝
h	[1]夯亨哼魟[2]航杭降恒衡[5]烘[6]項[9]橫
∅	[1]翁-[2]紅[5]甕蕹
#iaŋ	
t	[2]重-{量詞，層}
tʰ	[1]窗[3]艇
n	[2]娘
l	[2]良=涼量梁粱嚨龍-[3]壟[5]靚[6]亮諒量[9]輛亮
ts	[1]將張=章樟漳獐彰蟑中-鐘舂[3]蔣獎槳長掌=種腫[5]漲將脹=壯-障瘴幢眾種[6]象=丈=仗杖=匠=[9]盅
tsʰ	[1]昌倡娼猖褣{穿}[2]薔詳祥翔長=場=常裳嫦償徜[3]搶[5]暢悵
ɬ	[1]相湘襄鑲商墒傷殤雙[2]嘗=賞榕-[3]想賞=[5]像=相=[6]上=尚
ȵ	[1]壤嚷攘釀[3]仰=養癢氧[6]讓
k	[1]疆僵韁姜{姓}江=弓供供[2]窮
kʰ	[1]腔=羌筐[2]強[3]強
h	[1]香=鄉胸-[3]享響餉[5]向=
∅	[1]央=秧=殃泱鴦[5]壅
#uaŋ	
ts	[1]莊臧[5]=壯[6]藏臟狀=
tsʰ	[2]藏
ɬ	[1]桑喪[5]喪-
k	[1]光=胱[3]廣獷[9]光
kʰ	[1]匡誆[2]狂蝗-[5]曠況礦轟擴[9]筐知眶框
h	[1]荒慌肓方=芳=坊風-楓瘋[2]肪妨防[3]謊幌仿紡=仿仿訪恍[5]晃
∅	[1]汪[3]枉往
#ɔŋ	
p	[1]幫邦梆[2][3]榜膀綁-捧棒[6]謗傍磅蚌埲{煙～～：塵土飛揚的樣子}[9]泵
pʰ	[3]捧四[5]碰
m	[1]望[2]毛-蒙朦瞢[3]莽-罔輞惘懵[9]望嚎
w	[5]嗡
t	[1]長東=[2]塘長-腸[3]擋檔董懂[5]當凍=棟中[6]丈動=洞幢
tʰ	[1]湯通[2]堂-唐-糖同=桐=童瞳潼[3]捅統=[5]燙趟痛[6]杖
n	[1]浪-㫰{晾}[2]囊郎-榔-瓢農膿=濃[3]蛹[9]蛹
l	[2]郎=廊螂籠=朧瓏隆龍=[3]朗=攏隴壟=[6]朗-弄[9]弄
ts	[1]贓髒張-裝妝狀-樁棕宗中=忠終衷蹤鍾[3]總[5]葬中=縱縱[6]上-撞重=誦頌訟[9]仲
tsʰ	[1]倉艙瘡聰匆充沖[2]藏床叢=從松重=[3]廠敞昶闖塚寵[5]銃[6]上-緔{～鞋底：把鞋幫和鞋底縫在一起}
ɬ	[1]喪霜孀嵩[2]崇鱅[3]爽慫聳悚[5]宋
ȵ	[3]冗[5]鬞{頭髮淩亂的樣子}
j	[2]榮嶸戎絨熊融茸容蓉榕=熔溶庸[3]甬勇湧涌蛹踴[6]用傭
k	[1]扛-崗-缸公功=攻躬宮恭[3]拱鞏龔[5]鋼杠汞貢[6]共[9]公
kʰ	[1]糠空=[2]窮=[3]孔恐[5]囥{藏}
ŋ	[2]昂-
h	[1]風=豐封峰蜂=鋒烽胸=凶兇洶匈[2]降-弘宏洪鴻馮雄逢縫[5]巷烘=諷[6]鳳奉俸烘{熱}
∅	[1]央-秧-翁=雍癰邕[2]行[3]擁鞅臃
#ap	
tʰ	[7]榻塌錔{筆～：筆帽兒}[8]遝
n	[7]凹{訓}[8]納衲䪏{軟～：軟柔}
l	[7]笠=
ts	[8]雜十什拾
tsʰ	[7]插{～手：雙手交叉}
ɬ	[7]颯霎
ȵ	[8]業
k	[7]鴿恰蛤{青蛙}
kʰ	[7]磕瞌
ŋ	[8]岋{鬆動}
h	[7]喝[8]合洽
∅	[8]盒匣
#iap	
t	[8]疊=碟=牒蝶諜
tʰ	[7]帖貼[8]疊
l	[8]粒
ts	[7]汁
ɬ	[7]澀
k	[7]劫
kʰ	[7]歉愜[8]夾狹
h	[7]恰怯[8]峽俠挾協
∅	[7]醃邑[8]葉熠眨
#uap	
h	[7]法
#ep	
l	[7]泣
tsʰ	[7]緝輯
j	[7]揖
#ip	
t	[7]竹-叔-
n	[7]聶鑷
l	[8]立
ts	[7]摺=執叔-
tsʰ	[8]集習
ɬ	[7]攝涉襲濕褻
j	[8]入
k	[7]急[8]及=
kʰ	[7]級給吸[8]及-
h	[7]熻{燜}[8]肉
#at	
p	[7]八=別[8]密拔=鈸
pʰ	[8]襒{撣去灰塵}
m	[7]抹=[8]襪
t	[7]笪妲[8]達笛
tʰ	[7]踢-
n	[7]捺=
l	[7]烈-[8]力
ts	[7]紮劄紮節-窒[8]賊實-
tsʰ	[7]擦=察漆[8]賊
ɬ	[7]薩殺=刷瑟虱塞熄-嗇-刹=鯴
k	[7]墼{塗～：土坯}
kʰ	[7]咳結-
ŋ	[8]齧{啃}
h	[8]瞎轄核檄
∅	[7]壓押=握扼=厄
#uat	
k	[7]括刮
h	[7]髮發[8]乏伐筏罰閥
∅	[7]挖
#et	
p	[7]弼逼迫碧璧愎
pʰ	[7]僻=辟劈癖霹
m	[7]蜜蔑汨[8]覓
w	[7]噦[8]劃
t	[7]跌秩的滴嫡迪[8]敵狄滌
tʰ	[7]踢=剔惕䢰[8]眣
n	[7]孽蘖捏=涅[8]膩匿
l	[7]獵列烈=裂=劣栗瀝[8]肋勒歷曆礫鬁
ts	[7]漬捷睫蟄疾嫉瘠即=稷織職責積跡炙績=[8]值殖植籍藉席=夕寂抑
tsʰ	[7]撤轍澈=叱飭敕斥戚[8]揤{～柴：劃火柴}
ɬ	[7]設悉膝室息=熄=媳色=嗇=識式飾穡軾拭=惜=昔適釋錫=析[8]食=蝕=
j	[7]悅閱曰穴逸佚溢亦譯繹驛奕弈[8]越粵域易=液腋疫役一{訓}蜀
k	[7]傑潔=戟擊激棘[8]極劇
kʰ	[7]吃嗝
ŋ	[7]訖兀杌
∅	[7]憶億抑益噎䭞{油～：變質的花生油的氣味}
#uet	
∅	[7]噦[8]劃=
#it	
p	[7]筆畢必[8]別
pʰ	[7]撇=匹瞥劈
m	[8]滅
t	[7]得[8]直
ts	[7]哲蜇折浙節=拙窒=質蛭騭鯽織-脊=[8]截=絕侄
tsʰ	[7]徹=切竊沏七拭-
ɬ	[7]失泄息-[8]實=翼
j	[8]熱日
k	[7]蠍結=決抉桔吉橘[8]竭{粥等粘稠}
kʰ	[7]揭=歇=乞[8]厥橛
∅	[7]乙一
#ut	
p	[7]不[8]佛
pʰ	[7]潑=脖勃渤拂
m	[8]末沫抹茉沒物=勿
w	[8]活=
t	[8]奪突凸
tʰ	[7]脫
l	[8]律率捋
ts	[7]撮輟卒[8]秫
tsʰ	[7]出猝黜
ɬ	[7]戌恤率蟀[8]術述
k	[7]葛括骨[8]滑猾掘
kʰ	[7]窟屈[8]倔崛
h	[7]豁忽惚彿[8]核{果核}
∅	[7]鬱斡熨
#ak	
p	[7]博-北幅-[8]薄墨默-縛
pʰ	[7]泊拍=珀覆[8]曝
m	[7]麥=陌[8]默=目-
t	[7]德斲{砍}[8]特獨毒
tʰ	[8]讀
l	[7]落=轆-[8]六
ts	[7]則摘謫[8]鑿-澤擇宅=擲
tsʰ	[7]廁側測惻[8]鑿-
k	[7]角桷革
kʰ	[7]殼刻克[8]喀
ŋ	[7]呃{欺騙}[8]齶=額=逆獄
h	[7]黑[8]壑齶-
∅	[7]沃-
#iak	
t	[8]鹿
l	[7]叻{厲害}[8]綠-氯
ts	[7]祝-燭囑
tsʰ	[7]粟-束-
ɬ	[7]粟=㩋{擊打}[8]熟贖
ȵ	[8]弱溺
kʰ	[7]曲
#uak	
k	[7]郭廓國幗虢
h	[7]霍-[8]或惑
#ɔk	
p	[7]博=搏駁百=伯=膊[8]帛
pʰ	[7]樸卜撲醭僕[8]僕
m	[7]莫漠剝沐穆牧[8]幕寞木目=睦
t	[7]篤督擉{紮}豚[8]度鐸踱
tʰ	[7]托{～管}託禿觸-柝
n	[8]諾
l	[7]烙駱酪洛絡=碌綠=轆=[8]樂=祿磟{～碡：一種農具}陸錄
ts	[7]作=桌捉竹=祝=粥足蜀[8]鑿=琢啄涿濁濯擢鐲=牘犢瀆族逐軸續
tsʰ	[7]綽桌卓戳齪速簇蹴築畜蓄矗促觸=束[8]碡
ɬ	[7]塑蟀索朔肅宿夙縮=叔=淑[8]俗屬孰塾
j	[7]鑰躍沃=育郁昱煜毓旭[8]若虐瘧辱褥欲慾浴峪
k	[7]各=閣=擱胳穀谷菊掬鞠[8]局侷焗
kʰ	[7]霍=蕾確
ŋ	[7]鄂鱷愕噩[8]玉嶽岳樂
h	[7]復郝獲穫福幅=蝠複腹覆=輻[8]服伏袱
∅	[7]惡=齷幄屋
#iɔk	
t	[7]斸{砍}
l	[7]掠=[8]略
ts	[7]酌灼[8]著=
tsʰ	[7]爵雀=鵲嚼焯勺芍碩
ɬ	[7]削爍
kʰ	[7]卻覺
∅	[7]約[8]哊{嘔吐聲}
