#符号说明：-白=文/书*俗?待考	
#调值	[1]²²⁴ [2]⁴⁴⁵ [3]⁵⁵ [6]⁵³⁵ [7]⁵ [8]¹³ [0]⁰
#ɿ	
p	[7]博剥驳卜{~卦}
pʰ	[7]箔朴扑仆覆1{趴}菔{萝~;萝卜} 
m	[7]膜寞摸□{白~：醭}
f	[7]霍2福幅蝠複腹覆2復 
t	[7]笃督厾□{肚~：兜肚}
tʰ	[7]秃
l	[7]落{角~头：角落}
ts	[7]着{~棋：下棋}桌卓琢啄涿捉竹筑祝粥菊掬足烛嘱斫
tsʰ	[7]戳畜{~生}麴促触曲□{看：~书}
s	[7]宿{星~}萨煞索速肃宿{住~}缩叔淑畜{~牧}蓄粟束 
k	[7]各阁搁胳郭角谷{姓}穀
kʰ	[7]窟廓扩确壳哭
x	[7]豁郝霍1藿

#ioʔ	
Ø	[7]郁育辱褥2

#ɔʔ	
p	[7]八□{屌~：阴茎}
pʰ	[8]拔2钹鹁薄缚
m	[8]蟆莫木目睦穆
f	[8]服伏袱
tʰ	[8]独读牍犊毒
l	[8]瘌鹿禄六陆绿录
tsʰ	[8]浊镯逐轴局
s	[8]煠{用水煮}凿勺族熟塾俗续赎蜀属
k	[7]胛

#iɔʔ	
Ø	[8]肉褥1玉狱欲浴
