	注释：-白读，=文读																																																
t	[1]丹单端[2]弹坛[4]断段[5]断{决～}																																																
tʰ	[1]吞[2]团[4]煅[5]炭叹□{丢失}																																																
l	[2]难兰拦栏㳕[3]暖卵=□{口水}[5]滥烂乱																																																
ts	[2]残□{草垫}[3]撰[5]钻撞																																																
tsʰ	[1]村餐[5]灿闯篡窜																																																
s	[1]酸[3]伞[5]算蒜散																																																
k	[1]干竿关官棺冠观[2]悬-{高}寒-[3]管馆杆秆[5]贯惯幹灌罐																																																
kʰ	[1]宽空-{闲}[2]环[3]款																																																
h	[1]肝-番翻昏欢[2]痕凡寒=还=鼾-横桓繁樊矾烦[3]反=[4]犯旱=范[5]汉汗换焕贩																																																
∅	[1]安弯湾鞍[3]碗晚挽腕宛[4]旱-[5]万温晏																																																
