简体	繁體	注释	声母	韵母	声调	IPA	吴拼	
伴	伴	文读，伙～	b	æ̃	³¹³	bæ̃³¹³	ban6	
绊	絆		b	æ̃	³¹³	bæ̃³¹³	ban6	
叛	叛		b	æ̃	³¹³	bæ̃³¹³	ban6	
蚌	蚌		b	æ̃	³¹³	bæ̃³¹³	ban6	
甏	甏	掇掇～～：一种粗矮的容器	b	æ̃	³¹³	bæ̃³¹³	ban6	
蛮	蠻	很	m	æ̃	⁴⁴³	mæ̃⁴⁴³	man1	
瞒	瞞	文读，欺～	m	æ̃	²³²	mæ̃²³²	man2	
虻	虻	牛～	m	æ̃	²³²	mæ̃²³²	man2	
猫	貓	“猫儿”的合音。躲～：躲猫猫；□u2～：捉迷藏	m	æ̃	²³²	mæ̃²³²	man2	
满	滿	文读，～意	m	æ̃	⁵³	mæ̃⁵³	man3	
蜢	蜢	虼～：蝗虫，蚱蜢	m	æ̃	⁵³	mæ̃⁵³	man3	
漫	漫		m	æ̃	³¹³	mæ̃³¹³	man6	
幔	幔		m	æ̃	³¹³	mæ̃³¹³	man6	
外	外	另～	m	æ̃	³¹³	mæ̃³¹³	man6	
藩	藩		f	æ̃	⁴⁴³	fæ̃⁴⁴³	fan1	
番	番		f	æ̃	⁴⁴³	fæ̃⁴⁴³	fan1	
贩	販		f	æ̃	⁴⁴	fæ̃⁴⁴	fan5	
泛	泛	广～	f	æ̃	⁴⁴	fæ̃⁴⁴	fan5	
凡	凡		v	æ̃	²³²	væ̃²³²	van2	
帆	帆	文读，风～	v	æ̃	²³²	væ̃²³²	van2	
烦	煩		v	æ̃	²³²	væ̃²³²	van2	
矾	礬		v	æ̃	²³²	væ̃²³²	van2	
繁	繁		v	æ̃	²³²	væ̃²³²	van2	
范	範	规～	v	æ̃	³¹³	væ̃³¹³	van6	
梵	梵		v	æ̃	³¹³	væ̃³¹³	van6	
万	萬	文读，～年青	v	æ̃	³¹³	væ̃³¹³	van6	
挽	挽	～联	v	æ̃	³¹³	væ̃³¹³	van6	
耽	耽		t	æ̃	⁴⁴³	tæ̃⁴⁴³	tan1	
丹	丹		t	æ̃	⁴⁴³	tæ̃⁴⁴³	tan1	
单	單		t	æ̃	⁴⁴³	tæ̃⁴⁴³	tan1	
郸	鄲		t	æ̃	⁴⁴³	tæ̃⁴⁴³	tan1	
端	端	文读，～正	t	æ̃	⁴⁴³	tæ̃⁴⁴³	tan1	
□	□	用手估重量	t	æ̃	⁴⁴³	tæ̃⁴⁴³	tan1	
打	打		t	æ̃	⁵³	tæ̃⁵³	tan3	
旦	旦	文读，元～	t	æ̃	⁴⁴	tæ̃⁴⁴	tan5	
锻	鍛		t	æ̃	⁴⁴	tæ̃⁴⁴	tan5	
贪	貪		tʰ	æ̃	⁴⁴³	tʰæ̃⁴⁴³	than1	
□	□	～头：讲的话	tʰ	æ̃	⁴⁴³	tʰæ̃⁴⁴³	than1	
坦	坦	文读，～白	tʰ	æ̃	⁵³	tʰæ̃⁵³	than3	
探	探		tʰ	æ̃	⁴⁴	tʰæ̃⁴⁴	than5	
叹	嘆	文读～息	tʰ	æ̃	⁴⁴	tʰæ̃⁴⁴	than5	
叹	歎		tʰ	æ̃	⁴⁴	tʰæ̃⁴⁴	than5	
碳	碳		tʰ	æ̃	⁴⁴	tʰæ̃⁴⁴	than5	
潭	潭	文读，泥～	d	æ̃	²³²	dæ̃²³²	dan2	
谭	譚		d	æ̃	²³²	dæ̃²³²	dan2	
谈	談		d	æ̃	²³²	dæ̃²³²	dan2	
檀	檀	文读，紫～	d	æ̃	²³²	dæ̃²³²	dan2	
团	團	～队	d	æ̃	²³²	dæ̃²³²	dan2	
诞	誕		d	æ̃	³¹³	dæ̃³¹³	dan6	
但	但		d	æ̃	³¹³	dæ̃³¹³	dan6	
弹	彈	～子	d	æ̃	³¹³	dæ̃³¹³	dan6	
蛋	蛋		d	æ̃	³¹³	dæ̃³¹³	dan6	
□	□	给物时的提示词	n	æ̃	⁴⁴³	næ̃⁴⁴³	nan1	
难	難	文读，困～	n	æ̃	²³²	næ̃²³²	nan2	
冷	冷		n	æ̃	⁵³	næ̃⁵³	nan3	
婪	婪		l	æ̃	²³²	læ̃²³²	lan2	
兰	蘭		l	æ̃	²³²	læ̃²³²	lan2	
鸾	鸞		l	æ̃	²³²	læ̃²³²	lan2	
銮	鑾		l	æ̃	²³²	læ̃²³²	lan2	
榄	欖		l	æ̃	⁵³	læ̃⁵³	lan3	
览	覽		l	æ̃	⁵³	læ̃⁵³	lan3	
卵	卵	文读，产～	l	æ̃	⁵³	læ̃⁵³	lan3	
滥	濫	文读，～用	l	æ̃	³¹³	læ̃³¹³	lan6	
簪	簪	文读	ts	æ̃	⁴⁴³	tsæ̃⁴⁴³	tsan1	
棦	棦	～节：树杆分枝的节结	ts	æ̃	⁴⁴³	tsæ̃⁴⁴³	tsan1	
斩	斬	文读，～钉截铁	ts	æ̃	⁵³	tsæ̃⁵³	tsan3	
纂	纂		ts	æ̃	⁵³	tsæ̃⁵³	tsan3	
崭	嶄	～～齐：很齐	ts	æ̃	⁵³	tsæ̃⁵³	tsan3	
赞	贊		ts	æ̃	⁴⁴	tsæ̃⁴⁴	tsan5	
赞	讚		ts	æ̃	⁴⁴	tsæ̃⁴⁴	tsan5	
㜺	㜺	味道～：味道好	ts	æ̃	⁴⁴	tsæ̃⁴⁴	tsan5	
参	參	～加	tsʰ	æ̃	⁴⁴³	tsʰæ̃⁴⁴³	tshan1	
惨	慘		tsʰ	æ̃	⁵³	tsʰæ̃⁵³	tshan3	
产	產	文读，生～	tsʰ	æ̃	⁵³	tsʰæ̃⁵³	tshan3	
餐	餐		tsʰ	æ̃	⁴⁴	tsʰæ̃⁴⁴	tshan5	
灿	燦		tsʰ	æ̃	⁴⁴	tsʰæ̃⁴⁴	tshan5	
窜	竄		tsʰ	æ̃	⁴⁴	tsʰæ̃⁴⁴	tshan5	
蹿	躥		tsʰ	æ̃	⁴⁴	tsʰæ̃⁴⁴	tshan5	
篡	篡		tsʰ	æ̃	⁴⁴	tsʰæ̃⁴⁴	tshan5	
惭	慚		dz	æ̃	²³²	dzæ̃²³²	dzan2	
残	殘		dz	æ̃	²³²	dzæ̃²³²	dzan2	
橙	橙	白读，～子：一种水果，似柚子而小	dz	æ̃	²³²	dzæ̃²³²	dzan2	
暂	暫		dz	æ̃	³¹³	dzæ̃³¹³	dzan6	
站	站		dz	æ̃	³¹³	dzæ̃³¹³	dzan6	
赚	賺		dz	æ̃	³¹³	dzæ̃³¹³	dzan6	
栈	棧	文读，客～	dz	æ̃	³¹³	dzæ̃³¹³	dzan6	
珊	珊		s	æ̃	⁴⁴³	sæ̃⁴⁴³	san1	
山	山	文读，～东	s	æ̃	⁴⁴³	sæ̃⁴⁴³	san1	
柑	柑		k	æ̃	⁴⁴³	kæ̃⁴⁴³	kan1	
甘	甘	文读，～甜	k	æ̃	⁴⁴³	kæ̃⁴⁴³	kan1	
尴	尷		k	æ̃	⁴⁴³	kæ̃⁴⁴³	kan1	
监	監	文读，太～	k	æ̃	⁴⁴³	kæ̃⁴⁴³	kan1	
肝	肝	文读，奶～：奶痨	k	æ̃	⁴⁴³	kæ̃⁴⁴³	kan1	
干	干	～支	k	æ̃	⁴⁴³	kæ̃⁴⁴³	kan1	
奸	奸	白读，～臣	k	æ̃	⁴⁴³	kæ̃⁴⁴³	kan1	
奸	姦	强～	k	æ̃	⁴⁴³	kæ̃⁴⁴³	kan1	
更	更	白读，五～	k	æ̃	⁴⁴³	kæ̃⁴⁴³	kan1	
䢚	䢚	从缝里走	k	æ̃	⁴⁴³	kæ̃⁴⁴³	kan1	
鲠	鯁	喉咙卡住	k	æ̃	⁴⁴³	kæ̃⁴⁴³	kan1	
庚	庚		k	æ̃	⁴⁴³	kæ̃⁴⁴³	kan1	
羹	羹	白读，～饭	k	æ̃	⁴⁴³	kæ̃⁴⁴³	kan1	
耕	耕		k	æ̃	⁴⁴³	kæ̃⁴⁴³	kan1	
□	□	～链索：铁链	k	æ̃	⁴⁴³	kæ̃⁴⁴³	kan1	
感	感	文读，～动	k	æ̃	⁵³	kæ̃⁵³	kan3	
敢	敢	文读，勇～	k	æ̃	⁵³	kæ̃⁵³	kan3	
橄	橄		k	æ̃	⁵³	kæ̃⁵³	kan3	
杆	杆		k	æ̃	⁵³	kæ̃⁵³	kan3	
杆	桿		k	æ̃	⁵³	kæ̃⁵³	kan3	
秆	稈		k	æ̃	⁵³	kæ̃⁵³	kan3	
干	幹	树～	k	æ̃	⁴⁴	kæ̃⁴⁴	kan5	
堪	堪		kʰ	æ̃	⁴⁴³	kʰæ̃⁴⁴³	khan1	
龛	龕		kʰ	æ̃	⁴⁴³	kʰæ̃⁴⁴³	khan1	
刊	刊		kʰ	æ̃	⁴⁴³	kʰæ̃⁴⁴³	khan1	
坑	坑		kʰ	æ̃	⁴⁴³	kʰæ̃⁴⁴³	khan1	
坎	坎	文读，帮～：地名	kʰ	æ̃	⁵³	kʰæ̃⁵³	khan3	
砍	砍		kʰ	æ̃	⁵³	kʰæ̃⁵³	khan3	
勘	勘		kʰ	æ̃	⁴⁴	kʰæ̃⁴⁴	khan5	
瞰	瞰		kʰ	æ̃	⁴⁴	kʰæ̃⁴⁴	khan5	
看	看	文读，试试～	kʰ	æ̃	⁴⁴	kʰæ̃⁴⁴	khan5	
亨	亨		h	æ̃	⁴⁴³	hæ̃⁴⁴³	han1	
罕	罕		h	æ̃	⁵³	hæ̃⁵³	han3	
汉	漢		h	æ̃	⁴⁴	hæ̃⁴⁴	han5	
含	含	文读，包～	ɦ	æ̃	²³²	ɦæ̃²³²	ghan2	
函	函		ɦ	æ̃	²³²	ɦæ̃²³²	ghan2	
涵	涵		ɦ	æ̃	²³²	ɦæ̃²³²	ghan2	
邯	邯		ɦ	æ̃	²³²	ɦæ̃²³²	ghan2	
衔	銜		ɦ	æ̃	²³²	ɦæ̃²³²	ghan2	
寒	寒	文读，大～	ɦ	æ̃	²³²	ɦæ̃²³²	ghan2	
韩	韓		ɦ	æ̃	²³²	ɦæ̃²³²	ghan2	
行	行	白读，～为；～弗牢：吃不消	ɦ	æ̃	²³²	ɦæ̃²³²	ghan2	
桁	桁	栋～：栋梁；～料：桁条	ɦ	æ̃	²³²	ɦæ̃²³²	ghan2	
撼	撼		ɦ	æ̃	³¹³	ɦæ̃³¹³	ghan6	
憾	憾		ɦ	æ̃	³¹³	ɦæ̃³¹³	ghan6	
翰	翰		ɦ	æ̃	³¹³	ɦæ̃³¹³	ghan6	
瀚	瀚		ɦ	æ̃	³¹³	ɦæ̃³¹³	ghan6	
硬	硬		ɦ	æ̃	³¹³	ɦæ̃³¹³	ghan6	
安	安	文读，～全	∅	æ̃	⁴⁴³	æ̃⁴⁴³	an1	
鞍	鞍		∅	æ̃	⁴⁴³	æ̃⁴⁴³	an1	
鹦	鸚	～哥戏	∅	æ̃	⁴⁴³	æ̃⁴⁴³	an1	
樱	櫻	白读，～珠：樱桃	∅	æ̃	⁴⁴³	æ̃⁴⁴³	an1	
㹙	㹙	小牛：冬冷弗算冷，春冷冻杀～	∅	æ̃	⁴⁴³	æ̃⁴⁴³	an1	
杏	杏		∅	æ̃	⁵³	æ̃⁵³	an3	
按	按		∅	æ̃	⁴⁴	æ̃⁴⁴	an5	
案	案		∅	æ̃	⁴⁴	æ̃⁴⁴	an5	
争	爭	白读，～相骂：吵架	tɕ	iæ̃	⁴⁴³	tɕiæ̃⁴⁴³	cian1	
睁	睜		tɕ	iæ̃	⁴⁴³	tɕiæ̃⁴⁴³	cian1	
□	□	～开：衣服缝线脱开	tɕ	iæ̃	⁴⁴	tɕiæ̃⁴⁴	cian5	
撑	撐		tɕʰ	iæ̃	⁴⁴³	tɕʰiæ̃⁴⁴³	chian1	
瞠	瞠	睁眼：眼睛～开来	tɕʰ	iæ̃	⁴⁴³	tɕʰiæ̃⁴⁴³	chian1	
□	□	簟～：晒谷的簟皮；篾粪～：一种篾制扁形器具	tɕʰ	iæ̃	⁴⁴³	tɕʰiæ̃⁴⁴³	chian1	
□	□	踹	tɕʰ	iæ̃	⁴⁴	tɕʰiæ̃⁴⁴	chian5	
□	□	添置：～得交关家生	tɕʰ	iæ̃	⁴⁴	tɕʰiæ̃⁴⁴	chian5	
生	生		ɕ	iæ̃	⁴⁴³	ɕiæ̃⁴⁴³	shian1	
牲	牲		ɕ	iæ̃	⁴⁴³	ɕiæ̃⁴⁴³	shian1	
甥	甥		ɕ	iæ̃	⁴⁴³	ɕiæ̃⁴⁴³	shian1	
省	省	～钞票	ɕ	iæ̃	⁵³	ɕiæ̃⁵³	shian3	
观	觀	～察	k	uæ̃	⁴⁴³	kuæ̃⁴⁴³	kuan1	
冠	冠	文读，～心病	k	uæ̃	⁴⁴³	kuæ̃⁴⁴³	kuan1	
鳏	鰥		k	uæ̃	⁴⁴³	kuæ̃⁴⁴³	kuan1	
关	關	文读，山海～	k	uæ̃	⁴⁴³	kuæ̃⁴⁴³	kuan1	
管	管	文读，～理	k	uæ̃	⁵³	kuæ̃⁵³	kuan3	
馆	館	文读，～子店	k	uæ̃	⁵³	kuæ̃⁵³	kuan3	
梗	梗	白读，植物茎；条状物体	k	uæ̃	⁵³	kuæ̃⁵³	kuan3	
冠	冠	～军	k	uæ̃	⁴⁴	kuæ̃⁴⁴	kuan5	
贯	貫	文读，～通	k	uæ̃	⁴⁴	kuæ̃⁴⁴	kuan5	
惯	慣		k	uæ̃	⁴⁴	kuæ̃⁴⁴	kuan5	
宽	寬	文读，～阔	kʰ	uæ̃	⁴⁴³	kʰuæ̃⁴⁴³	khuan1	
款	款	文读，～待	kʰ	uæ̃	⁵³	kʰuæ̃⁵³	khuan3	
□	□	～□ləʔ：以为	kʰ	uæ̃	⁴⁴	kʰuæ̃⁴⁴	khuan5	
环	環	文读，～境	ɡ	uæ̃	²³²	ɡuæ̃²³²	guan2	
寰	寰	～宇	ɡ	uæ̃	²³²	ɡuæ̃²³²	guan2	
欢	歡		h	uæ̃	⁴⁴³	huæ̃⁴⁴³	huan1	
□	□	长～～：很长	h	uæ̃	⁴⁴³	huæ̃⁴⁴³	huan1	
唤	喚		h	uæ̃	⁴⁴	huæ̃⁴⁴	huan5	
焕	煥		h	uæ̃	⁴⁴	huæ̃⁴⁴	huan5	
玩	玩	文读，古～	ɦ	uæ̃	²³²	ɦuæ̃²³²	wan2	
桓	桓		ɦ	uæ̃	²³²	ɦuæ̃²³²	wan2	
完	完	文读	ɦ	uæ̃	²³²	ɦuæ̃²³²	wan2	
丸	丸		ɦ	uæ̃	²³²	ɦuæ̃²³²	wan2	
纨	紈		ɦ	uæ̃	²³²	ɦuæ̃²³²	wan2	
顽	頑		ɦ	uæ̃	²³²	ɦuæ̃²³²	wan2	
横	橫	～直	ɦ	uæ̃	²³²	ɦuæ̃²³²	wan2	
换	換	文读，交～	ɦ	uæ̃	³¹³	ɦuæ̃³¹³	wan6	
患	患		ɦ	uæ̃	³¹³	ɦuæ̃³¹³	wan6	
宦	宦	～塘：地名	ɦ	uæ̃	³¹³	ɦuæ̃³¹³	wan6	
豌	豌		∅	uæ̃	⁴⁴³	uæ̃⁴⁴³	uan1	
湾	灣		∅	uæ̃	⁴⁴³	uæ̃⁴⁴³	uan1	
缓	緩		∅	uæ̃	⁵³	uæ̃⁵³	uan3	
皖	皖		∅	uæ̃	⁵³	uæ̃⁵³	uan3	
幻	幻		∅	uæ̃	⁵³	uæ̃⁵³	uan3	
晚	晚	文读，～会	∅	uæ̃	⁵³	uæ̃⁵³	uan3	
宛	宛		∅	uæ̃	⁵³	uæ̃⁵³	uan3	
婉	婉		∅	uæ̃	⁵³	uæ̃⁵³	uan3	
腕	腕		∅	uæ̃	⁴⁴	uæ̃⁴⁴	uan5	
编	編		p	iɛ̃	⁴⁴³	piɛ̃⁴⁴³	pien1	
边	邊		p	iɛ̃	⁴⁴³	piɛ̃⁴⁴³	pien1	
蝙	蝙		p	iɛ̃	⁴⁴³	piɛ̃⁴⁴³	pien1	
鳊	鯿		p	iɛ̃	⁴⁴³	piɛ̃⁴⁴³	pien1	
煸	煸	在沸油里炒到半熟	p	iɛ̃	⁴⁴³	piɛ̃⁴⁴³	pien1	
鞭	鞭	文读，～笋	p	iɛ̃	⁴⁴³	piɛ̃⁴⁴³	pien1	
篦	篦	～箕：篦子；用篦子梳头：～一～	p	iɛ̃	⁴⁴³	piɛ̃⁴⁴³	pien1	
贬	貶		p	iɛ̃	⁵³	piɛ̃⁵³	pien3	
扁	扁	文读，东西～	p	iɛ̃	⁵³	piɛ̃⁵³	pien3	
匾	匾		p	iɛ̃	⁵³	piɛ̃⁵³	pien3	
变	變		p	iɛ̃	⁴⁴	piɛ̃⁴⁴	pien5	
遍	遍	白读，～地	p	iɛ̃	⁴⁴	piɛ̃⁴⁴	pien5	
篇	篇		pʰ	iɛ̃	⁴⁴³	pʰiɛ̃⁴⁴³	phien1	
偏	偏	～生：偏偏	pʰ	iɛ̃	⁴⁴³	pʰiɛ̃⁴⁴³	phien1	
骗	騙	文读	pʰ	iɛ̃	⁴⁴	pʰiɛ̃⁴⁴	phien5	
片	片	文读	pʰ	iɛ̃	⁴⁴	pʰiɛ̃⁴⁴	phien5	
便	便	～宜	b	iɛ̃	²³²	biɛ̃²³²	bien2	
辨	辨		b	iɛ̃	³¹³	biɛ̃³¹³	bien6	
辩	辯		b	iɛ̃	³¹³	biɛ̃³¹³	bien6	
便	便	～当	b	iɛ̃	³¹³	biɛ̃³¹³	bien6	
汴	汴		b	iɛ̃	³¹³	biɛ̃³¹³	bien6	
卞	卞		b	iɛ̃	³¹³	biɛ̃³¹³	bien6	
辫	辮		b	iɛ̃	³¹³	biɛ̃³¹³	bien6	
缏	緶	衣服下摆；缲～头：贴边	b	iɛ̃	³¹³	biɛ̃³¹³	bien6	
□	□	椽子上放瓦的竹片	b	iɛ̃	³¹³	biɛ̃³¹³	bien6	
绵	綿		m	iɛ̃	²³²	miɛ̃²³²	mien2	
棉	棉	文读	m	iɛ̃	²³²	miɛ̃²³²	mien2	
眠	眠	文读，睡～	m	iɛ̃	²³²	miɛ̃²³²	mien2	
免	免		m	iɛ̃	⁵³	miɛ̃⁵³	mien3	
勉	勉		m	iɛ̃	⁵³	miɛ̃⁵³	mien3	
娩	娩		m	iɛ̃	⁵³	miɛ̃⁵³	mien3	
缅	緬		m	iɛ̃	⁵³	miɛ̃⁵³	mien3	
面	麵	一种食物	m	iɛ̃	³¹³	miɛ̃³¹³	mien6	
颠	顛	文读，～覆	t	iɛ̃	⁴⁴³	tiɛ̃⁴⁴³	tien1	
典	典	文读，词～	t	iɛ̃	⁵³	tiɛ̃⁵³	tien3	
天	天	文读，～子	tʰ	iɛ̃	⁴⁴³	tʰiɛ̃⁴⁴³	thien1	
电	電		d	iɛ̃	³¹³	diɛ̃³¹³	dien6	
廉	廉		l	iɛ̃	²³²	liɛ̃²³²	lien2	
镰	鐮		l	iɛ̃	²³²	liɛ̃²³²	lien2	
帘	帘		l	iɛ̃	²³²	liɛ̃²³²	lien2	
帘	簾		l	iɛ̃	²³²	liɛ̃²³²	lien2	
连	連		l	iɛ̃	²³²	liɛ̃²³²	lien2	
莲	蓮	～花；谢～：地名	l	iɛ̃	²³²	liɛ̃²³²	lien2	
钱	錢	又读，铜～	l	iɛ̃	²³²	liɛ̃²³²	lien2	
怜	憐		l	iɛ̃	²³²	liɛ̃²³²	lien2	
莲	蓮		l	iɛ̃	²³²	liɛ̃²³²	lien2	
鲢	鰱	～爿头：鲢鱼	l	iɛ̃	²³²	liɛ̃²³²	lien2	
□	□	馋人：～痨；～□dʑi2	l	iɛ̃	²³²	liɛ̃²³²	lien2	
脸	臉		l	iɛ̃	⁵³	liɛ̃⁵³	lien3	
敛	斂		l	iɛ̃	³¹³	liɛ̃³¹³	lien6	
殓	殮		l	iɛ̃	³¹³	liɛ̃³¹³	lien6	
练	練		l	iɛ̃	³¹³	liɛ̃³¹³	lien6	
炼	煉		l	iɛ̃	³¹³	liɛ̃³¹³	lien6	
楝	楝	苦～	l	iɛ̃	³¹³	liɛ̃³¹³	lien6	
恋	戀		l	iɛ̃	³¹³	liɛ̃³¹³	lien6	
尖	尖	文读，天雷～：地名	ts	iɛ̃	⁴⁴³	tsiɛ̃⁴⁴³	tsien1	
僭	僭		ts	iɛ̃	⁴⁴	tsiɛ̃⁴⁴	tsien5	
箭	箭		ts	iɛ̃	⁴⁴	tsiɛ̃⁴⁴	tsien5	
溅	濺		ts	iɛ̃	⁴⁴	tsiɛ̃⁴⁴	tsien5	
歼	殲		tsʰ	iɛ̃	⁴⁴³	tsʰiɛ̃⁴⁴³	tshien1	
签	籤	抽～	tsʰ	iɛ̃	⁴⁴³	tsʰiɛ̃⁴⁴³	tshien1	
纤	纖	～维	tsʰ	iɛ̃	⁴⁴³	tsʰiɛ̃⁴⁴³	tshien1	
迁	遷	文读，～徙	tsʰ	iɛ̃	⁴⁴³	tsʰiɛ̃⁴⁴³	tshien1	
钱	錢	文读，姓氏	dz	iɛ̃	²³²	dziɛ̃²³²	dzien2	
痊	痊		dz	iɛ̃	²³²	dziɛ̃²³²	dzien2	
全	全		dz	iɛ̃	²³²	dziɛ̃²³²	dzien2	
泉	泉	文读，～水	dz	iɛ̃	²³²	dziɛ̃²³²	dzien2	
潜	潛		dz	iɛ̃	³¹³	dziɛ̃³¹³	dzien6	
渐	漸		dz	iɛ̃	³¹³	dziɛ̃³¹³	dzien6	
践	踐		dz	iɛ̃	³¹³	dziɛ̃³¹³	dzien6	
暹	暹		s	iɛ̃	⁴⁴³	siɛ̃⁴⁴³	sien1	
仙	仙	文读，～居：地名	s	iɛ̃	⁴⁴³	siɛ̃⁴⁴³	sien1	
鲜	鮮	味道～	s	iɛ̃	⁴⁴³	siɛ̃⁴⁴³	sien1	
宣	宣		s	iɛ̃	⁴⁴³	siɛ̃⁴⁴³	sien1	
□	□	秤杆上翘	s	iɛ̃	⁴⁴³	siɛ̃⁴⁴³	sien1	
鲜	鮮	～少	s	iɛ̃	⁵³	siɛ̃⁵³	sien3	
藓	蘚		s	iɛ̃	⁵³	siɛ̃⁵³	sien3	
癣	癬	～疮	s	iɛ̃	⁵³	siɛ̃⁵³	sien3	
选	選		s	iɛ̃	⁵³	siɛ̃⁵³	sien3	
线	線	文读，电～	s	iɛ̃	⁴⁴	siɛ̃⁴⁴	sien5	
鏾	鏾	～鸡：阉鸡	s	iɛ̃	⁴⁴	siɛ̃⁴⁴	sien5	
贱	賤	便宜	z	iɛ̃	³¹³	ziɛ̃³¹³	zien6	
羡	羨		z	iɛ̃	³¹³	ziɛ̃³¹³	zien6	
旋	旋	文读，～风	z	iɛ̃	³¹³	ziɛ̃³¹³	zien6	
监	監	文读，～督	tɕ	iɛ̃	⁴⁴³	tɕiɛ̃⁴⁴³	cien1	
艰	艱		tɕ	iɛ̃	⁴⁴³	tɕiɛ̃⁴⁴³	cien1	
间	間	文读，～距	tɕ	iɛ̃	⁴⁴³	tɕiɛ̃⁴⁴³	cien1	
奸	奸	文读	tɕ	iɛ̃	⁴⁴³	tɕiɛ̃⁴⁴³	cien1	
坚	堅		tɕ	iɛ̃	⁴⁴³	tɕiɛ̃⁴⁴³	cien1	
减	減	文读，～法	tɕ	iɛ̃	⁵³	tɕiɛ̃⁵³	cien3	
检	檢		tɕ	iɛ̃	⁵³	tɕiɛ̃⁵³	cien3	
简	簡		tɕ	iɛ̃	⁵³	tɕiɛ̃⁵³	cien3	
柬	柬		tɕ	iɛ̃	⁵³	tɕiɛ̃⁵³	cien3	
介	介	蒋～石	tɕ	iɛ̃	⁴⁴	tɕiɛ̃⁴⁴	cien5	
鉴	鑒		tɕ	iɛ̃	⁴⁴	tɕiɛ̃⁴⁴	cien5	
剑	劍		tɕ	iɛ̃	⁴⁴	tɕiɛ̃⁴⁴	cien5	
间	間	～谍	tɕ	iɛ̃	⁴⁴	tɕiɛ̃⁴⁴	cien5	
苋	莧	～浦：地名	tɕ	iɛ̃	⁴⁴	tɕiɛ̃⁴⁴	cien5	
谏	諫		tɕ	iɛ̃	⁴⁴	tɕiɛ̃⁴⁴	cien5	
建	建		tɕ	iɛ̃	⁴⁴	tɕiɛ̃⁴⁴	cien5	
见	見		tɕ	iɛ̃	⁴⁴	tɕiɛ̃⁴⁴	cien5	
谦	謙		tɕʰ	iɛ̃	⁴⁴³	tɕʰiɛ̃⁴⁴³	chien1	
舰	艦	文读，航空母～；～队	tɕʰ	iɛ̃	⁵³	tɕʰiɛ̃⁵³	chien3	
歉	歉		tɕʰ	iɛ̃	⁵³	tɕʰiɛ̃⁵³	chien3	
遣	遣		tɕʰ	iɛ̃	⁵³	tɕʰiɛ̃⁵³	chien3	
谴	譴		tɕʰ	iɛ̃	⁵³	tɕʰiɛ̃⁵³	chien3	
嵌	嵌	文读，镶～	tɕʰ	iɛ̃	⁴⁴	tɕʰiɛ̃⁴⁴	chien5	
欠	欠		tɕʰ	iɛ̃	⁴⁴	tɕʰiɛ̃⁴⁴	chien5	
芡	芡	文读，勾～	tɕʰ	iɛ̃	⁴⁴	tɕʰiɛ̃⁴⁴	chien5	
乾	乾		dʑ	iɛ̃	²³²	dʑiɛ̃²³²	jien2	
虔	虔		dʑ	iɛ̃	²³²	dʑiɛ̃²³²	jien2	
□	□	～糖：麦芽糖	dʑ	iɛ̃	²³²	dʑiɛ̃²³²	jien2	
俭	儉	文读，节～	dʑ	iɛ̃	³¹³	dʑiɛ̃³¹³	jien6	
键	鍵		dʑ	iɛ̃	³¹³	dʑiɛ̃³¹³	jien6	
健	健	文读，～康	dʑ	iɛ̃	³¹³	dʑiɛ̃³¹³	jien6	
腱	腱		dʑ	iɛ̃	³¹³	dʑiɛ̃³¹³	jien6	
□	□	～头佬：头歪的人	dʑ	iɛ̃	³¹³	dʑiɛ̃³¹³	jien6	
黏	黏		ȵ	iɛ̃	⁴⁴³	ȵiɛ̃⁴⁴³	gnien1	
研	研		ȵ	iɛ̃	⁴⁴³	ȵiɛ̃⁴⁴³	gnien1	
阎	閻		ȵ	iɛ̃	²³²	ȵiɛ̃²³²	gnien2	
严	嚴		ȵ	iɛ̃	²³²	ȵiɛ̃²³²	gnien2	
年	年	文读，～～有余	ȵ	iɛ̃	²³²	ȵiɛ̃²³²	gnien2	
鲇	鯰		ȵ	iɛ̃	²³²	ȵiɛ̃²³²	gnien2	
惹	惹	～草子：苍耳；～风骚：小孩黏人	ȵ	iɛ̃	⁵³	ȵiɛ̃⁵³	gnien3	
俨	儼		ȵ	iɛ̃	⁵³	ȵiɛ̃⁵³	gnien3	
验	驗		ȵ	iɛ̃	³¹³	ȵiɛ̃³¹³	gnien6	
谚	諺		ȵ	iɛ̃	³¹³	ȵiɛ̃³¹³	gnien6	
彦	彥		ȵ	iɛ̃	³¹³	ȵiɛ̃³¹³	gnien6	
轩	軒		ɕ	iɛ̃	⁴⁴³	ɕiɛ̃⁴⁴³	shien1	
掀	掀		ɕ	iɛ̃	⁴⁴³	ɕiɛ̃⁴⁴³	shien1	
险	險		ɕ	iɛ̃	⁵³	ɕiɛ̃⁵³	shien3	
显	顯	～灵	ɕ	iɛ̃	⁵³	ɕiɛ̃⁵³	shien3	
蚬	蜆	黄～	ɕ	iɛ̃	⁵³	ɕiɛ̃⁵³	shien3	
□	□	脾气古怪	ɕ	iɛ̃	⁵³	ɕiɛ̃⁵³	shien3	
宪	憲		ɕ	iɛ̃	⁴⁴	ɕiɛ̃⁴⁴	shien5	
献	獻		ɕ	iɛ̃	⁴⁴	ɕiɛ̃⁴⁴	shien5	
冶	冶		ɦ	iɛ̃	²³²	ɦiɛ̃²³²	yen2	
咸	咸	～丰	ɦ	iɛ̃	²³²	ɦiɛ̃²³²	yen2	
