简体	繁體	注释	声母	韵母	声调	IPA	吴拼	
弊	弊		b	i	³¹³	bi³¹³	bi6	
陛	陛		b	i	³¹³	bi³¹³	bi6	
被	被		b	i	³¹³	bi³¹³	bi6	
婢	婢		b	i	³¹³	bi³¹³	bi6	
避	避		b	i	³¹³	bi³¹³	bi6	
鐾	鐾	摩擦；～刀布：磨刀布	b	i	³¹³	bi³¹³	bi6	
微	微	白读，～～小	m	i	⁴⁴³	mi⁴⁴³	mi1	
眯	眯		m	i	⁴⁴³	mi⁴⁴³	mi1	
渳	渳	小口喝	m	i	⁴⁴³	mi⁴⁴³	mi1	
搣	搣	～螺丝；～线	m	i	⁴⁴³	mi⁴⁴³	mi1	
微	微	白读，～缝：没有缝隙	m	i	²³²	mi²³²	mi2	
迷	迷		m	i	²³²	mi²³²	mi2	
谜	謎	～语	m	i	²³²	mi²³²	mi2	
糜	糜		m	i	²³²	mi²³²	mi2	
弥	彌		m	i	²³²	mi²³²	mi2	
靡	靡		m	i	²³²	mi²³²	mi2	
蘼	蘼	～花草：荼蘼	m	i	²³²	mi²³²	mi2	
眉	眉		m	i	²³²	mi²³²	mi2	
棉	棉	白读，～花	m	i	²³²	mi²³²	mi2	
眠	眠	白读，头～；二～	m	i	²³²	mi²³²	mi2	
米	米	～饭	m	i	⁵³	mi⁵³	mi3	
尾	尾	白读，～巴	m	i	⁵³	mi⁵³	mi3	
□	□	～鱼：梅鱼	m	i	⁴⁴	mi⁴⁴	mi5	
面	面	脸；反～首：反面；顺～首：正面	m	i	³¹³	mi³¹³	mi6	
飞	飛		f	i	⁴⁴³	fi⁴⁴³	fi1	
非	非		f	i	⁴⁴³	fi⁴⁴³	fi1	
妃	妃		f	i	⁴⁴³	fi⁴⁴³	fi1	
菲	菲		f	i	⁴⁴³	fi⁴⁴³	fi1	
匪	匪		f	i	⁵³	fi⁵³	fi3	
榧	榧		f	i	⁵³	fi⁵³	fi3	
痱	痱		f	i	⁵³	fi⁵³	fi3	
废	廢		f	i	⁴⁴	fi⁴⁴	fi5	
肺	肺		f	i	⁴⁴	fi⁴⁴	fi5	
沸	沸	油炸；吵闹	f	i	⁴⁴	fi⁴⁴	fi5	
痱	痱		f	i	⁴⁴	fi⁴⁴	fi5	
费	費	～用	f	i	⁴⁴	fi⁴⁴	fi5	
维	維		v	i	²³²	vi²³²	vi2	
惟	惟		v	i	²³²	vi²³²	vi2	
唯	唯		v	i	²³²	vi²³²	vi2	
肥	肥		v	i	²³²	vi²³²	vi2	
薇	薇		v	i	²³²	vi²³²	vi2	
微	微	文读，～小	v	i	²³²	vi²³²	vi2	
□	□	～□iʊ2：蝙蝠	v	i	²³²	vi²³²	vi2	
费	費	姓氏	v	i	³¹³	vi³¹³	vi6	
尾	尾	文读，～气	v	i	³¹³	vi³¹³	vi6	
未	未		v	i	³¹³	vi³¹³	vi6	
味	味		v	i	³¹³	vi³¹³	vi6	
低	低		t	i	⁴⁴³	ti⁴⁴³	ti1	
底	底		t	i	⁵³	ti⁵³	ti3	
抵	抵	～子箍：顶针	t	i	⁵³	ti⁵³	ti3	
帝	帝		t	i	⁴⁴	ti⁴⁴	ti5	
梯	梯	文读，电～	tʰ	i	⁴⁴³	tʰi⁴⁴³	thi1	
体	體		tʰ	i	⁵³	tʰi⁵³	thi3	
替	替		tʰ	i	⁴⁴	tʰi⁴⁴	thi5	
涕	涕		tʰ	i	⁴⁴	tʰi⁴⁴	thi5	
剃	剃		tʰ	i	⁴⁴	tʰi⁴⁴	thi5	
屉	屜	一～蒸笼	tʰ	i	⁴⁴	tʰi⁴⁴	thi5	
嚏	嚏	喷～	tʰ	i	⁴⁴	tʰi⁴⁴	thi5	
䪆	䪆	粉末细腻	tʰ	i	⁴⁴	tʰi⁴⁴	thi5	
堤	堤		d	i	²³²	di²³²	di2	
提	提	酒～：从酒缸里舀酒的长形器具	d	i	²³²	di²³²	di2	
题	題		d	i	²³²	di²³²	di2	
蹄	蹄		d	i	²³²	di²³²	di2	
啼	啼		d	i	²³²	di²³²	di2	
钱	錢	白读，铜～；洋～；值～	d	i	²³²	di²³²	di2	
弟	弟	～郎：弟弟	d	i	³¹³	di³¹³	di6	
第	第		d	i	³¹³	di³¹³	di6	
递	遞	文读，快～	d	i	³¹³	di³¹³	di6	
隶	隸		d	i	³¹³	di³¹³	di6	
逮	逮	～捕	d	i	³¹³	di³¹³	di6	
地	地		d	i	³¹³	di³¹³	di6	
你	你		n	i	⁵³	ni⁵³	ni3	
驴	驢		l	i	²³²	li²³²	li2	
闾	閭	儒～：地名	l	i	²³²	li²³²	li2	
犁	犁		l	i	²³²	li²³²	li2	
黎	黎		l	i	²³²	li²³²	li2	
篱	籬		l	i	²³²	li²³²	li2	
离	離		l	i	²³²	li²³²	li2	
璃	璃		l	i	²³²	li²³²	li2	
梨	梨		l	i	²³²	li²³²	li2	
厘	釐		l	i	²³²	li²³²	li2	
吕	呂		l	i	⁵³	li⁵³	li3	
侣	侶		l	i	⁵³	li⁵³	li3	
铝	鋁		l	i	⁵³	li⁵³	li3	
