#a			
f	[5]泛范{师~}[6]犯		
t	[1]耽担[2]谭潭谈痰[3]胆[4]淡[5]担		
tʰ	[1]贪[5]探		
n	[1]喃{嘟囔：~经（念经）}[2]男南[4]腩{牛~；肚~}		
l	[2]蓝篮[4]览揽榄{~子：橄榄}舰缆{一条~}		
ɬ	[1]三[3]糁{撒}[2]馋		
ts	[1]簪[2]鑱{扎，刺}[3]斩		
tsʰ	[1]参[3]惨[5]杉[6]暂站{车~}		
s	[1]衫		
k	[1]甘柑监{~狱}[3]感敢减[5]鉴{~定}		
kʰ	[3]坎{门~：门槛儿}[5]勘{~探}		
ŋ	[2]岩癌[5]啱{刚刚，恰好}恰{训读}		
h	[2]含函鹹衔{军~}[5]喊墈{江~：河岸。《广韵》苦绀切：“险岸”}		
Ø	[5]暗		
j	[5]□{渗出}		
#em			
t	[3]点{两~钟}		
n	[1]□{白~：扒手}		
ɬ	[3]糁{撒}		
tsʰ	[1]鹐{鸭~菜：鸭子吃菜}		
k	[2]钳□{火苗燎}[4]□{舔}		
#im			
t	[2]甜[3]点{~名}典[5]店		
tʰ	[1]添[6]垫		
n	[1]粘{粘贴}[2]严[6]验念鲇{~鱼}		
l	[2]帘廉镰{禾~}联[4]敛{收拢，聚拢}		
ts	[1]尖粘{~米（与糯米相对）}[2]挦{~毛：拔毛。《集韵》徐廉切：“摘也”}[5]占{~领}		
tsʰ	[1]歼签迁{拆~}[6]渐		
s	[2]潜[3]闪陕{~西}		
k	[5]剑		
kʰ	[1]兼谦[3]检[5]歉[6]俭		
ŋ	[4]染		
h	[2]盐嫌檐{屋~}[3]险遣{派~}[5]欠劝		
Ø	[1]阉[2]芫{~荽}[3]掩演厣{结~：结痂}[5]厌		
#ɐm			
p	[2]□{~pi³³：蜻蜓}		
t	[3]□{劫道}□{~布：织布}		
n	[2]腍{软；烂}□{tœŋ³⁵~~：粘稠}[3]谂{思考}[5]□{刺入}[6]□{（木头）朽}□{tœŋ³⁵tœŋ³⁵~~：（水）很浑}		
l	[2]林临淋[5]□{崩塌，陷落}		
ɬ	[1]心		
ts	[1]针斟砧{~板}[2]寻沉覃{姓氏}□{吟吟~~：嘟嘟囔囔}[3]枕[5]浸		
tsʰ	[1]侵[3]寝		
s	[1]森深参{人~}[2]蟾[3]沈{~阳}审婶[6]甚{~至}		
k	[1]今金[2]岑{~溪县}琴禽擒[4]妗{~娘：舅母}[5]禁{~止}		
kʰ	[1]襟{老~：连襟}禁{~用：耐用}[3]锦□{覆盖}[6]揿		
ŋ	[2]吟{~~tsɐm²¹tsɐm²¹：嘟嘟囔囔}		
h	[1]钦{~州市}		
Ø	[3]揞		
ŋi	[2]壬[3]饮[6]任{责~}		
j	[1]阴音		
#m̩			
