聲韻	調類	調值	
pɛi	1	443	杯揹陂
pɛi	5	554	背
pʱɛi	1	443	胚坯
pʱɛi	2	14	培（白）赔（白）陪（白）
pʱɛi	4	11	背（白：～书、～时）
pʱɛi	5	554	配（白）沛
pʱɛi	6	223	倍焙
mɛi	1	443	霉（倒～）痗
mɛi	2	14	玫（白）枚（白）梅（白：～仙，平江地名也）媒煤霉（发～）
mɛi	4	11	每
mɛi	5	554	妹（文）
mɛi	6	223	妹（白）
fɛi	1	443	灰（白）恢
fɛi	6	223	会（白）
tɛi	1	443	堆
tɛi	3	35	歹
tɛi	5	554	戴对碓兑队隊
tʱɛi	1	443	胎（白）推（白）
tʱɛi	2	14	抬（白）台（白）苔（白）颓□（～子：犹言“这样儿”也）
tʱɛi	3	35	腿
tʱɛi	4	11	□（～处：到处也）
tʱɛi	5	554	退（白）蜕（白）
tʱɛi	6	223	代（白）袋（白）殆（白）怠（白）待（白）贷（白）
nɛi	2	14	雷擂来
nɛi	4	11	磊累垒馁屡
nɛi	5	554	耒筙
nɛi	6	223	累（白）内（白）
ʦɛi	1	443	栽哉
ʦɛi	3	35	崽载
ʦɛi	5	554	再载
ʦʱɛi	1	443	崔催摧
ʦʱɛi	2	14	才材财豺裁□（～式：犹言“这样儿”也）
ʦʱɛi	4	11	□（这么也，～ʦʱɛi˥˥˦，犹“反正”也）
ʦʱɛi	5	554	菜
ʦʱɛi	6	223	在
sɛi	1	443	腮鳃衰
sɛi	3	35	□（～田：耕田也）
sɛi	5	554	碎白
kɛi	1	443	该
kɛi	3	35	改
kʱɛi	1	443	开
ŋɛi	2	14	捱
ŋɛi	5	554	爱嫒
ŋɛi	6	223	碍
xɛi	6	223	害亥
uɛi	1	443	煨（白）
uɛi	2	14	回（白）
kuɪ	1	443	归龟规圭硅闺
kuɪ	3	35	鬼诡晷轨
kuɪ	5	554	贵刽桧会桂癸鳜瑰据（白）
kʱuɪ	1	443	亏盔窥魁
kʱuɪ	2	14	癸葵奎逵揆睽夔桅珪
kʱuɪ	3	35	跪
kʱuɪ	5	554	愧溃馈
kʱuɪ	6	223	柜（文）
uɪ	1	443	威煨巍微
uɪ	2	14	为维唯帷惟围违危桅嵬巍遗
uɪ	4	11	伪尾（文）伟苇纬委诿萎
uɪ	5	554	畏卫
uɪ	6	223	胃谓渭猬蝟未味昧魏位
pɑu	1	443	褒煲包苞胞鸨
pɑu	3	35	保葆褓堡宝饱
pɑu	5	554	报爆豹龅鲍
pʱɑu	1	443	抛僄（～皮）鳔泡
pʱɑu	2	14	袍刨（文）咆匏
pʱɑu	3	35	跑
pʱɑu	4	11	抱（白）
pʱɑu	5	554	雹炮砲
pʱɑu	6	223	暴菢铇刨（白）
mɑu	1	443	猫（文）
mɑu	2	14	毛矛茅锚
mɑu	4	11	卯
mɑu	5	554	冒（文）貌（文）
mɑu	6	223	冇冒（白）貌（白）
tɑu	1	443	刀
tɑu	3	35	倒岛捣祷
tɑu	5	554	到倒
tʱɑu	1	443	叨滔绦
tʱɑu	2	14	桃逃掏陶萄淘涛焘
tʱɑu	3	35	讨
tʱɑu	5	554	套导
tʱɑu	6	223	稻蹈道盗
nɑu	1	443	□（言触摸也）
nɑu	2	14	唠捞劳涝痨牢
nɑu	4	11	老脑恼瑙
nɑu	5	554	脑垴
nɑu	6	223	闹
ʦɑu	1	443	糟遭
ʦɑu	3	35	早蚤找枣澡藻爪笊
ʦɑu	5	554	灶罩
ʦʱɑu	1	443	抄操钞
ʦʱɑu	2	14	曹嘈槽糟巢
ʦʱɑu	3	35	草吵炒騲
ʦʱɑu	4	11	皂
ʦʱɑu	5	554	糙噪躁燥操
ʦʱɑu	6	223	造濯
sɑu	1	443	筲捎梢搔骚臊
sɑu	3	35	稍嫂
sɑu	5	554	扫哨潲
ʧɑu	1	443	朝钊招昭沼玿
ʧɑu	5	554	诏照
ʧʱɑu	1	443	超
ʧʱɑu	2	14	朝潮嘲
ʧʱɑu	6	223	赵兆晁肇
ʃɑu	1	443	烧
ʃɑu	2	14	韶苕
ʃɑu	3	35	少
ʃɑu	5	554	少邵
ʃɑu	6	223	召绍
kɑu	1	443	高膏篙羔糕交（白：一～雨）茭跤胶白
kɑu	3	35	稿镐搞搅白
kɑu	5	554	觉告诰窖教（白）校（白）较（白：动词也）
kʱɑu	1	443	敲
kʱɑu	3	35	考烤拷巧（白）
kʱɑu	4	11	搞（训：乱动别人东西也）
kʱɑu	5	554	靠铐犒
ŋɑu	1	443	凹（文）爊
ŋɑu	2	14	敖熬骜𠢕鏖翱
ŋɑu	3	35	袄拗（训：～断）
ŋɑu	4	11	咬（文）
ŋɑu	5	554	奥澳懊坳拗傲
xɑu	1	443	蒿镐薅睾
xɑu	2	14	毫豪壕嚎号
xɑu	3	35	好
xɑu	4	11	浩
xɑu	5	554	好耗孝（白）
xɑu	6	223	号皓
piɑu	1	443	标彪镳飙膘熛
piɑu	3	35	表錶婊裱
pʱiɑu	1	443	飘缥漂
pʱiɑu	2	14	瓢嫖薸朴
pʱiɑu	3	35	瞟漂剽剖
pʱiɑu	5	554	票漂
miɑu	1	443	瞄喵
miɑu	2	14	苗描瞄猫白谋
miɑu	4	11	秒缈渺藐邈某亩牡
miɑu	5	554	秒妙缪谬
miɑu	6	223	庙茂贸
tiɑu	1	443	刁叼貂碉凋雕
tiɑu	3	35	鸟（白）屌
tiɑu	5	554	吊文钓调文掉文悼
tʱiɑu	1	443	挑佻祧（～fu：堂屋也）
tʱiɑu	2	14	调条迢
tʱiɑu	3	35	斢窕
tʱiɑu	5	554	眺跳佻籴粜
tʱiɑu	6	223	吊白掉调白撂
niɑu	2	14	辽疗僚潦瞭撩燎寥聊嬲
niɑu	4	11	了瞭
niɑu	5	554	廖（文）
niɑu	6	223	料廖（白）尦
ʦiɑu	1	443	焦蕉礁椒
ʦiɑu	3	35	剿
ʦiɑu	5	554	醮
