来源：	宋小丽 2012《山西孝义白壁关话语音研究》；Skanda 整理录入
l	［2］劳捞牢唠痨饹{饸～面}［3］老了-{～～：语气助词}栳{圪～}［5］涝落-{～下：鸟着落}烙-{～饼}骆-{～驼}酪醪{～糟}
ts	［1］遭糟［3］早枣蚤澡［5］皂造躁灶噪燥罩笊{～篱}焯{～菜：微煮}□{很～：困乏}
tsʰ	［1］操抄钞［2］曹槽巢褿{～了：衣服脏了}［3］草吵炒［5］糙襙{失～：衣服洗不干净}□{～锅：用食物蘸余羹}□{两三～：清洗衣服的次数}
s	［1］骚臊{～气}梢捎稍［3］扫{～地}嫂［5］扫{～帚}潲哨□{～：喝令牲口后退}□{～起：寂寞}
tʂ	［1］朝{～阳}招=昭沼［3］找［5］召照=诏赵兆
tʂʰ	［1］超晁［2］朝{～代}潮
ʂ	［1］烧［3］少{多～}［5］韶{～关}绍邵少{～年}
ʐ	［2］饶［3］扰{～乱}绕{围～}［5］绕={～远}
k	［1］高={～远}膏={牙～}羔=篙糕={～点}［3］稿搞镐［5］告=
kʰ	［3］考烤［5］靠={依～}犒铐=
ŋ	［1］爊=［2］熬=［3］拗{～断}袄［5］懊奥鏊=坳傲拗{～口}□{～开：撬开}
x	［1］蒿{毛～}薅{～草}［2］豪壕毫号{呼～}□{～葱儿：栽葱}［3］好{～事}［5］浩好{喜～}耗号{～码}耗{～油：炸油}□{～：右，喝令牲口的声音}
#iaɔ	
p	［1］膘={肥～}鳔={鱼～}标彪镖{保～}［3］表={手～}裱={装～}婊={～子}［5］摽={～住做活计咧}
pʰ	［1］飘={～起来}漂={～走}［2］瓢={秃～}嫖={～客}［3］漂={～白}［5］票={车～}漂={～亮}
m	［2］苗={青～}描={～写}喵瞄［3］藐渺秒［5］庙={～里}妙={美～}苗={～条}
t	［1］刁={～蛮}叼雕貂凋碉［3］屌{～：脏话}［5］钓={～钩}调={～动}掉={～头}吊={上～}
tʰ	［1］挑={～水}笤={～帚}劁={～猪}窕{窈～}［2］调={～和}条={粉～}［3］挑={～担}［5］跳={～远}粜={～米}苕={灰～菜}
n	［3］咬鸟［5］尿=
l	［2］燎={～着}镣={～窝：炉渣坑}撩={～起}缭={～边}獠={～牙}潦={～浆泡}聊［3］燎={火～眉}了={～结}［5］瞭={～望}料={～子}尥={马～蹶子}廖撂
tɕ	［1］交郊胶教{～书}焦={烧～}椒={花～}浇={～花}娇={～气}蕉骄［3］狡饺铰搅={圪～}绞={～水}剿缴侥矫［5］教{～育}校{～对}较酵觉{睡～}噍={倒～}叫={喊～}窖={～里}轿
tɕʰ	［1］敲锹［2］悄={～～地}乔侨桥荞{～麦}跷={高～}樵瞧［3］巧［5］俏窍撬鞘{刀～}
ɕ	［1］消={～失}霄宵硝销嚣萧箫潇逍［2］淆［3］小={～孩}晓［5］孝效校{学～}笑={～脸}
Ø	［1］妖={～怪}腰={～带}约={～摸}邀吆［2］肴谣姚摇={～动}窑={砖～}遥{平～}夭［3］舀={～水}杳［5］要={～求}鹞={～鹰}葽={草～子}靿={鞋～子}耀
#ou	
pʰ	［1］剖=掊
m	［2］谋眸哞［3］某
t	［1］都{～是}兜［3］斗{量器}抖陡敨{～开：展开}［5］豆逗痘斗{～争}窦
tʰ	［1］偷［2］头投［5］透□{～：交媾}
n	［2］奴□{～：娇气}［3］努=［5］怒
l	［2］庐-炉-卢芦楼搂{～柴}耧娄{这瓜吃得酥～地儿：疏松}髅□{不～做：够}［3］鲁橹虏卤搂{～抱}篓{～子}［5］路赂露漏陋陆-□{圪～：打嗝儿}
ts	［1］租邹掫搊{～起来}诌{胡～}［3］祖-组-走［5］奏皱绉揍{～是}
tsʰ	［1］粗-搊{～鞋：提}［2］愁仇［5］醋-凑措-{～施}
s	［1］苏酥搜嗖飕馊蛆{～了：蠹}［3］叟擞{圪～：抖动}嗦-{圪～：哆嗦}□{～：倾囊倒出}［5］素诉塑嗉{雀儿～～}嗽漱-瘦
tʂ	［1］周舟州洲粥［3］肘=帚□{～住：催迫}［5］纣昼宙骤咒轴□{～巴巴地儿：脾气倔}
tʂʰ	［1］抽［2］绸稠筹酬［3］丑瞅［5］臭{香～}
ɳ	［3］扭-{～紧}纽-肘-{～圪～骨儿}
ʂ	［1］收［3］手首守［5］受寿授售兽
ʐ	［2］柔揉蹂［5］肉□{～了一足：用光脚板踢人或踩物}
k	［1］勾{～引}钩沟［3］狗枸苟［5］够构勾{～当}购
kʰ	［1］抠［3］口［5］叩扣寇
ŋ	［1］欧呕殴［3］藕偶熰{～了：烧焦}［5］怄沤{～了：久浸水中}
x	［2］猴侯喉=瘊［3］吼［5］后厚候
#iou	
m	［2］咪{～～：唤猫声}［5］谬
t	［1］丢□{～上：“提溜”的合音}□{～溜子：老鹰}
tʰ	［3］□{～：滑}□{～人：批评}
n	［2］牛妞［3］扭-{别～}纽-
l	［2］流刘留榴硫琉溜{酸～～}［3］柳□{～舔：巴结}□{～头发：削}［5］馏{～熟：蒸}六遛溜{～瓦}镏{金～子}□{滴～儿：房檐下垂挂着的冰条}□{一～～树儿：量词，行}□{丢～子：老鹰}
tɕ	［1］揪{一把～住}鬏{梳个～儿}鸠阄纠咎蹴{圪～：蹲}□{～儿：男性生殖器}［3］酒九久韭灸□{～～：锤击}［5］就=舅臼救究旧柩□{～手：顺手}
tɕʰ	［1］秋丘邱煪{烟～住啦：煤气中毒}［2］囚泅求球仇{姓}□{～眉竖眼：横眉瞪眼}［3］糗□{～：催迫}□{～得窑儿里不出来：依偎，宅}［5］□{～油没谈：漫不经心}
ɕ	［1］修羞休［3］朽［5］秀绣宿{星～}锈袖嗅=□{～～：使犬吠}
Ø	［1］忧优幽［2］尤邮由油蚰{～蜒}游犹悠［3］有友酉莠［5］诱又右=祐佑柚鼬釉幼
#aŋ	
p	［1］斑班颁扳般=搬=梆=帮=邦［3］板版榜绑=扁-{～担}膀=［5］扮瓣办伴=拌=半=绊谤傍棒=
pʰ	［1］攀潘滂旁螃蟠［2］爿盘=庞［5］盼判胖=叛袢{～～：狗脖子上的带子}
m	［2］蛮瞒=蔓馒忙=茫芒=盲氓妈-［3］满=莽=蟒［5］慢漫=幔=嫚{懈～：轻视}
t	［1］耽担{～任}丹裆=单当={～时}铛噹［3］胆挡=党=［5］淡氮石{一～：量词}担{挑～}诞旦但弹{子～}蛋当={～作}宕荡挡={～着不让走：制止}□{～子：房上的梁}□{～面：筛}
tʰ	［1］贪坍摊滩汤［2］潭谭谈痰檀墰弹{～琴}堂=棠螳唐糖塘［3］毯掸{鸡毛～子}坦倘淌躺=［5］探炭碳叹烫=趟=
n	［2］南男难{～事}楠囊［3］喃{圪～～：絮絮叨叨}馕{～～：吃，贬义色彩}［5］难{危～}□{～进：陷于泥中}
l	［2］蓝篮兰拦栏岚褴啷阑郎=廊狼=琅□{～肉：把肉炒熟}［3］漤{～柿子}览揽榄懒朗缆懒［5］滥缆烂浪
ts	［1］簪脏［3］攒斩盏［5］蘸{～酱油}暂脏{五～}錾{～子}站赞绽{破～}葬藏{～族}牂{～羊：肉用羊}崭{～新}
tsʰ	［1］参惭搀餐仓苍舱［2］蚕馋搀谗残藏{～起来}黪{黑～～}［3］惨铲产［5］灿璨
s	［1］三杉衫珊山桑={～叶}丧={婚～}［3］散{鞋带～了}伞嗓=［5］散{～会}丧{～失}
tʂ	［1］沾占{～卜}瞻张=章=樟=毡=［3］展=长={～大}掌=［5］占={～领}栈战颤{打～}丈=仗=杖=帐=账=胀=障=瘴=
tʂʰ	［1］蟾昌=娼猖［2］缠={纠～}禅蝉长={～短}肠={～子}常=尝=裳=偿=［3］产场={～子}厂=敞{～开门：没有限制}［5］畅=唱=倡=
ɳ	［2］粘={形容词}［3］碾=粘={动词}
ʂ	［1］删膻扇{～风}商=伤=［3］陕闪=［5］疝善扇{～子}擅赡膳单{姓}禅{～让}赏=晌上=尚=
ʐ	［2］然瓤=穰=［3］染=冉燃=壤=攘=嚷=［5］让
k	［1］甘柑泔尴干={～湿}肝=竿=冈刚=岗纲={～要}钢={～筋}缸杆{～子}［3］感敢橄擀=港秆{一～称}［5］干={～活}钢{刀钝了～～}杠赣幹={太阳红～～地}
kʰ	［1］堪龛康=糠=慷肮［2］勘看={～守所}［3］砍=槛坎{～肩：背心}侃{～大山}扛［5］看={～见}抗=炕=
ŋ	［1］庵鞍=昂安=氨［3］淹-{～死}［5］揞{～住：手覆}暗按案={～件}
x	［1］憨鼾=夯［2］含函涵酣咸={～淡}衔-{～草}寒韩行航杭［3］喊罕［5］撼憾旱=汉汗焊翰巷-{～道}翰{～林院}捍
#iaŋ	
p	［1］鞭={皮～}编={～写}边={旁～}［3］匾={牌～}扁={～的}贬={～低}□{～他：揍}［5］变={～化}便={方～}遍={～地}辫={～子}辨=辩=汴
pʰ	［1］篇={一～文章}偏=［2］便={～宜}［3］谝{～能}［5］片=骗=篇={～幅}
m	［2］绵=棉=眠［3］腼{～腆}免=勉冕娩［5］面=
t	［1］癫巅掂=颠=［3］点=典=腆-碘=［5］垫=电=店=佃=殿=奠=
tʰ	［1］添=天=［2］甜=田=填=［3］舔=
n	［2］娘=淹-年=颜-［3］辇=眼-捻=撵=仰-{～承：纸糊的顶棚}［5］念=
l	［2］帘=廉镰=梁=梁=粮=恋=联=连=莲=凉=良=量=［3］脸=两=倆=［5］炼=练=殓={入～}链=谅=晾=亮=辆=量={饭～}
tɕ	［1］肩=歼监尖=奸煎=江=僵=疆=缰=礓=将=兼艰间{空～}豇=姜=坚［3］简剪=茧=拣减碱讲=检俭蒋=奖=［5］箭=间{～谷儿}谏剑=践=件=溅=贱=饯=荐=见=舰建健毽键渐酱=浆=匠=降{～落}将=锏强={倔～}
tɕʰ	［1］牵=铅千=迁=纤枪=谦黔鹐{鸟啄}腔=前=［2］钳=钱=潜=乾=墙=虔强={要～}［3］强={～调}浅=抢=［5］欠=歉=嵌呛=
ɕ	［1］嫌仙=先=鲜=咸=襄=镶=湘=相={～互}香=箱=厢=衔=乡=［2］闲贤弦涎=县=祥=详=降={～服}［3］显=险=享=想=响=癣-［5］宪献=县=现=馅限项=相={～公}像象橡巷=
Ø	［1］烟=胭秧央殃鸯{鸳～}蔫=蜒=淹=阉=岩［2］研严延焉言颜=阎=檐=沿=盐=羊=洋=烊=阳=杨=扬=疡=炎［3］演掩=眼=衍{敷～}养=氧=痒仰=［5］谚艳=燕雁咽=砚=焰验=晏样=宴
#uaŋ	
t	［1］端=［3］短=［5］断=锻段=缎=椴=
tʰ	［2］团=□{～～：打锣的声音，象声词}湍
n	［3］暖=
l	［2］孪峦［3］卵［5］乱=
ts	［1］钻={动词}专庄=砖=装=桩{一～事}［3］转={～眼}［5］赚纂撰钻={木工用具}篆转={～圈圈}传{～记}壮=状=
tsʰ	［1］疮=川穿=窗=［2］传{～达}船床=［3］喘=闯=□{～米：碾米}［5］串=创窜
s	［1］酸=拴闩栓霜=孀=双=［3］爽［5］算=涮{洗～}蒜=
ʐ	［3］软=
k	［1］官棺=观={～看}冠=鳏{～寡}关光=［3］管=馆广=［5］贯惯灌=罐=观={寺～}冠=惯桄=逛=
kʰ	［1］宽=匡=框=眶=筐=［2］狂=［3］款［5］旷=况=矿
x	［1］欢=翻番荒=慌=方=肪=芳妨=梵樊［2］凡帆桓还{～原}环烦藩繁黄=簧磺=皇=喤={～～：小孩儿哭叫}惶=房=防=访=［3］缓反返谎=幌=仿=纺=［5］范犯泛换=焕=唤=幻患宦贩=饭晃=放=痪
Ø	［1］豌=剜=睕=弯湾汪=［2］完=丸=玩顽亡=王=［3］皖碗=晚婉挽=枉=往=网=［5］腕=万蔓忘=妄=望=旺=
#yaŋ	
tɕ	［3］卷={一～纸}［5］卷={考～}捐=娟=倦圈={猪～}
tɕʰ	［1］圈={～子}［2］全=泉=权颧=拳=痊［3］犬［5］劝=券
ɕ	［1］轩宣喧□{馍馍～花地儿：松软而有弹性}［2］旋=悬玄［3］选癣={牛皮～}［5］楦={鞋～}眩漩=
Ø	［1］冤=渊鸳［2］缘=圆=元=园=原=援=源袁辕猿［3］远=［5］院=怨=愿
#əŋ	
p	［1］奔锛{～头}崩{枪～}绷{～紧}［3］本［5］笨奔迸泵蹦绷{～开}
pʰ	［1］喷［2］盆朋膨=彭棚=蓬篷［3］捧［5］喷碰
m	［1］门闷{～住：使不透气}焖{～面}们盲萌蒙朦盟濛□{～住啦：昏迷过去}［3］猛懵蠓［5］闷{纳～}孟梦□{～住：浸入水中}
t	［1］登灯噔蹬［3］等［5］凳邓瞪澄{～清}镫□{筷子～到碗上：搭}
tʰ	［1］誊吞-□{汗水把衣裳～湿了：浸湿}熥{～～：略烤一下}［2］腾{～空}疼藤滕［5］腾{～地一下跳起来}
n	［1］能□{～～起足：踮起脚}［5］嫩=
l	［2］楞棱［3］冷［5］愣
ts	［1］曾{姓}增争=睁=［3］怎［5］憎赠挣
tsʰ	［3］参{～差}撑{～人：吃得过于饱}［2］岑曾{～经}层［3］□{～开：用铁锹铲}碜{牙～}［5］蹭衬
s	［1］牲森参{人～}僧生笙［3］沈审省［5］渗{～水}瘆{～人}
tʂ	［1］针斟珍榛臻真征筝贞侦正=征［3］枕诊疹拯整=［5］正={～好}枕{动词}镇阵震振证症郑政□{～出来：渗}
tʂʰ	［1］称{～重量}成城诚盛{～满了}［2］沉陈尘辰晨臣橙惩乘丞承呈程［3］逞［5］趁称{相～}秤{一杆～}慎-{～末住：谨慎些}
ʂ	［1］身申伸娠升胜甥笙声=［2］深神绳［3］婶［5］葚甚慎=肾剩=胜圣盛{～开}什
ʐ	［2］壬任{姓}人仁［3］忍仍扔［5］任{责～}纫认刃韧妊靭□{～地儿一下就不见了：瞬间}□{～上房子：租}
k	［1］根跟更{～换}粳羹庚耕=［3］哽埂耿［5］更{～加}
kʰ	［1］坑铿［2］吭［3］肯恳垦啃=［5］□{～得墙上：靠}
ŋ	［1］恩{～情}［5］按-
x	［1］亨哼［2］痕恒横=衡［3］很狠［5］恨横{蛮～}
#iŋ	
p	［1］彬宾槟冰兵斌滨濒［3］秉丙炳禀柄饼［5］殡鬓病并膑
pʰ	［1］拼姘［2］贫频凭平苹坪评瓶屏萍［3］品［5］聘□{～香：喷香}□{兀家～得多咧：清高}
m	［2］民闽明=鸣=名=铭［3］悯敏抿皿［5］命=抿{～指头：含吮}
t	［1］丁叮钉={铁～}靪=盯=［3］顶=鼎［5］钉={～住}订定锭
tʰ	［1］听=厅［2］亭停廷庭蜓［3］艇挺［5］听={～死：等死}
n	［2］银凝宁{～静}柠狞［3］拧=［5］硬=宁{～可}佞
l	［2］林淋{～湿}临鳞粼燐陵菱零灵铃邻龄麟伶拎翎［3］领岭［5］赁令另淋{～石灰：过滤}
tɕ	［1］今金禁{～不住}襟津巾斤筋京荆惊精晶睛青蜻经衿系-{～鞋带儿}茎鲸［3］锦仅紧尽{～前}谨警井颈景馑□{～肉：微火慢炖}［5］浸禁{～止}妗尽{～是}进晋劲{有～}近敬竟镜=竞静=靖净劲{～敌}径靳噤{～人：冰冷刺骨}□{～上：惹得过}缙
tɕʰ	［1］钦亲{～人}卿清轻青=倾侵氢［2］琴禽擒秦芹勤擎情晴［3］寝请顷［5］亲{～家}庆磬{～敲～儿}沁{～县}吣{～下：猫狗呕吐}
ɕ	［1］辛锌忻{～州}新薪兴{～旺}星腥=猩馨心芯欣［2］行{～为}型刑陉寻-［3］省{反～}醒［5］信兴{高～}杏行{品～}幸性姓悻{脑～～}
Ø	［1］音阴荫{树～}因茵姻洇殷应{～该}鹰樱莺鹦英婴缨［2］吟淫寅蝇=盈赢=营=荧迎［3］饮引隐影=颖尹［5］荫{居舍很～人}窨{地～子}饮{～马}印应{响～}映胤洇{纸～咧}
#uŋ	
t	［1］敦{～实}墩{～子}蹾{～着：猛落地而受震}东冻{～凌：冰}冬咚［2］蹲［3］懂董吨□{～乱儿：出乱子}□{～下一身泥}趸{～卖}［5］沌饨{馄～}盾顿钝炖遁动洞冻{冰～}栋
tʰ	［1］吞=通{～过}［2］屯豚臀囤同铜桐童瞳［3］捅筒桶统［5］痛通{～红}□{～～东西着地的声音}
n	［2］农脓浓侬［5］弄嫩-
l	［2］论{～语}伦抡轮珑纶沦龙笼聋隆［3］拢陇垅［5］论{讨～}
ts	［1］尊遵鬃棕宗踪综中{～间}忠衷终钟盅衠{～吃菜，不吃饭}［3］撙准总肿冢种{～子}□{～了：糟了}［5］中{射～}重{～量}仲众纵种{～树}
tsʰ	［1］村皴春聪匆葱囱冲{～刷}充从{～容}［2］存唇纯莼醇从虫崇从{跟～}重{～新}舂［3］忖蠢宠［5］寸冲{这水真～：急猛}
s	［1］孙嵩［2］松□{脑～：懦弱}［3］损怂［5］顺舜送宋讼颂诵瞬
ʐ	［2］融=绒荣=蓉容=溶=镕=蓉=熔=榕戎茸嵘=［3］冗氄［5］润闰
k	［1］公蚣工功攻弓躬宫恭供{～给}［3］滚汞龚供{～手}巩［5］棍贡共供{～应}
kʰ	［1］昆坤空{天～}［3］捆孔恐啃-{～玉米}［5］困控空{～缺}
x	［1］昏婚分芬纷荤轰烘风枫疯丰封峰锋蜂［2］魂馄浑焚坟弘宏红洪鸿虹冯缝{～衣服}逢［3］粉哄{～人}讽［5］混{～和}愤份粪奋凤缝{～隙}俸奉哄{起～}
Ø	［1］温瘟文蚊纹闻翁嗡蓊□{～啦：木头被蛀了}［3］稳紊吻刎［5］问瓮
#yŋ	
tɕ	［1］均钧君军［3］菌炯窘囧迥炅［5］俊郡骏峻竣□{～住：浓汤汁凝聚}
tɕʰ	［2］裙群琼穷穹
ɕ	［1］荀熏勋醺{醉～～}薰兄=雄熊凶胸匈汹巡［2］寻=［3］嗅-{训读，猪狗用鼻子翻土觅食}□{厉声斥责}［5］逊迅殉训熏
Ø	［1］雍拥［2］匀云荣-融-容-熔-镕-蓉-溶-嵘-庸慵□{～啦：煮面食糊了}晕［3］允泳咏勇永甬{圪～：虫子爬动}勇涌蛹俑踊陨□{～肩肩：驼背}［5］熨孕煴韵运用佣
#aʔ	
p	［7］八扒叭剥巴{下～子}［8］薄{～荷}拔脖驳
pʰ	［7］胖-
m	［8］马抹末□{～出来：拔}
t	［7］搭瘩［8］答达跶鞑妲{～己}□{～蛋：鸡交配}
tʰ	［7］踏搨{～本}沓{一～纸}塔塌遢溻{汗～湿了}獭托讬特拓［8］耷{～拉}
n	［7］纳衲□{～住：陷入}［8］捺诺
l	［7］拉{拨～}［8］辣腊蜡落乐络肋{～肢社：肋骨}勒
ts	［7］劄{用针～}札扎责眨{～眼：不听话}则匝咂{圪～奶奶：吮吸奶头}□{～踏：糟蹋}蚱{蚂～～}［8］杂炸闸轧铡凿泽砸
tsʰ	［7］插厕{～所}擦察错{～安倒摆}策测侧{～面儿}册
s	［7］撒萨杀色瑟煞索{利～}圾{腌～：垃圾}挲{拨～：摸摸}啬{～剥：谋取利益}唼{～气：漏气}靸{～鞋}
tʂ	［7］窄摘侧{～住耳朵：细听}［8］择{～菜}侧{～楞过身子：转过}
tʂʰ	［8］拆斥宅{一～子院}
ʂ	［7］涩虱
ʐ	［8］热弱
ŋ	［7］压={～死}鸭={～子}
x	［7］瞎哈{点头～腰}［8］盒{～子}匣{箱～}
#iaʔ	
p	［7］败柏伯掰［8］白帛□{～棒：傻子}
pʰ	［7］拍迫□{学～：效仿}魄{～力}
m	［7］麦脉蚂{～蜉儿：蚂蚁}
n	［7］鸭押压{～人}
tɕ	［7］夹裌挟隔甲胛□{～魔：傻}
tɕʰ	［7］恰掐洽鹊{野～子：喜鹊}
ɕ	［7］狭峡辖［8］袭学习
Ø	［7］约{契～}乐{音～}
#uaʔ	
n	［8］□{一头～下的：栽}
ts	［7］捉桌卓
tsʰ	［7］促龊戳［8］□{水～：急}
s	［7］刷甩摔塑{～料}镯{手～}缩朔{～州}
kʰ	［7］刮{～风}聒{～噪}掴{～打：打耳光}
x	［7］发法［8］乏滑猾筏伐罚获阀
Ø	［7］握龌{～龊}沃［8］袜
#yaʔ	
tɕ	［7］觉角
tɕʰ	［7］确□{～住：粘}
ɕ	［8］穴
Ø	［7］约{～定}□{～贴：办事妥当}［8］岳毓
#əʔ	
p	［7］钵{～子：器皿}拨不勃泊北-{～头}把-{～门开开}膊［8］薄{～纸}卜钹{铙～}跋{～趿：跑步}鲅{～俩：活泼乱跳}博笸{～篮}
pʰ	［7］泼饽{面～}朴扑仆瀑醭{白～}
m	［7］莫摸陌摩［8］沫木目穆牧没
t	［7］得德
ts	［7］子{桌～}
tsʰ	［7］娶-{～媳妇子}
s	［7］塞{填～}厮{～跟}
tʂ	［7］折{～叠}褶{～子}蛰执汁哲蜇浙秩质着{～衣}植织职殖只酌蔗稙{谷～：谷子去粒后的皮壳}炙□{～国：正经}［8］辙直值侄
tʂʰ	［7］撤彻赤斥尺吃绰{～号}［8］着{睡～}
ɳ	［7］镊［8］□{～闹：耍闹}□{～毛筋头儿：翻跟头}
ʂ	［7］摄涉湿设失饰识式释{骨～：尸骨}□{～住音水：掌握分寸}［8］十什{～物}拾{～起来}舌折{弄～了}实食蚀石室适赤-{～浑剥溜：裸体}栅{下～：地名}□{～不筋：爱出风头的人}
ʐ	［8］日若
k	［7］鸽割葛窟{～窿}各{～人：您}阁搁格革隔=［8］胳合-{～葬}核-{～桃}蛤-{～蟆}圪疙{～瘩}旮{～旯}喉-{～咙}疙{～瘩}旮{～旯}喉={～咙}
kʰ	［7］磕渴客=刻壳揢={～住}克咳可{～好咧}
ŋ	［7］恶{善～}腭额腌{～圾：垃圾}□{～火：存火}
x	［7］喝郝黑赫蛤=［8］合=鹤核={～对}
Ø	［7］扼轭
#iəʔ	
p	［7］憋鳖别{～扭}笔必逼毕哔{～叽}北{～京}［8］鼻{～子}别{～人}壁{～子}璧
pʰ	［7］匹僻劈［8］撇辟
m	［8］灭{～害灵}密蜜默墨{～汁}觅
t	［7］跌的{目～}滴咥{～面：吃}嫡［8］叠碟谍牒蝶笛敌狄
tʰ	［7］帖贴铁踢剔
n	［7］捏聂蹑□{～气：难伺候}［8］业-孽逆{～风}
l	［8］立笠粒列烈裂咧劣栗力历勒{～迫}猎捩{～衣裳：拧}
tɕ	［7］接捷劫缉辑急级给{供～}杰揭节截{一圪～}结洁吉疾极积迹揭即羯{～羊儿：公羊}脊籍藉绩激击趿{跋～：跑}［8］及{～格}□{圪～凳子}集{～会}截{～住}
tɕʰ	［7］妾怯泣切沏缉{～理}欺{～害：欺负}七漆戚奇{～特：可爱}□{～水：水被吸收}
ɕ	［7］胁吸歇蝎楔膝惜昔焟{～馍馍：烘烤}锡析袭熄息媳［8］席{～子}协悉
Ø	［7］腌{～咸菜}噎{～住了}乙一壹益=译=疫=役=逸［8］叶页翼仰
#uəʔ	
t	［7］掇笃督厾{～～儿：用指头等轻击轻打}□{圪～：低声说话}□{～子：屁股}［8］夺独读牍犊毒铎{～木}□{～血：血流不止}
tʰ	［7］脱突秃凸□{～舌头}
n	［7］□{～烂鞋啦：顶破}懦-
l	［8］鹿辘{～～：水井上的引水工具}禄陆绿录氯率{效～}律
ts	［7］撮{一圪～米}拙卒作做筑酌琢啄涿竹竺茁{～出芽芽来啦：}筑［8］嘱瞩烛妯{～娌}族簇卒逐祝术{白～}
tsʰ	［7］出绰{阔～}畜{～牲}促触撮{～米：用簸箕收物}猝处{走～}绌{圪～：褶皱不平}
s	［7］说述速叔粟塾束［8］熟淑赎勺{～子}属术{算～}
ʐ	［8］入褥辱
k	［7］骨郭国虢谷□{～：话说得漂亮}囫{～囵}锢{～漏锅}啯{～蛋：母鸡叫声}掴{～～：两手相合而成的坑行}葫{～芦芦}馉{～儡：一种菜丝拌面而蒸熟的面食}榖{～辘子：套在牲口脖子上的拉车物}窟{～窿}
kʰ	［7］阔括廓扩哭［8］核{枣～儿}
x	［7］豁{～开}忽藿霍劐{用刀～开}福幅蝠辐攉{～水}□{～开：剖开}拂［8］活佛缚{束～}或惑服伏复{～原}覆腹
Ø	［7］杌{～凳}物勿沃{～南面跑}□{～土：掘土}捂{～人：憋人}
#yəʔ	
n	［8］虐瘧
l	［8］捋{～袖子}略掠
tɕ	［7］厥憠{脾气～}决诀橘脚爵镢撅{～住：拉断}噘{～日：骂人}菊=鞠掬{一～}足锔□{～子：车轮}［8］绝掘橛蹶嚼局
tɕʰ	［7］缺屈雀蛐菊-麴曲黢{黑～～}
ɕ	［7］薛屑宿{～舍}血戌恤蓿畜{～牧}蓄{储～}旭肃［8］雪俗削续茓{～筛儿}踅{～摸：窥视的样子}
Ø	［7］悦阅欲粤［8］月药钥域育狱
